id,country_short,variable,short,name,english,comment,family,mr_id,cpd_id,seats_max,first,last
EST v200e,EST,v200e,EEE,Eesti Ettervotjate Erakond ,Estonian Entrepreneurs' Party,,7,11,EEP,1,1992,1994
EST v201e,EST,v201e,EK,Eesti Koonderakond ,Estonian Coalition Party,,5,3,CP,17,1992,2002
EST v202e,EST,v202e,EKe,Eesti Keskerakond ,Estonian Centre Party,,7,4,ECP,29,1992,2009
EST v203e,EST,v203e,EME,Eesti Maarahva Erakond ,Estonian Country People's Party,,5,23,ECPP,7,1999,2002
EST v204e,EST,v204e,ERo,Eesti Rohelised ,Estonian Greens,,4,10,EG,6,1992,2009
EST v205e,EST,v205e,ER,Eesti Reformierakond ,Estonian Reform Part,,7,14,EReP,31,1995,2009
EST v206e,EST,v206e,ERL,Eestimaa Rahvaliit ,People's Union of Estonia,,5,26,PUE,13,2003,2009
EST v207e,EST,v207e,ERP,Eesti Rojalistlik Partei ,Estonian Royalist Party,,10,6,ERP,8,1992,1994
EST v208e,EST,v208e,ERSP,Eesti Rahvusliku Soltumatuse Partei ,Estonian National Independence Party,,9,1,ENIP,10,1992,1994
EST v209e,EST,v209e,MKE,Meie Kodu an Eestimaa ,Our Home Is Estonia,,6,15,OHIE,6,1995,2002
EST v210e,EST,v210e,IL,Ismaaliit ,Pro Patria Union,,9,22,PPU,29,1992,2005
EST v211e,EST,v211e,IresPL,Isamaa ja Res Publica Liit ,Union of Pro Patria and Res Publica,,9,29,UPPRP,19,2007,2009
EST v212e,EST,v212e,KMÜ,Koonderakond ja Maarahva Ühendus ,Coalition Party and Rural Union,,5,13,CPRU,41,1995,1997
EST v213e,EST,v213e,SDE,Sotsiaaldemokraatlik Erakond ,Social Democratic Party,1992-2004: Moodukad (Moderates),3,5,SDP,17,1992,2009
EST v214e,EST,v214e,PE-EK,Parem Eestija Eesti Kodanik ,Better Estonia/Estonian Citizen,,12,7,BEEC,8,1992,1994
EST v215e,EST,v215e,ResP,Res Publica ,Res Publica,,9,25,RP,28,2003,2005
EST v216e,EST,v216e,VKR/P,"Vabariiklaste ja Konservatiivide Rahvaerakond, Parempoolsed ",Right Wingers' Party,,10,16,RWP,5,1995,1997
EST v224e,EST,v224e,,Others,,,,,,,,
FIN v200e,FIN,v200e,SKDL,(Finnish People's Democratic Union),Finnish People's Democratic Union,Before 1990 = Suomen Kansan Demokraattinen Liitto (Finnish People's Democratic Union),1,13,FPDT J,50,1945,2010
FIN v201e,FIN,v201e,SDL,Työväen ja Pienviljelijöiden Sosialidemokraattinen Liitto ,Social Democratic League of Workers and Smallholder,Before 1959 = Sosialidemokraattinen Oppositio (Social Democratic Opposition),3,15,SDL,19,1957,1968
FIN v202e,FIN,v202e,SDP,Suomen Sosialidemokraattinen Puolue ,Finnish Social Democratic Party,,3,1,SDP,63,1945,2010
FIN v203e,FIN,v203e,GR,Vihreä Liitto ,Green League,,4,20,GR,15,1983,2010
FIN v204e,FIN,v204e,ZE,Suomen Keskusta ,Center Party of Finland) Keskustapuolue Center Party,"1906-1965 = Maalaisliitto (Agrarian Union), 1965-1988 = Keskustapuolue (Center Party)",5,4,CE,56,1945,2010
FIN v205e,FIN,v205e,FRP,Suomen Maaseudun Puolue ,"Finnish Rural Party) True Films Perussuomalaiset), was formed after the dissolution of the Finnish Rural Party in 1995.",Before 1966 = Small Farmer's Party of Finland (Suomen Pienviljelijäin Iuolue). True Finns was formed after the dissolution of the Finnish Rural Party in 1995.,"5, from 1995 10",17,FRP,18,1966,2010
FIN v206e,FIN,v206e,LIB,Liberaalinen Kansanpuolue ,Liberal People's Party) Liberaalit Liberals,"1918-1951 = National Progressive Party (Kansallinen Edistyspuolue ), 1951-1965 = Suomen Kansanpuolue (Finnish People's Party). Changed name to Liberals from 2001",7,9,LIB,13,1945,1994
FIN v207e,FIN,v207e,CHR,Suomen Kristillinen Liitto ,Christian League of Finland) Kristillisdemokraatit Christian Democrats).,Name was changed to Christian Democrats in 2001,8,16,CHR,10,1970,2010
FIN v208e,FIN,v208e,SW,Svenska folkpartiet ,Swedish People's Party,,6,2,SW,15,1945,2010
FIN v209e,FIN,v209e,KON,Kansallinen Kokoomus ,National Coalition Party,,9,8,CON,53,1945,2010
FIN v210e,FIN,v210e,,Others,,,,,,3,1945,2010
FIN v211e,FIN,v211e,NN,No party,,,,,NN,,,
FRA v200e,FRA,v200e,PC,Parti Communiste Francais ,Communist Party,,1,9,C,86,1962,2007
FRA v201e,FRA,v201e,S,Socialists,,"Includes: Section Francaise de l'Internationde Ouvriere (SIFO) 1958-1962, Federation de la Gauche Democraque et Socialiste (FGDS) 1967-1968, Part, Socialiste (PS) 1973 , Mouvement des Radicaux de Gauche (MRG) 1978-1997 (from 1998 PRG, Parti Radical de Gauche, see 12)",3,1,S; SIFO; FGDS; PS; MRG,285,1959,2007
FRA v202e,FRA,v202e,ML,Center Left Parties,,"Includes: Parti Radical-Socialist and Entente Democratique (ED) 1958-1962, Mouvement Reformateur (Ref) 1973-1997. 1997-2002 RCV (parliamentary group): Radical— citoyen — vert), consisting of Parti radical-socialiste (later PRG), MdC (Le Mouvement des citoyens, later MRC), Parti communiste reunionnais, Convergences ecologie solidarite, and ainsi que plusiers elus non-inscrits de gauche.","7 before 1973; 2 from 1973- 1997; 4, 1997-2002.",25,"CL; ED; Ref, RCV",39,1959,2002
FRA v203e,FRA,v203e,MR,Center Right Parties,,"Mouvement Republicain Populaire (MRP) and Centre Democratique (CD) 1958-1967, Centre Democrate (CD) 1967, Proges et Democratie Moderne (PDM) 1968, Centre Democratie et Progres (CDP) 1973-1978, Union du Centre (UC) and Centre des Democrates Sociaux (CDS) 1988-1993 (French Christian Democrats)",8,13,CR; MRP; CD; PDM; CDP; UC; CDS,56,1959,1992
FRA v204e,FRA,v204e,GK,Moderate Conservative Parties Mouvement Democrate ,Democratic Movement,"Includes: Centre National des Independants (CNI) 1958- 1962, Federation National des Republicains Independants (FNRI) and Parti Republicain (PR) 1962- 1978 (independent of UDF 1998 as Democratie Liberale, DL, that joined UMP in 2002), Union pour la Democratie Francaise (UDF) 1978-2006. UDF succeeded by MD (Mouvement Democrate) in 2007, which caused the foundation of Le Noveau Centre (see 13).",7,"20, 30",MC; CNI; FNRI; PR; UDF,215,1959,2007
FRA v205e,FRA,v205e,G,"Gaullist Parties Union pour un Mouvement Populaire, UMP ",Union for a Popular Movement,"Union pour la Nouvelle Republique (UNR) 1958-1962, Union Democratique pour la V° Republique (UDV) 1967-1968, Union des Democrats pour la Republique (UDR) 1968-1978, Rassemblement pour la Republique (RPR) 1978-2002. UMP founded as merger of RPR, DL, and defectors from UDF.",9,14,G; UNR; UDV; UDR; RPR,355,1959,2007
FRA v206e,FRA,v206e,UNR,Unite de la Republique ,Unity of the Republic,Deputies elected in Algeria (1958-1962),10,,UNR,47,1959,1962
FRA v207e,FRA,v207e,FN,Front National ,National front,1986-,11,29,FN,35,1986,1988
FRA v208e,FRA,v208e,,Other,,,,,,32,1959,2007
FRA v209e,FRA,v209e,NN,No party,,,,,NN,,,
FRA v210e,FRA,v210e,LV,Les Verts,,Founded in 1982. Part of Left green coalition in 1997 and the RCV group). From elections 2002 coded as LV but the party was represented earlier without being recorded as a separate party.,4,28,,4,2002,2007
FRA v211e,FRA,v211e,PRG,Part Radical de Gauche ,Radical Party of the Left,"Founded 1971, PRG successor to MRG. Part of the RCV group in 1997elections, but from the elections 2002 coded separately as PRG.",7,25,,7,2002,2007
FRA v212e,FRA,v212e,NC,Le Nouveau Centre ,New Centre,Founded 2007. Splinter from UDF due to the creation of MD which distanced itself from the UMP.,7,,,22,2007,2007
GBR v200e,GBR,v200e,Comm,Communist Party,,,1,,Comm,2,1945,1945
GBR v201e,GBR,v201e,ILP,Independent Labour Party,,,2,,ILP,3,1945,1945
GBR v202e,GBR,v202e,SNP,Scottish National Party,,,6,,SNP,11,1970,2010
GBR v203e,GBR,v203e,PC,Plaid Cymru,,,6,,PC,4,1974,2010
GBR v204e,GBR,v204e,CTG',Commonwealth Party,,,2,,,1,1945,1945
GBR v205e,GBR,v205e,Lab,Labour Party,,,3,,Lab,418,1945,2010
GBR v206e,GBR,v206e,Lib,Liberal Party Liberal Democrats,,Liberale merged with SDP to form the Liberal Democrats 1988,7,,Lib,62,1945,2010
GBR v207e,GBR,v207e,SDP,Social Democratic Party,,"Dissolved 1988, merged with Liberale to form the Liberal Democrats",3,,SDP,6,1983,1990
GBR v208e,GBR,v208e,Con,Conservative Party,,,9,,Con,397,1945,2010
GBR v209e,GBR,v209e,IN,Irish Nationalist parties,,,6,,IN,8,1945,2010
GBR v210e,GBR,v210e,U,Unionist Parties,,,6,,U,14,1945,2010
GBR v211e,GBR,v211e,,Other,,,,,,13,1945,2010
GBR v212e,GBR,v212e,NN,No party,,,,,NN,,,
GRC v200e,GRC,v200e,KKE,Kommonounistiko Komma Hellados ,Communist Party of Greece,Historic communist grouping—the only orthodox Marxist-Leninist party of Greece.,1,4,KKE,22,1977,2009
GRC v201e,GRC,v201e,KKE-es,Kommounistiko Komma Elladas-Esoterikou ,Communist Part of Greece-Interior,"In 1987 KKR-Interior split into two separate parties, the Communist Party of the Interior-Renewed Left and the Greek Left. In 1989, it joined forces with SYN.",1,35,KKEes,1,1985,1985
GRC v202e,GRC,v202e,SPAD,Symmachia Proodeftikon kai Aristeron Dynameon ,Alliance of Progressive and Left Wing Forces,"Alliance in 1977 election of KKE-es, United Democratic Left, Socialist March, Christian Democracy, and Socialist Initiative. The main support of the Alliance was from EDA, which polled a very small percentage of the vote when it ran alone in 1981. In 1985 EDA made an electoral coalition with PASOK and managed to elect its leader as MP.",2,25,SPAD,2,1977,1980
GRC v203e,GRC,v203e,OIKEN,Omospondia Oikologikon kai Enallarktokon Organoseon ,Federation of Ecological and Alternative Organizations,"Formed from 80-odd environmentalist groupings, the Federation was the most prominent of a number of green formations. Won one seat in Nov. 1989, retained in April 1990, but in following elections did not gain any seats and split into smaller green parties.",4,46,OIKEN,1,1989,1990
GRC v204e,GRC,v204e,SYN,Synaspismos tis aristeras kai tis proodou ,Coalition of the left and progress) SYRIZA Synaspismos Rizospastikis Aristeras) from 2004.,"Alliance of the Greek Left, the Communist Party of Greece and a number of minor leftist forces. (KKE formally withdrew from the Coalition in 1991). In 2004 merger of several small parties/movements into SYRIZA where SYN the most important.",2,47,SYN,28,1989,2009
GRC v205e,GRC,v205e,DIKKI,Dimokratiko Koinoniko Kinima ,Democratic Social Movement,Center-leftist party formed by a breakaway group from PASOK in 1995. In elections 2007 part of SYRIZA (see SYN),2,,DIKKI,9,1996,1996
GRC v206e,GRC,v206e,PASOK,Panhellinio Sosialistiko Kinema ,Panhellenic Socialist Movement,Grew out of the Left wing of the Center Union but proved to be quite different from both the old Center and the Communist Left.,3,7,PASOK,172,1977,2009
GRC v207e,GRC,v207e,EDIK,Enosi Dimokratikou Kentrou ,Union of Democratic Center,"In Feb. 1976, the Center Union changed its name to the Union of the Democratic Center, but soon afterwards, a number of its members started to withdraw. In 1985, it joined forces with PASOK.",7,32,EDIK,16,1977,1980
