country,dataset_key,dataset_party_id,name_short,name,name_english,year_first,year_last,share,share_year,description,comment,created,modified,external_id,partyfacts_id
ATG,clea,28000019,UPM,United People’s Movement,NA,1984,1984,23,1984,NA,NA,2015-07-20T21:05:25Z,2015-10-06T18:52:02Z,11213,4148
ATG,clea,28000005,UPP,United Progressive Party,NA,1994,2009,55.5,2004,NA,NA,2015-07-20T21:06:12Z,2015-10-06T18:51:40Z,11963,4150
ARG,clea,32000298,NA,Acuerdo Civico y Social,NA,2009,2009,9.5,2009,NA,NA,2015-07-20T21:05:16Z,2015-10-06T18:51:25Z,11091,3889
ARG,clea,32000007,NA,Afirmación para una República Igualitaria,NA,2003,2009,3.7,2005,NA,NA,2015-07-20T21:05:00Z,2015-10-06T18:51:59Z,10843,1215
ARG,clea,32000078,NA,Movimiento por la Dignidad y la Independencia,NA,1991,2009,5.8,1993,NA,NA,2015-07-20T21:04:59Z,2015-10-06T18:51:10Z,10826,4181
ARG,clea,32000168,NA,Partido Humanista,NA,1985,2009,2.5,2001,NA,NA,2015-07-20T21:06:01Z,2015-10-06T18:51:09Z,11810,4180
ARG,clea,32000171,NA,Partido Intransigente,NA,1983,2009,6.1,1985,NA,NA,2015-07-20T21:04:28Z,2015-10-06T18:51:49Z,10258,4183
ARG,clea,32000175,NA,Partido Justicialista,NA,1983,2009,38.5,1983,NA,NA,2015-07-20T21:04:57Z,2015-10-06T18:51:58Z,10774,623
ARG,clea,32000211,NA,Partido Socialista,NA,1983,2009,5.7,2007,NA,NA,2015-07-20T21:04:42Z,2015-10-06T18:51:37Z,10491,1365
ARG,clea,32000223,NA,Partido Unidad Federalista,NA,2001,2009,2.5,2001,NA,NA,2015-07-20T21:04:36Z,2015-10-06T18:51:38Z,10388,4204
ARG,clea,32000242,NA,Union Provincial,NA,1985,2009,13.3,2009,NA,NA,2015-07-20T21:04:37Z,2015-10-06T18:51:23Z,10397,2579
ARG,clea,32000236,NA,Unión Cívica Radical,NA,1983,2009,48,1983,NA,NA,2015-07-20T21:05:42Z,2015-10-06T18:51:04Z,11488,1724
ARG,clea,32000237,NA,Unión del Centro Democrático,NA,1983,2009,5.1,1991,NA,NA,2015-07-20T21:05:29Z,2015-10-06T18:51:43Z,11276,4182
ARM,clea,51000001,NA,Armenian Revolutionary Federation,NA,2007,2012,2.4,2012,NA,NA,2015-07-20T21:05:56Z,2015-10-06T18:51:08Z,11736,2020
ARM,clea,51000008,NA,Dashinq Party,NA,2007,2007,2.9,2007,NA,NA,2015-07-20T21:05:24Z,2015-10-06T18:51:19Z,11197,4206
ARM,clea,51000014,NA,Heritage Party,NA,2012,2012,2.3,2012,NA,NA,2015-07-20T21:06:05Z,2015-10-06T18:51:07Z,11872,3783
ARM,clea,51000023,NA,Pan-Armenian National Movement Party,NA,2007,2012,3.8,2012,NA,NA,2015-07-20T21:05:48Z,2015-10-06T18:51:37Z,11605,4365
ARM,clea,51000027,NA,Prosperous Armenia Party,NA,2007,2012,17.1,2007,NA,NA,2015-07-20T21:05:04Z,2015-10-06T18:51:21Z,10913,4205
ARM,clea,51000028,NA,Republic Party,NA,2012,2012,4.2,2012,NA,NA,2015-07-20T21:04:57Z,2015-10-06T18:51:37Z,10770,2013
ARM,clea,51000030,NA,Republican Party of Armenia First Candidate,NA,2007,2012,35.6,2012,NA,NA,2015-07-20T21:05:06Z,2015-10-06T18:51:49Z,10938,2013
ARM,clea,51000032,NA,Rule of Law Party,NA,2007,2012,7.4,2007,NA,NA,2015-07-20T21:04:52Z,2015-10-06T18:51:04Z,10705,2007
AUS,clea,36000002,NA,Anti-Socialist Party,NA,1906,1906,42.1,1906,NA,NA,2015-07-20T21:04:46Z,2015-10-06T18:52:00Z,10580,663
AUS,clea,36000003,NA,Australia Party,NA,1969,1983,2.4,1972,NA,NA,2015-07-20T21:05:21Z,2015-10-06T18:51:18Z,11163,1756
AUS,clea,36000007,NA,Australian Democrats,NA,1977,1984,9.4,1977,NA,NA,2015-07-20T21:04:33Z,2015-10-06T18:51:58Z,10339,990
AUS,clea,36000008,NA,Australian Labor Party,NA,1901,1984,50.9,1914,NA,NA,2015-07-20T21:05:07Z,2015-10-06T18:51:46Z,10950,424
AUS,clea,36000009,NA,Australian Labor Party (Anti-Communist),NA,1955,1955,5.1,1955,NA,NA,2015-07-20T21:05:03Z,2015-10-06T18:51:17Z,10889,3772
AUS,clea,36000011,NA,Australian Labor Party (NSW),NA,1931,1934,13.5,1934,NA,NA,2015-07-20T21:04:50Z,2015-10-06T18:51:23Z,10642,248
AUS,clea,36000010,NA,Australian Labor Party (Non-Communist),NA,1940,1943,4.4,1940,NA,NA,2015-07-20T21:05:18Z,2015-10-06T18:51:12Z,11106,1572
AUS,clea,36000020,NA,Commonwealth Liberal Party,NA,1910,1914,49.5,1913,NA,NA,2015-07-20T21:05:13Z,2015-10-06T18:51:46Z,11050,1999
AUS,clea,36000021,NA,Communist Party of Australia,NA,1931,1984,2,1943,NA,NA,2015-07-20T21:05:49Z,2015-10-06T18:51:46Z,11632,134
AUS,clea,36000025,NA,Country - National Party (Qld),NA,1943,1943,4,1943,NA,NA,2015-07-20T21:05:42Z,2015-10-06T18:51:33Z,11489,410
AUS,clea,36000027,NA,Country Party,NA,1919,1974,16.7,1937,NA,NA,2015-07-20T21:05:15Z,2015-10-06T18:51:48Z,11070,1743
AUS,clea,36000031,NA,Democratic Labor Party,NA,1958,1984,7.8,1958,NA,NA,2015-07-20T21:05:54Z,2015-10-06T18:51:48Z,11716,1540
AUS,clea,36000033,NA,Emergency Committee of South Australia,NA,1931,1931,4.9,1931,NA,NA,2015-07-20T21:06:06Z,2015-10-06T18:51:41Z,11880,1139
AUS,clea,36000036,NA,Free Trade Party,NA,1901,1903,57.1,1901,NA,NA,2015-07-20T21:04:32Z,2015-10-06T18:51:17Z,10318,663
AUS,clea,36000043,NA,Liberal Party,NA,1922,1922,3.8,1922,NA,NA,2015-07-20T21:05:11Z,2015-10-06T18:51:59Z,11008,1998
AUS,clea,36000045,NA,Liberal Party of Australia,NA,1946,1984,41.6,1975,NA,NA,2015-07-20T21:05:31Z,2015-10-06T18:51:55Z,11316,486
AUS,clea,36000040,NA,Liberal and Country League,NA,1934,1946,4.6,1934,NA,NA,2015-07-20T21:05:04Z,2015-10-06T18:51:05Z,10905,1642
AUS,clea,36000052,NA,National Country Party of Australia,NA,1975,1980,11.4,1975,NA,NA,2015-07-20T21:04:29Z,2015-10-06T18:51:58Z,10279,1743
AUS,clea,36000054,NA,National Party of Australia,NA,1983,1984,10.6,1984,NA,NA,2015-07-20T21:04:54Z,2015-10-06T18:52:01Z,10728,1743
AUS,clea,36000058,NA,Nationalist Party,NA,1917,1929,54.2,1917,NA,NA,2015-07-20T21:06:03Z,2015-10-06T18:51:44Z,11839,338
AUS,clea,36000060,NA,One Parliament for Australia,NA,1943,1943,2.1,1943,NA,NA,2015-07-20T21:05:25Z,2015-10-06T18:51:56Z,11219,785
AUS,clea,36000069,NA,Protectionist Party,NA,1901,1906,34,1901,NA,NA,2015-07-20T21:04:39Z,2015-10-06T18:51:41Z,10430,454
AUS,clea,36000081,NA,Social Credit,NA,1931,1946,4.7,1934,NA,NA,2015-07-20T21:05:31Z,2015-10-06T18:52:04Z,11324,113
AUS,clea,36000089,NA,State Labor Party (NSW),NA,1940,1943,2.3,1940,NA,NA,2015-07-20T21:05:20Z,2015-10-06T18:51:17Z,11147,672
AUS,clea,36000093,NA,United Australia Party,NA,1931,1943,38,1931,NA,NA,2015-07-20T21:05:02Z,2015-10-06T18:51:45Z,10884,566
AUS,clea,36000097,NA,Victorian Farmers' Union,NA,1919,1919,4.2,1919,NA,NA,2015-07-20T21:04:43Z,2015-10-06T18:51:45Z,10512,388
AUS,clea,36000099,NA,Western Australian Party,NA,1906,1906,2.3,1906,NA,NA,2015-07-20T21:05:43Z,2015-10-06T18:51:54Z,11520,1058
AUT,clea,40000021,NA,Bündnis Zukunft Österreich,Alliance for the Future of Austria,2006,2008,10.7,2008,NA,NA,2015-07-20T21:04:42Z,2015-10-06T18:51:58Z,10489,599
AUT,clea,40000011,NA,Kommunistische Partei Österreichs,Austrian Communist Party,1945,2008,5.4,1945,NA,NA,2015-07-20T21:04:36Z,2015-10-06T18:51:17Z,10391,996
AUT,clea,40000009,NA,Freiheitliche Partei Österreichs,Austrian Freedom Party,1956,2008,26.9,1999,NA,NA,2015-07-20T21:06:11Z,2015-10-06T18:52:04Z,11959,463
AUT,clea,40000008,NA,Die Grünen-Die Grüne Alternative,Austrian Greens,1994,2008,11,2006,NA,NA,2015-07-20T21:04:38Z,2015-10-06T18:51:28Z,10404,1659
AUT,clea,40000012,NA,Landbund für Österreich,Austrian Land League,1927,1927,6.3,1927,NA,NA,2015-07-20T21:05:42Z,2015-10-06T18:51:29Z,11503,1916
AUT,clea,40000015,NA,Österreichische Volkspartei,Austrian People’s Party,1945,2008,49.9,1945,NA,NA,2015-07-20T21:04:44Z,2015-10-06T18:51:41Z,10532,1329
AUT,clea,40000017,NA,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,1995,2008,38.1,1995,NA,NA,2015-07-20T21:05:49Z,2015-10-06T18:51:06Z,11633,1384
AUT,clea,40000018,NA,Sozialistische Partei Österreichs,Austrian Socialist Party,1945,1994,51,1979,NA,NA,2015-07-20T21:04:41Z,2015-10-06T18:51:09Z,10463,1384
AUT,clea,40000020,NA,Vereinte Grüne Österreichs,Austrian United Greens,1990,1990,2,1990,NA,NA,2015-07-20T21:06:00Z,2015-10-06T18:51:05Z,11793,1170
AUT,clea,40000002,NA,Christlich-Soziale Partei,Christian Social Party,1919,1930,45,1923,NA,NA,2015-07-20T21:05:36Z,2015-10-06T18:51:58Z,11395,3678
AUT,clea,40000004,NA,Demokratische Parteien,Democratic Party,1919,1920,2.4,1919,NA,NA,2015-07-20T21:04:32Z,2015-10-06T18:51:31Z,10328,3679
AUT,clea,40000003,NA,Demokratische Fortschrittliche Partei,Democratic Progressive Party,1966,1966,3.3,1966,NA,NA,2015-07-20T21:05:40Z,2015-10-06T18:51:09Z,11458,346
AUT,clea,40000032,NA,"Liste Dr. Martin – Für Demokratie, Kontrolle, Gerechtigkeit","Dr. Martin's List – For Democracy, Control, Justice",2006,2006,2.8,2006,NA,NA,2015-07-20T21:05:01Z,2015-10-06T18:51:26Z,10858,1708
AUT,clea,40000010,NA,Heimatblock,Fatherland Bloc,1930,1930,6.2,1930,NA,NA,2015-07-20T21:04:51Z,2015-10-06T18:51:28Z,10664,3304
AUT,clea,40000005,NA,Deutsch-nationale Parteien,German Nationals’ Parties,1919,1923,18.4,1919,NA,NA,2015-07-20T21:05:54Z,2015-10-06T18:51:32Z,11718,1935
AUT,clea,40000019,NA,Verband der Unabhängigen,League of Independents,1949,1953,11.7,1949,NA,NA,2015-07-20T21:05:48Z,2015-10-06T18:51:10Z,11613,1710
AUT,clea,40000013,NA,Liberales Forum,Liberal Forum,1994,2008,6,1994,NA,NA,2015-07-20T21:06:03Z,2015-10-06T18:51:23Z,11846,605
AUT,clea,40000014,NA,Nationaler Wirtschaftsblock und Landbund,National Business Bloc and Land League,1930,1930,11.6,1930,NA,NA,2015-07-20T21:04:48Z,2015-10-06T18:51:22Z,10616,1916
AUT,clea,40000016,NA,Sozialdemokratische Arbeiterpartei,Social Democratic Workers' Party,1919,1930,42.3,1927,NA,NA,2015-07-20T21:04:47Z,2015-10-06T18:51:38Z,10587,1384
AUT,clea,40000007,NA,Die Grüne Alternative,The Green Alternative,1986,1990,4.8,1986,NA,NA,2015-07-20T21:05:50Z,2015-10-06T18:51:29Z,11641,1659
AUT,clea,40000006,NA,Die Freiheitlichen,The Liberals,1995,1995,21.9,1995,NA,NA,2015-07-20T21:05:29Z,2015-10-06T18:51:49Z,11278,463
AZE,clea,31000030,NA,Musavat Party,NA,2010,2010,2,2010,NA,NA,2015-07-20T21:04:30Z,2015-10-06T18:51:45Z,10285,3628
AZE,clea,31000032,NA,New Azerbaijan Party,NA,2010,2010,46.5,2010,NA,NA,2015-07-20T21:04:41Z,2015-10-06T18:51:57Z,10473,1995
BHS,clea,44000003,C+L,Coalition & Labour,NA,2002,2002,2.2,2002,NA,NA,2015-07-20T21:05:27Z,2015-10-06T18:51:19Z,11245,3288
BHS,clea,44000008,DNA,Democratic National Alliance,NA,2012,2012,8.6,2012,NA,NA,2015-07-20T21:05:13Z,2015-10-06T18:51:16Z,11053,3653
BHS,clea,44000004,FNM,Free National Movement,NA,1997,2012,57.6,1997,NA,NA,2015-07-20T21:05:11Z,2015-10-06T18:51:49Z,11012,3652
BHS,clea,44000006,PLP,Progressive Liberal Party,NA,1997,2012,51.8,2002,NA,NA,2015-07-20T21:05:53Z,2015-10-06T18:52:05Z,11711,3284
BGD,clea,50000003,NA,Awami League,NA,1973,2008,73,1973,NA,NA,2015-07-20T21:05:05Z,2015-10-06T18:51:46Z,10919,2299
BGD,clea,50000010,NA,Bangladesh Jamaytee Islami,NA,2001,2008,4.7,2008,NA,NA,2015-07-20T21:04:43Z,2015-10-06T18:51:19Z,10509,2340
BGD,clea,50000026,NA,Bangladesh National Awami Party - Bangladesh NAP,NA,1973,2008,5.3,1973,NA,NA,2015-07-20T21:05:29Z,2015-10-06T18:51:25Z,11285,3781
BGD,clea,50000028,NA,Bangladesh Nationalist Party,NA,1991,2008,41.4,2001,NA,NA,2015-07-20T21:06:02Z,2015-10-06T18:51:11Z,11827,3782
BGD,clea,50000102,NA,Jamaat-E-Islami,NA,1991,1991,12.3,1991,NA,NA,2015-07-20T21:05:56Z,2015-10-06T18:51:15Z,11739,2340
BGD,clea,50000056,NA,Jatiya Party,NA,1991,2008,11.9,1991,NA,NA,2015-07-20T21:04:32Z,2015-10-06T18:51:46Z,10325,2341
BGD,clea,50000061,NA,Jatiya Samajtantric Dal – Jasad,NA,1973,2008,6.7,1973,NA,NA,2015-07-20T21:05:08Z,2015-10-06T18:51:05Z,10962,3777
BGD,clea,50000069,NA,National Awami Party (Muzaffar),NA,1973,1991,8.5,1973,NA,NA,2015-07-20T21:04:59Z,2015-10-06T18:51:08Z,10830,3779
BRB,clea,52000001,NA,Barbados Labour Party,NA,1966,2013,64.9,1999,NA,NA,2015-07-20T21:05:53Z,2015-10-06T18:52:03Z,11699,3694
BRB,clea,52000002,NA,Barbados National Party,NA,1966,1966,10.1,1966,NA,NA,2015-07-20T21:05:51Z,2015-10-06T18:51:43Z,11674,3695
BRB,clea,52000003,NA,Democratic Labour Party,NA,1966,2013,59.4,1986,NA,NA,2015-07-20T21:05:36Z,2015-10-06T18:52:01Z,11389,3686
BRB,clea,52000004,NA,National Democratic Party,NA,1994,1994,12.8,1994,NA,NA,2015-07-20T21:05:01Z,2015-10-06T18:51:28Z,10871,3693
BEL,clea,56000002,NA,Bloc catholique belge,Belgian Catholic Bloc,1939,1939,32.7,1939,NA,NA,2015-07-20T21:05:09Z,2015-10-06T18:51:35Z,10983,1892
BEL,clea,56000027,NA,Union catholique belge,Belgian Catholic Union,1847,1936,56,1902,NA,NA,2015-07-20T21:05:00Z,2015-10-06T18:51:06Z,10847,1892
BEL,clea,56000020,NA,Parti socialiste belge-Belgische socialistische partij,Belgian Socialist Party,1946,1977,37.3,1954,NA,NA,2015-07-20T21:05:40Z,2015-10-06T18:51:48Z,11445,480
BEL,clea,56000015,NA,Parti ouvrier belge-Belgische werkliedenpartij,Belgian Workers’ Party,1894,1939,39.4,1925,NA,NA,2015-07-20T21:05:44Z,2015-10-06T18:51:35Z,11545,2289
BEL,clea,56000004,NA,Christelijke vlaamse volksunie,Christian Flemish People’s Party,1954,1954,2.2,1954,NA,NA,2015-07-20T21:05:10Z,2015-10-06T18:51:31Z,10995,1424
BEL,clea,56000005,NA,Christelijke volkspartij,Christian People’s Party (Flemish),1968,1995,23.6,1977,NA,NA,2015-07-20T21:04:41Z,2015-10-06T18:51:12Z,10478,622
BEL,clea,56000010,NA,Parti communiste de Belgique-Kommunistische partij van België,Communist Party of Belgium,1925,1978,12.7,1946,NA,NA,2015-07-20T21:05:31Z,2015-10-06T18:51:43Z,11325,302
BEL,clea,56000023,NA,Partisans de Daens (Parti démocrate-chrétien)-Daensisten (Christene volkspartij),Daensist Partisans (Christian Democrat Party),1894,1914,3,1900,NA,NA,2015-07-20T21:04:56Z,2015-10-06T18:51:32Z,10763,3880
BEL,clea,56000028,NA,Union démocratique pour le respect du travail-Respect voor arbeid en demokratie,Democratic Union for the Respect of Labour,1981,1987,5.5,1981,NA,NA,2015-07-20T21:05:54Z,2015-10-06T18:51:24Z,11724,558
BEL,clea,56000006,NA,Ecolo,Ecologist Confederation for the Organization of New Struggles (Walloon),1981,1995,5.1,1991,NA,NA,2015-07-20T21:05:09Z,2015-10-06T18:51:28Z,10974,1563
BEL,clea,56000029,NA,Vlaamse blok,Flemish Bloc,1991,1995,7.8,1995,NA,NA,2015-07-20T21:04:43Z,2015-10-06T18:51:55Z,10515,553
BEL,clea,56000031,NA,Vlamsch concentratie,Flemish Concentration,1949,1949,2.1,1949,NA,NA,2015-07-20T21:04:27Z,2015-10-06T18:51:47Z,10250,1424
BEL,clea,56000030,NA,Vlaamse liberalen en democraten-Partij van de Burger,Flemish Liberals and Democrats-Citizen Party (Flemish),1995,1995,13.1,1995,NA,NA,2015-07-20T21:04:50Z,2015-10-06T18:51:23Z,10646,49
BEL,clea,56000032,NA,Vlamsch nationaal verbond,Flemish National League,1936,1939,7.9,1939,NA,NA,2015-07-20T21:04:52Z,2015-10-06T18:51:21Z,10694,3879
BEL,clea,56000009,NA,Frontpartij,Front Party,1919,1932,5.9,1929,NA,NA,2015-07-20T21:06:06Z,2015-10-06T18:51:37Z,11874,3689
BEL,clea,56000014,NA,Parti libéral-Liberale partij,Liberal Party,1847,1958,65.4,1868,NA,NA,2015-07-20T21:05:53Z,2015-10-06T18:51:46Z,11706,275
BEL,clea,56000016,NA,Parti réformateur libéral,Liberal Reform Party (Walloon),1981,1991,11.3,1985,NA,NA,2015-07-20T21:06:09Z,2015-10-06T18:51:58Z,11919,554
BEL,clea,56000001,NA,Agalev,"Live Differently, Greens (Flemish)",1981,1995,4.9,1991,NA,NA,2015-07-20T21:04:49Z,2015-10-06T18:51:56Z,10629,528
BEL,clea,56000008,NA,Front national,National Front,1995,1995,2.3,1995,NA,NA,2015-07-20T21:04:58Z,2015-10-06T18:51:24Z,10798,191
BEL,clea,56000012,NA,Parti de la liberté et du progrès,Party of Liberty and Progress,1974,1974,6,1974,NA,NA,2015-07-20T21:06:08Z,2015-10-06T18:51:23Z,11909,49
