"id","id_duplicate","country","year_first","year_last","name_short","name","name_source","ignore_partyfacts","comment"
54,,"BOL",1993,1993,"","Movimiento Federalista Democrático","Movimiento Federalista Democrático 1993",0,""
55,,"BOL",1993,1993,"","Organización Nacional de Independientes","Organización Nacional de Independientes 1993",0,""
56,,"BOL",1979,1979,"PUB","","PUB 1979",0,""
57,,"BRA",1986,1994,"","Social Cristão","Social Cristão 1986–94 [3/5]",0,""
58,,"BRA",1966,1978,"ARENA","Aliança de Renovação Nacional","Aliança de Renovação Nacional (ARENA) 1966–78",0,""
59,,"BRA",1986,1994,"","da Frente Liberal","da Frente Liberal 1986–94",0,""
60,,"BRA",1947,1994,"PRP","de Representação Popular","de Representação Popular (PRP) 1947–62 & 1990–94",0,""
61,,"BRA",1982,1990,"","Democrático Social","Democrático Social (PDS) 1982–90",0,""
62,,"BRA",1986,1994,"","Liberal","Liberal 1986–94",0,""
63,,"BRA",1945,1962,"","Libertador","Libertador 1945 & 1950–62",0,""
64,,"BRA",1945,1945,"PPS","Popular Sindicalista","Popular Sindicalista (PPS) 1945",0,""
65,,"BRA",1994,1994,"","Progressista Reformista","Progressista Reformista 1994",0,""
66,,"BRA",1990,1990,"PRONA","Renovação da Ordem Nacional","Renovação da Ordem Nacional (PRONA) (Enéas Carneiro) 1990",0,""
67,,"BRA",1945,1962,"","Republicano","Republicano 1945–62 [4/5]",0,""
68,81,"BRA",1990,1994,"","Social Democrático","Social Democrático 1990–94",0,""
69,,"BRA",1958,1958,"PSD-PDC-PL-PRP-PST","","PSD-PDC-PL-PRP-PST 1958",1,""
70,,"BRA",1954,1954,"PSD-PDC-PSP-PL-PRP","","PSD-PDC-PSP-PL-PRP 1954",1,""
71,,"BRA",1950,1954,"PSD-PL","","PSD-PL 1950–54",1,""
72,,"BRA",1962,1962,"PSD-PR","","PSD-PR 1962",1,""
73,,"BRA",1954,1958,"PSD-PRP","","PSD-PRP 1954–58",1,""
74,,"BRA",1954,1954,"PSD-PRP-PL","","PSD-PRP-PL 1954",1,""
75,,"BRA",1950,1950,"PSD-PRP-PST","","PSD-PRP-PST 1950",1,""
76,,"BRA",1958,1958,"UDN-PL","","UDN-PL 1958",1,""
77,,"BRA",1954,1954,"UDN-PR-PL","","UDN-PR-PL 1954",1,""
78,,"BRA",1950,1950,"UDN-PR-PST-PRP-PL","","UDN-PR-PST-PRP-PL 1950",1,""
79,,"BRA",1945,1990,"","Demócrata Cristão","Demócrata Cristão 1945 & 1950–62 & 1986–90",0,""
80,,"BRA",1994,1994,"","Progressista","Progressista 1994",0,""
81,81,"BRA",1945,1962,"","Social Democrático","Social Democrático 1945–62",0,""
82,,"BRA",1990,1990,"PSL","","PSL 1990",0,""
83,83,"BRA",1950,1950,"","Social Trabalhista","Social Trabalhista 1950",0,""
84,83,"BRA",1990,1990,"","Social Trabalhista","Social Trabalhista 1990",0,""
85,,"BRA",1982,1994,"","Trabalhista Brasileiro","Trabalhista Brasileiro (Ivete Vargas) 1982–94",0,"new party formed in 1981"
86,,"BRA",1986,1986,"","Trabalhista Renovador","Trabalhista Renovador 1986",0,""
87,,"BRA",1945,1962,"","União Democrática Nacional","União Democrática Nacional 1945–62 [4/5]",0,""
88,,"BRA",1962,1962,"PDC-PRP-PDC-UDN","","PDC-PRP-PDC-UDN 1962",1,""
89,,"BRA",1962,1962,"PDC-PRT-UDN","","PDC-PRT-UDN 1962",1,""
90,,"BRA",1962,1962,"PL-PRP-PDC-UDN","","PL-PRP-PDC-UDN 1962",1,""
91,,"BRA",1954,1954,"PR-PDC","","PR-PDC 1954",1,""
92,,"BRA",1962,1962,"PRTPSP-PSD","","PRTPSP-PSD 1962",1,""
93,,"BRA",1950,1962,"PSD-PDC","","PSD-PDC 1950 & 1962",1,""
94,,"BRA",1950,1958,"PSD-PR-PSP","","PSD-PR-PSP 1950 & 1958",1,""
95,,"BRA",1958,1958,"PSD-PRPSP-PRP","","PSD-PRPSP-PRP 1958",1,""
96,,"BRA",1962,1962,"PSD-PSP","","PSD-PSP 1962",1,""
97,,"BRA",1958,1958,"PSD-PSP-PDC-PRP-UDN","","PSD-PSP-PDC-PRP-UDN 1958",1,""
98,,"BRA",1962,1962,"PSD-PST","","PSD-PST 1962",1,""
99,,"BRA",1962,1962,"PSD-PTN","","PSD-PTN 1962",1,""
100,,"BRA",1954,1962,"PSD-UDN","","PSD-UDN 1954 & 1962",1,""
101,,"BRA",1962,1962,"PSD-UDN-PDC","","PSD-UDN-PDC 1962",1,""
102,,"BRA",1954,1954,"PSDUDN-PDC-PTN","","PSDUDN-PDC-PTN 1954",1,""
103,,"BRA",1950,1950,"PSP-PR","","PSP-PR 1950",1,""
104,,"BRA",1950,1950,"PSP-PR-PRT-PRP","","PSP-PR-PRT-PRP 1950",1,""
105,,"BRA",1958,1958,"PSP-PSD-PRT","","PSP-PSD-PRT 1958",1,""
106,,"BRA",1954,1954,"PSP-PST","","PSP-PST 1954",1,""
107,,"BRA",1954,1954,"PSP-UDN-PL","","PSP-UDN-PL 1954",1,""
108,,"BRA",1954,1954,"PST-PTN","","PST-PTN 1954",1,""
109,,"BRA",1954,1954,"PTN-PR","","PTN-PR 1954",1,""
110,,"BRA",1958,1958,"UDN-PDC-PR","","UDN-PDC-PR 1958",1,""
111,,"BRA",1962,1962,"UDN-PDC-PTN","","UDN-PDC-PTN 1962",1,""
112,,"BRA",1950,1950,"UDN-PR","","UDN-PR 1950",1,""
113,,"BRA",1958,1958,"UDN-PR-PSP","","UDN-PR-PSP 1958",1,""
114,,"BRA",1950,1958,"UDN-PRP","","UDN-PRP 1950 & 1958",1,""
115,,"BRA",1954,1958,"UDN-PSP","","UDN-PSP 1954–58",1,""
116,,"BRA",1962,1962,"UDN-PSP","","UDN-PSP-PDC 1962",1,""
117,,"BRA",1950,1950,"UDN-PSP-PL-PST","","UDN-PSP-PL-PST 1950",1,""
118,,"BRA",1958,1958,"UDN-PSP-PRT-PR-PTN","","UDN-PSP-PRT-PR-PTN 1958",1,""
119,,"BRA",1950,1962,"UDN-PST","","UDN-PST 1950 & 1958–62",1,""
120,,"BRA",1954,1954,"UDN-PST-PSP","","UDN-PST-PSP 1954",1,""
121,,"BRA",1958,1958,"UDN-PST-PTN","","UDN-PST-PTN 1958",1,""
122,,"BRA",1978,1994,"","do Movimento Democrático Brasileira","do Movimento Democrático Brasileira 1978–94 [3/5 1978–86 4/5 1990–94]",0,""
123,,"BRA",1990,1990,"","Revolucionário Socialista","Revolucionário Socialista 1990 [4/5]",0,""
124,,"BRA",1950,1950,"","Trabalhista Nacional","Trabalhista Nacional 1950",0,""
125,,"BRA",1958,1958,"PDCPSP-PST-PSB","","PDCPSP-PST-PSB 1958",1,""
126,,"BRA",1962,1962,"PSB-PST","","PSB-PST 1962",1,""
127,,"BRA",1962,1962,"PSD-PSP-PDC-PTN-PSB","","PSD-PSP-PDC-PTN-PSB 1962",1,""
128,,"BRA",1958,1958,"PSD-PSBPRT-PR-PTN-PL","","PSD-PSBPRT-PR-PTN-PL 1958",1,""
129,,"BRA",1950,1950,"PSD-PST-PTB-PRP-UDN","","PSD-PST-PTB-PRP-UDN 1950",1,""
130,,"BRA",1954,1954,"PSD-PTB-PDC-PSBPS-PR","","PSD-PTB-PDC-PSBPS-PR 1954",1,""
131,,"BRA",1958,1958,"PSD-PTB-PRP","","PSD-PTB-PRP 1958",1,""
132,,"BRA",1954,1962,"PSD-PTB (PTB-PSD)","","PSD-PTB (PTB-PSD) 1954–62",1,""
133,,"BRA",1958,1958,"PSD-PTBUDN-PSP","","PSD-PTBUDN-PSP 1958",1,""
134,,"BRA",1962,1962,"PSP-PTN-PRT-PR-MTR-PSB-UDN-PL","","PSP-PTN-PRT-PR-MTR-PSB-UDN-PL 1962",1,""
135,,"BRA",1962,1962,"PTB-PR-PRP","","PTB-PR-PRP 1962",1,""
136,,"BRA",1954,1954,"PTB-PR-PRP-PSP","","PTB-PR-PRP-PSP 1954",1,""
137,,"BRA",1962,1962,"PTB-PSP-PL","","PTB-PSP-PL 1962",1,""
138,,"BRA",1954,1954,"PTB-PST","","PTB-PST 1954",1,""
139,,"BRA",1962,1962,"PTB-UDNPSP-PRP","","PTB-UDNPSP-PRP 1962",1,""
140,,"BRA",1958,1958,"UDN-PTB","","UDN-PTB 1958",1,""
141,,"BRA",1962,1962,"UDN-PSB-PSP","","UDN-PSB-PSP 1962",1,""
142,,"BRA",1954,1954,"UDN-PTB-PR","","UDN-PTB-PR 1954",1,""
143,,"BRA",1950,1950,"UDN-PSD-PR-PL-PSP-PTB","","UDN-PSD-PR-PL-PSP-PTB 1950",1,""
144,,"BRA",1950,1950,"UDN-PR-PRP-PDC-PTB-PL","","UDN-PR-PRP-PDC-PTB-PL 1950",1,""
145,,"BRA",1982,1994,"","Democrático Trabalhista (Brizola)","Democrático Trabalhista (Brizola) 1982–94 [4/5]",0,""
146,,"BRA",1966,1978,"","Movimento Democrático Brasileiro","Movimento Democrático Brasileiro 1966–78 [4/5]",0,""
147,,"BRA",1962,1962,"MTR","","MTR 1962",0,""
148,,"BRA",1990,1994,"","Social Democrático Brasileiro","Social Democrático Brasileiro 1990–94",0,""
149,149,"BRA",1950,1950,"","Socialista Brasileiro","Socialista Brasileiro 1950",0,""
150,,"BRA",1945,1962,"","Trabalhista Brasileiro","Trabalhista Brasileiro 1945–62",0,""
151,,"BRA",1962,1962,"MTR-PSBPST","","MTR-PSBPST 1962",1,""
152,,"BRA",1958,1958,"PSB-PTN","","PSB-PTN 1958",1,""
153,,"BRA",1950,1950,"PSP-PTB-PSB","","PSP-PTB-PSB 1950",1,""
154,,"BRA",1962,1962,"PTB-PSB","","PTB-PSB 1962",1,""
155,,"BRA",1958,1958,"PTB-PSBPDC-PR","","PTB-PSBPDC-PR 1958",1,""
156,,"BRA",1950,1962,"PTB-PSP","","PTB-PSP 1950 & 1962",1,""
157,,"BRA",1962,1962,"PTN-MTR","","PTN-MTR 1962",1,""
158,,"BRA",1958,1958,"UDN-PTB-PSP-PTNPSB","","UDN-PTB-PSP-PTNPSB 1958",1,""
159,,"BRA",1962,1962,"UDN-PTB-PST","","UDN-PTB-PST 1962",1,""
160,,"BRA",1945,1990,"","Comunista Brasileiro","Comunista Brasileiro 1945–47 & 86–90",0,""
161,,"BRA",1986,1994,"","Comunista do Brasil","Comunista do Brasil 1986–94",0,""
162,,"BRA",1990,1990,"","do Trabalhador Revolucionário","do Trabalhador Revolucionário 1990 [4/5]",0,""
163,,"BRA",1982,1994,"","dos Trabalhadores","dos Trabalhadores 1982–94",0,""
164,,"BRA",1947,1947,"","Esquerda Democrática","Esquerda Democrática 1947",0,""
165,,"BRA",1994,1994,"","Popular Socialista","Popular Socialista 1994",0,""
166,,"BRA",1950,1950,"POT","","POT 1950",0,""
167,,"BRA",1950,1950,"","Republicano Trabalhista","Republicano Trabalhista 1950",0,""
168,149,"BRA",1986,1994,"","Socialista Brasileiro","Socialista Brasileiro 1986–94 [4/5]",0,""
169,,"BRA",1950,1950,"POT-PSP","","POT-PSP 1950",1,""
170,,"BRA",1954,1954,"","Unidos pelo Maranhão","Unidos pelo Maranhão 1954",0,""
171,,"BRA",1994,1994,"PV","","PV 1994",0,""
172,,"BRA",1990,1994,"","Municipal Nacional","Municipal Nacional 1990–94",0,""
173,,"BRA",1986,1986,"P. da J","","P. da J 1986",0,""
174,,"BRA",1990,1994,"","Renovador Nacional (Collor)","Renovador Nacional (Collor) 1990–94 [4/5]",0,""
175,,"BRA",1947,1962,"","Social Progresista (PSP-Ademar de Barros)","Social Progresista (PSP-Ademar de Barros) 1947–62",0,""
176,,"BRA",1986,1986,"","Comunitário Nacional","Comunitário Nacional 1986",0,""
177,,"BRA",1986,1986,"","Humanista","Humanista 1986",0,""
178,,"BRA",1986,1986,"","da Movilização Nacional","da Movilização Nacional 1986",0,""
179,,"BRA",1986,1986,"","Municipalista Comunitário","Municipalista Comunitário 1986",0,""
180,,"BRA",1986,1986,"","Nacionalista","Nacionalista 1986",0,""
181,,"BRA",1986,1986,"","da Nôva República","da Nôva República 1986",0,""
182,,"BRA",1986,1986,"","do Pôvo Brasileiro","do Pôvo Brasileiro 1986",0,""
183,,"BRA",1945,1945,"PAN","","PAN 1945",0,""
184,,"BRA",1990,1990,"PAP","","PAP 1990",0,""
185,,"BRA",1990,1990,"PAS","","PAS 1990",0,""
186,,"BRA",1990,1990,"PCN","","PCN 1990",0,""
187,,"BRA",1990,1990,"PD","","PD 1990",0,""
188,,"BRA",1990,1990,"PEB","","PEB 1990",0,""
189,,"BRA",1990,1990,"PLH","","PLH 1990",0,""
190,,"BRA",1986,1986,"PMB","","PMB 1986",0,""
191,,"BRA",1986,1986,"PND","","PND 1986",0,""
192,,"BRA",1990,1990,"PNT","","PNT 1990",0,""
193,,"BRA",1945,1945,"Pr. Pop.","","Pr. Pop. 1945",0,""
194,,"BRA",1945,1945,"Pr. Prog.","","Pr. Prog. 1945",0,""
195,,"BRA",1950,1950,"PRB","","PRB 1950",0,""
196,,"BRA",1945,1950,"PRD","","PRD 1945–50",0,""
197,,"BRA",1982,1986,"PS","","PS 1982–86",0,""
198,,"BRA",1990,1990,"PSU","","PSU 1990",0,""
199,,"BRA",1990,1990,"PT do B","","PT do B 1990",0,""
200,,"BRA",1986,1986,"","Reformador Trabalhista","Reformador Trabalhista 1986",0,""
201,,"BRA",1986,1986,"","Republicano Progressista","Republicano Progressista 1986",0,""
202,,"BRA",1986,1986,"","Socialista Agrário e Renovador Trabalhista","Socialista Agrário e Renovador Trabalhista 1986",0,""
203,,"BRA",1986,1986,"","Trabalhista Nacional","Trabalhista Nacional 1986",0,""
204,,"BRA",1958,1958,"PSP-PSB-PR","","PSP-PSB-PR 1958",1,""
205,,"ARG",1957,1960,"","Cristiano Demócrata","Cristiano Demócrata 1957–60",0,""
206,,"ARG",1973,1973,"","Cristiano Popular","Cristiano Popular 1973",0,""
207,,"ARG",1962,1995,"","Demócrata Cristiano","Demócrata Cristiano 1962–65 & 1983–91 & 1994–95 [5/6]",0,""
208,,"ARG",1983,1983,"","Socialista Cristiano","Socialista Cristiano 1983",0,""
209,,"ARG",1973,1973,"","Revolucionario Cristiano","Revolucionario Cristiano 1973",0,""
210,,"ARG",1946,1946,"","Alianza Liberal Nacional","Alianza Liberal Nacional 1946",0,""
211,,"ARG",1912,1962,"","Autonomista","Autonomista 1912 & 1916–20 & 1930 & 1962",0,""
212,,"ARG",1912,1912,"","Autónomo Nacional","Autónomo Nacional 1912",0,""
213,,"ARG",1914,1914,"","Concentración Conservadora","Concentración Conservadora 1914",0,""
214,,"ARG",1922,1922,"","Concentración Nacional","Concentración Nacional 1922",0,""
215,,"ARG",1912,1965,"","Conservador","Conservador 1912–30 & 1957–65",0,""
216,,"ARG",1960,1965,"","Conservador P.","Conservador P. 1960–65",0,""
217,245,"ARG",1987,1987,"","Conservador Popular","Conservador Popular 1987",0,""
218,,"ARG",1914,1965,"","Demócrata","Demócrata 1914–18 & 1924 & 1928 & 1960–65",0,""
219,,"ARG",1973,1973,"","Demócrata Catamarca","Demócrata Catamarca 1973",0,""
220,,"ARG",1973,1973,"","Demócrata Córdoba","Demócrata Córdoba 1973",0,""
221,,"ARG",1985,1985,"","Dem. de Jujuy","Dem. de Jujuy 1985",0,""
222,,"ARG",1987,1995,"","Demócrata (Mendoza)","Demócrata (Mendoza) 1987–91 & 1994–95",0,""
223,,"ARG",1946,1946,"","Demócrata Nacional","Demócrata Nacional 1946",0,""
224,,"ARG",1946,1946,"","Demócrata Nacional Auténtico","Demócrata Nacional Auténtico 1946",0,""
225,,"ARG",1960,1960,"","Dem. U. Provincial","Dem. U. Provincial 1960",0,""
226,,"ARG",1960,1965,"","Democrático Liberal","Democrático Liberal 1960 & 1965",0,""
227,,"ARG",1912,1960,"","Liberal","Liberal 1912 & 1918–46 & 1960",0,""
228,,"ARG",1914,1926,"","Liberal Autonomista","Liberal Autonomista 1914 & 1924–26",0,""
229,,"ARG",1924,1924,"","Liberal Georgista","Liberal Georgista 1924",0,""
230,,"ARG",1983,1985,"MLP","","MLP 1983–85",0,""
231,,"ARG",1991,1995,"MODIN","Movimiento por la Dignidad Nacional","Movimiento por la Dignidad Nacional (MODIN) 1991 & 1994–95",0,""
232,,"ARG",1912,1914,"","Oficial","Oficial 1912–14",0,""
233,,"ARG",1960,1965,"","Unión Conservadora","Unión Conservadora 1960–65",0,""
234,,"ARG",1960,1960,"","Unión Federal","Unión Federal 1960",0,""
235,,"ARG",1912,1912,"","Unión Nacional","Unión Nacional 1912",0,""
236,,"ARG",1985,1995,"","Alianza de Centro","Alianza de Centro (UCD) 1985–95 [5/6]",0,""
237,,"ARG",1973,1983,"","Alianza (Republicana) Federal","Alianza (Republicana) Federal 1973–83",0,""
238,,"ARG",1983,1983,"","Al. Popular de Centro","Al. Popular de Centro 1983",0,""
239,,"ARG",1973,1973,"","Alianza Popular Federalista","Alianza Popular Federalista 1973",0,""
240,,"ARG",1960,1960,"","Cívico Independiente","Cívico Independiente 1960 [5/6]",0,""
241,,"ARG",1983,1983,"","Confed. Nacional de Centro","Confed. Nacional de Centro 1983",0,""
242,,"ARG",1973,1973,"","Confed. Pop. Federalista","Confed. Pop. Federalista 1973",0,""
243,,"ARG",1985,1985,"","Confed. Republicana","Confed. Republicana 1985",0,""
244,,"ARG",1987,1991,"","Conservador Autónomo","Conservador Autónomo 1987 & 1991",0,""
245,245,"ARG",1983,1987,"","Conservador Popular","Conservador Popular 1983 & 1987",0,""
246,,"ARG",1973,1973,"","Demócrata Conservador","Demócrata Conservador 1973",0,""
247,,"ARG",1973,1973,"","Demócrata Federal","Demócrata Federal 1973",0,""
248,,"ARG",1973,1973,"","Demócrata Liberal","Demócrata Liberal 1973",0,""
249,,"ARG",1983,1995,"","Demócrata Progresista","Demócrata Progresista 1983 & 1987–91 & 1994–95",0,""
250,,"ARG",1983,1995,"","Federal","Federal 1983–91 & 1994–95",0,""
251,,"ARG",1973,1973,"","Federalista Popular","Federalista Popular 1973",0,""
252,,"ARG",1991,1991,"","FREJUSO or FREDEJUSO (Palito Ortega)","FREJUSO or FREDEJUSO (Palito Ortega) 1991",0,""
253,,"ARG",1987,1989,"","Fte. Acción Provincial","Fte. Acción Provincial 1987–89",0,""
254,,"ARG",1989,1991,"","Fte. Comité Renovador","Fte. Comité Renovador 1989–91",0,""
255,,"ARG",1991,1991,"","Frente de Fe 1991","Frente de Fe 1991 (Palito Ortega)",0,""
256,,"ARG",1994,1994,"","Frente Esperanza","Frente Esperanza 1994 (with P. Justicialista)",0,""
257,,"ARG",1991,1991,"Fte. Trab. Y Prod.","","Fte. Trab. Y Prod. 1991",0,""
258,,"ARG",1989,1995,"","Fuerza Republicana","Fuerza Republicana 1989–91 & 1994–95",0,""
259,,"ARG",1985,1991,"","Generación Intermedia","Generación Intermedia 1985 & 1991",0,""
260,,"ARG",1995,1995,"","Laborista","Laborista 1995",0,""
261,,"ARG",1965,1995,"","Movimiento de Integración y Desarrollo","Movimiento de Integración y Desarrollo 1965 & 1983–95",0,""
262,,"ARG",1973,1973,"","Mvto. Federal","Mvto. Federal 1973",0,""
263,,"ARG",1973,1973,"","Nueva Fuerza 1973","Nueva Fuerza 1973 [5/6]",0,""
264,,"ARG",1973,1973,"","Renovador Federal","Renovador Federal 1973",0,""
265,,"ARG",1983,1989,"UcéDé","Unión del Centro Democrático (Alianza de Centro)","Unión del Centro Democrático (UcéDé) (Alianza de Centro) 1983–85 & 1989 [5/6]",0,""
266,352,"ARG",1987,1991,"","Unión Popular","Unión Popular 1987 & 1991",0,""
267,,"ARG",1973,1973,"","Vanguardia Federal","Vanguardia Federal 1973",0,""
268,,"ARG",1916,1973,"","Democrático/Demócrata Progresista","Democrático/Demócrata Progresista 1916 & 1920–26 & 1930–46 & 1957–73 [5/6]",0,""
269,,"ARG",1946,1946,"DN y UCRI","","DN y UCRI 1946",0,""
270,,"ARG",1946,1946,"LY–UCR (JR)","","LY–UCR (JR) 1946",0,""
271,,"ARG",1960,1960,"","Movimiento Personalista Radical","Movimiento Personalista Radical 1960",0,""
272,,"ARG",1912,1914,"","Unión Cívica","Unión Cívica 1912–14",0,""
273,,"ARG",1960,1960,"U.C. Form.","","U.C. Form. 1960",0,""
274,,"ARG",1920,1920,"U.C. Pop.","","U.C. Pop. 1920",0,""
275,,"ARG",1912,1991,"","Unión Cívica Radical","Unión Cívica Radical 1912–91 [6/6 except for 5/6 in 1946–73]",0,""
276,,"ARG",1960,1960,"UCRA","","UCRA 1960",0,""
277,,"ARG",1924,1930,"","UCR Anti-Personalista","UCR Anti-Personalista 1924 & 1928–30",0,""
278,,"ARG",1960,1960,"UCR Aut.","","UCR Aut. 1960",0,""
279,,"ARG",1926,1926,"","UCR-Avellaneda","UCR-Avellaneda 1926",0,""
280,,"ARG",1926,1926,"","UCR Blanca","UCR Blanca 1926",0,""
281,,"ARG",1922,1965,"","UCR Bloquista","UCR Bloquista 1922 & 1926–46 & 1962–65",0,""
282,,"ARG",1930,1930,"","UCR Cabadero","UCR Cabadero 1930",0,""
283,,"ARG",1946,1946,"","UCR Comité Nacional","UCR Comité Nacional 1946",0,""
284,,"ARG",1930,1930,"UCR Corv.","","UCR Corv. 1930",0,""
