"country","party_id","party","party_short","comment","party_name","polity_notes","country_short"
"Australia","#0360016","Motoring Enthusiasts Party (AMEP)","AMEP",,"Motoring Enthusiasts Party",,"AUS"
"Australia","#0360017","Fishing Party (TFP)","TFP",,"Fishing Party",,"AUS"
"Australia","#0360018","The Wikileaks Party (WKP)","WKP",,"The Wikileaks Party",,"AUS"
"Austria","#0360019","Australian Christians (AUC)","AUC",,"Australian Christians",,"AUT"
"Austria","#0400001","Social Democratic Party of Austria (SPO)","SPO",,"Social Democratic Party of Austria",,"AUT"
"Austria","#0400002","Austrian People's Party (OVP)","OVP",,"Austrian People's Party",,"AUT"
"Austria","#0400003","Freedom Party of Austria (FPO)","FPO",,"Freedom Party of Austria",,"AUT"
"Austria","#0400004","Alliance for the Future of Austria (BZO)","BZO",,"Alliance for the Future of Austria",,"AUT"
"Austria","#0400005","The Greens - The Green Alternative (GRUENE)","GRUENE",,"The Greens - The Green Alternative",,"AUT"
"Austria","#0400006","Communist Party of Austria (KPO)","KPO",,"Communist Party of Austria",,"AUT"
"Austria","#0400007","Liberal Forum (LiF)","LiF",,"Liberal Forum",,"AUT"
"Austria","#0400010","The New Austria (NEOS)","NEOS",,"The New Austria",,"AUT"
"Austria","#0400011","Pirate Party (PIRATEN)","PIRATEN",,"Pirate Party",,"AUT"
"Austria","#0400012","Team Stronach	(TEAM STRONACH)","TEAM STRONACH",,"Team Stronach	",,"AUT"
"Austria","#0400013","Dinkhauser List	",,,"Dinkhauser List	",,"AUT"
"Austria","#0400014","Freedom Party in Carinthia (FPK)","FPK",,"Freedom Party in Carinthia",,"AUT"
"Austria","#0400015","Citizen's Forum Austria (FRITZ)","FRITZ",,"Citizen's Forum Austria",,"AUT"
"Belarus","#1120001","Communist Party of Belarus	",,,"Communist Party of Belarus	",,"BLR"
"Belarus","#1120002","Liberal Democratic Party (LDP)","LDP",,"Liberal Democratic Party",,"BLR"
"Belarus","#1120003","Republican Party of Labor and Justice 	",,,"Republican Party of Labor and Justice 	","Republican Party of Labor and Justice was listed as ""Belarussian Party of Labor"" in the CSES MODULE 1 Codebook. As this party was assigned the PARTY C code, meaning that it refers to the third strongest party from the 2000 legislative elections, i.e. the Republican Party of Labor and Justice.","BLR"
"Belarus","#1120004","Agrarian Party	",,,"Agrarian Party	",,"BLR"
"Belarus","#1120005","United Civil Party	",,,"United Civil Party	",,"BLR"
"Belarus","#1120006","Patriotic Party (BPP)","BPP",,"Patriotic Party",,"BLR"
"Belarus","#1120007","Belarusian People Front (BPF)","BPF",,"Belarusian People Front",,"BLR"
"Belarus","#1120008","The Party of Communists Belorusskaya",,,"The Party of Communists Belorusskaya","The Party of Communists Belorusskaya current name is ""Belarusian Left Party 'A Just World'.""","BLR"
"Belarus","#1120009","Belarusian Social-Democratic (Assembly)	","Assembly",,"Belarusian Social-Democratic",,"BLR"
"Belarus","#1120016","Belarusian Socialist Sporting Party	",,,"Belarusian Socialist Sporting Party	",,"BLR"
"Belarus","#1120017","Christian Conservative Party (BPF)","BPF",,"Christian Conservative Party",,"BLR"
"Belarus","#1120018","United Democratic Forces of Belarus 	",,,"United Democratic Forces of Belarus 	","United Democratic Forces of Belarus	is a coalition founded in 2006 and consisting of the Belarusian Left Party ""A Just World,"" the United Civic Party, the Belarusian Social Democratic Party (Assembly), the Belarusian Labor Party, Za Svabodu (""For Freedom"") and the BPF Party.","BLR"
"Belarus","#1120019","Belarusian Social-Democratic Party (People's Assembly) (BSDPH)",,"People's Assembly-BSDPH","Belarusian Social-Democratic Party (People's Assembly)",,"BLR"
"Belarus","#1120020","Belarusian Helsinki Committee	(BHC)","BHC",,"Belarusian Helsinki Committee	",,"BLR"
"Belarus","#1120021","Belarusian Patriotic Youth Union (BRSM)","BRSM",,"Belarusian Patriotic Youth Union",,"BLR"
"Belarus","#1120022","Belarusian Ecological Party (Zelyonykh Bez)	","Zelyonykh Bez",,"Belarusian Ecological Party",,"BLR"
"Belarus","#1120023","Belarusian People's Patriotic Union	",,,"Belarusian People's Patriotic Union	",,"BLR"
"Belarus","#1120024","Belarusian Public Coalition ""Jabloko""	",,,"Belarusian Public Coalition ""Jabloko""	",,"BLR"
"Belarus","#1120025","Belarusian Republican Club of Voters	",,,"Belarusian Republican Club of Voters	",,"BLR"
"Belarus","#1120026","Belarusian Union of Women	",,,"Belarusian Union of Women	",,"BLR"
"Belarus","#1120027","The BNF Party	",,,"The BNF Party	",,"BLR"
"Belarus","#1120028","Belarusian Union of Youths	",,,"Belarusian Union of Youths	",,"BLR"
"Belarus","#1120029","Belarusian Women Party ""Nadezhda""	",,,"Belarusian Women Party ""Nadezhda""	",,"BLR"
"Belarus","#1120030","For New Belarus	",,,"For New Belarus	",,"BLR"
"Belarus","#1120031","Movement for Social Progress and Justice	",,,"Movement for Social Progress and Justice	",,"BLR"
"Belarus","#1120032","Partnership of the Belarusian Language	",,,"Partnership of the Belarusian Language	",,"BLR"
"Belarus","#1120033","Republican Party of Labor and Justice	",,,"Republican Party of Labor and Justice	",,"BLR"
"Belarus","#1120034","Party of Common Sense	",,,"Party of Common Sense	",,"BLR"
"Belarus","#1120035","Party of Power	",,,"Party of Power	",,"BLR"
"Belarus","#1120036","Party of the Communists of Belarus	",,,"Party of the Communists of Belarus	",,"BLR"
"Belarus","#1120037","Republican Party	",,,"Republican Party	",,"BLR"
"Belarus","#1120038","Social-Democratic Party of Human Agreement	",,,"Social-Democratic Party of Human Agreement	",,"BLR"
"Belarus","#1120039","The Social-Democratic Party of the People Agreement (Narodnogo Soglasiya)	",,"Narodnogo Soglasiya","The Social-Democratic Party of the People Agreement",,"BLR"
"Belarus","#1120040","United Democratic Opposition	",,,"United Democratic Opposition	",,"BLR"
"Belarus","#1120041","Zeljonya	",,,"Zeljonya	",,"BLR"
"Belarus","#1120042","ZUBR	",,,"ZUBR	",,"BLR"
"Belarus","#1120101","A. Lukashenko (Independent)","Independent",,"A. Lukashenko","A. Lukashenko became President of Belarus in 1994. Even though he runs in elections under an Independent banner, because of his role in Belarus political system, he is assigned a separate numerical code.","BLR"
"Belarus","#1120333","Republican Party of Labor and Justice	",,,"Republican Party of Labor and Justice	",,"BLR"
"Belarus","#1129987","Vote for at-large Candidate",,,"Vote for at-large Candidate",,"BLR"
"Belgium","#0560001","New Flemish Alliance (N-VA)","N-VA",,"New Flemish Alliance",,"BEL"
"Belgium","#0560002","Socialist Party (Francophone) (SP)","Francophone-SP",,"Socialist Party (Francophone)",,"BEL"
"Belgium","#0560003","Christian Democratic & Flemish (CD&V)","CD&V",,"Christian Democratic & Flemish","Christian Democratic & Flemish (CD&V) was formerly known as ""Flemish Christian Peoples Party (CVP)."" The party adopted its current name in 2001.","BEL"
"Belgium","#0560004","Flemish Liberals and Democrats (VLD)","VLD",,"Flemish Liberals and Democrats",,"BEL"
"Belgium","#0560005","Socialist Party Differently (SP.A)","SP.A",,"Socialist Party Differently","Socialist Party Differently (SP.A) adopted its current party name prior to the 2003 Belgian Federal election. The previous name of the party was ""Flemish Socialist Party (SP)"".","BEL"
"Belgium","#0560005","Socialist Party Differently (SP.A)","SP.A",,"Socialist Party Differently","Socialist Party Differently (SP.A) - In CSES MODULE 2, separate codes were assigned to SP.A and SP. In CSES IMD, both were coded into 0560005.","BEL"
"Belgium","#0560010","Humanist Democratic Centre (CDH)","CDH",,"Humanist Democratic Centre",,"BEL"
"Belgium","#0560011","Worker's Party of Belgium (PVDA)","PVDA",,"Worker's Party of Belgium",,"BEL"
"Belgium","#0560012","Flemish Block (VB)","VB",,"Flemish Block",,"BEL"
"Belgium","#0560013","Confederated Ecologists (ECOLO)","ECOLO",,"Confederated Ecologists",,"BEL"
"Belgium","#0560014","Democratic Francophones Front (FDF)","FDF",,"Democratic Francophones Front",,"BEL"
"Belgium","#0560015","People's Union (VU)","VU",,"People's Union",,"BEL"
"Belgium","#0560016","Liberal Reformist Party - Francophone Democratic Front (PRL-FDF)","PRL-FDF",,"Liberal Reformist Party - Francophone Democratic Front","Liberal Reformist Party - Francophone Democratic Front (PRL - FDF) refers to an electoral alliance between the PRL and the FDF, founded in 1993. Joined by the Citizens Movement for Change (MCC) in 1998 and by the Party for Freedom and Progress (PFF), the alliance turned into the Reformist Movement (MR), which has been assigned the IMD party code 0560026.","BEL"
"Belgium","#0560017","RESIST",,,"RESIST",,"BEL"
"Belgium","#0560018","Live Differently - Flemish-speaking Ecologists (AGALEV)","AGALEV",,"Live Differently - Flemish-speaking Ecologists",,"BEL"
"Belgium","#0560019","National Front (FN)","FN",,"National Front",,"BEL"
"Belgium","#0560020","Worker's Party of Belgium (PA-PTB)","PA-PTB",,"Worker's Party of Belgium",,"BEL"
"Belgium","#0560021","Christian Social Party (CSP)","CSP",,"Christian Social Party",,"BEL"
"Belgium","#0560022","Spirit -- Social, Progressive, International, Regionalist, Democratic and Future-Oriented (SPIRIT)","SPIRIT",,"Spirit -- Social, Progressive, International, Regionalist, Democratic and Future-Oriented",,"BEL"
"Belgium","#0560023","Alive (V)","V",,"Alive",,"BEL"
"Belgium","#0560024","Waardig Ouder Worden (WOW)","WOW",,"Waardig Ouder Worden",,"BEL"
"Belgium","#0560025","Agir (Act)","Act",,"Agir",,"BEL"
"Belgium","#0560026","Reformist Movement (MR)","MR",,"Reformist Movement",,"BEL"
"Belgium","#0560027","Partij voor een Nieuwe Politiek in Belgie (PNPb)","PNPb",,"Partij voor een Nieuwe Politiek in Belgie",,"BEL"
"Belgium","#0560028","Francophone Christian Social Party (PSC)","PSC",,"Francophone Christian Social Party",,"BEL"
"Brazil","#0760001","Workers Party (PT)","PT",,"Workers Party",,"BRA"
"Brazil","#0760002","Brazilian Social Democratic Party (PSDB)","PSDB",,"Brazilian Social Democratic Party",,"BRA"
"Brazil","#0760003","Party of the Brazilian Democratic Movement (PMDB)","PMDB",,"Party of the Brazilian Democratic Movement",,"BRA"
"Brazil","#0760004","Progressive Party (PP)","PP",,"Progressive Party",,"BRA"
"Brazil","#0760005","Brazilian Socialist Party (PSB)","PSB",,"Brazilian Socialist Party",,"BRA"
"Brazil","#0760006","Social Democratic Party (PSD)","PSD",,"Social Democratic Party",,"BRA"
"Brazil","#0760007","Republic Party (PR)","PR",,"Republic Party","Republic Party (PR) was founded on December 21, 2006 and was a merge between the Liberal Party (PL) and the Party of Reconstruction of the National Order (PRONA).","BRA"
"Brazil","#0760008","Brazilian Republican Party (PRB)","PRB",,"Brazilian Republican Party",,"BRA"
"Brazil","#0760009","Democrats (DEM)","DEM",,"Democrats","Democrats (DEM) were known as the ""Party of the Liberal Front (PFL)"" until 2007.","BRA"
"Brazil","#0760009","Democrats (DEM)","DEM",,"Democrats","Democrats (DEM) - in CSES MODULE 3, separate codes were assigned to DEM and PFL. In CSES IMD, both were coded into 0760009.","BRA"
"Brazil","#0760009","Party of the Liberal Front (PFL)","PFL",,"Party of the Liberal Front","Democrats (DEM) were known as the ""Party of the Liberal Front (PFL)"" until 2007.","BRA"
"Brazil","#0760009","Party of the Liberal Front (PFL)","PFL",,"Party of the Liberal Front","Democrats (DEM) - in CSES MODULE 3, separate codes were assigned to DEM and PFL. In CSES IMD, both were coded into 0760009.","BRA"
"Brazil","#0760010","Brazilian Labor Party (PTB)","PTB",,"Brazilian Labor Party",,"BRA"
"Brazil","#0760011","Labor Democratic Party (PDT)","PDT",,"Labor Democratic Party",,"BRA"
"Brazil","#0760012","Solidarity (SD)","SD",,"Solidarity",,"BRA"
"Brazil","#0760016","Social Christian Party (PSC)","PSC",,"Social Christian Party",,"BRA"
"Brazil","#0760017","Green Party (PV)","PV",,"Green Party",,"BRA"
"Brazil","#0760018","Popular Socialist Party (PPS)","PPS",,"Popular Socialist Party",,"BRA"
"Brazil","#0760019","Republican Party of the Social Order (PROS)","PROS",,"Republican Party of the Social Order",,"BRA"
"Brazil","#0760020","Communist Party of Brazil (PC do B)","PC do B",,"Communist Party of Brazil",,"BRA"
"Brazil","#0760021","Socialism and Freedom Party (PSOL)","PSOL",,"Socialism and Freedom Party",,"BRA"
"Brazil","#0760022","Humanist Party of Solidarity (PHS)","PHS",,"Humanist Party of Solidarity",,"BRA"
"Brazil","#0760023","Labor Party of Brazil (PT do B)","PT do B",,"Labor Party of Brazil",,"BRA"
"Brazil","#0760024","Social Liberal Party (PSL)","PSL",,"Social Liberal Party",,"BRA"
"Brazil","#0760025","National Labor Party (PTN)","PTN",,"National Labor Party",,"BRA"
"Brazil","#0760026","Progressive Republican Party (PRP)","PRP",,"Progressive Republican Party",,"BRA"
"Brazil","#0760027","National Ecologic Party (PEN)","PEN",,"National Ecologic Party",,"BRA"
"Brazil","#0760028","Party of National Mobilization (PMN)","PMN",,"Party of National Mobilization",,"BRA"
"Brazil","#0760029","Christian Labor Party (PTC)","PTC",,"Christian Labor Party","Christian Labor Party (PTC) was founded as the Youth Party (PJ) in 1985, but changed its name to ""National Reconstruction Party (PRN)"" in 1989 (MODULE 2). It changed its name again to ""Christian Labor Party (PTC)"" in 2000.","BRA"
"Brazil","#0760030","Free Homeland Party (PPL)","PPL",,"Free Homeland Party",,"BRA"
"Brazil","#0760031","Christian Social Democratic Party (PSDC)","PSDC",,"Christian Social Democratic Party",,"BRA"
"Brazil","#0760032","Brazilian Labor Renewal Party (PRTB)","PRTB",,"Brazilian Labor Renewal Party",,"BRA"
"Brazil","#0760033","Unified Socialist Workers' Party (PSTU)","PSTU",,"Unified Socialist Workers' Party",,"BRA"
"Brazil","#0760034","Brazilian Communist Party (PCB)","PCB",,"Brazilian Communist Party",,"BRA"
"Brazil","#0760035","Workers' Cause Party (PCO)","PCO",,"Workers' Cause Party",,"BRA"
"Brazil","#0760041","Party of the Nations Retirees (PAN)","PAN",,"Party of the Nations Retirees",,"BRA"
"Brazil","#0760042","Brazilian Democratic Party (PDB)","PDB",,"Brazilian Democratic Party",,"BRA"
"Brazil","#0760043","National Democratic Party (PDN)","PDN",,"National Democratic Party",,"BRA"
"Brazil","#0760044","Democratic Social Party (PDS)","PDS",,"Democratic Social Party",,"BRA"
"Brazil","#0760046","Liberal Party (PL)","PL",,"Liberal Party",,"BRA"
"Brazil","#0760047","Party of the New Republic (PNR)","PNR",,"Party of the New Republic",,"BRA"
"Brazil","#0760048","Brazilian Progressive Party (PPB)","PPB",,"Brazilian Progressive Party",,"BRA"
"Brazil","#0760049","National Order Reconstruction Party (PRONA)","PRONA",,"National Order Reconstruction Party",,"BRA"
"Brazil","#0760050","The Social Labor Party (PST)","PST",,"The Social Labor Party",,"BRA"
"Bulgaria","#1000001","Citizens for European Development of Bulgaria	(GERB)","GERB",,"Citizens for European Development of Bulgaria	",,"BGR"
"Bulgaria","#1000002","Bulgarian Socialist Party (BSP)","BSP",,"Bulgarian Socialist Party",,"BGR"
"Bulgaria","#1000003","Movement for Rights and Freedoms (DPS)","DPS",,"Movement for Rights and Freedoms",,"BGR"
"Bulgaria","#1000004","Reformist Bloc (RB)","RB",,"Reformist Bloc",,"BGR"
"Bulgaria","#1000005","Patriotic Front (NFSB and IMRO)","NFSB and IMRO",,"Patriotic Front",,"BGR"
"Bulgaria","#1000006","Bulgaria without Censorship (BBZ)","BBZ",,"Bulgaria without Censorship",,"BGR"
"Bulgaria","#1000007","Attack (Ataka)","Ataka",,"Attack",,"BGR"
"Bulgaria","#1000008","Alternative for Bulgarian Revival (ABV)","ABV",,"Alternative for Bulgarian Revival",,"BGR"
"Bulgaria","#1000009","Movement 21 (D21)","D21",,"Movement 21",,"BGR"
"Bulgaria","#1000013","Green Party (ZP)","ZP",,"Green Party",,"BGR"
"Bulgaria","#1000014","Republic BG",,,"Republic BG",,"BGR"
"Bulgaria","#1000015","PP New Time (NV)","NV",,"PP New Time",,"BGR"
"Bulgaria","#1000016","New Force (NF)","NF",,"New Force",,"BGR"
"Bulgaria","#1000017","United Bulgaria (OB)","OB",,"United Bulgaria",,"BGR"
"Bulgaria","#1000018","Bulgarian Social Democratic Party (BSDP)","BSDP",,"Bulgarian Social Democratic Party",,"BGR"
"Bulgaria","#1000019","National Movement for Stability and Progress (NDS)","NDS",,"National Movement for Stability and Progress",,"BGR"
"Bulgaria","#1000020","BSP Left Bulgaria - Coalition for Bulgaria (KzB | DL)","KzB | DL",,"BSP Left Bulgaria - Coalition for Bulgaria",,"BGR"
"Bulgaria","#1000021","Bulgarian Communist Party (KPB)","KPB",,"Bulgarian Communist Party",,"BGR"
"Bulgaria","#1000022","New Alternative (Nikolay Tzove's party)	",,"Nikolay Tzove's party","New Alternative",,"BGR"
"Bulgaria","#1000023","Left and Green Parties",,,"Left and Green Parties",,"BGR"
"Bulgaria","#1000024","Social Democratic Party (SDP)","SDP",,"Social Democratic Party",,"BGR"
"Bulgaria","#1000025","Inner Macedonian Revolutionary Organization (VMRO)","VMRO",,"Inner Macedonian Revolutionary Organization",,"BGR"
"Bulgaria","#1000026","National Union, Fatherland Left",,,"National Union, Fatherland Left",,"BGR"
"Bulgaria","#1000027","Bulgarian Business Bloc (BBB)","BBB",,"Bulgarian Business Bloc",,"BGR"
"Bulgaria","#1000028","Christian Social Union",,,"Christian Social Union",,"BGR"
"Bulgaria","#1000029","Coalition: Bulgarian Social Democratic Party, Democratic Left",,,"Coalition: Bulgarian Social Democratic Party, Democratic Left",,"BGR"
"Bulgaria","#1000030","Coalition: Georgievden, Inner Macedonian Revolutionary Organization",,,"Coalition: Georgievden, Inner Macedonian Revolutionary Organization",,"BGR"
"Bulgaria","#1000031","Fatherland Party of Labor",,,"Fatherland Party of Labor",,"BGR"
"Bulgaria","#1000032","National Union",,,"National Union",,"BGR"
"Bulgaria","#1000033","The Bloc of G. Ganchev",,,"The Bloc of G. Ganchev",,"BGR"
"Bulgaria","#1000034","United Democratic Forces (UDF)","UDF",,"United Democratic Forces",,"BGR"
"Bulgaria","#1000035","Union Bulgaria",,,"Union Bulgaria",,"BGR"
"Bulgaria","#1000036","Movement 'Georgievden' (DG)","DG",,"Movement 'Georgievden'",,"BGR"
"Bulgaria","#1000037","Union For National Salvation (NFSB)","NFSB",,"Union For National Salvation",,"BGR"
"Bulgaria","#1000038","Democratic Alternative For The Republic (DAR)","DAR",,"Democratic Alternative For The Republic",,"BGR"
"Bulgaria","#1000039","Eurorama (ER)","ER",,"Eurorama",,"BGR"
"Bulgaria","#1000040","Euroleft (BE)","BE",,"Euroleft",,"BGR"
"Bulgaria","#1000041","Euroleft",,,"Euroleft",,"BGR"
"Bulgaria","#1000042","Bulgarian Agricultural National Forces - United (BZNS)","BZNS",,"Bulgarian Agricultural National Forces - United",,"BGR"
"Bulgaria","#1000043","Bulgarian Agricultural National Forces - 'N. Petkov' (BZNS - NP)","BZNS - NP",,"Bulgarian Agricultural National Forces - 'N. Petkov'",,"BGR"
"Bulgaria","#1000044","Bulgarian Agricultural National Forces - 'Al. Stamboliski' (BZNS - AS)","BZNS - AS",,"Bulgarian Agricultural National Forces - 'Al. Stamboliski'",,"BGR"
"Bulgaria","#1000045","Bulgarian Agricultural National Forces, A. Mauser, National Union",,,"Bulgarian Agricultural National Forces, A. Mauser, National Union",,"BGR"
"Bulgaria","#1000046","Coalition United Agricultural Forces",,,"Coalition United Agricultural Forces",,"BGR"
"Bulgaria","#1000047","Order, Law and Justice (RZS)","RZS",,"Order, Law and Justice",,"BGR"
"Bulgaria","#1000048","IMRO - Bulgarian National Movement (IMRO)","IMRO",,"IMRO - Bulgarian National Movement","IMRO - Bulgarian National Movement (IMRO) is a member of the Patriotic Front (IMD Code 1000005) since 2014.","BGR"
"Bulgaria","#1000049","Leader",,,"Leader",,"BGR"
"Bulgaria","#1000050","Bulgaria for Citizens Movement (BNG)","BNG",,"Bulgaria for Citizens Movement",,"BGR"
"Bulgaria","#1000051","People's Voice (GN)","GN",,"People's Voice",,"BGR"
"Bulgaria","#1000200","Coalition For Bulgaria (CB - KzB)","CB - KzB",,"Coalition For Bulgaria",,"BGR"
"Bulgaria","#1000201","Democrats for Strong Bulgaria and Bulgarian Democratic Forum (DSB-BDF)	","DSB-BDF",,"Democrats for Strong Bulgaria and Bulgarian Democratic Forum",,"BGR"
"Canada","#1240001","Liberal Party (LIB)","LIB",,"Liberal Party",,"CAN"
"Canada","#1240002","Conservative Party (CP)","CP",,"Conservative Party",,"CAN"
"Canada","#1240003","New Democratic Party (NDP)","NDP",,"New Democratic Party",,"CAN"
"Canada","#1240004","Bloc Quebecois (BQ)","BQ",,"Bloc Quebecois","Bloc Quebecois (BQ) only contests elections in the province of Quebec.","CAN"
"Canada","#1240005","Green Party (GP)","GP",,"Green Party",,"CAN"
"Canada","#1240006","Progressive Conservative (PC)","PC",,"Progressive Conservative",,"CAN"
"Canada","#1240007","Reform Party (RPC)","RPC",,"Reform Party",,"CAN"
"Canada","#1240008","Alliance (Canadian Reform Conservative Alliance)	",,"Canadian Reform Conservative Alliance","Alliance",,"CAN"
"Canada","#1240015","Marijuana Party",,,"Marijuana Party",,"CAN"
"Canada","#1240016","Libertarian Party of Canada (LPC)","LPC",,"Libertarian Party of Canada",,"CAN"
"Canada","#1240017","Christian Heritage Party (CHP)","CHP",,"Christian Heritage Party",,"CAN"
"Chile","#1520001","Christian Democratic Party (PDC)","PDC",,"Christian Democratic Party",,"CHL"
"Chile","#1520002","Independent Democratic Union (UDI)","UDI",,"Independent Democratic Union",,"CHL"
"Chile","#1520003","National Renewal (RN)","RN",,"National Renewal",,"CHL"
"Chile","#1520004","Socialist Party (PS)","PS",,"Socialist Party",,"CHL"
"Chile","#1520005","Party for Democracy (PPD)","PPD",,"Party for Democracy",,"CHL"
"Chile","#1520006","Communist Party of Chile (PCCh)","PCCh",,"Communist Party of Chile",,"CHL"
"Chile","#1520007","Radical Social-Democratic Party (PRSD)","PRSD",,"Radical Social-Democratic Party",,"CHL"
"Chile","#1520011","Peruvian Aprista Party (PAP)","PAP",,"Peruvian Aprista Party",,"CHL"
"Chile","#1520012","Electoral list of Marco Enriquez-Ominamo (MEO)","MEO",,"Electoral list of Marco Enriquez-Ominamo",,"CHL"
"Chile","#1520013","Concertation of Parties for Democracy (CPD)","CPD",,"Concertation of Parties for Democracy","Concertation of Parties for Democracy (CPD) was an electoral coalition in Chile which was founded in 1988 and replaced in 2013 by the new electoral coalition ""New Majority."" Among its members were the Christian Democratic Party (PDC), the Socialist Party (PS), the Party for Democracy (PPD), and the Radical Social-Democratic Party (PRSD).","CHL"
"Chile","#1520014","Humanist Party (PH)","PH",,"Humanist Party",,"CHL"
"Chile","#1520015","Together We Can",,,"Together We Can","Together We Can was an electoral coalition founded in 2003 which consisted of the Communist Party of Chile (PCCh), the Humanist Party (PH), the Christian Left Party of Chile and further smaller left-wing parties.","CHL"
"Chile","#1520020","Coalition for Change (CC)","CC",,"Coalition for Change","Coalition for Change (CC), formerly known as Alliance for Chile (MODULE 2), was an electoral coalition of which the Independent Democratic Union (UDI) and National Renewal (RN) were members.","CHL"
"Chile","#1520021","Progressive Center-Center Union (UCCP)","UCCP",,"Progressive Center-Center Union",,"CHL"
"Chile","#1520022","National Alliance of Independents",,,"National Alliance of Independents",,"CHL"
"Croatia","#1910001","Croatian Democratic Union (HDZ)","HDZ",,"Croatian Democratic Union",,"HRV"
"Croatia","#1910002","Social Democratic Party of Croatia (SDP)","SDP",,"Social Democratic Party of Croatia",,"HRV"
"Croatia","#1910003","Croatian People's Party - Liberal Democrats (HNS)","HNS",,"Croatian People's Party - Liberal Democrats",,"HRV"
"Croatia","#1910006","Croatian Party of Pensioners (HSU)","HSU",,"Croatian Party of Pensioners",,"HRV"
"Croatia","#1910007","Croatian Peasant Party (HSS)","HSS",,"Croatian Peasant Party",,"HRV"
