country,year_first,year_last,share_year,share,seats,seats_total,name,name_short,country_name,party_id
CAF,1993,2011,1998,43.1,47,109,Movement for the Liberation of the Central African People,MLPC,Central African Republic,CAF-MLCAP
CAF,1959,1993,1964,99,60,60,Movement for the Social Evolution of Black Africa,MESAN,Central African Republic,CAF-MSEBA
CAF,2005,2005,2005,40,42,105,"National Convergence ""Kwa Na Kwa""",KNK,Central African Republic,CAF-NCKNK
CAF,1993,2005,1993,8.2,7,85,Patriotic Front for Progress,FPP,Central African Republic,CAF-PFP
CAF,1993,2005,1998,5.5,6,109,Social Democratic Party,PSD,Central African Republic,CAF-SDP
CAF,2011,2011,2011,64.8,68,105,To Be Decided in the Second Round,,Central African Republic,CAF-TBDSR
CIV,1959,2011,1959,100,100,100,Democratic Party of Côte d'Ivoire-African Democratic Rally,PDCI-RDA,Côte d’Ivoire,CIV-DPCIADR
CIV,1990,2011,2011,13.8,31,225,Independents,,Côte d’Ivoire,CIV-I
CIV,1990,2000,2000,42.7,96,225,Ivorian Popular Front,FPI,Côte d’Ivoire,CIV-IPF
CIV,1995,2011,2011,54.2,122,225,Rally of the Republicans,RDR,Côte d’Ivoire,CIV-RR
CMR,1988,2007,1988,100,180,180,Cameroon People's Democratic Movement,RDPC,Cameroon,CMR-CPDM
CMR,1961,1964,1961,26.8,10,37,Cameroon People's National Convention,CPNC,Cameroon,CMR-CPNC
CMR,1956,1956,1956,11.4,8,70,Cameroonian National Action Movement,MANC,Cameroon,CMR-CNAM
CMR,1970,1983,1970,100,50,50,Cameroonian National Union,UNC,Cameroon,CMR-CNU
CMR,1956,1964,1956,28.6,20,70,Cameroonian Party of Democrats,PDC,Cameroon,CMR-CPD
CMR,1956,1964,1964,93.5,40,40,Cameroonian Union,UC,Cameroon,CMR-CU
CMR,1956,1956,1956,12.9,9,70,Independent Peasants,PI,Cameroon,CMR-IP
CMR,1959,1961,1961,10.8,2,37,Independents,,Cameroon,CMR-I
CMR,1959,1959,1959,37.5,12,26,Kamerun National Congress-Kamerun People's Party,KNC-KPP,Cameroon,CMR-KNCKPP
CMR,1959,1959,1959,30.8,8,26,Kamerun National Congress,KNC,Cameroon,CMR-KNC
CMR,1959,1964,1964,76,10,10,Kamerun National Democratic Party,KNDP,Cameroon,CMR-KNDP
CMR,1959,1959,1959,15.4,4,26,Kamerun People's Party,KPP,Cameroon,CMR-KPP
CMR,1992,1997,1992,10,18,180,Movement for the Defense of the Republic,MDR,Cameroon,CMR-MDR
CMR,1992,2007,1992,37.8,68,180,National Union for Democracy and Progress,UNDP,Cameroon,CMR-NUDP
CMR,1959,1961,1961,6.9,1,37,One Kamerun,OK,Cameroon,CMR-OK
CMR,1956,1961,1960,17.3,,100,Others,,Cameroon,CMR-O
CMR,1960,1960,1960,10.8,19,100,Popular Front for Unity and Peace,FPUP,Cameroon,CMR-PFUP
CMR,1997,2007,1997,23.9,43,180,Social Democratic Front,SDF,Cameroon,CMR-SDF
CMR,1960,2002,1960,11.2,8,100,Union of the Peoples of Cameroon,UPC,Cameroon,CMR-UPC
COD,1960,1960,1960,12.5,13,137,African Solidarity Party,PSA,Congo - Kinshasa,COD-ASP
COD,1960,1965,1960,9.5,12,137,Alliance of the Bakongo,ABAKO,Congo - Kinshasa,COD-AB
COD,1960,1965,1965,5.4,9,167,Confederation of Tribal Associations of Katanga,CONAKAT,Congo - Kinshasa,COD-CTAK
COD,1965,1965,1965,22.2,37,167,Congolese National Convention,CONACO,Congo - Kinshasa,COD-CNC-2
COD,1960,1960,1960,6.6,7,137,Congolese National Movement-Kalonji,MNC-K,Congo - Kinshasa,COD-CNMK
COD,1960,1965,1960,23.4,33,137,Congolese National Movement-Lumumba,MNC-L,Congo - Kinshasa,COD-CNML
COD,2006,2006,2006,5.2,26,500,Forces of Renewal,FR,Congo - Kinshasa,COD-FR
COD,1960,2011,2006,12.6,63,500,Independents,,Congo - Kinshasa,COD-I-2
COD,2006,2011,2006,12.8,64,500,Movement for the Liberation of Congo,MLC,Congo - Kinshasa,COD-MLC
COD,1960,1960,1960,6.2,7,137,National Progress Party,PNP,Congo - Kinshasa,COD-NPP-2
COD,2011,2011,2011,6,30,500,People's Party for Peace and Democracy,PPPD,Congo - Kinshasa,COD-PPPD
COD,2006,2011,2006,22.2,111,500,People's Party for Reconstruction and Democracy,PPRD,Congo - Kinshasa,COD-PPRD
COD,1970,2006,1970,100,420,420,Popular Movement of the Revolution,MPR,Congo - Kinshasa,COD-PMR
COD,2006,2011,2011,5.6,28,500,Social Movement for Renewal,MSR,Congo - Kinshasa,COD-SMR
COD,2006,2011,2006,6.8,34,500,Unified Lumumbist Party,PALU,Congo - Kinshasa,COD-ULP
COD,2011,2011,2011,8.4,42,500,Union for Democracy and Progress-Tshisekedi,,Congo - Kinshasa,COD-UDPT
COG,1959,1959,1959,40.5,10,61,African Socialist Movement-Congolese Progressive Party,MSA-PPC,Congo - Brazzaville,COG-ASMCPP
COG,1973,2012,1973,100,115,115,Congolese Labor Party,PCT,Congo - Brazzaville,COG-CLP
COG,1992,2012,1992,23.2,29,125,Congolese Movement for Democracy and Integral Development,MCDDI,Congo - Brazzaville,COG-CMDID
COG,1959,1959,1959,59.5,51,61,Democratic Union for the Defense of African Interests,UDDIA,Congo - Brazzaville,COG-DUDAI
COG,1992,2012,2007,27,37,137,Independents,,Congo - Brazzaville,COG-I-2
COG,1963,1963,1963,100,55,55,National Revolutionary Movement,MNR,Congo - Brazzaville,COG-NRM
COG,2002,2002,2002,25.5,35,137,Others & Independents,,Congo - Brazzaville,COG-OI
COG,1992,2012,1993,37.6,47,125,Pan-African Union for Social Democracy,UPADS,Congo - Brazzaville,COG-PAUSD
COG,1992,2012,1993,8,10,125,Rally for Democracy and Social Progress,RDPS,Congo - Brazzaville,COG-RDSP
COG,2002,2002,2002,21.9,30,137,United Democratic Forces,FDU,Congo - Brazzaville,COG-UDF-2
COG,2002,2012,2002,5.8,8,137,Vacant,,Congo - Brazzaville,COG-V-2
COM,2009,2009,2009,70.8,17,24,Baobab Movement,,Comoros,COM-BM
COM,2004,2004,2004,66.7,12,18,Camp of the Autonomous Islands,CdÎA,Comoros,COM-CAI
COM,1992,1993,1992,7.1,3,42,Comoran Party for Democracy and Progress,,Comoros,COM-CPDP
COM,1982,1993,1982,100,38,38,Comoran Union for Progress,UDZIMA,Comoros,COM-CUP
COM,2004,2004,2004,33.3,6,18,Convention for the Renewal of the Comoros,CRC,Comoros,COM-CRC
COM,1978,1996,1978,100,38,38,Independents,,Comoros,COM-I
COM,1992,1993,1992,7.1,3,42,Islands' Fraternity and Unity Party,CHUMA,Comoros,COM-IFUP
COM,1992,1992,1992,7.1,3,42,Maecha Bora,,Comoros,COM-MB
COM,1992,1993,1992,7.1,3,42,Movement for Democracy and Progress-New Democratic Generation of the Comoros,MDP-NGDC,Comoros,COM-MDPNDGC
COM,1996,1996,1996,7,3,43,National Front for Justice,FNJ,Comoros,COM-NFJ
COM,1996,1996,1996,83.7,36,43,National Rally for Development,RND,Comoros,COM-NRD
COM,1993,1993,1993,9.5,4,42,National Union for Democracy in the Comoros,UNDC,Comoros,COM-NUDC
COM,2009,2009,2009,16.7,4,24,Opposition,,Comoros,COM-O
COM,1992,2009,1992,33.3,14,42,Others,,Comoros,COM-O-2
COM,1993,1993,1993,66.7,28,42,Rally for Democracy and Renewal,RDR,Comoros,COM-RDR
COM,1992,1992,1992,16.7,7,42,Union of Democrats for Development,UDD,Comoros,COM-UDD
CPV,1985,2011,1985,100,83,83,African Party for the Independence of Cape Verde,PAICV,Cape Verde,CPV-APICV
CPV,1975,1980,1975,100,56,56,African Party for the Independence of Guinea and Cape Verde,PAIGC,Cape Verde,CPV-APIGCV
CPV,2001,2001,2001,6.1,2,72,Democratic Alliance for Change,ADM,Cape Verde,CPV-DAC
CPV,1995,1995,1995,6.7,1,72,Democratic Convergence Party,PCD,Cape Verde,CPV-DCP
CPV,1991,2011,1991,66.4,56,79,Movement for Democracy,MpD,Cape Verde,CPV-MD
DJI,1992,1997,1992,25.4,,65,Democratic Renewal Party,PRD,Djibouti,DJI-DRP
DJI,1997,1997,1997,16.9,11,65,Front for the Restoration of Unity and Democracy,FRUD,Djibouti,DJI-FRUD
DJI,1973,1973,1973,75.9,40,40,Majority,,Djibouti,DJI-M
DJI,1973,1973,1973,15.1,,40,Moderate Opposition,,Djibouti,DJI-MO
DJI,1973,1973,1973,9.1,,40,Other Opposition,,Djibouti,DJI-OO
DJI,1977,1977,1977,100,,,People's Rally for Independence,RPI,Djibouti,DJI-PRI
DJI,1997,1997,1997,78.6,65,65,People's Rally for Progress-Front for the Restoration of Unity and Democracy,RPP-FRUD,Djibouti,DJI-PRPFRUD
DJI,1982,1997,1982,100,65,65,People's Rally for Progress,RPP,Djibouti,DJI-PRP
DJI,2003,2003,2003,37.6,,65,Union for a Democratic Alternative,UAD,Djibouti,DJI-UDA
DJI,2003,2008,2008,100,65,65,Union for a Presidential Majority,UMP,Djibouti,DJI-UPM
ETH,2000,2000,2000,26.7,146,547,Amhara National Democratic Movement,ANDM,Ethiopia,ETH-ANDM
ETH,2005,2005,2005,19.9,109,547,Coalition for Unity and Democracy,CUD,Ethiopia,ETH-CUD
ETH,2000,2000,2000,6.8,37,547,EPRDF-Affiliated Parties,,Ethiopia,ETH-EPRDFAP
ETH,1995,2010,2010,91.2,499,547,Ethiopian People's Revolutionary Democratic Front,EPRDF,Ethiopia,ETH-EPRDF
ETH,1994,2005,1994,88.5,484,547,Ethiopian People’s Revolutionary Democratic Front,EPRDF,Ethiopia,ETH-EPRDF-2
ETH,2000,2000,2000,33.5,183,547,Oromo People’s Democratic Organization,OPDO,Ethiopia,ETH-OPDO
ETH,1994,2000,1994,11.5,63,547,Others,,Ethiopia,ETH-O
ETH,2000,2000,2000,20.5,112,547,Southern Ethiopia People’s Democratic Movement,SEPDM,Ethiopia,ETH-SEPDM
ETH,2000,2000,2000,7.3,40,547,Tigray People’s Liberation Front,TPLF,Ethiopia,ETH-TPLF
ETH,2005,2005,2005,9.5,52,547,United Ethiopian Democratic Forces,UEDF,Ethiopia,ETH-UEDF
ETH,1987,1987,1987,100,835,835,Worker’s Party of Ethiopia,WPE,Ethiopia,ETH-WPE
GAB,1990,1990,1990,5,6,120,Association for Socialism in Gabon,APSG,Gabon,GAB-ASG
GAB,1957,1957,1957,7.5,3,40,Defense of Gabonese Interests,DIG,Gabon,GAB-DGI
GAB,1957,1957,1957,20,8,40,Entente for the Defense of Gabonese Interests,EDIG,Gabon,GAB-EDGI
GAB,1957,1957,1957,45,18,40,Gabonese Democratic and Social Union,UDSG,Gabon,GAB-GDSU
GAB,1964,1964,1964,25.8,,47,Gabonese Democratic and Social Union (UDSG) & Defense of Democratic Institutions,,Gabon,GAB-GDSU-2
GAB,1957,1964,1964,48.8,,47,Gabonese Democratic Bloc,BDG,Gabon,GAB-GDB
GAB,1964,1964,1964,55.4,31,47,Gabonese Democratic Bloc,BDG,Gabon,GAB-GDB-2
GAB,1973,2011,1973,100,70,70,Gabonese Democratic Party,PDG,Gabon,GAB-GDP
GAB,1990,2001,1990,15,18,120,Gabonese Progress Party,PGP,Gabon,GAB-GPP
GAB,1957,2006,2001,10,12,120,Independents,,Gabon,GAB-I
GAB,2001,2001,2001,6.7,8,120,National Rally of Woodcutters-Rally for Gabon,RNB-RPG,Gabon,GAB-NRWRG
GAB,1996,1996,1996,5.8,7,120,National Rally of Woodcutters,RNB,Gabon,GAB-NRW
GAB,1990,1990,1990,16.7,20,120,National Recovery Movement-Woodcutters,,Gabon,GAB-NRMW
GAB,1990,1996,1990,5.8,7,120,National Recovery Movement,,Gabon,GAB-NRM
GAB,1964,1964,1964,44.6,16,47,Opposition,,Gabon,GAB-O
GAB,1964,1964,1964,18.8,,47,Others,,Gabon,GAB-O-2
GAB,2006,2011,2006,6.7,8,120,Rally for Gabon,RPG,Gabon,GAB-RG
GAB,1996,2006,2006,6.7,8,120,Union of the Gabonese People,UPG,Gabon,GAB-UGP
GHA,1979,1979,1979,8.8,10,140,Action Congress Party,ACP,Ghana,GHA-ACP
GHA,1951,2008,1965,100,198,198,Convention People's Party,CPP,Ghana,GHA-CPP
GHA,1951,2008,1954,15.4,16,104,Independents,,Ghana,GHA-I-2
GHA,2000,2000,2000,6.3,4,200,Independents & Others,,Ghana,GHA-IO
GHA,1969,1969,1969,30.8,29,140,National Alliance of Liberals,NAL,Ghana,GHA-NAL
GHA,1992,1992,1992,19.2,8,200,National Convention Party,NCP,Ghana,GHA-NCP
GHA,1992,2008,1992,77.5,189,200,National Democratic Congress,NDC,Ghana,GHA-NDC
GHA,1956,1956,1956,20.9,12,104,National Liberation Movement,NLM,Ghana,GHA-NLM
GHA,1996,2008,2004,64,128,200,New Patriotic Party,NPP,Ghana,GHA-NPP
GHA,1954,1956,1954,11.5,12,104,Northern People's Party,NPP,Ghana,GHA-NPP-2
GHA,1979,1979,1979,36.4,71,140,People's National Party,PNP,Ghana,GHA-PNP
GHA,1979,1979,1979,30.6,42,140,Popular Front Party,PFP,Ghana,GHA-PFP
GHA,1969,1969,1969,58.3,105,140,Progress Party,PP,Ghana,GHA-PP
GHA,1951,1951,1951,5.3,2,38,United Gold Coast Convention,UGCC,Ghana,GHA-UGCC
GHA,1979,1979,1979,17.5,13,140,United National Convention,UNC,Ghana,GHA-UNC
GIN,1957,1957,1957,6,,60,African Bloc of Guinea,BAG,Guinea,GIN-ABG
GIN,1957,1995,1957,77.4,56,60,Democratic Party of Guinea-African Democratic Rally,PDG-RDA,Guinea,GIN-DPGADR
GIN,1963,2002,1968,100,75,75,Democratic Party of Guinea,PDG,Guinea,GIN-DPG
GIN,1957,1957,1957,6.3,1,60,Others,,Guinea,GIN-O
GIN,1995,1995,1995,7.9,9,114,Party of Renewal and Progress,PRP,Guinea,GIN-PRP
GIN,1995,2002,1995,62.3,71,114,Party of Unity and Progress,PUP,Guinea,GIN-PUP
GIN,1995,1995,1995,16.7,19,114,Rally of the Guinean People,RPG,Guinea,GIN-RGP
GIN,1957,1957,1957,10.3,3,60,Socialist Democracy of Guinea,DSG,Guinea,GIN-SDG
GIN,2002,2002,2002,26.6,20,114,Union for Progress and Renewal,UPR,Guinea,GIN-UPR
GIN,1995,1995,1995,7.9,9,114,Union for the New Republic,UNR,Guinea,GIN-UNR
GMB,1997,2012,2002,93.8,45,48,Alliance for Patriotic Reorientation and Construction,APRC,Gambia,GMB-APRC
GMB,1960,1962,1960,5.1,1,19,Democratic Congress Alliance,DCA,Gambia,GMB-DCA
GMB,1987,1992,1987,14.9,,36,Gambian People's Party,GPP,Gambia,GMB-GPP
GMB,1960,2012,1960,39.9,4,19,Independents,,Gambia,GMB-I
GMB,1977,1992,1987,27.6,5,36,National Convention Party,NCP,Gambia,GMB-NCP
GMB,1997,2012,2012,9.4,1,48,National Reconciliation Party,NRP,Gambia,GMB-NRP
GMB,1987,2002,1997,7.9,1,45,People's Democratic Organisation for Independence and Socialism,PDOIS,Gambia,GMB-PDOIS
GMB,1962,1962,1962,62,19,32,People's Progressive Party-Democratic Congress Alliance,PPP-DCA,Gambia,GMB-PPPDCA
GMB,1960,1992,1977,69.6,27,35,People's Progressive Party,PPP,Gambia,GMB-PPP
GMB,1997,2007,1997,34,7,45,United Democratic Party,UDP,Gambia,GMB-UDP
GMB,1966,1966,1966,33.4,8,32,United Party-Gambia Congress Party,UP-GCP,Gambia,GMB-UPGCP
GMB,1960,1982,1966,21.9,7,32,United Party,UP,Gambia,GMB-UP
GMB,1962,1962,1962,37.9,13,32,United Party,UP,Gambia,GMB-UP-2
GNB,1972,2008,1977,100,150,150,African Party for the Independence of Guinea and Cape Verde,PAIGC,Guinea-Bissau,GNB-APIGCV
GNB,1994,1994,1994,5.3,1,100,Democratic Convergence Party,PCD,Guinea-Bissau,GNB-DCP
GNB,2008,2008,2008,7.5,3,100,Republican Party for Independence and Development,PRID,Guinea-Bissau,GNB-RPID
GNB,1994,2004,1999,28.4,29,102,Resistance of Guinea-Bissau-Bafatá Movement,RGB-MB,Guinea-Bissau,GNB-RGBBM
GNB,1994,2008,1999,37.3,38,102,Social Renewal Party,PRS,Guinea-Bissau,GNB-SRP
GNB,1994,1999,1994,12.7,6,100,Union for Change,UM,Guinea-Bissau,GNB-UC-2
GNB,1994,2008,2004,17.6,17,100,United Social Democratic Party,PUSD,Guinea-Bissau,GNB-USDP
GNQ,1968,1968,1968,20,7,35,Bubi Union,UB,Equatorial Guinea,GNQ-BU
GNQ,1999,2008,2004,6,2,100,Convergence for Social Democracy,CPDS,Equatorial Guinea,GNQ-CSD
GNQ,2004,2008,2004,42.4,30,100,Democratic Opposition,,Equatorial Guinea,GNQ-DO
GNQ,1988,2008,2008,89,89,100,Democratic Party of Equatorial Guinea,PDGE,Equatorial Guinea,GNQ-DPEG
GNQ,1983,1983,1983,100,41,41,Independents,,Equatorial Guinea,GNQ-I
GNQ,1993,1993,1993,6.4,1,80,Liberal Party,PL,Equatorial Guinea,GNQ-LP
GNQ,1968,1968,1968,28.6,10,35,National Liberation Movement of Equatorial Guinea,MONALIGE,Equatorial Guinea,GNQ-NLMEG
GNQ,1968,1968,1968,28.6,10,35,National Unity Movement of Equatorial Guinea,MUNGE,Equatorial Guinea,GNQ-NUMEG
GNQ,1968,1968,1968,22.9,8,35,Popular Idea of Equatorial Guinea,IPGE,Equatorial Guinea,GNQ-PIEG
GNQ,1999,1999,1999,6.4,4,80,Popular Union,UP,Equatorial Guinea,GNQ-PU
GNQ,1993,1993,1993,10.3,6,80,Social Democratic and Popular Convergence,CSDP,Equatorial Guinea,GNQ-SDPC
GNQ,1993,1993,1993,7.4,5,80,Social Democratic Union,UDS,Equatorial Guinea,GNQ-SDU
KEN,1992,2007,1997,19.5,41,210,Democratic Party,DP,Kenya,KEN-DP
KEN,1992,2007,1992,15.5,31,200,Forum for the Restoration of Democracy-Asili,FORD-A,Kenya,KEN-FRDA
KEN,1992,2007,1992,15.5,31,200,Forum for the Restoration of Democracy-Kenya,FORD-K,Kenya,KEN-FRDK
KEN,2002,2007,2002,6.7,15,224,Forum for the Restoration of Democracy-People,FORD-P,Kenya,KEN-FRDP
KEN,1961,1961,1961,33.3,11,33,Kenya African Democratic Union,KADU,Kenya,KEN-KADU
KEN,1961,2007,1969,100,158,158,Kenya African National Union,KANU,Kenya,KEN-KANU
KEN,2002,2002,2002,26.3,59,224,Liberal Democratic Party,LDP,Kenya,KEN-LDP
KEN,1997,1997,1997,10.5,22,210,National Development Party,NDP,Kenya,KEN-NDP
KEN,2002,2002,2002,58.9,132,224,National Rainbow Coalition,NARC,Kenya,KEN-NRC-2
KEN,2007,2007,2007,7.6,16,210,Orange Democratic Movement-Kenya,ODM-K,Kenya,KEN-ODMK
KEN,2007,2007,2007,47.1,99,210,Orange Democratic Movement,ODM,Kenya,KEN-ODM
KEN,1963,1963,1963,33.1,41,124,Others,,Kenya,KEN-O
KEN,2007,2007,2007,20.5,43,210,Party of National Unity,PNU,Kenya,KEN-PNU
KEN,1997,1997,1997,7.6,16,210,Social Democratic Party,SDP,Kenya,KEN-SDP
LBR,2005,2005,2005,14.7,8,64,Coalition for the Transformation of Liberia,COTOL,Liberia,LBR-CTL
LBR,2005,2011,2005,16.9,15,64,Congress for Democratic Change,CDC,Liberia,LBR-CDC
LBR,2005,2011,2011,21,9,73,Independents,,Liberia,LBR-I
LBR,1985,1985,1985,12.5,8,64,Liberian Action Party,LAP,Liberia,LBR-LAP
LBR,2005,2011,2005,13.4,9,64,Liberty Party,LP,Liberia,LBR-LP
LBR,2011,2011,2011,5.9,5,73,National Democratic Coalition,NDC,Liberia,LBR-NDC
LBR,1985,2011,1985,79.7,51,64,National Democratic Party of Liberia,NDPL,Liberia,LBR-NDPL
LBR,1997,2011,1997,75.3,49,64,National Patriotic Party,NPP,Liberia,LBR-NPP
LBR,1985,2011,2011,19,24,73,Unity Party,UP,Liberia,LBR-UP
LSO,2007,2012,2012,25.2,30,120,All Basotho Convention,ABC,Lesotho,LSO-ABC
LSO,1970,2012,1970,42.2,23,60,Basotho National Party,BNP,Lesotho,LSO-BNP
LSO,1960,2002,1960,75,30,40,Basutoland Congress Party,BCP,Lesotho,LSO-BCP-2
LSO,1960,1965,1965,41.6,35,60,Basutoland National Party,BNP,Lesotho,LSO-BNP-2
LSO,2012,2012,2012,39.6,48,120,Democratic Congress,DC,Lesotho,LSO-DC
LSO,1960,2012,1960,10,4,40,Independents,,Lesotho,LSO-I
LSO,1998,2012,1998,60.7,78,80,Lesotho Congress for Democracy,LCD,Lesotho,LSO-LCD
LSO,2002,2012,2002,5.8,5,120,Lesotho People's Congress,LPC,Lesotho,LSO-LPC
LSO,2002,2012,2007,24.3,10,120,Lesotho Workers' Party,LWP,Lesotho,LSO-LWP
LSO,1960,1965,1960,12.5,5,40,Marema Tlou Party,MTP,Lesotho,LSO-MTP
LSO,1965,2012,1965,16.5,4,60,Marematlou Freedom Party,MFP,Lesotho,LSO-MFP
