cntry,essround,variable,ess_id,party,n
BG,6,prtvtcbg,7,PP Natsionalen front za dpasenie na Bulgaria,14
BG,6,prtvtcbg,8,KP Sayuz na desnite sili,31
BG,6,prtvtcbg,9,PP Natsionalno dvizhenie Edinstvo,1
BG,6,prtvtcbg,11,PP Partia za horata ot naroda,1
BG,6,prtvtcbg,12,PP Balgarska demokratichna obshtnost,1
BG,6,prtvtcbg,13,"Kandidati, izdignati ot Initsiativni komiteti",19
BG,6,prtvtcbg,14,Not applicable,631
BG,6,prtvtcbg,15,Refusal,235
BG,6,prtvtcbg,16,Don't know,41
BG,6,prtvtcbg,17,No answer,1
CH,1,prtvtch,1,Radicals,141
CH,1,prtvtch,2,Christian-democrats,108
CH,1,prtvtch,3,Social-democrats,285
CH,1,prtvtch,4,Swiss People's Party,173
CH,1,prtvtch,5,Liberal Party,34
CH,1,prtvtch,6,Alliance of the Independents,4
CH,1,prtvtch,7,Evangelical People's Party,20
CH,1,prtvtch,8,Christian-Social Party,7
CH,1,prtvtch,9,Swiss Labour Party,6
CH,1,prtvtch,10,Green Party,60
CH,1,prtvtch,11,Swiss Democrats,2
CH,1,prtvtch,12,Federal Democratic Union,6
CH,1,prtvtch,13,Freiheits-Partei,4
CH,1,prtvtch,14,Women's Parties,2
CH,1,prtvtch,15,Lega dei Ticinesi,1
CH,1,prtvtch,16,Others,71
CH,1,prtvtch,17,Not applicable,902
CH,1,prtvtch,18,Refusal,37
CH,1,prtvtch,19,Don't know,177
CH,2,prtvtch,1,Radicals,123
CH,2,prtvtch,2,Christian-democrats,127
CH,2,prtvtch,3,Social-democrats,245
CH,2,prtvtch,4,Swiss People's Party,273
CH,2,prtvtch,5,Liberal Party,28
CH,2,prtvtch,7,Evangelical People's Party,22
CH,2,prtvtch,8,Christian-Social Party,7
CH,2,prtvtch,9,Swiss Labour Party,7
CH,2,prtvtch,10,Green Party,93
CH,2,prtvtch,11,Swiss Democrats,2
CH,2,prtvtch,12,Federal Democratic Union,15
CH,2,prtvtch,13,Freiheits-Partei,1
CH,2,prtvtch,14,Women's Parties,5
CH,2,prtvtch,15,Lega dei Ticinesi,1
CH,2,prtvtch,16,Others,74
CH,2,prtvtch,17,Not applicable,953
CH,2,prtvtch,18,Refusal,23
CH,2,prtvtch,19,Don't know,142
CH,3,prtvtach,1,Radicals,108
CH,3,prtvtach,2,Christian-democrats,105
CH,3,prtvtach,3,Social-democrats,206
CH,3,prtvtach,4,Swiss People's Party,181
CH,3,prtvtach,5,Liberal Party,15
CH,3,prtvtach,6,Evangelical People's Party,18
CH,3,prtvtach,7,Christian-Social Party,3
CH,3,prtvtach,8,Swiss Labour Party,5
CH,3,prtvtach,9,Green Party,98
CH,3,prtvtach,10,Swiss Democrats,1
CH,3,prtvtach,11,Federal Democratic Union,9
CH,3,prtvtach,12,Freiheits-Partei,1
CH,3,prtvtach,13,Women's Parties,3
CH,3,prtvtach,14,Lega dei Ticinesi,2
CH,3,prtvtach,15,Others,43
CH,3,prtvtach,16,Not applicable,854
CH,3,prtvtach,17,Refusal,23
CH,3,prtvtach,18,Don't know,129
CH,4,prtvtbch,1,Radicals,97
CH,4,prtvtbch,2,Christian democrats,93
CH,4,prtvtbch,3,Socialist party,178
CH,4,prtvtbch,4,Swiss people party,207
CH,4,prtvtbch,5,Liberal party,19
CH,4,prtvtbch,6,Christian-social,8
CH,4,prtvtbch,7,Swiss labor party,5
CH,4,prtvtbch,8,Green party,103
CH,4,prtvtbch,9,Green liberal party,27
CH,4,prtvtbch,10,Swiss democrats,1
CH,4,prtvtbch,11,Federal Democratic Union,7
CH,4,prtvtbch,12,Evangelical People's Party,17
CH,4,prtvtbch,13,Lega dei Ticinese,3
CH,4,prtvtbch,15,Blank paper,33
CH,4,prtvtbch,16,Mixed vote,26
CH,4,prtvtbch,17,Not applicable,856
CH,4,prtvtbch,18,Refusal,27
CH,4,prtvtbch,19,Don't know,111
CH,4,prtvtbch,20,No answer,1
CH,5,prtvtcch,1,Radicals,98
CH,5,prtvtcch,2,Christian Democrats,96
CH,5,prtvtcch,3,Socialist Party,137
CH,5,prtvtcch,4,Swiss People’s Party,152
CH,5,prtvtcch,5,Liberal Party,15
CH,5,prtvtcch,6,Christian-Social Party,1
CH,5,prtvtcch,7,Swiss Labour Party,1
CH,5,prtvtcch,8,Green Party,48
CH,5,prtvtcch,9,Green Liberal Party,28
CH,5,prtvtcch,10,Swiss Democrats,3
CH,5,prtvtcch,11,Federal Democratic Union,4
CH,5,prtvtcch,12,Evangelical People’s Party,12
CH,5,prtvtcch,13,Ticino League,3
CH,5,prtvtcch,14,Blank paper,5
CH,5,prtvtcch,15,Mixed vote,32
CH,5,prtvtcch,16,Other party,5
CH,5,prtvtcch,17,Not applicable,769
CH,5,prtvtcch,18,Refusal,14
CH,5,prtvtcch,19,Don't know,83
CH,6,prtvtdch,1,Swiss People's Party,131
CH,6,prtvtdch,2,Socialist Party,123
CH,6,prtvtdch,3,Radical Liberals,109
CH,6,prtvtdch,4,Christian Democrats,126
CH,6,prtvtdch,5,Green Party,70
CH,6,prtvtdch,6,Green Liberal Party,73
CH,6,prtvtdch,7,Bourgois-democratic Party,41
CH,6,prtvtdch,8,Evangelical People's Party,14
CH,6,prtvtdch,9,Federal Democratic Union,8
CH,6,prtvtdch,11,Swiss Labour Party,2
CH,6,prtvtdch,12,Movement of the Citizens belonging to French-speaking Switze,1
CH,6,prtvtdch,14,Alternative Left,1
CH,6,prtvtdch,15,Swiss Democrats,2
CH,6,prtvtdch,16,Pirate Party Switzerland,1
CH,6,prtvtdch,18,Blank paper,13
CH,6,prtvtdch,19,Mixed vote,28
CH,6,prtvtdch,20,Not applicable,677
CH,6,prtvtdch,21,Refusal,26
CH,6,prtvtdch,22,Don't know,47
CH,7,prtvtech,1,Swiss People's Party,134
CH,7,prtvtech,2,Socialist Party,120
CH,7,prtvtech,3,Radical Liberals,123
CH,7,prtvtech,4,Christian Democrats,114
CH,7,prtvtech,5,Green Party,63
CH,7,prtvtech,6,Green Liberal Party,52
CH,7,prtvtech,7,Bourgois-democratic Party,24
CH,7,prtvtech,8,Evangelical People's Party,7
CH,7,prtvtech,9,Federal Democratic Union,4
CH,7,prtvtech,10,Ticino League,1
CH,7,prtvtech,11,Swiss Labour Party,1
CH,7,prtvtech,12,Movement of the Citizens belonging to French-speaking Switze,2
CH,7,prtvtech,13,Christian Social Party,1
CH,7,prtvtech,14,Alternative Left,1
CH,7,prtvtech,18,Other party,6
CH,7,prtvtech,19,Blank paper,18
CH,7,prtvtech,21,Not applicable,761
CH,7,prtvtech,22,Refusal,22
CH,7,prtvtech,23,Don't know,78
CY,3,prtvtcy,1,Progressive Party of Working People (AKEL),238
CY,3,prtvtcy,2,Democratic Party (DIKO),156
CY,3,prtvtcy,3,Democratic Rally (DISY),227
CY,3,prtvtcy,4,European Party (EVROKO),37
CY,3,prtvtcy,5,The Cyprus Green Party,14
CY,3,prtvtcy,6,United Democrats (EDI),6
CY,3,prtvtcy,7,Social Democrats (KS EDEK),65
CY,3,prtvtcy,8,Other,15
CY,3,prtvtcy,9,Not applicable,122
CY,3,prtvtcy,10,Refusal,105
CY,3,prtvtcy,11,Don't know,8
CY,3,prtvtcy,12,No answer,2
CY,4,prtvtcy,1,Progressive Party of Working People (AKEL),284
CY,4,prtvtcy,2,Democratic Party (DIKO),198
CY,4,prtvtcy,3,Democratic Rally (DISY),256
CY,4,prtvtcy,4,European Party (EVROKO),37
CY,4,prtvtcy,5,The Cyprus Green Party,20
CY,4,prtvtcy,6,United Democrats (EDI),13
CY,4,prtvtcy,7,Social Democrats (KS EDEK),73
CY,4,prtvtcy,8,Other,3
CY,4,prtvtcy,9,Not applicable,164
CY,4,prtvtcy,10,Refusal,150
CY,4,prtvtcy,11,Don't know,9
CY,4,prtvtcy,12,No answer,8
CY,5,prtvtcy,1,Progressive Party of Working People (AKEL),165
CY,5,prtvtcy,2,Democratic Party (DIKO),85
CY,5,prtvtcy,3,Democratic Rally (DISY),151
CY,5,prtvtcy,4,European Party (EVROKO),10
CY,5,prtvtcy,5,The Cyprus Green Party,2
CY,5,prtvtcy,6,United Democrats (EDI),2
CY,5,prtvtcy,7,Social Democrats (KS EDEK),23
CY,5,prtvtcy,8,Other,2
CY,5,prtvtcy,9,Not applicable,229
CY,5,prtvtcy,10,Refusal,396
CY,5,prtvtcy,11,Don't know,16
CY,5,prtvtcy,12,No answer,2
CY,6,prtvtacy,1,Progressive Party of Working People (AKEL),196
CY,6,prtvtacy,2,Democratic Party (DIKO),90
CY,6,prtvtacy,3,Democratic Rally (DISY),197
CY,6,prtvtacy,4,European Party (EVROKO),10
CY,6,prtvtacy,5,The Cyprus Green Party,3
CY,6,prtvtacy,6,Social Democrats (KS EDEK),29
CY,6,prtvtacy,7,Other,12
CY,6,prtvtacy,8,Not applicable,282
CY,6,prtvtacy,9,Refusal,278
CY,6,prtvtacy,10,Don't know,16
CY,6,prtvtacy,11,No answer,3
CZ,1,prtvtcz,1,CSSD Cz.Social Democratic P.,275
CZ,1,prtvtcz,2,ODA Civic Democratic Alliance,10
CZ,1,prtvtcz,3,Nadeje (Hope),3
CZ,1,prtvtcz,4,RMS Republicans of Miroslav Sladek,1
CZ,1,prtvtcz,5,CSNS Cz.National Social P.,6
CZ,1,prtvtcz,6,SV-SOS P.of Countryside-Assoc.Civic Forces,1
CZ,1,prtvtcz,7,Association of Independents,20
CZ,1,prtvtcz,8,ODS Civic Democratic P.,201
CZ,1,prtvtcz,9,KSCM Communist P.of Bohemia&Moravia,73
CZ,1,prtvtcz,10,Coalition (Christian Dem.&Freedom Union),130
CZ,1,prtvtcz,11,SZJ P.for Life Securities,3
CZ,1,prtvtcz,12,PB Right Block,1
CZ,1,prtvtcz,13,SZ P.of Greens,14
CZ,1,prtvtcz,14,Other,8
CZ,1,prtvtcz,15,Not applicable,508
CZ,1,prtvtcz,16,Refusal,92
CZ,1,prtvtcz,17,Don't know,9
CZ,1,prtvtcz,18,No answer,5
CZ,2,prtvtcz,1,CSSD Cz.Social Democratic P.,372
CZ,2,prtvtcz,2,ODA Civic Democratic Alliance,31
CZ,2,prtvtcz,3,Nadeje (Hope),1
CZ,2,prtvtcz,4,RMS Republicans of Miroslav Sladek,6
CZ,2,prtvtcz,5,CSNS Cz.National Social P.,5
CZ,2,prtvtcz,6,SV-SOS P.of Countryside-Assoc.Civic Forces,5
CZ,2,prtvtcz,7,Association of Independents,36
CZ,2,prtvtcz,8,ODS Civic Democratic P.,430
CZ,2,prtvtcz,9,KSCM Communist P.of Bohemia&Moravia,216
CZ,2,prtvtcz,10,Coalition (Christian Dem.&Freedom Union),149
CZ,2,prtvtcz,11,SZJ P.for Life Securities,2
CZ,2,prtvtcz,12,PB Right Block,2
CZ,2,prtvtcz,13,SZ P.of Greens,32
CZ,2,prtvtcz,14,Other,8
CZ,2,prtvtcz,15,Not applicable,1466
CZ,2,prtvtcz,16,Refusal,185
CZ,2,prtvtcz,17,Don't know,80
CZ,4,prtvtacz,1,KSCM,110
CZ,4,prtvtacz,2,CSSD,375
CZ,4,prtvtacz,3,SZ,60
CZ,4,prtvtacz,4,KDU-CSL,71
CZ,4,prtvtacz,5,ODS,329
CZ,4,prtvtacz,6,Other,52
CZ,4,prtvtacz,7,Not applicable,920
CZ,4,prtvtacz,8,Refusal,89
CZ,4,prtvtacz,9,Don't know,7
CZ,4,prtvtacz,10,No answer,5
CZ,5,prtvtbcz,1,KSCM,138
CZ,5,prtvtbcz,2,CSSD,420
CZ,5,prtvtbcz,3,SZ,46
CZ,5,prtvtbcz,4,KDU-CSL,71
CZ,5,prtvtbcz,5,TOP09,198
CZ,5,prtvtbcz,6,VV,143
CZ,5,prtvtbcz,7,ODS,243
CZ,5,prtvtbcz,8,Other,60
CZ,5,prtvtbcz,9,Not applicable,976
CZ,5,prtvtbcz,10,Refusal,83
CZ,5,prtvtbcz,11,Don't know,7
CZ,5,prtvtbcz,12,No answer,1
CZ,6,prtvtccz,1,KSCM,156
CZ,6,prtvtccz,2,CSSD,382
CZ,6,prtvtccz,3,TOP09,150
CZ,6,prtvtccz,4,VV,97
CZ,6,prtvtccz,5,ODS,227
CZ,6,prtvtccz,6,Other,29
CZ,6,prtvtccz,7,Not applicable,835
CZ,6,prtvtccz,8,Refusal,82
CZ,6,prtvtccz,9,Don't know,21
CZ,6,prtvtccz,10,No answer,30
CZ,7,prtvtdcz,1,KSCM,124
CZ,7,prtvtdcz,2,CSSD,336
CZ,7,prtvtdcz,3,TOP 09,121
CZ,7,prtvtdcz,4,ANO 2011,299
CZ,7,prtvtdcz,5,ODS,96
CZ,7,prtvtdcz,6,KDU-CSL,64
CZ,7,prtvtdcz,7,Úsvit prímé demokracie Tomia Okamury,44
CZ,7,prtvtdcz,8,Other,37
CZ,7,prtvtdcz,9,Not applicable,958
CZ,7,prtvtdcz,10,Refusal,45
CZ,7,prtvtdcz,11,Don't know,24
DK,1,prtvtdk,1,Socialdemokratiet,393
DK,1,prtvtdk,2,Det Radikale Venstre,62
DK,1,prtvtdk,3,Det Konservative Folkeparti,91
DK,1,prtvtdk,4,Centrum-Demokraterne,21
DK,1,prtvtdk,5,Socialistisk Folkeparti,100
DK,1,prtvtdk,6,Dansk Folkeparti,94
DK,1,prtvtdk,7,Kristeligt Folkeparti,24
DK,1,prtvtdk,8,Venstre,425
DK,1,prtvtdk,9,Fremskridtspartiet,9
DK,1,prtvtdk,10,Enhedslisten,20
DK,1,prtvtdk,11,Other,6
DK,1,prtvtdk,12,Not applicable,171
DK,1,prtvtdk,13,Refusal,56
DK,1,prtvtdk,14,Don't know,24
DK,1,prtvtdk,15,No answer,10
DK,2,prtvtdk,1,Socialdemokratiet,319
DK,2,prtvtdk,2,Det Radikale Venstre,81
DK,2,prtvtdk,3,Det Konservative Folkeparti,91
DK,2,prtvtdk,4,Centrum-Demokraterne,15
DK,2,prtvtdk,5,Socialistisk Folkeparti,97
DK,2,prtvtdk,6,Dansk Folkeparti,88
DK,2,prtvtdk,7,Kristeligt Folkeparti,24
DK,2,prtvtdk,8,Venstre,414
DK,2,prtvtdk,9,Fremskridtspartiet,9
DK,2,prtvtdk,10,Enhedslisten,25
DK,2,prtvtdk,11,Other,8
DK,2,prtvtdk,12,Not applicable,227
DK,2,prtvtdk,13,Refusal,47
DK,2,prtvtdk,14,Don't know,28
DK,2,prtvtdk,15,No answer,14
DK,3,prtvtadk,1,Socialdemokratiet,335
DK,3,prtvtadk,2,Det Radikale Venstre,109
DK,3,prtvtadk,3,Det Konservative Folkeparti,110
DK,3,prtvtadk,4,Centrum-Demokraterne,6
DK,3,prtvtadk,5,Socialistisk Folkeparti,106
DK,3,prtvtadk,6,Dansk Folkeparti,97
DK,3,prtvtadk,7,Kristendemokraterne,21
DK,3,prtvtadk,8,Venstre,413
DK,3,prtvtadk,9,Fremskridtspartiet,3
DK,3,prtvtadk,10,Enhedslisten,41
DK,3,prtvtadk,11,Other,3
DK,3,prtvtadk,12,Not applicable,173
DK,3,prtvtadk,13,Refusal,60
DK,3,prtvtadk,14,Don't know,21
DK,3,prtvtadk,15,No answer,7
DK,4,prtvtbdk,1,Socialdemokraterne - the Danish social democtrats,360
DK,4,prtvtbdk,2,Det Radikale Venstre - Danish Social-Liberal Party,90
DK,4,prtvtbdk,3,Det Konservative Folkeparti - Conservative,131
DK,4,prtvtbdk,4,SF- Socialistisk Folkeparti - the Socialist People's Party,193
DK,4,prtvtbdk,5,Dansk Folkeparti - Danish peoples party,129
DK,4,prtvtbdk,6,Kristendemokraterne - Christian democtrats,14
DK,4,prtvtbdk,7,"Venstre, Danmarks Liberale Parti - Venstre",367
DK,4,prtvtbdk,8,Ny Alliance - New alliance,36
DK,4,prtvtbdk,9,"Enhedslisten, De Rød-Grønne - The Red-Green Alliance",20
DK,4,prtvtbdk,10,Andet - other,5
DK,4,prtvtbdk,11,Not applicable,191
DK,4,prtvtbdk,12,Refusal,49
DK,4,prtvtbdk,13,Don't know,17
DK,4,prtvtbdk,14,No answer,8
DK,5,prtvtbdk,1,Socialdemokraterne - the Danish social democtrats,303
DK,5,prtvtbdk,2,Det Radikale Venstre - Danish Social-Liberal Party,70
DK,5,prtvtbdk,3,Det Konservative Folkeparti - Conservative,99
DK,5,prtvtbdk,4,SF- Socialistisk Folkeparti - the Socialist People's Party,189
DK,5,prtvtbdk,5,Dansk Folkeparti - Danish peoples party,134
DK,5,prtvtbdk,6,Kristendemokraterne - Christian democtrats,7
DK,5,prtvtbdk,7,"Venstre, Danmarks Liberale Parti - Venstre",363
DK,5,prtvtbdk,8,Ny Alliance - New alliance,19
DK,5,prtvtbdk,9,"Enhedslisten, De Rød-Grønne - The Red-Green Alliance",25
DK,5,prtvtbdk,10,Andet - other,10
DK,5,prtvtbdk,11,Not applicable,269
DK,5,prtvtbdk,12,Refusal,62
DK,5,prtvtbdk,13,Don't know,22
DK,5,prtvtbdk,14,No answer,4
DK,6,prtvtcdk,1,Socialdemokraterne - the Danish social democrats,360
DK,6,prtvtcdk,2,Det Radikale Venstre - Danish Social-Liberal Party,161
DK,6,prtvtcdk,3,Det Konservative Folkeparti - Conservative,59
DK,6,prtvtcdk,4,SF Socialistisk Folkeparti - Socialist People's Party,141
DK,6,prtvtcdk,5,Dansk Folkeparti - Danish peoples party,117
DK,6,prtvtcdk,6,Kristendemokraterne - Christian democrats,14
