country,partyfacts_id,technical,name_short,name,name_english,name_other,year_first,year_last,share,share_year,new,wikipedia,description,comment,created,modified
ALB,819,,PRS,Partia Republikane e Shqipërisë,Republican Party of Albania,,1991,,5.7,1996,,https://en.wikipedia.org/wiki/Republican_Party_of_Albania,member of 7075,,2012-12-29 10:55:01.832000+00:00,2019-05-25 21:35:51.644383+00:00
ALB,838,,PSD,Partia Socialdemokrate e Shqipërisë,Social Democratic Party of Albania,,1991,,4.4,1992,,https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Albania,,,2012-12-29 10:55:05.657000+00:00,2018-07-07 19:50:07.126779+00:00
ALB,2297,,LSI,Lëvizja Socialiste për Intigrim,Socialist Movement for Integration,,2004,,10.5,2013,,https://en.wikipedia.org/wiki/Socialist_Movement_for_Integration,,,2014-06-13 20:43:28.487575+00:00,2018-07-07 19:50:07.170016+00:00
ALB,1729,,PSS,Partia Socialiste e Shqipërisë,Socialist Party of Albania,,1991,,43.9,2001,,https://en.wikipedia.org/wiki/Socialist_Party_of_Albania,,,2012-12-29 10:58:09.881000+00:00,2018-07-07 19:50:07.225190+00:00
ALB,7075,,UVC,Bashkimi për Fitore,Union for Victory Coalition,,2001,2005,37.1,2001,,https://en.wikipedia.org/wiki/Union_for_Victory_Coalition,consist of 190 732 674 819 Liberal Democratic Union,ParIS,2019-05-25 21:35:17.060578+00:00,2019-05-25 21:37:26.515648+00:00
ALB,1636,,PBDN,Partia Bashkimi per te Drejtat e Njeriut,Unity for Human Rights Party,,1991,,2.5,2005,,https://en.wikipedia.org/wiki/Unity_for_Human_Rights_Party,,,2012-12-29 10:57:49.613000+00:00,2018-07-05 08:07:33.562336+00:00
ALB,7327,,Z,Zogist group,Zogist group,,1923,1923,33.8,1923,,,26 of 77 seats in 1923 Albanian parliamentary election,ParIS,2019-07-27 19:53:10.229620+00:00,2019-07-27 19:53:10.229664+00:00
ALB,3883,15,ally,alliance,alliance,,1800,,,,,,,,2015-09-09 13:49:29.938984+00:00,2020-06-11 20:23:56.021437+00:00
ALB,2993,12,tech,technical,technical,,1800,,,,,,,,2014-09-05 07:46:39.621492+00:00,2020-06-11 20:23:56.014416+00:00
ALB,2571,11,1-perc,1 percent,1 percent,,1800,,,,,,,,2014-07-07 14:01:43.116296+00:00,2020-06-11 20:23:56.007675+00:00
ALB,2570,10,unknown,unknown,unknown,,1800,,,,,,,,2014-07-07 14:01:43.094838+00:00,2020-06-11 20:23:56.001590+00:00
ALB,2569,8,indep,independent,independent,,1800,,,,,,,,2014-07-07 14:01:43.064371+00:00,2020-06-11 20:23:55.994859+00:00
ALB,2568,7,etc,other,other,,1800,,,,,,,,2014-07-07 14:01:43.035226+00:00,2020-06-11 20:23:55.987912+00:00
DZA,4098,,FNA,Front National Algérien,Algerian National Front,Arabic: الجبهة الوطنية الجزائرية,1990,,4.2,2007,,https://en.wikipedia.org/wiki/Algerian_National_Front,,,2015-09-22 19:49:11.581953+00:00,2015-11-07 18:32:25.413514+00:00
DZA,6118,,FIS,Front Islamique du Salut,Islamic Salvation Front,"Arabic: الجبهة الإسلامية للإنقاذ, al-Jabhah al-Islāmiyah lil-Inqādh",1989,1992,54.0,1990,,https://en.wikipedia.org/wiki/Islamic_Salvation_Front,54% in 1990 local elections,,2018-08-14 08:14:40.523596+00:00,2018-10-09 13:30:26.753880+00:00
DZA,5222,,MPRN,Mouvement pour la réforme nationale,Movement for National Reform,Arabic: Harakat Al-Islah Al-Wataniy حركة الإصلاح الوطني‎‎,1990,,9.5,2002,,https://en.wikipedia.org/wiki/Movement_for_National_Reform,,,2016-08-26 11:08:16.348128+00:00,2019-06-14 21:04:43.259498+00:00
DZA,5221,,MSPP,Mouvement de la société pour la paix / Hamas,Movement for the Society of Peace,"Arabic: Harakat mujtama' as-silm حركة مجتمع السلم,",1990,,18.2,1997,,https://en.wikipedia.org/wiki/Movement_of_Society_for_Peace,,,2016-08-26 11:04:32.982950+00:00,2017-06-10 14:04:20.254343+00:00
DZA,6219,,MRI,Mouvement de la Renaissance Islamique,Movement of the Islamic Renaissance,Arabic: حركة النهضة الاسلامية,1990,,8.9,1997,,https://en.wikipedia.org/wiki/Islamic_Renaissance_Movement,,,2018-09-20 10:28:34.629693+00:00,2018-09-20 10:28:34.629731+00:00
DZA,4111,,FLN,Front de Libération Nationale,National Liberation Front,Arabic: جبهة التحرير الوطني Jabhet Al-Taḥrīr Al-Waṭanī‎,1954,,17.3,2012,,https://en.wikipedia.org/wiki/National_Liberation_Front_%28Algeria%29,,,2015-09-23 19:51:35.738888+00:00,2015-11-07 18:32:25.419293+00:00
DZA,4113,,RND,Rassemblement National Démocratique,National Rally for Democracy,Arabic: التجمع الوطني الديمقراطي‎,1997,,6.9,2009,,https://en.wikipedia.org/wiki/National_Rally_for_Democracy_(Algeria),,,2015-09-24 15:09:24.297033+00:00,2015-11-07 18:32:25.428329+00:00
DZA,6120,,RCD,Rassemblement pour la Culture et la Démocratie,Rally for Culture and Democracy,Berber: Agraw i Yidles d Tugdut; Arabic: التجمع من أجل الثقافة والديمقراطية,1998,2012,5.0,1997,,https://en.wikipedia.org/wiki/Rally_for_Culture_and_Democracy,,,2018-08-20 23:16:06.251188+00:00,2018-08-20 23:16:06.251250+00:00
DZA,4114,,FFS,Front des Forces socialistes,Socialist Forces Front,"Berber: Tirni Iɣallen Inemlayen (RƔN), Arabic: جبهة القوى الاشتراكية",1963,,2.5,2009,,https://en.wikipedia.org/wiki/Socialist_Forces_Front,,,2015-09-24 15:11:39.384071+00:00,2015-11-07 18:32:25.437841+00:00
DZA,5622,,PT,Parti des Travailleurs,Workers' Party,"Arabic Hizb al-Ummal حزب العمال,",1990,,5.1,2007,,https://en.wikipedia.org/wiki/Workers%27_Party_(Algeria),,,2017-06-10 14:10:54.560002+00:00,2017-06-10 14:10:54.560027+00:00
DZA,3884,15,ally,alliance,alliance,,1800,,,,,,,,2015-09-09 13:49:30.011497+00:00,2020-06-11 20:23:56.088682+00:00
DZA,3567,12,tech,technical,technical,,1800,,,,,,,,2015-07-21 09:36:11.351192+00:00,2020-06-11 20:23:56.082008+00:00
DZA,3566,11,1-perc,1 percent,1 percent,,1800,,,,,,,,2015-07-21 09:36:11.335891+00:00,2020-06-11 20:23:56.071438+00:00
DZA,3565,10,unknown,unknown,unknown,,1800,,,,,,,,2015-07-21 09:36:11.325018+00:00,2020-06-11 20:23:56.059155+00:00
DZA,3563,8,indep,independent,independent,,1800,,,,,,,,2015-07-21 09:36:11.300365+00:00,2020-06-11 20:23:56.052454+00:00
DZA,3562,7,etc,other,other,,1800,,,,,,,,2015-07-21 09:36:11.282456+00:00,2020-06-11 20:23:56.040318+00:00
AND,3712,,APC,Andorra pel Canvi,Andorra for Change,,2009,2011,12.3,2009,,https://en.wikipedia.org/wiki/Andorra_for_Change,,,2015-09-08 08:50:18.456268+00:00,2015-11-07 18:32:25.547110+00:00
AND,4901,,ACM,Agrupament Canillo – La Massana,Canillo-Massana Grouping,,1993,1997,14.3,1993,,,,"4 of 28 seats in 1993 --
""The ACM was formed by four councillors returned as independents in the December 1993 balloting."" - Political Handbook of the World 1998",2016-07-12 08:59:02.951434+00:00,2018-09-14 16:20:47.355103+00:00
AND,3711,,IDN,Iniciativa Democràtica Nacional,Democratic National Initiative,,1992,1997,9.2,1997,,https://en.wikipedia.org/wiki/Democratic_National_Initiative,,,2015-09-08 08:27:14.885316+00:00,2015-11-07 18:32:25.558390+00:00
AND,4208,,PD,Partit Demòcrata,Democratic Party,,2001,2001,22.9,2001,,https://en.wikipedia.org/wiki/Democratic_Party_(Andorra),,,2015-10-14 13:46:10.701688+00:00,2015-12-01 17:12:06.309784+00:00
AND,3674,,RD,Renovació Democràtica,Democratic Renewal,,2005,2011,6.2,2005,,https://en.wikipedia.org/wiki/Democratic_Renewal_%28Andorra%29,,,2015-07-24 10:58:33.915475+00:00,2015-11-07 21:00:07.834733+00:00
AND,3713,,DA,Demòcrates per Andorra,Democrats for Andorra,,2011,,49.1,2011,,https://en.wikipedia.org/wiki/Democrats_for_Andorra,,,2015-09-08 08:56:35.309679+00:00,2019-01-03 12:17:13.673030+00:00
AND,3676,,VA,Verds d'Andorra,Greens of Andorra,,2003,,3.5,2005,,https://en.wikipedia.org/wiki/Greens_of_Andorra,,,2015-07-24 11:02:00.348454+00:00,2015-11-07 21:00:07.863493+00:00
AND,3714,,AISJ,Argupament Independent per Sant Julia,Independent Group for Sant Julía,,2001,2001,3.1,2001,,,,,2015-09-08 08:57:38.103313+00:00,2015-11-07 18:32:25.632261+00:00
AND,3708,,UL,Unió Laurediana,Lauredian Union,,2001,2011,4.4,2011,,https://en.wikipedia.org/wiki/Lauredian_Union,,,2015-09-08 08:14:24.221927+00:00,2015-11-07 18:32:25.652361+00:00
AND,3673,,UL / PLA,Uniò Liberal / Partit Liberal d'Andorra,Liberal Union / Liberal Party of Andorra,,1992,,42.1,2001,,https://en.wikipedia.org/wiki/Liberal_Party_of_Andorra,,,2015-07-24 10:57:01.241447+00:00,2020-03-12 00:12:49.455705+00:00
AND,4900,,CNA,Coalició Nacional d'Andorra,National Andorran Coalition,,1993,1997,14.3,1993,True,https://en.wikipedia.org/wiki/National_Andorran_Coalition,,,2016-07-12 08:51:43.311281+00:00,2016-07-12 08:51:43.311325+00:00
AND,4207,,AND,Agrupament Nacional Democràtic,National Democratic Group,,1993,2001,30.9,1997,,https://en.wikipedia.org/wiki/National_Democratic_Group,,,2015-10-14 13:43:16.115795+00:00,2015-12-01 17:12:56.054760+00:00
AND,6516,,NC,Nou Centre,New Centre,,2005,,10.7,2005,,https://en.wikipedia.org/wiki/New_Centre_(Andorra),,ParIS,2019-01-03 12:13:38.565905+00:00,2019-05-25 19:39:12.889574+00:00
AND,3710,,ND,Nova Democràcia,New Democracy,,1993,1997,15.0,1997,,https://en.wikipedia.org/wiki/New_Democracy_(Andorra),,,2015-09-08 08:20:35.720236+00:00,2015-11-07 18:32:25.754969+00:00
AND,6433,,GUPI,Grup d'Unió Parroquial Independents,Parochial Union of Independents Group,,2003,,20.8,2009,,https://en.wikipedia.org/wiki/Parochial_Union_of_Independents_Group,"Local progressive political party in Ordino, Andorra",ParIS,2018-12-08 17:10:41.201591+00:00,2019-01-09 17:48:09.028784+00:00
AND,5875,,SDP,Socialdemocràcia i Progrés,Social Democracy and Progress,,2015,,10.6,2015,,https://en.wikipedia.org/wiki/Social_Democracy_and_Progress,,,2018-05-22 14:48:15.300128+00:00,2018-05-22 14:48:15.300156+00:00
AND,3675,,PS,Partit Socialdemòcratica,Social Democratic Party,,2001,,36.9,2005,,https://en.wikipedia.org/wiki/Social_Democratic_Party_%28Andorra%29,,,2015-07-24 11:00:53.502020+00:00,2015-12-03 13:56:16.180442+00:00
AND,3885,15,ally,alliance,alliance,,1800,,,,,,,,2015-09-09 13:49:30.157942+00:00,2020-06-11 20:23:56.216053+00:00
AND,3311,12,tech,technical,technical,,1800,,,,,,,,2015-07-20 22:22:50.322754+00:00,2020-06-11 20:23:56.198446+00:00
AND,3310,11,1-perc,1 percent,1 percent,,1800,,,,,,,,2015-07-20 22:22:50.301221+00:00,2020-06-11 20:23:56.192226+00:00
AND,3309,10,unknown,unknown,unknown,,1800,,,,,,,,2015-07-20 22:22:50.274981+00:00,2020-06-11 20:23:56.184351+00:00
AND,3307,8,indep,independent,independent,,1800,,,,,,,,2015-07-20 22:22:50.213969+00:00,2020-06-11 20:23:56.119003+00:00
AND,3306,7,etc,other,other,,1800,,,,,,,,2015-07-20 22:22:50.171300+00:00,2020-06-11 20:23:56.108294+00:00
AGO,7720,,AFAMP,Angolan Free Alliance Majority Party,Angolan Free Alliance Majority Party,,2017,,9.5,,,,,member of 3556 which gained 9.5 % vote share in 2017,2019-09-12 14:52:24.547503+00:00,2019-10-25 10:12:05.386417+00:00
AGO,7721,,APP,Angolan Pacific Party,Angolan Pacific Party,,2017,,9.5,,,,,member of 3556 which gained 9.5 % vote share in 2017,2019-09-12 14:54:05.355906+00:00,2019-10-25 10:12:30.453048+00:00
AGO,3556,,CASA-CE,Convergência Ampla de Salvação de Angola-Coligação Eleitoral,Broad Convergence for the Salvation of Angola – Electoral Coalition,,2012,,6.0,2012,,https://en.wikipedia.org/wiki/CASA%E2%80%93CE,,consists of 7720 7721 7722 7723,2015-07-21 07:00:04.505019+00:00,2019-10-21 11:17:23.471328+00:00
AGO,5136,,PLD,Partido Liberal Democrático,Liberal Democratic Party,,1983,,2.4,1992,,https://en.wikipedia.org/wiki/Liberal_Democratic_Party_%28Angola%29,,,2016-08-10 13:04:31.575059+00:00,2016-08-10 13:04:31.575120+00:00
AGO,5131,,FNLA,Frente Nacional de Libertação de Angola,National Liberation Front of Angola,,1954,2012,2.4,1992,,https://en.wikipedia.org/wiki/National_Liberation_Front_of_Angola,,,2016-08-10 11:53:52.154646+00:00,2018-05-22 16:18:55.662459+00:00
AGO,7723,,NSPA,National Salvation Party of Angola,National Salvation Party of Angola,,2017,,9.5,,,,,member of 3556,2019-09-12 14:56:34.895318+00:00,2019-10-25 10:13:34.470794+00:00
AGO,2343,,UNITA,União Nacional para a Independência Total de Angola,National Union for the Total Independence of Angola,,1966,,18.7,2012,,https://en.wikipedia.org/wiki/UNITA,,,2014-06-14 09:10:27.129688+00:00,2018-07-07 19:50:10.378633+00:00
AGO,7722,,PDDAPA,Party for Democracy and Development in Angola-Patriotic Alliance,Party for Democracy and Development in Angola-Patriotic Alliance,,2017,,9.5,,,,,member of 3556,2019-09-12 14:55:28.276447+00:00,2019-10-25 10:13:02.440582+00:00
AGO,2298,,MPLA,Movimento Popular de Libertação de Angola – Partido do Trabalho,People's Movement for the Liberation of Angola – Labour Party,,1956,,81.6,2008,,https://en.wikipedia.org/wiki/MPLA,,,2014-06-13 20:45:12.596962+00:00,2019-10-23 19:52:30.382641+00:00
AGO,2342,,PRS,Partido de Renovação Social,Social Renewal Party,,1990,,3.2,2008,,https://en.wikipedia.org/wiki/Social_Renewal_Party_%28Angola%29,,,2014-06-14 09:09:00.290554+00:00,2018-07-07 19:50:10.639428+00:00
AGO,3886,15,ally,alliance,alliance,,1800,,,,,,,,2015-09-09 13:49:30.272160+00:00,2020-06-11 20:23:56.260141+00:00
AGO,2994,12,tech,technical,technical,,1800,,,,,,,,2014-09-05 07:46:39.692557+00:00,2020-06-11 20:23:56.254003+00:00
AGO,2576,11,1-perc,1 percent,1 percent,,1800,,,,,,,,2014-07-07 14:01:43.176288+00:00,2020-06-11 20:23:56.245952+00:00
AGO,2575,10,unknown,unknown,unknown,,1800,,,,,,,,2014-07-07 14:01:43.165361+00:00,2020-06-11 20:23:56.239754+00:00
AGO,2573,8,indep,independent,independent,,1800,,,,,,,,2014-07-07 14:01:43.139711+00:00,2020-06-11 20:23:56.232672+00:00
AGO,2572,7,etc,other,other,,1800,,,,,,,,2014-07-07 14:01:43.128224+00:00,2020-06-11 20:23:56.225521+00:00
AIA,3869,,ADP,Anguilla Democratic Party,Anguilla Democratic Party,,1989,2000,32.9,1999,,https://en.wikipedia.org/wiki/Anguilla_Democratic_Party,,,2015-09-09 11:07:07.906073+00:00,2015-11-07 18:32:26.057128+00:00
AIA,3873,,AGG,Anguilla for Good Government,Anguilla for Good Government,,1994,1994,11.7,1994,,,,,2015-09-09 11:15:46.679132+00:00,2018-08-01 21:04:58.476726+00:00
AIA,3872,,ANA,Anguilla National Alliance,Anguilla National Alliance,,1989,2000,42.8,1999,,https://en.wikipedia.org/wiki/Anguilla_National_Alliance,,,2015-09-09 11:11:34.357452+00:00,2015-11-07 18:32:26.128110+00:00
AIA,3875,,APM,Anguilla Patriotic Movement,Anguilla Patriotic Movement,,2000,2005,4.1,2000,,https://en.wikipedia.org/wiki/Anguilla_Patriotic_Movement,,,2015-09-09 11:19:13.246059+00:00,2018-05-28 11:08:46.835200+00:00
AIA,6922,,APP,Anguilla People's Party,Anguilla People's Party,,1981,1984,41.7,1984,,,,ParIS,2019-04-06 20:13:01.959967+00:00,2019-04-06 20:13:01.960005+00:00
AIA,3871,,APP,Anguilla Progressive Party,Anguilla Progressive Party,,2005,2010,14.7,2010,,https://en.wikipedia.org/wiki/Anguilla_Progressive_Party,,,2015-09-09 11:10:05.982450+00:00,2015-11-07 18:32:26.184163+00:00
AIA,3876,,ASA,Anguilla Strategic Alliance,Anguilla Strategic Alliance,,2005,2005,19.3,2005,,https://en.wikipedia.org/wiki/Anguilla_Strategic_Alliance,,,2015-09-09 11:23:26.072004+00:00,2015-11-07 18:32:26.215495+00:00
AIA,6432,,AUF,Anguilla United Front,Anguilla United Front,,2000,,39.4,2010,,https://en.wikipedia.org/wiki/Anguilla_United_Front,,ParIS,2018-12-08 16:49:28.590073+00:00,2018-12-08 16:49:28.590131+00:00
AIA,3870,,AUM,Anguilla United Movement,Anguilla United Movement,,1979,2010,32.7,2010,,https://en.wikipedia.org/wiki/Anguilla_United_Movement,,,2015-09-09 11:08:31.686092+00:00,2018-09-02 19:38:18.948101+00:00
AIA,3874,,MGD,Movement for Grass Roots Democracy,Movement for Grass Roots Democracy,,2000,2005,3.7,2000,,https://en.wikipedia.org/wiki/Movement_for_Grassroots_Democracy,,,2015-09-09 11:17:29.614307+00:00,2018-05-28 11:09:27.518151+00:00
AIA,3868,,PACE,Party for Anguilla’s Culturation and Economy,Party for Anguilla’s Culturation and Economy,,1989,1989,4.7,1989,,"https://en.wikipedia.org/wiki/Anguillan_general_election,_1989",,,2015-09-09 11:05:27.589214+00:00,2015-11-07 18:32:26.272842+00:00
AIA,6923,,PPP,People's Progressive Party,People's Progressive Party,,1972,1980,85.7,1976,,https://en.wikipedia.org/wiki/People%27s_Progressive_Party_(Anguilla),6 of 7 seats in 1976 Anguillan general election,ParIS,2019-04-06 20:23:06.023557+00:00,2019-04-06 20:26:06.912242+00:00
AIA,3887,15,ally,alliance,alliance,,1800,,,,,,,,2015-09-09 13:49:30.387639+00:00,2020-06-11 20:23:56.306459+00:00
AIA,3317,12,tech,technical,technical,,1800,,,,,,,,2015-07-20 22:22:50.546696+00:00,2020-06-11 20:23:56.299259+00:00
AIA,3316,11,1-perc,1 percent,1 percent,,1800,,,,,,,,2015-07-20 22:22:50.520799+00:00,2020-06-11 20:23:56.290670+00:00
