country,name_english,year_first,year_last,share,year_share,paris_id,name_short
EST,People's Union of Estonia,1999,2015,13,2003,110,ERL
JPN,Putting People's Lives First,2012,2012,5.7,2012,1100,PPLF
NLD,Christian Historical Union,1894,1971,10.9,1922,1102,CHU
POL,Labour Union,1993,1993,7.3,1993,1104,UP
ROU,Democratic Union of Hungarians in Romania / Democratic Alliance of Hungarians in Romania,1990,2012,7.5,1992,1105,UDMR/RMDS
FRA,Greens,1993,2012,7.6,1993,1108,V
JPN,Japan Renewal Party,1993,1993,10.1,1993,1109,JRP
TWN,Nationalist Party,1969,2012,90.5,1986,1112,KMT
LUX,Action Committee Pensions / Alternative Democratic Reform Party,1989,2013,10.4,1999,1114,AR/ADR
POL,Civic Platform,2001,2015,41.5,2007,1117,PO
NZL,New Labour Party,1990,1990,5.2,1990,1119,NLP
ITA,Italian Democratic Socialist Party,1948,1972,7.1,1948,1126,PSDI
ECU,Institutional Renewal Party of National Action,2002,2009,27.8,2006,1131,PRIAN
DNK,Justice Party / Single-Tax Party,1950,1957,8.2,1950,1134,RF
DEU,Communist Party of Germany,1924,1949,16.9,1932,1135,KPD
BRA,Left Socialists,1982,1990,43.2,1982,1136,VS
LUX,The Greens,1984,2013,11.7,2009,1138,Greng/GAP
AUS,Emergency Committee (SA),1931,1931,5.5,1931,1139,EC-SA
CHE,Democratic Group / Social-Political Group,1881,1899,10.6,1890,114,DP
EST,Social Democratic Party -- Moderates,1992,2015,17.1,2011,1150,SDE-M
DEU,German Reich Party,1881,1893,9.8,1887,1151,DRP
BIH,Alliance of Reform Forces of Yugoslavia,1990,1990,7.8,1990,1153,SRSJ
NGA,National Republican Convention,1992,1992,50.6,1992,1154,NRC
CAN,Social Credit Party of Canada,1953,1974,11.9,1963,1156,SSC
NLD,Christian Democratic Appeal,1977,2012,35.3,1989,1157,CDA
GRC,Democratic Left,2012,2012,6.3,2012,1160,DIMAR
AUS,One Nation Party,1998,1998,8.4,1998,1162,ONP
BIH,Serbian Democratic Party,1990,2014,25.7,1990,1166,SDS
NOR,Liberal Party of Norway,1882,2013,63.5,1885,1173,V
URY,National Party,1916,2014,49.7,1958,118,PN
BGR,United Democratic Forces,1997,2005,49.1,1997,1183,ODS
LTU,Center Union of Lithuania,1996,1996,8.7,1996,1185,LCS
TUR,Motherland Party,1983,2002,45.1,1983,1190,ANAP
LTU,Liberal and Centre Union,2004,2008,9.2,2004,1193,LiCS
CHE,Independents Alliance,1939,1975,9.1,1967,1194,LdU
BGR,Democrats for a Strong Bulgaria,2005,2005,6.4,2005,1195,DSB
CRI,Social Christian Unity Party,1978,2014,46.2,1990,1199,PUSC
ROU,Social Democratic Party,1992,2008,36.6,2000,120,PSD
CZE,Public Affairs,2010,2010,10.9,2010,1202,VV
NOR,Socialist People's Party,1965,1965,6,1965,1203,SF
DNK,Liberal Party,1881,2015,73.5,1881,1204,V
IND,Janata Dal,1989,1996,17.7,1989,1207,JD
ISL,Socialist Party,1942,1953,19.5,1946,1208,So
AUS,Australian Greens,2001,2013,11.8,2010,1209,AG
ARG,Support for an Egalitarian Republic,2001,2005,7.4,2001,1215,ARI
ZAF,African National Congress,1994,2014,69.7,2004,1219,ANC
MKD,Democratic Union for Integrations,2002,2014,14.2,2014,1220,DUI
ITA,North League,1992,2008,10.1,1996,1221,LN
BIH,Serbian Radical Party of the Republika Srpska,1998,1998,6.9,1998,1222,SRS-RS
ISL,Liberal Party,1927,2007,7.4,2003,1224,Ff
DOM,Dominican Liberation Party,1982,2010,46.4,2006,1225,PLD
FIN,Swedish People's Party,1907,1999,13.5,1910,1229,RKP/SFP
NLD,Labour,1946,2012,33.8,1977,1234,PvdA
NLD,Social Democratic Workers' Party,1901,1937,23.8,1929,1235,
BOL,Social and Democratic Power,2005,2005,28.6,2005,1238,Podemos
SVK,Party of the Democratic Left (1990),1990,1998,14.7,1992,1242,SDL
PRY,Authentic Radical Liberal Party,1967,2013,36.8,1993,1245,PLRA
FRA,Independent Republicans,1967,1973,8.4,1968,1246,RI
CRI,Citizens' Action Party,2002,2014,25.3,2006,1247,PAC
ESP,Democratic and Social Centre,1986,1989,9.3,1986,1248,CDS
ISL,People's Alliance,1956,1995,22.9,1978,1249,Ab
FRA,French Communist Party,1924,2012,28.6,1946,1251,PCF
CRI,Broad Front,2014,2014,13.1,2014,1252,FA
TUR,Social Democratic Populist Party,1991,1991,20.8,1991,1253,SHP
POL,Peasants Agreement,1991,1991,5.5,1991,1266,PL
ESP,Union of the Democratic Centre,1977,1982,35,1979,1271,UCD
SWE,The Liberals / The People’s Party,1936,2014,24.4,1952,1274,Fpl / L
POL,Polish United Workers' Party,1952,1989,64.2,1952,1286,PZPR
IRL,Fine Gael (Familiy of the Irish),1937,2011,39.2,1982,1288,FG
ZAF,National Party,1915,1994,64.8,1977,1289,NP
LUX,Independents of the East,1925,1937,11.6,1934,1292,PIE
HUN,Independent Smallholders Party (1988),1944,1998,24.8,1944,1294,FKgP
IND,Indian National Congress,1934,2014,57.8,1945,1297,INC
EST,Estonian National Independence Party,1992,1992,8.8,1992,1299,ERSP
JPN,Liberal Party,2000,2000,11,2000,13,LP
FIN,Social Democratic Party of Finland,1907,2015,47.3,1916,1303,SDP
JPN,National Cooperative Party,1946,1947,7,1947,1304,NCoP
ROU,Greater Romania Party,2000,2004,19.5,2000,1305,PRM
PRT,Democratic and Social Center / People's Party,1975,2011,16.8,1976,1308,CDS/PP
PRT,Left Bloc,2005,2015,10.6,2015,1310,BE
CHE,Automobile Party / Freedom Party of Switzerland,1991,1991,5.1,1991,1311,A/FPS
LVA,Popular Front of Latvia,1990,1990,68.2,1990,1315,LTF
EST,Estonian Citizens,1992,1992,6.9,1992,1319,EKo
GTM,Guatemalan Christian Democracy,1955,1995,38.7,1985,1322,DCG
ISL,Social Democratic Party,1916,1995,22,1978,1325,A
AUT,Austrian People's Party,1945,2013,49.8,1945,1329,OVP
MEX,Convergence / Citizens' Movement,2015,2015,6.1,2015,1331,C/MC
ESP,Spanish Socialist Workers Party,1918,2015,48.3,1982,1338,PSOE
PRY,National Union of Ethical Citizens,2003,2008,18.5,2008,1339,UNACE
BIH,Coalition for a United and Democratic Bosnia and Herzegovina,1998,1998,33.8,1998,1340,KCD
ROU,National Union PSD+PUR,2004,2004,36.8,2004,1347,PSD+PUR
CZE,Civic Forum,1990,1990,49.5,1990,1349,OF
PAN,Democratic Revolutionary Party,1980,2014,50.7,1984,1351,PRD
IRL,Republican Party,1948,1948,13.2,1948,1354,CnP
LTU,Liberal Union of Lithuania,2000,2000,17.2,2000,1357,LLS
PRT,Popular Democratic Party / Social Democratic Party,1975,2015,51.6,1991,1359,PPD/PSD
JPN,Progressive / Democratic / Reform Party,1946,1953,25.4,1947,136,P/D/RP
EST,Independent Royalists,1992,1992,7.1,1992,1361,SK
NLD,Socialist Party,2002,2012,16.6,2006,1363,SP
ARG,Socialist Party,1912,2007,18.5,1934,1365,PS
CRI,National Liberation Party,1953,2014,64.7,1953,1367,PLN
ITA,The Union,2006,2006,55.2,2006,1372,LU
ISR,Democratic Movement for Change,1977,1977,11.6,1977,1380,DASH
AUT,Social Democratic Party of Austria,1897,2013,51,1979,1384,SPO
SVK,Freedom and Solidarity,2010,2012,12.1,2010,1386,SaS
ESP,Convergence and Unity,1986,1993,5.1,1989,139,CiU
NLD,Catholic Peoples Party,1884,1972,31.9,1963,1390,KVP
ISL,Social Democratic Alliance,1999,2013,31,2003,1396,Sam
ISR,Labour Unity,1944,1961,9,1944,1398,AH
FRA,Radical [Socialist] Party,1898,1962,28.5,1906,14,PR
SVN,Social Democrats / United List of Social Democrats,1990,2014,30.4,2008,1403,SD/ZLSD
ITA,Communist Refoundation Party,1992,2001,8.6,1996,1404,PRC
ECU,Christian Democratic Union / Popular Democracy,1984,2006,19,1998,1405,UDC/DP
HUN,Hungarian Socialist Party,1990,2014,49.2,2006,1408,MSZP
GBR,National Liberal Party,1922,1922,10.2,1922,141,NLP
HUN,Christian Democratic People's Party,1947,2006,16.5,1947,1412,KDNP
GTM,Encounter for Guatemala,2011,2011,,2011,1413,EG
CHE,Conservative Democratic Party of Switzerland,2011,2011,5.4,2011,1415,BDP
HND,National Party of Honduras,1923,2013,100,1936,1416,PNH
URY,Colorado Party,1916,2014,76.4,1917,1419,PC
TUR,Populist Party,1983,1983,30.5,1983,1423,HP
BEL,People's Union [Flemish Concentration],1965,1999,11.1,1971,1424,VU
CAN,Quebec Bloc,1993,2011,13.5,1993,1428,BQ
HRV,Croatian Democratic Union,1990,2015,45.2,1995,1431,HDZ
ISL,Citizens' Party (1987),1987,1987,10.9,1987,1433,Bf
JPN,Japan Liberal Party,1946,1955,47.9,1952,1435,JLP
DOM,Dominican Revolutionary Party,1962,2010,56.5,1962,1441,PRD
DDR,Christian Democratic Union,1990,1990,40.8,1990,1446,CDU
ISR,National Religious Party,1955,1996,9.9,1959,1447,Mafdal
ECU,Ecuadorian Roldosist Party,1984,2006,20.4,1996,1450,PRE
ROU,Romanian National Unity Party,1992,1992,7.7,1992,1451,PUNR
BIH,Party of Democratic Action,1990,2014,38,1996,1454,SDA
SLV,Democratic Change,1991,1991,12.2,1991,1456,CD
ITA,Italian Liberal Party,1921,1968,7.1,1921,1461,PLI
TUR,Virtue Party,1999,1999,15.4,1999,1463,FP
ITA,National Democratic Union,1946,1946,6.8,1946,1464,UDN
GRC,Panhellenic Socialist Movement,1974,2015,48.1,1981,1468,PASOK
FRA,Republican Party of Liberty,1945,1946,13.3,1945,1473,PRL
MEX,Institutional Revolutionary Party,1940,2015,99.4,1940,1474,PRI
HRV,Social Democratic Party of Croatia,1992,2015,30.8,2007,1475,SDP
LVA,Zatlers' Reform Party,2011,2011,20.8,2011,1476,ZRP
FRA,Socialist Party,1902,2012,36,1981,1478,PS
SVN,Democratic Party of Slovenia,1992,1992,5,1992,1479,DS
VEN,Communist Party of Venezuela,1958,1958,6.2,1958,1483,PCV
MLT,Democratic Nationalist Party,1962,1962,9.3,1962,1487,PDN
ISR,General Zionists,1949,1959,16.2,1951,1489,ZK
BGR,Bulgarian Euro-Left Coalition,1997,1997,5.6,1997,149,BEL
LTU,Lithuanian Peasant [Popular/Greens] Union,2004,2004,6.6,2004,1490,LVŽS / LVLS
SVN,Greens of Slovenia,1990,1990,8.8,1990,1494,ZS
ITA,Front of the Ordinary Man,1946,1946,5.3,1946,1498,FUQ
MLT,Constitutional Party,1921,1951,54.5,1939,15,CP
DNK,Danish Social-Liberal Party / Radical Liberal Party,1906,2011,27.2,1915,1507,RV
MKD,Social Democratic Union of Macedonia,1990,2014,29.8,2002,1508,SDSM
JPN,Clean Government Party / New Komeito,1967,2014,14.8,2003,1515,K
GBR,Labour,1906,2015,48.8,1951,1516,Lab
ISL,Union of Liberals and Leftist,1971,1971,8.9,1971,1517,Sfvm
CAN,New Democratic Party,1935,2015,30.6,2011,152,NDP
ECU,Democratic People's Movement,1984,1997,8.2,1994,1521,MPD
DNK,Red-Green Alliance,2011,2015,7.6,2015,1527,Enh
NLD,Fortuyn List,2002,2003,17,2002,1528,LPF
POL,Liberal Democratic Congress,1991,1991,7.5,1991,153,KLD
LVA,New Era,2002,2006,23.9,2002,1531,JL
BRA,Liberal Front / Democrats,1986,2010,17.7,1986,1536,PFL
NLD,GreenLeft,1998,2010,7.3,1998,1537,GL
AUS,Democratic Labour Party,1955,1972,9.4,1958,1540,DLP
DEU,The Left,2009,2013,11.9,2009,1545,Linke
DDR,Social Democratic Party,1990,1990,21.9,1990,1548,SDP
CZE,Green Party,2006,2006,6.3,2006,1554,SZ
PAN,Nationalist Republican Liberal Movement,1989,2014,33.3,1989,1555,MOLIRENA
EST,Estonian Coalition Party,1992,1999,32.2,1995,1556,EKK
ALB,New Democratic Party,2005,2005,7.4,2005,1558,PDR
BEL,Confederated ecologists for the organisation of original struggles,1991,2007,7.3,1999,1563,Ecolo
POL,Law and Justice,2001,2015,37.6,2015,1565,PiS
POL,Freedom Union -- Democratic Party,1991,1997,13.4,1997,1566,PD
GBR,Conservatives,1880,2015,55,1931,1567,Con
IND,All India Anna Dravidian Progress Federation,2014,2014,6.8,2014,1571,AIADMK
COL,Colombian Conservative Party,1931,2014,100,1953,1577,PCC
FRA,Union for the Defence of Traders and Artisans -- Poujadists,1956,1956,11.7,1956,1580,UDCA
BEL,Socialist Party Different / Social Liberal Party / Spirit,2003,2007,14.9,2003,1586,SPA/Spirit
LTU,Communist Party of Lithuania,1922,1990,34.1,1990,1587,LKP
POL,Left and Democrats,2007,2007,13.2,2007,1588,LiD
TUR,Young Party,2002,2002,7.2,2002,159,GP
FRA,other far-left,1893,1898,25.3,1893,1594,exg
FRA,Union for a Popular Movement,2002,2012,39.5,2007,1595,UMP
TWN,Democratic Progressive Party,1986,2012,42.52,2005,1596,DDP
HUN,Hungarian Justice and Life Party,1998,1998,5.5,1998,1597,MIEP
CHL,Independent Democratic Union,1989,1997,14.4,1997,1599,UDI
PRT,Democratic Renewal Party,1985,1987,18.4,1985,1600,PRD
DNK,Progress Party,1973,1994,15.9,1973,1601,FrP
MLT,Malta Workers' Party,1950,1953,23.2,1950,1604,MWP
ZAF,Conservative Party,1987,1989,31.3,1989,1609,CP
CRI,National Union Party,1902,1962,74.2,1948,161,PUN
TUR,Nationalist Movement [Action] Party,1961,2015,18,1999,1610,MHP
POL,Confederation for Independent Poland,1991,1993,7.5,1991,1615,KPN
SVK,Slovak Democratic and Christian Union – Democratic Party,2002,2012,18.4,2006,1617,SDKU-DS
SVN,New Slovenia -- Christian People's Party,1990,2014,14.5,1992,1618,NSi
CHL,Communist Party of Chile,1941,1973,16.2,1973,162,PC
ITA,Go Italy,1994,2013,21.6,2013,1626,FI
FRA,National Centre of Independents and Peasants (Conservatives),1951,1962,20,1958,1629,CNIP
NLD,Anti-Revolutionary Party,1884,1972,31.4,1888,163,ARP
ZAF,Inkatha Freedom Party,1994,2004,10.5,1994,1630,IFP
LVA,New Era Party,1998,1998,7.3,1998,1632,JP
NIC,Nicaraguan Liberal Alliance,2006,2006,26.1,2006,1640,ALN
DDR,German Social Union,1990,1990,6.3,1990,1645,DSU
LUX,Communist Party of Luxembourg,1934,1989,16.9,1948,1647,KPL
POL,Centre Agreement,1991,1991,8.7,1991,1649,PC
HUN,Politics Can Be Different,2010,2014,7.5,2010,1650,LMP
GRC,Independent Greeks,2012,2012,7.5,2012,1651,ANEL
LVA,People's Movement for Latvia -- Siegerist Party,1995,1995,14.9,1995,1654,TKL-ZP
ISR,Freedom Party,1949,1961,13.8,1961,1655,Herut
CZE,Coalition for Republic – Republican Party of Czechoslovakia,1992,1996,8,1996,1657,SPR–RSČ
URY,Broad Front / Progressive Encounter,1971,2014,51.7,2004,1658,FA/EP
AUT,The Greens -- The Green Alternative,1994,2013,12.4,2013,1659,GRUENE
GRC,People’s Association / Golden Dawn,2012,2015,7,2015,1660,LS/CA
FRA,Rally of Republican Lefts,1946,1951,12.4,1946,1662,RGR
BGR,Coalition for Bulgaria -- Democratic Left,1991,2014,43.5,1994,1665,KzB
GTM,National Unity of Hope,2003,2015,22.8,2007,1668,UNE
FRA,Reformers Movement,1973,1973,13.3,1973,167,MR
BIH,Party of Democratic Progress,2000,2006,6.4,2000,1673,PDP
MKD,Internal Macedonian Revolutionary Organization – Democratic Party for Macedonian National Unity,1990,2014,44.5,2014,1674,VMRO-DPMNE
BEL,Socialist Party Differently,1978,2014,14.9,1987,1680,SPA
POL,Non-Party Block for Supporting the Reforms,1993,1993,5.4,1993,1681,BBWR
FIN,Finnish Party / True Finns,2011,2015,19.1,2011,1689,SP/P
ISR,United Workers Party,1949,1965,14.7,1949,169,Mapam
HUN,Fidesz – Hungarian Civic Alliance,1990,2006,42.5,2002,1691,Fidesz
ITA,Italian Social Movement / Italian Social Movement-National Right,1953,1992,8.7,1972,1696,MSI
HUN,Hungarian Democratic Forum,1990,2006,24.7,1990,1697,MDF
IND,Dravidian Progress Federation,2009,2009,3.3,2009,17,DMK
BOL,National Unity Front,2005,2014,24.2,2014,170,UN
BOL,Plan Progress for Bolivia -- National Convergence,2009,2009,26.9,2009,1700,PPB-CN
LVA,Latvian Farmers' Union,1920,1993,17.8,1920,1702,LZS
LVA,National Alliance / For Fatherland and Freedom / LNNK,1998,2014,16.6,2014,1704,TB/LNNK
PRT,United People Alliance,1979,1985,19.3,1979,1705,APU
SLV,Nationalist Republican Alliance,1982,2015,48.1,1988,1709,ARENA
MKD,Liberal Democratic Party,1998,2002,8.3,2002,171,LDP
POL,Movement for the Reconstruction of Poland,1997,1997,5.6,1997,1712,ROP
ROU,Democratic Party,1990,2000,66.3,1990,1715,PD
LVA,National Harmony Party,1993,1998,14.1,1998,1719,TSP
ARG,Radical Civic Union,1912,2013,61.7,1928,1724,UCR
CZE,Communist Party of Bohemia and Moravia,1992,2013,18.5,2002,1728,KSCM
ALB,Socialist Party of Albania,1991,2013,56.2,1991,1729,PSS
ITA,The Olive Tree,1996,2001,38.4,2001,1737,Ulivo
NIC,Nicaraguan Resistance Party,1996,1996,,1996,1738,PRN
CAN,Liberal Party of Canada,1882,2015,52,1904,1739,LP
TUR,Democratic Left Party,1987,1999,22.2,1999,1740,DSP
PRT,Democratic Alliance,1979,1980,44.9,1980,1742,AD
AUS,Australian Country Party / National Party of Australia,1922,2007,12.6,1922,1743,ACP-NPA
LTU,Liberals' Movement of the Republic of Lithuania,2008,2012,8.6,2012,1744,LRLS
JPN,Liberal Democratic Party,1958,2014,59,1958,1746,LDP
CHL,Independent Regionalist Party,2009,2009,4,2009,1748,PRI
VEN,Fifth Republic Movement,1998,2005,68.3,2005,1754,MVR
LVA,People's Party,1998,2006,21.2,1998,1755,TP
CAN,Reform Party of Canada,1993,2000,25.5,2000,1757,RPC
ITA,Union of Christian and Centre Democrats,2008,2008,5.8,2008,1758,UDC
CHE,Green Liberal Party,2011,2011,5.4,2011,1759,GPL
LVA,For Human Rights in a United Latvia,2002,2006,19,2002,176,PCTVL
BIH,Croatian Democratic Union of Bosnia and Herzegovina,1990,2014,15.6,1990,1760,HDZ-BiH
BGR,Union for National Salvation,1997,1997,7.6,1997,1765,ONS
ITA,Christian Democratic Center,1994,1994,0,1994,1767,CCD
POL,League of Polish Families,2001,2005,8,2005,1768,LPR
CZE,Czech Social Democratic Party,1992,2013,32.3,1998,177,CSSD
SVN,Zoran Jankovic's List – Positive Slovenia,2011,2011,28.5,2011,1773,LZJPS
FRA,other right,1997,1997,6.6,1997,1776,droite
JPN,Your Party,2012,2012,8.7,2012,1777,YP
LVA,Latvia's First Party,2002,2002,9.5,2002,1778,LPP
TUR,Nationalist Democratic Party,1983,1983,23.3,1983,178,MDP
PER,Christian People's Party,1978,2011,23.8,1978,1780,PPC
LVA,Latvian National Independence Movement,1993,1995,13.3,1993,1789,LNNK
ARG,Republican Proposal,2005,2011,6.2,2005,1790,PRO
BGR,National Union Attack,2005,2013,9.4,2009,1793,ATA
LIE,Free List,1986,2013,13,2005,1795,FL
DEU,Centre Party,1881,1932,23.2,1881,1798,Z
EST,Constitution Party -- Estonian United People's Party,1995,1999,6.1,1999,18,K-EUR
LTU,New Union (Social Liberals),2000,2004,19.6,2000,1800,NS
JPN,Democratic Party of Japan,1996,2014,42.4,2009,1804,DPJ
CHE,Catholic Conservative / Christian Democratic Peoples Party,1902,2015,23.4,1963,1808,KK/CVP
DEU,Alliance 90 / Greens,1994,2013,10.7,2009,1816,B90/Gr
CYP,European Party,2006,2006,5.8,2006,1817,EK
NZL,National Party,1938,2014,53.9,1951,1824,NP
DEU,German Democratic Party / German State Party,1919,1924,18.6,1919,1826,DDP/DStP
DEU,German People's Party,1881,1928,13.9,1920,1827,DVP
BEL,Rexist Party,1936,1936,11.5,1936,1829,Rex
DEU,German National People's Party,1919,1932,20.5,1924,1830,DNVP
NIC,Conservative Party,1916,1974,100,1916,185,PCN
LUX,Luxembourg Socialist Workers' Party,1918,2013,41.5,1948,186,LSAP
FIN,National Progressive Party,1924,1924,9.1,1924,1862,KE
ISL,Communist Party,1933,1937,8.4,1937,1881,Komm
DEU,Independent Social Democratic Party of Germany,1919,1920,17.9,1920,1884,USPD
NLD,Liberal State Party / The Freedom League,1922,1933,9.3,1922,1889,LSP/VB
BEL,Catholic Party,1880,1939,56,1902,1892,KP//PC
DEU,National Socialist German Workers' Party,1930,1938,98.9,1938,1893,NSDAP
MLT,Democratic Nationalist Party (1921),1921,1924,17.4,1924,1899,PDN
LVA,"Democratic Party ""Saimnieks""",1995,1995,15.2,1995,19,DPS
ALB,Democratic Party of Albania,1991,2013,57.3,1992,190,PDS
FIN,Communist Party of Finland / Socialist Workers' (Small Holders) Party,1924,1924,10.4,1924,1904,SSTP
FIN,Young Finnish Party,1907,1916,14.9,1911,1905,NP
SWE,Farmers' Union,1920,1920,6.2,1920,1909,JR
MLT,Maltese Political Union,1921,1924,39.1,1921,1910,UPM
DNK,Moderate Liberals,1892,1909,21.2,1892,1914,MV
AUT,Rural Federation,1923,1927,6.3,1927,1916,LB
AUT,Greater German People's Party,1920,1927,17.3,1920,1917,GDVP
ROU,Romanian Democratic Convention,1992,2000,30.2,1996,192,CDR
NOR,Social Democratic Labour Party of Norway,1921,1924,9.2,1921,1921,NSA
NOR,Radical People's Party,1912,1912,4.9,1912,1922,RF
NOR,Moderate Liberal Party,1888,1903,19.5,1888,1924,MV
NOR,Electoral lists conservatives,1949,1949,6.1,1949,1926,All-C
LTU,Homeland Union / Homeland Union – Lithuanian Christian Democrats,1992,2012,31.3,1996,193,TS-LKD
CAN,Progressive Party of Canada,1921,1926,22.9,1921,1930,PPC
CAN,Reconstruction Party of Canada,1935,1935,8.7,1935,1932,RPC
AUT,German-National Party,1900,1919,7.3,1900,1935,DP
DOM,Social Christian Reformist Party,1962,2006,56.5,1966,194,PRSC
NLD,League of Free Liberals,1894,1913,20,1894,1943,BVL
ISL,'Hardline' lndependence Party,1916,1916,7,1916,1952,Sj-th
ISL,Farmers' Party,1916,1937,8.8,1916,1953,Ba
ISL,Independent Farmers,1916,1916,4.1,1916,1956,OB
ISL,Moderate Independence Party,1916,1916,15.7,1916,1957,Sj-la
ISL,Home Rule Party,1916,1919,45.8,1919,1958,He
SWE,Socialist Party,1932,1932,5.3,1932,1959,SP
LKA,United National Party,1947,2015,50.9,1977,1966,UNP
LKA,Sri Lanka Freedom Party,1952,1989,36.9,1970,1967,SLFP
AUT,NEOS – The New Austria,2013,2013,5,2013,1970,NEOS
AUT,Team Stronach,2013,2013,5.7,2013,1971,TS
EST,Russian Party in Estonia,1932,1932,5,1932,1975,VEE
MEX,Mexican Communist Party,1979,1979,5.4,1979,1981,PCM
MEX,National Democratic Front,1988,1988,29,1988,1983,FDN
MEX,Alliance for Mexico 2000,2000,2000,16.9,2000,1988,AM
SWE,Farmers' League / Centre Party,1917,2014,25.1,1973,199,B/C
AZE,Azerbaijan National Independence Party,1995,1995,9.3,1995,1991,AMIP
AZE,Azerbaijan Popular Front,1990,2000,13.2,1990,1992,AXC
AZE,Azerbaijan Communist Party (1993),2000,2000,6.3,2000,1993,ACP
AZE,Civil Solidarity Party,2000,2000,6.4,2000,1994,VHP
AZE,New Azerbaijan Party,1995,2015,62.7,1995,1995,YAP
AUS,Palmer United Party,2013,2013,5.5,2013,1996,PUP
AUS,Commonwealth Liberal Party,1910,1914,48.9,1913,1999,CLP
ARM,Rule of Law / Armenian Renaissance,1999,2012,12.6,2003,2007,OEK/HV
ARM,Justice,2003,2003,13.7,2003,2008,A
ARM,National Democratic Union,1995,1999,7.7,1995,2009,AZhM
ARM,National Self-Determination Union,1995,1995,5.7,1995,2010,AIM
ARM,National Unity,1999,2003,8.9,2003,2011,AM
ARM,Republic,1995,1995,43.9,1995,2012,HA
ARM,Republican Party of Armenia,1999,2012,44.1,2012,2013,HHK
ARM,Semiramis (Women’s Movement),1995,1995,17.4,1995,2015,Sha
ARM,United Labour Party,2003,2003,5.7,2003,2016,MAK
ARM,Armenian Communist Party,1995,1999,12.4,1995,2018,HKK
KOR,National Congress for New Politics / Democratic Party,1996,1996,25.3,1996,2019,NCNP
PAN,Panamenista Party / Authentic Panameñista Party,1964,2014,28.6,1964,202,PPA
ARM,Armenian Revolutionary Federation,1919,2012,89,1919,2020,HHD
BLR,"Party of Communists of Belarus / Belarusian Left Party ""A Just World""",1990,2008,100,1990,2030,PKB
BLR,Agrarian Party,1995,2000,16.7,1995,2037,AP
NZL,Democrat Party,1935,1935,7.8,1935,2041,DP
ITA,Five Star Movement,2013,2013,25.6,2013,2046,M5S
ISL,Pirate Party of Iceland,2013,2013,5.1,2013,2048,Pi
CZE,Dawn of Direct Democracy,2013,2013,6.9,2013,2049,UPD
SVK,Common Choice,1994,1994,10.4,1994,205,SV
BGR,National Front for the Salvation of Bulgaria,2014,2014,7.3,2014,2057,NFSB
BGR,Bulgarian Agrarian National Union,1901,1990,55.3,1931,2060,BZNS
IRL,Workers Party,1989,1989,5,1989,208,WP
