country,name_short,name,year_first,year_last,party_id_1,party_id_2,party_id_3,party_id_4,partyfacts_id
ISL,,Progressive Party,2009,2013,1-12-2-2009,2-12-2-2013,,,964
ISL,Conservative,Independence Party,2009,2013,1-12-3-2009,2-12-3-2013,,,363
ISL,,Left Green Movement,2009,2013,1-12-4-2009,2-12-4-2013,,,457
ISL,,Liberal Party,2009,2013,1-12-5-2009,2-12-7-2013,,,1224
ISL,,Civic Movement,2009,2013,1-12-6-2009,2-12-25-2013,,,224
HUN,Fidesz,,2010,2014,1-13-1-2010,2-8-1-2014,,,1691
HUN,KDNP,,2010,2014,1-13-2-2010,2-8-2-2014,,,1412
HUN,MSZP,,2010,2014,1-13-3-2010,2-8-3-2014,,,1408
HUN,Jobbik,,2010,2014,1-13-4-2010,2-8-4-2014,,,42
HUN,LMP,,2010,2014,1-13-5-2010,2-8-5-2014,,,1650
AUT,SPOE,,2008,2008,1-14-1-2008,,,,1384
AUT,OEVP,,2008,2008,1-14-2-2008,,,,1329
AUT,Gruene,,2008,2008,1-14-3-2008,,,,1659
AUT,FPOE,,2008,2008,1-14-4-2008,,,,463
AUT,BZOE,,2008,2008,1-14-5-2008,,,,599
AUT,FRITZ,,2008,2008,1-14-6-2008,,,,439
AUT,KPOE,,2008,2008,1-14-8-2008,,,,996
AUT,LIF,,2008,2008,1-14-9-2008,,,,605
SWE,,The Center Party,2010,2014,1-15-1-2010,2-6-1-2014,,,199
SWE,,The Feminist Initiative,2010,2014,1-15-2-2010,2-6-2-2014,,,1240
SWE,,The Liberal Party,2010,2014,1-15-3-2010,2-6-3-2014,,,1274
SWE,,The Christian Democrats,2010,2014,1-15-4-2010,2-6-4-2014,,,651
SWE,,The Green Party,2010,2014,1-15-5-2010,2-6-5-2014,,,456
SWE,,The Conservatives,2010,2014,1-15-6-2010,2-6-6-2014,,,690
SWE,,The Social Democrats,2010,2014,1-15-7-2010,2-6-7-2014,,,487
SWE,,The Sweden Democrats,2010,2014,1-15-8-2010,2-6-8-2014,,,409
SWE,,The Left Party,2010,2014,1-15-9-2010,2-6-9-2014,,,830
DNK,,Red/Green Alliance,2011,2011,1-16-1-2011,,,,1527
DNK,,Left Socialists,2011,2011,1-16-11-2011,,,,1136
DNK,,Progress Party,2011,2011,1-16-13-2011,,,,1601
DNK,,Center Democrats,2011,2011,1-16-15-2011,,,,800
DNK,,Justice Party,2011,2011,1-16-16-2011,,,,1134
DNK,,Socialist People,2011,2011,1-16-2-2011,,,,329
DNK,,Social Democrats,2011,2011,1-16-3-2011,,,,379
DNK,,Social Liberals,2011,2011,1-16-4-2011,,,,1507
DNK,,Christian Democrats,2011,2011,1-16-5-2011,,,,53
DNK,,Liberal Alliance,2011,2011,1-16-6-2011,,,,212
DNK,,Liberals,2011,2011,1-16-7-2011,,,,1914
DNK,,Conservative People,2011,2011,1-16-8-2011,,,,536
DNK,,Danish People,2011,2011,1-16-9-2011,,,,1022
ROU,PSD,,2012,2016,1-17-1-2012,2-13-1-2016,,,120
ROU,UDMR,,2012,2016,1-17-10-2012,2-13-4-2016,,,1105
ROU,PPDD,,2012,2012,1-17-11-2012,,,,2474
ROU,PNL,,2012,2016,1-17-2-2012,2-13-2-2016,,,481
ROU,PC,,2012,2012,1-17-3-2012,,,,1443
ROU,UNPR,,2012,2012,1-17-4-2012,,,,1541
ROU,USL,,2012,2012,1-17-5-2012,,,,5941
ROU,PDL,,2012,2012,1-17-6-2012,,,,660
ROU,PN?CD,,2012,2012,1-17-7-2012,,,,296
ROU,FC,,2012,2012,1-17-8-2012,,,,2473
ROU,ARD,,2012,2012,1-17-9-2012,,,,5940
CZE,CSSD,,2006,2006,1-18-1-2006,,,,177
CZE,KDU,,2006,2006,1-18-2-2006,,,,676
CZE,KSCM,,2006,2006,1-18-3-2006,,,,1728
CZE,ODS,,2006,2006,1-18-4-2006,,,,466
CZE,SZ,,2006,2006,1-18-5-2006,,,,1554
NOR,SV,,2009,2013,1-19-1-2009,2-7-2-2013,,,719
NOR,Ap,,2009,2013,1-19-2-2009,2-7-3-2013,,,448
NOR,Sp,,2009,2013,1-19-3-2009,2-7-4-2013,,,1072
NOR,KrF,,2009,2013,1-19-4-2009,2-7-5-2013,,,705
NOR,V,,2009,2013,1-19-5-2009,2-7-6-2013,,,1173
NOR,,Høyre,2009,2013,1-19-6-2009,2-7-7-2013,,,503
NOR,FrP,,2009,2013,1-19-7-2009,2-7-8-2013,,,101
CHE,CVP/PDC,,2007,2015,1-2-1-2007,1-2-2-2011,2-2-2-2015,,1808
CHE,EDU/UDF,,2007,2015,1-2-10-2007,1-2-16-2011,2-2-16-2015,,631
CHE,SD/DS,,2007,2015,1-2-11-2007,1-2-15-2011,2-2-15-2015,,1819
CHE,Lega,,2007,2015,1-2-12-2007,1-2-18-2011,2-2-18-2015,,1661
CHE,Pda/PST,,2007,2015,1-2-13-2007,1-2-9-2011,2-2-9-2015,,669
CHE,,BDP,2011,2015,1-2-19-2011,2-2-32-2015,,,1415
CHE,FDP/PRD,,2007,2015,1-2-2-2007,1-2-1-2011,2-2-1-2015,,360
CHE,SVP/UDC,,2007,2015,1-2-3-2007,1-2-4-2011,2-2-4-2015,,308
CHE,SPS/PSS,,2007,2015,1-2-4-2007,1-2-3-2011,2-2-3-2015,,29
CHE,GPS/PES,,2007,2015,1-2-5-2007,1-2-13-2011,2-2-13-2015,,1006
CHE,GLP,,2007,2015,1-2-6-2007,1-2-10-2011,2-2-31-2015,,1759
CHE,LPS/PLS,,2007,2015,1-2-7-2007,2-2-5-2015,,,444
CHE,CSP/PCS,,2007,2015,1-2-8-2007,1-2-8-2011,2-2-8-2015,,1122
CHE,EVP/PEV,,2007,2015,1-2-9-2007,1-2-7-2011,2-2-7-2015,,1123
NZL,,Labour,2011,2011,1-20-1-2011,,,,1049
NZL,,National,2011,2011,1-20-2-2011,,,,1824
NZL,Green,,2011,2011,1-20-3-2011,,,,1099
NZL,,NZ First,2011,2011,1-20-4-2011,,,,591
NZL,,Maori Party,2011,2011,1-20-5-2011,,,,1716
NZL,Act,,2011,2011,1-20-6-2011,,,,752
NZL,,United Future,2011,2011,1-20-7-2011,,,,940
NZL,,Mana Party,2011,2011,1-20-8-2011,,,,1427
ITA,,Centro Democratico,2013,2013,1-21-1-2013,,,,2278
ITA,SVP,,2013,2013,1-21-10-2013,,,,1369
ITA,,Unione di Centro,2013,2013,1-21-11-2013,,,,201
ITA,,Fratelli d'Italia,2013,2013,1-21-2-2013,,,,2280
ITA,,Il Popolo Della Liberta,2013,2013,1-21-3-2013,,,,365
ITA,,Lega Nord,2013,2013,1-21-4-2013,,,,1221
ITA,,Movimento 5 Stelle Beppegrillo,2013,2013,1-21-5-2013,,,,2046
ITA,,Partito Democratico,2013,2013,1-21-6-2013,,,,802
ITA,,Rivoluzione Civile,2013,2013,1-21-7-2013,,,,2277
ITA,,Scelta Civica Con Monti Per l'Italia,2013,2013,1-21-8-2013,,,,2281
ITA,,Sinistra Ecologia Liberta,2013,2013,1-21-9-2013,,,,7031
MLT,,Partit Nazzjonalista,2013,2013,1-22-1-2013,,,,699
MLT,,Partit Laburista,2013,2013,1-22-2-2013,,,,808
MLT,,Alternattiva Demokratika,2013,2013,1-22-3-2013,,,,62
GBR,,Labour Party,2010,2010,1-23-1-2010,,,,1516
GBR,SGP,Scottish Green Party,2010,2010,1-23-11-2010,,,,6687
GBR,,Conservative Party,2010,2010,1-23-2-2010,,,,1567
GBR,,Liberal Democrats,2010,2010,1-23-3-2010,,,,1388
GBR,UKIP,UK Independence Party,2010,2010,1-23-4-2010,,,,601
GBR,GPEW,Green Party of England and Wales,2010,2010,1-23-5-2010,,,,1794
GBR,SNP,Scottish National Party,2010,2010,1-23-6-2010,,,,986
GBR,,Plaid Cymru the Party of Wales,2010,2010,1-23-7-2010,,,,1002
GBR,BNP,British National Party,2010,2010,1-23-8-2010,,,,855
GBR,,English Democrats,2010,2010,1-23-9-2010,,,,1675
LUX,PCL,Parti Communiste Luxembourgeois,2009,2009,1-24-1-2009,,,,1647
LUX,,La Gauche,2009,2009,1-24-2-2009,,,,271
LUX,,Les Verts,2009,2009,1-24-3-2009,,,,1138
LUX,POSL,Parti Ouvrier Socialiste Luxembourgeois,2009,2009,1-24-4-2009,,,,186
LUX,PD,Parti Démocratique,2009,2009,1-24-5-2009,,,,300
LUX,PCS,Parti Chrétien Social,2009,2009,1-24-6-2009,,,,539
LUX,ADR,Parti Démocrate Réformateur,2009,2009,1-24-7-2009,,,,1114
LUX,BL,Bierger Lëscht,2009,2009,1-24-8-2009,,,,1213
DEU,SPD,Social Democratic Party,2005,2013,1-3-1-2005,1-3-1-2009,2-1-4-2013,,383
DEU,CDU,Christian Democratic Union,2005,2013,1-3-2-2005,1-3-2-2009,2-1-2-2013,,1375
DEU,CSU,Christian Social Union,2005,2013,1-3-3-2005,1-3-3-2009,2-1-3-2013,,1731
DEU,FDP,Free Democratic Party,2005,2013,1-3-4-2005,1-3-4-2009,2-1-7-2013,,573
DEU,Alliance90/The Greens,Buendnis90 / Die Gruenen,2005,2013,1-3-5-2005,1-3-5-2009,2-1-6-2013,,1816
DEU,Linke,Die Linke,2005,2013,1-3-6-2005,1-3-6-2009,2-1-5-2013,,1545
IRL,FF,,2007,2007,1-4-1-2007,,,,1055
IRL,FG,,2007,2007,1-4-2-2007,,,,1288
IRL,Greens,,2007,2007,1-4-3-2007,,,,1775
IRL,,Labour,2007,2007,1-4-4-2007,,,,562
IRL,PD,Progressive Democrats,2007,2007,1-4-5-2007,,,,924
IRL,SF,Sinn Fein,2007,2007,1-4-6-2007,,,,4
GRC,ND,New Democracy,2007,2015,1-5-1-2007,1-5-1-2009,1-5-1-2012,2-4-2-2015,794
GRC,PASOK,PanhellenicSocialistMovement,2007,2015,1-5-2-2007,1-5-2-2009,1-5-2-2012,2-4-7-2015,1468
GRC,Syriza,,2012,2015,1-5-3-2012,2-4-1-2015,,,301
GRC,ANEL,,2012,2015,1-5-4-2012,2-4-6-2015,,,1651
GRC,CA,GOLDEN DAWN,2012,2015,1-5-5-2012,2-4-3-2015,,,1660
GRC,DIMAR,,2012,2012,1-5-6-2012,,,,1160
FIN,,Centre Party,2007,2015,1-6-1-2007,1-6-4-2011,2-15-4-2015,,901
FIN,Liberals,no longer a registered party,2007,2007,1-6-10-2007,,,,249
FIN,,National Coalition Party,2007,2015,1-6-2-2007,1-6-1-2011,2-15-1-2015,,495
FIN,,Social Democrats,2007,2015,1-6-3-2007,1-6-2-2011,2-15-2-2015,,1303
FIN,,Left Alliance,2007,2015,1-6-4-2007,1-6-5-2011,2-15-5-2015,,1044
FIN,Greens,Green League,2007,2015,1-6-5-2007,1-6-6-2011,2-15-6-2015,,479
FIN,,Christian Democrats,2007,2015,1-6-6-2007,1-6-7-2011,2-15-7-2015,,703
FIN,,Swedish People,2007,2015,1-6-7-2007,1-6-8-2011,2-15-8-2015,,1229
FIN,,True Finns,2007,2015,1-6-8-2007,1-6-3-2011,2-15-3-2015,,1689
FIN,,Finnish Communist Party,2007,2011,1-6-9-2007,1-6-10-2011,,,7030
BEL,PS,,2007,2014,1-7-1-2007,1-7-1-2010,2-18-2-2014,,500
BEL,CD&V,,2007,2014,1-7-11-2007,1-7-11-2010,2-18-14-2014,,604
BEL,N-VA,,2007,2014,1-7-12-2007,1-7-12-2010,2-18-16-2014,,36
BEL,sp.a,,2007,2014,1-7-13-2007,1-7-13-2010,2-18-12-2014,,1680
BEL,spirit,,2007,2014,1-7-14-2007,1-7-10-2010,,,7015
BEL,Open VLD,,2007,2014,1-7-15-2007,1-7-15-2010,2-18-15-2014,,49
BEL,VB,VlaamsBelang,2007,2014,1-7-16-2007,1-7-16-2010,2-18-18-2014,,1968
BEL,,GROEN,2007,2014,1-7-17-2007,1-7-17-2010,2-18-13-2014,,528
BEL,,LijstDedecker,2007,2010,1-7-18-2007,1-7-18-2010,,,43
BEL,PP,,2010,2014,1-7-19-2010,2-18-7-2014,,,639
BEL,MR,,2007,2014,1-7-2-2007,1-7-2-2010,2-18-5-2014,,789
BEL,CDH,,2007,2014,1-7-3-2007,1-7-3-2010,2-18-4-2014,,2338
BEL,ECOLO,,2007,2014,1-7-4-2007,1-7-4-2010,2-18-3-2014,,1563
BEL,FN,,2007,2007,1-7-5-2007,,,,191
BEL,FDF,,2010,2014,1-7-6-2010,2-18-6-2014,,,698
NLD,CDA,,2006,2006,1-8-1-2006,,,,1157
NLD,,Pvd Dieren,2006,2006,1-8-10-2006,,,,1467
NLD,PvdA,,2006,2006,1-8-2-2006,,,,1234
NLD,SP,,2006,2006,1-8-3-2006,,,,1363
NLD,VVD,,2006,2006,1-8-4-2006,,,,828
NLD,,Groep Wilders PVV,2006,2006,1-8-5-2006,,,,298
NLD,,Groen Links,2006,2006,1-8-6-2006,,,,1537
NLD,,Christen Unie,2006,2006,1-8-7-2006,,,,1459
NLD,D66,,2006,2006,1-8-8-2006,,,,45
NLD,SGP,,2006,2006,1-8-9-2006,,,,1178
CAN,,Liberal Party,2008,2015,1-9-1-2008,2-3-2-2015,,,1739
CAN,NDP,New Democratic Party,2008,2015,1-9-2-2008,2-3-3-2015,,,152
DEU,AfD,Alternative for Germany,2013,2013,2-1-8-2013,,,,1976
DEU,Pirates,Pirate Party of Germany,2013,2013,2-1-9-2013,,,,1287
MNE,AA,Albanska alternativa,2016,2016,2-10-1-2016,,,,5661
MNE,SD,Socijaldemokrate,2016,2016,2-10-19-2016,,,,5470
MNE,URA,Ujedinjena reformska akcija,2016,2016,2-10-23-2016,,,,5468
MNE,DNP,Demokratska narodna partija,2016,2016,2-10-7-2016,,,,6624
ALB,PS,Partia Socialiste,2013,2013,2-11-1-2013,,,,1729
ALB,PPSH,Partia e Punës së Shqipërisë,2013,2013,2-11-10-2013,,,,4711
ALB,PAD,Partia Aleanca Demokratike,2013,2013,2-11-11-2013,,,,594
ALB,PSD,Partia Social Demokrate,2013,2013,2-11-12-2013,,,,838
ALB,PLL,Partia Lëvizja e Legalitetit,2013,2013,2-11-13-2013,,,,732
ALB,PD,Partia Demokratike,2013,2013,2-11-2-2013,,,,190
ALB,LSI,Levizija Socialiste per Integrim,2013,2013,2-11-3-2013,,,,2297
ALB,PDIU,Partia Per Drejtesi,2013,2013,2-11-4-2013,,,,3270
ALB,PR,Partia Republikane,2013,2013,2-11-5-2013,,,,819
ALB,PBDNJ,Partia Bashkimi Per Te Drejtat e Njeriut,2013,2013,2-11-6-2013,,,,1636
ALB,PKD,Partia Kristian Demokrate,2013,2013,2-11-7-2013,,,,4715
ALB,PDK,Partia Demokristiane e Shqipërisë,2013,2013,2-11-8-2013,,,,7013
ALB,PAA,Partia Agrare,2013,2013,2-11-9-2013,,,,840
ISL,,Union of Liberals and Leftists,2013,2013,2-12-10-2013,,,,1517
ISL,,Icelandic Movement,2013,2013,2-12-17-2013,,,,125
ISL,,Humanist Party,2013,2013,2-12-18-2013,,,,1070
ISL,,Bright Future,2013,2013,2-12-5-2013,,,,2517
ISL,,Pirate Party,2013,2013,2-12-6-2013,,,,2048
ROU,USR,,2016,2016,2-13-3-2016,,,,5969
ROU,ALDE,,2016,2016,2-13-5-2016,,,,5662
ROU,PMP,,2016,2016,2-13-6-2016,,,,3210
EST,,Eesti Konservatiivne Rahvaerakond,2015,2015,2-14-2-2015,,,,4094
EST,,Eesti Vabaerakond,2015,2015,2-14-7-2015,,,,3271
PRT,PAN,,2015,2015,2-16-3-2015,,,,97
CHL,,Renovación Nacional,2017,2017,2-17-1-2017,,,,928
CHL,,Partido Progresista,2017,2017,2-17-10-2017,,,,7017
CHL,,Partido Igualdad,2017,2017,2-17-11-2017,,,,7018
CHL,,Mas Región,2017,2017,2-17-12-2017,,,,812
CHL,,Partido Regionalista Independiente,2017,2017,2-17-13-2017,,,,1748
CHL,,Partido Liberal de Chile,2017,2017,2-17-16-2017,,,,7019
CHL,,Amplitud,2017,2017,2-17-18-2017,,,,7020
CHL,,Partido Demócrata Cristiano,2017,2017,2-17-2-2017,,,,390
CHL,,Partido Evolución Política,2017,2017,2-17-20-2017,,,,7021
CHL,,Revolución Democrática,2017,2017,2-17-24-2017,,,,6911
CHL,,Ciudadanos,2017,2017,2-17-25-2017,,,,7022
CHL,,Federación Regionalista Verde Social,2017,2017,2-17-27-2017,,,,7023
CHL,,Partido por la Democracia,2017,2017,2-17-3-2017,,,,54
CHL,,Unión Demócrata Independiente,2017,2017,2-17-4-2017,,,,1599
CHL,,Partido Socialista de Chile,2017,2017,2-17-5-2017,,,,6
CHL,,Partido Radical Socialdemócrata,2017,2017,2-17-6-2017,,,,437
CHL,,Partido Comunista de Chile,2017,2017,2-17-7-2017,,,,162
CHL,,Partido Humanista,2017,2017,2-17-8-2017,,,,209
CHL,,Partido Ecologista Verde,2017,2017,2-17-9-2017,,,,7016
BEL,PTB,,2014,2014,2-18-1-2014,,,,1753
BEL,PVDA,,2014,2014,2-18-19-2014,,,,1753
CAN,,Conservative Party,2015,2015,2-3-1-2015,,,,1004
CAN,,Green Party,2015,2015,2-3-4-2015,,,,931
CAN,,Bloc Québécois,2015,2015,2-3-5-2015,,,,1428
GRC,RIVER,,2015,2015,2-4-4-2015,,,,3118
GRC,KKE,,2015,2015,2-4-5-2015,,,,48
NOR,,Rødt,2013,2013,2-7-1-2013,2-7-9-2013,,,3698
HUN,,Együtt,2014,2014,2-8-6-2014,,,,2458
HUN,,Demokratikus koalíció,2014,2014,2-8-7-2014,,,,469
HUN,,Párbeszéd Magyarországért,2014,2014,2-8-8-2014,,,,3115
MNE,DPS,Demokratska partija socijalista,2012,2016,2-9-1-2012,2-10-9-2016,,,3162
MNE,DUA,Demokratska unija Albanaca,2012,2012,2-9-10-2012,2-10-11-2016,,,3250
MNE,FORCA,,2012,2016,2-9-11-2012,2-10-12-2016,,,3251
MNE,DEMOS,Demokratski savez,2012,2016,2-9-16-2012,2-10-5-2016,,,5467
MNE,,Stranka srpskih radikala,2012,2012,2-9-19-2012,,,,3161
MNE,SDP,Socijaldemokratska partija,2012,2016,2-9-2-2012,2-10-20-2016,,,3185
MNE,,Demokratska srpska stranka,2012,2012,2-9-22-2012,,,,5487
MNE,SNP,Socijalistièka narodna partija,2012,2016,2-9-3-2012,2-10-21-2016,,,3104
MNE,,NOVA srpska demokratija,2012,2016,2-9-4-2012,2-10-15-2016,,,3252
MNE,PzP,Pokret za promjene,2012,2016,2-9-5-2012,2-10-16-2016,,,4766
MNE,,Pozitivna Crna Gora,2012,2016,2-9-6-2012,2-10-17-2016,,,4767
MNE,LP,Liberalna partija,2012,2016,2-9-7-2012,2-10-14-2016,,,4768
MNE,BS,Bošnjaèka stranka,2012,2016,2-9-8-2012,2-10-4-2016,,,3255
MNE,HGI,Hrvatska graðanska inicijativa,2012,2016,2-9-9-2012,2-10-13-2016,,,3253
