country,name_short,name,year,party_id,partyfacts_id,partyfacts_name
DEU,,Bündnis90/Die Grünen,2005,1-3-5-2005,1816,B90/Gr
DEU,,Linke,2005,1-3-6-2005,1545,Linke
DEU,,WASG,2005,1-3-7-2005,2702,1-perc
DEU,,Other Party,2005,1-3-20-2005,1895,etc
DEU,,SPD,2009,1-3-1-2009,383,SPD
DEU,,CDU,2009,1-3-2-2009,1375,CDU
DEU,,CSU,2009,1-3-3-2009,1731,CSU
DEU,,FDP,2009,1-3-4-2009,573,FDP
DEU,,Bündnis 90/Die Grünen,2009,1-3-5-2009,1816,B90/Gr
DEU,,Die Linke,2009,1-3-6-2009,1545,Linke
DEU,,Other Party,2009,1-3-20-2009,1895,etc
IRL,,FF,2007,1-4-1-2007,1055,FF
IRL,,FG,2007,1-4-2-2007,1288,FG
IRL,,Greens,2007,1-4-3-2007,1775,Greens
IRL,,Labour,2007,1-4-4-2007,562,Lab
IRL,PD,Progressive Democrats,2007,1-4-5-2007,924,PD
IRL,SF,Sinn Fein,2007,1-4-6-2007,4,SF
IRL,,Independents,2007,1-4-7-2007,2735,indep
GRC,ND,New Democracy,2007,1-5-1-2007,794,ND
GRC,PASOK,PanhellenicSocialistMovement,2007,1-5-2-2007,1468,PASOK
GRC,,ND,2009,1-5-1-2009,794,ND
GRC,,PASOK,2009,1-5-2-2009,1468,PASOK
GRC,,ND,2012,1-5-1-2012,794,ND
GRC,,PASOK,2012,1-5-2-2012,1468,PASOK
GRC,,Syriza,2012,1-5-3-2012,301,SYRIZA
GRC,,ANEL,2012,1-5-4-2012,1651,ANEL
GRC,CA,GOLDEN DAWN,2012,1-5-5-2012,1660,LS/CA
GRC,,DIMAR,2012,1-5-6-2012,1160,DIMAR
FIN,,Centre Party,2007,1-6-1-2007,901,KESK
FIN,,National Coalition Party,2007,1-6-2-2007,495,KOK
FIN,,Social Democrats,2007,1-6-3-2007,1303,SDP
FIN,,Left Alliance,2007,1-6-4-2007,1044,VAS
FIN,,Greens,2007,1-6-5-2007,479,VIHR
FIN,,Christian Democrats,2007,1-6-6-2007,703,KD
FIN,,Swedish People,2007,1-6-7-2007,1229,RKP/SFP
FIN,,True Finns,2007,1-6-8-2007,1689,SP/P
FIN,,Finnish Communist Party,2007,1-6-9-2007,7030,SKP
FIN,Liberals,no longer a registered party,2007,1-6-10-2007,249,L
FIN,Senior,Pensioners,2007,1-6-11-2007,2687,1-perc
FIN,,Party of Peace and Socialism,2007,1-6-12-2007,2687,1-perc
FIN,,Independence Party,2007,1-6-13-2007,2687,1-perc
FIN,,Independent list in Helsinki,2007,1-6-14-2007,2685,indep
FIN,,Independent list in Varsinais,2007,1-6-15-2007,2685,indep
FIN,,Finnish People,2007,1-6-16-2007,2687,1-perc
FIN,,Finnish Workers Party,2007,1-6-17-2007,2687,1-perc
FIN,,Patriotic People,2007,1-6-18-2007,2687,1-perc
FIN,,Other Party,2007,1-6-20-2007,1859,etc
FIN,,National Coalition Party,2011,1-6-1-2011,495,KOK
FIN,,Social democratic party,2011,1-6-2-2011,1303,SDP
FIN,,The Finns Party,2011,1-6-3-2011,1689,SP/P
FIN,,Center Party of Finland,2011,1-6-4-2011,901,KESK
FIN,,The Left Alliance,2011,1-6-5-2011,1044,VAS
FIN,,Green League,2011,1-6-6-2011,479,VIHR
FIN,,Christian Democrats in Finland,2011,1-6-7-2011,703,KD
FIN,,Swedish Peoples Party in Finland,2011,1-6-8-2011,1229,RKP/SFP
FIN,,Pirate Party of Finland,2011,1-6-9-2011,2687,1-perc
FIN,,The Communist Party of Finland,2011,1-6-10-2011,7030,SKP
FIN,,Change 2011,2011,1-6-11-2011,2687,1-perc
FIN,,Liberty Party,2011,1-6-12-2011,2687,1-perc
FIN,,ItsenÃ,2011,1-6-13-2011,2687,1-perc
FIN,,SuomenSenioripuolue,2011,1-6-14-2011,2687,1-perc
FIN,SuomenTyÃ,Workers party,2011,1-6-15-2011,2687,1-perc
FIN,Finland,The Communist Workers Party,2011,1-6-16-2011,2687,1-perc
FIN,,For the Poor,2011,1-6-17-2011,2687,1-perc
FIN,,other party,2011,1-6-20-2011,1859,etc
BEL,,PS,2007,1-7-1-2007,500,PS
BEL,,MR,2007,1-7-2-2007,789,MR
BEL,,CDH,2007,1-7-3-2007,2338,CDH
BEL,,ECOLO,2007,1-7-4-2007,1563,Ecolo
BEL,,FN,2007,1-7-5-2007,191,FN
BEL,,CD&V,2007,1-7-11-2007,604,CD&V
BEL,,N-VA,2007,1-7-12-2007,36,N-VA
BEL,,sp.a,2007,1-7-13-2007,1680,SPA
BEL,,spirit,2007,1-7-14-2007,7015,SPIRIT
BEL,,Open VLD,2007,1-7-15-2007,49,PVV-OVLD
BEL,,VlaamsBelang,2007,1-7-16-2007,1968,VB
BEL,,GROEN,2007,1-7-17-2007,528,AGL-Gr
BEL,,LijstDedecker,2007,1-7-18-2007,43,LD/LDD
BEL,,PS,2010,1-7-1-2010,500,PS
BEL,,MR,2010,1-7-2-2010,789,MR
BEL,,CDH,2010,1-7-3-2010,2338,CDH
BEL,,ECOLO,2010,1-7-4-2010,1563,Ecolo
BEL,,CVP,2010,1-7-5-2010,2608,unknown
BEL,,FDF,2010,1-7-6-2010,698,FDF
BEL,,ID21,2010,1-7-7-2010,2608,unknown
BEL,,VU,2010,1-7-8-2010,2608,unknown
BEL,,CDF,2010,1-7-9-2010,2609,1-perc
BEL,,SPIRIT,2010,1-7-10-2010,7015,SPIRIT
BEL,,CD&V,2010,1-7-11-2010,604,CD&V
BEL,,NVA,2010,1-7-12-2010,36,N-VA
BEL,,SPA,2010,1-7-13-2010,1680,SPA
BEL,,VLD,2010,1-7-15-2010,49,PVV-OVLD
BEL,,Vlaams Belang,2010,1-7-16-2010,1968,VB
BEL,,GROEN,2010,1-7-17-2010,528,AGL-Gr
BEL,,Lijst Dedecker,2010,1-7-18-2010,43,LD/LDD
BEL,,PP,2010,1-7-19-2010,639,Pp
NLD,,CDA,2006,1-8-1-2006,1157,CDA
NLD,,PvdA,2006,1-8-2-2006,1234,PvdA
NLD,,SP,2006,1-8-3-2006,1363,SP
NLD,,VVD,2006,1-8-4-2006,828,VVD
NLD,,Groep Wilders PVV,2006,1-8-5-2006,298,PVV
NLD,,Groen Links,2006,1-8-6-2006,1537,GL
NLD,,Christen Unie,2006,1-8-7-2006,1459,CU
NLD,,D66,2006,1-8-8-2006,45,D66
NLD,,SGP,2006,1-8-9-2006,1178,SGP
NLD,,Pvd Dieren,2006,1-8-10-2006,1467,PvdD
CAN,,Liberal,2008,1-9-1-2008,1739,LP
CAN,,NDP,2008,1-9-2-2008,152,NDP
PRT,BE,Bloco de Esquerda,2009,1-10-1-2009,1310,BE
PRT,CDS,Centro Democrático e Social,2009,1-10-2-2009,1308,CDS/PP
PRT,,CDU,2009,1-10-3-2009,284,CDU
PRT,PSD,Partido Social Democrata,2009,1-10-4-2009,1359,PPD/PSD
PRT,PS,Partido Socialista,2009,1-10-5-2009,655,PS
PRT,BE,Bloco de Esquerda,2011,1-10-1-2011,1310,BE
PRT,CDS,Centro Democrático e Social,2011,1-10-2-2011,1308,CDS/PP
PRT,PEV,Partido Ecologista,2011,1-10-3-2011,886,PEV
PRT,PCP,Partido Comunista Português,2011,1-10-4-2011,310,PCP
PRT,PSD,Partido Social Democrata,2011,1-10-5-2011,1359,PPD/PSD
PRT,,PS,2011,1-10-6-2011,655,PS
EST,,Estonian Independence Party,2011,1-11-1-2011,2679,1-perc
EST,,Estonian Center Party,2011,1-11-2-2011,533,EK
EST,,Estonian Reform Party,2011,1-11-3-2011,821,ERe
EST,,People,2011,1-11-4-2011,110,ERa
EST,,Estonian Christian Democrats,2011,1-11-5-2011,790,EKD
EST,,Estonian Greens,2011,1-11-6-2011,1040,EER
EST,,Union of Pro Patria and Res Publica,2011,1-11-7-2011,685,IRL
EST,,Social Democratic Party,2011,1-11-8-2011,1150,SDE-M
EST,,Russian Party in Estonia,2011,1-11-9-2011,1975,VEE
EST,,Independent,2011,1-11-10-2011,2567,indep
ISL,,Social Democratic Alliance,2009,1-12-1-2009,1396,Sam
ISL,,Progressive Party,2009,1-12-2-2009,964,F
ISL,Conservative,Independence Party,2009,1-12-3-2009,363,Sj
ISL,,Left Green Movement,2009,1-12-4-2009,457,Graen
ISL,,Liberal Party,2009,1-12-5-2009,1224,Ff
ISL,,Civic Movement,2009,1-12-6-2009,224,B
HUN,,Fidesz,2010,1-13-1-2010,1691,Fidesz
HUN,,KDNP,2010,1-13-2-2010,1412,KDNP
HUN,,MSZP,2010,1-13-3-2010,1408,MSZP
HUN,,Jobbik,2010,1-13-4-2010,42,Jobbik
HUN,,LMP,2010,1-13-5-2010,1650,LMP
HUN,,Other Party,2010,1-13-20-2010,1843,etc
AUT,,SPOE,2008,1-14-1-2008,1384,SPO
AUT,,OEVP,2008,1-14-2-2008,1329,OVP
AUT,,Gruene,2008,1-14-3-2008,1659,GRUENE
AUT,,FPOE,2008,1-14-4-2008,463,FPO
AUT,,BZOE,2008,1-14-5-2008,599,BZO
AUT,,FRITZ,2008,1-14-6-2008,439,Fritz
AUT,,DC,2008,1-14-7-2008,2591,1-perc
AUT,,KPOE,2008,1-14-8-2008,996,KPO
AUT,,LIF,2008,1-14-9-2008,605,LIF
AUT,,RETTOE,2008,1-14-10-2008,2591,1-perc
AUT,,LINKE,2008,1-14-11-2008,2591,1-perc
AUT,,STARK,2008,1-14-12-2008,2591,1-perc
AUT,,TRP,2008,1-14-13-2008,2591,1-perc
AUT,,KHK,2008,1-14-14-2008,2591,1-perc
SWE,,TheCenter Party,2010,1-15-1-2010,199,B/C
SWE,,The Feminist Party,2010,1-15-2-2010,1240,Fi
SWE,,The Liberal Party,2010,1-15-3-2010,1274,Fpl / L
SWE,,The Christian Democrats,2010,1-15-4-2010,651,KD
SWE,,The Green Party,2010,1-15-5-2010,456,MP
SWE,,The Conservatives,2010,1-15-6-2010,690,AV / H / HP / M
SWE,,The Social Democrats,2010,1-15-7-2010,487,S
SWE,,The Sweden Democrats,2010,1-15-8-2010,409,SD
SWE,,The Left Party,2010,1-15-9-2010,830,V
DNK,,Red/Green Alliance,2011,1-16-1-2011,1527,Enh
DNK,,Socialist People,2011,1-16-2-2011,329,SF
DNK,,Social Democrats,2011,1-16-3-2011,379,SD
DNK,,Social Liberals,2011,1-16-4-2011,1507,RV
DNK,,Christian Democrats,2011,1-16-5-2011,53,KrF/KD
DNK,,Liberal Alliance,2011,1-16-6-2011,212,LA
DNK,,Liberals,2011,1-16-7-2011,1914,MV
DNK,,Conservative People,2011,1-16-8-2011,536,KF
DNK,,Danish People,2011,1-16-9-2011,1022,DF
DNK,,Liberal Center,2011,1-16-10-2011,2659,unknown
DNK,,Left Socialists,2011,1-16-11-2011,1136,VS
DNK,,Denmark,2011,1-16-12-2011,2659,unknown
DNK,,Progress Party,2011,1-16-13-2011,1601,FrP
DNK,,Peace Party,2011,1-16-14-2011,2659,unknown
DNK,,Center Democrats,2011,1-16-15-2011,800,CD
DNK,,Justice Party,2011,1-16-16-2011,1134,RF
ROU,,PSD,2012,1-17-1-2012,120,PSD
ROU,,PNL,2012,1-17-2-2012,481,PNL
ROU,,PC,2012,1-17-3-2012,1443,PC/PUR
ROU,,UNPR,2012,1-17-4-2012,1541,UNPR
ROU,,USL,2012,1-17-5-2012,5941,USL
ROU,,PDL,2012,1-17-6-2012,660,PD-L
ROU,,PN?CD,2012,1-17-7-2012,296,PNG-CD
ROU,,FC,2012,1-17-8-2012,2473,FC
ROU,,ARD,2012,1-17-9-2012,5940,ARD
ROU,,UDMR,2012,1-17-10-2012,1105,UDMR/RMDS
ROU,,PPDD,2012,1-17-11-2012,2474,PP-DD
CZE,,CSSD,2006,1-18-1-2006,177,CSSD
CZE,,KDU,2006,1-18-2-2006,676,KDU/CSL
CZE,,KSCM,2006,1-18-3-2006,1728,KSCM
CZE,,ODS,2006,1-18-4-2006,466,ODS
CZE,,SZ,2006,1-18-5-2006,1554,SZ
NOR,,SV,2009,1-19-1-2009,719,SV
NOR,,Ap,2009,1-19-2-2009,448,DNA
NOR,,Sp,2009,1-19-3-2009,1072,Sp/Bp
NOR,,KrF,2009,1-19-4-2009,705,KrF
NOR,,V,2009,1-19-5-2009,1173,V
NOR,,Høyre,2009,1-19-6-2009,503,H
NOR,,FrP,2009,1-19-7-2009,101,FrP
NZL,,Labour,2011,1-20-1-2011,1049,LP
NZL,,National,2011,1-20-2-2011,1824,NP
NZL,,Green,2011,1-20-3-2011,1099,Greens
NZL,,NZ First,2011,1-20-4-2011,591,NZFP
NZL,,Maori Party,2011,1-20-5-2011,1716,MP
NZL,,Act,2011,1-20-6-2011,752,ACT
NZL,,United Future,2011,1-20-7-2011,940,UFNZ
NZL,,Mana Party,2011,1-20-8-2011,1427,Mana
NZL,,Other,2011,1-20-20-2011,1851,etc
ITA,,CENTRO DEMOCRATICO,2013,1-21-1-2013,2278,CD
ITA,,FRATELLI D'ITALIA,2013,1-21-2-2013,2280,FdI
ITA,,IL POPOLO DELLA LIBERTA,2013,1-21-3-2013,365,IPdL
ITA,,LEGA NORD,2013,1-21-4-2013,1221,LN
ITA,,MOVIMENTO 5 STELLE BEPPEGRILLO,2013,1-21-5-2013,2046,M5S
ITA,,PARTITO DEMOCRATICO,2013,1-21-6-2013,802,PD
ITA,,RIVOLUZIONE CIVILE,2013,1-21-7-2013,2277,RC
ITA,,SCELTA CIVICA CON MONTI PER L'ITALIA,2013,1-21-8-2013,2281,SC
ITA,,SINISTRA ECOLOGIA LIBERTA,2013,1-21-9-2013,7031,SEL
ITA,,SVP,2013,1-21-10-2013,1369,SVP
ITA,,UNIONE DI CENTRO,2013,1-21-11-2013,201,UdC
MLT,,Partit Nazzjonalista,2013,1-22-1-2013,699,PN
MLT,,Partit Laburista,2013,1-22-2-2013,808,MLP
MLT,,Alternattiva Demokratika,2013,1-22-3-2013,62,AD
MLT,,Other,2013,1-22-20-2013,1849,etc
GBR,,Labour Party,2010,1-23-1-2010,1516,Lab
GBR,,Conservative Party,2010,1-23-2-2010,1567,Con
GBR,,Liberal Democrats,2010,1-23-3-2010,1388,LD
GBR,UKIP,UK Independence Party,2010,1-23-4-2010,601,UKIP
GBR,GPEW,Green Party of England and Wales,2010,1-23-5-2010,1794,GP
GBR,SNP,Scottish National Party,2010,1-23-6-2010,986,SNP
GBR,,Plaid Cymru the Party of Wales,2010,1-23-7-2010,1002,Plaid
GBR,BNP,British National Party,2010,1-23-8-2010,855,BNP
GBR,,English Democrats,2010,1-23-9-2010,1675,ED
GBR,TUSC,Trade Unionist and Socialist Coalition,2010,1-23-10-2010,2966,1-perc
GBR,SGP,Scottish Green Party,2010,1-23-11-2010,6687,SGP
GBR,,Other party,2010,1-23-20-2010,1841,etc
LUX,PCL,Parti Communiste Luxembourgeois,2009,1-24-1-2009,1647,KPL
LUX,,La Gauche,2009,1-24-2-2009,271,DL
LUX,,Les Verts,2009,1-24-3-2009,1138,Greng/GAP
LUX,POSL,Parti Ouvrier Socialiste Luxembourgeois,2009,1-24-4-2009,186,LSAP
LUX,PD,Parti Démocratique,2009,1-24-5-2009,300,DP
LUX,PCS,Parti Chrétien Social,2009,1-24-6-2009,539,CSV
LUX,ADR,Parti Démocrate Réformateur,2009,1-24-7-2009,1114,AR/ADR
LUX,BL,Bierger Lëscht,2009,1-24-8-2009,1213,Bl
DEU,CDU,Christian Democratic Union,2013,2-1-2-2013,1375,CDU
DEU,CSU,Christian Social Union,2013,2-1-3-2013,1731,CSU
DEU,SPD,Social Democratic Party,2013,2-1-4-2013,383,SPD
DEU,Die Linke,Left Party,2013,2-1-5-2013,1545,Linke
DEU,Alliance90/The Greens,Buendnis90 / Die Gruenen,2013,2-1-6-2013,1816,B90/Gr
DEU,FDP,Free Democratic Party,2013,2-1-7-2013,573,FDP
DEU,AfD,Alternative for Germany,2013,2-1-8-2013,1976,AfD
DEU,Pirates,Pirate Party of Germany,2013,2-1-9-2013,1287,Pirat
CHE,,FDP / PRD,2015,2-2-1-2015,360,FDP
CHE,,CVP / PDC,2015,2-2-2-2015,1808,KK/CVP
CHE,,SP / PS,2015,2-2-3-2015,29,SP
CHE,,SVP / UDC,2015,2-2-4-2015,308,SVP
CHE,,LPS / PLS,2015,2-2-5-2015,444,LPS
CHE,,LdU / Alliance des Indépendants,2015,2-2-6-2015,2939,1-perc
CHE,,EVP / PEP,2015,2-2-7-2015,1123,EVP
CHE,,CSP / PCS,2015,2-2-8-2015,1122,CsP
CHE,,PdA / PdT,2015,2-2-9-2015,669,PdA
CHE,,GPS / PES,2015,2-2-13-2015,1006,Grue
CHE,,SD / DS,2015,2-2-15-2015,1819,NA-SD
CHE,,EDU / UDF,2015,2-2-16-2015,631,EDU
CHE,,FPS / PSL,2015,2-2-17-2015,2939,1-perc
CHE,,Lega,2015,2-2-18-2015,1661,LdT
CHE,,SolidaritéS,2015,2-2-27-2015,2939,1-perc
CHE,,GLP / Vert,2015,2-2-31-2015,1759,GPL
CHE,,BDP / PBD,2015,2-2-32-2015,1415,BDP
CHE,,Mouvement Citoyen Romand,2015,2-2-33-2015,2939,1-perc
CAN,,Conservative Party,2015,2-3-1-2015,1004,CPC
CAN,,Liberal Party,2015,2-3-2-2015,1739,LP
CAN,,New Democratic Party,2015,2-3-3-2015,152,NDP
CAN,,Green Party,2015,2-3-4-2015,931,GPC
CAN,,Bloc Québécois,2015,2-3-5-2015,1428,BQ
GRC,,SYRIZA,2015,2-4-1-2015,301,SYRIZA
GRC,,ND,2015,2-4-2-2015,794,ND
GRC,,GOLDEN DAWN,2015,2-4-3-2015,1660,LS/CA
GRC,,RIVER,2015,2-4-4-2015,3118,TP
GRC,,KKE,2015,2-4-5-2015,48,KKE
GRC,,ANEL,2015,2-4-6-2015,1651,ANEL
GRC,,PASOK,2015,2-4-7-2015,1468,PASOK
GRC,,Other,2015,2-4-8-2015,1842,etc
AUS,,ALP,2013,2-5-1-2013,424,ALP
AUS,,Liberal,2013,2-5-2-2013,486,LPA
AUS,,National,2013,2-5-3-2013,1743,ACP-NPA
AUS,,Greens,2013,2-5-4-2013,1209,AG
SWE,,The Center Party,2014,2-6-1-2014,199,B/C
SWE,,The Feminist Initiative,2014,2-6-2-2014,1240,Fi
SWE,,The Liberal Party,2014,2-6-3-2014,1274,Fpl / L
SWE,,The Christian Democrats,2014,2-6-4-2014,651,KD
SWE,,The Green Party,2014,2-6-5-2014,456,MP
SWE,,The Conservatives,2014,2-6-6-2014,690,AV / H / HP / M
SWE,,The Social Democrats,2014,2-6-7-2014,487,S
SWE,,The Sweden Democrats,2014,2-6-8-2014,409,SD
SWE,,The Left Party,2014,2-6-9-2014,830,V
NOR,,Rødt,2013,2-7-1-2013,3698,DT
NOR,,SV,2013,2-7-2-2013,719,SV
NOR,,AP,2013,2-7-3-2013,448,DNA
NOR,,SP,2013,2-7-4-2013,1072,Sp/Bp
NOR,,KrF,2013,2-7-5-2013,705,KrF
NOR,,V,2013,2-7-6-2013,1173,V
NOR,,Høyre,2013,2-7-7-2013,503,H
NOR,,FrP,2013,2-7-8-2013,101,FrP
NOR,,MDG,2013,2-7-9-2013,3698,DT
HUN,,Fidesz,2014,2-8-1-2014,1691,Fidesz
HUN,,KDNP,2014,2-8-2-2014,1412,KDNP
HUN,,MSZP,2014,2-8-3-2014,1408,MSZP
HUN,,Jobbik,2014,2-8-4-2014,42,Jobbik
HUN,,LMP,2014,2-8-5-2014,1650,LMP
HUN,,Együtt,2014,2-8-6-2014,2458,Egyutt
HUN,,Demokratikus koalíció,2014,2-8-7-2014,469,DK
HUN,,Párbeszéd Magyarországért,2014,2-8-8-2014,3115,PM
MNE,DPS,Demokratska partija socijalista,2012,2-9-1-2012,3162,DPS
MNE,SDP,Socijaldemokratska partija,2012,2-9-2-2012,3185,SDPCG
MNE,SNP,Socijalistièka narodna partija,2012,2-9-3-2012,3104,SNP-CG
MNE,,NOVA srpska demokratija,2012,2-9-4-2012,3252,NOVA
MNE,PzP,Pokret za promjene,2012,2-9-5-2012,4766,PzP
MNE,,Pozitivna Crna Gora,2012,2-9-6-2012,4767,PCG
MNE,,Liberalna partija,2012,2-9-7-2012,4768,LPCG
MNE,,Bošnjaèka stranka,2012,2-9-8-2012,3255,BS
MNE,HGI,Hrvatska graðanska inicijativa,2012,2-9-9-2012,3253,HGI
MNE,DUA,Demokratska unija Albanaca,2012,2-9-10-2012,3250,DUA
MNE,,FORCA,2012,2-9-11-2012,3251,FORCA
MNE,,Graðanski pokret PERSPEKTIVA,2012,2-9-13-2012,2822,unknown
MNE,,Demokratski savez,2012,2-9-16-2012,5467,DEMOS
MNE,,Demokratska partija,2012,2-9-17-2012,2822,unknown
MNE,,Stranka srpskih radikala,2012,2-9-19-2012,3161,SSR
MNE,,Demokratska srpska stranka,2012,2-9-22-2012,5487,DSS
MNE,AA,Albanska alternativa,2016,2-10-1-2016,5661,AA
MNE,,Bošnjacka demokratska zajednica,2016,2-10-3-2016,2823,1-perc
MNE,BS,Bošnjacka stranka,2016,2-10-4-2016,3255,BS
MNE,DEMOS,Demokratski savez,2016,2-10-5-2016,5467,DEMOS
MNE,DNP,Demokratska narodna partija,2016,2-10-7-2016,6624,DNP
MNE,DPS,Demokratska partija socijalista,2016,2-10-9-2016,3162,DPS
MNE,,Demokratski savez Albanaca,2016,2-10-10-2016,2822,unknown
MNE,,DUA,2016,2-10-11-2016,3250,DUA
MNE,,FORCA,2016,2-10-12-2016,3251,FORCA
MNE,HGI,Hrvatska gradanska inicijativa,2016,2-10-13-2016,3253,HGI
MNE,LP,Liberalna partija,2016,2-10-14-2016,4768,LPCG
MNE,NOVA,Nova srpska demokratija,2016,2-10-15-2016,3252,NOVA
MNE,PzP,Pokret za promjene,2016,2-10-16-2016,4766,PzP
MNE,,Pozitivna Crna Gora,2016,2-10-17-2016,4767,PCG
MNE,SD,Socijaldemokrate,2016,2-10-19-2016,5470,SDCG
MNE,SDP,Socijaldemokratska partija,2016,2-10-20-2016,3185,SDPCG
MNE,SNP,Socijalisticka narodna partija,2016,2-10-21-2016,3104,SNP-CG
MNE,URA,Ujedinjena reformska akcija,2016,2-10-23-2016,5468,URA
MNE,,Druga manjinska politicka partija,2016,2-10-24-2016,2819,etc
ALB,PS,PARTIA SOCIALISTE,2013,2-11-1-2013,1729,PSS
ALB,PD,PARTIA DEMOKRATIKE,2013,2-11-2-2013,190,PDS
ALB,LSI,LEVIZJA SOCIALISTE PER INTEGRIM,2013,2-11-3-2013,2297,LSI
ALB,PDIU,PARTIA PER DREJTESI,2013,2-11-4-2013,3270,PDIU
ALB,PR,PARTIA REPUBLIKANE,2013,2-11-5-2013,819,PRS
ALB,PBDNJ,PARTIA BASHKIMI PER TE DREJTAT E NJERIUT,2013,2-11-6-2013,1636,PBDN
ALB,PKD,PARTIA KRISTIAN DEMOKRATE,2013,2-11-7-2013,4715,PKDSH
ALB,PDK,Partia Demokristiane e Shqipërisë,2013,2-11-8-2013,7013,PDK
ALB,PAA,Partia Agrare,2013,2-11-9-2013,840,PA
ALB,PPSH,Partia e Punës së Shqipërisë,2013,2-11-10-2013,4711,PPSH
ALB,PAD,Partia Aleanca Demokratike,2013,2-11-11-2013,594,PAD
ALB,PSD,Partia Social Demokrate,2013,2-11-12-2013,838,PSD
ALB,PLL,Partia Lëvizja e Legalitetit,2013,2-11-13-2013,732,PLL
ISL,,Social Democratic Alliance,2013,2-12-1-2013,1396,Sam
ISL,,Progressive Party,2013,2-12-2-2013,964,F
ISL,,Independence Party,2013,2-12-3-2013,363,Sj
ISL,,Left,2013,2-12-4-2013,457,Graen
ISL,,Bright Future,2013,2-12-5-2013,2517,BF
ISL,,Pirate Party,2013,2-12-6-2013,2048,Pi
ISL,founded 1998,Liberal Party,2013,2-12-7-2013,1224,Ff
ISL,,Union of Liberals and Leftists,2013,2-12-10-2013,1517,Sfvm
ISL,,Womens,2013,2-12-11-2013,2723,unknown
ISL,,Peoples,2013,2-12-14-2013,2723,unknown
ISL,,O,2013,2-12-15-2013,2723,unknown
ISL,,Democratic Movement,2013,2-12-16-2013,2723,unknown
ISL,,Icelandic Movement,2013,2-12-17-2013,125,IL
ISL,,Humanist Party,2013,2-12-18-2013,1070,Fm
ISL,,Green List,2013,2-12-19-2013,2723,unknown
ISL,,Movement,2013,2-12-20-2013,2723,unknown
ISL,,Peoples,2013,2-12-21-2013,2723,unknown
ISL,,Social Democratic Party,2013,2-12-22-2013,2723,unknown
