"ctr_n","ctr","pty_n","pty","yr_first","yr_last","pv1_share_max","pv1_share_max_yr","n_election","ctr_pty","abbr","name","name_english","name_other","comment","country"
"Belgium",56,"front national",8,1995,1995,2.3,1995,1,56000008,"","Front national","National Front","","","BEL"
"Belgium",56,"frontpartij",9,1919,1932,5.9,1929,5,56000009,"","Frontpartij","Front Party","","","BEL"
"Belgium",56,"parti communiste de belgique-kommunistische partij van belgi",10,1925,1978,12.7,1946,17,56000010,"","Parti communiste de Belgique-Kommunistische partij van België","Communist Party of Belgium","","","BEL"
"Belgium",56,"parti de la liberté et des réformes de wallonie",11,1977,1978,7.8,1977,2,56000011,"","Parti de la liberté et des réformes de Wallonie","Party of Reforms and Freedom for Wallonia","","","BEL"
"Belgium",56,"parti de la liberté et du progrès",12,1974,1974,6,1974,1,56000012,"","Parti de la liberté et du progrès","Party of Liberty and Progress","","","BEL"
"Belgium",56,"parti de la liberté et du progrès-partij voor vrijheid en vo",13,1961,1971,21.6,1965,4,56000013,"","Parti de la liberté et du progrès-Partij voor vrijheid en vooruitgang","Party of Liberty and Progress","","","BEL"
"Belgium",56,"parti libéral-liberale partij",14,1847,1958,65.4,1868,49,56000014,"","Parti libéral-Liberale partij","Liberal Party","","","BEL"
"Belgium",56,"parti ouvrier belge-belgische werkliedenpartij",15,1894,1939,39.4,1925,18,56000015,"","Parti ouvrier belge-Belgische werkliedenpartij","Belgian Workers’ Party","","","BEL"
"Belgium",56,"parti réformateur libéral",16,1981,1991,11.3,1985,4,56000016,"","Parti réformateur libéral","Liberal Reform Party (Walloon)","","","BEL"
"Belgium",56,"parti social-chrétien",17,1968,1995,12.6,1978,10,56000017,"","Parti social-chrétien","Social-Christian Party (Walloon)","","","BEL"
"Belgium",56,"parti social-chrétien-christelijke volkspartij",18,1946,1965,47.7,1950,7,56000018,"","Parti social-chrétien-Christelijke volkspartij","Social-Christian Party and Christian People’s Party","","","BEL"
"Belgium",56,"parti socialiste",19,1978,1995,16.8,1987,6,56000019,"","Parti socialiste","Socialist Party (Walloon)","","","BEL"
"Belgium",56,"parti socialiste belge-belgische socialistische partij",20,1946,1977,37.3,1954,11,56000020,"","Parti socialiste belge-Belgische socialistische partij","Belgian Socialist Party","","","BEL"
"Belgium",56,"partij voor vrijheid en vooruitgang",21,1974,1991,12,1991,7,56000021,"","Partij voor vrijheid en vooruitgang","Party of Liberty and Progress (Flemish)","","","BEL"
"Belgium",56,"partisans de daens (parti démocrate-chrétien)-daensisten (ch",23,1894,1914,3,1900,11,56000023,"","Partisans de Daens (Parti démocrate-chrétien)-Daensisten (Christene volkspartij)","Daensist Partisans (Christian Democrat Party)","","","BEL"
"Belgium",56,"radicale omvormers en sociale strijders voor een eerlijke ma",24,1991,1991,3.2,1991,1,56000024,"","Radicale omvormers en sociale strijders voor een eerlijke maatschappij","Radical Change and Social Fighters for an Honest Society","","","BEL"
"Belgium",56,"rex",25,1936,1939,11.5,1936,2,56000025,"","Rex","Rexists","","","BEL"
"Belgium",56,"socialistische partij",26,1978,1995,13.7,1987,6,56000026,"","Socialistische partij","Socialist Party (Flemish)","","","BEL"
"Belgium",56,"union catholique belge",27,1847,1936,56,1902,43,56000027,"","Union catholique belge","Belgian Catholic Union","","","BEL"
"Belgium",56,"union démocratique pour le respect du travail-respect voor a",28,1981,1987,5.5,1981,3,56000028,"","Union démocratique pour le respect du travail-Respect voor arbeid en demokratie","Democratic Union for the Respect of Labour","","","BEL"
"Belgium",56,"vlaamse blok",29,1991,1995,7.8,1995,2,56000029,"","Vlaamse blok","Flemish Bloc","","","BEL"
"Belgium",56,"vlaamse liberalen en democraten-partij van de burger",30,1995,1995,13.1,1995,1,56000030,"","Vlaamse liberalen en democraten-Partij van de Burger","Flemish Liberals and Democrats-Citizen Party (Flemish)","","","BEL"
"Belgium",56,"vlamsch concentratie",31,1949,1949,2.1,1949,1,56000031,"","Vlamsch concentratie","Flemish Concentration","","","BEL"
"Belgium",56,"vlamsch nationaal verbond",32,1936,1939,7.9,1939,2,56000032,"","Vlamsch nationaal verbond","Flemish National League","","","BEL"
"Belgium",56,"volksunie",33,1958,1991,11.1,1971,12,56000033,"","Volksunie","People’s Union","","","BEL"
"Belgium",56,"volksunie-vrij demokraten",34,1995,1995,4.7,1995,1,56000034,"","Volksunie-Vrij Demokraten","People’s Union–Free Democrats","","","BEL"
"Bermuda",60,"national liberal party",2,1985,2003,5.5,1989,5,60000002,"NLP","National Liberal Party","","","","BMU"
"Bermuda",60,"progressive labour party",3,1963,2012,53.8,1998,12,60000003,"PLP","Progressive Labour Party","","","","BMU"
"Bermuda",60,"united bermuda party",4,1972,2007,66.1,1985,10,60000004,"UBP","United Bermuda Party","","","","BMU"
"Bermuda",60,"one bermuda alliance",5,2012,2012,51.7,2012,1,60000005,"OBA","One Bermuda Alliance","","","","BMU"
"Bhutan",64,"Druk Chirwang Tshogpa",1,2013,2013,5.9,2013,1,64000001,"","Druk Chirwang Tshogpa","","","","BTN"
"Bhutan",64,"Druk Nyamrup Tshogpa",2,2013,2013,17.1,2013,1,64000002,"","Druk Nyamrup Tshogpa","","","","BTN"
"Bhutan",64,"Druk Phuensum Tshogpa",3,2008,2013,67,2008,2,64000003,"","Druk Phuensum Tshogpa","Bhutan Peace and Prosperity Party","","","BTN"
"Bhutan",64,"People’s Democratic Party",4,2008,2013,33,2008,2,64000004,"","People’s Democratic Party","People’s Democratic Party","","","BTN"
"Bolivia",68,"acción democrática nacionalista",2,1979,2002,32.9,1985,4,68000002,"","Acción Democrática Nacionalista","Nationalist Democratic Action","","","BOL"
"Bolivia",68,"conciencia de patria",7,1989,1993,14.3,1993,2,68000007,"","Conciencia de Patria","Conscience of Fatherland","","","BOL"
"Bolivia",68,"conciencia de patria movimiento patriótico",8,1997,2002,15.6,1997,2,68000008,"","Conciencia de Patria Movimiento Patriótico","Conscience of Fatherland - Patriotic Movement","","","BOL"
"Bolivia",68,"frente de unidad nacional",12,2005,2005,9.5,2005,1,68000012,"","Frente de Unidad Nacional","National Unity Front","","","BOL"
"Bolivia",68,"frente del pueblo unido",13,1985,1985,2.5,1985,1,68000013,"","Frente del Pueblo Unido","United People's Front","","","BOL"
"Bolivia",68,"movimiento al socialismo",17,2002,2005,49.3,2005,2,68000017,"","Movimiento al Socialismo","Movement Toward Socialism","","","BOL"
"Bolivia",68,"movimiento bolivia libre",18,1993,1997,5.4,1993,2,68000018,"","Movimiento Bolivia Libre","Free Bolivia Movement","","","BOL"
"Bolivia",68,"movimiento de la izquierda revolucionaria",21,1985,1989,21.8,1989,2,68000021,"","Movimiento de la Izquierda Revolucionaria","Revolutionary Left Movement","","","BOL"
"Bolivia",68,"movimiento de la izquierda revolucionaria - nueva mayoría",22,1997,2002,17.5,2002,2,68000022,"","Movimiento de la Izquierda Revolucionaria - Nueva Mayoría","Revolutionary Left Movement - New Majority","","","BOL"
"Bolivia",68,"movimiento indígena pachakuti",24,2002,2005,5.7,2002,2,68000024,"","Movimiento Indígena Pachakuti","Indigenous Pachakuti Movement","","","BOL"
"Bolivia",68,"movimiento nacionalista revolucionario",26,1979,2005,35.9,1979,6,68000026,"","Movimiento Nacionalista Revolucionario","Revolutionary Nationalist Movement","","","BOL"
"Bolivia",68,"movimiento nacionalista revolucionario de izquierda",27,1985,1985,5.5,1985,1,68000027,"","Movimiento Nacionalista Revolucionario de Izquierda","Revolutionary Nationalist Movement of the Left","","","BOL"
"Bolivia",68,"movimiento nacionalista revolucionario vanguardia",29,1985,1985,4.8,1985,1,68000029,"","Movimiento Nacionalista Revolucionario Vanguardia","Revolutionary Nationalist Movement Vanguard","","","BOL"
"Bolivia",68,"movimiento revolucionario tupaj katari de liberación",31,1985,1989,2.1,1985,2,68000031,"","Movimiento Revolucionario Tupaj Katari de Liberación","Revolutionary Movement of Liberation Tupaj Katari","","","BOL"
"Bolivia",68,"nueva fuerza republicana",32,2002,2005,18.3,2002,2,68000032,"","Nueva Fuerza Republicana","New Republic Force","","","BOL"
"Bolivia",68,"partido libertad y justicia",35,2002,2002,2.6,2002,1,68000035,"","Partido Libertad y Justicia","Freedom and Justice Party","","","BOL"
"Bolivia",68,"partido socialista",37,1979,2002,8.7,1980,3,68000037,"","Partido Socialista","Socialist Party","","","BOL"
"Bolivia",68,"partido socialista uno",38,1985,1989,2.8,1989,2,68000038,"","Partido Socialista Uno","Socialist Party One","","","BOL"
"Bolivia",68,"poder democrático y social",39,2005,2005,28.4,2005,1,68000039,"","Poder Democrático y Social","Social and Democratic Power","","","BOL"
"Bolivia",68,"unidad cívica solidaridad",40,1993,1997,15.1,1997,2,68000040,"","Unidad Cívica Solidaridad","Civic Solidarity Union","","","BOL"
"Bolivia",68,"Alianza Social",45,2009,2009,3,2009,1,68000045,"","Alianza Social","","","","BOL"
"Bolivia",68,"Frente Democrático Revolucionario",48,1980,1980,3,1980,1,68000048,"","Frente Democrático Revolucionario","","","","BOL"
"Bolivia",68,"Movimiento Indio Túpaj Katari",49,1979,1980,2.5,1980,2,68000049,"","Movimiento Indio Túpaj Katari","","","","BOL"
"Bolivia",68,"Partido Revolucionario Auténtico",52,1980,1980,2.8,1980,1,68000052,"","Partido Revolucionario Auténtico","","","","BOL"
"Bolivia",68,"Unidad Democrática y Popular",56,1979,1980,38.7,1980,2,68000056,"","Unidad Democrática y Popular","","","","BOL"
"Bosnia and Herzegovina",70,"bosanskohercegovacka patriotska stranka-sefer halilovic",2,2006,2006,2.7,2006,1,70000002,"BPS BiH","BOSANSKOHERCEGOVACKA PATRIOTSKA STRANKA-SEFER HALILOVIC","Bosnia-Herzegovina Patriotic Party - Sefer Halilović","","","BIH"
