"ctr_n","ctr","pty_n","pty","yr_first","yr_last","pv1_share_max","pv1_share_max_yr","n_election","ctr_pty"
"Andorra",20,"Partit Liberal d'Andorra",11,2001,2005,42.1,2001,2,20000011
"Andorra",20,"Partit Socialdemòcratica",12,2001,2011,38.1,2005,4,20000012
"Andorra",20,"Renovació Democràtica",13,2005,2005,6.2,2005,1,20000013
"Andorra",20,"Unió Laurediana",14,2001,2011,4.4,2011,2,20000014
"Andorra",20,"Unió Liberal",15,1997,1997,43.3,1997,1,20000015
"Andorra",20,"Verds d'Andorra",19,2005,2011,3.5,2005,3,20000019
"Angola",24,"Convergência Ampla de Salvação de Angola-Coligação Eleitoral",5,2012,2012,6,2012,1,24000005
"Angola",24,"Movimento Popular de Libertação de Angola",9,2008,2012,81.6,2008,2,24000009
"Angola",24,"Partido de Renovação Social",16,2008,2012,3.2,2008,2,24000016
"Angola",24,"União Nacional para a Independência Total de Angola",18,2008,2012,18.7,2012,2,24000018
"Antigua and Barbuda",28,"antigua labour party",2,1951,2009,87.4,1951,13,28000002
"Antigua and Barbuda",28,"united progressive party",5,1994,2009,55.5,2004,4,28000005
"Antigua and Barbuda",28,"Antigua Caribbean Liberation Movement",6,1980,1989,2,1989,2,28000006
"Antigua and Barbuda",28,"Antigua Democratic Labour Party",7,1960,1960,2.6,1960,1,28000007
"Antigua and Barbuda",28,"Antigua National Party",8,1956,1956,12.5,1956,1,28000008
"Antigua and Barbuda",28,"Antigua People’s Party",9,1971,1971,3.5,1971,1,28000009
"Antigua and Barbuda",28,"Antigua and Barbuda Democratic Movement",10,1965,1965,20.2,1965,1,28000010
"Antigua and Barbuda",28,"Barbuda Democratic Movement",11,1960,1989,6,1960,2,28000011
"Antigua and Barbuda",28,"Progressive Labour Movement",17,1971,1984,57.7,1971,4,28000017
"Antigua and Barbuda",28,"United National Democratic Party",18,1989,1989,31,1989,1,28000018
"Antigua and Barbuda",28,"United People’s Movement",19,1984,1984,23,1984,1,28000019
"Azerbaijan",31,"Musavat Party",30,2010,2010,2,2010,1,31000030
"Azerbaijan",31,"New Azerbaijan Party",32,2010,2010,46.5,2010,1,31000032
"Argentina",32,"afirmación para una república igualitaria",7,2003,2009,3.7,2005,4,32000007
"Argentina",32,"movimiento por la dignidad y la independencia",78,1991,2009,5.8,1993,10,32000078
"Argentina",32,"partido humanista",168,1985,2009,2.5,2001,10,32000168
"Argentina",32,"partido intransigente",171,1983,2009,6.1,1985,11,32000171
"Argentina",32,"partido justicialista",175,1983,2009,38.5,1983,13,32000175
"Argentina",32,"partido socialista",211,1983,2009,5.7,2007,8,32000211
"Argentina",32,"partido unidad federalista",223,2001,2009,2.5,2001,4,32000223
"Argentina",32,"UNION CIVICA RADICAL (U.C.R.)",236,1983,2009,48,1983,13,32000236
"Argentina",32,"uni—n del centro democr‡tico",237,1983,2009,5.1,1991,13,32000237
"Argentina",32,"union provincial",242,1985,2009,13.3,2009,4,32000242
"Argentina",32,"ACUERDO CIVICO Y SOCIAL",298,2009,2009,9.5,2009,1,32000298
"Australia",36,"anti-socialist party",2,1906,1906,42.1,1906,1,36000002
"Australia",36,"australia party",3,1969,1983,2.4,1972,6,36000003
"Australia",36,"australian democrats",7,1977,1984,9.4,1977,4,36000007
"Australia",36,"australian labor party",8,1901,1984,50.9,1914,34,36000008
"Australia",36,"australian labor party (anti-communist)",9,1955,1955,5.1,1955,1,36000009
"Australia",36,"australian labor party (non-communist)",10,1940,1943,4.4,1940,2,36000010
"Australia",36,"australian labor party (nsw)",11,1931,1934,13.5,1934,2,36000011
"Australia",36,"commonwealth liberal party",20,1910,1914,49.5,1913,3,36000020
"Australia",36,"communist party of australia",21,1931,1984,2,1943,21,36000021
"Australia",36,"country - national party (qld)",25,1943,1943,4,1943,1,36000025
"Australia",36,"country party",27,1919,1974,16.7,1937,22,36000027
"Australia",36,"democratic labor party",31,1958,1984,7.8,1958,11,36000031
"Australia",36,"emergency committee of south australia",33,1931,1931,4.9,1931,1,36000033
"Australia",36,"free trade party",36,1901,1903,57.1,1901,2,36000036
"Australia",36,"liberal and country league",40,1934,1946,4.6,1934,2,36000040
"Australia",36,"liberal party",43,1922,1922,3.8,1922,1,36000043
"Australia",36,"liberal party of australia",45,1946,1984,41.6,1975,17,36000045
"Australia",36,"national country party of australia",52,1975,1980,11.4,1975,3,36000052
"Australia",36,"national party of australia",54,1983,1984,10.6,1984,2,36000054
"Australia",36,"nationalist party",58,1917,1929,54.2,1917,6,36000058
"Australia",36,"one parliament for australia",60,1943,1943,2.1,1943,1,36000060
"Australia",36,"protectionist party",69,1901,1906,34,1901,3,36000069
"Australia",36,"social credit",81,1931,1946,4.7,1934,5,36000081
"Australia",36,"state labor party (nsw)",89,1940,1943,2.3,1940,2,36000089
"Australia",36,"united australia party",93,1931,1943,38,1931,5,36000093
"Australia",36,"victorian farmers' union",97,1919,1919,4.2,1919,1,36000097
"Australia",36,"western australian party",99,1906,1906,2.3,1906,1,36000099
"Austria",40,"christlich-soziale partei",2,1919,1930,45,1923,4,40000002
"Austria",40,"demokratische fortschrittliche partei",3,1966,1966,3.3,1966,1,40000003
"Austria",40,"demokratische parteien",4,1919,1920,2.4,1919,2,40000004
"Austria",40,"deutsch-nationale parteien",5,1919,1923,18.4,1919,3,40000005
"Austria",40,"die freiheitlichen",6,1995,1995,21.9,1995,1,40000006
"Austria",40,"die grüne alternative",7,1986,1990,4.8,1986,2,40000007
"Austria",40,"die grŸnen Ð die grŸne alternative",8,1994,2008,11,2006,6,40000008
"Austria",40,"freiheitliche partei …sterreichs",9,1956,2008,26.9,1999,16,40000009
"Austria",40,"heimatblock",10,1930,1930,6.2,1930,1,40000010
"Austria",40,"kommunistische partei …sterreichs",11,1945,2008,5.4,1945,9,40000011
"Austria",40,"landbund für Österreich",12,1927,1927,6.3,1927,1,40000012
"Austria",40,"liberales forum",13,1994,2008,6,1994,5,40000013
"Austria",40,"nationaler wirtschaftsblock und landbund",14,1930,1930,11.6,1930,1,40000014
"Austria",40,"…sterreichische volkspartei",15,1945,2008,49.9,1945,20,40000015
"Austria",40,"sozialdemokratische arbeiterpartei",16,1919,1930,42.3,1927,5,40000016
"Austria",40,"sozialdemokratische partei …sterreichs",17,1995,2008,38.1,1995,5,40000017
"Austria",40,"sozialistische partei Österreichs",18,1945,1994,51,1979,15,40000018
"Austria",40,"verband der unabhängigen",19,1949,1953,11.7,1949,2,40000019
"Austria",40,"vereinte grüne Österreichs",20,1990,1990,2,1990,1,40000020
"Austria",40,"bŸndnis zukunft …sterreich",21,2006,2008,10.7,2008,2,40000021
"Austria",40,"liste dr. martin Ð fŸr demokratie, kontrolle, gerechtigkeit",32,2006,2006,2.8,2006,1,40000032
"Bahamas",44,"coalition & labour",3,2002,2002,2.2,2002,1,44000003
"Bahamas",44,"free national movement",4,1997,2012,57.6,1997,4,44000004
"Bahamas",44,"progressive liberal party",6,1997,2012,51.8,2002,4,44000006
"Bahamas",44,"Democratic National Alliance",8,2012,2012,8.6,2012,1,44000008
"Bangladesh",50,"bangladesh awami league",3,1973,2008,73,1973,4,50000003
"Bangladesh",50,"bangladesh jamaytee islami",10,2001,2008,4.7,2008,2,50000010
"Bangladesh",50,"bangladesh national awami party - bangladesh nap",26,1973,2008,5.3,1973,3,50000026
"Bangladesh",50,"bangladesh nationalist party",28,1991,2008,41.4,2001,3,50000028
"Bangladesh",50,"jatiya party",56,1991,2008,11.9,1991,3,50000056
"Bangladesh",50,"jatiya samajtantric dal - jasad",61,1973,2008,6.7,1973,3,50000061
"Bangladesh",50,"national awami party (muzaffar group)",69,1973,1991,8.5,1973,2,50000069
"Bangladesh",50,"Jamaat-E-Islami",102,1991,1991,12.3,1991,1,50000102
"Armenia",51,"Armenian Revolutionary Federation",1,2007,2012,2.4,2012,2,51000001
"Armenia",51,"Dashinq Party",8,2007,2007,2.9,2007,1,51000008
"Armenia",51,"Heritage Party",14,2012,2012,2.3,2012,1,51000014
"Armenia",51,"Pan-Armenian National Movement Party",23,2007,2012,3.8,2012,2,51000023
"Armenia",51,"Prosperous Armenia Party",27,2007,2012,17.1,2007,2,51000027
"Armenia",51,"Republic Party",28,2012,2012,4.2,2012,1,51000028
"Armenia",51,"Republican Party of Armenia First Candidate",30,2007,2012,35.6,2012,2,51000030
"Armenia",51,"Rule of Law Party",32,2007,2012,7.4,2007,2,51000032
"Barbados",52,"barbados labour party",1,1966,2013,64.9,1999,11,52000001
"Barbados",52,"barbados national party",2,1966,1966,10.1,1966,1,52000002
"Barbados",52,"democractic labour party",3,1966,2013,59.4,1986,11,52000003
"Barbados",52,"national democratic party",4,1994,1994,12.8,1994,1,52000004
"Belgium",56,"agalev",1,1981,1995,4.9,1991,5,56000001
"Belgium",56,"bloc catholique belge",2,1939,1939,32.7,1939,1,56000002
"Belgium",56,"cartel van den boeynants",3,1968,1968,4.6,1968,1,56000003
"Belgium",56,"christelijke vlaamse volksunie",4,1954,1954,2.2,1954,1,56000004
"Belgium",56,"christelijke volkspartij",5,1968,1995,23.6,1977,10,56000005
"Belgium",56,"ecolo",6,1981,1995,5.1,1991,5,56000006
"Belgium",56,"front national",8,1995,1995,2.3,1995,1,56000008
"Belgium",56,"frontpartij",9,1919,1932,5.9,1929,5,56000009
"Belgium",56,"parti communiste de belgique-kommunistische partij van belgi",10,1925,1978,12.7,1946,17,56000010
"Belgium",56,"parti de la liberté et des réformes de wallonie",11,1977,1978,7.8,1977,2,56000011
"Belgium",56,"parti de la liberté et du progrès",12,1974,1974,6,1974,1,56000012
"Belgium",56,"parti de la liberté et du progrès-partij voor vrijheid en vo",13,1961,1971,21.6,1965,4,56000013
"Belgium",56,"parti libéral-liberale partij",14,1847,1958,65.4,1868,49,56000014
"Belgium",56,"parti ouvrier belge-belgische werkliedenpartij",15,1894,1939,39.4,1925,18,56000015
"Belgium",56,"parti réformateur libéral",16,1981,1991,11.3,1985,4,56000016
"Belgium",56,"parti social-chrétien",17,1968,1995,12.6,1978,10,56000017
"Belgium",56,"parti social-chrétien-christelijke volkspartij",18,1946,1965,47.7,1950,7,56000018
"Belgium",56,"parti socialiste",19,1978,1995,16.8,1987,6,56000019
"Belgium",56,"parti socialiste belge-belgische socialistische partij",20,1946,1977,37.3,1954,11,56000020
"Belgium",56,"partij voor vrijheid en vooruitgang",21,1974,1991,12,1991,7,56000021
"Belgium",56,"partisans de daens (parti démocrate-chrétien)-daensisten (ch",23,1894,1914,3,1900,11,56000023
"Belgium",56,"radicale omvormers en sociale strijders voor een eerlijke ma",24,1991,1991,3.2,1991,1,56000024
"Belgium",56,"rex",25,1936,1939,11.5,1936,2,56000025
"Belgium",56,"socialistische partij",26,1978,1995,13.7,1987,6,56000026
"Belgium",56,"union catholique belge",27,1847,1936,56,1902,43,56000027
"Belgium",56,"union démocratique pour le respect du travail-respect voor a",28,1981,1987,5.5,1981,3,56000028
"Belgium",56,"vlaamse blok",29,1991,1995,7.8,1995,2,56000029
"Belgium",56,"vlaamse liberalen en democraten-partij van de burger",30,1995,1995,13.1,1995,1,56000030
"Belgium",56,"vlamsch concentratie",31,1949,1949,2.1,1949,1,56000031
"Belgium",56,"vlamsch nationaal verbond",32,1936,1939,7.9,1939,2,56000032
"Belgium",56,"volksunie",33,1958,1991,11.1,1971,12,56000033
"Belgium",56,"volksunie-vrij demokraten",34,1995,1995,4.7,1995,1,56000034
"Bermuda",60,"national liberal party",2,1985,2003,5.5,1989,5,60000002
"Bermuda",60,"progressive labour party",3,1963,2012,53.8,1998,12,60000003
"Bermuda",60,"united bermuda party",4,1972,2007,66.1,1985,10,60000004
"Bermuda",60,"one bermuda alliance",5,2012,2012,51.7,2012,1,60000005
"Bhutan",64,"Druk Chirwang Tshogpa",1,2013,2013,5.9,2013,1,64000001
"Bhutan",64,"Druk Nyamrup Tshogpa",2,2013,2013,17.1,2013,1,64000002
"Bhutan",64,"Druk Phuensum Tshogpa",3,2008,2013,67,2008,2,64000003
"Bhutan",64,"People’s Democratic Party",4,2008,2013,33,2008,2,64000004
"Bolivia",68,"acción democrática nacionalista",2,1979,2002,32.9,1985,4,68000002
"Bolivia",68,"conciencia de patria",7,1989,1993,14.3,1993,2,68000007
"Bolivia",68,"conciencia de patria movimiento patriótico",8,1997,2002,15.6,1997,2,68000008
"Bolivia",68,"frente de unidad nacional",12,2005,2005,9.5,2005,1,68000012
"Bolivia",68,"frente del pueblo unido",13,1985,1985,2.5,1985,1,68000013
"Bolivia",68,"movimiento al socialismo",17,2002,2005,49.3,2005,2,68000017
"Bolivia",68,"movimiento bolivia libre",18,1993,1997,5.4,1993,2,68000018
"Bolivia",68,"movimiento de la izquierda revolucionaria",21,1985,1989,21.8,1989,2,68000021
"Bolivia",68,"movimiento de la izquierda revolucionaria - nueva mayoría",22,1997,2002,17.5,2002,2,68000022
"Bolivia",68,"movimiento indígena pachakuti",24,2002,2005,5.7,2002,2,68000024
"Bolivia",68,"movimiento nacionalista revolucionario",26,1979,2005,35.9,1979,6,68000026
"Bolivia",68,"movimiento nacionalista revolucionario de izquierda",27,1985,1985,5.5,1985,1,68000027
"Bolivia",68,"movimiento nacionalista revolucionario vanguardia",29,1985,1985,4.8,1985,1,68000029
"Bolivia",68,"movimiento revolucionario tupaj katari de liberación",31,1985,1989,2.1,1985,2,68000031
"Bolivia",68,"nueva fuerza republicana",32,2002,2005,18.3,2002,2,68000032
"Bolivia",68,"partido libertad y justicia",35,2002,2002,2.6,2002,1,68000035
"Bolivia",68,"partido socialista",37,1979,2002,8.7,1980,3,68000037
"Bolivia",68,"partido socialista uno",38,1985,1989,2.8,1989,2,68000038
"Bolivia",68,"poder democrático y social",39,2005,2005,28.4,2005,1,68000039
"Bolivia",68,"unidad cívica solidaridad",40,1993,1997,15.1,1997,2,68000040
"Bolivia",68,"Alianza Social",45,2009,2009,3,2009,1,68000045
"Bolivia",68,"Frente Democrático Revolucionario",48,1980,1980,3,1980,1,68000048
"Bolivia",68,"Movimiento Indio Túpaj Katari",49,1979,1980,2.5,1980,2,68000049
"Bolivia",68,"Partido Revolucionario Auténtico",52,1980,1980,2.8,1980,1,68000052
"Bolivia",68,"Unidad Democrática y Popular",56,1979,1980,38.7,1980,2,68000056
"Bosnia and Herzegovina",70,"bosanskohercegovacka patriotska stranka-sefer halilovic",2,2006,2006,2.7,2006,1,70000002
"Bosnia and Herzegovina",70,"narodna stranka radom za boljitak",13,2006,2006,2.3,2006,1,70000013
"Bosnia and Herzegovina",70,"partija demokratskog progresa republike srpske",15,2006,2006,2,2006,1,70000015
"Bosnia and Herzegovina",70,"savez nezavisnih socijaldemokrata - snsd - milorad dodik",18,2006,2006,19.1,2006,1,70000018
"Bosnia and Herzegovina",70,"socijaldemokratska partija bosne i hercegovine - socijaldemokrati bih",20,2006,2006,10.1,2006,1,70000020
"Bosnia and Herzegovina",70,"srpska demokratska stranka",22,2006,2006,7.7,2006,1,70000022
"Bosnia and Herzegovina",70,"stranka demokratske akcije",25,2006,2006,16.9,2006,1,70000025
"Bosnia and Herzegovina",70,"stranka za bosnu i hercegovinu",27,2006,2006,15.5,2006,1,70000027
"Botswana",72,"botswana alliance movement",1,1999,2009,4.7,1999,3,72000001
"Botswana",72,"botswana congress party",2,1999,2009,19.2,2009,3,72000002
"Botswana",72,"botswana democratic party",3,1969,2009,76.6,1974,9,72000003
"Botswana",72,"botswana independence party",4,1969,1989,6,1969,5,72000004
"Botswana",72,"botswana national front",5,1969,2009,37.1,1994,9,72000005
"Botswana",72,"Botswana People’s Party",6,1969,2009,12.1,1969,8,72000006
"Botswana",72,"Independence Freedom Party",13,1994,1994,2.8,1994,1,72000013
"Brazil",76,"partido comunista brasileiro",9,1986,2010,2.8,2010,7,76000009
"Brazil",76,"partido comunista brasileiro",10,1945,2010,8.6,1945,9,76000010
"Brazil",76,"partido democrata cristão",14,1945,1990,5.5,1962,7,76000014
"Brazil",76,"partido democrático social",16,1982,1990,43.2,1982,3,76000016
"Brazil",76,"partido democrático trabalhista",17,1982,2010,10,1990,8,76000017
"Brazil",76,"partido del frente liberal",19,1986,2006,17.7,1986,6,76000019
"Brazil",76,"partido liberal",24,1945,2006,4.4,2006,11,76000024
"Brazil",76,"partido do movimiento democrático brasileiro",28,1982,2010,47.8,1986,8,76000028
"Brazil",76,"Partido Progressista",35,1994,2010,11.3,1998,5,76000035
"Brazil",76,"partido progressista reformador",37,1994,1994,9.2,1994,1,76000037
"Brazil",76,"partido popular socialista",39,1994,2010,3.9,2006,5,76000039
"Brazil",76,"partido republicano",40,1945,1962,5.7,1958,5,76000040
"Brazil",76,"Partido da República",41,2010,2010,7.5,2010,1,76000041
"Brazil",76,"partido da reconstrucao nacional",45,1990,1998,8.3,1990,3,76000045
"Brazil",76,"partido de reedificação da ordem nacional",46,1990,2006,2.1,2002,5,76000046
"Brazil",76,"partido socialista brasileiro",55,1950,2010,7,2010,11,76000055
"Brazil",76,"partido social cristão",56,1986,2010,3.1,2010,7,76000056
"Brazil",76,"partido social democrático",57,1945,2002,42.7,1945,10,76000057
"Brazil",76,"partido da social democracia brasileiro",58,1990,2010,17.5,1998,6,76000058
"Brazil",76,"partido social progressista",63,1947,1962,14.8,1947,5,76000063
"Brazil",76,"partido social trabalhista",64,1950,2002,2.2,1950,7,76000064
"Brazil",76,"partido dos trabalhadores",67,1982,2010,18.4,2002,8,76000067
"Brazil",76,"partido trabalhista brasileiro",68,1990,2010,4.7,2006,6,76000068
"Brazil",76,"partido trabalhista brasileiro",69,1945,2010,24.8,1962,14,76000069
"Brazil",76,"partido trabalhista nacional",72,1950,2010,2.9,1950,5,76000072
"Brazil",76,"partido verde",75,1994,2010,3.8,2010,5,76000075
"Brazil",76,"uniao democratica nacional",76,1945,1962,32.5,1947,6,76000076
"Brazil",76,"Democratas",77,2010,2010,7.4,2010,1,76000077
"Belize",84,"Christian Democratic Party",1,1961,1984,11.6,1961,2,84000001
"Belize",84,"Corozal United Front",2,1974,1974,4.3,1974,1,84000002
"Belize",84,"Honduran Independent Party",3,1957,1961,13.5,1957,2,84000003
"Belize",84,"National Independence Party",5,1961,1969,40,1965,3,84000005
"Belize",84,"National Party",6,1954,1957,23,1954,2,84000006
"Belize",84,"People’s United Party",11,1954,2012,65,1954,14,84000011
"Belize",84,"United Democratic Party",14,1974,2012,56.7,2008,9,84000014
"British Virgin Islands",92,"National Democratic Party",2,2003,2011,53.1,2003,3,92000002
"British Virgin Islands",92,"People’s Patriotic Alliance",3,2011,2011,5.1,2011,1,92000003
"British Virgin Islands",92,"Virgin Islands Party",4,2003,2011,50.8,2007,3,92000004
"Bulgaria",100,"Bulgarian Business Block",17,1991,2001,4.9,1997,4,100000017
"Bulgaria",100,"bulgarski zemedelski naroden suyuz - 'nikola petkov'",19,1991,2005,3.9,1991,3,100000019
"Bulgaria",100,"bulgarski zemedelski naroden suyuz (edinen)",21,1991,1991,3.4,1991,1,100000021
"Bulgaria",100,"Movement for Rights and Freedoms",30,1991,2009,11.9,2005,4,100000030
"Bulgaria",100,"evrolevitsa",32,1997,1997,5.5,1997,1,100000032
"Bulgaria",100,"obedinenie na natsiyata - dvizhenie na onepravdanite",53,1994,1997,52.3,1997,2,100000053
"Bulgaria",100,"obedinenie za tsarya",55,1997,1997,7.6,1997,1,100000055
"Bulgaria",100,"politicheski suyuz 'demokratichna alternativa za republikata'",68,1994,1997,3.8,1994,2,100000068
"Bulgaria",100,"suyuz na demokratichnite sili",73,1991,1994,24.2,1994,2,100000073
"Bulgaria",100,"suyuz na demokratichnite sili - tsentur",74,1991,1991,34.4,1991,1,100000074
"Bulgaria",100,"suyuz na demokratichniti sili - liberali",75,1991,1991,3.2,1991,1,100000075
"Bulgaria",100,"Coalition Simeon II",90,2001,2001,3.4,2001,1,100000090
"Bulgaria",100,"Ataka Party",103,2005,2009,9.5,2009,2,100000103
"Bulgaria",100,"Democrats for Strong BULGARIA (DSB)",109,2005,2005,6.4,2005,1,100000109
"Bulgaria",100,"GERB",114,2009,2009,39.9,2009,1,100000114
"Bulgaria",100,"Lider",116,2009,2009,3.6,2009,1,100000116
"Bulgaria",100,"National Movement for Stability and Progress (former National Movement Simeon II)",119,2009,2009,3.7,2009,1,100000119
"Bulgaria",100,"National Movement Simeon II (NMS)",121,2001,2005,42.7,2001,2,100000121
"Bulgaria",100,"New Time (NV)",122,2005,2005,3,2005,1,100000122
"Bulgaria",100,"Order, Law, Justice",123,2009,2009,4.2,2009,1,100000123
"Cambodia",116,"cambodian people's party",1,2008,2008,58.1,2008,1,116000001
"Cambodia",116,"funcinpec",2,2008,2008,5.1,2008,1,116000002
"Cambodia",116,"human rights party",4,2008,2008,6.6,2008,1,116000004
"Cambodia",116,"norodom ranariddth party",9,2008,2008,5.6,2008,1,116000009
"Cambodia",116,"sam rainsy party",10,2008,2008,21.9,2008,1,116000010
"Cameroon",120,"rassemblement démocratique  du peuple camerounais",10,1997,2002,64.8,2002,2,120000010
"Cameroon",120,"social democratic front",11,1997,2002,21.9,1997,2,120000011
"Cameroon",120,"union démocratique du cameroun",12,1997,2002,2.1,1997,2,120000012
"Cameroon",120,"union nationale pour la démocratie et le progrès",17,1997,2002,13.3,1997,2,120000017
"Canada",124,"anti-confederate",5,1867,1867,7.9,1867,1,124000005
"Canada",124,"bloc populaire canadien",7,1945,1945,3.3,1945,1,124000007
"Canada",124,"bloc québécois",8,1993,2011,13.5,1993,7,124000008
"Canada",124,"canadian alliance",11,2000,2000,25.5,2000,1,124000011
"Canada",124,"conservative",21,1867,2011,48.3,1930,19,124000021
"Canada",124,"conservative party of canada",23,2004,2008,37.7,2008,3,124000023
"Canada",124,"co-operative commonwealth federation",26,1930,1958,15.6,1945,8,124000026
"Canada",124,"government",37,1917,1917,56.9,1917,1,124000037
"Canada",124,"green party of canada",38,1984,2011,6.8,2008,9,124000038
"Canada",124,"labour",39,1900,1949,2.8,1921,13,124000039
"Canada",124,"labour progressive party",41,1945,1958,2.1,1945,5,124000041
"Canada",124,"liberal",42,1867,2011,51.2,1940,40,124000042
"Canada",124,"liberal-conservative",49,1867,1911,16.3,1878,12,124000049
"Canada",124,"national government",56,1940,1940,29.2,1940,1,124000056
"Canada",124,"new democratic party",72,1962,2011,30.6,2011,17,124000072
"Canada",124,"opposition",75,1917,1917,38.8,1917,1,124000075
"Canada",124,"patrons of industry",83,1896,1896,4.3,1896,1,124000083
"Canada",124,"progressive",85,1921,1930,21.1,1921,4,124000085
"Canada",124,"progressive conservative",88,1945,2000,53.7,1958,18,124000088
"Canada",124,"ralliement créditiste",94,1965,1968,4.7,1965,2,124000094
"Canada",124,"reconstruction party",95,1935,1935,8.8,1935,1,124000095
"Canada",124,"reform party of canada",96,1988,1997,19.4,1997,3,124000096
"Canada",124,"social credit party of canada",100,1935,1988,11.9,1963,17,124000100
"Cape Verde",132,"aliança democrática para a mudança",1,2001,2001,6.1,2001,1,132000001
"Cape Verde",132,"movimento para a democracia",2,1995,2011,57.4,1995,4,132000002
"Cape Verde",132,"partido africano da independência de cabo verde",3,1995,2011,52.2,2011,4,132000003
"Cape Verde",132,"partido da convergência democrática",4,1995,1995,7.4,1995,1,132000004
"Cape Verde",132,"partido da renovação democrática",5,2001,2006,3.4,2001,2,132000005
"Cape Verde",132,"uniatildeo caboverdiana independente e democraacutetica",7,1995,2011,4.7,2011,3,132000007
"Cayman Islands",136,"People’s Democratic Alliance",1,2005,2005,7.5,2005,1,136000001
"Cayman Islands",136,"People’s Progressive Movement",2,2005,2009,41.1,2005,2,136000002
"Cayman Islands",136,"United Democratic Party",3,2005,2009,55.8,2009,2,136000003
"Cayman Islands",136,"West Bay Alliance",4,2005,2005,12.1,2005,1,136000004
"Sri Lanka",144,"citizen's front",6,2000,2000,3.3,2000,1,144000006
"Sri Lanka",144,"national heritage party",21,2004,2004,6,2004,1,144000021
"Sri Lanka",144,"national unity alliance",23,2000,2000,2.3,2000,1,144000023
"Sri Lanka",144,"people's liberation front",31,2000,2001,9.3,2001,2,144000031
"Sri Lanka",144,"sri lanka freedom party",37,1989,1989,31.9,1989,1,144000037
"Sri Lanka",144,"sri lanka muslim congress",39,1989,2004,3.6,1989,4,144000039
"Sri Lanka",144,"sri lanka tamil united party",43,2004,2010,6.8,2004,2,144000043
"Sri Lanka",144,"tamil united liberation front",47,1989,2010,3.8,2001,5,144000047
"Sri Lanka",144,"united national party",57,1989,2010,50.7,1989,6,144000057
"Colombia",170,"coalicion",5,1998,2002,10.4,2002,2,170000005
"Colombia",170,"movimiento alas equipo colombia",15,2002,2006,4.3,2006,2,170000015
"Colombia",170,"movimiento apertura liberal",18,1998,2010,2.6,2006,4,170000018
"Colombia",170,"movimiento convergencia ciudadana",32,1998,2006,4.5,2006,3,170000032
"Colombia",170,"movimiento convergencia popular civica",33,1998,2002,2.3,2002,2,170000033
"Colombia",170,"Movimiento Independiente De Renovación Absoluta - Mira",49,2002,2010,3.4,2010,3,170000049
"Colombia",170,"movimiento nacional",50,2002,2006,2,2006,2,170000050
"Colombia",170,"movimiento nacional conservador",51,1998,1998,3.5,1998,1,170000051
"Colombia",170,"movimiento popular unido mpu",73,2002,2006,2.1,2002,2,170000073
"Colombia",170,"partido cambio radical",91,2002,2010,10.7,2006,3,170000091
"Colombia",170,"partido colombia democratica",92,2006,2006,2.5,2006,1,170000092
"Colombia",170,"partido conservador colombiano",95,1998,2010,21.5,2010,4,170000095
"Colombia",170,"partido liberal colombiano",99,1998,2010,47.4,1998,4,170000099
"Colombia",170,"partido social de unidad nacional",102,2006,2010,26.1,2010,2,170000102
"Colombia",170,"partido verde oxigeno",105,2002,2010,3.1,2010,2,170000105
"Colombia",170,"polo democratico alternativo",107,2006,2010,8,2006,2,170000107
"Colombia",170,"Partido Alas",116,2010,2010,2,2010,1,170000116
