country_short,party_name_short,party_name,year_first,year_last,share_year,share,seats,seats_total,party_id
ARG,,Laborista-UCR; Junta Renovadora,1946,1946,1946,39.2,62,158,ARG NA Laborista-UCR; Junta Renovadora
ARG,,Laborista Independiente,1946,1946,1946,17.7,28,158,ARG NA Laborista Independiente
ARG,,Liberal,1958,1963,1958,1.07,2,187,ARG NA Liberal
ARG,,Liberal de Corrientes,1991,1991,1991,0.78,2,257,ARG NA Liberal de Corrientes
ARG,,Movimiento al Socialismo,1991,1991,1991,0.39,1,257,ARG NA Movimiento al Socialismo
ARG,,Movimiento de Afirmacion Popular,1991,1991,1991,0.39,1,257,ARG NA Movimiento de Afirmacion Popular
ARG,,Movimiento de Integración y Desarrollo,1965,1993,1965,8.38,16,191,ARG NA Movimiento de Integración y Desarrollo
ARG,,Movimiento Peronista,1991,1991,1991,1.95,5,257,ARG NA Movimiento Peronista
ARG,,Movimiento Popular Fueguino,1991,1995,1993,1.17,3,257,ARG NA Movimiento Popular Fueguino
ARG,,Movimiento Popular Jujeño,1973,1995,1985,0.79,2,254,ARG NA Movimiento Popular Jujeño
ARG,,Movimiento Popular Neuquino,1963,2001,1963,1.04,2,192,ARG NA Movimiento Popular Neuquino
ARG,,Movimiento Popular Pampeano,1973,1983,1973,0.82,2,243,ARG NA Movimiento Popular Pampeano
ARG,,Participacion y Justicia,1995,1995,1995,0.39,1,257,ARG NA Participacion y Justicia
ARG,,Partido Nuevo (Frepanu),1997,2001,1999,1.17,3,257,ARG NA Partido Nuevo (Frepanu)
ARG,,Peronista,1951,1954,1954,92.1,140,152,ARG NA Peronista
ARG,,Polo Social,2001,2001,2001,1.95,5,257,ARG NA Polo Social
ARG,,Renovador de Salta,1985,2001,1991,1.17,3,257,ARG NA Renovador de Salta
ARG,,Socialista Argentino,1963,1965,1963,3.13,6,192,ARG NA Socialista Argentino
ARG,,Socialista Democratico,1963,1965,1963,2.6,5,192,ARG NA Socialista Democratico
ARG,,Surgimiento Innovador,1993,1993,1993,0.39,1,257,ARG NA Surgimiento Innovador
ARG,,Tres Banderas,1963,1963,1963,1.56,3,192,ARG NA Tres Banderas
ARG,,UCR Bloquista,1946,1987,1973,1.23,3,243,ARG NA UCR Bloquista
ARG,,UCR Intransigente,1958,1960,1958,71.1,133,187,ARG NA UCR Intransigente
ARG,,UCRI,1963,1973,1965,5.76,11,191,ARG NA UCRI
ARG,,Unidad Bonaerense,1999,1999,1999,0.39,1,257,ARG NA Unidad Bonaerense
ARG,,Unidad Socialista,1991,1993,1993,1.95,5,257,ARG NA Unidad Socialista
ARG,,Union del Pueblo Argentina,1963,1965,1963,7.29,14,192,ARG NA Union del Pueblo Argentina
ARG,,Union Popular,1963,1973,1965,27.2,52,191,ARG NA Union Popular
ARG,other,other,1946,2001,2001,9.34,24,257,ARG other other
ARG,PTS,Partido de los Trabajadores para el Socialismo,2001,2001,2001,0,0,257,ARG PTS Partido de los Trabajadores para el Socialismo
ARG,UCeDe,Unión del Centro Democrático,1983,2001,1989,5.91,15,254,ARG UCeDe Unión del Centro Democrático
ARG,UCR,Unión Cívica Radical,1946,1995,1951,9.4,14,149,ARG UCR Unión Cívica Radical
BHS,BDP,Bahamian Democratic Party,1977,1977,1977,15.7,6,38,BHS BDP Bahamian Democratic Party
BHS,FNM,Free National Movement,1972,2002,1997,87.5,35,40,BHS FNM Free National Movement
BHS,Ind,Independents,1987,1987,1987,4.08,2,49,BHS Ind Independents
BHS,Other,Other,2002,2002,2002,10,4,40,BHS Other Other
BHS,PLP,Progressive Liberal Party,1972,2002,1977,81.5,31,38,BHS PLP Progressive Liberal Party
BLZ,Ind,Independent,1993,1993,1993,0,0,28,BLZ Ind Independent
BLZ,PUP,People's United Party,1979,1998,1998,89.6,26,29,BLZ PUP People's United Party
BLZ,UDP,United Democratic Party,1979,1998,1984,75,21,28,BLZ UDP United Democratic Party
BOL,A-MNR,Alianza del Movimiento Nacionalista Revolucionario,1979,1980,1979,41,48,117,BOL A-MNR Alianza del Movimiento Nacionalista Revolucionario
BOL,A D N,Acción Demócratica Nacionalista,1979,2002,1985,31.5,41,130,BOL A D N Acción Demócratica Nacionalista
BOL,AP,Acuerdo Patriotico,1993,1993,1993,26.9,35,130,BOL AP Acuerdo Patriotico
BOL,APIN,Alianza Popular de Integración Nacional,1979,1979,1979,4.27,5,117,BOL APIN Alianza Popular de Integración Nacional
BOL,ARBOL,Alianza de Renovacion Boliviana,1993,1993,1993,0.77,1,130,BOL ARBOL Alianza de Renovacion Boliviana
BOL,CDC,Comunidad Democrática Cristiana,1966,1966,1966,18.6,19,102,BOL CDC Comunidad Democrática Cristiana
BOL,CONDEPA,Conciencia de Patria,1989,2002,1989,6.92,9,130,BOL CONDEPA Conciencia de Patria
BOL,EJE,Eje Pachakuti de Convergencia,1993,1997,1993,0.77,1,130,BOL EJE Eje Pachakuti de Convergencia
BOL,FDR-NA,Frente Democrático Revolucionario-Nueva Alternativa,1980,1980,1980,3.85,5,130,BOL FDR-NA Frente Democrático Revolucionario-Nueva Alternativa
BOL,FPU,Frente de Pueblo Unido,1985,1985,1985,3.08,4,130,BOL FPU Frente de Pueblo Unido
BOL,FRB,Frente de la Revolución Boliviana,1966,1966,1966,80.3,82,102,BOL FRB Frente de la Revolución Boliviana
BOL,FSB,Falange Socialista Boliviana,1980,1985,1980,2.31,3,130,BOL FSB Falange Socialista Boliviana
BOL,IU,Izquierda Unida,1989,1997,1989,7.69,10,130,BOL IU Izquierda Unida
BOL,MAS,Movimiento al Socialismo,2002,2002,2002,20.7,27,130,BOL MAS Movimiento al Socialismo
BOL,MBL,Movimiento Bolivia Libre,1993,1997,1993,5.38,7,130,BOL MBL Movimiento Bolivia Libre
BOL,MCC,Movimiento Ciudadano para el Cambio,2002,2002,2002,0,0,130,BOL MCC Movimiento Ciudadano para el Cambio
BOL,MIP,Movimiento Indigena Pachakuti,2002,2002,2002,4.62,6,130,BOL MIP Movimiento Indigena Pachakuti
BOL,MIR,Movimiento de Izquierda Revolucionario,1985,2002,1989,25.3,33,130,BOL MIR Movimiento de Izquierda Revolucionario
BOL,MITKA-1,Movimiento Indio Tupaj Katari Uno,1980,1980,1980,0.77,1,130,BOL MITKA-1 Movimiento Indio Tupaj Katari Uno
BOL,MITKA,Movimiento Indio Tupaj Katari,1979,1980,1979,0.85,1,117,BOL MITKA Movimiento Indio Tupaj Katari
BOL,MNP,Movimiento Nacionalista Pazestenssorista,1966,1966,1966,0.98,1,102,BOL MNP Movimiento Nacionalista Pazestenssorista
BOL,MNR-U,Movimiento Nacionalista Revolucionario Unido,1980,1980,1980,1.54,2,130,BOL MNR-U Movimiento Nacionalista Revolucionario Unido
BOL,MNR,Movimiento Nacionalista Revolucionario,1985,2002,1993,40,52,130,BOL MNR Movimiento Nacionalista Revolucionario
BOL,MNRI,Movimiento Nacionalista Revolucionario de Izquierda,1985,1985,1985,6.15,8,130,BOL MNRI Movimiento Nacionalista Revolucionario de Izquierda
BOL,MNRV,Movimiento Nacionalista Revolucionario Vanguardia,1985,1985,1985,4.62,6,130,BOL MNRV Movimiento Nacionalista Revolucionario Vanguardia
BOL,MRTKL,Movimiento Revolucionario Tupaj Katari de Liberación,1985,1985,1985,1.54,2,130,BOL MRTKL Movimiento Revolucionario Tupaj Katari de Liberación
BOL,NFR,Nueva Fuerza Republicana,2002,2002,2002,19.2,25,130,BOL NFR Nueva Fuerza Republicana
BOL,other,other,1997,1997,1997,0,0,130,BOL other other
BOL,PDC,Partido Demócrata Cristiano,1985,1985,1985,2.31,3,130,BOL PDC Partido Demócrata Cristiano
BOL,PLJ,Partido Libertad y Justicia,2002,2002,2002,0,0,130,BOL PLJ Partido Libertad y Justicia
BOL,PRA,Partido Revolucionario Auténtico,1980,1980,1980,2.31,3,130,BOL PRA Partido Revolucionario Auténtico
BOL,PS-1,Partido Socialista Uno,1979,1985,1980,7.69,10,130,BOL PS-1 Partido Socialista Uno
BOL,PS,Partido Socialista,2002,2002,2002,0.77,1,130,BOL PS Partido Socialista
BOL,PUB,Partido de la Union Boliviana,1979,1979,1979,0.85,1,117,BOL PUB Partido de la Union Boliviana
BOL,UCS,Unión Cívica Solidaridad,1993,2002,2002,3.85,5,130,BOL UCS Unión Cívica Solidaridad
BOL,UDP,Unidad Democrática y Popular,1979,1980,1980,36.1,47,130,BOL UDP Unidad Democrática y Popular
BOL,VSB,Vanguardia Socialista Boliviana,1993,1997,1993,0.77,1,130,BOL VSB Vanguardia Socialista Boliviana
BRA,ARENA,Alianza Renovadora Nacional,1966,1978,1970,71.9,223,310,BRA ARENA Alianza Renovadora Nacional
BRA,ind,Independientes,1954,1954,1954,1.84,6,326,BRA ind Independientes
BRA,MDB,Movimento Democrático Brasileiro,1966,1978,1978,45.2,191,422,BRA MDB Movimento Democrático Brasileiro
BRA,MTR,Movimiento Trabalhista Renovador,1962,1962,1962,0.63,3,473,BRA MTR Movimiento Trabalhista Renovador
BRA,other,other,1958,1982,1982,2.71,13,479,BRA other other
BRA,PAN,Partido dos Aposentados da Nacao,1998,2002,1998,0,0,513,BRA PAN Partido dos Aposentados da Nacao
BRA,PCB,Partido Comunista Brasileiro,1945,2002,1945,4.9,14,286,BRA PCB Partido Comunista Brasileiro
BRA,PCdoB,Partido Comiunista do Brasil,1986,2002,2002,2.34,12,512,BRA PCdoB Partido Comiunista do Brasil
BRA,PCO,Partido de Causa Operaria,1998,2002,1998,0,0,513,BRA PCO Partido de Causa Operaria
BRA,PDC,Partido Demócrata Cristão,1998,1998,1998,0,0,513,BRA PDC Partido Demócrata Cristão
BRA,PDC,Partido Democrático Cristão,1945,1990,1990,4.37,22,503,BRA PDC Partido Democrático Cristão
BRA,PDS,Partido Democrático Social,1982,1994,1990,8.35,42,503,BRA PDS Partido Democrático Social
BRA,PDT,Partido Democrático Trabalhista,1982,2002,1990,9.15,46,503,BRA PDT Partido Democrático Trabalhista
BRA,PFL,Partido da Frente Liberal,1986,2002,1986,24.2,118,487,BRA PFL Partido da Frente Liberal
BRA,PGT,Partido Geral dos Trabalhadores,1998,2002,1998,0,0,513,BRA PGT Partido Geral dos Trabalhadores
BRA,PHS,,2002,2002,2002,0,0,512,BRA PHS NA
BRA,PL,Partido Liberal,1945,2002,2002,5.08,26,512,BRA PL Partido Liberal
BRA,PMDB,Partido do Movimiento Democrático Brasileiro,1982,2002,1986,53.3,260,487,BRA PMDB Partido do Movimiento Democrático Brasileiro
BRA,PMN,Partido da Mobilizacão Nacional,1990,2002,1994,0.78,4,513,BRA PMN Partido da Mobilizacão Nacional
BRA,PPB,Partido Progressista Brasileiro,1994,2002,2002,9.57,49,512,BRA PPB Partido Progressista Brasileiro
BRA,PPS,Partido Popular Sindicalista,1945,2002,2002,2.93,15,512,BRA PPS Partido Popular Sindicalista
BRA,PR,Partido Republicano,1945,1962,1954,5.83,19,326,BRA PR Partido Republicano
BRA,PRN,Partido da Reconstrucão Nacional,1990,1998,1990,7.95,40,503,BRA PRN Partido da Reconstrucão Nacional
BRA,PRONA,Partido de Reedificaçao da Ordem Nacional,1998,2002,2002,1.17,6,512,BRA PRONA Partido de Reedificaçao da Ordem Nacional
BRA,PRP,Partido de Representacão Popular (1947-1962),1950,1962,1962,1.06,5,473,BRA PRP Partido de Representacão Popular (1947-1962)
BRA,PRP,Partido Renovador Progressista,1994,2002,1994,0.19,1,513,BRA PRP Partido Renovador Progressista
BRA,PRS,Partido das Reformas Sociais,1990,1990,1990,0.8,4,503,BRA PRS Partido das Reformas Sociais
BRA,PRT,Partido Republicano Trabalhista (1950-1960),1950,1962,1962,0.63,3,473,BRA PRT Partido Republicano Trabalhista (1950-1960)
BRA,PRTB,Partido Renovador Trabalhista Brasileiro,1998,2002,1998,0,0,513,BRA PRTB Partido Renovador Trabalhista Brasileiro
BRA,PSB,Partido Socialista Brasileiro,1950,2002,2002,4.3,22,512,BRA PSB Partido Socialista Brasileiro
BRA,PSC,Partido Social Cristão,1986,2002,1990,1.19,6,503,BRA PSC Partido Social Cristão
BRA,PSD,Partido Social Democrático,1945,2002,1945,52.8,151,286,BRA PSD Partido Social Democrático
BRA,PSDB,Partido da Social Democracia Brasileira,1990,2002,1990,7.55,38,503,BRA PSDB Partido da Social Democracia Brasileira
BRA,PSL,Partido Social Liberal,1998,2002,2002,0.2,1,512,BRA PSL Partido Social Liberal
BRA,PSN,Partido da Solidariedade,1998,1998,1998,0,0,513,BRA PSN Partido da Solidariedade
BRA,PSP,Partido Social Progressista,1945,1962,1954,9.82,32,326,BRA PSP Partido Social Progressista
BRA,PST,Partido Social Trabalhista,1950,2002,1950,2.96,9,304,BRA PST Partido Social Trabalhista
BRA,PSTU,Partido Socialista dos Trabalhadores Unificado,1998,2002,1998,0,0,513,BRA PSTU Partido Socialista dos Trabalhadores Unificado
BRA,PT,Partido dos Trabalhadores,1982,2002,1994,9.55,49,513,BRA PT Partido dos Trabalhadores
BRA,PTB,Partido Trabalhista Brasileiro,1945,2002,1945,7.69,22,286,BRA PTB Partido Trabalhista Brasileiro
BRA,PTC,,2002,2002,2002,0,0,512,BRA PTC NA
BRA,PTdoB,Partido Socialista dos Trabalhadores do Brasil,1998,2002,1998,0,0,513,BRA PTdoB Partido Socialista dos Trabalhadores do Brasil
BRA,PTN,Partido Tancredista Nacional,1998,2002,1998,0,0,513,BRA PTN Partido Tancredista Nacional
BRA,PTN,Partido Trabalhista Nacional,1950,1962,1962,2.33,11,473,BRA PTN Partido Trabalhista Nacional
BRA,PTR,Partido Trabalhista Renovador,1990,1990,1990,0.4,2,503,BRA PTR Partido Trabalhista Renovador
BRA,PV,Partido Verde,1994,2002,2002,0.78,4,512,BRA PV Partido Verde
BRA,UDN,União Democrática Nacional,1945,1962,1945,26.9,77,286,BRA UDN União Democrática Nacional
BRB,BLP,Barbados Labour Party,1966,1999,1999,92.8,26,28,BRB BLP Barbados Labour Party
BRB,BNP,Barbados National Party,1966,1966,1966,8.33,2,24,BRB BNP Barbados National Party
BRB,DLP,Democratic Labour Party,1966,1999,1986,88.8,24,27,BRB DLP Democratic Labour Party
BRB,NDP,National Democratic Party,1994,1994,1994,3.57,1,28,BRB NDP National Democratic Party
CHL,DR,Democracia Radical,1949,1973,1949,5.44,8,147,CHL DR Democracia Radical
CHL,FN,Falange Nacional,1945,1957,1945,2.04,3,147,CHL FN Falange Nacional
CHL,independents,independents,1957,2001,1957,1.36,2,147,CHL independents independents
CHL,MNDP,Movimiento Nacional del Pueblo,1953,1953,1953,0.68,1,147,CHL MNDP Movimiento Nacional del Pueblo
CHL,MNI,Movimiento Nacional Ibañista,1953,1953,1953,4.08,6,147,CHL MNI Movimiento Nacional Ibañista
CHL,MR,Movimiento Republicano,1957,1957,1957,0.68,1,147,CHL MR Movimiento Republicano
CHL,,Alianza Independiente,1989,2001,1989,6.67,8,120,CHL NA Alianza Independiente
CHL,,Concertacion Independiente,1993,2001,2001,2.5,3,120,CHL NA Concertacion Independiente
CHL,,La Izquierda Independiente,1989,1989,1989,0.83,1,120,CHL NA La Izquierda Independiente
CHL,NAP,Nueva Aliaza Popular,1997,1997,1997,0,0,120,CHL NAP Nueva Aliaza Popular
CHL,other,other,1945,1973,1945,4.08,6,147,CHL other other
CHL,PA,Partido Agrario,1945,1953,1945,2.04,3,147,CHL PA Partido Agrario
CHL,PADENA,Partido Democrático Nacional,1961,1965,1961,8.16,12,147,CHL PADENA Partido Democrático Nacional
CHL,PAIS,Partido Amplio de la Izquierda Socialista,1989,1989,1989,1.67,2,120,CHL PAIS Partido Amplio de la Izquierda Socialista
CHL,PAL,Partido Agrario Laborista,1949,1957,1949,9.52,14,147,CHL PAL Partido Agrario Laborista
CHL,PC,Partido Comunista,1997,2001,1997,0,0,120,CHL PC Partido Comunista
CHL,PC,Partido Conservador,1945,1965,1945,24.4,36,147,CHL PC Partido Conservador
CHL,PCCh (PPN),Partido Comunista de Chile (Partido Progresista Nacional),1945,1973,1973,16.4,25,152,CHL PCCh (PPN) Partido Comunista de Chile (Partido Progresista Nacional)
CHL,PCT,Partido Conservador Tradicionalista,1949,1961,1961,11.5,17,147,CHL PCT Partido Conservador Tradicionalista
CHL,PD,Partido Demócrata,1945,1957,1957,3.4,5,147,CHL PD Partido Demócrata
CHL,PDC,Partido Demócrata Cristiano,1961,2010,1965,55.7,82,147,CHL PDC Partido Demócrata Cristiano
CHL,PDdP,Partido Democrático del Pueblo,1949,1953,1953,3.4,5,147,CHL PDdP Partido Democrático del Pueblo
CHL,PDT,Partido del Trabajo,1957,1957,1957,2.72,4,147,CHL PDT Partido del Trabajo
CHL,PH,Partido Humanista,1989,2001,1989,0.83,1,120,CHL PH Partido Humanista
CHL,PIR,Partido de Izquierda Radical,1973,1973,1973,0.66,1,152,CHL PIR Partido de Izquierda Radical
CHL,PL,Partido Liberal,1945,1965,1965,4.08,6,147,CHL PL Partido Liberal
CHL,PN,Partido Nacional,1969,1973,1973,22.3,34,152,CHL PN Partido Nacional
CHL,PNC,Partido Nacional Cristiano,1953,1953,1953,2.72,4,147,CHL PNC Partido Nacional Cristiano
CHL,PPD,Partido por la Democracia,1989,2001,2001,16.6,20,120,CHL PPD Partido por la Democracia
CHL,PR,Partido Radical,1945,1973,1973,3.29,5,152,CHL PR Partido Radical
CHL,PRD,Partido Radical Doctrinario,1953,1953,1953,2.04,3,147,CHL PRD Partido Radical Doctrinario
CHL,PRSD,Partido Radical Social Demócrata,1989,2001,1989,5,6,120,CHL PRSD Partido Radical Social Demócrata
CHL,PS,Partido Socialista de Chile,1989,2001,1997,9.17,11,120,CHL PS Partido Socialista de Chile
CHL,PSA,Partido Socialista Auténtico,1945,1949,1945,2.04,3,147,CHL PSA Partido Socialista Auténtico
CHL,PSCH,Partido Socialista Chileno,1945,1973,1961,8.16,12,147,CHL PSCH Partido Socialista Chileno
CHL,PSDC,Partido Social Demócrata de Chile,2002,2002,2002,0.2,1,512,CHL PSDC Partido Social Demócrata de Chile
CHL,PSP,Partido Socialista Popular,1949,1957,1949,4.08,6,147,CHL PSP Partido Socialista Popular
CHL,PUCC,Partido Union de Centro Centro,1993,1997,1993,0.83,1,120,CHL PUCC Partido Union de Centro Centro
CHL,RN,Renovación Nacional,1989,2001,1993,25,30,120,CHL RN Renovación Nacional
CHL,UDI,Unión Democrática Independiente,1989,2001,1989,9.17,11,120,CHL UDI Unión Democrática Independiente
CHL,UNI,Unión Nacional de Independientes,1953,1973,1957,4.76,7,147,CHL UNI Unión Nacional de Independientes
CHL,UP,Unidad Popular,1953,1953,1953,0.68,1,147,CHL UP Unidad Popular
COL,ADM19,Alianza Democrática M-19,1991,2002,1991,7.69,13,169,COL ADM19 Alianza Democrática M-19
COL,AINCO,Autoridades Indigenas de Colombia,1991,2002,2002,0.61,1,165,COL AINCO Autoridades Indigenas de Colombia
COL,ANAPO,Alianza Nacional Popular,1974,2002,1974,7.54,15,199,COL ANAPO Alianza Nacional Popular
COL,ASI,Alianza Social Indigena,1998,2002,1998,1.24,2,161,COL ASI Alianza Social Indigena
COL,C-4,Comp.Cív.Cristiano Com.,1998,2002,1998,0,0,161,COL C-4 Comp.Cív.Cristiano Com.
COL,CC,Convergencia Ciudadana,2002,2002,2002,1.21,2,165,COL CC Convergencia Ciudadana
COL,CDRS,Corriente de Renovacion Socialista,1998,1998,1998,0,0,161,COL CDRS Corriente de Renovacion Socialista
COL,CE,Circumscipcion Especial,1994,1998,1998,1.24,2,161,COL CE Circumscipcion Especial
COL,CH,Conservador Humbertista,1991,1991,1991,0.59,1,169,COL CH Conservador Humbertista
COL,CI,Cívico Independiente,1991,2002,1998,0.62,1,161,COL CI Cívico Independiente
COL,CI,Conservatismo Independiente,1994,1994,1994,0.62,1,162,COL CI Conservatismo Independiente
COL,CR,Cambio Radical,2002,2002,2002,4.24,7,165,COL CR Cambio Radical
COL,CS,Colombia Siempre,2002,2002,2002,1.82,3,165,COL CS Colombia Siempre
COL,EC,Equipo Colombia,2002,2002,2002,2.42,4,165,COL EC Equipo Colombia
COL,FD,Frente Democrático,1982,1982,1982,0.5,1,199,COL FD Frente Democrático
COL,FP,Frente Popular,1991,1991,1991,0.59,1,169,COL FP Frente Popular
COL,FP,Fuerza Progresista,1991,2002,1998,2.48,4,161,COL FP Fuerza Progresista
COL,FSP,Frente Social y Politico,2002,2002,2002,1.21,2,165,COL FSP Frente Social y Politico
COL,FUP,Frente por la Unidad del Pueblo,1978,1978,1978,0.5,1,199,COL FUP Frente por la Unidad del Pueblo
COL,GOLPE,Movimiento Pol.Gru.Org.Lid.Pop.,2002,2002,2002,0,0,165,COL GOLPE Movimiento Pol.Gru.Org.Lid.Pop.
COL,IFE,Independiente Frente de Esperanza,1998,1998,1998,0.62,1,161,COL IFE Independiente Frente de Esperanza
COL,IR,Integración Regional,1991,2002,2002,1.82,3,165,COL IR Integración Regional
COL,LIDER,Liberalismo Independiente de Restauración,1991,1991,1991,0.59,1,169,COL LIDER Liberalismo Independiente de Restauración
COL,M19A,Movimiento 19 De Abril,2002,2002,2002,0,0,165,COL M19A Movimiento 19 De Abril
COL,MAC,Movimiento Autonomia Ciudadana,2002,2002,2002,0,0,165,COL MAC Movimiento Autonomia Ciudadana
COL,MAD,Mov. Alternativa Democratica,1998,1998,1998,0.62,1,161,COL MAD Mov. Alternativa Democratica
COL,MAD,Movimiento Alternativa Democrática,2002,2002,2002,0,0,165,COL MAD Movimiento Alternativa Democrática
COL,MADN,Movimiento Alternativa Democratica Nacional,1998,1998,1998,0,0,161,COL MADN Movimiento Alternativa Democratica Nacional
COL,MAL,Movimiento Apertura Liberal,1998,2002,2002,3.03,5,165,COL MAL Movimiento Apertura Liberal
COL,MC,Movimiento Ciudadano,1998,2002,1998,0.62,1,161,COL MC Movimiento Ciudadano
COL,MC,Movimiento Civico,1982,1982,1982,0.5,1,199,COL MC Movimiento Civico
COL,MCCN,Movimiento Concertacion Cívica Nac.,2002,2002,2002,0,0,165,COL MCCN Movimiento Concertacion Cívica Nac.
COL,MCI,Movimiento Conservatismo Independiente,1998,2002,2002,0.61,1,165,COL MCI Movimiento Conservatismo Independiente
COL,MCMP,Movimiento Colombia mi Pais,1998,2002,1998,0,0,161,COL MCMP Movimiento Colombia mi Pais
COL,MCPC,Movimiento Convergencia Popular Civic,1998,2002,2002,2.42,4,165,COL MCPC Movimiento Convergencia Popular Civic
COL,MCSC,Movimiento Civico Seriedad por Colombia,1998,2002,1998,0.62,1,161,COL MCSC Movimiento Civico Seriedad por Colombia
COL,MDC,Movimiento Defensa Ciudadana,2002,2002,2002,0,0,165,COL MDC Movimiento Defensa Ciudadana
COL,MFC,Movimiento Fuerza Colombia,1998,2002,1998,0,0,161,COL MFC Movimiento Fuerza Colombia
COL,MH,Movimiento Humbertista,1991,2002,1998,0.62,1,161,COL MH Movimiento Humbertista
COL,MHC,Movimiento Huella Ciudadana,2002,2002,2002,1.21,2,165,COL MHC Movimiento Huella Ciudadana
COL,MIPOL,Movimiento Integracion Popular,2002,2002,2002,1.21,2,165,COL MIPOL Movimiento Integracion Popular
COL,MIRA,Movimiento Ind.Renovacion Abs.,2002,2002,2002,0,0,165,COL MIRA Movimiento Ind.Renovacion Abs.
COL,MN,Movimiento Nacional,2002,2002,2002,0.61,1,165,COL MN Movimiento Nacional
COL,MNC,Movimiento Nacional Conservador,1990,1998,1994,3.7,6,162,COL MNC Movimiento Nacional Conservador
COL,MNC,Movimiento Nueva Colombia,1991,2002,1994,1.23,2,162,COL MNC Movimiento Nueva Colombia
COL,MNFD,Movimiento Nueva Fuerza Democratica,1998,2002,1998,1.24,2,161,COL MNFD Movimiento Nueva Fuerza Democratica
COL,MNP,Movimiento Nacional Progresista,1994,2002,1994,0.62,1,162,COL MNP Movimiento Nacional Progresista
COL,MOIR,Movimiento Obr.Independ. Revol.,2002,2002,2002,0,0,165,COL MOIR Movimiento Obr.Independ. Revol.
COL,MPAC,Movimiento Politico Anupac Colombia,2002,2002,2002,0,0,165,COL MPAC Movimiento Politico Anupac Colombia
COL,MPC,Movimiento Participacion Ciudadana,1998,1998,1998,0.62,1,161,COL MPC Movimiento Participacion Ciudadana
COL,MPC,Movimiento Participacion Comun.,2002,2002,2002,0.61,1,165,COL MPC Movimiento Participacion Comun.
COL,MPCCC,Movimiento Pol.Comunal Y Comuni. Col.,2002,2002,2002,1.21,2,165,COL MPCCC Movimiento Pol.Comunal Y Comuni. Col.
