country,name_short,name,year_first,year_last,share,share_year,party_id
ISL,AB,Alþýðubandalagið,1956,1998,17.3,1983,ICE AB
ISL,M,Miðflokkurinn,2017,,10.7,2017,ICE M
ITA,DP,Democrazia Proletaria,1975,1991,1.7,1987,ITA DP
ITA,FDI,Fratelli d'Italia - Alleanza Nationale,2013,,4.1,2018,ITA FDI
ITA,LD,La Destra,2007,2017,2.4,2008,ITA LD
ITA,SA,La Sinistra – L'Arcobaleno,2007,2008,3.1,2008,ITA SA
ITA,LN,Lega (Lega Nord),2013,,17.4,2018,ITA LN
ITA,M5S,Movimento Cinque Stelle,,,32.7,2018,ITA M5S
ITA,MSI,Movimento Sociale Italiano,1946,1995,6.8,1983,ITA MSI
ITA,PCI,Partito Comunista Italiano,1943,1991,29.9,1983,ITA PCI
ITA,PdCI,Partito dei Comunisti Italiani,1998,2014,2.3,2006,ITA PdCI
ITA,PRC,Partito della Rifondazione Comunista,1991,,8.5,1996,ITA PRC
ITA,PaP,Potere al Popolo,2017,,1.1,2018,ITA PaP
ITA,RC,Rivoluzione Civile,2012,2013,2.3,2013,ITA RC
LTU,Frontas,Fronto partija,2008,2009,3.2,2008,LIT Frontas
LTU,JL,Jaunoji Lietuva,2009,,4,1996,LIT JL
LTU,LTS,Lietuvių tautininkų sąjunga,1924,,2.2,1996,LIT LTS
LTU,LCP,Lietuvos Centro Partija,2003,,6.3,2016,LIT LCP
LTU,SLF,Socialistinis liaudies frontas,2009,,1.2,2012,LIT SLF
LTU,TT,Tvarka ir teisingumas,2002,,12.7,2008,LIT TT
LUX,ADR,Alternativ Demokratesch Reformpartei,1987,,9.9,2004,LUX ADR
LUX,KPL,Kommunistesch Partei Lëtzebuerg,1921,,4.4,1984,LUX KPL
LUX,NB,National Bewegong,1987,1999,2.6,1994,LUX NB
LUX,PSI,Parti socialiste indépendant,1970,1999,2.4,1984,LUX PSI
LVA,KPV LV,Kam pieder valsts?,2016,,14.3,2018,LAT KPV LV
LVA,LSP,Latvijas Sociālistiskā partija,1994,,5.6,1995,LAT LSP
LVA,NA,"Nacionala apvieniba Visu Latvijai! - Tevze,ei un Brivibai/LNNK",2010,,16.6,2014,LAT NA
LVA,TB/LNNK,Tēvzemei un Brīvībai,1993,2011,14.7,1998,LAT TB/LNNK
LVA,VL,Visu Lavijai,2006,2011,1.5,2006,LAT VL
MNE,NSD,Nova srpska demokratija,2009,,22.8,2012,MNE NSD
MNE,SNS,Srpska narodna stranka,1998,2009,14.7,2006,MNE SNS
MNE,SSR,Stranka srpskih radikala,,,1.3,2009,MNE SSR
NLD,CD,Centrum Democraten,1984,2002,2.5,1994,NET CD
NLD,CPN,Communistische Partij Nederland,1909,1991,2.1,1981,NET CPN
NLD,FvD,Forum voor Democratie,2016,,1.8,2017,NET FvD
NLD,LPF,Lijst Pim Fortuyn,2002,2008,17,2002,NET LPF
NLD,PVV,Partij voor de Vrijheid,2006,,20.4,2010,NET PVV
NLD,SP,Socialistische Partij,1971,,63,2003,NET SP
NLD,SGP,Staatkundig Gereformeerde Partij,1918,,2.1,2012,NET SGP
NOR,FrP,Fremskrittspartiet,1973,,22.9,2009,NOR FrP
NOR,RV,Röd Valgallianse,1973,2007,2.1,2001,NOR RV
NOR,Rödt,Rödt,2007,,2.4,2017,NOR Rödt
POL,KPN,Konfederacja Polski Niepodległej,1979,,7.5,1991,POL KPN
POL,Konfederacja,Konfederacja Wolność i Niepodległość,2018,,6.8,2019,POL Konfederacja
POL,KNP,Kongres Nowej Prawicy,2011,,1.1,2011,POL KNP
POL,K,Kukiz 15,2015,,8.8,2015,POL K
POL,LPR,Liga Polskich Rodzin,2001,,8,2005,POL LPR
POL,PPP,Polska Partia Pracy,2001,2017,1,2007,POL PPP
POL,PiS,Prawo i Sprawiedliwość,2001,,43.6,2019,POL PiS
POL,ROP,Ruch Odbudowy Polski,1995,2012,5.6,1997,POL ROP
POL,SD,Samoobrona Rzeczpospolitej Polskiej,1992,,11.4,2005,POL SD
POL,ZCHN,Zjednoczenie Chrześcijańsko-Narodowe,1989,,8.7,1991,POL ZCHN
PRT,BE,Bloco de Esquerda,1999,,10.2,2015,POR BE
PRT,CH,Chega,2019,,1.3,2019,POR CH
PRT,PCTP/MRPP,Partido Comunista dos Trabalhadores Portugueses/Movimento Reorganizativo do Partido do Proletariado,1970,,1.1,2011,POR PCTP/MRPP
PRT,PCP,Partido Comunista Português,1921,,18.1,1983,POR PCP
PRT,POUS,Partido Operário de Unidade Socialista,1976,,1.4,1980,POR POUS
PRT,PSR,Partido Socialista Revolucionário,1978,1999,1.1,1991,POR PSR
PRT,UDP,União Democrática Popular,1974,,1.4,1980,POR UDP
ROU,PNGCD,Partidul Noua Generație - Creștin Democrat,2000,,2.3,2008,ROM PNGCD
ROU,PP-DD,Partidul Poporului – Dan Diaconescu,2011,2015,14,2012,ROM PP-DD
ROU,PRM,Partidul România Mare,1991,,19.5,2000,ROM PRM
ROU,PRU,Partidul România Unită,2015,,2.8,2016,ROM PRU
ROU,PSM,Partidul Socialist al Muncii,1990,2003,3,1992,ROM PSM
ROU,PUNR,Partidul Unităţii Naţionale a Românilor,1990,2006,7.7,1992,ROM PUNR
SRB,Dveri,Pokret Dveri,1999,,5,2016,SER Dveri
SRB,SRS,Srpska Radikalna Stranka,1991,,29.5,2008,SER SRS
SRB,SSJ,Stranka Srpskog Jedinstva,1993,2007,5.3,2000,SER SSJ
SVK,KSS,Komunistická strana Slovenska,1939,,13.9,1990,SLK KSS
SVK,LSNS,L'udová Strana Naše Slovensko,2010,,8,2016,SLK LSNS
SVK,LS-HZDS,Ľudová strana – Hnutie za demokratické Slovensko,1991,2014,37.3,1992,SLK LS-HZDS
SVK,PSNS,Pravá Slovenská národná strana,2001,2005,3.7,2002,SLK PSNS
SVK,SNS,Slovenska Narodna Strana,1989,,13.9,1990,SLK SNS
SVK,SR,Sme Rodina,2015,,6.6,2016,SLK SR
SVK,ZRS,Združenie robotníkov Slovenska,1994,,7.3,1994,SLK ZRS
SVN,Lipa,Lipa,2008,,1.8,2008,SLN Lipa
SVN,SDS,Slovenska demokratska stranka,1989,,29.2,2008,SLN SDS
SVN,SNS,Slovenska naciolna stranka,1991,,10,1992,SLN SNS
SWE,NyD,Ny Demokrati,1990,2000,6.7,1991,SWE NyD
SWE,SD,Sverigedemokraterna,1988,,17.5,2018,SWE SD
SWE,V (VPK),Vänsterpartiet (previously Vänsterpartiet Kommunisterna),1917,,12,1998,SWE V (VPK)
