country,partyfacts_id,name_short,name,name_english,left_right,year_first,year_last,share,share_year,tags
AIA,3870,AUM,Anguilla United Movement,Anguilla United Movement,-0.16,1979,2010,32.7,2010,"tags position: centre-left
tags ideology: liberalism // progressivism
tags used: 3"
ATG,4144,ALPB,Antigua and Barbuda Labour Party,Antigua and Barbuda Labour Party,-0.61,1946,2018,87.4,1951,"tags position: centre-left
tags ideology: social democracy // [ labour movement ]
tags used: 2"
ATG,4152,ACLM,Antigua Caribbean Liberation Movement,Antigua Caribbean Liberation Movement,-1.29,1968,1992,2,1989,"tags position: left-wing
tags ideology: socialism // [ pan-africanism ]
tags used: 2"
ATG,5552,BPM,Barbuda People's Movement,Barbuda People's Movement,-0.33,1989,2018,5.9,1989,"tags position: centre-left
tags ideology: nationalism
tags used: 2"
ATG,4150,UPP,United Progressive Party,United Progressive Party,-0.14,1992,2018,47.1,2004,"tags position: centre
tags ideology: social liberalism
tags used: 2"
ARG,6112,AR,Acción por la República,Action for the Republic,0.59,1997,2001,8.1,1999,"tags position: centre-right
tags ideology: conservative liberalism // economic liberalism
tags used: 3"
ARG,1215,ARI,Afirmación para una República Igualitaria,Support for an Egalitarian Republic,0.08,2001,2018,3.7,2005,"tags position: centre
tags ideology: liberalism // [ classical republicanism ] // [ anti-corruption ]
tags used: 2"
ARG,6116,ALIANZA,"Alianza pol el Trabajo, la Justiciay la Educación","Aliance for Work, Justice, and Education",-0.59,1997,2001,43.8,1999,"tags position: centre-left
tags ideology: social democracy // reformism // progressivism
tags used: 4"
ARG,7049,C,Cambiemos,Let’s change,0.07,2015,2018,29.2,2015,"tags position: centre // centre-right // financial times // el país // the new york times // bbc // the guardian // the economist // el español // the washington post
tags ideology: liberalism // [ centre-right ] // [ el país ] // [ the economist ] // [ financial times ] // [ el español ] // conservatism // [ bbc ] // [ the guardian ] // social liberalism
tags used: 13"
ARG,6159,CC,Coalición Cívica ARI,Civic Coalition ARI,0.08,2001,2018,7.4,2009,"tags position: centre
tags ideology: liberalism // [ classical republicanism ] // [ anti-corruption ]
tags used: 2"
ARG,2529,CPC,Compromiso para el cambio,Commitment to Change,0.73,2003,2008,4,2003,"tags position: centre-right
tags ideology: conservatism
tags used: 2"
ARG,5088,C,Concordancia,Concordancia,0.92,1931,1943,43,1942,"tags position: centre-right // right-wing
tags ideology: conservatism
tags used: 3"
ARG,5188,PDC,Demócrata Cristiano,Christian Democratic Party,0.35,1954,2018,5.7,1963,"tags position: centre
tags ideology: christian democracy // social conservatism
tags used: 3"
ARG,7747,FC,Federal Commitment,Federal Commitment,-0.32,2011,2018,1.6,2015,"tags position: centre // centre-left // centre-right
tags ideology: [ kirchnerism ] // social democracy // third way // [ federal peronism ]
tags used: 5"
ARG,6161,FAP,Frente Amplio Progresista,Broad Progressive Front,-0.77,2011,2013,5.4,2013,"tags position: centre-left
tags ideology: progressivism // social democracy // democratic socialism // [ parliamentary system ] // [ socialism of the 21st century ]
tags used: 4"
ARG,7975,FCS,Frente Cívico por Santiago,Civic Front for Santiago,-0.61,2005,2018,7,2015,"tags position: centre-left
tags ideology: [ peronism ] // [ kirchnerism ] // [ classical radicalism ] // social democracy
tags used: 2"
ARG,7743,BF,Frente Grande,Broad Front,-0.56,1993,2018,3.5,1993,"tags position: centre-left
tags ideology: [ peronism ] // progressivism // [ kirchnerism ]
tags used: 2"
ARG,8059,FP-PJ,Frente Justicialista,Frente Justicialista-Justicialist [Peronist] Party,-0.49,2017,2018,13.7,2017,"tags position: syncretic politics // centre-left // left-wing // the guardian // bbc online // centre-right
tags ideology: [ peronism ] // social democracy // populism // [ kirchnerism ] // [ federal peronism ]
tags used: 8"
ARG,2530,FPV-PJ,Frente para la Victoria,Front for Victory,-0.88,2003,2017,49.1,2011,"tags position: centre-left // al jazeera // left-wing // the guardian // bbc online
tags ideology: [ peronism ] // social democracy // [ kirchnerism ] // left-wing populism
tags used: 7"
ARG,5553,FREPASO,Frente por un País Solidario,Front for a Country in Solidarity,-0.77,1994,2001,20.7,1995,"tags position: centre-left
tags ideology: social democracy // christian democracy // [ syncretism ] // [ humanism ] // democratic socialism // communism
tags used: 5"
ARG,6554,FPCyS,Frente Progresista Cívico y Social,"Progressive, Civic and Social Front",-0.77,2006,2018,25.2,2013,"tags position: centre-left
tags ideology: progressivism // social democracy // democratic socialism
tags used: 4"
ARG,868,MPN,Movimiento Popular Neuquino,Neuquén People's Movement,0.02,1961,2018,1.5,2005,"tags position: centre // centre-right
tags ideology: [ peronism ] // regionalism // third way // [ federal peronism ]
tags used: 4"
ARG,4181,MODIN,Movimiento por la Dignidad y la Independencia,Movement for Dignity and Independence,1.34,1988,2010,5.8,1993,"tags position: far-right
tags ideology: conservatism // [ militarism ] // [ peronism ]
tags used: 2"
ARG,5192,PAN,National Autonomist Party / Conservative Party,Partido Autonomista Nacional / Partido Conservador,0.34,1874,1931,13.4,1916,"tags position: centre-right
tags ideology: liberalism // conservatism // conservative liberalism // secularism
tags used: 5"
ARG,832,PC,Partido Comunista,Communist Party of Argentina,-2.23,1918,2018,,,"tags position: far-left
tags ideology: communism // marxism-leninism
tags used: 3"
ARG,7745,PCCE,Partido Comunista de la Argentina (Congreso Extraordinario),Communist Party of Argentina (Extraordinary Congress),-2.24,1996,2018,,,"tags position: far-left
tags ideology: communism // marxism-leninism
tags used: 3"
ARG,8865,PV,Partido de la Victoria,Victory Party,-0.61,2003,2018,0.8,2017,"tags position: centre-left
tags ideology: social democracy // [ kirchnerism ]
tags used: 2"
ARG,5187,DEMO,Partido Demócrata de Mendoza,Democratic Party of Mendoza,0.73,1931,2018,1.9,1963,"tags position: centre-right
tags ideology: conservatism
tags used: 2"
ARG,5085,PDN/PC,Partido Demócrata Nacional / Partido Conservador,National Democratic Party / Conservative Party,0.91,1931,1958,40.5,1931,"tags position: centre-right // right-wing
tags ideology: conservatism
tags used: 3"
ARG,5112,PDP,Partido Demócrata Progresista,Democratic Progressive Party,0.09,1914,2018,12,1920,"tags position: centre
tags ideology: liberalism // [ pacifism ]
tags used: 2"
ARG,6040,PF,Partido Federal,Federal Party,0.86,1973,2018,11.3,2009,"tags position: centre-right // right-wing
tags ideology: federalism // conservatism
tags used: 4"
ARG,4183,PI,Partido Intransigente,Intransigent Party,-1.06,1963,2018,6.1,1985,"tags position: left-wing
tags ideology: democratic socialism // progressivism
tags used: 3"
ARG,623,PJ,Partido Justicialista,Justicialist [Peronist] Party,-0.49,1946,2018,38.5,1983,"tags position: syncretic politics // centre-left // left-wing // the guardian // bbc online // centre-right
tags ideology: [ peronism ] // social democracy // populism // [ kirchnerism ] // [ federal peronism ]
tags used: 8"
ARG,5193,PL,Partido Laborista,Labour Party,-0.98,1945,1947,43.7,1946,"tags position: syncretic politics
tags ideology: [ labour movement ] // nationalism // [ corporatism ] // [ protectionism ] // [ developmentalism ] // left-wing populism
tags used: 3"
ARG,5186,LIB,Partido Liberal de Corrientes,Liberal Party of Corrientes,0.1,1856,2018,2.7,1930,"tags position: centre
tags ideology: liberalism // regionalism
tags used: 3"
ARG,1365,PS,Partido Socialista,Socialist Party,-0.81,1896,2018,5.7,2007,"tags position: centre-left // left-wing
tags ideology: social democracy // democratic socialism // progressivism // reformism // [ marxism ]
tags used: 6"
ARG,6426,PSI,Partido Socialista Independiente,Independent Socialist Party,0.78,1930,1940,7.7,1930,"tags position: centre-right
tags ideology: conservatism // economic liberalism
tags used: 3"
ARG,6648,PF-PJ,Peronismo Federal / Peronismo disidente,Federal Peronism / Dissident Peronism,0.96,2010,2018,9.2,2017,"tags position: centre-right // far-right
tags ideology: [ peronism ] // liberal conservatism // national conservatism // economic liberalism
tags used: 5"
ARG,1790,PRO,Propuesta Republicana,Republican Proposal,0.78,2005,2018,17.7,2009,"tags position: centre-right
tags ideology: conservatism // economic liberalism // [ developmentalism ]
tags used: 3"
ARG,8083,PS,Proyecto Sur,Project South,-0.56,2007,2018,16.2,2018,"tags position: centre-left
tags ideology: progressivism
tags used: 2"
ARG,1116,Recrear,Recrear para el Crecimiento,Recreate for Growth,0.52,2002,2009,16.4,2003,"tags position: centre-right
tags ideology: conservative liberalism
tags used: 2"
ARG,5194,SDP,Socialista Democrático,Democratic Socialist Party,-0.5,1959,2002,3.4,1963,"tags position: centre // centre-left
tags ideology: social democracy // [ peronism ] // progressivism
tags used: 4"
ARG,7664,CU,Unidad Ciudadana,Citizen's Unity,-0.78,2017,2019,22.5,2017,"tags position: centre-left // left-wing
tags ideology: [ peronism ] // social democracy // [ kirchnerism ]
tags used: 3"
ARG,7188,UCN,Unión Cívica Nacional,National Civic Union,0.2,1891,1916,8.9,1912,"tags position: centre-right
tags ideology: liberalism
tags used: 2"
ARG,1724,UCR,Unión Cívica Radical,Radical Civic Union,-0.11,1891,2018,48,1983,"tags position: centre // centre-left // centre-right // routledge
tags ideology: social liberalism // liberalism // [ neoliberalism ] // social democracy // [ bbc ] // conservatism // progressivism
tags used: 9"
ARG,5087,UCRI,Unión Cívica Radical Intransigente,Intransigent Radical Civic Union,-0.63,1956,1972,71.1,1958,"tags position: centre-left
tags ideology: [ classical radicalism ] // progressivism // social democracy // [ developmentalism ]
tags used: 3"
ARG,4182,UCD,Unión del Centro Democrático,Union of the Democratic Centre,0.59,1982,2018,5.2,1991,"tags position: centre-right
tags ideology: conservative liberalism // economic liberalism
tags used: 3"
ARG,5086,UP,Unión Popular,Popular Union,0.73,1955,2018,27.1,1965,"tags position: centre-right
tags ideology: [ federal peronism ] // conservatism // [ catholic social teaching ]
tags used: 2"
ARM,2008,A,Ardarutyun,Justice,0.05,2003,2007,13.7,2003,"tags position: big tent // left-wing // right-wing
tags ideology: big tent
tags used: 4"
ARM,2010,AIM,Azgayin Inknoroshum Miavorum,National Self-Determination Union,0.09,1987,2018,5.7,1995,"tags position:
tags ideology: liberalism // pro-europeanism // [ western world ]
tags used: 2"
ARM,2009,AZhM,Azgayin Zhoghovrdakan Miutyun,National Democratic Union,0.08,1995,1999,7.7,1995,"tags position: centre
tags ideology: liberalism
tags used: 2"
ARM,4205,BHK,Bargavatch Hayastan kusaktsut’yun,Prosperous Armenia Party,0.84,2004,2018,17.1,2007,"tags position: centre-right
tags ideology: social conservatism // economic liberalism // [ russophilia ] // euroscepticism
tags used: 4"
ARM,7507,BA,Bright Armenia,Bright Armenia,0.18,2015,2018,6.4,2018,"tags position: centre
tags ideology: classical liberalism // pro-europeanism
tags used: 3"
ARM,8012,CPA,Communist Party of Armenia,Communist Party of Armenia,-2.17,1920,1991,52.5,1990,"tags position:
tags ideology: communism // marxism-leninism
tags used: 2"
ARM,2012,HA,Hanrapetutyun,Republic,0.33,1995,2018,43.9,1995,"tags position: centre // centre-right
tags ideology: conservative liberalism // pro-europeanism
tags used: 4"
ARM,2013,HHK,Hayastani Hanrapetakan Kusaktsutyun,Republican Party of Armenia,1.2,1990,2018,44.1,2012,"tags position: right-wing
tags ideology: national conservatism // [ russophilia ] // big tent
tags used: 3"
ARM,2018,HKK,Hayastani Komunistakan Kusaktsutyun,Armenian Communist Party,-1.85,1991,2018,12.4,1995,"tags position: left-wing // far-left
tags ideology: communism // marxism-leninism // [ russophilia ] // euroscepticism // [ soviet patriotism ]
tags used: 5"
ARM,4539,HAK,Hay Azgayin Kongres,Armenian National Congress,-0.13,2008,2018,7.1,2012,"tags position: centre
tags ideology: social liberalism // pro-europeanism
tags used: 3"
ARM,2020,HHD,Hay Heghapokhakan Dashnaktsutyun,Armenian Revolutionary Federation,-1.23,1890,2018,13.2,2007,"tags position: left-wing
tags ideology: [ armenian nationalism ] // [ radio free europe/radio liberty ] // [ m. e. sharpe ] // [ international crisis group ] // [ market socialism ] // [ russophilia ] // socialism // democratic socialism // [ revolutionary socialism ] // [ not found. ] // [ anti-sovietism ]
tags used: 3"
ARM,4365,HHS,Hayots Hamazgain Sharzhum,Pan-Armenian National Movement,0.34,1988,2013,83,1991,"tags position: centre // centre-right
tags ideology: [ liberal democracy ] // civic nationalism // anti-communism
tags used: 4"
ARM,3783,HePa,Heritage Party,Heritage Party,0.16,2002,2018,2.3,2012,"tags position: centre // centre-right
tags ideology: [ national liberalism ] // liberalism // [ armenian nationalism ] // pro-europeanism // [ western world ]
tags used: 4"
ARM,7508,IKD,Im Kaylə dashink’,My Step Alliance,0.01,2018,2021,70.4,2018,"tags position: centre
tags ideology: big tent // [ liberal democracy ] // [ neoliberalism ] // reformism
tags used: 3"
ARM,7754,KP,Kaghakatsiakan Paymanagir,Civil Contract,0.07,2013,2018,43.2,2018,"tags position: centre
tags ideology: liberalism // reformism // populism
tags used: 4"
ARM,2016,MAK,Miavorvac Ashkhatankayin Kusaktsutyun,United Labour Party,-0.52,2003,2003,5.7,2003,"tags position: centre-left
tags ideology: social democracy // pro-europeanism
tags used: 3"
ARM,7800,MP,Mission Party,Mission Party,0.08,2013,2018,3,2018,"tags position: centre
tags ideology: liberalism
tags used: 2"
ARM,2007,OEK/HV,Orinats’ Yerkir / Haykakan veratsnund,Rule of Law / Armenian Renaissance,0.49,1998,2018,12.6,2003,"tags position: centre-right
tags ideology: liberal conservatism // christian democracy // pro-europeanism
tags used: 4"
ARM,8367,ZK,Zhoghovrdakan Kusaktsutyun,People's Party,0.6,1995,2018,2.7,2007,"tags position: centre-right
tags ideology: conservatism // pro-europeanism
tags used: 3"
ABW,5516,AVP,Arubaanse Volkspartij,Aruban People's Party,0.66,1942,2018,58.8,2013,"tags position: centre-right
tags ideology: regionalism // conservatism // christian democracy
tags used: 4"
ABW,5518,MEP,Movimiento Electoral di Pueblo,People's Electoral Movement,-0.61,1970,2018,43,2005,"tags position: centre-left
tags ideology: social democracy // [ separatism ]
tags used: 2"
ABW,5517,RED,Red Eternal Democratico,Network of Eternal Democracy,-0.63,2005,2013,7,2005,"tags position:
tags ideology: [ cultural liberalism ] // progressivism // green politics
tags used: 2"
AUS,1743,ACP-NPA,Australian Country Party / National Party of Australia,Australian Country Party / National Party of Australia,0.74,1913,2018,12.6,1922,"tags position: centre-right
tags ideology: conservatism // [ conservatism in australia ] // agrarianism // [ australian national university ] // [ anu press ]
tags used: 3"
AUS,777,ACP-V,Australian Country Party (Vic),Australian Country Party (Vic),0.74,1920,1934,2.2,1934,"tags position: centre-right
tags ideology: conservatism // [ conservatism in australia ] // agrarianism // [ australian national university ] // [ anu press ]
tags used: 3"
AUS,990,AD,Australian Democrats,Australian Democrats,-0.17,1977,2018,11.3,1990,"tags position: centre
tags ideology: social liberalism // [ anti-corruption ] // environmentalism
tags used: 3"
AUS,1209,AG,Australian Greens,Australian Greens,-0.87,1990,2018,11.8,2010,"tags position: left-wing
tags ideology: green politics // progressivism
tags used: 3"
AUS,424,ALP,Australian Labor Party,Australian Labor Party,-0.61,1901,2018,50.9,1914,"tags position: centre-left
tags ideology: social democracy
tags used: 2"
AUS,3772,ALP-AC,Australian Labor Party (Anti-Communist),Australian Labor Party (Anti-Communist),0.77,1955,1957,5.1,1955,"tags position: syncretic politics // right-wing // centre
tags ideology: social conservatism // [ distributism ] // christian democracy // anti-communism
tags used: 6"
AUS,6915,ALP-Q,Australian Labor Party (Queensland Branch),Australian Labor Party (Queensland Branch),-0.61,1893,2018,33.3,1893,"tags position: centre-left
tags ideology: social democracy
tags used: 2"
AUS,6917,ALP-SA,Australian Labor Party (South Australian Branch),Australian Labor Party (South Australian Branch),-0.61,1891,2018,18.8,1893,"tags position: centre-left
tags ideology: social democracy
tags used: 2"
AUS,1756,AP,Australia Party,Australia Party,-0.14,1969,1974,2.4,1972,"tags position: centre
tags ideology: social liberalism
tags used: 2"
AUS,323,CDP,Christian Democratic Party,Christian Democratic Party,1.01,1977,1990,1,1990,"tags position: right-wing
tags ideology: [ conservatism in australia ] // social conservatism // christian democracy // [ christian right ]
tags used: 3"
AUS,451,C,Coalition,Coalition,0.55,1925,2018,46.6,1955,"tags position: centre-right
tags ideology: [ conservatism in australia ] // [ liberalism in australia ] // liberal conservatism // agrarianism
tags used: 3"
AUS,1999,CLP,Commonwealth Liberal Party,Commonwealth Liberal Party,0.86,1909,1916,48.9,1913,"tags position: centre-right // right-wing
tags ideology: [ conservatism in australia ] // [ liberalism in australia ] // [ criticism of socialism ]
tags used: 2"
AUS,143,CLP,Country Liberal Party,Country Liberal Party,0.52,1975,2018,0.4,1996,"tags position: centre-right
tags ideology: [ conservatism in australia ] // [ liberalism in australia ] // liberal conservatism // regionalism
tags used: 3"
AUS,1263,FFP,Family First Party,Family First Party,1.06,2004,2017,2.2,2010,"tags position: right-wing
tags ideology: conservatism // [ christian right ]
tags used: 2"
AUS,663,FTP,Free Trade Party / Anti-Socialist Party,Free Trade Party / Anti-Socialist Party,0.64,1887,1909,38.2,1906,"tags position: centre-right
tags ideology: economic liberalism // [ free trade ] // [ criticism of socialism ]
tags used: 2"
AUS,1997,Katter,Katter's Australian Party,Katter's Australian Party,0.86,2013,2018,1,2013,"tags position:
tags ideology: agrarianism // conservatism // [ economic nationalism ]
tags used: 2"
AUS,1642,LCL,Liberal and Country League,Liberal and Country League,0.52,1934,1946,4.4,1946,"tags position: centre // centre-right
tags ideology: conservatism // [ liberalism in australia ] // liberal conservatism
tags used: 4"
AUS,285,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,0.73,2008,2018,9.1,2010,"tags position: centre-right // right-wing
tags ideology: [ conservatism in australia ] // [ liberalism in australia ] // liberal conservatism // agrarianism // [ christian right ]
tags used: 4"
AUS,486,LPA,Liberal Party of Australia,Liberal Party of Australia,0.54,1910,2018,41.8,1975,"tags position: centre-right
tags ideology: [ conservatism in australia ] // [ liberalism in australia ] // liberal conservatism
tags used: 2"
AUS,338,NAT,Nationalist Party of Australia,Nationalist Party of Australia,0.95,1917,1929,54.2,1917,"tags position: centre-right // right-wing
tags ideology: nationalism // [ australian nationalism ] // conservatism // [ conservatism in australia ] // [ protectionism ] // [ monarchy of australia ]
tags used: 4"
AUS,1736,NL,National Labor,National Labor,-0.61,1916,1917,32,1916,"tags position: centre-left
tags ideology: [ australian nationalism ] // social democracy
tags used: 2"
