country,name_short,name_english,year_first,year_last,share,share_year,party_id,partyfacts_id
NLD,VDB,Free-thinking Democratic League,1901,1937,9.1,1909,543,543
LTU,LDDP,Democratic Labour Party of Lithuania,1992,2000,44,1992,546,546
BEL,VB,Flemish Block / Interest,1991,2010,12,2007,553,553
BEL,PRL,Liberal Reformist Party,1971,1999,10.3,1995,554,554
LTU,LLRA,Election Action of Lithuania's Poles,2012,2016,5.8,2012,556,556
ISR,Shinui,Change,1999,2003,12.3,2003,557,557
SVK,HZDS,Movement for a Democratic Slovakia,1994,2006,35,1994,560,560
COL,CR,Radical Change,2006,2018,15.3,2018,561,561
IRL,Lab,Labour Party,1921,2016,21.3,1922,562,562
CYP,DISY,Democratic Rally,1976,2016,35.8,1991,563,563
AUS,UAP,United Australia Party,1931,1943,36.4,1931,566,566
BOL,MNR,Revolutionary Nationalist Movement,1944,2005,97.9,1964,568,568
PRY,PEN,National Encounter Party,1993,1998,17.7,1993,571,571
DEU,FDP,Free Democratic Party,1949,2017,14.6,2009,573,573
PER,UPP,Union for Peru,1995,2011,21.1,2006,575,575
LVA,LSP,Socialist Party of Latvia,1995,1995,5.6,1995,588,588
NZL,NZFP,New Zealand First Party,1993,2017,13.3,1996,591,591
HND,PLH,Liberal Party of Honduras,1923,2017,62.1,1957,593,593
AUT,BZO,Alliance for the Future of Austria,2008,2008,10.7,2008,599,599
LVA,LKP,Communist Party of Latvia,1928,1990,21.5,1990,600,600
GBR,UKIP,United Kingdom Independence Party,2001,2017,12.7,2015,601,601
POL,PSL,Polish People's (Peasants') Party,1991,2019,15.4,1993,602,602
BGR,BKP,Communist Party of Bulgaria,1945,2017,34.1,1945,603,603
AUT,LIF,Liberal Forum,1994,1995,6,1994,605,605
ISR,HHM,Mizrachi Workers,1951,1951,6.8,1951,613,613
ISR,A,Alignment,1949,2015,46.2,1969,615,615
GRC,KP,Progressive Party,1958,1964,,1958,619,619
BEL,CVP,Flemish Christian Peoples Party,1968,2019,26.2,1977,622,622
ARG,PJ,Justicialist [Peronist] Party,1946,2003,64.3,1954,623,623
LVA,SCP,Society for Other Politics,2010,2010,,2010,627,627
BEL,PSC,Francophone Christian Social Party,1968,2014,11.7,1968,633,633
CYP,DIKO,Democratic Party,1976,2016,60,1976,635,635
ROU,PAC,Party of the Civic Alliance,1992,1992,4.1,1992,645,645
VEN,MAS,Movement toward Socialism,1973,2000,10.8,1993,646,646
SWE,KD,Christian Democrats,1991,2018,11.8,1998,651,651
NZL,VP,Values Party,1975,1975,5.2,1975,653,653
BRA,PMDB,Partido do Movimento Democrático Brasileiro,1982,2018,47.8,1986,654,654
PRT,PS,Socialist Party,1975,2019,46.4,2005,655,655
SVK,LsNS,People's Party Our Slovakia,2016,2016,8,2016,656,656
PRT,FRS,Republican and Socialist Front,1980,1980,26.7,1980,657,657
BGR,ZP,Green Party of Bulgaria,2005,2005,,2005,659,659
ROU,PD-L,Democratic Liberal Party,2008,2012,32.4,2008,660,660
BGR,PBSD,Party of Bulgarian Social Democrats,2005,2014,,2005,661,661
AUS,FTP,Free Trade Party / Anti-Socialist Party,1901,1906,38.2,1906,663,663
CHE,KP/PdA,Swiss [Communist] Party of Labour,1947,1947,5.1,1947,669,669
LVA,TB,For Fatherland and Freedom,1993,1995,11.9,1995,671,671
ISL,Thva,National Preservation Party,1953,1953,6,1953,673,673
ALB,BKS,Albanian National Front Party,1996,2001,5,1996,674,674
CZE,KDU/CSL,Christian Democratic Union / People's Party,1990,2017,11,2002,676,676
ISR,MiHal,Liberal Party,1961,1961,13.6,1961,678,678
EST,IRL,Union of Pro Patria and Res Publica,2007,2015,20.5,2011,685,685
SLV,PCN,National Conciliation [Coalition] Party,1961,2018,100,1976,686,686
ITA,PS,Segni Pact,1994,1994,4.6,1994,688,688
SWE,H/M,Right Party / Moderate Party,1911,2018,36.5,1914,690,690
MEX,PAN,National Action Party,1949,2018,38.2,2000,696,696
BEL,FDF,Front Démocratique des Francophones / DéFI,1974,1974,5,1974,698,698
MLT,PN,Nationalist Party,1927,2013,59.6,1932,699,699
LVA,ZZS,Green and Farmers' Union,2002,2018,20.1,2010,701,701
FIN,KD,Christian Democrats / League,2003,2003,5.3,2003,703,703
NOR,KrF,Christian Democratic Party,1945,2017,13.7,1997,705,705
GTM,UCN,National Change Union,2019,2019,5.5,2019,706,706
SVK,DuS/APR,Democratic Union / Alternative of Political Realism,1994,1998,8.6,1994,707,707
PER,RN,National Restoration Party,2011,2011,,2011,713,713
NZL,A,Alliance,1993,1999,18.2,1993,716,716
ALB,BLD,Liberal Democratic Union,2001,2001,,2001,717,717
NOR,SV,Socialist Left Party,1973,2017,12.5,2001,719,719
BRA,PSB,Brazilian Socialist Party,2002,2018,7.1,2010,723,723
FIN,IK,Patriotic People's Movement,1933,1939,8.3,1936,725,725
POL,SRP,Self-Defense of the Republic Poland,2001,2005,11.4,2005,727,727
SVK,SNS,Slovak National Party,1994,2016,11.7,2006,730,730
POL,RP,Palikot's Movement,2011,2011,10,2011,731,731
ALB,PLL,Movement of Legality Party,2001,2001,,2001,732,732
JPN,JCP,Japan Communist Party,1949,2017,13.1,1996,736,736
FRA,MRP,Popular Republican Movement,1945,1962,26.3,1946,737,737
LTU,LSDP,Lithuanian Social Democratic Party,1990,2000,13.5,2000,738,738
LVA,LSDSP,Latvian Social Democratic Workers' Party,1920,1998,38.8,1920,741,741
ITA,PSI,Italian Socialist Party,1900,1992,32.3,1919,742,742
ISR,Tzomet,Crossroads,1992,1992,6.4,1992,745,745
BGR,ZNS,Agrarian People's Union,2005,2014,,2005,747,747
NZL,ACT,ACT New Zealand,1996,2002,7.1,2002,752,752
BEL,CD&V/N-VA,Christian-Democrat and Flemish / New Flemish Alliance,2007,2007,18.5,2007,756,756
BGR,BSP,Bulgarian Socialist Party,1990,2017,47.2,1990,757,757
COL,Partido-U,Social Party of National Unity,2006,2018,25.9,2010,759,759
BGR,GERB,Citizens for European Development of Bulgaria,2009,2017,39.7,2009,760,760
SVN,SDZ,Slovenian Democratic Union,1990,1990,9.5,1990,761,761
SVN,SLS,Slovenian People's Party,1990,2011,19.4,1996,764,764
POL,S,Solidarity,1989,1991,35,1989,767,767
ITA,IdV,List Di Pietro -- Italy of Values,2006,2008,4.4,2008,768,768
NIC,FSLN,Sandinista National Liberation Front,1984,2016,66.5,1984,769,769
ITA,PNM,Monarchist National Party,1953,1953,6.9,1953,773,773
LUX,MPI,Popular Independent Movement,1964,1964,6,1964,774,774
JPN,JDP,Japan Democratic Party,1955,1955,36.6,1955,778,778
EST,I,Pro Patria Union,1999,2019,16.1,1999,779,779
BRA,PPB,Progressive Party / Brazilian Progressive Party (PPB),1994,2018,11.3,1998,781,781
PER,FDC,Center Front,2006,2006,7.1,2006,788,788
BEL,MR,Reformist Movement,2003,2019,12.5,2007,789,789
GRC,ND,New Democracy,1974,2019,54.4,1974,794,794
ECU,ID,Democratic Left,1979,2006,21.8,1988,797,797
HRV,HNS,Croatian People's Party – Liberal Democrats,1992,2016,8.6,2011,799,799
DNK,CD,Centre Democrats,1973,1990,8.3,1981,800,800
ITA,PD,Democratic Party,2008,2018,34,2008,802,802
MLT,MLP,Malta Labour Party,1921,2013,76.2,1945,808,808
USA,Rep,Republican Party,1900,2018,58.2,1920,809,809
ITA,AN,National Alliance,1994,2006,15.7,1996,813,813
TUR,MSP,National Salvation Party,1973,1977,11.8,1973,815,815
ALB,PRS,Republican Party of Albania,1996,2013,20,2005,819,819
BGR,PKE,"Political Club """"Ecoglasnost""""",1994,2017,,1994,820,820
EST,ERe,Estonian Reform Party,1995,2019,28.9,2019,821,821
CZE,KDS,Christian Democratic Party,1992,1992,5,1992,824,824
BEL,KLS,Cartel of Liberals and Socialists,1906,1912,27.1,1912,826,826
ECU,MUPP-NP,Pachakutik Plurinational Unity Movement – New Country,1996,2013,10.8,1996,827,827
NLD,VVD,People's Party for Freedom and Democracy,1946,2017,26.6,2012,828,828
SWE,V,Left Party / Communist Party,1920,2018,12,1998,830,830
ALB,PSD,Social Democratic Party of Albania,1997,2005,12.7,2005,838,838
ALB,PA,Agrarian Party,2005,2005,6.6,2005,840,840
CRI,PML,Libertarian Movement Party,2002,2014,14.5,2010,842,842
ESP,ERC,Republican Left of Catalonia,1931,2019,7.9,1936,848,848
VEN,UNT,A New Era,2010,2015,10.8,2015,849,849
ITA,FdV,Federation of the Greens,1996,2006,2.5,1996,851,851
LVA,V,Unity,2010,2018,31.9,2010,852,852
ISL,BJ,Social Democratic Federation,1983,1983,7.3,1983,854,854
LVA,L,Equal Rights,1993,1993,5.8,1993,860,860
VEN,AD,Democratic Action,1946,2015,78.4,1946,862,862
POL,AWS,Solidarity Electoral Action of the Right,1997,2001,33.8,1997,863,863
JPN,DSP,Democratic Socialist Party,1960,1986,8.8,1960,867,867
NZL,NZP,New Zealand Party,1984,1984,12.2,1984,870,870
ITA,DS,Democrats of the Left,2001,2001,16.6,2001,878,878
ECU,PSE,Ecuadorian Socialist Party,1954,1997,24.8,1997,885,885
IND,CPI(M),Communist Party of India (Marxist),1967,2009,6.6,1989,893,893
KOR,MK/SH,Democratic Liberal Party / New Korea Party,1992,1996,38.5,1992,894,894
LUX,SDP,Social Democratic Party,1974,1979,9.2,1974,898,898
FIN,KESK,Agrarian Union / Centre Party,1907,2019,27.3,1930,901,901
EST,RKI,"National Coalition Party """"Pro Patria""""",1992,1995,22,1992,908,908
ISR,HDM,United Religious Front,1949,1949,12.2,1949,909,909
HUN,SzDSz,Alliance of Free Democrats,1990,2006,21.4,1990,910,910
NZL,SC/DP,Social Credit / Democratic Party,1954,1987,20.6,1981,911,911
ROU,etnice,Romanian ethnic minorities parties,2000,2008,0,2000,916,916
POL,SD,Democratic Party,1952,1989,8.5,1957,919,919
NLD,DS70,Democratic Socialists 70,1971,1971,5.3,1971,921,921
IRL,PD,Progressive Democrats,1987,1989,11.8,1987,924,924
CHL,RN,National Renewal,1989,2017,18.3,1989,928,928
POL,ZSL,United People's Party,1952,1989,25.7,1957,929,929
CAN,GPC,Green Party of Canada,2008,2019,6.8,2008,931,931
ITA,DC,Christian Democrats,1946,1992,48.5,1948,934,934
JPN,LP(H),Liberal Party (Hatoyama),1953,1953,8.8,1953,935,935
CZE,LSU,Liberal Social Union,1992,1992,6.5,1992,936,936
IND,BSP,Bahujan Samaj Party,1996,2009,5.3,2004,937,937
NZL,UFNZ,United Future New Zealand,2002,2002,6.7,2002,940,940
GTM,FRG,Guatemalan Republican Front,1990,2007,42.1,1999,941,941
GRC,EP,National Alignment,1977,1977,6.8,1977,943,943
PAN,PS,Solidarity Party,1994,2004,15.7,2004,949,949
ECU,PSC,Social Christian Party [Movement],1979,2017,30.4,1996,950,950
CZE,HSD/SMS,Movement for Self-Governing Democracy / Society for Moravia and Silesia,1990,1992,10,1990,952,952
ISR,HH,National Union,2003,2006,7.1,2006,953,953
ITA,CCD/CDU,Christian Democratic Center / United Christian Democrats (White Flower),1996,2001,5.8,1996,962,962
ISL,F,Progressive Party,1919,2017,35.9,1931,964,964
GRC,LAOS,Popular Orthodox Rally,2009,2009,5.6,2009,965,965
SVN,LDS,Liberal Democracy of Slovenia,1990,2008,36.3,2000,975,975
SLV,FMLN,Farabundo Martí National Liberation Front,1994,2018,42.6,2009,978,978
BGR,DPS,Movement for Rights and Freedoms,1990,2017,14.8,2014,982,982
SVK,DS,Democratic Party,1998,1998,,1998,983,983
GBR,SNP,Scottish National Party,2019,2019,3.9,2019,986,986
PAN,PP-PDC,People's Party – Christian Democratic Party of Panama,1984,2004,36.1,1989,987,987
AUS,AD,Australian Democrats,1977,2001,11.3,1990,990,990
AUT,KPO,Communist Party of Austria,1945,1953,5.4,1945,996,996
BIH,SPRS,Socialist Party of the Republika Srpska,1998,1998,,1998,998,998
CAN,CPC,Conservative Party of Canada (2003),2004,2019,39.6,2011,1004,1004
CHE,Grue,Green Party,1991,2019,13.2,2019,1006,1006
CZE,ODA,Civic Democratic Alliance,1992,1996,6.4,1996,1008,1008
BRA,PDT,Democratic Labour Party,1982,2018,10,1990,1009,1009
DEU,GB/BHE,All-German Bloc / LED,1953,1953,5.9,1953,1010,1010
