country,party,time
New Zealand,Status quo,1930
New Zealand,Status quo,1950
New Zealand,Status quo,1960
Sweden,Social Democratic,1890
Sweden,Social Democratic,1910
Sweden,Social Democratic,1930
Sweden,Social Democratic,1950
Sweden,Social Democratic,1960
Sweden,Liberal,1910
Sweden,Liberal,1930
Sweden,Liberal,1950
Sweden,Liberal,1960
Sweden,Conservative,1910
Sweden,Conservative,1930
Sweden,Conservative,1950
Sweden,Conservative,1960
Sweden,Centre,1930
Sweden,Centre,1950
Sweden,Centre,1960
Sweden,Status quo,1890
Sweden,Status quo,1910
Sweden,Status quo,1930
Sweden,Status quo,1950
Sweden,Status quo,1960
USSR,CPSU,1910
USSR,CPSU,1920
USSR,CPSU,1930
USSR,CPSU,1950
USSR,CPSU,1960
USSR,Status quo,1910
USSR,Status quo,1920
United States,Democratic,1870
United States,Democratic,1890
United States,Democratic,1910
United States,Democratic,1930
United States,Democratic,1950
United States,Democratic,1960
United States,Republican,1870
United States,Republican,1890
United States,Republican,1910
United States,Republican,1930
United States,Republican,1950
United States,Republican,1960
United States,Status quo,1870
United States,Status quo,1890
United States,Status quo,1910
United States,Status quo,1930
United States,Status quo,1950
United States,Status quo,1960
