country,party_id,party_abbreviation,party_name,party_name_english
Germany,1206,B90/Grüne,Bündnis 90/Die Grünen,Alliance 90/Greens
Germany,1207,FDP,Freie Demokratische Partei,Free Democratic Party
Greece,1301,SYRIZA,Συνασπισμός Ριζοσπαστικής Αριστεράς,Coalition of the Radical Left
Greece,1302,ND,Νέα Δημοκρατία,New Democracy
Greece,1303,XA,Λαϊκός Σύνδεσμος,Golden Dawn
Greece,1304,PASOK,Πανελλήνιο Σοσιαλιστικό Κίνημα,Panhellenic Socialist Movement
Greece,1305,KKE,Κομμουνιστικό Κόμμα Ελλάδας,Communist Party of Greece
Greece,1306,Potami,Το Ποτάμι,The River
Greece,1307,ANEL,Ανεξάρτητοι Έλληνες,Independent Greeks
Greece,1308,EK,Ένωση Κεντρώων,Union of Centrists
Greece,1309,LAE,Λαϊκή Ενότητα,Popular Unity
Greece,1310,KA,Κίνημα Αλλαγής,Movement for Change
Hungary,1401,Fidesz,Fidesz - Magyar Polgári Szövetség,Fidesz - Hungarian Civic Party
Hungary,1402,MSZP,Magyar Szocialista Párt,Hungarian Socialist Party
Hungary,1403,Jobbik,Jobbik Magyarországért Mozgalom,Jobbik Movement for a Better Hungary
Hungary,1404,LMP,Lehet Más a Politika,Politics Can Be Different
Hungary,1405,DK,Demokratikus Koalíció,Democratic Coalition
Hungary,1406,Egyutt,Együtt - A Korszakváltók Pártja,Together - Party for a New Era
Hungary,1407,Párbeszéd,Párbeszéd,Dialogue
Ireland,1501,FG,Fine Gael,Fine Gael
Ireland,1502,FF,Fianna Fáil,Fianna Fáil
Ireland,1503,SF,Sinn Fein,Sinn Fein
Ireland,1504,Lab,Labour Party,Labour Party
Ireland,1505,IA,Independent Alliance,Independent Alliance
Ireland,1506,SP,Socialist Party,Socialist Party
Ireland,1507,I4C,Independents 4 Change,Independents 4 Change
Ireland,1508,SD,Social Democrats,Social Democrats
Ireland,1509,GP,Green Party,Green Party
Ireland,1510,S-PBP,Solidarity–People Before Profit,Solidarity–People Before Profit
Italy,1601,PD,Partito Democratico,Democratic Party
Italy,1602,M5S,Movimento Cinque Stelle,Five Star Movement
Italy,1603,FI,Forza Italia,Forza Italy
Italy,1604,LN,Lega (Nord),(Northern League)
Italy,1605,FdI-CN,Fratelli d'Italia,Brothers of Italy
Italy,1606,MDP,Articolo  1  –  Movimento  Democratico  e Progressista,Article 1 – Democratic and Progressive Movement
Italy,1607,SI,Sinistra Italiana,Italian Left
Lithuania,1701,LVLS,Lietuvos valstiečių ir žaliųjų sąjunga,Lithuanian Peasant and Greens Union
Lithuania,1702,TS-LKD,Tėvynės  sąjunga  -  Lietuvos  krikščionys demokratai,Homeland Union - Lithuanian Christian Democrats
Lithuania,1703,LSDP,Lietuvos socialdemokratų partija,Lithuanian Social Democratic Party
Lithuania,1704,LRLS,Lietuvos Respublikos Liberalų sąjūdis,Liberals Movement of the Republic of Lithuania
Lithuania,1705,LLRA,Lietuvos lenkų rinkimų akcija / Akcja Wyborcza Polaków na Litwie,Election Action of Lithuania's Poles
Lithuania,1706,TT,Tvarka ir teisingumas,Order and Justice
Lithuania,1707,DP,Darbo partija,Labour Party
Lithuania,1708,LCP,Lietuvos centro partija,Lithuanian Centre Party
Malta,1801,PL,Partit Laburista,Malta Labour Party
Malta,1802,PN,Partit Nazzjonalista,Nationalist Party
The Netherlands,1901,VVD,Volkspartij voor Vrijheid en Democratie,People's  Party  for  Freedom  and Democracy
The Netherlands,1902,PVV,Partij voor de Vrijheid,Party for Freedom
The Netherlands,1903,CDA,Christen-Democratisch Appèl,Christian Democratic Appeal
The Netherlands,1904,D66,Democraten66,Democrats66
The Netherlands,1905,GL,GroenLinks,GreenLeft
The Netherlands,1906,SP,Socialistische Partij,Socialist Party
The Netherlands,1907,PvdA,Partij van de Arbeid,Labour Party
The Netherlands,1908,CU,ChristenUnie,Christian Union
The Netherlands,1909,PvdD,Partij voor de Dieren,Party for the Animals
The Netherlands,1910,50PLUS,50PLUS,50PLUS
The Netherlands,1911,SGP,Staatkundig Gereformeerde Partij,State-Reformed Party
The Netherlands,1912,DENK,DENK,DENK
The Netherlands,1913,FvD,Forum voor Democratie,Forum for Democracy
Norway,2001,Ap,Arbeiderpartiet,Norwegian Labour Party
Norway,2002,H,Høyre,Conservative Party
Norway,2003,FrP,Fremskrittspartiet,Progress Party
Norway,2004,Sp,Senterpartiet,Centre Party
Norway,2005,KrF,Kristelig Folkeparti,Christian Democratic Party
Norway,2006,V,Venstre,Liberal Party of Norway
Norway,2007,SV,Sosialistisk Venstreparti,Socialist Left Party
Norway,2008,MDG,Miljøpartiet de Grønne,Green Party
Norway,2009,R,Rødt,Red
Poland,2101,PiS,Prawo i Sprawiedliwość,Law and Justice
Poland,2102,PO,Platforma Obywatelska,Civic Platform
Poland,2103,K’15,Kukiz'15,Kukiz'15
Poland,2104,N,Nowoczesna,Modern
Poland,2105,PSL,Polskie Stronnictwo Ludowe,Polish People's Party
Poland,2106,razem,Partia Razem,Together Party
Poland,2107,SLD,Sojusz Lewicy Demokratycznej,Democratic Left Alliance
Poland,2108,Wolność,Wolność,Liberty
Portugal,2201,PSD,Partido  Popular  Democrático/Partido  Social Democrata,Social Democratic Party
Portugal,2202,PS,Partido Socialista,Socialist Party
Portugal,2203,BE,Bloco de Esquerda,Bloc of the Left
Portugal,2204,CDS-PP,Centro Democrático e Social – Partido Popular,People's Party
Portugal,2205,CDU,Coligação Democrática Unitária,Unified Democratic Coalition
Portugal,2206,PAN,Pessoas-Animais-Natureza,People-Animals-Nature
Romania,2301,PSD,Partidul Social Democrat,Social Democratic Party
Romania,2302,PNL,Partidul Național Liberal,National Liberal Party
Romania,2303,USR,Uniunea Salvați România,Save Romania Union
Romania,2304,UDMR,Uniunea    Democrată    Maghiară    din RomâniaRomániai    Magyar    Demokrata Szövetség,Democratic  Union  of  Hungarians  in Romania
Romania,2305,ALDE,Partidul Alianța Liberalilor și Democraților,Alliance of Liberals and Democrats
Romania,2306,PMP,Partidul Mișcarea Populară,People's Movement Party
Slovakia,2401,Smer-SD,Smer – sociálna demokracia,Direction – Social Democracy
Slovakia,2402,SaS,Sloboda a Solidarita,Freedom and Solidarity
Slovakia,2403,OĽaNO,Obyčajní ľudia a nezávislé osobnosti,Ordinary  People  and  Independent Personalities
Slovakia,2404,SNS,Slovenská národná strana,Slovak National Party
Slovakia,2405,LSNS,Kotleba - Ľudová strana Naše Slovensko,Kotleba - People's Party Our Slovakia
Slovakia,2406,SME RODINA,SME RODINA – Boris Kollár,We are family - Boris Kollár
Slovakia,2407,MOST-HÍD,Most–Híd,Bridge
Slovakia,2408,Spolu,Spolu – občianska demokracia,Together – Civic Democracy
Slovakia,2409,PS,Progresívne Slovensko,Progressive Slovakia
Slovakia,2410,KDH,Kresťanskodemokratické hnutie,Christian Democratic Movement
Slovenia,2501,SMC,Stranka modernega centra,Party of Miro Cerar
Slovenia,2502,SDS,Slovenska demokratska stranka,Slovenian Democratic Party
Slovenia,2503,DeSUS,Demokratična stranka upokojencev Slovenije,Democratic  Party  of  Pensioners  of Slovenia
Slovenia,2504,SD,Socialni demokrati,Social Democrats
Slovenia,2505,Levicia,Združena levica,The Left (former United Left alliance)
Slovenia,2506,NSI,Nova Slovenija – Krščanski demokrati,New Slovenia - Christian People's Party
Slovenia,2507,PAB,Stranka Alenke Bratušek,Party of Alenka Bratusek
Slovenia,2508,LMŠ,Marjan Šarec List,Marjan Šarec List
Spain,2601,PP,Partido Popular,People's Party
Spain,2602,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers Party
Spain,2603,Podemos,Podemos,We Can
Spain,2604,Cs,Ciudadanos,Citizens -- Party of the Citizenry
Spain,2605,IU,Izquierda Unida,United Left
Spain,2606,EAJ-PNV,Euzko Alderdi Jeltzalea / Partido Nacionalista Vasco,Basque Nationalist Party
Spain,2607,ERC,Esquerra Republicana de Catalunya,Republican Left of Catalonia
Spain,2608,C,Compromís,Compromise
Spain,2609,EH-Bildu,Euskal Herria Bildu,Basque Country Unite
Spain,2610,CC,Coalición Canari,Canary Coalition
Spain,2611,PDeCAT,Partit Demòcrata Europeu Català,Catalan European Democratic Party
Sweden,2701,S,Sveriges Socialdemokratiska arbetarparti,Social Democrats
Sweden,2702,M,Moderata samlingspartiet,Moderate Coalition Party
Sweden,2703,SD,Sverigedemokraterna,Sweden Democrats
Sweden,2704,MP,Miljöpartiet de Gröna,Greens
Sweden,2705,C,Centerpartiet,Centre Party
Sweden,2706,V,Vänsterpartiet,Left Party
Sweden,2707,L,Liberalerna,Liberals
Sweden,2708,KD,Kristdemokraterna,Christian Democrats
Switzerland,2801,SVP-UDC,Schweizerische    Volkspartei    /    Union Démocratique du Centre / Unione Democratica di Centro,Swiss People's Party
Switzerland,2802,SP-PS,Sozialdemokratische Partei der Schweiz / Parti socialiste suisse / Partito Socialista Svizzero,Social Democratic Party of Switzerland
Switzerland,2803,FDP,FDP.Die  Liberalen  /  PLR.Les  Libéraux- Radicaux / PLR.I Liberali,FDP.The Liberals
Switzerland,2804,CVP-PDC,Christlichdemokratische  Volkspartei  /  Parti Démocrate-Chrétien   /   Partito   Popolare Democratico,Christian Democratic Peoples Party
Switzerland,2805,Grüne/Verts,Grüne Partei der Schweiz / Les verts – Parti écologiste suisse / I Verdi – Partito ecologista svizzero,Green Party of Switzerland
Switzerland,2806,GPL-PVL,Grünliberale Partei / Parti vert'libéral / Partito Verde-Liberale,Green Liberal Party
Switzerland,2807,BDP,Bürgerlich-Demokratische Partei Schweiz / Parti bourgeois  démocratique  suisse  /  Partito borghese democratico Svizzero,Conservative  Democratic  Party  of Switzerland
Switzerland,2808,EVP-PEP,Eidgenössisch-Demokratische  Union  /  Union Démocratique Fédérale / Unione Democratica Federale,Federal    Democratic    Union    of Switzerland
Switzerland,2809,LdT,Liga der Tessiner / Ligue des Tessinois / Lega dei Ticinesi,Ticino League
Switzerland,2810,PdA,Partei der Arbeit der Schweiz / Parti Suisse du Travail - Parti Ouvrier et Populaire / Partito Svizzero del Lavoro - Partito Operaio e Popolare,Swiss Party of Labour
Switzerland,2811,MCG,Mouvement Citoyens Genevois,Geneva Citizens' Movement
United Kingdom,2901,Con,Conservatives,Conservatives
United Kingdom,2902,Lab,Labour,Labour
United Kingdom,2904,LD,Liberal Democrats,Liberal Democrats
United Kingdom,2905,DUP,Democratic Unionist party,Democratic Unionist Party
United Kingdom,2906,SF,Sinn Fein,Sinn Fein
United Kingdom,2907,Plaid,Plaid Cymru,Plaid Cymru
United Kingdom,2908,GP,Green Party,Green Party
United Kingdom,2909,SDLP,Social Democratic and Labour Party,Social Democratic and Labour Party
United Kingdom,2910,UKIP,United Kingdom Independent Party,United Kingdom Independent Party
