first_ess_id,first_ess_name,year_first,year_last,ess_ids,ess_info,partyfacts_id,country,name_short,name,name_english,technical
AT-1-2-c,ÖVP,2002,2020,AT-1-2-c AT-2-2-c AT-3-2-c AT-7-2-c AT-8-2-c AT-9-2-c AT-10-2-c,"R1 --- prtclat --- ÖVP
R2 --- prtclat --- ÖVP
R3 --- prtclaat --- ÖVP
R7 --- prtclcat --- ÖVP
R8 --- prtclcat --- ÖVP
R9 --- prtcldat --- ÖVP
R10 --- prtcldat --- ÖVP",1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT-1-3-c,FPÖ,2002,2020,AT-1-3-c AT-2-3-c AT-3-3-c AT-7-3-c AT-8-3-c AT-9-3-c AT-10-3-c,"R1 --- prtclat --- FPÖ
R2 --- prtclat --- FPÖ
R3 --- prtclaat --- FPÖ
R7 --- prtclcat --- FPÖ
R8 --- prtclcat --- FPÖ
R9 --- prtcldat --- FPÖ
R10 --- prtcldat --- FPÖ",463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT-1-4-c,Grüne,2002,2020,AT-1-4-c AT-2-4-c AT-3-5-c AT-7-5-c AT-8-5-c AT-9-5-c AT-10-5-c,"R1 --- prtclat --- Grüne
R2 --- prtclat --- Grüne
R3 --- prtclaat --- GRÜNE
R7 --- prtclcat --- Grüne
R8 --- prtclcat --- Grüne
R9 --- prtcldat --- Grüne
R10 --- prtcldat --- Grüne",1659,AUT,GRUENE,Die Grünen — Die grüne Alternative,The Greens — The Green Alternative,
AT-1-5-c,LIF,2002,2006,AT-1-5-c AT-2-5-c AT-3-6-c,"R1 --- prtclat --- LIF
R2 --- prtclat --- LIF
R3 --- prtclaat --- LIF",605,AUT,LIF,Liberales Forum,Liberal Forum,
AT-1-6-c,Other,2002,2018,AT-1-6-c AT-2-6-c AT-3-8-c AT-7-10-c AT-8-10-c AT-9-9-c,"R1 --- prtclat --- Other
R2 --- prtclat --- Other
R3 --- prtclaat --- Other
R7 --- prtclcat --- Other
R8 --- prtclcat --- Other
R9 --- prtcldat --- Other",1857,AUT,etc,other,other,7
AT-3-4-c,BZÖ,2006,2016,AT-3-4-c AT-7-4-c AT-8-4-c,"R3 --- prtclaat --- BZÖ
R7 --- prtclcat --- BZÖ
R8 --- prtclcat --- BZÖ",599,AUT,BZO,Bündnis Zukunft Österreich,Alliance for the Future of Austria,
AT-3-7-c,KPÖ,2006,2020,AT-3-7-c AT-7-6-c AT-8-6-c AT-9-6-c AT-10-6-c,"R3 --- prtclaat --- KPÖ
R7 --- prtclcat --- KPÖ
R8 --- prtclcat --- KPÖ
R9 --- prtcldat --- KPÖ
R10 --- prtcldat --- KPÖ",996,AUT,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,
AT-7-7-c,NEOS,2014,2020,AT-7-7-c AT-8-7-c AT-9-7-c AT-10-7-c,"R7 --- prtclcat --- NEOS
R8 --- prtclcat --- NEOS
R9 --- prtcldat --- NEOS
R10 --- prtcldat --- NEOS",1970,AUT,NEOS,NEOS — Das Neue Österreich,NEOS — The New Austria,
AT-7-8-c,Piratenpartei Österreich,2014,2016,AT-7-8-c AT-8-8-c,"R7 --- prtclcat --- Piratenpartei Österreich
R8 --- prtclcat --- Piratenpartei Österreich",2591,AUT,1-perc,1 percent,1 percent,11
AT-7-9-c,Team Frank Stronach,2014,2016,AT-7-9-c AT-8-9-c,"R7 --- prtclcat --- Team Frank Stronach
R8 --- prtclcat --- Team Frank Stronach",1971,AUT,TS,Team Stronach,Team Stronach,
AT-9-4-c,PILZ,2018,2020,AT-9-4-c AT-10-4-c,"R9 --- prtcldat --- PILZ
R10 --- prtcldat --- PILZ",6137,AUT,PILZ,Liste Peter Pilz,Peter Pilz List,
AT-10-8-c,GILT,2020,2020,AT-10-8-c,R10 --- prtcldat --- GILT,6138,AUT,GILT,Liste Roland Düringer — Meine Stimme GILT,My Vote Counts!,
BE-1-1-c,Agalev,2002,2020,BE-1-1-c BE-2-1-c BE-3-1-c BE-4-1-c BE-5-1-c BE-6-1-c BE-7-1-c BE-8-1-c BE-9-1-c BE-10-1-c,"R1 --- prtclbe --- Agalev
R2 --- prtclabe --- Agalev/Groen!
R3 --- prtclabe --- Agalev/Groen!
R4 --- prtclbbe --- Groen!
R5 --- prtclcbe --- Groen!
R6 --- prtclcbe --- Groen!
R7 --- prtclcbe --- Groen!
R8 --- prtclcbe --- Groen!
R9 --- prtcldbe --- Groen!
R10 --- prtclebe --- Groen!",528,BEL,AGL — Gr,Agalev — Groen,Agalev — Green,
BE-1-2-c,CD&V,2002,2020,BE-1-2-c BE-2-2-c BE-3-2-c BE-4-2-c BE-5-2-c BE-6-2-c BE-7-2-c BE-8-2-c BE-9-2-c BE-10-2-c,"R1 --- prtclbe --- CD&V
R2 --- prtclabe --- CD&V
R3 --- prtclabe --- CD&V
R4 --- prtclbbe --- CD&V
R5 --- prtclcbe --- CD&V
R6 --- prtclcbe --- CD&V
R7 --- prtclcbe --- CD&V
R8 --- prtclcbe --- CD&V
R9 --- prtcldbe --- CD&V
R10 --- prtclebe --- CD&V",604,BEL,CD&V,Christen-Democratisch en Vlaams,Christian Democrats and Flemish,
BE-1-3-c,SP.A,2002,2020,BE-1-3-c BE-2-5-c BE-3-5-c BE-4-5-c BE-5-5-c BE-6-5-c BE-7-5-c BE-8-5-c BE-9-5-c BE-10-4-c,"R1 --- prtclbe --- SP.A
R2 --- prtclabe --- SP.A
R3 --- prtclabe --- SP.A
R4 --- prtclbbe --- SP.A.
R5 --- prtclcbe --- SP.A
R6 --- prtclcbe --- SP.A
R7 --- prtclcbe --- SP.A
R8 --- prtclcbe --- SP.A
R9 --- prtcldbe --- SP.A
R10 --- prtclebe --- Sp.a (Vooruit)",1680,BEL,SPA — V,Socialistische Partij Anders — Vooruit,Socialist Party Differently — Forward,
BE-1-4-c,N-VA,2002,2020,BE-1-4-c BE-2-3-c BE-3-3-c BE-4-3-c BE-5-3-c BE-6-3-c BE-7-3-c BE-8-3-c BE-9-3-c BE-10-3-c,"R1 --- prtclbe --- N-VA
R2 --- prtclabe --- N-VA
R3 --- prtclabe --- N-VA
R4 --- prtclbbe --- N-VA
R5 --- prtclcbe --- N-VA
R6 --- prtclcbe --- N-VA
R7 --- prtclcbe --- N-VA
R8 --- prtclcbe --- N-VA
R9 --- prtcldbe --- N-VA
R10 --- prtclebe --- N-VA",36,BEL,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,
BE-1-5-c,VLD,2002,2020,BE-1-5-c BE-2-9-c BE-3-9-c BE-4-9-c BE-5-8-c BE-6-8-c BE-7-8-c BE-8-8-c BE-9-8-c BE-10-7-c,"R1 --- prtclbe --- VLD
R2 --- prtclabe --- VLD
R3 --- prtclabe --- VLD
R4 --- prtclbbe --- Open VLD
R5 --- prtclcbe --- Open VLD
R6 --- prtclcbe --- Open VLD
R7 --- prtclcbe --- Open VLD
R8 --- prtclcbe --- Open VLD
R9 --- prtcldbe --- Open VLD
R10 --- prtclebe --- Open VLD",49,BEL,PVV — OVLD,Partij voor Vrijheid en Vooruitgang — Open Vlaamse Liberalen en Democraten,Party of Liberty and Progress — Open Flemish Liberals and Democrats,
BE-1-6-c,Spirit,2002,2008,BE-1-6-c BE-2-6-c BE-3-6-c BE-4-6-c,"R1 --- prtclbe --- Spirit
R2 --- prtclabe --- Spirit
R3 --- prtclabe --- Spirit
R4 --- prtclbbe --- Vlaams - Progressieven (Spirit)",7015,BEL,SPIRIT,Sociaal-Liberale Partij,Social Liberal Party,
BE-1-7-c,PVDA,2002,2020,BE-1-7-c BE-5-6-c BE-6-6-c BE-7-6-c BE-8-6-c BE-9-6-c BE-10-5-c,"R1 --- prtclbe --- PVDA
R5 --- prtclcbe --- PVDA+
R6 --- prtclcbe --- PVDA+
R7 --- prtclcbe --- PVDA+
R8 --- prtclcbe --- PVDA+
R9 --- prtcldbe --- PVDA+
R10 --- prtclebe --- PVDA",1753,BEL,PVDA — PTB,Partij van de Arbeid van België — Parti du Travail de Belgique,Workers' Party of Belgium,
BE-1-8-c,Vlaams Blok,2002,2006,BE-1-8-c BE-2-8-c BE-3-8-c,"R1 --- prtclbe --- Vlaams Blok
R2 --- prtclabe --- Vlaams Blok
R3 --- prtclabe --- Vlaams Blok",553,BEL,VB,Vlaams Blok / Belang,Flemish Block / Interest,
BE-1-9-c,VIVANT,2002,2008,BE-1-9-c BE-2-7-c BE-3-7-c BE-4-7-c,"R1 --- prtclbe --- VIVANT
R2 --- prtclabe --- Vivant
R3 --- prtclabe --- Vivant
R4 --- prtclbbe --- Vivant",76,BEL,V,Vivant,Alive,
BE-1-11-c,ECOLO,2002,2020,BE-1-11-c BE-2-11-c BE-3-11-c BE-4-11-c BE-5-10-c BE-6-10-c BE-7-10-c BE-8-10-c BE-9-10-c BE-10-9-c,"R1 --- prtclbe --- ECOLO
R2 --- prtclabe --- Ecolo
R3 --- prtclabe --- Ecolo
R4 --- prtclbbe --- Ecolo
R5 --- prtclcbe --- Ecolo
R6 --- prtclcbe --- Ecolo
R7 --- prtclcbe --- Ecolo
R8 --- prtclcbe --- Ecolo
R9 --- prtcldbe --- Ecolo
R10 --- prtclebe --- Ecolo",1563,BEL,Ecolo,Écologistes Confédérés pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,
BE-1-12-c,CDH (PSC),2002,2020,BE-1-12-c BE-2-10-c BE-3-10-c BE-4-10-c BE-5-9-c BE-6-9-c BE-7-9-c BE-8-9-c BE-9-9-c BE-10-8-c,"R1 --- prtclbe --- CDH (PSC)
R2 --- prtclabe --- CDH
R3 --- prtclabe --- CDH
R4 --- prtclbbe --- CDH
R5 --- prtclcbe --- CDH
R6 --- prtclcbe --- CDH
R7 --- prtclcbe --- CDH
R8 --- prtclcbe --- CDH
R9 --- prtcldbe --- CDH
R10 --- prtclebe --- cdH (Les Engagés)",633,BEL,PSC — CDH,Parti Social Chrétien — Centre démocrate humaniste,Francophone Christian Social Party — Humanist Democratic Centre,
BE-1-13-c,PS,2002,2020,BE-1-13-c BE-2-14-c BE-3-14-c BE-4-14-c BE-5-13-c BE-6-13-c BE-7-13-c BE-8-13-c BE-9-13-c BE-10-11-c,"R1 --- prtclbe --- PS
R2 --- prtclabe --- PS
R3 --- prtclabe --- PS
R4 --- prtclbbe --- PS
R5 --- prtclcbe --- PS
R6 --- prtclcbe --- PS
R7 --- prtclcbe --- PS
R8 --- prtclcbe --- PS
R9 --- prtcldbe --- PS
R10 --- prtclebe --- PS",500,BEL,PS,Parti Socialiste,Socialist Party [Francophone],
BE-1-14-c,Mouvement Réformateur (MR),2002,2020,BE-1-14-c BE-2-13-c BE-3-13-c BE-4-13-c BE-5-12-c BE-6-12-c BE-7-12-c BE-8-12-c BE-9-12-c BE-10-10-c,"R1 --- prtclbe --- Mouvement Réformateur (MR)
R2 --- prtclabe --- MR
R3 --- prtclabe --- MR
R4 --- prtclbbe --- MR
R5 --- prtclcbe --- MR
R6 --- prtclcbe --- MR
R7 --- prtclcbe --- MR
R8 --- prtclcbe --- MR
R9 --- prtcldbe --- MR
R10 --- prtclebe --- MR",789,BEL,MR,Mouvement Réformateur,Reformist Movement,
BE-1-15-c,FRONT NATIONAL,2002,2016,BE-1-15-c BE-2-12-c BE-3-12-c BE-4-12-c BE-5-11-c BE-6-11-c BE-7-11-c BE-8-11-c,"R1 --- prtclbe --- FRONT NATIONAL
R2 --- prtclabe --- Front National
R3 --- prtclabe --- Front National
R4 --- prtclbbe --- Front National
R5 --- prtclcbe --- Front National
R6 --- prtclcbe --- Front National
R7 --- prtclcbe --- Front National
R8 --- prtclcbe --- Front National",191,BEL,FN,Front National,National Front,
BE-2-15-c,Other,2004,2016,BE-2-15-c BE-3-15-c BE-4-15-c BE-5-16-c BE-6-16-c BE-7-16-c BE-8-16-c,"R2 --- prtclabe --- Other
R3 --- prtclabe --- Other
R4 --- prtclbbe --- Other
R5 --- prtclcbe --- Other
R6 --- prtclcbe --- Other
R7 --- prtclcbe --- Other
R8 --- prtclcbe --- Other",1834,BEL,etc,other,other,7
BE-4-4-c,Lijst Dedecker,2008,2016,BE-4-4-c BE-5-4-c BE-6-4-c BE-8-4-c,"R4 --- prtclbbe --- Lijst Dedecker
R5 --- prtclcbe --- Lijst Dedecker
R6 --- prtclcbe --- Lijst Dedecker
R8 --- prtclcbe --- Lijst Dedecker",43,BEL,LD/LDD,"Lijst Dedecker / Libertair, Direct, Democratisch","List Dedecker / Libertarian, Direct, Democratic",
BE-4-8-c,Vlaams Belang,2008,2020,BE-4-8-c BE-5-7-c BE-6-7-c BE-7-7-c BE-8-7-c BE-9-7-c BE-10-6-c,"R4 --- prtclbbe --- Vlaams Belang
R5 --- prtclcbe --- Vlaams Belang
R6 --- prtclcbe --- Vlaams Belang
R7 --- prtclcbe --- Vlaams Belang
R8 --- prtclcbe --- Vlaams Belang
R9 --- prtcldbe --- Vlaams Belang
R10 --- prtclebe --- Vlaams Belang",1968,BEL,VB,Vlaams Belang,Flemish Interest,
BE-5-14-c,PTB,2010,2020,BE-5-14-c BE-6-14-c BE-7-14-c BE-8-14-c BE-9-14-c BE-10-12-c,"R5 --- prtclcbe --- PTB
R6 --- prtclcbe --- PTB
R7 --- prtclcbe --- PTB
R8 --- prtclcbe --- PTB
R9 --- prtcldbe --- PTB
R10 --- prtclebe --- PTB",1753,BEL,PVDA — PTB,Partij van de Arbeid van België — Parti du Travail de Belgique,Workers' Party of Belgium,
BE-6-15-c,Parti Populaire,2012,2018,BE-6-15-c BE-7-15-c BE-8-15-c BE-9-15-c,"R6 --- prtclcbe --- Parti Populaire
R7 --- prtclcbe --- Parti Populaire
R8 --- prtclcbe --- Parti Populaire
R9 --- prtcldbe --- Parti Populaire",639,BEL,Pp,Parti populaire,People's Party,
BE-9-16-c,DéFI,2018,2020,BE-9-16-c BE-10-13-c,"R9 --- prtcldbe --- DéFI
R10 --- prtclebe --- DéFI",698,BEL,FDF,Front Démocratique des Francophones / DéFI,Democratic Front of Francophones,
BG-3-1-c,BZNS,2006,2006,BG-3-1-c,R3 --- prtclbg --- BZNS,2060,BGR,BZNS,Balgarski Zemedelski Naroden Sayuz,Bulgarian Agrarian National Union,
BG-3-2-c,Balgarska sotsialisticheska partiya (BSP),2006,2020,BG-3-2-c BG-4-1-c BG-5-1-c BG-6-2-c BG-9-7-c BG-10-2-c,"R3 --- prtclbg --- Balgarska sotsialisticheska partiya (BSP)
R4 --- prtclabg --- Balgarska sotsialisticheska partiya (BSP)
R5 --- prtclbbg --- Balgarska sotsialisticheska partiya (BSP)
R6 --- prtclcbg --- Balgarska sotsialisticheska partiya (BSP)
R9 --- prtcldbg --- Balgarska sotsialisticheska partiya (BSP)
R10 --- prtclebg --- Balgarska sotsialisticheska partiya (BSP)",757,BGR,BSP,Bălgarska Socialističeska Partija,Bulgarian Socialist Party,
BG-3-4-c,Dvizhenie za prava i svobodi (DPS),2006,2020,BG-3-4-c BG-4-5-c BG-5-5-c BG-6-3-c BG-9-2-c BG-10-3-c,"R3 --- prtclbg --- Dvizhenie za prava i svobodi (DPS)
R4 --- prtclabg --- Dvizhenie za prava i svobodi (DPS)
R5 --- prtclbbg --- Dvizhenie za prava i svobodi (DPS)
R6 --- prtclcbg --- Dvizhenie za prava i svobodi (DPS)
R9 --- prtcldbg --- Dvizhenie za prava i svobodi (DPS)
R10 --- prtclebg --- Dvizhenie za prava i svobodi (DPS)",982,BGR,DPS,Dvizhenie za prava i svobodi,Movement for Rights and Freedoms,
BG-3-5-c,DSB,2006,2012,BG-3-5-c BG-4-7-c BG-5-6-c BG-6-5-c,"R3 --- prtclbg --- DSB
R4 --- prtclabg --- DSB
R5 --- prtclbbg --- DSB
R6 --- prtclcbg --- Demokrati za silna Bulgaria (DSB)",1195,BGR,DSB,Demokrati za Silna Balgarija,Democrats for a Strong Bulgaria,
BG-3-7-c,PP Ataka,2006,2020,BG-3-7-c BG-4-11-c BG-5-3-c BG-6-6-c BG-9-3-c BG-10-8-c,"R3 --- prtclbg --- PP Ataka
R4 --- prtclabg --- PP Ataka
R5 --- prtclbbg --- PP Ataka
R6 --- prtclcbg --- PP Ataka
R9 --- prtcldbg --- PP Ataka
R10 --- prtclebg --- PP Ataka",1793,BGR,ATA,Natsionalen Sǎyuz Ataka,National Union Attack,
BG-3-8-c,Natzionalno Dvijenie Simeon II (NDSV),2006,2012,BG-3-8-c BG-4-10-c BG-5-4-c BG-6-11-c,"R3 --- prtclbg --- Natzionalno Dvijenie Simeon II (NDSV)
R4 --- prtclabg --- Natzionalno Dvijenie Simeon II (NDSV)
R5 --- prtclbbg --- Natzionalno Dvijenie Simeon II (NDSV)
R6 --- prtclcbg --- Natzionalno Dvijenie Simeon II (NDSV)",374,BGR,NDSV,Nacionalno dviženie (Simeon Vtori) za stabilnost i văzhod,National Movement (Simeon II) for Stability and Progress,
BG-3-9-c,Novoto Vreme,2006,2008,BG-3-9-c BG-4-12-c,"R3 --- prtclbg --- Novoto Vreme
R4 --- prtclabg --- Novo vreme",2022,BGR,HB,Hoboto Bpeme,New Times,
BG-3-10-c,Evroroma,2006,2008,BG-3-10-c BG-4-14-c,"R3 --- prtclbg --- Evroroma
R4 --- prtclabg --- Evroroma",2055,BGR,ER,Evroroma,Euroroma,
BG-3-11-c,Gergiovden,2006,2008,BG-3-11-c BG-4-6-c,"R3 --- prtclbg --- Gergiovden
R4 --- prtclabg --- Dvijenie 'Gergiovden'",1820,BGR,DG,Dvizhenie Gergyovden,George's Day Movement,
BG-3-12-c,SDS,2006,2012,BG-3-12-c BG-4-15-c BG-5-8-c BG-6-4-c,"R3 --- prtclbg --- SDS
R4 --- prtclabg --- SDS
R5 --- prtclbbg --- SDS
R6 --- prtclcbg --- Sayuz na demokratichnite sili (SDS)",482,BGR,SDS,Sayuz na Demokratichni Sili,Union of Democratic Forces,
BG-3-14-c,Grazhdani za evropeĭsko razvitie na Bulgariya (GERB),2006,2020,BG-3-14-c BG-4-4-c BG-5-2-c BG-6-1-c BG-9-1-c BG-10-1-c,"R3 --- prtclbg --- Grazhdani za evropeĭsko razvitie na Bulgariya (GERB)
R4 --- prtclabg --- Grazhdani za evropeĭsko razvitie na Bulgariya (GERB)
R5 --- prtclbbg --- Grazhdani za evropeĭsko razvitie na Bulgariya (GERB)
R6 --- prtclcbg --- Grazhdani za evropeĭsko razvitie na Bulgariya (GERB)
R9 --- prtcldbg --- Grazhdani za evropeĭsko razvitie na Bulgariya (GERB)
R10 --- prtclebg --- Grazhdani za evropeĭsko razvitie na Bulgariya (GERB)",760,BGR,GERB,Grazhdani za evropeysko razvitie na Balgariya,Citizens for European Development of Bulgaria,
BG-3-15-c,Other,2006,2020,BG-3-15-c BG-4-18-c BG-6-19-c BG-9-13-c BG-10-12-c,"R3 --- prtclbg --- Other
R4 --- prtclabg --- Other
R6 --- prtclcbg --- Other
R9 --- prtcldbg --- Other
R10 --- prtclebg --- Other",1835,BGR,etc,other,other,7
BG-4-2-c,BND,2008,2008,BG-4-2-c,R4 --- prtclabg --- BND,8355,BGR,BND,Bulgarian New Democracy,Bulgarian New Democracy,
BG-4-3-c,VMRO-BND,2008,2020,BG-4-3-c BG-5-10-c BG-6-9-c BG-9-9-c BG-10-6-c,"R4 --- prtclabg --- VMRO-BND
R5 --- prtclbbg --- VMRO
R6 --- prtclcbg --- VMRO - BND
R9 --- prtcldbg --- VMRO
R10 --- prtclebg --- PP VMRO – Balgarsko natsionalno dvizhenie",2056,BGR,IMRO,VMRO — Bulgarsko Natsionalno Dvizhenie,IMRO — Bulgarian National Movement,
BG-4-9-c,BZNS-NS,2008,2008,BG-4-9-c,R4 --- prtclabg --- BZNS-NS,747,BGR,ZNS,Zemedelski Naroden Sǔyuz,Agrarian People's Union,
BG-4-13-c,RZS,2008,2012,BG-4-13-c BG-6-7-c,"R4 --- prtclabg --- RZS
R6 --- prtclcbg --- PP Red, zakonnost i spravedlivost (RZS)",272,BGR,RZS,"Red, zakonnost i spravedlivost","Order, Law and Justice",
BG-4-16-c,SSD,2008,2012,BG-4-16-c BG-6-14-c,"R4 --- prtclabg --- SSD
R6 --- prtclcbg --- Sayuz na svobodnite demokrati (SSD)",8033,BGR,SSD,Sajuz na svobodnite demokrati,Union of Free Democrats,
BG-5-7-c,Grajdansko dvijenie ABV,2010,2018,BG-5-7-c BG-9-10-c,"R5 --- prtclbbg --- Grajdansko dvijenie ABV
R9 --- prtcldbg --- Alternativa za bulgarsko vuzrazhdane (ABV)",3187,BGR,ABV,Alternativa za balgarsko vazrazhdane,Alternative for Bulgarian Revival,
BG-5-11-c,Partia Roma,2010,2010,BG-5-11-c,R5 --- prtclbbg --- Partia Roma,2635,BGR,1-perc,1 percent,1 percent,11
BG-5-13-c,Druga partia/koalitsia,2010,2010,BG-5-13-c,R5 --- prtclbbg --- Druga partia/koalitsia,2635,BGR,1-perc,1 percent,1 percent,11
BG-6-8-c,Partia „Balgarski sotsialdemokrati”,2012,2012,BG-6-8-c,R6 --- prtclcbg --- Partia „Balgarski sotsialdemokrati”,661,BGR,PBSD,Partiya balgarski sotsialdemokrati,Party of Bulgarian Social Democrats,
BG-6-10-c,PP „Zelena partia” (Aleksandar Karakachanov),2012,2012,BG-6-10-c,R6 --- prtclcbg --- PP „Zelena partia” (Aleksandar Karakachanov),659,BGR,ZP,Zelena Partija,Green Party of Bulgaria,
BG-6-12-c,Partia „Dvizhenie Bulgaria na grazhdanite” (M.Kuneva),2012,2012,BG-6-12-c,R6 --- prtclcbg --- Partia „Dvizhenie Bulgaria na grazhdanite” (M.Kuneva),2058,BGR,BNG,"Dvizhenie ""Bulgariya na grazhdanite""",Bulgaria for Citizens Movement,
BG-6-13-c,Grazhdansko obedinenie za realna demokratsia (S.Binev),2012,2012,BG-6-13-c,R6 --- prtclcbg --- Grazhdansko obedinenie za realna demokratsia (S.Binev),2635,BGR,1-perc,1 percent,1 percent,11
BG-6-18-c,Narodna partia „Svoboda i dostoynstvo“,2012,2012,BG-6-18-c,R6 --- prtclcbg --- Narodna partia „Svoboda i dostoynstvo“,2635,BGR,1-perc,1 percent,1 percent,11
BG-9-5-c,Bulgarska komunisticheska partiya (BKP),2018,2018,BG-9-5-c,R9 --- prtcldbg --- Bulgarska komunisticheska partiya (BKP),603,BGR,BKP,Komunisticeska Partija na Balgarija,Communist Party of Bulgaria,
BG-9-6-c,Bulgarski natsionalen suyuz - Nova demokratsiya,2018,2018,BG-9-6-c,R9 --- prtcldbg --- Bulgarski natsionalen suyuz - Nova demokratsiya,2635,BGR,1-perc,1 percent,1 percent,11
BG-9-8-c,Natsionalen front za spasenie na Balgariya (NFSB),2018,2020,BG-9-8-c BG-10-7-c,"R9 --- prtcldbg --- Natsionalen front za spasenie na Balgariya (NFSB)
R10 --- prtclebg --- NFSB-Volya",2057,BGR,NFSB,Natzionalen Front za Spasenie na Bulgaria,National Front for the Salvation of Bulgaria,
BG-9-12-c,Demokrati za otgovornost svoboda i tolerantnost (DOST),2018,2018,BG-9-12-c,R9 --- prtcldbg --- Demokrati za otgovornost svoboda i tolerantnost (DOST),5860,BGR,DOST,"Demokrati za Otgovornost, Svoboda i Tolerantnost","Democrats for Responsibility, Solidarity and Tolerance",
BG-10-4-c,Demokratichna Balgariya,2020,2020,BG-10-4-c,R10 --- prtclebg --- Demokratichna Balgariya,9083,BGR,DB,Demokratichna Bulgaria,Democratic Bulgaria,
BG-10-5-c,Ima takav narod,2020,2020,BG-10-5-c,R10 --- prtclebg --- Ima takav narod,,BGR,,,,
BG-10-9-c,Vazrazhdane,2020,2020,BG-10-9-c,R10 --- prtclebg --- Vazrazhdane,,BGR,,,,
BG-10-10-c,Izpravi se! Mutri van!,2020,2020,BG-10-10-c,R10 --- prtclebg --- Izpravi se! Mutri van!,,BGR,,,,
BG-10-11-c,Republikantsi za Balgariya,2020,2020,BG-10-11-c,R10 --- prtclebg --- Republikantsi za Balgariya,8995,BGR,RzB,Republikantsi za Balgariya,Republicans for Bulgaria,
CH-1-1-c,Radicals,2002,2008,CH-1-1-c CH-2-1-c CH-3-1-c CH-4-1-c,"R1 --- prtclch --- Radicals
R2 --- prtclch --- Radicals
R3 --- prtclach --- Radicals
R4 --- prtclbch --- Radicals",360,CHE,FDP,Freisinnig-Demokratische Partei der Schweiz,Radical Democratic Party,
CH-1-2-c,Christian Democratic Party,2002,2018,CH-1-2-c CH-2-2-c CH-3-2-c CH-4-2-c CH-5-2-c CH-6-4-c CH-7-4-c CH-8-4-c CH-9-4-c,"R1 --- prtclch --- Christian Democratic Party
R2 --- prtclch --- Christian Democratic Party
R3 --- prtclach --- Christian Democratic Party
R4 --- prtclbch --- Christian Democratic Party
R5 --- prtclcch --- Christian Democratic Party
R6 --- prtcldch --- Christian Democratic Party
R7 --- prtclech --- Christian Democratic Party
R8 --- prtclfch --- Christian Democratic Party
R9 --- prtclgch --- Christian Democratic Party",1808,CHE,KK/CVP,Katholische Konservative / Christlichdemokratische Volkspartei,Catholic Conservative / Christian Democratic Peoples Party,
