"","ctr_n","pty","abbr","name","name_english","information","ctr","pty_n","yr_first","yr_last","pv1_share_max","pv1_share_max_yr","n_election","ctr_pty","country"
"44","Anguilla",9,,"Movement for Grass Roots Democracy",,,660,"movement for grass roots democracy",2000,2000,3.7,2000,1,660000009,"AIA"
"45","Anguilla",10,,"Party for Anguilla’s Culturation and Economy",,,660,"Party for Anguillas Culturation and Economy",1989,1989,4.7,1989,1,660000010,"AIA"
"46","Antigua and Barbuda",2,"ALP","Antigua Labour Party",,,28,"antigua labour party",1951,2009,87.4,1951,13,28000002,"ATG"
"47","Antigua and Barbuda",5,"UPP","United Progressive Party",,,28,"united progressive party",1994,2009,55.5,2004,4,28000005,"ATG"
"48","Antigua and Barbuda",6,"ACLM","Antigua Caribbean Liberation Movement",,,28,"Antigua Caribbean Liberation Movement",1980,1989,2,1989,2,28000006,"ATG"
"49","Antigua and Barbuda",7,"ADLP","Antigua Democratic Labour Party",,,28,"Antigua Democratic Labour Party",1960,1960,2.6,1960,1,28000007,"ATG"
"50","Antigua and Barbuda",8,"ANP","Antigua National Party",,,28,"Antigua National Party",1956,1956,12.5,1956,1,28000008,"ATG"
"51","Antigua and Barbuda",9,"APP","Antigua People’s Party",,,28,"Antigua Peoples Party",1971,1971,3.5,1971,1,28000009,"ATG"
"52","Antigua and Barbuda",10,"ABDM","Antigua and Barbuda Democratic Movement",,,28,"Antigua and Barbuda Democratic Movement",1965,1965,20.2,1965,1,28000010,"ATG"
"53","Antigua and Barbuda",11,"BDM","Barbuda Democratic Movement",,,28,"Barbuda Democratic Movement",1960,1989,6,1960,2,28000011,"ATG"
"54","Antigua and Barbuda",17,"PLM","Progressive Labour Movement",,,28,"Progressive Labour Movement",1971,1984,57.7,1971,4,28000017,"ATG"
"55","Antigua and Barbuda",18,"UNDP","United National Democratic Party",,,28,"United National Democratic Party",1989,1989,31,1989,1,28000018,"ATG"
"56","Antigua and Barbuda",19,"UPM","United People’s Movement",,,28,"United Peoples Movement",1984,1984,23,1984,1,28000019,"ATG"
"57","Argentina",7,,"Afirmación para una República Igualitaria",,,32,"afirmación para una república igualitaria",2003,2009,3.7,2005,4,32000007,"ARG"
"58","Argentina",78,,"Movimiento por la Dignidad y la Independencia",,,32,"movimiento por la dignidad y la independencia",1991,2009,5.8,1993,10,32000078,"ARG"
"59","Argentina",168,,"Partido Humanista",,,32,"partido humanista",1985,2013,2.5,2001,12,32000168,"ARG"
"60","Argentina",171,,"Partido Intransigente",,,32,"partido intransigente",1983,2009,6.1,1985,11,32000171,"ARG"
"61","Argentina",175,,"Partido Justicialista",,,32,"partido justicialista",1983,2013,38.5,1983,15,32000175,"ARG"
"62","Argentina",211,,"Partido Socialista",,,32,"partido socialista",1983,2015,5.7,2007,11,32000211,"ARG"
"63","Argentina",223,,"Partido Unidad Federalista",,,32,"partido unidad federalista",2001,2009,2.5,2001,4,32000223,"ARG"
"64","Argentina",236,,"Unión Cívica Radical",,,32,"UNION CIVICA RADICAL (U.C.R.)",1983,2013,48,1983,15,32000236,"ARG"
"65","Argentina",237,,"Unión del Centro Democrático",,,32,"unin del centro democrtico",1983,2009,5.1,1991,13,32000237,"ARG"
"66","Argentina",242,,"Union Provincial",,,32,"union provincial",1985,2009,13.3,2009,4,32000242,"ARG"
"67","Argentina",298,,"Acuerdo Civico y Social",,,32,"ACUERDO CIVICO Y SOCIAL",2009,2009,9.5,2009,1,32000298,"ARG"
"68","Argentina",351,,"Propuesta Republicana",,,32,"propuesta republicana",2011,2013,2.1,2011,2,32000351,"ARG"
"69","Armenia",1,,"Armenian Revolutionary Federation",,,51,"Armenian Revolutionary Federation",2007,2017,7.4,2017,3,51000001,"ARM"
"70","Armenia",8,,"Dashinq Party",,,51,"Dashinq Party",2007,2007,2.9,2007,1,51000008,"ARM"
"71","Armenia",14,,"Heritage Party",,,51,"Heritage Party",2012,2012,2.3,2012,1,51000014,"ARM"
"72","Armenia",23,,"Pan-Armenian National Movement Party",,,51,"Pan-Armenian National Movement Party",2007,2012,3.8,2012,2,51000023,"ARM"
"73","Armenia",27,,"Prosperous Armenia Party",,,51,"Prosperous Armenia Party",2007,2012,17.1,2007,2,51000027,"ARM"
"74","Armenia",28,,"Republic Party",,,51,"Republic Party",2012,2012,4.2,2012,1,51000028,"ARM"
"75","Armenia",29,,"Republican Party of Armenia",,,51,"Republican Party of Armenia",2017,2017,48.2,2017,1,51000029,"ARM"
"76","Armenia",30,,"Republican Party of Armenia First Candidate",,,51,"Republican Party of Armenia First Candidate",2007,2012,35.6,2012,2,51000030,"ARM"
"77","Armenia",32,,"Rule of Law Party",,,51,"Rule of Law Party",2007,2012,7.4,2007,2,51000032,"ARM"
"78","Armenia",38,,"Armenian Renaissance Party",,,51,"Rule of Law Party",2017,2017,4.5,2017,1,51000038,"ARM"
"79","Aruba",1,"AVP","Arubaanse Volkspartij","Aruban People’s Party",,533,"arubaanse volkspartij",2005,2013,58.8,2013,3,533000001,"ABW"
"80","Aruba",2,"PDR","Democracia Real","Real Democracy",,533,"democracia real",2005,2013,8,2013,3,533000002,"ABW"
"81","Aruba",3,"MPA","Movimento Patriótico Arubano","Aruban Patriotic Movement",,533,"movimento patriÃ³tico arubano",2005,2009,4.4,2009,2,533000003,"ABW"
"82","Aruba",4,"MEP","Movimiento Electoral di Pueblo","People’s Electoral Movement",,533,"movimiento electoral di pueblo",2005,2013,45.5,2005,3,533000004,"ABW"
"83","Aruba",5,"OLA","Organisacion Liberal Arubano","Aruban Liberal Organization",,533,"organisacion liberal arubano",2005,2005,3.6,2005,1,533000005,"ABW"
"84","Aruba",6,"RED","Red Eternal Democratico","Network of Eternal Democracy",,533,"red eternal democratico",2005,2013,5,2005,3,533000006,"ABW"
"85","Aruba",7,"PPA","Partido Patriótico Arubano","Aruban Patriotic Party",,533,"partido patriÃ³tico arubano",2005,2013,2.3,2005,3,533000007,"ABW"
"86","Australia",2,,"Anti-Socialist Party",,,36,"anti-socialist party",1906,1906,42.1,1906,1,36000002,"AUS"
"87","Australia",3,,"Australia Party",,,36,"australia party",1969,1983,2.4,1972,6,36000003,"AUS"
"88","Australia",7,,"Australian Democrats",,,36,"australian democrats",1977,2013,9.4,1977,13,36000007,"AUS"
"89","Australia",8,,"Australian Labor Party",,,36,"australian labor party",1901,2016,50.9,1914,44,36000008,"AUS"
"90","Australia",9,,"Australian Labor Party (Anti-Communist)",,,36,"australian labor party (anti-communist)",1955,1955,5.1,1955,1,36000009,"AUS"
"91","Australia",10,,"Australian Labor Party (Non-Communist)",,,36,"australian labor party (non-communist)",1940,1943,4.4,1940,2,36000010,"AUS"
"92","Australia",11,,"Australian Labor Party (NSW)",,,36,"australian labor party (nsw)",1931,1934,13.5,1934,2,36000011,"AUS"
"93","Australia",20,,"Commonwealth Liberal Party",,,36,"commonwealth liberal party",1910,1914,49.5,1913,3,36000020,"AUS"
"94","Australia",21,,"Communist Party of Australia",,,36,"communist party of australia",1931,1987,2,1943,22,36000021,"AUS"
"95","Australia",25,,"Country - National Party (Qld)",,,36,"country - national party (qld)",1943,1943,4,1943,1,36000025,"AUS"
"96","Australia",27,,"Country Party",,,36,"country party",1919,1974,16.7,1937,22,36000027,"AUS"
"97","Australia",31,,"Democratic Labor Party",,,36,"democratic labor party",1958,2013,7.8,1958,16,36000031,"AUS"
"98","Australia",33,,"Emergency Committee of South Australia",,,36,"emergency committee of south australia",1931,1931,4.9,1931,1,36000033,"AUS"
"99","Australia",36,,"Free Trade Party",,,36,"free trade party",1901,1903,57.1,1901,2,36000036,"AUS"
"100","Australia",40,,"Liberal and Country League",,,36,"liberal and country league",1934,1946,4.6,1934,2,36000040,"AUS"
"101","Australia",43,,"Liberal Party",,,36,"liberal party",1922,1922,3.8,1922,1,36000043,"AUS"
"102","Australia",45,,"Liberal Party of Australia",,,36,"liberal party of australia",1946,2016,41.6,1975,27,36000045,"AUS"
"103","Australia",52,,"National Country Party of Australia",,,36,"national country party of australia",1975,1980,11.4,1975,3,36000052,"AUS"
"104","Australia",54,,"National Party of Australia",,,36,"national party of australia",1983,2016,11.4,1987,12,36000054,"AUS"
"105","Australia",58,,"Nationalist Party",,,36,"nationalist party",1917,1929,54.2,1917,6,36000058,"AUS"
"106","Australia",60,,"One Parliament for Australia",,,36,"one parliament for australia",1943,1943,2.1,1943,1,36000060,"AUS"
"107","Australia",69,,"Protectionist Party",,,36,"protectionist party",1901,1906,34,1901,3,36000069,"AUS"
"108","Australia",81,,"Social Credit",,,36,"social credit",1931,1946,4.7,1934,5,36000081,"AUS"
"109","Australia",89,,"State Labor Party (NSW)",,,36,"state labor party (nsw)",1940,1943,2.3,1940,2,36000089,"AUS"
"110","Australia",91,,"The Green Party of Australia",,,36,"the green party of australia",1983,2016,11.8,2010,10,36000091,"AUS"
"111","Australia",93,,"United Australia Party",,,36,"united australia party",1931,2013,38,1931,7,36000093,"AUS"
"112","Australia",97,,"Victorian Farmers' Union",,,36,"victorian farmers' union",1919,1919,4.2,1919,1,36000097,"AUS"
"113","Australia",99,,"Western Australian Party",,,36,"western australian party",1906,1906,2.3,1906,1,36000099,"AUS"
"114","Australia",142,,"Family First Party",,,36,"family first party",2004,2016,2.3,2010,5,36000142,"AUS"
"115","Australia",152,,"Liberal National Party of Queensland",,,36,"liberal national party of queensland",2010,2016,9.2,2013,3,36000152,"AUS"
"116","Australia",158,,"One Nation",,,36,"one nation",1998,2013,8.4,1998,6,36000158,"AUS"
"117","Australia",160,,"Palmer United Party",,,36,"palmer united party",2013,2016,5.5,2013,2,36000160,"AUS"
"118","Austria",2,,"Christlich-Soziale Partei","Christian Social Party",,40,"christlich-soziale partei",1919,1930,45,1923,4,40000002,"AUT"
"119","Austria",3,,"Demokratische Fortschrittliche Partei","Democratic Progressive Party",,40,"demokratische fortschrittliche partei",1966,1966,3.3,1966,1,40000003,"AUT"
"120","Austria",4,,"Demokratische Parteien","Democratic Party",,40,"demokratische parteien",1919,1920,2.4,1919,2,40000004,"AUT"
"121","Austria",5,,"Deutsch-nationale Parteien","German Nationals’ Parties",,40,"deutsch-nationale parteien",1919,1923,18.4,1919,3,40000005,"AUT"
"122","Austria",7,,"Die Grüne Alternative","The Green Alternative",,40,"die grüne alternative",1986,1990,4.8,1986,2,40000007,"AUT"
"123","Austria",8,,"Die Grünen-Die Grüne Alternative","Austrian Greens",,40,"die grnen Ð die grne alternative",1994,2013,12.3,2013,7,40000008,"AUT"
"124","Austria",9,,"Freiheitliche Partei Österreichs","Austrian Freedom Party",,40,"freiheitliche partei sterreichs",1956,2013,26.9,1999,18,40000009,"AUT"
"125","Austria",10,,"Heimatblock","Fatherland Bloc",,40,"heimatblock",1930,1930,6.2,1930,1,40000010,"AUT"
"126","Austria",11,,"Kommunistische Partei Österreichs","Austrian Communist Party",,40,"kommunistische partei sterreichs",1945,2013,5.4,1945,10,40000011,"AUT"
"127","Austria",12,,"Landbund für Österreich","Austrian Land League",,40,"landbund für Österreich",1927,1927,6.3,1927,1,40000012,"AUT"
"128","Austria",13,,"Liberales Forum","Liberal Forum",,40,"liberales forum",1994,2008,6,1994,5,40000013,"AUT"
"129","Austria",14,,"Nationaler Wirtschaftsblock und Landbund","National Business Bloc and Land League",,40,"nationaler wirtschaftsblock und landbund",1930,1930,11.6,1930,1,40000014,"AUT"
"130","Austria",15,,"Österreichische Volkspartei","Austrian People’s Party",,40,"sterreichische volkspartei",1945,2013,49.9,1945,21,40000015,"AUT"
"131","Austria",16,,"Sozialdemokratische Arbeiterpartei","Social Democratic Workers' Party",,40,"sozialdemokratische arbeiterpartei",1919,1930,42.3,1927,5,40000016,"AUT"
"132","Austria",17,,"Sozialdemokratische Partei Österreichs","Austrian Social Democratic Party",,40,"sozialdemokratische partei sterreichs",1995,2013,38.1,1995,6,40000017,"AUT"
"133","Austria",18,,"Sozialistische Partei Österreichs","Austrian Socialist Party",,40,"sozialistische partei Österreichs",1945,1994,51,1979,15,40000018,"AUT"
"134","Austria",19,,"Verband der Unabhängigen","League of Independents",,40,"verband der unabhängigen",1949,1953,11.7,1949,2,40000019,"AUT"
"135","Austria",20,,"Vereinte Grüne Österreichs","Austrian United Greens",,40,"vereinte grüne Österreichs",1990,1990,2,1990,1,40000020,"AUT"
"136","Austria",21,,"Bündnis Zukunft Österreich","Alliance for the Future of Austria",,40,"bndnis zukunft sterreich",2006,2013,10.7,2008,3,40000021,"AUT"
"137","Austria",32,,"Liste Dr. Martin – Für Demokratie, Kontrolle, Gerechtigkeit","Dr. Martin's List – For Democracy, Control, Justice",,40,"liste dr. martin Ð fr demokratie, kontrolle, gerechtigkeit",2006,2006,2.8,2006,1,40000032,"AUT"
"138","Austria",44,,"NEOS – Das Neue Österreich und Liberales Forum","NEOS - The New Austria and Liberal Forum",,40,"NEOS",2013,2013,4.8,2013,1,40000044,"AUT"
"139","Austria",46,,"Team Stronach für Österreich","Team Frank Stronach",,40,"FRANK",2013,2013,5.8,2013,1,40000046,"AUT"
"140","Azerbaijan",8,,"Azərbaycan Ümid Partiyası","Azerbaijan Hope Party",,31,"Azerbaijan Hope Party",2010,2016,7.8,2016,3,31000008,"AZE"
"141","Azerbaijan",30,,"Müsavat Partiyası","Equality Party",,31,"Equality Party",2010,2015,2,2010,2,31000030,"AZE"
"142","Azerbaijan",32,,"Yeni Azərbaycan Partiyası","New Azerbaijan Party",,31,"New Azerbaijan Party",2010,2016,85.6,2016,3,31000032,"AZE"
"143","Bahamas",3,"C+L","Coalition & Labour",,,44,"coalition & labour",2002,2002,2.2,2002,1,44000003,"BHS"
"144","Bahamas",4,"FNM","Free National Movement",,,44,"free national movement",1997,2012,57.6,1997,4,44000004,"BHS"
"145","Bahamas",6,"PLP","Progressive Liberal Party",,,44,"progressive liberal party",1997,2012,51.8,2002,4,44000006,"BHS"
"146","Bahamas",8,"DNA","Democratic National Alliance",,,44,"Democratic National Alliance",2012,2012,8.6,2012,1,44000008,"BHS"
"147","Bahrain",1,,"Al Asalah Islamic Society",,,48,"Al Asalah Islamic Society",2010,2014,6.2,2014,2,48000001,"BHR"
"148","Bahrain",2,,"Al Menbar National Islamic Tribune Association",,,48,"Al Menbar National Islamic Tribune Association",2010,2014,6,2014,2,48000002,"BHR"
"149","Bahrain",7,,"Al Wefaq National Islamic Society",,,48,"Al Wefaq National Islamic Society",2010,2010,42.3,2010,1,48000007,"BHR"
"150","Bahrain",9,,"Al-Minbar Al-Taqdimy Progressive Democratic Tribune",,,48,"Al-Minbar Al-Taqdimy Progressive Democratic Tribune",2010,2010,3.3,2010,1,48000009,"BHR"
"151","Bahrain",13,,"National Unity Gathering",,,48,"National Unity Gathering",2014,2014,2.1,2014,1,48000013,"BHR"
"152","Bahrain",14,,"Wa’ad National Democratic Action Society",,,48,"Wa'ad National Democratic Action Society",2010,2010,4,2010,1,48000014,"BHR"
"153","Bangladesh",3,,"Awami League",,,50,"bangladesh awami league",1973,2008,73,1973,5,50000003,"BGD"
"154","Bangladesh",10,,"Bangladesh Jamaytee Islami",,,50,"bangladesh jamaytee islami",1991,2008,12.3,1991,3,50000010,"BGD"
"155","Bangladesh",26,,"Bangladesh National Awami Party - Bangladesh NAP",,,50,"bangladesh national awami party - bangladesh nap",1973,2008,5.3,1973,4,50000026,"BGD"
"156","Bangladesh",28,,"Bangladesh Nationalist Party",,,50,"bangladesh nationalist party",1991,2008,41.4,2001,4,50000028,"BGD"
"157","Bangladesh",56,,"Jatiya Party",,,50,"jatiya party",1991,2008,16.4,1996,4,50000056,"BGD"
"158","Bangladesh",61,,"Jatiya Samajtantric Dal – Jasad",,,50,"jatiya samajtantric dal - jasad",1973,2008,6.7,1973,3,50000061,"BGD"
"159","Bangladesh",69,,"National Awami Party (Muzaffar)",,,50,"national awami party (muzaffar group)",1973,1991,8.5,1973,2,50000069,"BGD"
"160","Bangladesh",175,,"Jamat-E-Islami Bangladesh",,,50,"Jamat-E-Islami Bangladesh",1996,1996,8.6,1996,1,50000175,"BGD"
"161","Barbados",1,,"Barbados Labour Party",,,52,"barbados labour party",1966,2013,64.9,1999,11,52000001,"BRB"
"162","Barbados",2,,"Barbados National Party",,,52,"barbados national party",1966,1966,10.1,1966,1,52000002,"BRB"
"163","Barbados",3,,"Democratic Labour Party",,,52,"democractic labour party",1966,2013,59.4,1986,11,52000003,"BRB"
"164","Barbados",4,,"National Democratic Party",,,52,"national democratic party",1994,1994,12.8,1994,1,52000004,"BRB"
"165","Belgium",1,,"Agalev","Live Differently, Greens (Flemish)",,56,"agalev",1981,2003,7,1999,7,56000001,"BEL"
"166","Belgium",2,,"Bloc catholique belge","Belgian Catholic Bloc",,56,"bloc catholique belge",1939,1939,32.7,1939,1,56000002,"BEL"
"167","Belgium",3,,"Cartel Van den Boeynants","Van de Boeynants Cartel",,56,"cartel van den boeynants",1968,1968,4.6,1968,1,56000003,"BEL"
"168","Belgium",4,,"Christelijke vlaamse volksunie","Christian Flemish People’s Party",,56,"christelijke vlaamse volksunie",1954,1954,2.2,1954,1,56000004,"BEL"
"169","Belgium",5,,"Christelijke volkspartij","Christian People’s Party (Flemish)",,56,"Christian People's Party (CVP)",1968,1999,23.6,1977,11,56000005,"BEL"
"170","Belgium",6,,"Ecolo","Ecologist Confederation for the Organization of New Struggles (Walloon)",,56,"ecolo",1981,2014,7.4,1999,10,56000006,"BEL"
"171","Belgium",8,,"Front national","National Front",,56,"National Front (FN)",1995,2010,2.3,1995,5,56000008,"BEL"
"172","Belgium",9,,"Frontpartij","Front Party",,56,"frontpartij",1919,1932,5.9,1929,5,56000009,"BEL"
"173","Belgium",10,,"Parti communiste de Belgique-Kommunistische partij van België","Communist Party of Belgium",,56,"parti communiste de belgique-kommunistische partij van belgi",1925,1978,12.7,1946,17,56000010,"BEL"
"174","Belgium",11,,"Parti de la liberté et des réformes de Wallonie","Party of Reforms and Freedom for Wallonia",,56,"parti de la liberté et des réformes de wallonie",1977,1978,7.8,1977,2,56000011,"BEL"
"175","Belgium",12,,"Parti de la liberté et du progrès","Party of Liberty and Progress",,56,"parti de la liberté et du progrès",1974,1974,6,1974,1,56000012,"BEL"
"176","Belgium",13,,"Parti de la liberté et du progrès-Partij voor vrijheid en vooruitgang","Party of Liberty and Progress",,56,"parti de la liberté et du progrès-partij voor vrijheid en vo",1961,1971,21.6,1965,4,56000013,"BEL"
"177","Belgium",14,,"Parti libéral-Liberale partij","Liberal Party",,56,"parti libéral-liberale partij",1847,1958,65.4,1868,49,56000014,"BEL"
"178","Belgium",15,,"Parti ouvrier belge-Belgische werkliedenpartij","Belgian Workers’ Party",,56,"parti ouvrier belge-belgische werkliedenpartij",1894,1939,39.4,1925,18,56000015,"BEL"
"179","Belgium",16,,"Parti réformateur libéral","Liberal Reform Party (Walloon)",,56,"parti réformateur libéral",1981,1991,11.3,1985,4,56000016,"BEL"
"180","Belgium",17,,"Parti social-chrétien","Social-Christian Party (Walloon)",,56,"Social Christian Party (PSC)",1968,1999,12.6,1978,11,56000017,"BEL"
"181","Belgium",18,,"Parti social-chrétien-Christelijke volkspartij","Social-Christian Party and Christian People’s Party",,56,"parti social-chrétien-christelijke volkspartij",1946,1965,47.7,1950,7,56000018,"BEL"
"182","Belgium",19,,"Parti socialiste","Socialist Party (Walloon)",,56,"Socialist Party (PS)",1978,2014,16.8,1987,11,56000019,"BEL"
"183","Belgium",20,,"Parti socialiste belge-Belgische socialistische partij","Belgian Socialist Party",,56,"parti socialiste belge-belgische socialistische partij",1946,1977,37.3,1954,11,56000020,"BEL"
"184","Belgium",21,,"Partij voor vrijheid en vooruitgang","Party of Liberty and Progress (Flemish)",,56,"partij voor vrijheid en vooruitgang",1974,1991,12,1991,7,56000021,"BEL"
"185","Belgium",23,,"Partisans de Daens (Parti démocrate-chrétien)-Daensisten (Christene volkspartij)","Daensist Partisans (Christian Democrat Party)",,56,"partisans de daens (parti démocrate-chrétien)-daensisten (ch",1894,1914,3,1900,11,56000023,"BEL"
"186","Belgium",24,,"Radicale omvormers en sociale strijders voor een eerlijke maatschappij","Radical Change and Social Fighters for an Honest Society",,56,"radicale omvormers en sociale strijders voor een eerlijke ma",1991,1991,3.2,1991,1,56000024,"BEL"
"187","Belgium",25,,"Rex","Rexists",,56,"rex",1936,1939,11.5,1936,2,56000025,"BEL"
"188","Belgium",26,,"Socialistische partij","Socialist Party (Flemish)",,56,"socialistische partij",1978,1999,13.7,1987,7,56000026,"BEL"
"189","Belgium",27,,"Union catholique belge","Belgian Catholic Union",,56,"union catholique belge",1847,1936,56,1902,43,56000027,"BEL"
"190","Belgium",28,,"Union démocratique pour le respect du travail-Respect voor arbeid en demokratie","Democratic Union for the Respect of Labour",,56,"union démocratique pour le respect du travail-respect voor a",1981,1987,5.5,1981,3,56000028,"BEL"
"191","Belgium",29,,"Vlaamse blok","Flemish Bloc",,56,"Flemish Bloc (VB)",1991,2003,11.7,2003,4,56000029,"BEL"
