"country_short","cnty","party_name","year_first","year_last","share_year","vote_share","seats","TotalSeats","party_id"
"ALB","Albania","Alliance Party for Solidarity and Welfare","2005",2005,"2005",0.2,0,140,"ALBP4"
"ALB","Albania","New Democratic Party","2005",2005,"2005",3.7,4,140,"ALBP44"
"ALB","Albania","Social Democracy Party of Albania","2005",2005,"2005",2.4,2,140,"ALBP45"
"ALB","Albania","Albanian Immigration Party","2001",2005,"2001",0,0,140,"ALBP46"
"ALB","Albania","Albania Force Party","2001",2001,"2001",0,0,140,"ALBP47"
"ALB","Albania","Green Party of Albania","2005",2005,"2005",0,0,140,"ALBP48"
"ALB","Albania","Albanian Democratic Union-Alliance for Freedom Justice and Welfare","2005",2005,"2005",0.3,0,140,"ALBP5"
"ALB","Albania","Party of United Communists of Albania","2001",2001,"2001",0.2,0,140,"ALBP50"
"ALB","Albania","National Conservative Party of Albania","2001",2001,"2001",0,0,140,"ALBP51"
"ALB","Albania","Albanian Communist Party","2001",2005,"2001",0.8,0,140,"ALBP52"
"ALB","Albania","8th November Communist Party of Albania","2005",2005,"2005",0,0,140,"ALBP53"
"ALB","Albania","Peasant Connection Party","2001",2001,"2001",0,0,140,"ALBP54"
"ALB","Albania","Albanian National League Party","2001",2001,"2001",0.1,0,140,"ALBP55"
"ALB","Albania","Albanian Democratic Monarchy Movement Party","2001",2005,"2001",0.1,0,140,"ALBP57"
"ALB","Albania","Albanian Workers Movement Party","2001",2001,"2001",0.3,0,140,"ALBP58"
"ALB","Albania","Liberal Democrat Party","2005",2005,"2005",0.5,1,140,"ALBP6"
"ALB","Albania","Centralist People's Welfare Party","2001",2001,"2001",0,0,140,"ALBP62"
"ALB","Albania","Albanian National Reconciliation Party","2001",2001,"2001",0,0,140,"ALBP63"
"ALB","Albania","Labor Party of Albania","2005",2005,"2005",0.5,0,140,"ALBP64"
"ALB","Albania","Republican Party","2005",2005,"2005",10,11,140,"ALBP65"
"ALB","Albania","Albanian Party of Democratic Reforms","2001",2005,"2001",0.1,0,140,"ALBP66"
"ALB","Albania","Linking Blerta Albanian Party","2005",2005,"2005",0.1,0,140,"ALBP7"
"ALB","Albania","Social Democratic Party","2001",2005,"2005",7,7,140,"ALBP70"
"ALB","Albania","Albanian Environmentalist Party","2001",2001,"2001",0,0,140,"ALBP72"
"ALB","Albania","Party of Albanian National Recognition","2005",2005,"2005",0,0,140,"ALBP73"
"ALB","Albania","Albanian National Security Party","2005",2005,"2005",0,0,140,"ALBP74"
"ALB","Albania","Independent","2001",2005,"2001",1.4,1,140,"ALBP75"
"ALB","Albania","No Affiliation/No Label","2005",2005,"2005",0,0,140,"ALBP76"
"ALB","Albania","Democratic Movement for Integration","2005",2005,"2005",0,0,140,"ALBP8"
"ALB","Albania","Movement of Human Rights and Freedoms Party","2005",2005,"2005",0.3,0,140,"ALBP9"
"AUS","Australia","[CEG]","1993",1993,"1993",0,0,147,"AUSP10"
"AUS","Australia","Pensioner and Citizen Initiated Referendum Alliance","1996",1996,"1996",0,0,148,"AUSP12"
"AUS","Australia","Northern Territory Country Liberal Party","1993",2001,"1996",0.4,1,148,"AUSP13"
"AUS","Australia","CTA Child Protection (Elaine Nile) Party-1998; Call to Australia (Fred Nile) Group - 1993 and 1996","1993",2001,"2001",0.6,0,150,"AUSP14"
"AUS","Australia","Australian Democrats","1993",2001,"1996",6.8,0,148,"AUSP15"
"AUS","Australia","Independent EFF","1993",1998,"1993",0.1,0,147,"AUSP19"
"AUS","Australia","The Eastern Suburb Greens","1993",1993,"1993",0,0,147,"AUSP21"
"AUS","Australia","ACT Green Democratic Alliance","1993",1993,"1993",0,0,147,"AUSP23"
"AUS","Australia","Greens in Lowe","1993",1993,"1993",0,0,147,"AUSP24"
"AUS","Australia","Australian Greens","1993",2001,"2001",4.4,0,150,"AUSP25"
"AUS","Australia","Grey Power","1993",1996,"1996",0,0,148,"AUSP26"
"AUS","Australia","The Green Party South Australia","1993",1993,"1993",0,0,147,"AUSP27"
"AUS","Australia","The Greens (WA) Inc","1993",2001,"2001",0.6,0,150,"AUSP28"
"AUS","Australia","Save ADI Site Party","2001",2001,"2001",0.1,0,150,"AUSP29"
"AUS","Australia","Australians Against Future Immigration","1993",2001,"1996",0.7,0,148,"AUSP3"
"AUS","Australia","Independent","1993",2001,"2001",2.7,3,150,"AUSP30"
"AUS","Australia","Liberal Party of Australia","1993",2001,"1996",38.7,76,148,"AUSP31"
"AUS","Australia","Natural Law Party","1993",1998,"1993",0.7,0,147,"AUSP33"
"AUS","Australia","National Party of Australia","1993",2001,"1996",8.2,18,148,"AUSP34"
"AUS","Australia","Outdoor Recreation Party","2001",2001,"2001",0,0,150,"AUSP35"
"AUS","Australia","Queensland Greens","1993",1993,"1993",0.6,0,147,"AUSP36"
"AUS","Australia","Richmond/Clarence Greens","1993",1996,"1996",0,0,148,"AUSP37"
"AUS","Australia","Rex Connor (Snr) Labor Party","1993",1993,"1993",0.1,0,147,"AUSP38"
"AUS","Australia","No Goods and Services Tax Party","2001",2001,"2001",0.1,0,150,"AUSP39"
"AUS","Australia","Non-Custodial Parents Party","2001",2001,"2001",0,0,150,"AUSP40"
"AUS","Australia","Liberals for Forest","2001",2001,"2001",0.1,0,150,"AUSP41"
"AUS","Australia","Tasmanian Greens","1993",1996,"1996",0.2,0,148,"AUSP42"
"AUS","Australia","Unknown","1993",2001,"1993",0.5,0,147,"AUSP43"
"AUS","Australia","Western Suburbs Greens","1993",1993,"1993",0,0,147,"AUSP44"
"AUS","Australia","Australian Shooters Party","1998",1998,"1998",0.1,0,148,"AUSP45"
"AUS","Australia","Republican Party of Australia","1996",1996,"1996",0,0,148,"AUSP48"
"AUS","Australia","Tasmania Senate Team","1998",1998,"1998",0,0,148,"AUSP49"
"AUS","Australia","Australia's Indigenous Peoples Party","1993",1996,"1996",0.1,0,148,"AUSP5"
"AUS","Australia","[ACH]","1996",1998,"1998",0,0,148,"AUSP52"
"AUS","Australia","The Australian Greens - Victoria","1996",1996,"1996",0.5,0,148,"AUSP53"
"AUS","Australia","Australian Women's Party","1996",1998,"1996",0.1,0,148,"AUSP54"
"AUS","Australia","No Aircraft Noise","1996",1998,"1996",0.2,0,148,"AUSP55"
"AUS","Australia","One Australia Party","1996",1996,"1996",0,0,148,"AUSP56"
"AUS","Australia","Reclaim Australia: Reduce Immigration","1996",1996,"1996",0.1,0,148,"AUSP57"
"AUS","Australia","Australian Labor Party","1993",2001,"1993",44.9,80,147,"AUSP6"
"AUS","Australia","Abolish Child Support/Family Court Party","1998",1998,"1998",0,0,148,"AUSP62"
"AUS","Australia","Australian Reform Party","1998",1998,"1998",0,0,148,"AUSP63"
"AUS","Australia","Citizens Electoral Council of Australia","1998",2001,"2001",0.2,0,150,"AUSP64"
"AUS","Australia","Democratic Socialist Electoral League","1998",1998,"1998",0.1,0,148,"AUSP65"
"AUS","Australia","Family Law Reform Party","1998",1998,"1998",0,0,148,"AUSP66"
"AUS","Australia","Australia First Party","1998",1998,"1998",0.3,0,148,"AUSP67"
"AUS","Australia","Pauline Hanson's One Nation","1998",2001,"1998",8.4,0,148,"AUSP68"
"AUS","Australia","Progressive Labour Party","1998",2001,"1998",0.1,0,148,"AUSP69"
"AUS","Australia","Abolish Self-Government Coalition","1993",1993,"1993",0,0,147,"AUSP7"
"AUS","Australia","Socialist Equality Party","1998",1998,"1998",0,0,148,"AUSP70"
"AUS","Australia","Tasmania First Party","1998",2001,"2001",0,0,150,"AUSP71"
"AUS","Australia","Unity - Say No To Hanson","1998",2001,"1998",0.8,0,148,"AUSP72"
"AUS","Australia","[CLA]","2001",2001,"2001",0,0,150,"AUSP73"
"AUS","Australia","The Confederate Action Party of Australia","1993",1993,"1993",0.6,0,147,"AUSP8"
"AUS","Australia","The Fishing Party","2001",2001,"2001",0,0,150,"AUSP80"
"AUS","Australia","Help End Marijuana Prohibition","2001",2001,"2001",0,0,150,"AUSP81"
"AUS","Australia","Lower Excise Fuel and Beer Party","2001",2001,"2001",0,0,150,"AUSP82"
"AUS","Australia","Central Coast Green Party","1993",1996,"1996",0,0,148,"AUSP9"
"AUT","Austria","Austrian People's Party","1945",2008,"1995",60.3,32,97,"AUTP1"
"AUT","Austria","Economic Party of the Property Owner","1949",1949,"1949",0,0,144,"AUTP10"
"AUT","Austria","Austrian Patriotic Union","1953",1956,"1956",0,0,147,"AUTP11"
"AUT","Austria","Austrian People's Opposition","1953",1953,"1953",5.3,1,141,"AUTP12"
"AUT","Austria","Bipartisan Agreement of the Center","1953",1953,"1953",0.1,0,141,"AUTP13"
"AUT","Austria","Christian Democratic Party","1953",1953,"1953",0.1,0,141,"AUTP14"
"AUT","Austria","Christian Socialist Party","1953",1953,"1953",0.1,0,141,"AUTP15"
"AUT","Austria","Free Democrats Electoral Party","1953",1953,"1953",0.1,0,141,"AUTP16"
"AUT","Austria","Federation of the Austrian Monarchists","1953",1953,"1953",0,0,141,"AUTP17"
"AUT","Austria","Austrian National Republicans and Independents","1953",1953,"1953",0,0,141,"AUTP18"
"AUT","Austria","Freedom Party of Austria","1956",2008,"1995",27,17,97,"AUTP19"
"AUT","Austria","Austrian Socialist Party","1945",2008,"1995",81.1,48,97,"AUTP2"
"AUT","Austria","Communist and Socialist List","1956",1962,"1956",4.4,1,147,"AUTP20"
"AUT","Austria","Free Labor Movement of Austria","1956",1956,"1956",0,0,147,"AUTP21"
"AUT","Austria","Party of Reason","1956",1956,"1956",0,0,147,"AUTP22"
"AUT","Austria","Ergokratische Party","1956",1956,"1956",0,0,147,"AUTP23"
"AUT","Austria","Austrian Middle Class Party","1956",1956,"1956",0,0,147,"AUTP24"
"AUT","Austria","Parliamentary Representation of Wahlverhinderten","1956",1956,"1956",0,0,147,"AUTP25"
"AUT","Austria","Federation of Democratic Socialists","1959",1959,"1959",0.1,0,145,"AUTP26"
"AUT","Austria","European Federalist Party of Austria","1962",1962,"1962",0.5,0,0,"AUTP27"
"AUT","Austria","Democratic Progressive Party","1966",1970,"1966",3.3,0,151,"AUTP28"
"AUT","Austria","Communists and Left Socialists","1966",1966,"1966",0.4,0,151,"AUTP29"
"AUT","Austria","Austrian Communist Party","1945",2008,"1995",46.6,0,97,"AUTP3"
"AUT","Austria","Liberal Party of Austria","1966",1966,"1966",0,0,151,"AUTP30"
"AUT","Austria","Austrian Marxist-Leninist","1966",1966,"1966",0,0,151,"AUTP31"
"AUT","Austria","National Democratic Party","1970",1970,"1970",0.1,0,151,"AUTP32"
"AUT","Austria","Adolf Glantshnig-For Humanity, Justice, and Freedom in Austria (Adolf Glantschnig-Fur Menschlichkeit, Recht, und Freiheit in Osterreich","1970",1970,"1970",0,0,151,"AUTP33"
"AUT","Austria","Offensive Left","1971",1971,"1971",0,0,167,"AUTP34"
"AUT","Austria","Animal Rights Party","2008",2008,"2008",0,0,72,"AUTP35"
"AUT","Austria","Marxist Revolutionary Group","1975",1975,"1975",0,0,171,"AUTP36"
"AUT","Austria","Christian Social Consortium","1979",1979,"1979",0,0,169,"AUTP37"
"AUT","Austria","United Greens of Austria","1983",1983,"1983",1.9,0,164,"AUTP38"
"AUT","Austria","Austrian Alternative List","1983",1983,"1983",1.4,0,164,"AUTP39"
"AUT","Austria","Austrian Democratic Party","1945",1949,"1945",0.2,0,157,"AUTP4"
"AUT","Austria","Austrian Party","1983",1983,"1983",0.1,0,164,"AUTP40"
"AUT","Austria","Stop Foreigners Movement","1983",1983,"1983",0.1,0,164,"AUTP41"
"AUT","Austria","Green Alternative-Freda Meissner Blau List","1986",1986,"1986",4.8,5,162,"AUTP42"
"AUT","Austria","Green Alternative-Democratic List","1986",1986,"1986",0.1,0,162,"AUTP43"
"AUT","Austria","Carinthian Green-United Greens of Austria-VOGA-Independent Councils","1986",1986,"1986",0,0,162,"AUTP44"
"AUT","Austria","Action List """"Mirreicht's""""","1986",1986,"1986",0.2,0,162,"AUTP45"
"AUT","Austria","Green Alternatie/Green in Parliament","1990",2008,"2006",11,2,84,"AUTP46"
"AUT","Austria","United Greens of Austria-Environmental Citizens' Forum","1990",1990,"1990",2,0,158,"AUTP47"
"AUT","Austria","Association of the Insured","1990",1990,"1990",0.8,0,158,"AUTP48"
"AUT","Austria","Christian Voters' Association","1990",2002,"1994",0.2,0,91,"AUTP49"
"AUT","Austria","Austrian Communist Party-Left Socialists","1949",1949,"1949",5.1,2,144,"AUTP5"
"AUT","Austria","Christian Democratic Party","1990",1990,"1990",0.1,0,158,"AUTP50"
"AUT","Austria","Electoral Platform of the Horrors of Austria","1990",1990,"1990",0.1,0,158,"AUTP51"
"AUT","Austria","Independent","1975",1994,"1990",0.1,0,158,"AUTP52"
"AUT","Austria","Liberal Forum-Heide Schmidt","1994",1999,"1995",11.7,0,97,"AUTP53"
"AUT","Austria","United Greens of Austria-Adi Pinter List","1994",1994,"1994",0.1,0,91,"AUTP54"
"AUT","Austria","Citizens' Greens of Austria-Free Democrats-The Liberal Association of the Insured Citizens' List and Independents","1994",1994,"1994",0.1,0,91,"AUTP55"
"AUT","Austria","No-Citizens' Initiative Against the Sale of Austria","1994",1994,"1994",0.9,0,91,"AUTP56"
"AUT","Austria","Austrian Natural Law Party","1994",1995,"1995",0.1,0,97,"AUTP57"
"AUT","Austria","The Best Party","1994",1995,"1995",0,0,97,"AUTP58"
"AUT","Austria","Citizens' Initiative Against the EU-Exit Now","1995",1995,"1995",2.3,0,97,"AUTP59"
"AUT","Austria","Electoral Party of Independents","1949",1953,"1949",11.7,11,144,"AUTP6"
"AUT","Austria","The Independent-Lugner List","1999",1999,"1999",1,0,102,"AUTP60"
"AUT","Austria","No to NATO and EU-Austrian Neutral Citizens' Initiative","1999",1999,"1999",0.4,0,102,"AUTP61"
"AUT","Austria","The Democrats","2002",2002,"2002",0,0,105,"AUTP62"
"AUT","Austria","Socialist Left Party","2002",2002,"2002",0.1,0,105,"AUTP63"
"AUT","Austria","Liberals (Liberal Forum)","2002",2008,"2008",2.1,0,72,"AUTP64"
"AUT","Austria","The Libertarians-List Westenthaler-Alliance for the Future of Austria","2006",2006,"2006",4.1,0,84,"AUTP65"
"AUT","Austria","Dr. Martin List - For Democracy, Control, Justice","2006",2006,"2006",2.8,0,84,"AUTP66"
"AUT","Austria","IVE Initiative 2000","2006",2006,"2006",0,0,84,"AUTP67"
"AUT","Austria","EU Withdrawal-Neutral Free Austria","2006",2006,"2006",0.2,0,84,"AUTP68"
"AUT","Austria","Strong List","2006",2008,"2006",0,0,84,"AUTP69"
"AUT","Austria","Democratic Union","1949",1949,"1949",0.3,0,144,"AUTP7"
"AUT","Austria","Certainly-Absolutely, Independent, Franz Radinger","2006",2006,"2006",0,0,84,"AUTP70"
"AUT","Austria","Socialist Left Party, List Against Capitalism and Racism","2006",2006,"2006",0,0,84,"AUTP71"
"AUT","Austria","Alliance for the Future of Austria","2008",2008,"2008",10.7,4,72,"AUTP72"
"AUT","Austria","Citizens' Forum Austria Fritz Dinkhauser's List","2008",2008,"2008",1.8,0,72,"AUTP73"
"AUT","Austria","The Christians","2008",2008,"2008",0.6,0,72,"AUTP74"
"AUT","Austria","Independent Citizens' Initiative Save Austria","2008",2008,"2008",0.7,0,72,"AUTP75"
"AUT","Austria","Left Tirol","2008",2008,"2008",0,0,72,"AUTP76"
"AUT","Austria","Dipl.-Ing. Karlheinz Klement","2008",2008,"2008",0,0,72,"AUTP77"
"AUT","Austria","Left (Linke)","2008",2008,"2008",0,0,72,"AUTP78"
"AUT","Austria","Fourth Party","1949",1949,"1949",0.2,0,144,"AUTP8"
"AUT","Austria","Democratic Front of Working People","1949",1949,"1949",0,0,144,"AUTP9"
"BEL","Belgium","CVP","1978",1999,"1978",26.1,57,209,"BELP1"
"BEL","Belgium","PCB","1978",1985,"1978",1.7,0,209,"BELP10"
"BEL","Belgium","GPR","1987",1987,"1987",0,0,212,"BELP100"
"BEL","Belgium","ROSSEM","1991",1991,"1991",3.2,3,212,"BELP101"
"BEL","Belgium","ROSSUM","1991",1991,"1991",0,0,212,"BELP102"
"BEL","Belgium","VD","1991",1991,"1991",0.1,0,212,"BELP103"
"BEL","Belgium","REGEBO","1991",1991,"1991",0.2,0,212,"BELP104"
"BEL","Belgium","BEB","1991",1995,"1991",0.3,0,212,"BELP105"
"BEL","Belgium","VCD/PCS","1991",1991,"1991",0,0,212,"BELP106"
"BEL","Belgium","FDF/PPW","1991",1991,"1991",1.5,3,212,"BELP107"
"BEL","Belgium","DVA","1991",1991,"1991",0,0,212,"BELP108"
"BEL","Belgium","PLI/POL","1991",1991,"1991",0,0,212,"BELP109"
"BEL","Belgium","AMADA","1978",1985,"1978",0.7,0,209,"BELP11"
"BEL","Belgium","PVCS","1991",1991,"1991",0,0,212,"BELP110"
"BEL","Belgium","PC","1991",2007,"1999",0.4,0,150,"BELP111"
"BEL","Belgium","SNW","1991",1991,"1991",0,0,212,"BELP112"
"BEL","Belgium","NV","1991",1991,"1991",0,0,212,"BELP113"
"BEL","Belgium","SRD","1991",1991,"1991",0,0,212,"BELP114"
"BEL","Belgium","AGIR","1991",1995,"1995",0.3,0,150,"BELP115"
"BEL","Belgium","UCD","1991",1991,"1991",0,0,212,"BELP116"
"BEL","Belgium","FNBB","1991",1991,"1991",0,0,212,"BELP117"
"BEL","Belgium","OATNB","1991",1991,"1991",0,0,212,"BELP118"
"BEL","Belgium","VLD","1995",2003,"2003",15.4,25,150,"BELP119"
"BEL","Belgium","AGALEV","1978",2003,"1999",7,9,150,"BELP12"
"BEL","Belgium","BANAAN","1995",1995,"1995",0.7,0,150,"BELP120"
"BEL","Belgium","W.O.W.","1995",1999,"1995",0.4,0,150,"BELP121"
"BEL","Belgium","WOW","1995",1995,"1995",0.4,0,150,"BELP122"
"BEL","Belgium","PVAA/AE","1995",1999,"1995",0.3,0,150,"BELP123"
"BEL","Belgium","WIT","1995",1999,"1995",0,0,150,"BELP124"
"BEL","Belgium","PRL/FDF","1995",1999,"1995",10.3,18,150,"BELP125"
"BEL","Belgium","UNIE","1995",2007,"1995",0.2,0,150,"BELP126"
"BEL","Belgium","PTB/UA","1995",1999,"1995",0.2,0,150,"BELP127"
"BEL","Belgium","PSP","1995",1995,"1995",0,0,150,"BELP128"
"BEL","Belgium","AUTO","1995",1995,"1995",0,0,150,"BELP129"
"BEL","Belgium","ECOLO","1978",2007,"1999",7.4,11,150,"BELP13"
"BEL","Belgium","NWP","1995",1995,"1995",0.1,0,150,"BELP130"
"BEL","Belgium","D","1995",1995,"1995",0,0,150,"BELP131"
"BEL","Belgium","RVM","1995",1995,"1995",0,0,150,"BELP132"
"BEL","Belgium","AOV","1995",1995,"1995",0,0,150,"BELP133"
"BEL","Belgium","BEBEL","1995",1995,"1995",0,0,150,"BELP134"
"BEL","Belgium","VNP","1995",1999,"1995",0,0,150,"BELP135"
"BEL","Belgium","JEUNES","1995",1995,"1995",0.1,0,150,"BELP136"
"BEL","Belgium","RLB","1995",1995,"1995",0,0,150,"BELP137"
"BEL","Belgium","PLUS","1995",1995,"1995",0,0,150,"BELP138"
"BEL","Belgium","BLANC","1995",1995,"1995",0,0,150,"BELP139"
"BEL","Belgium","ECOLO/JA","1981",1981,"1981",0.2,0,212,"BELP14"
"BEL","Belgium","AR","1995",1995,"1995",0,0,150,"BELP140"
"BEL","Belgium","PLN","1995",1995,"1995",0,0,150,"BELP141"
"BEL","Belgium","ADD","1995",1995,"1995",0,0,150,"BELP142"
"BEL","Belgium","LETD","1995",1995,"1995",0,0,150,"BELP143"
"BEL","Belgium","SUD/BEB","1995",1995,"1995",0,0,150,"BELP144"
"BEL","Belgium","DDL","1995",1995,"1995",0,0,150,"BELP145"
"BEL","Belgium","UL","1995",1995,"1995",0,0,150,"BELP146"
"BEL","Belgium","LIGUE","1995",1995,"1995",0,0,150,"BELP147"
"BEL","Belgium","PCP","2003",2003,"2003",0.1,0,150,"BELP148"
"BEL","Belgium","EMPLOI","1995",1995,"1995",0.1,0,150,"BELP149"
"BEL","Belgium","ECOLO/J","1981",1981,"1981",0.1,0,212,"BELP15"
"BEL","Belgium","R","1995",1995,"1995",0,0,150,"BELP150"
"BEL","Belgium","FRW","1995",1995,"1995",0,0,150,"BELP151"
"BEL","Belgium","IN","1995",1995,"1995",0,0,150,"BELP152"
"BEL","Belgium","UDF","1995",1995,"1995",0,0,150,"BELP153"
"BEL","Belgium","DSA","1995",1995,"1995",0,0,150,"BELP154"
"BEL","Belgium","ADM","1995",1995,"1995",0,0,150,"BELP155"
"BEL","Belgium","PDA","1995",2003,"1995",0,0,150,"BELP156"
"BEL","Belgium","REF","1995",1999,"1995",0,0,150,"BELP157"
"BEL","Belgium","VU/ID","1999",1999,"1999",5.6,8,150,"BELP158"
"BEL","Belgium","VIVANT","1999",2007,"1999",2.1,0,150,"BELP159"
"BEL","Belgium","ECOLOG","1978",1978,"1978",0.2,0,209,"BELP16"
"BEL","Belgium","LEEF","1999",1999,"1999",0,0,150,"BELP160"
"BEL","Belgium","PNPB","1999",1999,"1999",0.4,0,150,"BELP161"
"BEL","Belgium","FRANCE","1999",2003,"1999",0.1,0,150,"BELP162"
"BEL","Belgium","FNB","1999",2007,"1999",0.4,0,150,"BELP163"
"BEL","Belgium","UDDU","1999",1999,"1999",0,0,150,"BELP164"
"BEL","Belgium","PAP","1999",1999,"1999",0,0,150,"BELP165"
"BEL","Belgium","SoLiDe","1999",1999,"1999",0,0,150,"BELP166"
"BEL","Belgium","NP","1999",1999,"1999",0,0,150,"BELP167"
"BEL","Belgium","VIC","1999",1999,"1999",0,0,150,"BELP168"
"BEL","Belgium","PSD","1999",1999,"1999",0,0,150,"BELP169"
"BEL","Belgium","ECOPOL","1978",1978,"1978",0.1,0,209,"BELP17"
"BEL","Belgium","NOOR","1999",2003,"1999",0,0,150,"BELP170"
"BEL","Belgium","A","1999",1999,"1999",0.1,0,150,"BELP171"
"BEL","Belgium","STDUST","1999",1999,"1999",0,0,150,"BELP172"
"BEL","Belgium","PH","1999",1999,"1999",0,0,150,"BELP173"
"BEL","Belgium","PMTJ","1999",1999,"1999",0,0,150,"BELP174"
"BEL","Belgium","FNBP","1999",1999,"1999",0,0,150,"BELP175"
"BEL","Belgium","MLINKS","1999",1999,"1999",0,0,150,"BELP176"
"BEL","Belgium","BIZON","1999",1999,"1999",0,0,150,"BELP177"
"BEL","Belgium","AVDB","1999",1999,"1999",0,0,150,"BELP178"
"BEL","Belgium","FN/FW","1999",1999,"1999",0,0,150,"BELP179"
"BEL","Belgium","RAL","1978",1981,"1981",0.1,0,212,"BELP18"
"BEL","Belgium","LC","1999",1999,"1999",0,0,150,"BELP180"
"BEL","Belgium","KAGNO","1978",1978,"1978",0,0,209,"BELP19"
"BEL","Belgium","BUB-BEB","2003",2003,"2003",0,0,150,"BELP2"
"BEL","Belgium","PVCM","1978",1978,"1978",0,0,209,"BELP20"
"BEL","Belgium","PSC","1978",1999,"1978",9.3,23,209,"BELP21"
"BEL","Belgium","PSC/CSP","1978",1985,"1978",0.8,2,209,"BELP22"
"BEL","Belgium","CD&V NVA","2007",2007,"2007",18.5,30,150,"BELP224"
"BEL","Belgium","CD&V","2003",2003,"2003",13.2,21,150,"BELP225"
"BEL","Belgium","NVA","2003",2003,"2003",3.1,1,150,"BELP226"
"BEL","Belgium","VLAAMS BELANG","2007",2007,"2007",12,17,150,"BELP227"
"BEL","Belgium","RESIST","2003",2003,"2003",0.2,0,150,"BELP228"
"BEL","Belgium","OPEN VLD","2007",2007,"2007",11.8,18,150,"BELP229"
"BEL","Belgium","PSB","1978",1978,"1978",11.9,30,209,"BELP23"
"BEL","Belgium","SP.A.SPIRIT","2003",2007,"2003",14.9,23,150,"BELP230"
"BEL","Belgium","LIJST DEDECKER","2007",2007,"2007",4,5,150,"BELP231"
"BEL","Belgium","CAP","2007",2007,"2007",0.3,0,150,"BELP232"
"BEL","Belgium","NP-FN","2007",2007,"2007",0,0,150,"BELP233"
"BEL","Belgium","CDH","2003",2007,"2007",6.1,10,150,"BELP234"
"BEL","Belgium","MR","2003",2007,"2007",12.5,23,150,"BELP235"
"BEL","Belgium","R.W.F","2007",2007,"2007",0.4,0,150,"BELP236"
"BEL","Belgium","CDF","2003",2007,"2003",0.6,0,150,"BELP237"
"BEL","Belgium","FDB","2007",2007,"2007",0,0,150,"BELP238"
"BEL","Belgium","VELORUTION","2007",2007,"2007",0,0,150,"BELP239"
"BEL","Belgium","PRLW","1978",1978,"1978",4.6,11,209,"BELP24"
"BEL","Belgium","PJM","2007",2007,"2007",0.1,0,150,"BELP240"
"BEL","Belgium","TREFLE","2007",2007,"2007",0,0,150,"BELP241"
"BEL","Belgium","BELG. UNIE-BUB","2003",2007,"2003",0.1,0,150,"BELP242"
"BEL","Belgium","FORCE NATIONALE","2007",2007,"2007",0.1,0,150,"BELP243"
"BEL","Belgium","DLC","2007",2007,"2007",0,0,150,"BELP244"
"BEL","Belgium","PARTI WALLON","2007",2007,"2007",0,0,150,"BELP245"
"BEL","Belgium","UMP-B","2007",2007,"2007",0,0,150,"BELP246"
"BEL","Belgium","MP EDUCATION","2007",2007,"2007",0,0,150,"BELP247"
"BEL","Belgium","PLURALIS","2007",2007,"2007",0,0,150,"BELP248"
