"ctrynm","party_id","party","hog_first","first","last","share_max","share_year","country"
"AUS",1524,"Freedom Party",,1960,2012,43.2,2001,"AUT"
"AUS",1529,"German Nationalists",,1918,1932,15.3,1920,"AUT"
"AUS",1532,"Greens",,2002,2012,10.9,2008,"AUT"
"AUS",1551,"People's Party",1946,1946,2012,51.5,1947,"AUT"
"AUS",1561,"Social Democratic Party",1971,1946,2012,51.9,1979,"AUT"
"AUS",1571,"United Green Party",,1987,2008,11.5,2006,"AUT"
"AZE",1579,"Communist",1993,1991,2005,100,1990,"AZE"
"AZE",1593,"New Azaerbaijan Party",1994,1994,2012,100,1993,"AZE"
"BEL",1625,"Catholic",1919,1830,1948,73.7,1898,"BEL"
"BEL",1632,"Christian Democratic and Flemish - New Flemish Alliance",,2008,2012,20,2007,"BEL"
"BEL",1634,"Christian People's Party",,1960,2007,26.9,1978,"BEL"
"BEL",1636,"Christian Social Party",,1947,2007,49.1,1959,"BEL"
"BEL",1639,"Communist",,1926,1987,11.4,1946,"BEL"
"BEL",1653,"Flemish Bloc",,1979,2007,12,2003,"BEL"
"BEL",1656,"Flemish Liberal Democrats",,1996,2008,16.7,2003,"BEL"
"BEL",1658,"Flemish Nationalist",,1937,1946,8.4,1939,"BEL"
"BEL",1660,"Flemish Socialist",,1996,2012,15.3,2003,"BEL"
"BEL",1664,"Francophone Christian Social Democratic",,1996,2007,6.7,1999,"BEL"
"BEL",1665,"Francophone Democratic Front",,1966,1995,5.2,1978,"BEL"
"BEL",1669,"Francophone Liberal Reform-Democratic Front of Francophones",,1996,2007,16,2003,"BEL"
"BEL",1678,"Frontist",,1920,1936,5.9,1929,"BEL"
"BEL",1690,"Liberal",,1830,1995,64.8,1857,"BEL"
"BEL",1692,"Liberal Reform",,1975,1999,12,1995,"BEL"
"BEL",1700,"Movement for Reform",,2008,2012,15.3,2007,"BEL"
"BEL",1703,"New Flemish Alliance",,2004,2012,18,2010,"BEL"
"BEL",1705,"Open vld",,2008,2012,12,2007,"BEL"
"BEL",1711,"People's Union",,1960,2003,10.4,1974,"BEL"
"BEL",1714,"PSC",,1982,2012,6.7,2007,"BEL"
"BEL",1718,"Rexist",,1937,1946,10.4,1936,"BEL"
"BEL",1720,"Social Christian",1952,1950,1959,50.9,1950,"BEL"
"BEL",1721,"Socialist",1939,1895,2012,41.7,1925,"BEL"
"BEL",1724,"Socialist Party (SP)",,1979,2012,19,1987,"BEL"
"BEL",1728,"Vlaams Belang",,1988,2012,11.3,2007,"BEL"
"BEL",1732,"Walloon Party",,1966,1978,6.6,1971,"BEL"
"BEL",1734,"Workers",,1895,1919,21.4,1914,"BEL"
"BEN",1740,"Action for Renewal and Development",,1996,2003,16.9,1995,"BEN"
"BEN",1743,"Alliance for a Dynamic Democracy [ADD]",,2008,2011,24.1,2007,"BEN"
"BEN",1744,"Alliance for Democracy and Progress",,1992,2011,10.8,2003,"BEN"
"BEN",1750,"Cauri Forces for an Emerging Benin (FCBE)",,2008,2012,49.4,2011,"BEN"
"BEN",1753,"Democratic Renewal",,1992,2011,21.7,1995,"BEN"
"BEN",1760,"Key Force",,2004,2011,6,2003,"BEN"
"BEN",1768,"National Democratic Rally",,1992,1995,10.9,1991,"BEN"
"BEN",1773,"Our Common Cause",,1992,1999,6.2,1991,"BEN"
"BEN",1776,"PDU",1960,1960,1963,84.3,1959,"BEN"
"BEN",1777,"People's Revolutionary Party",,1980,1991,100,1979,"BEN"
"BEN",1779,"Rally for Liberal Democrats",,1992,1999,6.2,1991,"BEN"
"BEN",1782,"Renaissance Party",1991,1991,2007,18.1,2003,"BEN"
"BEN",1786,"Social Democratic",,1992,2003,12.5,1991,"BEN"
"BEN",1789,"UDD",,1960,1963,15.7,1959,"BEN"
"BEN",1793,"Union for the Benin of the Future (UBF)",,1996,2007,37.3,2003,"BEN"
"BEN",1794,"Union for Triumph",,1992,1995,18.8,1991,"BEN"
"BEN",1795,"Union Makes the Nation [UN]",,2012,2012,36.1,2011,"BEN"
"BFO",1802,"Congress for Democracy and Progress",1992,1992,2012,91,1997,"BFA"
"BFO",1817,"Progressive Patriots Socialist",,1993,1997,11.2,1992,"BFA"
"BFO",1819,"RDA",,1993,2012,15.3,2002,"BFA"
"BHS",1828,"Democratic Party",,1978,1982,15.8,1977,"BHS"
"BHS",1829,"Free National Movement",1993,1988,2012,85,1997,"BHS"
"BHS",1835,"Progressive Liberal Party",1973,1973,2012,78.9,1977,"BHS"
"BLR",1840,"Agrarian",,2001,2012,5.2,2000,"BLR"
"BLR",1841,"Communist",,1991,2012,100,1990,"BLR"
"BLZ",1849,"People's United",1990,1981,2012,89.7,1998,"BLZ"
"BLZ",1850,"United Democrat",1985,1981,2012,80.6,2008,"BLZ"
"BNG",1853,"Awami League",1971,1971,2012,98.8,1970,"BGD"
"BNG",1856,"Bangladesh Nationalist Party",,2009,2012,64.3,2008,"BGD"
"BNG",1864,"Jamaat-e-Islami Bangladesh",,1980,2012,6.7,1979,"BGD"
"BNG",1865,"Jatiyo Dal",,1979,2012,83.9,1988,"BGD"
"BOL",1891,"Authentic Revolutionary Party",,1961,1969,80.4,1966,"BOL"
"BOL",1896,"Conscience of the Fatherland",,1990,2002,13.1,1997,"BOL"
"BOL",1897,"Cooperative Commonwealth Feder",,1895,1902,24.2,1899,"BOL"
"BOL",1898,"Democratic and Popular Unity",,1980,1985,26.2,1979,"BOL"
"BOL",1899,"Democratic Nationalist",,1986,1997,32.5,1985,"BOL"
"BOL",1900,"Falangists",,1957,1990,7.4,1956,"BOL"
"BOL",1902,"Free Bolivia Movement",,1994,2002,5.4,1993,"BOL"
"BOL",1904,"Genuine Republicans",,1929,1946,6.4,1928,"BOL"
"BOL",1905,"Government Republican",,1929,1929,50,1928,"BOL"
"BOL",1912,"Liberal",,1895,1950,71.5,1894,"BOL"
"BOL",1919,"Movement for Socialism",,2003,2012,67.7,2009,"BOL"
"BOL",1923,"National Democratic Alliance",,1998,2005,25.4,1997,"BOL"
"BOL",1925,"National Union",,1928,1929,41,1928,"BOL"
"BOL",1926,"National Unity Front",,2006,2012,6.2,2005,"BOL"
"BOL",1929,"Nationalist Revolutionary",,1944,2005,95.6,1959,"BOL"
"BOL",1934,"New Republican Force",,2003,2005,19.2,2002,"BOL"
"BOL",1940,"Plan for Progress",,2010,2012,28.5,2009,"BOL"
"BOL",1941,"Popular Alliance",,1980,1985,7.5,1979,"BOL"
"BOL",1944,"Progressive Conservative",,1895,1902,78.5,1901,"BOL"
"BOL",1946,"Republican (Escalier)",,1928,1928,23.6,1927,"BOL"
"BOL",1947,"Republican (Saavedra)",,1928,1928,20.8,1927,"BOL"
"BOL",1948,"Republican Socialist Union",,1948,1950,56.9,1949,"BOL"
"BOL",1953,"Revolutionary Left",,1986,2005,26.1,1990,"BOL"
"BOL",1954,"Revolutionary Left (PIR)",,1948,1950,32.4,1947,"BOL"
"BOL",1957,"Social and Democratic Power",,2006,2009,33.1,2005,"BOL"
"BOL",1958,"Social Credit",,1895,1901,16.5,1899,"BOL"
"BOL",1960,"Socialist",,1928,2005,7.5,1979,"BOL"
"BOL",1963,"Solidarity and Civic Union",,1994,2005,16.2,1997,"BOL"
"BOL",1966,"United Left",,1991,2002,6.4,1990,"BOL"
"BOS",1973,"Coalition for a Unified and Democratic Bosnia and Herzogovina",,1999,2000,40.5,1998,"BIH"
"BOS",1974,"Croatian Democratic Union",2001,1997,2012,19,1996,"BIH"
"BOS",1983,"Koalicija",,2003,2006,11.9,2002,"BIH"
"BOS",1989,"Party for Bosnia and Hercegovina",1994,1994,2006,14.3,2002,"BIH"
"BOS",1991,"Party for Bosnia-Herzegovina",,2007,2012,19,2006,"BIH"
"BOS",1992,"Party of Democratic Action",2003,1993,2012,45.2,1996,"BIH"
"BOS",2001,"Serb Democrat",,1997,2012,21.4,1996,"BIH"
"BOS",2005,"Social Democratic",,1999,2012,21.4,2000,"BIH"
"BOT",2021,"Congress",,2000,2012,7,2009,"BWA"
"BOT",2022,"Democratic",,1966,2012,91.2,1989,"BWA"
"BOT",2025,"National Front",,1970,2012,32.5,1994,"BWA"
"BOT",2027,"People's Party",,1970,1989,9.7,1969,"BWA"
"BRA",2049,"ARENA",,1967,2002,72.3,1971,"BRA"
"BRA",2053,"Brazilian Labor",,1946,2012,29.1,1963,"BRA"
"BRA",2058,"Brazilian Social Democratic Party",,1995,2012,19.3,1998,"BRA"
"BRA",2069,"Conservative Republican",,1928,1929,98.6,1927,"BRA"
"BRA",2071,"Democratic Labor",,1983,2012,9.1,1990,"BRA"
"BRA",2073,"Democratic Movement",,1967,2012,53.2,1986,"BRA"
"BRA",2079,"Labor",,1952,2012,20.9,1959,"BRA"
"BRA",2084,"Liberal",,1964,2010,5.1,2002,"BRA"
"BRA",2085,"Liberal Front",,1987,2010,23.6,1986,"BRA"
"BRA",2093,"National Democratic Union",,1946,1966,28.3,1945,"BRA"
"BRA",2109,"Progressive",,1995,2012,11.7,1998,"BRA"
"BRA",2110,"Progressive Reform",,1995,1998,10.1,1994,"BRA"
"BRA",2122,"Republican",,1946,2010,6.1,1956,"BRA"
"BRA",2127,"Social Democratic",,1946,2012,57.9,1947,"BRA"
"BRA",2131,"Social Progressive",,1952,1966,10.7,1956,"BRA"
"BRA",2133,"Socialist",,1987,2012,6.6,2010,"BRA"
"BRA",2139,"Worker's",,1983,2012,17.7,2002,"BRA"
"BRB",2144,"Barbados Labor",1995,1966,2012,92.9,1999,"BRB"
"BRB",2146,"Barbados National Party",,1966,1971,8.3,1965,"BRB"
"BRB",2148,"Democratic Labor Party",1966,1966,2012,88.9,1986,"BRB"
"BUI",2155,"Frodebu",1994,1994,1997,80.2,1993,"BDI"
"BUI",2156,"Front for Democracy in Burundi",,2004,2012,25.4,2005,"BDI"
"BUI",2163,"National Council for the Defense of Democracy - Front for the Defense of Democracy",,2006,2012,76.4,2010,"BDI"
"BUI",2170,"Union for National Progress",1962,1962,2012,100,1981,"BDI"
"BUL",2174,"Agrarian",,1923,1946,85.8,1922,"BGR"
"BUL",2177,"Attack",,2006,2012,8.8,2009,"BGR"
"BUL",2178,"BANU",,1990,1997,7.5,1994,"BGR"
"BUL",2180,"Bulgarian Business Bloc",,1995,2001,5.4,1994,"BGR"
"BUL",2183,"Citizens for European Development of Bulgaria",2010,2010,2012,48.8,2009,"BGR"
"BUL",2184,"Coalition for Bulgaria",,2006,2012,34.2,2005,"BGR"
"BUL",2185,"Communist",1947,1924,1991,100,1959,"BGR"
"BUL",2188,"Democratic",1932,1932,1934,15.7,1931,"BGR"
"BUL",2189,"Democratic Entente",1924,1923,1933,61.5,1927,"BGR"
"BUL",2198,"Labor (formerly Communist)",,1924,1933,11.7,1923,"BGR"
"BUL",2199,"Liberal",,1924,1931,6.9,1923,"BGR"
"BUL",2203,"National Movement Simeon II",2002,2002,2009,50,2001,"BGR"
"BUL",2207,"Petrov Liberal",,1932,1933,11.7,1931,"BGR"
"BUL",2209,"Radical",,1924,1946,5.7,1923,"BGR"
"BUL",2210,"Rights & Freedoms",,1990,2012,15.4,2009,"BGR"
"BUL",2212,"Socialist",1995,1924,2011,52.8,1989,"BGR"
"BUL",2213,"Socialists",,1991,1994,44.2,1990,"BGR"
"BUL",2216,"Union of Democratic Forces",1993,1990,2009,57.1,1997,"BGR"
"BUL",2217,"Workers Social Democratic",,1946,1946,11.2,1945,"BGR"
"BUL",2218,"Zveno",1945,1945,1946,15.9,1945,"BGR"
"CAM",2223,"Cambodian People's",1999,1980,2012,100,1981,"KHM"
"CAM",2232,"National United Front",1994,1994,2008,48.3,1993,"KHM"
"CAM",2234,"Popular Socialist Community",,1960,1976,100,1959,"KHM"
"CAM",2236,"Sam Rangsi",,1999,2012,21.1,2008,"KHM"
"CAN",2244,"Bloc Quebecois",,1994,2012,18.3,1993,"CAN"
"CAN",2245,"Canadian Alliance",,2001,2004,21.9,2000,"CAN"
"CAN",2246,"Conservative",1912,1873,2012,68.9,1878,"CAN"
"CAN",2247,"Cooperative Commonwealth Feder",,1936,1959,13.1,1948,"CAN"
"CAN",2248,"Creditor's Rally",,1966,1972,5.3,1968,"CAN"
"CAN",2259,"Liberal",1874,1873,2012,75.1,1940,"CAN"
"CAN",2269,"National Democrats",,1960,2012,33.4,2011,"CAN"
"CAN",2270,"National Progressive",,1922,1930,27.2,1921,"CAN"
"CAN",2280,"Progressive Conservative",1958,1944,2012,78.5,1958,"CAN"
"CAN",2282,"Reform",,1990,2000,19.9,1997,"CAN"
"CAN",2283,"Social Credit",,1936,1983,11.3,1962,"CAN"
"CAO",2294,"Cameroon People's Democratic Movement",,2008,2012,85,2007,"CMR"
"CAO",2295,"Democracy and Progess",,1993,2012,36.1,1992,"CMR"
"CAO",2296,"Democratic",,1961,1961,10.4,1960,"CMR"
"CAO",2301,"National Cameroon Union",1975,1961,2012,100,1966,"CMR"
"CAO",2302,"National Convention",,1962,1966,27,1961,"CMR"
"CAO",2306,"People's Union",,1961,1997,20.8,1960,"CMR"
"CAO",2308,"Social Democratic Front",,1998,2012,24.9,1997,"CMR"
"CEN",2314,"Central African Democratic Rally (RDC)",,1987,2010,100,1986,"CAF"
"CEN",2318,"Democracy and Progress",,1994,2010,7.1,1993,"CAF"
"CEN",2325,"Liberal Democratic",,1994,2003,8.2,1993,"CAF"
"CEN",2329,"Movement for the Liberation of the Central African People (MLPC)",,1994,2012,43.1,1998,"CAF"
"CEN",2332,"National Convergence",2006,2006,2012,74.3,2005,"CAF"
"CEN",2339,"Patriotic Front for Progress",,1994,2010,8.2,1993,"CAF"
"CEN",2341,"Social Democratic",,1994,2010,5.5,1998,"CAF"
"CEN",2343,"Special Evolution in Black Afr",,1962,1981,100,1964,"CAF"
"CHA",2362,"FAR",,1998,2012,6.5,2007,"TCD"
"CHA",2380,"Patriotic Salvation Movement",1991,1991,2012,72.9,2007,"TCD"
"CHA",2385,"Progressives",,1962,1975,100,1969,"TCD"
"CHA",2388,"RDP",,1998,2012,7.7,2002,"TCD"
"CHA",2393,"Union for Renewal and Democracy",,1998,2012,24.8,1997,"TCD"
"CHL",2407,"Alliance: National Renewal",,2006,2009,17.3,2005,"CHL"
"CHL",2411,"Christian Democrat",,1959,2009,55.8,1965,"CHL"
"CHL",2415,"Coalition for Change",,2010,2012,48.3,2009,"CHL"
"CHL",2416,"Coalition for Democracy",,2010,2012,47.5,2009,"CHL"
"CHL",2417,"Communist",,1932,1973,14.7,1969,"CHL"
"CHL",2418,"Conservative",,1932,1969,17.3,1931,"CHL"
"CHL",2421,"Democratic",,1932,1932,21.1,1931,"CHL"
"CHL",2437,"Liberal",,1932,1969,24.8,1931,"CHL"
"CHL",2440,"National",,1970,1973,22,1969,"CHL"
"CHL",2442,"National Popular",,1959,1961,10.9,1958,"CHL"
"CHL",2444,"National Renovation",,1990,2012,24.2,1989,"CHL"
"CHL",2452,"Party for Democracy",,1990,2010,19.1,2005,"CHL"
"CHL",2456,"Radical",,1932,2001,27.1,1931,"CHL"
"CHL",2462,"Social Democratic",,1990,2009,6.4,2005,"CHL"
"CHL",2463,"Social Democratic Radical",,1990,2005,5.1,2001,"CHL"
"CHL",2464,"Socialist",,1959,2005,10.6,1961,"CHL"
"CHL",2465,"Socialist Party",,1990,2009,13.6,2005,"CHL"
"CHL",2469,"United Conservative",,1959,1969,16.1,1958,"CHL"
"CHN",2472,"Communist",1949,1949,2012,100,1948,"CHN"
"COL",2487,"ADM-19",,1987,2002,9,1991,"COL"
"COL",2489,"Alternative Democratic Pole",,2007,2012,5.5,2006,"COL"
"COL",2498,"Conservative",,1885,2012,67,1929,"COL"
"COL",2513,"Liberal",,1861,2012,65.3,1939,"COL"
"COL",2526,"National Popular Alliance",,1969,1978,22.6,1968,"COL"
"COL",2529,"New Democratic Force",,1992,2002,9,1991,"COL"
"COL",2537,"Radical Change",,2003,2012,12.3,2006,"COL"
"COL",2541,"Social Party of National Unity",,2007,2012,28.3,2010,"COL"
"COM",2550,"Camp of the Autonomous Islands",,2005,2008,66.7,2004,"COM"
"COM",2551,"Convention for the Renewal of the Comoros",,2005,2012,33.3,2004,"COM"
"COM",2552,"Democracy and Renewal",,1990,1999,85.7,1996,"COM"
"COM",2559,"National Recovery",1999,1994,1999,42.9,1993,"COM"
"COM",2565,"Union for Progress",1979,1979,1993,100,1978,"COM"
"CON",2575,"Congolese Labor Party",2006,1993,2012,34.6,2002,"COG"
"CON",2576,"Congolese Movement for Democracy and Integral Deve",,1969,2012,22.4,1992,"COG"
"CON",2587,"National Movement",,1964,1968,100,1963,"COG"
"CON",2594,"Rally for Democracy and Social Progress",,1993,2012,8,1992,"COG"
"CON",2596,"Social Democracy",,1993,1997,37.6,1992,"COG"
"CON",2604,"Union of Democratic Forces",,1993,2012,19.6,2002,"COG"
"COS",2608,"Accessibility",,2007,2012,7,2010,"CRI"
"COS",2612,"Citizen's Action",,2003,2012,29.8,2006,"CRI"
"COS",2615,"Constitutional",,1921,1952,13.3,1948,"CRI"
"COS",2622,"Democratic Party",,1943,1957,33.3,1953,"CRI"
"COS",2627,"Liberation",,1953,2012,68.9,1954,"CRI"
"COS",2628,"Libertarian",,1999,2012,15.8,2010,"CRI"
"COS",2635,"National Independence",,1975,1978,10.5,1974,"CRI"
"COS",2642,"National Union",,1928,2012,73.3,1948,"CRI"
"COS",2645,"Non-Party",,1943,1944,20,1942,"CRI"
"COS",2646,"Opposition",,1935,1958,34.9,1935,"CRI"
"COS",2647,"Opposition(Castristas and Carl",,1934,1934,41.9,1933,"CRI"
"COS",2650,"People United",,1979,1994,7,1982,"CRI"
"COS",2654,"Reform",,1928,1935,16.3,1928,"CRI"
"COS",2656,"Republican",,1913,1966,41.9,1928,"CRI"
"COS",2659,"Republican Nacional",,1932,1959,95.6,1940,"CRI"
"COS",2665,"Social Christian Unity",,1979,2012,50.9,1990,"CRI"
"COS",2667,"Social Democratic Party",,1947,1952,8.9,1948,"CRI"
"COS",2677,"Vanguardia Popular (former Com",,1943,1948,10.9,1946,"CRI"
"CPV",2679,"African Party for the Independence of Cape Verde",,1975,2012,100,1980,"CPV"
"CPV",2683,"Movement for Democracy",1992,1992,2012,70.9,1991,"CPV"
"CRO",2695,"Croatian Democratic Union",1996,1991,2012,70.1,1990,"HRV"
"CRO",2701,"Croatian People's",,1993,2012,9.3,2011,"HRV"
"CRO",2704,"CSL",,1991,2007,15.8,2000,"HRV"
"CRO",2707,"Democratic Change",,1991,2000,20.8,1990,"HRV"
"CRO",2726,"Peasant's",,1996,2003,10.5,2000,"HRV"
"CRO",2736,"Social Democratic Party",2001,2001,2012,40.4,2011,"HRV"
"CUB",2743,"Communist",,1960,2012,100,1959,"CUB"
"CYP",2750,"Democratic Party",,1977,2012,60,1976,"CYP"
"CYP",2751,"Democratic Rally",,1982,2012,35.7,1990,"CYP"
"CYP",2754,"European",,2007,2012,5.4,2006,"CYP"
"CYP",2757,"Movement of Free Democrats",,1997,2012,8.9,2006,"CYP"
"CYP",2761,"Patriotic Front",,1960,1970,85.7,1959,"CYP"
"CYP",2762,"Progressive",,1960,2012,34.3,1981,"CYP"
"CYP",2767,"Unified Democratic UInion",,1971,2006,12.5,1990,"CYP"
"CYP",2768,"Unified Party",,1971,1976,42.9,1970,"CYP"
"CZE",2779,"Christian Democratic Union",,1991,1992,13.3,1990,"CZE"
"CZE",2780,"Civic Forum",,1990,1992,58,1990,"CZE"
"CZE",2782,"Communist",,1926,1992,100,1959,"CZE"
"CZE",2784,"Czechoslovak Agrarian",1936,1920,1939,15.8,1928,"CZE"
"CZE",2789,"Czechoslovak National Democrat",,1920,1935,6.7,1919,"CZE"
"CZE",2790,"Czechoslovak National Socialis",,1920,1939,11,1932,"CZE"
"CZE",2791,"Czechoslovak People's Catholic",,1920,1939,11.7,1919,"CZE"
"CZE",2793,"Czechoslovak Social Democratic",1919,1919,1939,26.2,1919,"CZE"
"CZE",2794,"Czechoslovak Trades",,1920,1939,5.7,1935,"CZE"
"CZE",2797,"German Agrarian League",,1929,1939,6.5,1934,"CZE"
"CZE",2804,"German Hungarian Social Dem.",,1920,1928,11,1919,"CZE"
"CZE",2805,"German Land",,1920,1928,8.2,1925,"CZE"
"CZE",2809,"German Social Democratic",,1929,1939,7.2,1929,"CZE"
"CZE",2810,"German Union",,1920,1925,5.3,1919,"CZE"
"CZE",2836,"Slovak People's",,1920,1939,7.9,1925,"CZE"
"CZE",2840,"Sudeten German (Henlein)",,1936,1939,14.7,1935,"CZE"
"CZR",2855,"Christian Democratic Union",,1993,2012,15.5,2002,"CZE"
"CZR",2859,"Civic Democratic Alliance",,1997,2008,6.5,1996,"CZE"
"CZR",2860,"Civic Democratic Party",2007,1993,2012,58,1992,"CZE"
"CZR",2868,"Communist Party of Bohemia and Moravia",,1993,2012,20.5,2002,"CZE"
"CZR",2871,"Czech Social Democratic",,2009,2012,28,2010,"CZE"
"CZR",2873,"Freedom Union",,1999,2008,9.5,1998,"CZE"
"CZR",2886,"Left Bloc",,1993,1996,18.8,1993,"CZE"
"CZR",2899,"Public Affairs Party",,2011,2012,12,2010,"CZE"
"CZR",2903,"Social Democratic",,1994,2010,37,1998,"CZE"
"CZR",2905,"Tradition Responsibility Prosperity 09",,2011,2012,20.5,2010,"CZE"
"DCA",2909,"Dominica Freedom Party",1981,1981,2004,81,1980,"DMA"
"DCA",2916,"Labor",,1981,2012,57.1,2004,"DMA"
"DCA",2921,"United Workers' Party",,1986,2012,52.4,1995,"DMA"
"DEN",2930,"Centre Democrats",,1974,2001,8.6,1981,"DNK"
"DEN",2931,"Christian People's",,1974,2005,5.1,1975,"DNK"
"DEN",2933,"Communist",,1933,1979,12.2,1945,"DNK"
"DEN",2934,"Conservative",1983,1885,2012,30.1,1892,"DNK"
"DEN",2938,"Danish People's",,1999,2012,14,2007,"DNK"
"DEN",2951,"Justice League",,1927,1953,7.9,1950,"DNK"
