cntry,essround,variable,ess_id,party,party_id,name_check
BE,1,prtvtbe,1,Agalev,BE-1-1, Agalev/Groen! 
BE,1,prtvtbe,2,CVP,BE-1-2,CVP 
BE,1,prtvtbe,3,SP,BE-1-3,SP.A 
BE,1,prtvtbe,5,VLD,BE-6-8,VLD Open VLD
BE,1,prtvtbe,6,VU-ID,BE-1-6,VU-ID 
BE,1,prtvtbe,7,PVDA-AE,BE-1-7,PVDA 
BE,1,prtvtbe,8,Vlaams Blok,BE-2-7, Vlaams Blok 
BE,1,prtvtbe,9,VIVANT,BE-3-6,VIVANT Vivant 
BE,1,prtvtbe,10,ECOLO,BE-5-10,ECOLO 
BE,1,prtvtbe,11,PSC,BE-4-7,PSC/CDH 
BE,1,prtvtbe,12,PRL-FDF,BE-1-12,PRL-FDF 
BE,1,prtvtbe,13,PS,BE-6-13,PS 
BE,1,prtvtbe,14,FRONT NATIONAL,BE-2-11,FRONT Front National
BE,1,prtvtbe,15,PTB-UA,BE-7-14, PTB 
BE,1,prtvtbe,16,OTHER,BE-1-16,  Other
BE,1,prtvtbe,17,Not applicable,NA,NA
BE,1,prtvtbe,18,Refusal,NA,NA
BE,1,prtvtbe,19,Don't know,NA,NA
BE,1,prtvtbe,20,No answer,NA,NA
BE,2,prtvtabe,1,Agalev/Groen!,BE-1-1, Agalev/Groen! 
BE,2,prtvtabe,2,CD&V,BE-3-2,CD&V 
BE,2,prtvtabe,3,N-VA,BE-5-3,N-VA 
BE,2,prtvtabe,5,SP.A-Spirit,BE-2-5, SP.A-Spirit 
BE,2,prtvtabe,6,Vivant,BE-3-6,VIVANT Vivant 
BE,2,prtvtabe,7,Vlaams Blok,BE-2-7, Vlaams Blok 
BE,2,prtvtabe,8,VLD,BE-6-8,VLD Open VLD
BE,2,prtvtabe,9,CDH,BE-4-7,PSC/CDH 
BE,2,prtvtabe,10,Ecolo,BE-5-10,ECOLO 
BE,2,prtvtabe,11,Front National,BE-2-11,FRONT Front National
BE,2,prtvtabe,12,MR,BE-2-12,MR MR
BE,2,prtvtabe,13,PS,BE-6-13,PS 
BE,2,prtvtabe,14,Other,BE-1-16,  Other
BE,2,prtvtabe,15,Blank,BE-2-15, Blanco 
BE,2,prtvtabe,16,Invalid,BE-4-14,  Invalid
BE,2,prtvtabe,17,Not applicable,NA,NA
BE,2,prtvtabe,18,Refusal,NA,NA
BE,2,prtvtabe,19,Don't know,NA,NA
BE,3,prtvtabe,1,Agalev/Groen!,BE-1-1, Agalev/Groen! 
BE,3,prtvtabe,2,CD&V,BE-3-2,CD&V 
BE,3,prtvtabe,3,N-VA,BE-5-3,N-VA 
BE,3,prtvtabe,5,SP.A-Spirit,BE-2-5, SP.A-Spirit 
BE,3,prtvtabe,6,Vivant,BE-3-6,VIVANT Vivant 
BE,3,prtvtabe,7,Vlaams Blok,BE-2-7, Vlaams Blok 
BE,3,prtvtabe,8,VLD,BE-6-8,VLD Open VLD
BE,3,prtvtabe,9,CDH,BE-4-7,PSC/CDH 
BE,3,prtvtabe,10,Ecolo,BE-5-10,ECOLO 
BE,3,prtvtabe,11,Front National,BE-2-11,FRONT Front National
BE,3,prtvtabe,12,MR,BE-2-12,MR MR
BE,3,prtvtabe,13,PS,BE-6-13,PS 
BE,3,prtvtabe,14,Other,BE-1-16,  Other
BE,3,prtvtabe,15,Blank,BE-2-15, Blanco 
BE,3,prtvtabe,16,Invalid,BE-4-14,  Invalid
BE,3,prtvtabe,17,Not applicable,NA,NA
BE,3,prtvtabe,18,Refusal,NA,NA
BE,3,prtvtabe,19,Don't know,NA,NA
BE,4,prtvtbbe,1,Groen!,BE-1-1, Agalev/Groen! 
BE,4,prtvtbbe,2,CD&V + N-VA,BE-4-2, CD&V + N-VA 
BE,4,prtvtbbe,3,Lijst Dedecker,BE-4-3, Lijst Dedecker 
BE,4,prtvtbbe,4,SP.A. + Vlaams - Progressieven (Spirit),BE-2-5, SP.A-Spirit 
BE,4,prtvtbbe,5,Vlaams Belang,BE-4-5, Vlaams Belang 
BE,4,prtvtbbe,6,Open VLD + Vivant,BE-4-6, Open VLD + Vivant 
BE,4,prtvtbbe,7,CDH,BE-4-7,PSC/CDH 
BE,4,prtvtbbe,8,Ecolo,BE-5-10,ECOLO 
BE,4,prtvtbbe,9,Front National,BE-2-11,FRONT Front National
BE,4,prtvtbbe,10,MR,BE-2-12,MR MR
BE,4,prtvtbbe,11,PS,BE-6-13,PS 
BE,4,prtvtbbe,12,Other,BE-1-16,  Other
BE,4,prtvtbbe,13,Blank,BE-2-15, Blanco 
BE,4,prtvtbbe,14,Invalid,BE-4-14,  Invalid
BE,4,prtvtbbe,15,Not applicable,NA,NA
BE,4,prtvtbbe,16,Refusal,NA,NA
BE,4,prtvtbbe,17,Don't know,NA,NA
BE,5,prtvtcbe,1,Groen!,BE-1-1, Agalev/Groen! 
BE,5,prtvtcbe,2,CD&V,BE-3-2,CD&V 
BE,5,prtvtcbe,3,N-VA,BE-5-3,N-VA 
BE,5,prtvtcbe,4,Lijst Dedecker,BE-4-3, Lijst Dedecker 
BE,5,prtvtcbe,5,SP.A,BE-1-3,SP.A 
BE,5,prtvtcbe,6,PVDA+,BE-1-7,PVDA 
BE,5,prtvtcbe,7,Vlaams Belang,BE-4-5, Vlaams Belang 
BE,5,prtvtcbe,8,Open VLD,BE-6-8,VLD Open VLD
BE,5,prtvtcbe,9,CDH,BE-4-7,PSC/CDH 
BE,5,prtvtcbe,10,Ecolo,BE-5-10,ECOLO 
BE,5,prtvtcbe,11,Front National,BE-2-11,FRONT Front National
BE,5,prtvtcbe,12,MR,BE-2-12,MR MR
BE,5,prtvtcbe,13,PS,BE-6-13,PS 
BE,5,prtvtcbe,14,PTB,BE-7-14, PTB 
BE,5,prtvtcbe,15,Parti Populaire,BE-7-15, Parti Populaire 
BE,5,prtvtcbe,16,Other,BE-1-16,  Other
BE,5,prtvtcbe,17,Blanco,BE-6-17, Blanco 
BE,5,prtvtcbe,18,Ongeldig,BE-6-18, Ongeldig 
BE,5,prtvtcbe,19,Not applicable,NA,NA
BE,5,prtvtcbe,20,Refusal,NA,NA
BE,5,prtvtcbe,21,Don't know,NA,NA
BE,6,prtvtcbe,1,Groen!,BE-1-1, Agalev/Groen! 
BE,6,prtvtcbe,2,CD&V,BE-3-2,CD&V 
BE,6,prtvtcbe,3,N-VA,BE-5-3,N-VA 
BE,6,prtvtcbe,4,Lijst Dedecker,BE-4-3, Lijst Dedecker 
BE,6,prtvtcbe,5,SP.A,BE-1-3,SP.A 
BE,6,prtvtcbe,6,PVDA+,BE-1-7,PVDA 
BE,6,prtvtcbe,7,Vlaams Belang,BE-4-5, Vlaams Belang 
BE,6,prtvtcbe,8,Open VLD,BE-6-8,VLD Open VLD
BE,6,prtvtcbe,9,CDH,BE-4-7,PSC/CDH 
BE,6,prtvtcbe,10,Ecolo,BE-5-10,ECOLO 
BE,6,prtvtcbe,11,Front National,BE-2-11,FRONT Front National
BE,6,prtvtcbe,12,MR,BE-2-12,MR MR
BE,6,prtvtcbe,13,PS,BE-6-13,PS 
BE,6,prtvtcbe,14,PTB,BE-7-14, PTB 
BE,6,prtvtcbe,15,Parti Populaire,BE-7-15, Parti Populaire 
BE,6,prtvtcbe,16,Other,BE-1-16,  Other
BE,6,prtvtcbe,17,Blanco,BE-6-17, Blanco 
BE,6,prtvtcbe,18,Ongeldig,BE-6-18, Ongeldig 
BE,6,prtvtcbe,19,Not applicable,NA,NA
BE,6,prtvtcbe,20,Refusal,NA,NA
BE,6,prtvtcbe,21,Don't know,NA,NA
BE,7,prtvtcbe,1,Groen!,BE-1-1, Agalev/Groen! 
BE,7,prtvtcbe,2,CD&V,BE-3-2,CD&V 
BE,7,prtvtcbe,3,N-VA,BE-5-3,N-VA 
BE,7,prtvtcbe,5,SP.A,BE-1-3,SP.A 
BE,7,prtvtcbe,6,PVDA+,BE-1-7,PVDA 
BE,7,prtvtcbe,7,Vlaams Belang,BE-4-5, Vlaams Belang 
BE,7,prtvtcbe,8,Open VLD,BE-6-8,VLD Open VLD
BE,7,prtvtcbe,9,CDH,BE-4-7,PSC/CDH 
BE,7,prtvtcbe,10,Ecolo,BE-5-10,ECOLO 
BE,7,prtvtcbe,11,Front National,BE-2-11,FRONT Front National
BE,7,prtvtcbe,12,MR,BE-2-12,MR MR
BE,7,prtvtcbe,13,PS,BE-6-13,PS 
BE,7,prtvtcbe,14,PTB,BE-7-14, PTB 
BE,7,prtvtcbe,15,Parti Populaire,BE-7-15, Parti Populaire 
BE,7,prtvtcbe,16,Other,BE-1-16,  Other
BE,7,prtvtcbe,17,Blanco,BE-6-17, Blanco 
BE,7,prtvtcbe,18,Ongeldig,BE-6-18, Ongeldig 
BE,7,prtvtcbe,19,Not applicable,NA,NA
BE,7,prtvtcbe,20,Refusal,NA,NA
BE,7,prtvtcbe,21,Don't know,NA,NA
BG,3,prtvtbg,1,BSP,BG-6-2,BSP Balgarska sotsialisticheska partia 
BG,3,prtvtbg,2,DPS,BG-3-2,DPS Dvizhenie za prava i svobodi 
BG,3,prtvtbg,3,Coalition of the rose,BG-3-3, Koalitziia na Rozata Coalition of the Rose
BG,3,prtvtbg,4,DSB,BG-4-4,DSB Demokrati za silna Bulgaria 
BG,3,prtvtbg,5,NDSV,BG-3-5,NDSV 
BG,3,prtvtbg,6,SDS,BG-3-6,SDS Sayuz na demokratichnite sili 
BG,3,prtvtbg,7,BNS,BG-5-15,BNS/ND Koalitziia Balgarski Natsionalen Saiuz 
BG,3,prtvtbg,8,Novoto Vreme,BG-3-8, „Novoto vreme” Emil Koshlukov 
BG,3,prtvtbg,9,Evroroma,BG-3-9, Politichesko dvijenie Evroroma 
BG,3,prtvtbg,10,Coalition Ataka,BG-3-10, Koalitziia Ataka Coalition Ataka
BG,3,prtvtbg,11,Other,NA,NA
BG,3,prtvtbg,12,Not applicable,NA,NA
BG,3,prtvtbg,13,Refusal,NA,NA
BG,3,prtvtbg,14,Don't know,NA,NA
BG,3,prtvtbg,15,No answer,NA,NA
BG,4,prtvtabg,1,Koalitziia za Balgariia,BG-5-2,BSP Koalitziia za Balgariia 
BG,4,prtvtabg,2,Dvijenie za Prava i Svobodi,BG-4-2, Dvijenie za Prava i Svobodi 
BG,4,prtvtabg,3,Koalitziia na Rozata,BG-3-3, Koalitziia na Rozata Coalition of the Rose
BG,4,prtvtabg,4,Demokrati za Silna Balgariia,BG-4-4,DSB Demokrati za silna Bulgaria 
BG,4,prtvtabg,5,Natzionalno Dvijenie Simeon II,BG-4-5, Natzionalno Dvijenie Simeon II 
BG,4,prtvtabg,6,Koalitziia ODS,BG-4-6,ODS Koalitziia 
BG,4,prtvtabg,7,Koalitziia BNS,BG-5-15,BNS/ND Koalitziia Balgarski Natsionalen Saiuz 
BG,4,prtvtabg,8,Novo Vreme,BG-3-8, Novo Vreme 
BG,4,prtvtabg,9,Evroroma,BG-3-9, Politichesko dvijenie Evroroma 
BG,4,prtvtabg,10,Koalitziia Ataka,BG-3-10, Koalitziia Ataka Coalition Ataka
BG,4,prtvtabg,11,Other,NA,NA
BG,4,prtvtabg,12,Not applicable,NA,NA
BG,4,prtvtabg,13,Refusal,NA,NA
BG,4,prtvtabg,14,Don't know,NA,NA
BG,5,prtvtbbg,1,GERB,BG-5-1,GERB 
BG,5,prtvtbbg,2,Koalitsia za Balgaria (BSP; PBS; Zemedelski saiuz) Al. Stamb,BG-5-2,BSP Koalitziia za Balgariia 
BG,5,prtvtbbg,3,DPS - Dvijenie za prava i svobodi,BG-3-2,DPS Dvizhenie za prava i svobodi 
BG,5,prtvtbbg,4,Siniata koalitsia (SDS; DSB),BG-5-4,SDS Siniata koalitsia 
BG,5,prtvtbbg,5,Partia Ataka,BG-3-10,Ataka Partia Ataka 
BG,5,prtvtbbg,6,"Red, zakonnost i spravedlivost (RZS)",BG-5-6,"RZS Red, zakonnost i spravedlivost "
BG,5,prtvtbbg,7,NDSV,BG-3-5,NDSV 
BG,5,prtvtbbg,8,PP Lider,BG-5-8, Lider 
BG,5,prtvtbbg,11,PP Zelenite,BG-5-11, „Zelena partia” Aleksandar Karakachanov 
BG,5,prtvtbbg,15,Balgarski Natsionalen Saiuz – ND,BG-5-15,BNS/ND Koalitziia Balgarski Natsionalen Saiuz 
BG,5,prtvtbbg,16,Druga politicheska sila,BG-5-16, Druga politicheska sila 
BG,5,prtvtbbg,17,Nezavisim kandidat,BG-6-13," Nezavisim kandidat/Kandidati, izdignati ot Initsiativni komiteti "
BG,5,prtvtbbg,18,Not applicable,NA,NA
BG,5,prtvtbbg,19,Refusal,NA,NA
BG,5,prtvtbbg,20,Don't know,NA,NA
BG,5,prtvtbbg,21,No answer,NA,NA
BG,6,prtvtcbg,1,PP GERB,BG-5-1,GERB 
BG,6,prtvtcbg,2,Balgarska sotsialisticheska partia (BSP),BG-6-2,BSP Balgarska sotsialisticheska partia 
BG,6,prtvtcbg,3,PP Ataka,BG-3-10, PP Ataka 
BG,6,prtvtcbg,4,"PP Red, zakonnost i spravedlivost (RZS)",BG-6-4,"RZS Red, zakonnost i spravedlivost "
BG,6,prtvtcbg,5,PP VMRO – Balgarsko natsionalno dvizhenie,BG-6-5,VMRO Balgarsko natsionalno dvizhenie 
BG,6,prtvtcbg,6,PP BZNS,BG-6-6,BZNS 
BG,6,prtvtcbg,7,PP Natsionalen front za dpasenie na Bulgaria,BG-6-7, Natsionalen front za dpasenie na Bulgaria 
BG,6,prtvtcbg,8,KP Sayuz na desnite sili,BG-6-8,KP Sayuz na desnite sili 
BG,6,prtvtcbg,9,PP Natsionalno dvizhenie Edinstvo,BG-6-9, Natsionalno dvizhenie Edinstvo 
BG,6,prtvtcbg,11,PP Partia za horata ot naroda,BG-6-11, Partia za horata ot naroda 
BG,6,prtvtcbg,12,PP Balgarska demokratichna obshtnost,BG-6-12, Balgarska demokratichna obshtnost 
BG,6,prtvtcbg,13,"Kandidati, izdignati ot Initsiativni komiteti",BG-6-13," Nezavisim kandidat/Kandidati, izdignati ot Initsiativni komiteti "
BG,6,prtvtcbg,14,Not applicable,NA,NA
BG,6,prtvtcbg,15,Refusal,NA,NA
BG,6,prtvtcbg,16,Don't know,NA,NA
BG,6,prtvtcbg,17,No answer,NA,NA
CH,1,prtvtch,1,Radicals,CH-1-1,  Radicals
CH,1,prtvtch,2,Christian-democrats,CH-6-4,  Christian Democrats
CH,1,prtvtch,3,Social-democrats,CH-1-3,  Socialist Party
CH,1,prtvtch,4,Swiss People's Party,CH-4-4,  Swiss People's Party
CH,1,prtvtch,5,Liberal Party,CH-1-5,  Liberal Party
CH,1,prtvtch,6,Alliance of the Independents,CH-1-6,  Alliance of the Independents
CH,1,prtvtch,7,Evangelical People's Party,CH-3-6,  Evangelical People’s Party
CH,1,prtvtch,8,Christian-Social Party,CH-7-13,  Christian Social Party
CH,1,prtvtch,9,Swiss Labour Party,CH-4-7,  Swiss Labour Party
CH,1,prtvtch,10,Green Party,CH-4-8,  Green Party
CH,1,prtvtch,11,Swiss Democrats,CH-5-10,  Swiss Democrats
CH,1,prtvtch,12,Federal Democratic Union,CH-2-12,  Federal Democratic Union
CH,1,prtvtch,13,Freiheits-Partei,CH-1-13,  Freiheits-Partei
CH,1,prtvtch,14,Women's Parties,CH-2-14,  Women's Parties
CH,1,prtvtch,15,Lega dei Ticinesi,CH-4-13, Lega dei Ticinesi Ticino League
CH,1,prtvtch,16,Others,CH-1-16,  Others
CH,1,prtvtch,17,Not applicable,NA,NA
CH,1,prtvtch,18,Refusal,NA,NA
CH,1,prtvtch,19,Don't know,NA,NA
CH,2,prtvtch,1,Radicals,CH-1-1,  Radicals
CH,2,prtvtch,2,Christian-democrats,CH-6-4,  Christian Democrats
CH,2,prtvtch,3,Social-democrats,CH-1-3,  Socialist Party
CH,2,prtvtch,4,Swiss People's Party,CH-4-4,  Swiss People's Party
CH,2,prtvtch,5,Liberal Party,CH-1-5,  Liberal Party
CH,2,prtvtch,7,Evangelical People's Party,CH-3-6,  Evangelical People’s Party
CH,2,prtvtch,8,Christian-Social Party,CH-7-13,  Christian Social Party
CH,2,prtvtch,9,Swiss Labour Party,CH-4-7,  Swiss Labour Party
CH,2,prtvtch,10,Green Party,CH-4-8,  Green Party
CH,2,prtvtch,11,Swiss Democrats,CH-5-10,  Swiss Democrats
CH,2,prtvtch,12,Federal Democratic Union,CH-2-12,  Federal Democratic Union
CH,2,prtvtch,13,Freiheits-Partei,CH-1-13,  Freiheits-Partei
CH,2,prtvtch,14,Women's Parties,CH-2-14,  Women's Parties
CH,2,prtvtch,15,Lega dei Ticinesi,CH-4-13, Lega dei Ticinesi Ticino League
CH,2,prtvtch,16,Others,CH-1-16,  Others
CH,2,prtvtch,17,Not applicable,NA,NA
CH,2,prtvtch,18,Refusal,NA,NA
CH,2,prtvtch,19,Don't know,NA,NA
CH,3,prtvtach,1,Radicals,CH-1-1,  Radicals
CH,3,prtvtach,2,Christian-democrats,CH-6-4,  Christian Democrats
CH,3,prtvtach,3,Social-democrats,CH-1-3,  Socialist Party
CH,3,prtvtach,4,Swiss People's Party,CH-4-4,  Swiss People's Party
CH,3,prtvtach,5,Liberal Party,CH-1-5,  Liberal Party
CH,3,prtvtach,6,Evangelical People's Party,CH-3-6,  Evangelical People’s Party
CH,3,prtvtach,7,Christian-Social Party,CH-7-13,  Christian Social Party
CH,3,prtvtach,8,Swiss Labour Party,CH-4-7,  Swiss Labour Party
CH,3,prtvtach,9,Green Party,CH-4-8,  Green Party
CH,3,prtvtach,10,Swiss Democrats,CH-5-10,  Swiss Democrats
CH,3,prtvtach,11,Federal Democratic Union,CH-2-12,  Federal Democratic Union
CH,3,prtvtach,12,Freiheits-Partei,CH-1-13,  Freiheits-Partei
CH,3,prtvtach,13,Women's Parties,CH-2-14,  Women's Parties
CH,3,prtvtach,14,Lega dei Ticinesi,CH-4-13, Lega dei Ticinesi Ticino League
CH,3,prtvtach,15,Others,CH-1-16,  Others
CH,3,prtvtach,16,Not applicable,NA,NA
CH,3,prtvtach,17,Refusal,NA,NA
CH,3,prtvtach,18,Don't know,NA,NA
CH,4,prtvtbch,1,Radicals,CH-1-1,  Radicals
CH,4,prtvtbch,2,Christian democrats,CH-6-4,  Christian Democrats
CH,4,prtvtbch,3,Socialist party,CH-1-3,  Socialist Party
CH,4,prtvtbch,4,Swiss people party,CH-4-4,  Swiss People's Party
CH,4,prtvtbch,5,Liberal party,CH-1-5,  Liberal Party
CH,4,prtvtbch,6,Christian-social,CH-7-13,  Christian Social Party
CH,4,prtvtbch,7,Swiss labor party,CH-4-7,  Swiss Labour Party
CH,4,prtvtbch,8,Green party,CH-4-8,  Green Party
CH,4,prtvtbch,9,Green liberal party,CH-6-6,  Green Liberal Party
CH,4,prtvtbch,10,Swiss democrats,CH-5-10,  Swiss Democrats
CH,4,prtvtbch,11,Federal Democratic Union,CH-2-12,  Federal Democratic Union
CH,4,prtvtbch,12,Evangelical People's Party,CH-3-6,  Evangelical People’s Party
CH,4,prtvtbch,13,Lega dei Ticinese,CH-4-13, Lega dei Ticinesi Ticino League
CH,4,prtvtbch,15,Blank paper,CH-4-15,  Blank paper
CH,4,prtvtbch,16,Mixed vote,CH-5-15,  Mixed vote
CH,4,prtvtbch,17,Not applicable,NA,NA
CH,4,prtvtbch,18,Refusal,NA,NA
CH,4,prtvtbch,19,Don't know,NA,NA
CH,4,prtvtbch,20,No answer,NA,NA
CH,5,prtvtcch,1,Radicals,CH-1-1,  Radicals
CH,5,prtvtcch,2,Christian Democrats,CH-6-4,  Christian Democrats
CH,5,prtvtcch,3,Socialist Party,CH-1-3,  Socialist Party
CH,5,prtvtcch,4,Swiss People’s Party,CH-4-4,  Swiss People's Party
CH,5,prtvtcch,5,Liberal Party,CH-1-5,  Liberal Party
CH,5,prtvtcch,6,Christian-Social Party,CH-7-13,  Christian Social Party
CH,5,prtvtcch,7,Swiss Labour Party,CH-4-7,  Swiss Labour Party
CH,5,prtvtcch,8,Green Party,CH-4-8,  Green Party
CH,5,prtvtcch,9,Green Liberal Party,CH-6-6,  Green Liberal Party
CH,5,prtvtcch,10,Swiss Democrats,CH-5-10,  Swiss Democrats
CH,5,prtvtcch,11,Federal Democratic Union,CH-2-12,  Federal Democratic Union
CH,5,prtvtcch,12,Evangelical People’s Party,CH-3-6,  Evangelical People’s Party
CH,5,prtvtcch,13,Ticino League,CH-4-13, Lega dei Ticinesi Ticino League
CH,5,prtvtcch,14,Blank paper,CH-4-15,  Blank paper
CH,5,prtvtcch,15,Mixed vote,CH-5-15,  Mixed vote
CH,5,prtvtcch,16,Other party,CH-7-18,  Others
CH,5,prtvtcch,17,Not applicable,NA,NA
CH,5,prtvtcch,18,Refusal,NA,NA
CH,5,prtvtcch,19,Don't know,NA,NA
CH,6,prtvtdch,1,Swiss People's Party,CH-4-4,  Swiss People's Party
CH,6,prtvtdch,2,Socialist Party,CH-1-3,  Socialist Party
CH,6,prtvtdch,3,Radical Liberals,CH-7-3,FDP Radical Liberals
CH,6,prtvtdch,4,Christian Democrats,CH-6-4,  Christian Democrats
CH,6,prtvtdch,5,Green Party,CH-4-8,  Green Party
CH,6,prtvtdch,6,Green Liberal Party,CH-6-6,  Green Liberal Party
CH,6,prtvtdch,7,Bourgois-democratic Party,CH-6-7,  Conservative Democratic Party / Bourgois-democratic Party
CH,6,prtvtdch,8,Evangelical People's Party,CH-3-6,  Evangelical People’s Party
CH,6,prtvtdch,9,Federal Democratic Union,CH-2-12,  Federal Democratic Union
CH,6,prtvtdch,11,Swiss Labour Party,CH-4-7,  Swiss Labour Party
CH,6,prtvtdch,12,Movement of the Citizens belonging to French-speaking Switze,CH-7-12, Movement of the Citizens belonging to French-speaking Switze 
CH,6,prtvtdch,14,Alternative Left,CH-6-14,  Alternative Left
CH,6,prtvtdch,15,Swiss Democrats,CH-5-10,  Swiss Democrats
CH,6,prtvtdch,16,Pirate Party Switzerland,CH-6-16,  Pirate Party Switzerland
CH,6,prtvtdch,18,Blank paper,CH-4-15,  Blank paper
CH,6,prtvtdch,19,Mixed vote,CH-5-15,  Mixed vote
CH,6,prtvtdch,20,Not applicable,NA,NA
CH,6,prtvtdch,21,Refusal,NA,NA
CH,6,prtvtdch,22,Don't know,NA,NA
CH,7,prtvtech,1,Swiss People's Party,CH-4-4,  Swiss People's Party
CH,7,prtvtech,2,Socialist Party,CH-1-3,  Socialist Party
CH,7,prtvtech,3,Radical Liberals,CH-7-3,FDP Radical Liberals
CH,7,prtvtech,4,Christian Democrats,CH-6-4,  Christian Democrats
CH,7,prtvtech,5,Green Party,CH-4-8,  Green Party
CH,7,prtvtech,6,Green Liberal Party,CH-6-6,  Green Liberal Party
CH,7,prtvtech,7,Bourgois-democratic Party,CH-6-7,  Conservative Democratic Party / Bourgois-democratic Party
CH,7,prtvtech,8,Evangelical People's Party,CH-3-6,  Evangelical People’s Party
CH,7,prtvtech,9,Federal Democratic Union,CH-2-12,  Federal Democratic Union
CH,7,prtvtech,10,Ticino League,CH-4-13, Lega dei Ticinesi Ticino League
CH,7,prtvtech,11,Swiss Labour Party,CH-4-7,  Swiss Labour Party
CH,7,prtvtech,12,Movement of the Citizens belonging to French-speaking Switze,CH-7-12, Movement of the Citizens belonging to French-speaking Switze 
CH,7,prtvtech,13,Christian Social Party,CH-7-13,  Christian Social Party
CH,7,prtvtech,14,Alternative Left,CH-6-14,  Alternative Left
CH,7,prtvtech,18,Other party,CH-7-18,  Others
CH,7,prtvtech,19,Blank paper,CH-4-15,  Blank paper
CH,7,prtvtech,21,Not applicable,NA,NA
CH,7,prtvtech,22,Refusal,NA,NA
CH,7,prtvtech,23,Don't know,NA,NA
CY,3,prtvtcy,1,Progressive Party of Working People (AKEL),CY-5-1,AKEL Progressive Party of Working People
CY,3,prtvtcy,2,Democratic Party (DIKO),CY-4-2,DIKO Democratic Party
CY,3,prtvtcy,3,Democratic Rally (DISY),CY-6-3,DHSY/DISY Democratic Rally
CY,3,prtvtcy,4,European Party (EVROKO),CY-3-4,EYROKO/EVROKO European Party
CY,3,prtvtcy,5,The Cyprus Green Party,CY-4-5,  The Cyprus Green Party
CY,3,prtvtcy,6,United Democrats (EDI),CY-4-6,EDI United Democrats
CY,3,prtvtcy,7,Social Democrats (KS EDEK),CY-3-7,KS-EDEK Social Democrats
CY,3,prtvtcy,8,Other,NA,NA
CY,3,prtvtcy,9,Not applicable,NA,NA
CY,3,prtvtcy,10,Refusal,NA,NA
CY,3,prtvtcy,11,Don't know,NA,NA
CY,3,prtvtcy,12,No answer,NA,NA
CY,4,prtvtcy,1,Progressive Party of Working People (AKEL),CY-5-1,AKEL Progressive Party of Working People
CY,4,prtvtcy,2,Democratic Party (DIKO),CY-4-2,DIKO Democratic Party
CY,4,prtvtcy,3,Democratic Rally (DISY),CY-6-3,DHSY/DISY Democratic Rally
CY,4,prtvtcy,4,European Party (EVROKO),CY-3-4,EYROKO/EVROKO European Party
CY,4,prtvtcy,5,The Cyprus Green Party,CY-4-5,  The Cyprus Green Party
CY,4,prtvtcy,6,United Democrats (EDI),CY-4-6,EDI United Democrats
