cntry,essround,variable,ess_id,party,share,party_id,name_gsheet,partyfacts_id,partyfacts_name
BE,1,prtvtbe,11,PSC,2.9,BE-4-7,PSC/CDH,2338,CDH
BE,1,prtvtbe,12,PRL-FDF,4.7,BE-1-12,PRL-FDF,698,FDF
BE,1,prtvtbe,13,PS,6.8,BE-6-13,PS,500,PS
BE,1,prtvtbe,14,FRONT NATIONAL,0.3,BE-2-11,FRONT Front National,191,FN
BE,1,prtvtbe,15,PTB-UA,0.2,BE-7-14,PTB,1753,PA-PTB
BE,1,prtvtbe,16,OTHER,1.1,BE-1-16,Other,NA,NA
BE,1,prtvtbe,17,Not applicable,21.1,NA,NA,NA,NA
BE,1,prtvtbe,18,Refusal,8.4,NA,NA,NA,NA
BE,1,prtvtbe,19,Don't know,6.6,NA,NA,NA,NA
BE,1,prtvtbe,20,No answer,0.8,NA,NA,NA,NA
BE,2,prtvtabe,1,Agalev/Groen!,2.4,BE-1-1,Agalev/Groen!,528,AGL-Gr
BE,2,prtvtabe,2,CD&V,10.9,BE-3-2,CD&V,604,CD&V
BE,2,prtvtabe,3,N-VA,1.3,BE-5-3,N-VA,36,N-VA
BE,2,prtvtabe,5,SP.A-Spirit,10.6,BE-2-5,SP.A-Spirit,1586,SPA/Spirit
BE,2,prtvtabe,6,Vivant,0.3,BE-3-6,VIVANT Vivant,76,V
BE,2,prtvtabe,7,Vlaams Blok,7.1,BE-2-7,Vlaams Blok,553,VB
BE,2,prtvtabe,8,VLD,10.8,BE-6-8,VLD Open VLD,49,PVV-OVLD
BE,2,prtvtabe,9,CDH,4,BE-4-7,PSC/CDH,2338,CDH
BE,2,prtvtabe,10,Ecolo,2.9,BE-5-10,ECOLO,1563,Ecolo
BE,2,prtvtabe,11,Front National,1.2,BE-2-11,FRONT Front National,191,FN
BE,2,prtvtabe,12,MR,7.9,BE-2-12,MR MR,789,MR
BE,2,prtvtabe,13,PS,10.7,BE-6-13,PS,500,PS
BE,2,prtvtabe,14,Other,0.4,BE-1-16,Other,NA,NA
BE,2,prtvtabe,15,Blank,1.9,BE-2-15,Blanco,NA,NA
BE,2,prtvtabe,16,Invalid,0.3,BE-4-14,Invalid,3002,tech
BE,2,prtvtabe,17,Not applicable,15.7,NA,NA,NA,NA
BE,2,prtvtabe,18,Refusal,6,NA,NA,NA,NA
BE,2,prtvtabe,19,Don't know,5.4,NA,NA,NA,NA
BE,3,prtvtabe,1,Agalev/Groen!,3.1,BE-1-1,Agalev/Groen!,528,AGL-Gr
BE,3,prtvtabe,2,CD&V,14.5,BE-3-2,CD&V,604,CD&V
BE,3,prtvtabe,3,N-VA,1.4,BE-5-3,N-VA,36,N-VA
BE,3,prtvtabe,5,SP.A-Spirit,8.3,BE-2-5,SP.A-Spirit,1586,SPA/Spirit
BE,3,prtvtabe,6,Vivant,0.4,BE-3-6,VIVANT Vivant,76,V
BE,3,prtvtabe,7,Vlaams Blok,6,BE-2-7,Vlaams Blok,553,VB
BE,3,prtvtabe,8,VLD,10.5,BE-6-8,VLD Open VLD,49,PVV-OVLD
BE,3,prtvtabe,9,CDH,3.4,BE-4-7,PSC/CDH,2338,CDH
BE,3,prtvtabe,10,Ecolo,2.7,BE-5-10,ECOLO,1563,Ecolo
BE,3,prtvtabe,11,Front National,0.6,BE-2-11,FRONT Front National,191,FN
BE,3,prtvtabe,12,MR,7.5,BE-2-12,MR MR,789,MR
BE,3,prtvtabe,13,PS,9.3,BE-6-13,PS,500,PS
BE,3,prtvtabe,14,Other,0.5,BE-1-16,Other,NA,NA
BE,3,prtvtabe,15,Blank,1.2,BE-2-15,Blanco,NA,NA
BE,3,prtvtabe,16,Invalid,0.3,BE-4-14,Invalid,3002,tech
BE,3,prtvtabe,17,Not applicable,19.5,NA,NA,NA,NA
BE,3,prtvtabe,18,Refusal,5.1,NA,NA,NA,NA
BE,3,prtvtabe,19,Don't know,5.7,NA,NA,NA,NA
BE,4,prtvtbbe,1,Groen!,2.6,BE-1-1,Agalev/Groen!,528,AGL-Gr
BE,4,prtvtbbe,2,CD&V + N-VA,16.8,BE-4-2,CD&V + N-VA,756,CD&V/N-VA
BE,4,prtvtbbe,3,Lijst Dedecker,1.8,BE-4-3,Lijst Dedecker,43,LD/LDD
BE,4,prtvtbbe,4,SP.A. + Vlaams - Progressieven (Spirit),8.2,BE-2-5,SP.A-Spirit,1586,SPA/Spirit
BE,4,prtvtbbe,5,Vlaams Belang,5.5,BE-4-5,Vlaams Belang,1968,VB
BE,4,prtvtbbe,6,Open VLD + Vivant,9,BE-4-6,Open VLD + Vivant,49,PVV-OVLD
BE,4,prtvtbbe,7,CDH,4.8,BE-4-7,PSC/CDH,2338,CDH
BE,4,prtvtbbe,8,Ecolo,3.7,BE-5-10,ECOLO,1563,Ecolo
BE,4,prtvtbbe,9,Front National,0.3,BE-2-11,FRONT Front National,191,FN
BE,4,prtvtbbe,10,MR,7.4,BE-2-12,MR MR,789,MR
BE,4,prtvtbbe,11,PS,10.5,BE-6-13,PS,500,PS
BE,4,prtvtbbe,12,Other,0.9,BE-1-16,Other,NA,NA
BE,4,prtvtbbe,13,Blank,1.3,BE-2-15,Blanco,NA,NA
BE,4,prtvtbbe,14,Invalid,0.6,BE-4-14,Invalid,3002,tech
BE,4,prtvtbbe,15,Not applicable,18.5,NA,NA,NA,NA
BE,4,prtvtbbe,16,Refusal,4.8,NA,NA,NA,NA
BE,4,prtvtbbe,17,Don't know,3.4,NA,NA,NA,NA
BE,5,prtvtcbe,1,Groen!,3.7,BE-1-1,Agalev/Groen!,528,AGL-Gr
BE,5,prtvtcbe,2,CD&V,8.8,BE-3-2,CD&V,604,CD&V
BE,5,prtvtcbe,3,N-VA,16.4,BE-5-3,N-VA,36,N-VA
BE,5,prtvtcbe,4,Lijst Dedecker,0.3,BE-4-3,Lijst Dedecker,43,LD/LDD
BE,5,prtvtcbe,5,SP.A,7.5,BE-1-3,SP.A,1680,SPA
BE,5,prtvtcbe,6,PVDA+,0.3,BE-1-7,PVDA,1753,PA-PTB
BE,5,prtvtcbe,7,Vlaams Belang,3.6,BE-4-5,Vlaams Belang,1968,VB
BE,5,prtvtcbe,8,Open VLD,5.6,BE-6-8,VLD Open VLD,49,PVV-OVLD
BE,5,prtvtcbe,9,CDH,3.6,BE-4-7,PSC/CDH,2338,CDH
BE,5,prtvtcbe,10,Ecolo,4.1,BE-5-10,ECOLO,1563,Ecolo
BE,5,prtvtcbe,11,Front National,0.1,BE-2-11,FRONT Front National,191,FN
BE,5,prtvtcbe,12,MR,6.3,BE-2-12,MR MR,789,MR
BE,5,prtvtcbe,13,PS,9.2,BE-6-13,PS,500,PS
BE,5,prtvtcbe,14,PTB,0.5,BE-7-14,PTB,1753,PA-PTB
BE,5,prtvtcbe,15,Parti Populaire,0.5,BE-7-15,Parti Populaire,639,Pp
BE,5,prtvtcbe,16,Other,0.6,BE-1-16,Other,NA,NA
BE,5,prtvtcbe,17,Blanco,1.8,BE-6-17,Blanco,NA,NA
BE,5,prtvtcbe,18,Ongeldig,0.8,BE-6-18,Ongeldig,3002,tech
BE,5,prtvtcbe,19,Not applicable,18.5,NA,NA,NA,NA
BE,5,prtvtcbe,20,Refusal,4.9,NA,NA,NA,NA
BE,5,prtvtcbe,21,Don't know,2.9,NA,NA,NA,NA
BE,6,prtvtcbe,1,Groen!,3.4,BE-1-1,Agalev/Groen!,528,AGL-Gr
BE,6,prtvtcbe,2,CD&V,10.4,BE-3-2,CD&V,604,CD&V
BE,6,prtvtcbe,3,N-VA,10.4,BE-5-3,N-VA,36,N-VA
BE,6,prtvtcbe,4,Lijst Dedecker,0.3,BE-4-3,Lijst Dedecker,43,LD/LDD
BE,6,prtvtcbe,5,SP.A,7.7,BE-1-3,SP.A,1680,SPA
BE,6,prtvtcbe,6,PVDA+,0.3,BE-1-7,PVDA,1753,PA-PTB
BE,6,prtvtcbe,7,Vlaams Belang,2.5,BE-4-5,Vlaams Belang,1968,VB
BE,6,prtvtcbe,8,Open VLD,7.1,BE-6-8,VLD Open VLD,49,PVV-OVLD
BE,6,prtvtcbe,9,CDH,3.9,BE-4-7,PSC/CDH,2338,CDH
BE,6,prtvtcbe,10,Ecolo,3.7,BE-5-10,ECOLO,1563,Ecolo
BE,6,prtvtcbe,11,Front National,0.4,BE-2-11,FRONT Front National,191,FN
BE,6,prtvtcbe,12,MR,6.5,BE-2-12,MR MR,789,MR
BE,6,prtvtcbe,13,PS,10.9,BE-6-13,PS,500,PS
BE,6,prtvtcbe,14,PTB,0.2,BE-7-14,PTB,1753,PA-PTB
BE,6,prtvtcbe,15,Parti Populaire,0.1,BE-7-15,Parti Populaire,639,Pp
BE,6,prtvtcbe,16,Other,1.6,BE-1-16,Other,NA,NA
BE,6,prtvtcbe,17,Blanco,2.4,BE-6-17,Blanco,NA,NA
BE,6,prtvtcbe,18,Ongeldig,1,BE-6-18,Ongeldig,3002,tech
BE,6,prtvtcbe,19,Not applicable,21.6,NA,NA,NA,NA
BE,6,prtvtcbe,20,Refusal,0.2,NA,NA,NA,NA
BE,6,prtvtcbe,21,Don't know,5.6,NA,NA,NA,NA
BE,7,prtvtcbe,1,Groen!,4.4,BE-1-1,Agalev/Groen!,528,AGL-Gr
BE,7,prtvtcbe,2,CD&V,10.4,BE-3-2,CD&V,604,CD&V
BE,7,prtvtcbe,3,N-VA,15.5,BE-5-3,N-VA,36,N-VA
BE,7,prtvtcbe,5,SP.A,5.3,BE-1-3,SP.A,1680,SPA
BE,7,prtvtcbe,6,PVDA+,1.1,BE-1-7,PVDA,1753,PA-PTB
BE,7,prtvtcbe,7,Vlaams Belang,1.6,BE-4-5,Vlaams Belang,1968,VB
BE,7,prtvtcbe,8,Open VLD,5.9,BE-6-8,VLD Open VLD,49,PVV-OVLD
BE,7,prtvtcbe,9,CDH,3.7,BE-4-7,PSC/CDH,2338,CDH
BE,7,prtvtcbe,10,Ecolo,2.8,BE-5-10,ECOLO,1563,Ecolo
BE,7,prtvtcbe,11,Front National,0.2,BE-2-11,FRONT Front National,191,FN
BE,7,prtvtcbe,12,MR,8.1,BE-2-12,MR MR,789,MR
BE,7,prtvtcbe,13,PS,10.9,BE-6-13,PS,500,PS
BE,7,prtvtcbe,14,PTB,1.6,BE-7-14,PTB,1753,PA-PTB
BE,7,prtvtcbe,15,Parti Populaire,0.8,BE-7-15,Parti Populaire,639,Pp
BE,7,prtvtcbe,16,Other,1.6,BE-1-16,Other,NA,NA
BE,7,prtvtcbe,17,Blanco,2.4,BE-6-17,Blanco,NA,NA
BE,7,prtvtcbe,18,Ongeldig,0.4,BE-6-18,Ongeldig,3002,tech
BE,7,prtvtcbe,19,Not applicable,19.1,NA,NA,NA,NA
BE,7,prtvtcbe,20,Refusal,0.1,NA,NA,NA,NA
BE,7,prtvtcbe,21,Don't know,3.9,NA,NA,NA,NA
BG,3,prtvtbg,1,BSP,28.9,BG-6-2,BSP Balgarska sotsialisticheska partia,757,BSP
BG,3,prtvtbg,2,DPS,5.6,BG-3-2,DPS Dvizhenie za prava i svobodi,982,DPS
BG,3,prtvtbg,3,Coalition of the rose,0.3,BG-3-3,Koalitziia na Rozata Coalition of the Rose,2054,KR
BG,3,prtvtbg,4,DSB,1.6,BG-4-4,DSB Demokrati za silna Bulgaria,1195,DSB
BG,3,prtvtbg,5,NDSV,4.5,BG-3-5,NDSV,374,NDSV
BG,3,prtvtbg,6,SDS,4.4,BG-3-6,SDS Sayuz na demokratichnite sili,482,SDS
BG,3,prtvtbg,7,BNS,0.9,BG-5-15,BNS/ND Koalitziia Balgarski Natsionalen Saiuz,263,BNS
BG,3,prtvtbg,8,Novoto Vreme,0.8,BG-3-8,„Novoto vreme” Emil Koshlukov,2022,HB
BG,3,prtvtbg,9,Evroroma,0.1,BG-3-9,Politichesko dvijenie Evroroma,2055,ER
BG,3,prtvtbg,10,Coalition Ataka,5.1,BG-3-10,Koalitziia Ataka Coalition Ataka,4798,Attack
BG,3,prtvtbg,11,Other,0.3,NA,NA,NA,NA
BG,3,prtvtbg,12,Not applicable,33.7,NA,NA,NA,NA
BG,3,prtvtbg,13,Refusal,12.1,NA,NA,NA,NA
BG,3,prtvtbg,14,Don't know,1.4,NA,NA,NA,NA
BG,3,prtvtbg,15,No answer,0.2,NA,NA,NA,NA
BG,4,prtvtabg,1,Koalitziia za Balgariia,21.9,BG-5-2,BSP Koalitziia za Balgariia,1665,KzB
BG,4,prtvtabg,2,Dvijenie za Prava i Svobodi,8.8,BG-4-2,Dvijenie za Prava i Svobodi,982,DPS
BG,4,prtvtabg,3,Koalitziia na Rozata,0.1,BG-3-3,Koalitziia na Rozata Coalition of the Rose,2054,KR
BG,4,prtvtabg,4,Demokrati za Silna Balgariia,2.2,BG-4-4,DSB Demokrati za silna Bulgaria,1195,DSB
BG,4,prtvtabg,5,Natzionalno Dvijenie Simeon II,5.4,BG-4-5,Natzionalno Dvijenie Simeon II,374,NDSV
BG,4,prtvtabg,6,Koalitziia ODS,7.3,BG-4-6,ODS Koalitziia,1183,ODS
BG,4,prtvtabg,7,Koalitziia BNS,1.6,BG-5-15,BNS/ND Koalitziia Balgarski Natsionalen Saiuz,263,BNS
BG,4,prtvtabg,8,Novo Vreme,0.3,BG-3-8,Novo Vreme,2022,HB
BG,4,prtvtabg,9,Evroroma,0.1,BG-3-9,Politichesko dvijenie Evroroma,2055,ER
BG,4,prtvtabg,10,Koalitziia Ataka,4.6,BG-3-10,Koalitziia Ataka Coalition Ataka,4798,Attack
BG,4,prtvtabg,11,Other,0.6,NA,NA,NA,NA
BG,4,prtvtabg,12,Not applicable,31.7,NA,NA,NA,NA
BG,4,prtvtabg,13,Refusal,12.8,NA,NA,NA,NA
BG,4,prtvtabg,14,Don't know,2.6,NA,NA,NA,NA
BG,5,prtvtbbg,1,GERB,34,BG-5-1,GERB,760,GERB
BG,5,prtvtbbg,2,Koalitsia za Balgaria (BSP; PBS; Zemedelski saiuz) Al. Stamb,14.2,BG-5-2,BSP Koalitziia za Balgariia,1665,KzB
BG,5,prtvtbbg,3,DPS - Dvijenie za prava i svobodi,6.7,BG-3-2,DPS Dvizhenie za prava i svobodi,982,DPS
BG,5,prtvtbbg,4,Siniata koalitsia (SDS; DSB),3.2,BG-5-4,SDS Siniata koalitsia,58,BC
BG,5,prtvtbbg,5,Partia Ataka,2.5,BG-3-10,Ataka Partia Ataka,4798,Attack
BG,5,prtvtbbg,6,"Red, zakonnost i spravedlivost (RZS)",0.6,BG-5-6,"RZS Red, zakonnost i spravedlivost",272,RZS
BG,5,prtvtbbg,7,NDSV,0.9,BG-3-5,NDSV,374,NDSV
BG,5,prtvtbbg,8,PP Lider,0.4,BG-5-8,Lider,265,LR
BG,5,prtvtbbg,11,PP Zelenite,0.1,BG-5-11,„Zelena partia” Aleksandar Karakachanov,659,ZP
BG,5,prtvtbbg,15,Balgarski Natsionalen Saiuz – ND,0,BG-5-15,BNS/ND Koalitziia Balgarski Natsionalen Saiuz,263,BNS
BG,5,prtvtbbg,16,Druga politicheska sila,0.2,BG-5-16,Druga politicheska sila,2634,unknown
BG,5,prtvtbbg,17,Nezavisim kandidat,0.2,BG-6-13,"Nezavisim kandidat/Kandidati, izdignati ot Initsiativni komiteti",2633,indep
BG,5,prtvtbbg,18,Not applicable,24.8,NA,NA,NA,NA
BG,5,prtvtbbg,19,Refusal,11.5,NA,NA,NA,NA
BG,5,prtvtbbg,20,Don't know,0.7,NA,NA,NA,NA
BG,5,prtvtbbg,21,No answer,0,NA,NA,NA,NA
BG,6,prtvtcbg,1,PP GERB,34.2,BG-5-1,GERB,760,GERB
BG,6,prtvtcbg,2,Balgarska sotsialisticheska partia (BSP),20.7,BG-6-2,BSP Balgarska sotsialisticheska partia,757,BSP
BG,6,prtvtcbg,3,PP Ataka,1.2,BG-3-10,PP Ataka,4798,Attack
BG,6,prtvtcbg,4,"PP Red, zakonnost i spravedlivost (RZS)",0.3,BG-6-4,"RZS Red, zakonnost i spravedlivost",2635,1-perc
BG,6,prtvtcbg,5,PP VMRO – Balgarsko natsionalno dvizhenie,0.3,BG-6-5,VMRO Balgarsko natsionalno dvizhenie,2056,IMRO
BG,6,prtvtcbg,6,PP BZNS,0.1,BG-6-6,BZNS,2060,BZNS-NP
BG,6,prtvtcbg,7,PP Natsionalen front za dpasenie na Bulgaria,0.6,BG-6-7,Natsionalen front za dpasenie na Bulgaria,2057,NFSB
BG,6,prtvtcbg,8,KP Sayuz na desnite sili,1.4,BG-6-8,KP Sayuz na desnite sili,482,SDS
BG,6,prtvtcbg,9,PP Natsionalno dvizhenie Edinstvo,0,BG-6-9,Natsionalno dvizhenie Edinstvo,2635,1-perc
BG,6,prtvtcbg,11,PP Partia za horata ot naroda,0,BG-6-11,Partia za horata ot naroda,2634,unknown
BG,6,prtvtcbg,12,PP Balgarska demokratichna obshtnost,0,BG-6-12,Balgarska demokratichna obshtnost,2635,1-perc
BG,6,prtvtcbg,13,"Kandidati, izdignati ot Initsiativni komiteti",0.8,BG-6-13,"Nezavisim kandidat/Kandidati, izdignati ot Initsiativni komiteti",2633,indep
BG,6,prtvtcbg,14,Not applicable,27.9,NA,NA,NA,NA
BG,6,prtvtcbg,15,Refusal,10.4,NA,NA,NA,NA
BG,6,prtvtcbg,16,Don't know,1.8,NA,NA,NA,NA
BG,6,prtvtcbg,17,No answer,0,NA,NA,NA,NA
CH,1,prtvtch,1,Radicals,6.9,CH-1-1,Radicals,360,FDP
CH,1,prtvtch,2,Christian-democrats,5.3,CH-6-4,Christian Democrats,1808,KK/CVP
CH,1,prtvtch,3,Social-democrats,14,CH-1-3,Socialist Party,29,SP
CH,1,prtvtch,4,Swiss People's Party,8.5,CH-4-4,Swiss People's Party,308,SVP
CH,1,prtvtch,5,Liberal Party,1.7,CH-1-5,Liberal Party,444,LPS
CH,1,prtvtch,6,Alliance of the Independents,0.2,CH-1-6,Alliance of the Independents,1194,LdU
CH,1,prtvtch,7,Evangelical People's Party,1,CH-3-6,Evangelical People’s Party,1123,EVP
CH,1,prtvtch,8,Christian-Social Party,0.3,CH-7-13,Christian Social Party,1122,CsP
CH,1,prtvtch,9,Swiss Labour Party,0.3,CH-4-7,Swiss Labour Party,669,PdA
CH,1,prtvtch,10,Green Party,2.9,CH-4-8,Green Party,1006,Grue
CH,1,prtvtch,11,Swiss Democrats,0.1,CH-5-10,Swiss Democrats,1819,NA-SD
CH,1,prtvtch,12,Federal Democratic Union,0.3,CH-2-12,Federal Democratic Union,631,EDU
CH,1,prtvtch,13,Freiheits-Partei,0.2,CH-1-13,Freiheits-Partei,1311,A/FPS
CH,1,prtvtch,14,Women's Parties,0.1,CH-2-14,Women's Parties,1201,FGr
CH,1,prtvtch,15,Lega dei Ticinesi,0,CH-4-13,Lega dei Ticinesi Ticino League,1661,LdT
CH,1,prtvtch,16,Others,3.5,CH-1-16,Others,NA,NA
CH,1,prtvtch,17,Not applicable,44.2,NA,NA,NA,NA
CH,1,prtvtch,18,Refusal,1.8,NA,NA,NA,NA
CH,1,prtvtch,19,Don't know,8.7,NA,NA,NA,NA
CH,2,prtvtch,1,Radicals,5.7,CH-1-1,Radicals,360,FDP
CH,2,prtvtch,2,Christian-democrats,5.9,CH-6-4,Christian Democrats,1808,KK/CVP
CH,2,prtvtch,3,Social-democrats,11.4,CH-1-3,Socialist Party,29,SP
CH,2,prtvtch,4,Swiss People's Party,12.8,CH-4-4,Swiss People's Party,308,SVP
CH,2,prtvtch,5,Liberal Party,1.3,CH-1-5,Liberal Party,444,LPS
CH,2,prtvtch,7,Evangelical People's Party,1,CH-3-6,Evangelical People’s Party,1123,EVP
CH,2,prtvtch,8,Christian-Social Party,0.3,CH-7-13,Christian Social Party,1122,CsP
CH,2,prtvtch,9,Swiss Labour Party,0.3,CH-4-7,Swiss Labour Party,669,PdA
CH,2,prtvtch,10,Green Party,4.3,CH-4-8,Green Party,1006,Grue
CH,2,prtvtch,11,Swiss Democrats,0.1,CH-5-10,Swiss Democrats,1819,NA-SD
CH,2,prtvtch,12,Federal Democratic Union,0.7,CH-2-12,Federal Democratic Union,631,EDU
CH,2,prtvtch,13,Freiheits-Partei,0,CH-1-13,Freiheits-Partei,1311,A/FPS
CH,2,prtvtch,14,Women's Parties,0.2,CH-2-14,Women's Parties,1201,FGr
CH,2,prtvtch,15,Lega dei Ticinesi,0,CH-4-13,Lega dei Ticinesi Ticino League,1661,LdT
CH,2,prtvtch,16,Others,3.5,CH-1-16,Others,NA,NA
CH,2,prtvtch,17,Not applicable,44.5,NA,NA,NA,NA
CH,2,prtvtch,18,Refusal,1.1,NA,NA,NA,NA
CH,2,prtvtch,19,Don't know,6.6,NA,NA,NA,NA
CH,3,prtvtach,1,Radicals,6,CH-1-1,Radicals,360,FDP
CH,3,prtvtach,2,Christian-democrats,5.8,CH-6-4,Christian Democrats,1808,KK/CVP
CH,3,prtvtach,3,Social-democrats,11.4,CH-1-3,Socialist Party,29,SP
CH,3,prtvtach,4,Swiss People's Party,10,CH-4-4,Swiss People's Party,308,SVP
CH,3,prtvtach,5,Liberal Party,0.8,CH-1-5,Liberal Party,444,LPS
CH,3,prtvtach,6,Evangelical People's Party,1,CH-3-6,Evangelical People’s Party,1123,EVP
CH,3,prtvtach,7,Christian-Social Party,0.2,CH-7-13,Christian Social Party,1122,CsP
CH,3,prtvtach,8,Swiss Labour Party,0.3,CH-4-7,Swiss Labour Party,669,PdA
CH,3,prtvtach,9,Green Party,5.4,CH-4-8,Green Party,1006,Grue
CH,3,prtvtach,10,Swiss Democrats,0.1,CH-5-10,Swiss Democrats,1819,NA-SD
CH,3,prtvtach,11,Federal Democratic Union,0.5,CH-2-12,Federal Democratic Union,631,EDU
CH,3,prtvtach,12,Freiheits-Partei,0.1,CH-1-13,Freiheits-Partei,1311,A/FPS
CH,3,prtvtach,13,Women's Parties,0.2,CH-2-14,Women's Parties,1201,FGr
CH,3,prtvtach,14,Lega dei Ticinesi,0.1,CH-4-13,Lega dei Ticinesi Ticino League,1661,LdT
CH,3,prtvtach,15,Others,2.4,CH-1-16,Others,NA,NA
CH,3,prtvtach,16,Not applicable,47.3,NA,NA,NA,NA
CH,3,prtvtach,17,Refusal,1.3,NA,NA,NA,NA
CH,3,prtvtach,18,Don't know,7.2,NA,NA,NA,NA
CH,4,prtvtbch,1,Radicals,5.3,CH-1-1,Radicals,360,FDP
CH,4,prtvtbch,2,Christian democrats,5.1,CH-6-4,Christian Democrats,1808,KK/CVP
CH,4,prtvtbch,3,Socialist party,9.8,CH-1-3,Socialist Party,29,SP
CH,4,prtvtbch,4,Swiss people party,11.4,CH-4-4,Swiss People's Party,308,SVP
CH,4,prtvtbch,5,Liberal party,1,CH-1-5,Liberal Party,444,LPS
CH,4,prtvtbch,6,Christian-social,0.4,CH-7-13,Christian Social Party,1122,CsP
CH,4,prtvtbch,7,Swiss labor party,0.3,CH-4-7,Swiss Labour Party,669,PdA
CH,4,prtvtbch,8,Green party,5.7,CH-4-8,Green Party,1006,Grue
CH,4,prtvtbch,9,Green liberal party,1.5,CH-6-6,Green Liberal Party,1759,GPL
CH,4,prtvtbch,10,Swiss democrats,0.1,CH-5-10,Swiss Democrats,1819,NA-SD
CH,4,prtvtbch,11,Federal Democratic Union,0.4,CH-2-12,Federal Democratic Union,631,EDU
CH,4,prtvtbch,12,Evangelical People's Party,0.9,CH-3-6,Evangelical People’s Party,1123,EVP
