country,number,name_source,elections_contested_year,elections_contested_number,id,first,last,name_english,name,name_short,comment
BEL,3,Belgian Workers' Party (Belgische Werkliedenpartij - BWP/Parti ouvrier beige - POB). In 1945 renamed Belgian Socialist Party (Belgische Socialistische Partij – BSP/ Parti socialiste beige – PSB),1890-1977,31,BEL-103,1890,1977,Belgian Workers' Party ,Belgische Socialistische Partij – BSP/ Parti socialiste belge – PSB,BSP/PSB,In 1945 renamed Belgian Socialist Party (Belgische Socialistische Partij – BSP/ Parti socialiste beige – PSB)
BEL,4,Daensists (Christene Volkspartij) ,1894-1914,11,BEL-104,1894,1914,Daensists ,Christene Volkspartij,,
BEL,5,Liberal-Workers/Socialist Party cartels ,1894-1898; 1906-1912;1946; 1950-1958,11,BEL-105,1894,1958,Liberal-Workers/Socialist Party cartels ,,,
BEL,6,Dissident Catholic Lists ,1919-1936; 1945-1954; 1961-1965,12,BEL-106,1919,1965,Dissident Catholic Lists ,,,
BEL,7,Ex-Servicemen (Anciens combattants),1919-1922,,BEL-107,1919,1922,Ex-Servicemen ,Anciens combattants,,
BEL,8,Flemish Nationalists. Until 1932 the Front Party (Frontpartij); 1936-39 the Flemish National League (Vlaamsch Nationaal Verbond – VNV); 1949 Flemish Concentration (Vlaamsch Concentratie); 1954 Flemish Christian 'eoples' Union (Christelijke Vlaamse Volksunie). Since 1954 Volksunie (VU),1919-1939; 1949; 1954ff,20,BEL-108,1919,1991,Flemish Nationalists,Volksunie,VU,Until 1932 the Front Party (Frontpartij); 1936-39 the Flemish National League (Vlaamsch Nationaal Verbond – VNV); 1949 Flemish Concentration (Vlaamsch Concentratie); 1954 Flemish Christian 'eoples' Union (Christelijke Vlaamse Volksunie). Since 1954 Volksunie (VU)
BEL,9,Middle Class Party (Classes moyennes),1919-1928,4,BEL-109,1919,1928,Middle Class Party ,Classes moyennes,,
BEL,10,Communist Party (Kommunistische Partij van Belgie - KPB/Parti communiste de Belgique – PCB),1921 ff,22,BEL-110,1921,1991,Communist Party ,Kommunistische Partij van Belgie - KPB/Parti communiste de Belgique – PCB,KPB/PCB,
BEL,11,German Minority. In 1929-32 Christian People's Party (Christlich Volkspartei). In 1939 Heimattreue Front. In 1971 Christlich Unabhängige Wählerverband. From 1972 Partei der Deutschsprachigen Belgier ,1929-1932; 1939;1971ff,8,BEL-111,1929,1991,German Minority,Partei der Deutschsprachigen Belgier,,In 1929-32 Christian People's Party (Christlich Volkspartei). In 1939 Heimattreue Front. In 1971 Christlich Unabhängige Wählerverband. From 1972 Partei der Deutschsprachigen Belgier 
BEL,12,Rexists (Rex),1936-1939,2,BEL-112,1936,1939,Rexists ,Rex,,
BEL,13,Democratic Union (Union democratique belge – UDB),1946,1,BEL-113,1946,1946,Democratic Union ,Union democratique beige – UDB,UDB,
BEL,14,Francophone Democratic Front (Front democratique des Bruxellois francophones – FDF),1965ff,9,BEL-114,1965,1991,Francophone Democratic Front ,Front democratique des Bruxellois francophones – FDF,FDF,
BEL,15,Walloon Democratic Front (Front democratique wallon),1965,1,BEL-115,1965,1965,Walloon Democratic Front ,Front democratique wallon,,
BEL,16,Walloon Front (Front wallon),1965,1,BEL-116,1965,1965,Walloon Front ,Front wallon,,
BEL,17,Walloon Workers' Party (Parti wallon des travailleurs – PWT),1965-1968,2,BEL-117,1965,1968,Walloon Workers' Party ,Parti wallon des travailleurs – PWT,PWT,
BEL,18,Walloon Rally (Rassemblement wallon) ,1968ff,8,BEL-118,1968,1991,Walloon Rally ,Rassemblement wallon,,
BEL,19,Christian People's Party (Christelijke Volkspartij - CVP),1971ff,7,BEL-119,1971,1991,Christian People's Party ,Christelijke Volkspartij - CVP,CVP,
BEL,20,Christian Social Party (Parti social chretien - PSC), 1971ff,7,BEL-120,1971,1991,Christian Social Party ,Parti social chretien - PSC,PSC,
BEL,21,Party of Liberty and Progress (Partij voor Vrijheid en Vooruitgang – PVV),1974ff,4,BEL-121,1974,1991,Party of Liberty and Progress ,Partij voor Vrijheid en Vooruitgang – PVV,PVV,
BEL,22,Francophone Liberals; Party of Liberty and Progress (Parti de la liberte et du progres – PLP). From November 1976 Parti des reformes et de la liberte de Wallonie (PRLW). Since 1979 Parti reformateur liberal (PRL),1974ff,6,BEL-122,1974,1991,Francophone Liberals,Parti reformateur liberal (PRL),PRL,Party of Liberty and Progress (Parti de la liberte et du progres – PLP). From November 1976 Parti des reformes et de la liberte de Wallonie (PRLW). Since 1979 Parti reformateur liberal (PRL)
BEL,23,Brussels Liberal Party (Parti liberal); in 1974 Parti liberal demokrate et pluraliste - PLDP) ,1971-1978,4,BEL-123,1971,1978,Brussels Liberal Party ,Parti liberal,,in 1974 Parti liberal demokrate et pluraliste – PLDP
BEL,24,All Power to the Workers (Alle Macht aan de Arbeiders(tout le pouvoir aux ouvriers-AMADA/ TPO; from 1981 Labour Party (Partij van der Arbeid/Parti du travail de Belgique – PVDA/P113),1974ff,6,BEL-124,1974,1991,All Power to the Workers ,Partij van der Arbeid/Parti du travail de Belgique – PVDA/PTB,PVDA/PTB,from 1981 Labour Party (Partij van der Arbeid/Parti du travail de Belgique – PVDA/PTB)
BEL,25,Revolutionary Workers' League (Ligue revolutionnaire des travailleurs/Revolutionaire Arbeidersliga - LRT/RAL); from 1985 Socialist Workers Party (Parti ouvrier socialiste/ Socialistische Arbeiderspartij – POS/SAP),1977ff,5,BEL-125,1977,1991,Revolutionary Workers' League ,Parti ouvrier socialiste/ Socialistische Arbeiderspartij – POS/SAP,POS/SAP,from 1985 Socialist Workers Party (Parti ouvrier socialiste/ Socialistische Arbeiderspartij – POS/SAP)
BEL,26,Ecolo - Francophone Greens,1977ff,5,BEL-126,1977,1991,Ecolo - Francophone Greens,Ecolo,,
BEL,27,Agalev - Flemish-speaking Greens ,1977ff,5,BEL-127,1977,1991,Agalev - Flemish-speaking Greens ,Agalev,,
BEL,28,Democratic Union for the Respect of Labour (Union democratique pour le respect du travail/ Respect voor Arbeid en Demokratie – UDRT/RAD),1978ff,4,BEL-128,1978,1991,Democratic Union for the Respect of Labour ,Union democratique pour le respect du travail/ Respect voor Arbeid en Demokratie – UDRT/RAD,UDRT/RAD,
BEL,29,Flemish Block (Vlaamse Blok) ,1978ff,4,BEL-129,1978,1991,Flemish Block ,Vlaamse Blok,,
BEL,30,Flemish Socialist Party (Belgische Socialistische Partij - BSP; since March 1980 Socialistische Partij – SP),1978ff,4,BEL-130,1978,1991,Flemish Socialist Party ,Socialistische Partij – SP,SP ,since March 1980 Socialistische Partij – SP)
BEL,31,Francophone Socialist Party (Parti socialiste - PS),1978ff,4,BEL-131,1978,1991,Francophone Socialist Party ,Parti socialiste - PS,PS ,
CAN,1,Conservative Party; in 1942 renamed the Progressive Conservative Party,1878ff,31,CAN-101,1878,1991,Conservative Party,,,in 1942 renamed the Progressive Conservative Party
CAN,2,Liberal Party,1878ff,31,CAN-102,1878,1991,Liberal Party,,,
CAN,3,Patrons of lndustry,1891- 1896,2,CAN-103,1891,1896,Patrons of lndustry,,,
CAN,4,McCarthyites,1896,1,CAN-104,1896,1896,McCarthyites,,,
CAN,5,Labour,1900-1940,11,CAN-105,1900,1940,Labour,,,
CAN,6,Communist Party/Labour Progressive Party ,1921; 1930ff,19,CAN-106,1921,1991,Communist Party/Labour Progressive Party ,,,
CAN,7,National Progressive Party,1921-1930,4,CAN-107,1921,1930,National Progressive Party,,,
CAN,8,Cooperative Commonwealth Federation – CCF; in 1961 renamed the New Democratic Party – NDP,1935ff,17,CAN-108,1935,1991,Cooperative Commonwealth Federation – CCF,,CCF,in 1961 renamed the New Democratic Party – NDP
CAN,9,Reconstruction Party,1935,1,CAN-109,1935,1935,Reconstruction Party,,,
CAN,10,Social Credit,1935ff,17,CAN-110,1935,1991,Social Credit,,,
CAN,11,Bloc populaire canadien,1945,1,CAN-111,1945,1945,Bloc populaire canadien,Bloc populaire canadien,,
CAN,12,Ralliement des creditistes du Quebec ,1965-1968,2,CAN-112,1965,1968,Ralliement des creditistes du Quebec ,Ralliement des creditistes du Quebec ,,
CAN,13,Rhinoceros Party,1979ff,4,CAN-113,1979,1991,Rhinoceros Party,,,
CAN,14,Parti nationaliste du Quebec,1984,1,CAN-114,1984,1984,Parti nationaliste du Quebec,Parti nationaliste du Quebec,,
CAN,15,Green Party,1984ff,2,CAN-115,1984,1991,Green Party,,,
CAN,16,Confederation of Regions - Western Party,1984ff,2,CAN-116,1984,1991,Confederation of Regions - Western Party,,,
CAN,17,Reform Party ,1988,1,CAN-117,1988,1988,Reform Party ,,,
CHE,1,Catholic Conservatives. From 1912 Conservative People's Party (Schweizerische Konservative Volkspartei/Parti populaire conservateur suisse). In 1957 renamed Conservative Christian Social Party (Konservativ-Christlich Soziale Partei/Parti conservateur chretien social); since 1971 Christian Democratic People's Party (Christlich Demokratische Volkspartei/Parti democrate-chretien suisse),1896ff,27,CHE-101,1896,1991,Catholic Conservatives,Christlich Demokratische Volkspartei/Parti democrate-chretien suisse,,From 1912 Conservative People's Party (Schweizerische Konservative Volkspartei/Parti populaire conservateur suisse). In 1957 renamed Conservative Christian Social Party (Konservativ-Christlich Soziale Partei/Parti conservateur chretien social); since 1971 Christian Democratic People's Party (Christlich Demokratische Volkspartei/Parti democrate-chretien suisse)
CHE,2,Democrats (Demokraten/Groupe des democrates) ,1896-1967,22,CHE-102,1896,1967,Democrats ,Demokraten/Groupe des democrates,,
CHE,3,Liberal Conservatives. From 1913 Liberal Democratic Party (Liberal-Demokratische Partei/ Parti liberal democratique. From 1961 Liberal Democratic Union of Switzerland (Liberal - Demokratische Union der Schweiz/Union liberale - democratique suisse. Renamed Liberal Party of Switzerland (Liberale Partei der Schweiz/Parti liberal suisse) in 1977,1896ff,27,CHE-103,1896,1991,Liberal Conservatives,Liberale Partei der Schweiz/Parti liberal suisse,,From 1913 Liberal Democratic Party (Liberal-Demokratische Partei/ Parti liberal democratique. From 1961 Liberal Democratic Union of Switzerland (Liberal - Demokratische Union der Schweiz/Union liberale - democratique suisse. Renamed Liberal Party of Switzerland (Liberale Partei der Schweiz/Parti liberal suisse) in 1977
CHE,4,Radical Democrats (Freisinnig-demokratische Partei/Parti radical-democratique),1896ff,27,CHE-104,1896,1991,Radical Democrats ,Freisinnig-demokratische Partei/Parti radical-democratique,,
CHE,5,Social Democrats (Sozialdemokratische Partei der Schweiz/Parti socialiste suisse),1896ff,27,CHE-105,1896,1991,Social Democrats ,Sozialdemokratische Partei der Schweiz/Parti socialiste suisse,,
CHE,6,"Farmers, Traders, and Citizens' Party (Schweizerische Bauern, Gewerbe und Burger Partei - BGB/Parti suisse des paysans, artisans et bourgeois); from 1971 Swiss People's Party (Schweizerische Volkspartei/Union democratique du centre",1919ff,19,CHE-106,1919,1991,"Farmers, Traders, and Citizens' Party ","Schweizerische Bauern, Gewerbe und Burger Partei - BGB/Parti suisse des paysans, artisans et bourgeois",BGB,from 1971 Swiss People's Party (Schweizerische Volkspartei/Union democratique du centre
CHE,7,Grütli Union (Grütliverein/Association des Grutleens),1919-1925,3,CHE-107,1919,1925,Grütli Union ,Grütliverein/Association des Grutleens,,
CHE,8,Protestant People's Party (Evangelische Volkspartei/Parti populaire evangelique),1919ff,19,CHE-108,1919,1991,Protestant People's Party ,Evangelische Volkspartei/Parti populaire evangelique,,
CHE,9,Communist Party (Kommunistische Partei der Schweiz/Parti communiste suisse). Banned in 1940 and reformed in 1944 as Labour Party (Partei der Arbeit der Schweiz/Parti suisse du travail),1922-1939; 1947ff ,17,CHE-109,1922,1991,Communist Party ,Partei der Arbeit der Schweiz/Parti suisse du travail,,Banned in 1940 and reformed in 1944 as Labour Party (Partei der Arbeit der Schweiz/Parti suisse du travail)
CHE,10,Free Market Party (Freiwirtschafter/Parti de 1'economie franche),1922-1925; 1935-1955,8,CHE-110,1922,1925,Free Market Party ,Freiwirtschafter/Parti de 1'economie franche,,
CHE,11,Front Party (Fronten/Parti des fronts),1935,1,CHE-111,1935,1935,Front Party ,Fronten/Parti des fronts,,
CHE,12,Independents' Party (Landesring der Unabhängigen/Alliance des independants) ,1935ff ,14,CHE-112,1935,1991,Independents' Party ,Landesring der Unabhängigen/Alliance des independants,,
CHE,13,Young Peasants (Jungbauern/Jeunes paysans) ,1935-1947,4,CHE-113,1935,1947,Young Peasants ,Jungbauern/Jeunes paysans,,
CHE,14,National Action against Foreign Domination (Nationale Aktion gegen die Uberfremdung von Volk und Heimat/Action nationale contre l'emprise et la surpopulation etrangere); trofft 1979 Nationale Action for People arid Fatherland (Nationale Aktion für Volk und Heimat/Action national pour le peuple et la patrie),1967ff,6,CHE-114,1967,1991,National Action against Foreign Domination ,Nationale Aktion für Volk und Heimat/Action national pour le peuple et la patrie,,from 1979 Nationale Action for People and Fatherland (Nationale Aktion für Volk und Heimat/Action national pour le peuple et la patrie)
CHE,15,Vigilance ,1967ff,6,CHE-115,1967,1991,Vigilance ,,,
CHE,16,Republican Movement (Schweizerische Republikanische Bewegung/ Mouvement nationale d'action r6publicaine et sociale),1971-1979,3,CHE-116,1971,1979,Republican Movement ,Schweizerische Republikanische Bewegung/ Mouvement nationale d'action republicaine et sociale,,
CHE,17,Autonomous Socialist Party (Partito Socialista Autonomo),1971ff,5,CHE-117,1971,1991,Autonomous Socialist Party ,Partito Socialista Autonomo,,
CHE,18,Progressive Organisations of Switzerland (Progressive Organisationen/Organisations progressistes suisses),1971ff,5,CHE-118,1971,1991,Progressive Organisations of Switzerland ,Progressive Organisationen/Organisations progressistes suisses,,
CHE,19,Greens. In 1983 Federation of Green Parties (Föderation der Grünen Parteien der Schweiz/ Federation suisse des partis dcologistes); in 1987 Green Party of Switzerland (Grüne Partei der Schweiz/Parti 6cologiste suisse),1979ff,3,CHE-119,1979,1991,Greens,Grüne Partei der Schweiz/Parti écologiste suisse,,In 1983 Federation of Green Parties (Föderation der Grünen Parteien der Schweiz/ Federation suisse des partis deologistes); in 1987 Green Party of Switzerland (Grüne Partei der Schweiz/Parti ecologiste suisse)
CHE,20,Alternative Greens (Alternative verte de Suisse/ Grüne Alternative Schweiz),1983ff,2,CHE-120,1983,1991,Alternative Greens ,Alternative verte de Suisse/ Grüne Alternative Schweiz,,
CHE,21,Free Liste (Freie Liste) ,1983,1,CHE-121,1983,1983,Free List ,Freie Liste,,
CHE,22,Swiss Motorists' Party (Schweizer Auto Partei/Parti autornobiliste suisse),1987,1,CHE-122,1987,1987,Swiss Motorists' Party ,Schweizer Auto Partei/Parti automobiliste suisse,,
DEU,1,Centre Party (Deutsche Zentrumspartei) ,1871-1957&1969,26,DEU-101,1871,1957,Centre Party ,Deutsche Zentrumspartei,,
DEU,2,Social Dernocrats (Sozialdemokratische Partei Deutschlands - SPD) ,1871ff,33,DEU-102,1871,1991,Social Democrats ,Sozialdemokratische Partei Deutschlands - SPD,SPD,
DEU,3,German Conservatives (Deutsch-Konservative),1871-1912,13,DEU-103,1871,1912,German Conservatives ,Deutsch-Konservative,,
DEU,4,German People's Party (Deutsche Volkspartei),1871-1907,12,DEU-104,1871,1907,German People's Party ,Deutsche Volkspartei,,
DEU,5,German Reich Party (Deutsche Reichspartei),1871-1912,13,DEU-105,1871,1912,German Reich Party ,Deutsche Reichspartei,,
DEU,6,Liberal Reich Party (Liberale Reichspartei),1871-1874,2,DEU-106,1871,1874,Liberal Reich Party ,Liberale Reichspartei,,
DEU,7,National Liberals (Nationalliberale),1871-1912,13,DEU-107,1871,1912,National Liberals ,Nationalliberale,,
DEU,8,Progressive Party (Fortschrittspartei),1871-1881,5,DEU-108,1871,1881,Progressive Party ,Fortschrittspartei,,
DEU,9,Danish minority,1871-1912&1920-1930,18,DEU-109,1871,1912,Danish minority,,,
DEU,10,Hanoverian Party (Deutsch Hannoversche Partei),1871-1933,22,DEU-110,1871,1933,Hanoverian Party ,Deutsch Hannoversche Partei,,
DEU,11,Polish minority,1871-1912&1920-1932,19,DEU-111,1871,1912,Polish minority,,,
DEU,12,Alsatians ,1874-1912,12,DEU-112,1874,1912,Alsatians ,,,
DEU,13,Liberal Union (Liberale Vereinigung - LV) ,1877-1881,3,DEU-113,1877,1881,Liberal Union ,Liberale Vereinigung - LV,LV,
DEU,14,Liberal Party (Freisinnige Partei) ,1884-1896,3,DEU-114,1884,1896,Liberal Party ,Freisinnige Partei,,
DEU,15,Anti-Semites (Anti-Semiten) ,1887-1912,7,DEU-115,1887,1912,Anti-Semites ,Anti-Semiten,,
DEU,16,Liberal People's Party (Freisinnige Volkspartei) ,1893-1907,4,DEU-116,1893,1907,Liberal People's Party ,Freisinnige Volkspartei,,
DEU,17,Liberal Union (Freisinnige Vereinigung - FV) ,1893-1907,4,DEU-117,1893,1907,Liberal Union ,Freisinnige Vereinigung - FV,FV,
DEU,18,Bavarian Farmers' League (Bayerischer Bauernbund)& from 1922 the Bayerischer Bauern - und Mittelstands Bund& from 1928 German Farmers' Party (Deutsche Bauernpartei),1898-1933,13,DEU-118,1898,1933,Bavarian Farmers' League ,Deutsche Bauernpartei,,
DEU,19,Farmers' League (Bund der Landwirte),1898-1912,4,DEU-119,1898,1912,Farmers' League ,Bund der Landwirte,,
DEU,20,Economic Union (Wirtschaftsvereinigung),1907-1912,2,DEU-120,1907,1912,Economic Union ,Wirtschaftsvereinigung,,
DEU,21,Progressive People's Party (Fortschrittliche Volkspartei) ,1912,1,DEU-121,1912,1912,Progressive People's Party ,Fortschrittliche Volkspartei,,
DEU,22,German Democratic Party (Deutsche Demokratische Partei - DDP). In 1928 renamed the German State Party (Deutsche Staatspartei),1919-1933,9,DEU-122,1919,1933,German Democratic Party ,Deutsche Staatspartei,DDP,In 1928 renamed the German State Party (Deutsche Staatspartei)
DEU,23,German National People's Party (Deutschnationale Volkspartei – DNVP),1919-1933,9,DEU-123,1919,1933,German National People's Party ,Deutschnationale Volkspartei – DNVP,DNVP,
DEU,24,German People's Party (Deutsche Volkspartei – DVP),1919-1933,9,DEU-124,1919,1933,German People's Party ,Deutsche Volkspartei – DVP,DVP,
DEU,25,Independent Social Democrats (Unabhängige Sozialdemokratische Partei Deutschlands - USPD) ,1919-1930,6,DEU-125,1919,1930,Independent Social Democrats ,Unabhängige Sozialdemokratische Partei Deutschlands - USPD,USPD,
DEU,26,Bavarian People's Party (Bayerische Volkspartei - BVP) ,1920-1933,8,DEU-126,1920,1933,Bavarian People's Party ,Bayerische Volkspartei - BVP,BVP,
DEU,27,German Social Party (Deutschsoziale Partei),1920-1928,4,DEU-127,1920,1928,German Social Party ,Deutschsoziale Partei,,
DEU,28,Communist Party (Kommunistische Partei Deutschlands - KPD)& German Communist Party (Deutsche Kommunistische Partei - DKP) ,1920-1956&,14,DEU-128,1920,1956,Communist Party ,Deutsche Kommunistische Partei - DKP,KPD,
DEU,29,Business Party of the German Middle Classes (Wirtschaftspartei des Deutschen Mittelstandes& from 1928 Reichspartei des Deutschen Mittelstandes),May 1924-1932,6,DEU-129,1924,1932,Business Party of the German Middle Classes ,Wirtschaftspartei des Deutschen Mittelstandes& from 1928 Reichspartei des Deutschen Mittelstandes,,
DEU,30,Land League (Landbund) ,May 1924-1933,7,DEU-130,1924,1933,Land League ,Landbund,,
DEU,31,National Socialists/Nazis (Nationalsozialistische Deutsche Arbeiterpartei – NSDAP),May 1924-1933,7,DEU-131,1924,1933,National Socialists/Nazis ,Nationalsozialistische Deutsche Arbeiterpartei – NSDAP,NSDAP,
DEU,32,Christian National Peasants and Farmers' Party (Christlich-Nationale Bauern und Landvolkspartei) ,1928-1932,4,DEU-132,1928,1932,Christian National Peasants and Farmers' Party ,Christlich-Nationale Bauern und Landvolkspartei,,
DEU,33,National Party for People's Rights and Revaluation (Reichspartei für Volksrecht und Aufwertung – VRP),1928-1932,4,DEU-133,1928,1932,National Party for People's Rights and Revaluation ,Reichspartei für Volksrecht und Aufwertung – VRP,VRP,
DEU,34,Christian People's Service (Christlich-sozialer Volksdienst) ,1930-1933,4,DEU-134,1930,1933,Christian People's Service ,Christlich-sozialer Volksdienst,,
DEU,35,Conservative People's Party (Konservative Volkspartei) ,1930,1,DEU-135,1930,1930,Conservative People's Party ,Konservative Volkspartei,,
DEU,36,Christian Democratic Union (Christlich Demokratische Union – CDU),1949ff,9,DEU-136,1949,1991,Christian Democratic Union ,Christlich Demokratische Union – CDU,CDU,
DEU,37,Christian Social Union (Christlich Soziale Union – CSU),1949ff,9,DEU-137,1949,1991,Christian Social Union ,Christlich Soziale Union – CSU,CSU,
DEU,38,Free Demoerats (Freie Demokratische Partei – FDP),1945 ff,9,DEU-138,1945,1991,Free Democrats ,Freie Demokratische Partei – FDP,FDP,
DEU,39,Bavarian Party (Bayernpartei - BP),1949-1957&1969,4,DEU-139,1949,1957,Bavarian Party ,Bayernpartei - BP,BP,
DEU,40,Econornic Reconstruction League (Wirtschaftliche Aufbauvereinigung – WAV),1949,1,DEU-140,1949,1949,Economic Reconstruction League ,Wirtschaftliche Aufbauvereinigung – WAV,WAV,
DEU,41,German Party (Deutsche Partei - DP),1949-1957,3,DEU-141,1949,1957,German Party ,Deutsche Partei - DP,DP,
DEU,42,German Reich Party (Deutsche Reichspartei),1949-1961,4,DEU-142,1949,1961,German Reich Party ,Deutsche Reichspartei,,
DEU,43,South Schleswig Voters' League (Südschleswigscher Wählerverband – SSW Sydslesvigsk Vaelgerforening),1949-1961,4,DEU-143,1949,1961,South Schleswig Voters' League ,Südschleswigscher Wählerverband – SSW Sydslesvigsk Vaelgerforening,SSW,
