ess_cntry,essround,ess_variable,ess_party,ess_party_id,ess_id,first_ess_id,country
AT,3,prtvtaat,KPÖ,7,AT-3-7-v,AT-3-7-v,AUT
AT,3,prtvtaat,Other,8,AT-3-8-v,AT-1-6-v,AUT
AT,3,prtclaat,SPÖ,1,AT-3-1-c,AT-1-1-c,AUT
AT,3,prtclaat,ÖVP,2,AT-3-2-c,AT-1-2-c,AUT
AT,3,prtclaat,FPÖ,3,AT-3-3-c,AT-1-3-c,AUT
AT,3,prtclaat,BZÖ,4,AT-3-4-c,AT-3-4-c,AUT
AT,3,prtclaat,GRÜNE,5,AT-3-5-c,AT-1-4-c,AUT
AT,3,prtclaat,LIF,6,AT-3-6-c,AT-1-5-c,AUT
AT,3,prtclaat,KPÖ,7,AT-3-7-c,AT-3-7-c,AUT
AT,3,prtclaat,Other,8,AT-3-8-c,AT-1-6-c,AUT
AT,4,prtvtaat,SPÖ,1,AT-4-1-v,AT-1-1-v,AUT
AT,4,prtvtaat,ÖVP,2,AT-4-2-v,AT-1-2-v,AUT
AT,4,prtvtaat,FPÖ,3,AT-4-3-v,AT-1-3-v,AUT
AT,4,prtvtaat,BZÖ,4,AT-4-4-v,AT-3-4-v,AUT
AT,4,prtvtaat,GRÜNE,5,AT-4-5-v,AT-1-4-v,AUT
AT,4,prtvtaat,LIF,6,AT-4-6-v,AT-1-5-v,AUT
AT,4,prtvtaat,KPÖ,7,AT-4-7-v,AT-3-7-v,AUT
AT,4,prtvtaat,Other,8,AT-4-8-v,AT-1-6-v,AUT
AT,4,prtclaat,SPÖ,1,AT-4-1-c,AT-1-1-c,AUT
AT,4,prtclaat,ÖVP,2,AT-4-2-c,AT-1-2-c,AUT
AT,4,prtclaat,FPÖ,3,AT-4-3-c,AT-1-3-c,AUT
AT,4,prtclaat,BZÖ,4,AT-4-4-c,AT-3-4-c,AUT
AT,4,prtclaat,GRÜNE,5,AT-4-5-c,AT-1-4-c,AUT
AT,4,prtclaat,LIF,6,AT-4-6-c,AT-1-5-c,AUT
AT,4,prtclaat,KPÖ,7,AT-4-7-c,AT-3-7-c,AUT
AT,4,prtclaat,Other,8,AT-4-8-c,AT-1-6-c,AUT
AT,5,prtvtaat,SPÖ,1,AT-5-1-v,AT-1-1-v,AUT
AT,5,prtvtaat,ÖVP,2,AT-5-2-v,AT-1-2-v,AUT
AT,5,prtvtaat,FPÖ,3,AT-5-3-v,AT-1-3-v,AUT
AT,5,prtvtaat,BZÖ,4,AT-5-4-v,AT-3-4-v,AUT
AT,5,prtvtaat,Grüne,5,AT-5-5-v,AT-1-4-v,AUT
AT,5,prtvtaat,LIF,6,AT-5-6-v,AT-1-5-v,AUT
AT,5,prtvtaat,KPÖ,7,AT-5-7-v,AT-3-7-v,AUT
AT,5,prtvtaat,Other,8,AT-5-8-v,AT-1-6-v,AUT
AT,5,prtclbat,SPÖ,1,AT-5-1-c,AT-1-1-c,AUT
AT,5,prtclbat,ÖVP,2,AT-5-2-c,AT-1-2-c,AUT
AT,5,prtclbat,FPÖ,3,AT-5-3-c,AT-1-3-c,AUT
AT,5,prtclbat,BZÖ,4,AT-5-4-c,AT-3-4-c,AUT
AT,5,prtclbat,Grüne,5,AT-5-5-c,AT-1-4-c,AUT
AT,5,prtclbat,LIF,6,AT-5-6-c,AT-1-5-c,AUT
AT,5,prtclbat,KPÖ,7,AT-5-7-c,AT-3-7-c,AUT
AT,5,prtclbat,Team Stronach,8,AT-5-8-c,AT-5-8-c,AUT
AT,5,prtclbat,Piratenpartei,9,AT-5-9-c,AT-5-9-c,AUT
AT,5,prtclbat,Other,10,AT-5-10-c,AT-1-6-c,AUT
AT,7,prtvtbat,SPÖ,1,AT-7-1-v,AT-1-1-v,AUT
AT,7,prtvtbat,ÖVP,2,AT-7-2-v,AT-1-2-v,AUT
AT,7,prtvtbat,FPÖ,3,AT-7-3-v,AT-1-3-v,AUT
AT,7,prtvtbat,BZÖ,4,AT-7-4-v,AT-3-4-v,AUT
AT,7,prtvtbat,Grüne,5,AT-7-5-v,AT-1-4-v,AUT
AT,7,prtvtbat,KPÖ,6,AT-7-6-v,AT-3-7-v,AUT
AT,7,prtvtbat,NEOS,7,AT-7-7-v,AT-7-7-v,AUT
AT,7,prtvtbat,Piratenpartei Österreich,8,AT-7-8-v,AT-7-8-v,AUT
AT,7,prtvtbat,Team Frank Stronach,9,AT-7-9-v,AT-7-9-v,AUT
AT,7,prtvtbat,Other,10,AT-7-10-v,AT-1-6-v,AUT
AT,7,prtclcat,SPÖ,1,AT-7-1-c,AT-1-1-c,AUT
AT,7,prtclcat,ÖVP,2,AT-7-2-c,AT-1-2-c,AUT
AT,7,prtclcat,FPÖ,3,AT-7-3-c,AT-1-3-c,AUT
AT,7,prtclcat,BZÖ,4,AT-7-4-c,AT-3-4-c,AUT
AT,7,prtclcat,Grüne,5,AT-7-5-c,AT-1-4-c,AUT
AT,7,prtclcat,KPÖ,6,AT-7-6-c,AT-3-7-c,AUT
AT,7,prtclcat,NEOS,7,AT-7-7-c,AT-7-7-c,AUT
AT,7,prtclcat,Piratenpartei Österreich,8,AT-7-8-c,AT-5-9-c,AUT
AT,7,prtclcat,Team Frank Stronach,9,AT-7-9-c,AT-5-8-c,AUT
AT,7,prtclcat,Other,10,AT-7-10-c,AT-1-6-c,AUT
AT,8,prtvtbat,SPÖ,1,AT-8-1-v,AT-1-1-v,AUT
AT,8,prtvtbat,ÖVP,2,AT-8-2-v,AT-1-2-v,AUT
AT,8,prtvtbat,FPÖ,3,AT-8-3-v,AT-1-3-v,AUT
AT,8,prtvtbat,BZÖ,4,AT-8-4-v,AT-3-4-v,AUT
AT,8,prtvtbat,Grüne,5,AT-8-5-v,AT-1-4-v,AUT
AT,8,prtvtbat,KPÖ,6,AT-8-6-v,AT-3-7-v,AUT
AT,8,prtvtbat,NEOS,7,AT-8-7-v,AT-7-7-v,AUT
AT,8,prtvtbat,Piratenpartei Österreich,8,AT-8-8-v,AT-7-8-v,AUT
AT,8,prtvtbat,Team Frank Stronach,9,AT-8-9-v,AT-7-9-v,AUT
AT,8,prtvtbat,Other,10,AT-8-10-v,AT-1-6-v,AUT
AT,8,prtclcat,SPÖ,1,AT-8-1-c,AT-1-1-c,AUT
AT,8,prtclcat,ÖVP,2,AT-8-2-c,AT-1-2-c,AUT
AT,8,prtclcat,FPÖ,3,AT-8-3-c,AT-1-3-c,AUT
AT,8,prtclcat,BZÖ,4,AT-8-4-c,AT-3-4-c,AUT
AT,8,prtclcat,Grüne,5,AT-8-5-c,AT-1-4-c,AUT
AT,8,prtclcat,KPÖ,6,AT-8-6-c,AT-3-7-c,AUT
AT,8,prtclcat,NEOS,7,AT-8-7-c,AT-7-7-c,AUT
AT,8,prtclcat,Piratenpartei Österreich,8,AT-8-8-c,AT-5-9-c,AUT
AT,8,prtclcat,Team Frank Stronach,9,AT-8-9-c,AT-5-8-c,AUT
AT,8,prtclcat,Other,10,AT-8-10-c,AT-1-6-c,AUT
AT,9,prtvtcat,SPÖ,1,AT-9-1-v,AT-1-1-v,AUT
AT,9,prtvtcat,ÖVP,2,AT-9-2-v,AT-1-2-v,AUT
AT,9,prtvtcat,FPÖ,3,AT-9-3-v,AT-1-3-v,AUT
AT,9,prtvtcat,PILZ,4,AT-9-4-v,AT-9-4-v,AUT
AT,9,prtvtcat,Grüne,5,AT-9-5-v,AT-1-4-v,AUT
AT,9,prtvtcat,KPÖ,6,AT-9-6-v,AT-3-7-v,AUT
AT,9,prtvtcat,NEOS,7,AT-9-7-v,AT-7-7-v,AUT
AT,9,prtvtcat,GILT,8,AT-9-8-v,AT-9-8-v,AUT
AT,9,prtvtcat,Other,9,AT-9-9-v,AT-1-6-v,AUT
AT,9,prtcldat,SPÖ,1,AT-9-1-c,AT-1-1-c,AUT
AT,9,prtcldat,ÖVP,2,AT-9-2-c,AT-1-2-c,AUT
AT,9,prtcldat,FPÖ,3,AT-9-3-c,AT-1-3-c,AUT
AT,9,prtcldat,PILZ,4,AT-9-4-c,AT-9-4-c,AUT
AT,9,prtcldat,Grüne,5,AT-9-5-c,AT-1-4-c,AUT
AT,9,prtcldat,KPÖ,6,AT-9-6-c,AT-3-7-c,AUT
AT,9,prtcldat,NEOS,7,AT-9-7-c,AT-7-7-c,AUT
AT,9,prtcldat,Other,9,AT-9-9-c,AT-1-6-c,AUT
AT,10,prtvtcat,SPÖ,1,AT-10-1-v,AT-1-1-v,AUT
AT,10,prtvtcat,ÖVP,2,AT-10-2-v,AT-1-2-v,AUT
AT,10,prtvtcat,FPÖ,3,AT-10-3-v,AT-1-3-v,AUT
AT,10,prtvtcat,PILZ,4,AT-10-4-v,AT-9-4-v,AUT
AT,10,prtvtcat,Grüne,5,AT-10-5-v,AT-1-4-v,AUT
AT,10,prtvtcat,KPÖ,6,AT-10-6-v,AT-3-7-v,AUT
AT,10,prtvtcat,NEOS,7,AT-10-7-v,AT-7-7-v,AUT
AT,10,prtvtcat,GILT,8,AT-10-8-v,AT-9-8-v,AUT
AT,10,prtvtcat,Other,9,AT-10-9-v,AT-1-6-v,AUT
AT,10,prtcldat,SPÖ,1,AT-10-1-c,AT-1-1-c,AUT
AT,10,prtcldat,ÖVP,2,AT-10-2-c,AT-1-2-c,AUT
AT,10,prtcldat,FPÖ,3,AT-10-3-c,AT-1-3-c,AUT
AT,10,prtcldat,PILZ,4,AT-10-4-c,AT-9-4-c,AUT
AT,10,prtcldat,Grüne,5,AT-10-5-c,AT-1-4-c,AUT
AT,10,prtcldat,KPÖ,6,AT-10-6-c,AT-3-7-c,AUT
AT,10,prtcldat,NEOS,7,AT-10-7-c,AT-7-7-c,AUT
AT,10,prtcldat,GILT,8,AT-10-8-c,AT-10-8-c,AUT
AT,11,prtvtdat,SPÖ,1,AT-11-1-v,AT-1-1-v,AUT
AT,11,prtvtdat,ÖVP,2,AT-11-2-v,AT-1-2-v,AUT
AT,11,prtvtdat,FPÖ,3,AT-11-3-v,AT-1-3-v,AUT
AT,11,prtvtdat,JETZT,4,AT-11-4-v,AT-9-4-v,AUT
AT,11,prtvtdat,Grüne,5,AT-11-5-v,AT-1-4-v,AUT
AT,11,prtvtdat,KPÖ,6,AT-11-6-v,AT-3-7-v,AUT
AT,11,prtvtdat,NEOS,7,AT-11-7-v,AT-7-7-v,AUT
AT,11,prtvtdat,Other,8,AT-11-8-v,AT-1-6-v,AUT
AT,11,prtcleat,SPÖ,1,AT-11-1-c,AT-1-1-c,AUT
AT,11,prtcleat,ÖVP,2,AT-11-2-c,AT-1-2-c,AUT
AT,11,prtcleat,FPÖ,3,AT-11-3-c,AT-1-3-c,AUT
AT,11,prtcleat,Grüne,5,AT-11-5-c,AT-1-4-c,AUT
AT,11,prtcleat,KPÖ,6,AT-11-6-c,AT-3-7-c,AUT
AT,11,prtcleat,NEOS,7,AT-11-7-c,AT-7-7-c,AUT
AT,11,prtcleat,Other,8,AT-11-8-c,AT-1-6-c,AUT
BE,1,prtvtbe,Agalev,1,BE-1-1-v,BE-1-1-v,BEL
BE,1,prtvtbe,CVP,2,BE-1-2-v,BE-1-2-v,BEL
BE,1,prtvtbe,SP,3,BE-1-3-v,BE-1-3-v,BEL
BE,1,prtvtbe,VLD,5,BE-1-5-v,BE-1-5-v,BEL
BE,1,prtvtbe,VU-ID,6,BE-1-6-v,BE-1-6-v,BEL
BE,1,prtvtbe,PVDA-AE,7,BE-1-7-v,BE-1-7-v,BEL
BE,1,prtvtbe,Vlaams Blok,8,BE-1-8-v,BE-1-8-v,BEL
BE,1,prtvtbe,VIVANT,9,BE-1-9-v,BE-1-9-v,BEL
BE,1,prtvtbe,ECOLO,11,BE-1-11-v,BE-1-11-v,BEL
BE,1,prtvtbe,PSC,12,BE-1-12-v,BE-1-12-v,BEL
BE,1,prtvtbe,PRL-FDF,13,BE-1-13-v,BE-1-13-v,BEL
BE,1,prtvtbe,PS,14,BE-1-14-v,BE-1-14-v,BEL
BE,1,prtvtbe,FRONT NATIONAL,15,BE-1-15-v,BE-1-15-v,BEL
BE,1,prtvtbe,PTB-UA,16,BE-1-16-v,BE-1-16-v,BEL
BE,1,prtvtbe,Other,17,BE-1-17-v,BE-1-17-v,BEL
BE,1,prtclbe,Agalev,1,BE-1-1-c,BE-1-1-c,BEL
BE,1,prtclbe,CD&V,2,BE-1-2-c,BE-1-2-c,BEL
BE,1,prtclbe,SP.A,3,BE-1-3-c,BE-1-3-c,BEL
BE,1,prtclbe,N-VA,4,BE-1-4-c,BE-1-4-c,BEL
BE,1,prtclbe,VLD,5,BE-1-5-c,BE-1-5-c,BEL
BE,1,prtclbe,Spirit,6,BE-1-6-c,BE-1-6-c,BEL
BE,1,prtclbe,PVDA,7,BE-1-7-c,BE-1-7-c,BEL
BE,1,prtclbe,Vlaams Blok,8,BE-1-8-c,BE-1-8-c,BEL
BE,1,prtclbe,VIVANT,9,BE-1-9-c,BE-1-9-c,BEL
BE,1,prtclbe,ECOLO,11,BE-1-11-c,BE-1-11-c,BEL
BE,1,prtclbe,CDH (PSC),12,BE-1-12-c,BE-1-12-c,BEL
BE,1,prtclbe,PS,13,BE-1-13-c,BE-1-13-c,BEL
BE,1,prtclbe,Mouvement Réformateur (MR),14,BE-1-14-c,BE-1-14-c,BEL
BE,1,prtclbe,FRONT NATIONAL,15,BE-1-15-c,BE-1-15-c,BEL
BE,1,prtclbe,Other,16,BE-1-16-c,BE-1-16-c,BEL
BE,2,prtvtabe,Agalev/Groen!,1,BE-2-1-v,BE-1-1-v,BEL
BE,2,prtvtabe,CD&V,2,BE-2-2-v,BE-2-2-v,BEL
BE,2,prtvtabe,N-VA,3,BE-2-3-v,BE-2-3-v,BEL
BE,2,prtvtabe,SP.A-Spirit,5,BE-2-5-v,BE-2-5-v,BEL
BE,2,prtvtabe,Vivant,6,BE-2-6-v,BE-1-9-v,BEL
BE,2,prtvtabe,Vlaams Blok,7,BE-2-7-v,BE-1-8-v,BEL
BE,2,prtvtabe,VLD,8,BE-2-8-v,BE-1-5-v,BEL
BE,2,prtvtabe,CDH,9,BE-2-9-v,BE-1-12-v,BEL
BE,2,prtvtabe,Ecolo,10,BE-2-10-v,BE-1-11-v,BEL
BE,2,prtvtabe,Front National,11,BE-2-11-v,BE-1-15-v,BEL
BE,2,prtvtabe,MR,12,BE-2-12-v,BE-2-12-v,BEL
BE,2,prtvtabe,PS,13,BE-2-13-v,BE-1-14-v,BEL
BE,2,prtvtabe,Other,14,BE-2-14-v,BE-1-17-v,BEL
BE,2,prtvtabe,Blank,15,BE-2-15-v,BE-2-15-v,BEL
BE,2,prtvtabe,Invalid,16,BE-2-16-v,BE-2-16-v,BEL
BE,2,prtclabe,Agalev/Groen!,1,BE-2-1-c,BE-1-1-c,BEL
BE,2,prtclabe,CD&V,2,BE-2-2-c,BE-1-2-c,BEL
BE,2,prtclabe,N-VA,3,BE-2-3-c,BE-1-4-c,BEL
BE,2,prtclabe,SP.A,5,BE-2-5-c,BE-1-3-c,BEL
BE,2,prtclabe,Spirit,6,BE-2-6-c,BE-1-6-c,BEL
BE,2,prtclabe,Vivant,7,BE-2-7-c,BE-1-9-c,BEL
BE,2,prtclabe,Vlaams Blok,8,BE-2-8-c,BE-1-8-c,BEL
BE,2,prtclabe,VLD,9,BE-2-9-c,BE-1-5-c,BEL
BE,2,prtclabe,CDH,10,BE-2-10-c,BE-1-12-c,BEL
BE,2,prtclabe,Ecolo,11,BE-2-11-c,BE-1-11-c,BEL
BE,2,prtclabe,Front National,12,BE-2-12-c,BE-1-15-c,BEL
BE,2,prtclabe,MR,13,BE-2-13-c,BE-1-14-c,BEL
BE,2,prtclabe,PS,14,BE-2-14-c,BE-1-13-c,BEL
BE,2,prtclabe,Other,15,BE-2-15-c,BE-1-16-c,BEL
BE,3,prtvtabe,Agalev/Groen!,1,BE-3-1-v,BE-1-1-v,BEL
BE,3,prtvtabe,CD&V,2,BE-3-2-v,BE-2-2-v,BEL
BE,3,prtvtabe,N-VA,3,BE-3-3-v,BE-2-3-v,BEL
BE,3,prtvtabe,SP.A-Spirit,5,BE-3-5-v,BE-2-5-v,BEL
BE,3,prtvtabe,Vivant,6,BE-3-6-v,BE-1-9-v,BEL
BE,3,prtvtabe,Vlaams Blok,7,BE-3-7-v,BE-1-8-v,BEL
BE,3,prtvtabe,VLD,8,BE-3-8-v,BE-1-5-v,BEL
BE,3,prtvtabe,CDH,9,BE-3-9-v,BE-1-12-v,BEL
BE,3,prtvtabe,Ecolo,10,BE-3-10-v,BE-1-11-v,BEL
BE,3,prtvtabe,Front National,11,BE-3-11-v,BE-1-15-v,BEL
BE,3,prtvtabe,MR,12,BE-3-12-v,BE-2-12-v,BEL
BE,3,prtvtabe,PS,13,BE-3-13-v,BE-1-14-v,BEL
BE,3,prtvtabe,Other,14,BE-3-14-v,BE-1-17-v,BEL
BE,3,prtvtabe,Blank,15,BE-3-15-v,BE-2-15-v,BEL
BE,3,prtvtabe,Invalid,16,BE-3-16-v,BE-2-16-v,BEL
BE,3,prtclabe,Agalev/Groen!,1,BE-3-1-c,BE-1-1-c,BEL
BE,3,prtclabe,CD&V,2,BE-3-2-c,BE-1-2-c,BEL
BE,3,prtclabe,N-VA,3,BE-3-3-c,BE-1-4-c,BEL
BE,3,prtclabe,SP.A,5,BE-3-5-c,BE-1-3-c,BEL
BE,3,prtclabe,Spirit,6,BE-3-6-c,BE-1-6-c,BEL
BE,3,prtclabe,Vivant,7,BE-3-7-c,BE-1-9-c,BEL
BE,3,prtclabe,Vlaams Blok,8,BE-3-8-c,BE-1-8-c,BEL
BE,3,prtclabe,VLD,9,BE-3-9-c,BE-1-5-c,BEL
BE,3,prtclabe,CDH,10,BE-3-10-c,BE-1-12-c,BEL
BE,3,prtclabe,Ecolo,11,BE-3-11-c,BE-1-11-c,BEL
BE,3,prtclabe,Front National,12,BE-3-12-c,BE-1-15-c,BEL
BE,3,prtclabe,MR,13,BE-3-13-c,BE-1-14-c,BEL
BE,3,prtclabe,PS,14,BE-3-14-c,BE-1-13-c,BEL
BE,3,prtclabe,Other,15,BE-3-15-c,BE-1-16-c,BEL
BE,4,prtvtbbe,Groen!,1,BE-4-1-v,BE-1-1-v,BEL
BE,4,prtvtbbe,CD&V + N-VA,2,BE-4-2-v,BE-4-2-v,BEL
BE,4,prtvtbbe,Lijst Dedecker,4,BE-4-4-v,BE-4-4-v,BEL
BE,4,prtvtbbe,SP.A. + Vlaams - Progressieven (Spirit),5,BE-4-5-v,BE-2-5-v,BEL
BE,4,prtvtbbe,Vlaams Belang,7,BE-4-7-v,BE-4-7-v,BEL
BE,4,prtvtbbe,Open VLD + Vivant,8,BE-4-8-v,BE-4-8-v,BEL
BE,4,prtvtbbe,CDH,9,BE-4-9-v,BE-1-12-v,BEL
BE,4,prtvtbbe,Ecolo,10,BE-4-10-v,BE-1-11-v,BEL
BE,4,prtvtbbe,Front National,11,BE-4-11-v,BE-1-15-v,BEL
BE,4,prtvtbbe,MR,12,BE-4-12-v,BE-2-12-v,BEL
BE,4,prtvtbbe,PS,13,BE-4-13-v,BE-1-14-v,BEL
BE,4,prtvtbbe,Other,14,BE-4-14-v,BE-1-17-v,BEL
BE,4,prtvtbbe,Blank,15,BE-4-15-v,BE-2-15-v,BEL
BE,4,prtvtbbe,Invalid,16,BE-4-16-v,BE-2-16-v,BEL
BE,4,prtclbbe,Groen!,1,BE-4-1-c,BE-1-1-c,BEL
BE,4,prtclbbe,CD&V,2,BE-4-2-c,BE-1-2-c,BEL
BE,4,prtclbbe,N-VA,3,BE-4-3-c,BE-1-4-c,BEL
BE,4,prtclbbe,Lijst Dedecker,4,BE-4-4-c,BE-4-4-c,BEL
BE,4,prtclbbe,SP.A.,5,BE-4-5-c,BE-1-3-c,BEL
BE,4,prtclbbe,Vlaams - Progressieven (Spirit),6,BE-4-6-c,BE-1-6-c,BEL
BE,4,prtclbbe,Vivant,7,BE-4-7-c,BE-1-9-c,BEL
BE,4,prtclbbe,Vlaams Belang,8,BE-4-8-c,BE-4-8-c,BEL
BE,4,prtclbbe,Open VLD,9,BE-4-9-c,BE-1-5-c,BEL
BE,4,prtclbbe,CDH,10,BE-4-10-c,BE-1-12-c,BEL
BE,4,prtclbbe,Ecolo,11,BE-4-11-c,BE-1-11-c,BEL
BE,4,prtclbbe,Front National,12,BE-4-12-c,BE-1-15-c,BEL
BE,4,prtclbbe,MR,13,BE-4-13-c,BE-1-14-c,BEL
BE,4,prtclbbe,PS,14,BE-4-14-c,BE-1-13-c,BEL
BE,4,prtclbbe,Other,15,BE-4-15-c,BE-1-16-c,BEL
BE,5,prtvtcbe,Groen!,1,BE-5-1-v,BE-1-1-v,BEL
BE,5,prtvtcbe,CD&V,2,BE-5-2-v,BE-2-2-v,BEL
BE,5,prtvtcbe,N-VA,3,BE-5-3-v,BE-2-3-v,BEL
BE,5,prtvtcbe,Lijst Dedecker,4,BE-5-4-v,BE-4-4-v,BEL
BE,5,prtvtcbe,SP.A,5,BE-5-5-v,BE-1-3-v,BEL
BE,5,prtvtcbe,PVDA+,6,BE-5-6-v,BE-1-7-v,BEL
BE,5,prtvtcbe,Vlaams Belang,7,BE-5-7-v,BE-4-7-v,BEL
BE,5,prtvtcbe,Open VLD,8,BE-5-8-v,BE-1-5-v,BEL
BE,5,prtvtcbe,CDH,9,BE-5-9-v,BE-1-12-v,BEL
BE,5,prtvtcbe,Ecolo,10,BE-5-10-v,BE-1-11-v,BEL
BE,5,prtvtcbe,Front National,11,BE-5-11-v,BE-1-15-v,BEL
BE,5,prtvtcbe,MR,12,BE-5-12-v,BE-2-12-v,BEL
BE,5,prtvtcbe,PS,13,BE-5-13-v,BE-1-14-v,BEL
BE,5,prtvtcbe,PTB,14,BE-5-14-v,BE-1-16-v,BEL
BE,5,prtvtcbe,Parti Populaire,15,BE-5-15-v,BE-5-15-v,BEL
BE,5,prtvtcbe,Other,16,BE-5-16-v,BE-1-17-v,BEL
BE,5,prtvtcbe,Blank,17,BE-5-17-v,BE-2-15-v,BEL
BE,5,prtvtcbe,Invalid,18,BE-5-18-v,BE-5-18-v,BEL
BE,5,prtclcbe,Groen!,1,BE-5-1-c,BE-1-1-c,BEL
BE,5,prtclcbe,CD&V,2,BE-5-2-c,BE-1-2-c,BEL
BE,5,prtclcbe,N-VA,3,BE-5-3-c,BE-1-4-c,BEL
BE,5,prtclcbe,Lijst Dedecker,4,BE-5-4-c,BE-4-4-c,BEL
BE,5,prtclcbe,SP.A,5,BE-5-5-c,BE-1-3-c,BEL
BE,5,prtclcbe,PVDA+,6,BE-5-6-c,BE-1-7-c,BEL
BE,5,prtclcbe,Vlaams Belang,7,BE-5-7-c,BE-4-8-c,BEL
BE,5,prtclcbe,Open VLD,8,BE-5-8-c,BE-1-5-c,BEL
BE,5,prtclcbe,CDH,9,BE-5-9-c,BE-1-12-c,BEL
BE,5,prtclcbe,Ecolo,10,BE-5-10-c,BE-1-11-c,BEL
BE,5,prtclcbe,Front National,11,BE-5-11-c,BE-1-15-c,BEL
BE,5,prtclcbe,MR,12,BE-5-12-c,BE-1-14-c,BEL
BE,5,prtclcbe,PS,13,BE-5-13-c,BE-1-13-c,BEL
BE,5,prtclcbe,PTB,14,BE-5-14-c,BE-5-14-c,BEL
BE,5,prtclcbe,Other,16,BE-5-16-c,BE-1-16-c,BEL
BE,6,prtvtcbe,Groen!,1,BE-6-1-v,BE-1-1-v,BEL
