ess_cntry,essround,ess_variable,ess_party,ess_party_id,ess_id,first_ess_id,partyfacts_id,country,name_short,name,name_english,technical
AL,6,prtvtal,Lëvizja Socialiste për Integrim (LSI),3,AL-6-3-v,AL-6-3-v,2297,ALB,LSI,Lëvizja Socialiste për Intigrim,Socialist Movement for Integration,
AL,6,prtvtal,Partia Republikane e Shqipërisë (PR),4,AL-6-4-v,AL-6-4-v,819,ALB,PRS,Partia Republikane e Shqipërisë,Republican Party of Albania,
AL,6,prtvtal,Partia Socialdemokrate e Shqipërisë (PSD),5,AL-6-5-v,AL-6-5-v,838,ALB,PSD,Partia Socialdemokrate e Shqipërisë,Social Democratic Party of Albania,
AL,6,prtvtal,"Partia Drejtësi, Integrim dhe Unitet (PDIU)",6,AL-6-6-v,AL-6-6-v,3270,ALB,PDIU,"Partia Drejtësi, Integrim dhe Unitet","Party for Justice, Integration and Unity",
AL,6,prtvtal,Partia Bashkimi për të Drejtat e Njeriut (PBDNJ),7,AL-6-7-v,AL-6-7-v,1636,ALB,PBDN,Partia Bashkimi per te Drejtat e Njeriut,Unity for Human Rights Party,
AL,6,prtvtal,Other,8,AL-6-8-v,AL-6-8-v,2568,ALB,etc,other,other,7
AT,1,prtclat,SPÖ,1,AT-1-1-c,AT-1-1-c,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,1,prtclat,ÖVP,2,AT-1-2-c,AT-1-2-c,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,1,prtclat,FPÖ,3,AT-1-3-c,AT-1-3-c,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,1,prtclat,Grüne,4,AT-1-4-c,AT-1-4-c,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,1,prtclat,LIF,5,AT-1-5-c,AT-1-5-c,605,AUT,LIF,Liberales Forum,Liberal Forum,
AT,1,prtclat,Andere,6,AT-1-6-c,AT-1-6-c,1857,AUT,etc,other,other,7
AT,1,prtvtat,SPÖ,1,AT-1-1-v,AT-1-1-v,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,1,prtvtat,ÖVP,2,AT-1-2-v,AT-1-2-v,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,1,prtvtat,FPÖ,3,AT-1-3-v,AT-1-3-v,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,1,prtvtat,Grüne,4,AT-1-4-v,AT-1-4-v,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,1,prtvtat,LIF,5,AT-1-5-v,AT-1-5-v,605,AUT,LIF,Liberales Forum,Liberal Forum,
AT,1,prtvtat,Andere,6,AT-1-6-v,AT-1-6-v,1857,AUT,etc,other,other,7
AT,2,prtclat,SPÖ,1,AT-2-1-c,AT-1-1-c,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,2,prtclat,ÖVP,2,AT-2-2-c,AT-1-2-c,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,2,prtclat,FPÖ,3,AT-2-3-c,AT-1-3-c,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,2,prtclat,Grüne,4,AT-2-4-c,AT-1-4-c,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,2,prtclat,LIF,5,AT-2-5-c,AT-1-5-c,605,AUT,LIF,Liberales Forum,Liberal Forum,
AT,2,prtclat,Andere,6,AT-2-6-c,AT-1-6-c,1857,AUT,etc,other,other,7
AT,2,prtvtat,SPÖ,1,AT-2-1-v,AT-1-1-v,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,2,prtvtat,ÖVP,2,AT-2-2-v,AT-1-2-v,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,2,prtvtat,FPÖ,3,AT-2-3-v,AT-1-3-v,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,2,prtvtat,Grüne,4,AT-2-4-v,AT-1-4-v,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,2,prtvtat,LIF,5,AT-2-5-v,AT-1-5-v,605,AUT,LIF,Liberales Forum,Liberal Forum,
AT,2,prtvtat,Andere,6,AT-2-6-v,AT-1-6-v,1857,AUT,etc,other,other,7
AT,3,prtclaat,SPÖ,1,AT-3-1-c,AT-1-1-c,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,3,prtclaat,ÖVP,2,AT-3-2-c,AT-1-2-c,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,3,prtclaat,FPÖ,3,AT-3-3-c,AT-1-3-c,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,3,prtclaat,BZÖ,4,AT-3-4-c,AT-3-4-c,599,AUT,BZO,Bündnis Zukunft Österreich,Alliance for the Future of Austria,
AT,3,prtclaat,GRÜNE,5,AT-3-5-c,AT-1-4-c,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,3,prtclaat,LIF,6,AT-3-6-c,AT-1-5-c,605,AUT,LIF,Liberales Forum,Liberal Forum,
AT,3,prtclaat,KPÖ,7,AT-3-7-c,AT-3-7-c,996,AUT,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,
AT,3,prtclaat,Other,8,AT-3-8-c,AT-1-6-c,1857,AUT,etc,other,other,7
AT,3,prtvtaat,SPÖ,1,AT-3-1-v,AT-1-1-v,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,3,prtvtaat,ÖVP,2,AT-3-2-v,AT-1-2-v,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,3,prtvtaat,FPÖ,3,AT-3-3-v,AT-1-3-v,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,3,prtvtaat,BZÖ,4,AT-3-4-v,AT-3-4-v,599,AUT,BZO,Bündnis Zukunft Österreich,Alliance for the Future of Austria,
AT,3,prtvtaat,GRÜNE,5,AT-3-5-v,AT-1-4-v,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,3,prtvtaat,LIF,6,AT-3-6-v,AT-1-5-v,605,AUT,LIF,Liberales Forum,Liberal Forum,
AT,3,prtvtaat,KPÖ,7,AT-3-7-v,AT-3-7-v,996,AUT,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,
AT,3,prtvtaat,Other,8,AT-3-8-v,AT-1-6-v,1857,AUT,etc,other,other,7
AT,7,prtclcat,SPÖ,1,AT-7-1-c,AT-1-1-c,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,7,prtclcat,ÖVP,2,AT-7-2-c,AT-1-2-c,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,7,prtclcat,FPÖ,3,AT-7-3-c,AT-1-3-c,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,7,prtclcat,BZÖ,4,AT-7-4-c,AT-3-4-c,599,AUT,BZO,Bündnis Zukunft Österreich,Alliance for the Future of Austria,
AT,7,prtclcat,Grüne,5,AT-7-5-c,AT-1-4-c,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,7,prtclcat,KPÖ,6,AT-7-6-c,AT-3-7-c,996,AUT,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,
AT,7,prtclcat,NEOS,7,AT-7-7-c,AT-7-7-c,1970,AUT,NEOS,NEOS – Das Neue Österreich,NEOS – The New Austria,
AT,7,prtclcat,Piratenpartei Österreich,8,AT-7-8-c,AT-7-8-c,2591,AUT,1-perc,1 percent,1 percent,11
AT,7,prtclcat,Team Frank Stronach,9,AT-7-9-c,AT-7-9-c,1971,AUT,TS,Team Stronach,Team Stronach,
AT,7,prtclcat,Other,10,AT-7-10-c,AT-1-6-c,1857,AUT,etc,other,other,7
AT,7,prtvtbat,SPÖ,1,AT-7-1-v,AT-1-1-v,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,7,prtvtbat,ÖVP,2,AT-7-2-v,AT-1-2-v,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,7,prtvtbat,FPÖ,3,AT-7-3-v,AT-1-3-v,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,7,prtvtbat,BZÖ,4,AT-7-4-v,AT-3-4-v,599,AUT,BZO,Bündnis Zukunft Österreich,Alliance for the Future of Austria,
AT,7,prtvtbat,Grüne,5,AT-7-5-v,AT-1-4-v,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,7,prtvtbat,KPÖ,6,AT-7-6-v,AT-3-7-v,996,AUT,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,
AT,7,prtvtbat,NEOS,7,AT-7-7-v,AT-7-7-v,1970,AUT,NEOS,NEOS – Das Neue Österreich,NEOS – The New Austria,
AT,7,prtvtbat,Piratenpartei Österreich,8,AT-7-8-v,AT-7-8-v,2591,AUT,1-perc,1 percent,1 percent,11
AT,7,prtvtbat,Team Frank Stronach,9,AT-7-9-v,AT-7-9-v,1971,AUT,TS,Team Stronach,Team Stronach,
AT,7,prtvtbat,Other,10,AT-7-10-v,AT-1-6-v,1857,AUT,etc,other,other,7
AT,8,prtclcat,SPÖ,1,AT-8-1-c,AT-1-1-c,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,8,prtclcat,ÖVP,2,AT-8-2-c,AT-1-2-c,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,8,prtclcat,FPÖ,3,AT-8-3-c,AT-1-3-c,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,8,prtclcat,BZÖ,4,AT-8-4-c,AT-3-4-c,599,AUT,BZO,Bündnis Zukunft Österreich,Alliance for the Future of Austria,
AT,8,prtclcat,Grüne,5,AT-8-5-c,AT-1-4-c,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,8,prtclcat,KPÖ,6,AT-8-6-c,AT-3-7-c,996,AUT,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,
AT,8,prtclcat,NEOS,7,AT-8-7-c,AT-7-7-c,1970,AUT,NEOS,NEOS – Das Neue Österreich,NEOS – The New Austria,
AT,8,prtclcat,Piratenpartei Österreich,8,AT-8-8-c,AT-7-8-c,2591,AUT,1-perc,1 percent,1 percent,11
AT,8,prtclcat,Team Frank Stronach,9,AT-8-9-c,AT-7-9-c,1971,AUT,TS,Team Stronach,Team Stronach,
AT,8,prtclcat,Other,10,AT-8-10-c,AT-1-6-c,1857,AUT,etc,other,other,7
AT,8,prtvtbat,SPÖ,1,AT-8-1-v,AT-1-1-v,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,8,prtvtbat,ÖVP,2,AT-8-2-v,AT-1-2-v,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,8,prtvtbat,FPÖ,3,AT-8-3-v,AT-1-3-v,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,8,prtvtbat,BZÖ,4,AT-8-4-v,AT-3-4-v,599,AUT,BZO,Bündnis Zukunft Österreich,Alliance for the Future of Austria,
AT,8,prtvtbat,Grüne,5,AT-8-5-v,AT-1-4-v,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,8,prtvtbat,KPÖ,6,AT-8-6-v,AT-3-7-v,996,AUT,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,
AT,8,prtvtbat,NEOS,7,AT-8-7-v,AT-7-7-v,1970,AUT,NEOS,NEOS – Das Neue Österreich,NEOS – The New Austria,
AT,8,prtvtbat,Piratenpartei Österreich,8,AT-8-8-v,AT-7-8-v,2591,AUT,1-perc,1 percent,1 percent,11
AT,8,prtvtbat,Team Frank Stronach,9,AT-8-9-v,AT-7-9-v,1971,AUT,TS,Team Stronach,Team Stronach,
AT,8,prtvtbat,Other,10,AT-8-10-v,AT-1-6-v,1857,AUT,etc,other,other,7
AT,9,prtcldat,SPÖ,1,AT-9-1-c,AT-1-1-c,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,9,prtcldat,ÖVP,2,AT-9-2-c,AT-1-2-c,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,9,prtcldat,FPÖ,3,AT-9-3-c,AT-1-3-c,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,9,prtcldat,PILZ,4,AT-9-4-c,AT-9-4-c,6137,AUT,PILZ,Liste Peter Pilz,Peter Pilz List,
AT,9,prtcldat,Grüne,5,AT-9-5-c,AT-1-4-c,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,9,prtcldat,KPÖ,6,AT-9-6-c,AT-3-7-c,996,AUT,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,
AT,9,prtcldat,NEOS,7,AT-9-7-c,AT-7-7-c,1970,AUT,NEOS,NEOS – Das Neue Österreich,NEOS – The New Austria,
AT,9,prtcldat,Other,9,AT-9-9-c,AT-1-6-c,1857,AUT,etc,other,other,7
AT,9,prtvtcat,SPÖ,1,AT-9-1-v,AT-1-1-v,1384,AUT,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,
AT,9,prtvtcat,ÖVP,2,AT-9-2-v,AT-1-2-v,1329,AUT,OVP,Österreichische Volkspartei,Austrian People's Party,
AT,9,prtvtcat,FPÖ,3,AT-9-3-v,AT-1-3-v,463,AUT,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,
AT,9,prtvtcat,PILZ,4,AT-9-4-v,AT-9-4-v,6137,AUT,PILZ,Liste Peter Pilz,Peter Pilz List,
AT,9,prtvtcat,Grüne,5,AT-9-5-v,AT-1-4-v,1659,AUT,GRUENE,Die Grünen – Die grüne Alternative,The Greens -- The Green Alternative,
AT,9,prtvtcat,KPÖ,6,AT-9-6-v,AT-3-7-v,996,AUT,KPO,Kommunistische Partei Österreichs,Communist Party of Austria,
AT,9,prtvtcat,NEOS,7,AT-9-7-v,AT-7-7-v,1970,AUT,NEOS,NEOS – Das Neue Österreich,NEOS – The New Austria,
AT,9,prtvtcat,GILT,8,AT-9-8-v,AT-9-8-v,6138,AUT,GILT,Liste Roland Düringer – Meine Stimme GILT,My Vote Counts!,
AT,9,prtvtcat,Other,9,AT-9-9-v,AT-1-6-v,1857,AUT,etc,other,other,7
BE,1,prtclbe,Agalev,1,BE-1-1-c,BE-1-1-c,528,BEL,AGL-Gr,Agalev – Groen,Agalev -- Green,
BE,1,prtclbe,CD&V,2,BE-1-2-c,BE-1-2-c,604,BEL,CD&V,Christen-Democratisch en Vlaams,Christian Democrats and Flemish,
BE,1,prtclbe,SP.A,3,BE-1-3-c,BE-1-3-c,1680,BEL,SPA,Socialistische Partij Anders,Socialist Party Differently,
BE,1,prtclbe,N-VA,4,BE-1-4-c,BE-1-4-c,36,BEL,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,
BE,1,prtclbe,VLD,5,BE-1-5-c,BE-1-5-c,49,BEL,PVV-OVLD,Partij voor Vrijheid en Vooruitgang – Open Vlaamse Liberalen en Democraten,Party of Liberty and Progress -- Open Flemish Liberals and Democrats,
BE,1,prtclbe,Spirit,6,BE-1-6-c,BE-1-6-c,7015,BEL,SPIRIT,Sociaal-Liberale Partij,Social Liberal Party,
BE,1,prtclbe,PVDA,7,BE-1-7-c,BE-1-7-c,1753,BEL,PVDA – PTB,Partij van de Arbeid van België – Parti du Travail de Belgique,Workers' Party of Belgium,
BE,1,prtclbe,Vlaams Blok,8,BE-1-8-c,BE-1-8-c,553,BEL,VB,Vlaams Blok / Belang,Flemish Block / Interest,
BE,1,prtclbe,VIVANT,9,BE-1-9-c,BE-1-9-c,76,BEL,V,Vivant,Alive,
BE,1,prtclbe,ECOLO,11,BE-1-11-c,BE-1-11-c,1563,BEL,Ecolo,Écologistes Confédérés pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,
BE,1,prtclbe,CDH (PSC),12,BE-1-12-c,BE-1-12-c,2338,BEL,CDH,Centre démocrate humaniste,Humanist Democratic Centre,
BE,1,prtclbe,PS,13,BE-1-13-c,BE-1-13-c,500,BEL,PS,Parti Socialiste,Socialist Party [Francophone],
BE,1,prtclbe,Mouvement Réformateur (MR),14,BE-1-14-c,BE-1-14-c,789,BEL,MR,Mouvement Réformateur,Reformist Movement,
BE,1,prtclbe,FRONT NATIONAL,15,BE-1-15-c,BE-1-15-c,191,BEL,FN,Front National,National Front,
BE,1,prtclbe,OTHER,16,BE-1-16-c,BE-1-16-c,1834,BEL,etc,other,other,7
BE,1,prtvtbe,Agalev,1,BE-1-1-v,BE-1-1-v,528,BEL,AGL-Gr,Agalev – Groen,Agalev -- Green,
BE,1,prtvtbe,CVP,2,BE-1-2-v,BE-1-2-v,622,BEL,CVP,Christelijke Volkspartij,Flemish Christian Peoples Party,
BE,1,prtvtbe,SP,3,BE-1-3-v,BE-1-3-v,1680,BEL,SPA,Socialistische Partij Anders,Socialist Party Differently,
BE,1,prtvtbe,VLD,5,BE-1-5-v,BE-1-5-v,49,BEL,PVV-OVLD,Partij voor Vrijheid en Vooruitgang – Open Vlaamse Liberalen en Democraten,Party of Liberty and Progress -- Open Flemish Liberals and Democrats,
BE,1,prtvtbe,VU-ID,6,BE-1-6-v,BE-1-6-v,1424,BEL,VU,Volksunie [Vlaamse Concentratie],People's Union [Flemish Concentration],
BE,1,prtvtbe,PVDA-AE,7,BE-1-7-v,BE-1-7-v,1753,BEL,PVDA – PTB,Partij van de Arbeid van België – Parti du Travail de Belgique,Workers' Party of Belgium,
BE,1,prtvtbe,Vlaams Blok,8,BE-1-8-v,BE-1-8-v,553,BEL,VB,Vlaams Blok / Belang,Flemish Block / Interest,
BE,1,prtvtbe,VIVANT,9,BE-1-9-v,BE-1-9-v,76,BEL,V,Vivant,Alive,
BE,1,prtvtbe,ECOLO,11,BE-1-11-v,BE-1-11-v,1563,BEL,Ecolo,Écologistes Confédérés pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,
BE,1,prtvtbe,PSC,12,BE-1-12-v,BE-1-12-v,2338,BEL,CDH,Centre démocrate humaniste,Humanist Democratic Centre,
BE,1,prtvtbe,PRL-FDF,13,BE-1-13-v,BE-1-13-v,8259,BEL,PRL - FDF,Parti Réformateur Libéral - Front Démocratique des Francophones,Liberal Reformation Party - Francophone Democratic Front,
BE,1,prtvtbe,PS,14,BE-1-14-v,BE-1-14-v,500,BEL,PS,Parti Socialiste,Socialist Party [Francophone],
BE,1,prtvtbe,FRONT NATIONAL,15,BE-1-15-v,BE-1-15-v,191,BEL,FN,Front National,National Front,
BE,1,prtvtbe,PTB-UA,16,BE-1-16-v,BE-1-16-v,1753,BEL,PVDA – PTB,Partij van de Arbeid van België – Parti du Travail de Belgique,Workers' Party of Belgium,
BE,1,prtvtbe,OTHER,17,BE-1-17-v,BE-1-17-v,1834,BEL,etc,other,other,7
BE,2,prtclabe,Agalev/Groen!,1,BE-2-1-c,BE-1-1-c,528,BEL,AGL-Gr,Agalev – Groen,Agalev -- Green,
BE,2,prtclabe,CD&V,2,BE-2-2-c,BE-1-2-c,604,BEL,CD&V,Christen-Democratisch en Vlaams,Christian Democrats and Flemish,
BE,2,prtclabe,N-VA,3,BE-2-3-c,BE-1-4-c,36,BEL,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,
BE,2,prtclabe,SP.A,5,BE-2-5-c,BE-1-3-c,1680,BEL,SPA,Socialistische Partij Anders,Socialist Party Differently,
BE,2,prtclabe,Spirit,6,BE-2-6-c,BE-1-6-c,7015,BEL,SPIRIT,Sociaal-Liberale Partij,Social Liberal Party,
BE,2,prtclabe,Vivant,7,BE-2-7-c,BE-1-9-c,76,BEL,V,Vivant,Alive,
BE,2,prtclabe,Vlaams Blok,8,BE-2-8-c,BE-1-8-c,553,BEL,VB,Vlaams Blok / Belang,Flemish Block / Interest,
BE,2,prtclabe,VLD,9,BE-2-9-c,BE-1-5-c,49,BEL,PVV-OVLD,Partij voor Vrijheid en Vooruitgang – Open Vlaamse Liberalen en Democraten,Party of Liberty and Progress -- Open Flemish Liberals and Democrats,
BE,2,prtclabe,CDH,10,BE-2-10-c,BE-1-12-c,2338,BEL,CDH,Centre démocrate humaniste,Humanist Democratic Centre,
BE,2,prtclabe,Ecolo,11,BE-2-11-c,BE-1-11-c,1563,BEL,Ecolo,Écologistes Confédérés pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,
BE,2,prtclabe,Front National,12,BE-2-12-c,BE-1-15-c,191,BEL,FN,Front National,National Front,
BE,2,prtclabe,MR,13,BE-2-13-c,BE-1-14-c,789,BEL,MR,Mouvement Réformateur,Reformist Movement,
BE,2,prtclabe,PS,14,BE-2-14-c,BE-1-13-c,500,BEL,PS,Parti Socialiste,Socialist Party [Francophone],
BE,2,prtclabe,Other,15,BE-2-15-c,BE-1-16-c,1834,BEL,etc,other,other,7
BE,2,prtvtabe,Agalev/Groen!,1,BE-2-1-v,BE-1-1-v,528,BEL,AGL-Gr,Agalev – Groen,Agalev -- Green,
BE,2,prtvtabe,CD&V,2,BE-2-2-v,BE-2-2-v,604,BEL,CD&V,Christen-Democratisch en Vlaams,Christian Democrats and Flemish,
BE,2,prtvtabe,N-VA,3,BE-2-3-v,BE-2-3-v,36,BEL,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,
BE,2,prtvtabe,SP.A-Spirit,5,BE-2-5-v,BE-2-5-v,1586,BEL,SPA/Spirit,Socialistische Partij Anders / Sociaal-Liberale Partij / Spirit,Socialist Party Different / Social Liberal Party / Spirit,
BE,2,prtvtabe,Vivant,6,BE-2-6-v,BE-1-9-v,76,BEL,V,Vivant,Alive,
BE,2,prtvtabe,Vlaams Blok,7,BE-2-7-v,BE-1-8-v,553,BEL,VB,Vlaams Blok / Belang,Flemish Block / Interest,
BE,2,prtvtabe,VLD,8,BE-2-8-v,BE-1-5-v,49,BEL,PVV-OVLD,Partij voor Vrijheid en Vooruitgang – Open Vlaamse Liberalen en Democraten,Party of Liberty and Progress -- Open Flemish Liberals and Democrats,
BE,2,prtvtabe,CDH,9,BE-2-9-v,BE-1-12-v,2338,BEL,CDH,Centre démocrate humaniste,Humanist Democratic Centre,
BE,2,prtvtabe,Ecolo,10,BE-2-10-v,BE-1-11-v,1563,BEL,Ecolo,Écologistes Confédérés pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,
BE,2,prtvtabe,Front National,11,BE-2-11-v,BE-1-15-v,191,BEL,FN,Front National,National Front,
BE,2,prtvtabe,MR,12,BE-2-12-v,BE-2-12-v,789,BEL,MR,Mouvement Réformateur,Reformist Movement,
BE,2,prtvtabe,PS,13,BE-2-13-v,BE-1-14-v,500,BEL,PS,Parti Socialiste,Socialist Party [Francophone],
BE,2,prtvtabe,Other,14,BE-2-14-v,BE-1-17-v,1834,BEL,etc,other,other,7
BE,2,prtvtabe,Blank,15,BE-2-15-v,BE-2-15-v,3002,BEL,tech,technical,technical,12
BE,2,prtvtabe,Invalid,16,BE-2-16-v,BE-2-16-v,3002,BEL,tech,technical,technical,12
BE,3,prtclabe,Agalev/Groen!,1,BE-3-1-c,BE-1-1-c,528,BEL,AGL-Gr,Agalev – Groen,Agalev -- Green,
BE,3,prtclabe,CD&V,2,BE-3-2-c,BE-1-2-c,604,BEL,CD&V,Christen-Democratisch en Vlaams,Christian Democrats and Flemish,
BE,3,prtclabe,N-VA,3,BE-3-3-c,BE-1-4-c,36,BEL,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,
BE,3,prtclabe,SP.A,5,BE-3-5-c,BE-1-3-c,1680,BEL,SPA,Socialistische Partij Anders,Socialist Party Differently,
BE,3,prtclabe,Spirit,6,BE-3-6-c,BE-1-6-c,7015,BEL,SPIRIT,Sociaal-Liberale Partij,Social Liberal Party,
BE,3,prtclabe,Vivant,7,BE-3-7-c,BE-1-9-c,76,BEL,V,Vivant,Alive,
BE,3,prtclabe,Vlaams Blok,8,BE-3-8-c,BE-1-8-c,553,BEL,VB,Vlaams Blok / Belang,Flemish Block / Interest,
BE,3,prtclabe,VLD,9,BE-3-9-c,BE-1-5-c,49,BEL,PVV-OVLD,Partij voor Vrijheid en Vooruitgang – Open Vlaamse Liberalen en Democraten,Party of Liberty and Progress -- Open Flemish Liberals and Democrats,
BE,3,prtclabe,CDH,10,BE-3-10-c,BE-1-12-c,2338,BEL,CDH,Centre démocrate humaniste,Humanist Democratic Centre,
BE,3,prtclabe,Ecolo,11,BE-3-11-c,BE-1-11-c,1563,BEL,Ecolo,Écologistes Confédérés pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,
BE,3,prtclabe,Front National,12,BE-3-12-c,BE-1-15-c,191,BEL,FN,Front National,National Front,
BE,3,prtclabe,MR,13,BE-3-13-c,BE-1-14-c,789,BEL,MR,Mouvement Réformateur,Reformist Movement,
BE,3,prtclabe,PS,14,BE-3-14-c,BE-1-13-c,500,BEL,PS,Parti Socialiste,Socialist Party [Francophone],
