"country","party_id","party_abbrev","party_name","party_name_english","country_iso3","cmp_id","electionyear","vote","year_first","year_last"
"GE",306,"PDS;","Partei des Demokratischen Sozialismus; Die Linkspartei; Die Linke","Party of Democratic Socialism; Left Party; The Left","DEU",41223,2009,11.9,1999,2014
"GE",308,"CSU","Christlich Soziale Union in Bayern","Christian Social Union in Bavaria","DEU",,2002,9,1999,2014
"GE",309,"DVU; NPD","Deutsche Volksunion; Nationaldemokratische Partei Deutschlands","German People’s Union; National Democratic Party of Germany","DEU",,2013,1.3,1999,2014
"GE",310,"AfD","Alternative für Deutschland","Alternative for Germany","DEU",41953,2013,4.7,2014,2014
"GE",311,"Piraten","Piratenpartei Deutschland","Pirate Party of Germany","DEU",41952,2013,2.2,2014,2014
"GE",312,"DieTier","Mensch Umwelt Tierschutz","Human Environment Animal Protection","DEU",,2013,0.3,2014,2014
"GR",401,"PASOK","Panellinio Sosialistikó Kínima","Panhellenic Socialist Movement","GRC",34313,2009,43.9,1999,2014
"GR",402,"ND","Néa Dimokratía","New Democracy","GRC",34511,2004,45.4,1999,2014
"GR",403,"SYN; SYRIZA","Synaspismós tïs Aristerás kai tïs Proódou; Synaspismó’s Rizospastikís Aristerás","Coalition of the Left and Progress; Coalition of the Radical Left","GRC",34020,2012,26.9,1999,2014
"GR",404,"KKE","Kommounistikó Kómma Elládas","Communist Party of Greece","GRC",34210,2009,7.5,1999,2014
"GR",408,"POLA","Politiki Anixi","Political Spring","GRC",34512,1996,2.9,1999,1999
"GR",409,"DIKKI","Dimokratiko Kinoniko Kinima","Democratic Social Movement","GRC",34314,1996,4.4,1999,2010
"GR",410,"LAOS","Laïkós Orthódoxos Synagermós","Popular Orthodox Rally","GRC",34710,2009,5.6,2006,2014
"GR",411,"OP","Oikologoi Prasinoi","Ecologist Greens","GRC",,2009,2.5,2010,2010
"GR",412,"ANEL","Anexartitoi Ellines","Independent Greeks","GRC",34730,2012,7.5,2014,2014
"GR",413,"Potami","To Potami","The River","GRC",,,,2014,2014
"GR",414,"DIMAR","Dimokratiki Aristera","Democratic Left","GRC",34213,2012,6.3,2014,2014
"GR",415,"XA","Laïkós Sýndesmos—Chrysí Avgí","Popular Association—Golden Dawn","GRC",34720,2012,6.9,2014,2014
"ESP",501,"PSOE","Partido Socialista Obrero Español","Spanish Socialist Workers’ Party","ESP",33320,2008,43.7,1999,2014
"ESP",502,"PP","Partido Popular","People’s Party","ESP",33610,2000,44.6,1999,2014
"ESP",504,"IU","Izquierda Unida","United Left","ESP",33220,1996,10.5,1999,2014
"ESP",505,"CiU","Convergència i Unió","Convergence and Unity","ESP",33611,1996,4.6,1999,2014
"ESP",506,"PNV","Euzko Alderdi Jeltzalea / Partido Nacionalista Vasco","Basque Nationalist Party","ESP",33902,2004,1.6,1999,2014
"ESP",507,"EA","Eusko Alkartasuna","Basque Solidarity","ESP",33903,1996,0.5,1999,2014
"ESP",508,"EH","Euskal Herritarrok","We Basque Citizens","ESP",,1996,0.7,1999,1999
"ESP",510,"PAR","Partido Aragonés","Aragonese Party","ESP",33904,1996,0.2,1999,1999
"ESP",511,"ERC","Esquerra Republicana de Catalunya","Republican Left of Catalonia","ESP",33905,2004,2.5,1999,2014
"ESP",512,"UV","Unión Valenciana","Valencian Union","ESP",,1996,0.4,1999,1999
"ESP",513,"BNG","Bloque Nacionalista Galego","Galician Nationalist Bloc","ESP",33908,2000,1.3,1999,2014
"ESP",514,"VERDE","Los Verdes","The Greens","ESP",,1996,0.2,1999,1999
"ESP",516,"PA","Partido Andalucista","Andalusian Party","ESP",33906,2000,0.9,2002,2002
"ESP",517,"CC","Coalición Canaria","Coalicion Canaria","ESP",33907,2000,1.1,1999,2014
"ESP",518,"IC","Iniciativa per Catalunya","Initiative for Catalonia","ESP",,2011,1.3,1999,2014
"ESP",519,"PSC","Partit dels Socialistes de Catalunya","Catalan Socialist Party","ESP",,,,2014,2014
"ESP",520,"CHA","Chunta Aragonesista","Aragonese Council","ESP",33909,2004,0.4,2006,2010
"ESP",521,"CpE","Coalicion por Europa","Coalition for Europe","ESP",,,,2014,2014
"ESP",522,"EdP-V","Europa de los Pueblos-Los Verdes","Europe of the Peoples-Greens","ESP",,,,2014,2014
"ESP",523,"UPyD","Unión Progreso y Democracia","Union, Progress, and Democracy","ESP",33440,2011,4.8,2010,2014
"ESP",524,"Amaiur","Amaiur","Amaiur","ESP",33092,2011,1.2,2014,2014
"ESP",525,"Podemos","Podemos","We Can","ESP",,,,2014,2014
"ESP",526,"Cs","Ciudadanos—Partido de la Ciudadanía","Citizens—Party of the Citizenry","ESP",,,,2014,2014
"FR",601,"PCF","Parti Communiste Français","French Communist Party","FRA",31220,1997,9.9,1999,2014
"FR",602,"PS","Parti Socialiste","Socialist Party","FRA",31320,2012,29.4,1999,2014
"FR",603,"PRG","Parti Radical de Gauche","Left Radical Party","FRA",31230,2007,3.4,1999,2014
"FR",605,"VERTS","Les Verts","Green Party","FRA",31110,2012,5.5,1999,2014
"FR",609,"RPR; UMP","Rassemblement pour la République; Union pour un Mouvement Populaire","Rally for the Republic; Union for Popular Movement","FRA",31626,2007,40.3,1999,2014
"FR",610,"FN","Front National","National Front","FRA",31720,1997,14.9,1999,2014
"FR",612,"RPF/MPF; MPF","Rassemblement pour la France / Mouvement Pour la France; Mouvement Pour la France","Rally for France / Movement for France; Movement for France","FRA",,1997,2.4,1999,2014
"FR",613,"UDF; Modem","Union pour la Démocratie Française","Union for French Democracy","FRA",31624,1997,14.7,1999,2014
"FR",614,"LO-LCR","Lutte Ouvrière / Ligue communiste révolutionnaire","Workers’ Struggle / Revolutionary Communist League","FRA",,,,2014,2014
"FR",615,"DL","Démocratie Libérale","Liberal Democracy","FRA",,2002,0.4,1999,2002
"FR",617,"MEI","Mouvement Ecologiste Indépendant","Independent Ecological Movement","FRA",,,,2014,2014
"FR",618,"D","La Droite","The Right","FRA",,,,2014,2014
"FR",619,"CPNT","Chasse, Pêche, Nature, Traditions","Hunting, Fishing, Nature, Tradition Party","FRA",,,,2014,2014
"FR",620,"MN","Mouvement National Républicain","National Republican Movement","FRA",,,,2014,2014
"FR",621,"NC","Nouveau Centre","New Center","FRA",31630,2012,2.2,2010,2014
"FR",622,"PRV","Parti radical","Radical Party","FRA",31421,2012,1.2,2014,2014
"FR",623,"AC","Alliance centriste","Centrist Alliance","FRA",31631,2012,0.6,2014,2014
"FR",624,"PG","Parti de Gauche","Left Party","FRA",,2012,0.7,2014,2014
"FR",625,"Ens","Ensemble","Together","FRA",,,,2014,2014
"IRL",701,"FF","Fianna Fáil","Soldiers of Destiny","IRL",53620,2007,41.6,1999,2014
"IRL",702,"FG","Fine Gael","Family of the Irish","IRL",53520,2011,36.1,1999,2014
"IRL",703,"Lab","Páirti Lucht Oibre","Labour","IRL",53320,2011,19.5,1999,2014
"IRL",705,"GP","Comhaontas Glas","Green Party","IRL",53110,2007,4.7,1999,2014
"IRL",707,"SF","Sinn Féin","We Ourselves","IRL",53951,2011,9.9,1999,2014
"IRL",708,"SP","Páirtí Sóisialach","Socialist Party","IRL",53230,2011,1.2,1999,2014
"IRL",709,"PBPA","People Before Proﬁt Alliance","People Before Proﬁt Alliance","IRL",,2011,1,2014,2014
"IT",802,"PDS; DS","Partito Democratico della Sinistra; Democratici di Sinistra","Democratic Party of the Left; Democrats of the Left","ITA",32220,1996,21.1,1999,2006
"IT",803,"RC","Partito della Rifondazione Comunista","Communist Refoundation Party","ITA",32212,1996,8.6,1999,2014
"IT",805,"AN","Alleanza Nazionale","National Alliance","ITA",32710,1996,15.7,1999,2010
"IT",806,"PRI","Partito Repubblicano Italiano","Italian Republican Party","ITA",,1996,1.7,1999,1999
"IT",807,"PSDI; SDI","Partito Socialista Democratico Italiano; Socialisti Democratici Italiani","Italian Democratic Socialist Party; Italian Democratic Socialists","ITA",,2006,1.5,1999,2006
"IT",808,"FdV;Verdi","Federazione dei Verdi","Federation of Greens","ITA",32110,1996,2.5,1999,2010
"IT",811,"LN","Lega Nord","Northern League","ITA",32720,1996,10.1,1999,2014
"IT",813,"RAD","Radicali Italiani","Italian Radicals","ITA",,2006,1.1,2006,2006
"IT",814,"CCD; UDC","Centro Cristiano Democratico; Unione dei Democratici Cristiani e die Democratici di Centro; Unione di Centro","Christian Democratic Center; Union of Christian and Center Democrats; Union of the Centre","ITA",32530,2006,6.8,1999,2014
"IT",815,"FI","Forza Italia","Forward Italy","ITA",32061,2008,38.2,1999,2014
"IT",817,"CU/UD","Unione Democratica","Democratic Union","ITA",,1996,1.7,1999,1999
"IT",818,"CDU","Cristiani Democratici Uniti","United Christian Democrats","ITA",,1996,2.9,1999,2002
"IT",819,"DEM; DL","I Democratici; Democrazia è Libertà—La Margherita","The Democrats; Democracy is Freedom—The Daisy","ITA",,2006,10.9,1999,2006
"IT",820,"LB","Lista Bonino","Bonino List","ITA",,,,2014,2014
"IT",821,"MS","Movimento Sociale Fiamma Tricolore","Tricolor Flame Social Movement","ITA",,1996,0.9,1999,1999
"IT",822,"PdUP","Partito di Unità Proletaria","Party of Proletarian Unity for Communism","ITA",,,,2014,2014
"IT",823,"PPI","Partito Popolare Italiano","Italian Popular Party","ITA",32520,2001,4.6,1999,2002
"IT",824,"PsDA","Partito Sardo d’Azione","Sardinian Action Party","ITA",,1996,0.7,1999,1999
"IT",825,"RI","Rinnovamento Italiano","Italian Renewal-Dini List","ITA",32321,1996,4.3,1999,2002
"IT",826,"SEG","Patto Segni","Segni Pact","ITA",,,,2014,2014
"IT",827,"SVP","Südtiroler Volkspartei","South Tyrolean People’s Party","ITA",32904,1996,1.7,1999,2014
"IT",828,"IdV","Di Pietro-Italia dei Valori","Italy of Values","ITA",32902,2008,4.5,2002,2010
"IT",829,"UDEUR","Popolari-UDEUR","Popular-UDEUR","ITA",32953,2006,1.4,2002,2006
"IT",830,"PP","Partito dei Pensionati","Pensioners’ Party","ITA",,2006,0.9,2006,2006
"IT",832,"MRE","Movimento Repubblicani Europei","European Republican Movement","ITA",,2006,1.6,2006,2006
"IT",835,"NPSI","Nuovo Partito Socialista Italiano","New Italian Socialist Party","ITA",32611,2006,0.7,2006,2006
"IT",836,"PdCI","Partito dei Comunisti Italiani","Party of Italian Communists","ITA",32213,2006,2.3,2006,2010
"IT",837,"PD","Partido Democratico","Democratic Party","ITA",32440,2008,34,2010,2014
"IT",838,"SL; SEL","Sinistra e Libertà; Sinistra Ecologia Libertà","Left and Freedom; Left Ecology Freedom","ITA",32230,2013,3.2,2010,2014
"IT",839,"PSI","Partito Socialista Italiano","Italian Socialist Party","ITA",,2008,1.1,2010,2010
"IT",840,"MpA","Movimento per le Autonomie","Movement for Autonomies","ITA",,2008,1.1,2010,2010
"IT",842,"SD","Sinistra Democratica","Democratic Left","ITA",,2008,0.8,2010,2010
"IT",843,"CD","Centro Democratico—Diritti e Libertá","Democratic Centre","ITA",32450,2013,0.5,2014,2014
"IT",844,"FDL","Fratelli d’Italia","Brothers of Italy","ITA",,2013,2,2014,2014
"IT",845,"M5S","MoVimento Cinque Stelle","Five Star Movement","ITA",32956,2013,25.6,2014,2014
"IT",846,"SC","Scelta Civica","Civic Choice","ITA",32460,2013,8.3,2014,2014
"IT",847,"VdA","Vallée d’Aoste","Aosta Valley","ITA",32906,2013,0,2014,2014
"IT",848,"NCD","Nuovo Centrodestra","New Centre-Right","ITA",,,,2014,2014
"NL",1001,"CDA","Christen-Democratisch Appel","Christian Democratic Appeal","NLD",22521,2002,27.9,1999,2014
"NL",1002,"PvdA","Partij van de Arbeid","Labour Party","NLD",22320,1998,29,1999,2014
"NL",1003,"VVD","Volkspartij voor Vrijheid en Democratie","People’s Party for Freedom and Democracy","NLD",22420,2012,26.6,1999,2014
"NL",1004,"D66","Democraten 66","Democrats 66","NLD",22330,1998,9,1999,2014
"NL",1005,"GL","GroenLinks","GreenLeft","NLD",22110,1998,7.3,1999,2014
"NL",1006,"SGP","Staatkundig Gereformeerde Partij","Political Reformed Party","NLD",22952,2012,2.1,1999,2014
"NL",1007,"GPV","Gereformeerd Politiek Verbond","Reformed Political League","NLD",,1998,1.2,1999,1999
"NL",1008,"RPF","Reformatorische Politieke Federatie","Reformational Political Federation","NLD",,1998,2,1999,1999
"NL",1009,"CD","Centrum Democraten","Center Democrats","NLD",,,,2014,2014
"NL",1014,"SP","Socialistische Partij","Socialist Party","NLD",22220,2006,16.6,1999,2014
"NL",1015,"LPF","Lijst Pim Fortuyn","Lijst Pim Fortuyn","NLD",22720,2002,17,2002,2002
"NL",1016,"CU","ChristenUnie","ChristianUnion","NLD",22526,2006,4,2002,2014
"NL",1017,"PVV","Partij voor de Vrijheid","Party for Freedom","NLD",22722,2010,15.5,2006,2014
"NL",1018,"PvdD","Partij voor de Dieren","Party for the Animals","NLD",22951,2012,1.9,2010,2014
"NL",1020,"50PLUS","50PLUS","50PLUS","NLD",22953,2012,1.9,2014,2014
"UK",1101,"Cons","Conservative Party","Conservative Party","GBR",51620,2010,36.1,1999,2014
"UK",1102,"Lab","Labour Party","Labour Party","GBR",51320,1997,43.2,1999,2014
"UK",1104,"LibDem","Liberal Democratic Party","Liberal Democratic Party","GBR",51421,2010,23,1999,2014
"UK",1105,"SNP","Scottish National Party","Scottish National Party","GBR",51902,1997,2,1999,2014
"UK",1106,"Plaid","Plaid Cymru","Party of Wales","GBR",51901,2001,0.7,1999,2014
"UK",1107,"Green","Green Party","Green Party","GBR",,2005,1,1999,2014
"UK",1108,"UKIP","United Kingdom Independence Party","United Kingdom Independence Party","GBR",51951,2010,3.1,1999,2014
"UK",1109,"BNP","British National Party","British National Party","GBR",,2010,1.9,2010,2010
"POR",1201,"CDU","Coligação Democrática Unitária","Democratic Unitarian Coalition","PRT",35229,1999,9,1999,2014
"POR",1202,"CDS; PP","Centro Democrático e Social; Partido Popular","Democratic and Social Center; People’s Party","PRT",35520,2011,12.2,1999,2014
"POR",1205,"PS","Partido Socialista","Socialist Party","PRT",35311,2005,45,1999,2014
"POR",1206,"PPD; PSD","Partido Popular Democrático; Partido Social Democrata","Democratic People’s Party; Social Democratic Party","PRT",35313,2011,40.3,1999,2014
"POR",1208,"BE","Bloco de Esquerda","Left Bloc","PRT",35211,2009,9.8,1999,2014
"POR",1209,"MPT","Partido da Terra","Earth Party","PRT",,2011,0.4,2014,2014
"AUS",1301,"SPÖ","Sozialdemokratische Partei Österreichs","Social Democratic Party of Austria","AUT",42320,2002,36.5,1999,2014
"AUS",1302,"ÖVP","Österreichische Volkspartei","Austrian People’s Party","AUT",42520,2002,42.3,1999,2014
"AUS",1303,"FPÖ","Freiheitliche Partei Österreichs","Freedom Party of Austria","AUT",42420,1999,26.9,1999,2014
"AUS",1304,"Grüne","Die Grünen","The Austrian Green Party","AUT",42110,2013,12.4,1999,2014
"AUS",1306,"LIF; NEOS","Liberales Forum; NEOS—Das Neue Österreich und Liberales Forum","Liberal Forum; NEOS—The New Austria and Liberal Forum","AUT",42421,2013,5,1999,2014
"AUS",1307,"BZÖ","Bündnis Zukunft Österreich","Alliance for the Future of Austria","AUT",42710,2008,10.7,2006,2014
"AUS",1308,"MARTIN","Liste Dr. Hans-Peter Martin","Hans-Peter Martin’s List","AUT",,2006,2.8,2006,2010
"AUS",1310,"TeamStronach","Team Stronach für Österreich","Team Stronach for Austria","AUT",,2013,5.7,2014,2014
"FIN",1401,"SDP","Suomen Sosialidemokraattinen","Social Democratic Party of Finland","FIN",14320,2003,24.5,1999,2014
"FIN",1402,"KOK","Kansallinen Kokoomus","National Coalition Party","FIN",14620,2007,22.3,1999,2014
"FIN",1403,"KESK","Suomen Keskusta","Finnish Center Party","FIN",14810,2003,24.7,1999,2014
"FIN",1404,"VAS","Vasemmistoliitto","Left Alliance","FIN",14223,1999,10.9,1999,2014
"FIN",1405,"PS","Persussuomalaiset","True Finns","FIN",14820,2011,19.1,1999,2014
"FIN",1406,"RKP/SFP","Ruotsalainen kansanpuolue / Svenska folkpartiet","Swedish People’s Party","FIN",14901,1999,5.1,1999,2014
"FIN",1408,"VIHR","Vihreä Liitto","Green League","FIN",14110,2007,8.5,1999,2014
"FIN",1409,"SKL; KD","Suomen Kristillinen Liitto; Kristillisdemokraatit","Finish Christian League; Christian Democrats","FIN",14520,2003,5.3,1999,2014
"FIN",1411,"EKA","Eläkeläiset Kansan Asialla","Pensioners for the People","FIN",,,,2014,2014
"FIN",1412,"REM","Remonttiryhmä","Reform Group","FIN",,1999,1.1,1999,1999
"FIN",1413,"KIPU","Kirjava “puolue” - Elonkehän puolesta","Ecological Party","FIN",,1999,0.4,1999,1999
"SV",1601,"V","Vänsterpartiet","Left Party","SWE",11220,1998,12,1999,2014
"SV",1602,"SAP","Arbetarpartiet- Socialdemokraterna; Sveriges Socialdemokratiska Arbetareparti","Worker’s Party-Social Democrats; Swedish Social Democratic Party","SWE",11320,2002,39.9,1999,2014
"SV",1603,"C","Centerpartiet","Center Party","SWE",11810,2006,7.9,1999,2014
"SV",1604,"FP","Folkpartiet liberalerna","Liberal People’s Party","SWE",11420,2002,13.4,1999,2014
"SV",1605,"M","Moderaterna; Moderata Samlingspartiet","Moderate Party","SWE",11620,2010,30.1,1999,2014
"SV",1606,"KD","Kristdemokraterna","Christian-Democrats","SWE",11520,1998,11.8,1999,2014
"SV",1607,"MP","Miljöepartiet de Gröna","Environment Party—The Greens","SWE",11110,2010,7.3,1999,2014
"SV",1608,"NyD","Ny Demokrati","New Democracy","SWE",,,,2014,2014
"SV",1609,"JL","Junilistan","June List","SWE",,,,2014,2014
"SV",1610,"SD","Sverigedemokraterna","Sweden Democrats","SWE",11710,2014,12.9,2010,2014
"SV",1611,"PIRAT","Piratpartiet","Pirate Party","SWE",,2010,0.7,2010,2014
"SV",1612,"FI","Feministiskt initiativ","Feminist Initative","SWE",,2014,3.1,2014,2014
"BUL",2001,"NDSV","Nacionalno Dviženie Simeon Vtori","National Movement Simeon II","BGR",80902,2001,42.7,2002,2010
"BUL",2002,"ODS; SDS","Obedineni Demokraticni Sili; Sayuz na demokratichnite sili","United Democratic Forces; Union of Democratic Forces","BGR",80411,2001,18.2,2002,2014
"BUL",2003,"KzB; BSP","Koalicija za Bǎlgarija; BSP—Lyava Bulgaria","Coalition for Bulgaria; BSP—Left Bulgaria","BGR",80221,2005,31,2002,2014
"BUL",2004,"DPS","Dviženie za Prava i Svobodi","Movement for Rights and Freedoms","BGR",80951,2014,14.8,2002,2014
"BUL",2005,"G-VMRO; VMRO-BND","Dviženie Gergiovden; VMRO—Bulgarsko Natsionalno Dvizhenie","Gergiovden-VMRO; VMRO—Bulgarian National Movement","BGR",,2001,3.6,2002,2014
"BUL",2006,"KSII","Koalicija Simeon II","Coalition Simeon II","BGR",,2001,3.4,2002,2002
"BUL",2007,"NOA; Ataka","Nacionalno Obedinenie Ataka; Ataka","National Union Attack; Attack","BGR",80710,2009,9.4,2006,2014
"BUL",2008,"DSB","Demokrati za Silna Bǎlgarija","Democrats for a Strong Bulgaria","BGR",80610,2005,6.4,2006,2014
"BUL",2009,"BNS","Bǎlgarski Naroden Sǎjuz","Bulgarian People’s Union","BGR",,2005,5.2,2006,2010
"BUL",2010,"GERB","Grazhdani za evropeysko razvitie na Balgariya","Citizens for European Development of Bulgaria","BGR",80510,2009,39.7,2010,2014
"BUL",2011,"L","Lider","Lider","BGR",,2009,3.3,2010,2010
"BUL",2012,"RZS","Red, zakonnost i spravedlivost","Order, Lawfullness, Justice","BGR",,2009,4.1,2010,2010
"BUL",2013,"DBG","Dvizhenie Bulgaria na grazhdanite","Bulgaria for Citizens Movement","BGR",,2014,2.7,2014,2014
"BUL",2014,"NFSB","Natsionalen Front za Spasenie na Bulgaria","National Front for the Salvation of Bulgaria","BGR",,2014,4.2,2014,2014
"BUL",2015,"BBT","Bulgaria bez Tsenzura","Bulgaria without Censorship","BGR",,2014,5.7,2014,2014
"BUL",2016,"ABV","Alternativa za Balgarsko Vazrazhdane","Alternative for Bulgarian Revival","BGR",,2014,4.2,2014,2014
"CZ",2101,"CSSD","Česká strana sociálne demokratická","Czech Social Democratic Party","CZE",82320,2006,32.3,2002,2014
"CZ",2102,"ODS","Obcanská Demokratická Strana","Civic Democratic Party","CZE",82413,2006,35.4,2002,2014
"CZ",2103,"KSCM","Komunistická strana Cech a Moravy","Communist Party of Bohemia and Moravia","CZE",82220,2002,18.5,2002,2014
"CZ",2104,"KDU-CSL","Kesťanská demokratická unie—Československá strana lidová","Christian Democratic Union—Czechoslovak People’s Party","CZE",82523,2002,10.3,2002,2014
"CZ",2105,"US-DEU","Unie Svobody—Demokratická unie","Freedom Union—Democratic Union","CZE",,2002,4.2,2002,2002
"CZ",2106,"SNK-ED","Sdružení nezávislých kandidátu—Evropští demokraté","Union of Independents—European Democrats","CZE",,2006,2.1,2006,2006
"CZ",2107,"SZ","Strana zelených","Green Party","CZE",82110,2006,6.3,2006,2014
"CZ",2108,"Nezavisli","Nezávislí","Independents","CZE",,,,2014,2014
"CZ",2109,"TOP09","Top09","Top09","CZE",82530,2010,16.7,2010,2014
"CZ",2110,"VV","Vĕci Veejné","Public Aﬀairs","CZE",82952,2010,10.9,2010,2010
"CZ",2111,"ANO2011","ANO 2011, Akce nespokojených obanů","ANO 2011, Action of Dissatisﬁed Citizens","CZE",82430,2013,18.7,2014,2014
"CZ",2112,"USVIT","Úsvit pímé demokracie","Dawn of Direct Democracy","CZE",82720,2013,6.9,2014,2014
"CZ",2113,"SVOBODNI","Strana svobodných obanů","Party of Free Citizens","CZE",,2013,2.5,2014,2014
"EST",2201,"IRL","Erakond Isamaa ja Res Publica Liit","Pro Patria and Res Publica Union","EST",83611,2011,20.5,2006,2014
"EST",2202,"EK","Eesti Keskerakond","Estonian Center Party","EST",83411,2007,26.1,2006,2014
"EST",2203,"ER","Eesti Reformierakond","Estonian Reform Party","EST",83430,2011,28.6,2006,2014
"EST",2204,"SDE","Sotsiaaldemokraatlik Erakond","Social Democratic Party","EST",83410,2011,17.1,2006,2014
"EST",2205,"KP","Eestimaa ühendatud Rahvapartei","Constitution Party","EST",,2003,2.2,2006,2006
"EST",2206,"ERL","Eestimaa Rahvaliit","Estonian People’s Union","EST",83612,2003,13,2006,2010
"EST",2207,"EER","Erakond Eestimaa Rohelised","Estonian Greens","EST",83110,2007,7.1,2010,2014
"EST",2208,"EVE","Eesti Vabaerakond","Estonian Free Party","EST",,,,2014,2014
"HUN",2301,"MSzP","Magyar Szocialista Párt","Hungarian Socialist Party","HUN",86220,2006,43.2,2002,2014
"HUN",2302,"Fidesz-M","Fidesz—Magyar Polgári Szövetség","Fidesz—Hungarian Civic Union","HUN",86421,2010,45.4,2002,2014
"HUN",2303,"MDF","Magyar Demokrata Fórum","Hungarian Democratic Forum","HUN",86521,2002,5.1,2002,2010
"HUN",2304,"SzDSz","Szabad Demokraták Szövetsége","Alliance of Free Democrats","HUN",86422,2006,6.5,2002,2010
"HUN",2305,"MIEP","Magyar Igazság és élet Pártja","Hungarian Justice and Life Party","HUN",86620,2002,4.4,2002,2002
"HUN",2306,"CP","Centrumpárt","Centre Party","HUN",,2002,3.9,2002,2002
"HUN",2307,"KDNP","Kereszténydemokrata Néppárt","Christian Democratic People’s Party","HUN",86522,2010,7.3,2006,2010
"HUN",2308,"JOBBIK","Jobbik Magyarorszagert Mozgalom","Movement for a Better Hungary","HUN",86710,2014,20.2,2010,2014
"HUN",2309,"LMP","Lehet Más a Politika","Politics Can Be Diﬀerent","HUN",86110,2010,7.5,2010,2014
"HUN",2310,"E14","Együtt 2014","Together 2014","HUN",86340,2014,2.1,2014,2014
"HUN",2311,"DK","Demokratikus Koalíció","Democratic Coalition","HUN",86221,2014,2.8,2014,2014
