country,country_iso3,party_id,party_abbrev,party_name,party_name_english,vote,electionyear,year_first,year_last
EST,EST,2203,ER,Eesti Reformierakond,Estonian Reform Party,27.7,2015,2017,2017
EST,EST,2204,SDE,Sotsiaaldemokraatlik Erakond,Social Democratic Party,15.2,2015,2017,2017
EST,EST,2208,EVE,Eesti Vabaerakond,Estonian Free Party,8.7,2015,2017,2017
EST,EST,2209,EKRE,Eesti Konservatiivne Rahvaerakond,Conservative People’s Party of Estonia,8.2,2015,2017,2017
HUN,HUN,2301,MSzP,Magyar Szocialista Párt,Hungarian Socialist Party,19.5,2014,2017,2017
HUN,HUN,2302,Fidesz,Fidesz – Magyar Polgári Szövetség,Fidesz- Hungarian Civic Union,39.5,2014,2017,2017
HUN,HUN,2308,JOBBIK,Jobbik Magyarországért Mozgalom,Jobbik- Movement for a Better Hungary,20.2,2014,2017,2017
HUN,HUN,2309,LMP,Lehet Más a Politika,Politics Can Be Different,5.3,2014,2017,2017
HUN,HUN,2310,E14,Együtt – A Korszakváltók Pártja,Together-Party for a New Era,2.1,2014,2017,2017
HUN,HUN,2311,DK,Demokratikus Koalíció,Democratic Coalition,2.7,2014,2017,2017
HUN,HUN,2312,PM,Párbeszéd Magyarországért,Dialogue for Hungary,0.7,2014,2017,2017
HUN,HUN,2313,MLP,Magyar Liberális Párt (Liberálisok),Hungarian Liberal Party,0.7,2014,2017,2017
POL,POL,2601,SLD,Sojusz Lewicy Demokratycznej,Democratic Left Alliance,1.9,2015,2017,2017
POL,POL,2603,PO,Platforma Obywatelska,Civic Platform,24.1,2015,2017,2017
POL,POL,2605,PiS,Prawo i Sprawiedliwosc,Law and Justice Party,37.6,2015,2017,2017
POL,POL,2606,PSL,Polskie Stronnictwo Ludowe,Polish People’s Party,5.1,2015,2017,2017
POL,POL,2613,TR,Twoj Ruch (Ruch Palikota),Your Movement (Palikot's Movement),1.9,2015,2017,2017
POL,POL,2617,Kukiz,Kukiz’15,Kukiz’15,8.8,2015,2017,2017
POL,POL,2618,Novo,Nowoczesna,Modern,7.6,2015,2017,2017
POL,POL,2619,Korwin,Wolnosc (Korwin-Mikke),Liberty (Korwin- Mikke),4.8,2015,2017,2017
POL,POL,2620,Razem,Partia Razem,Together Party,3.6,2015,2017,2017
SLO,SVK,2803,Smer,Smer–sociálna demokracia,Direction- Social Democracy,28.3,2016,2017,2017
SLO,SVK,2804,SMK-MDP,Strana maďarskej komunity,Party of the Hungarian Community,4.1,2016,2017,2017
SLO,SVK,2805,KDH,Kresťanskodemokratické hnutie,Christian Democratic Movement,4.9,2016,2017,2017
SLO,SVK,2809,SNS,Slovenská národná strana,Slovak National Party,8.6,2016,2017,2017
SLO,SVK,2812,SaS,Sloboda a Solidarita,Freedom and Solidarity,12.1,2016,2017,2017
SLO,SVK,2813,Most-Híd,Most–Híd,Bridge,6.5,2016,2017,2017
SLO,SVK,2814,OlaNO- NOVA,Obyčajní Ľudia a nezávislé osobnosti-NOVA,Ordinary People and Independent Personalities-NOVA,11,2016,2017,2017
SLO,SVK,2816,Siet,Siet’,Network,5.6,2016,2017,2017
SLO,SVK,2817,Kotleba LSNS,Ľudová strana – Naše Slovensko (Marian Kotleba),People’s Party- Our Slovakia,8,2016,2017,2017
SLO,SVK,2818,Sme Rodina,Sme Rodina,We Are Family,6.6,2016,2017,2017
