country,party_id,party_abbrev,party_name,party_name_english
UK,1150,SF,Sinn Féin,Ourselves
UK,1151,DUP,Democratic Unionist Party,Democratic Unionist Party
POR,1201,CDU/PCP- PEV,Coligação Democrática Unitária,Democratic Unitarian Coalition
POR,1202,CDS-PP,Partido Popular,People’s Party
POR,1205,PS,Partido Socialista,Socialist Party
POR,1206,PSD,Partido Social Democrata,Social Democratic Party
POR,1208,BE/O Bloco,Bloco de Esquerda,Left Bloc
POR,1209,MPT,Partido da Terra,Earth Party
POR,1250,PAN,Pessoas-Animais-Natureza,People-Animals-Nature
POR,1251,PDR,Partido Democratico Republicano,Democratic Republican Party
SV,1601,V,Vänsterpartiet,Left Party
SV,1602,SAP,Sveriges Socialdemokratiska Arbetareparti,Swedish Social Democratic Party
SV,1603,C,Centerpartiet,Center Party
SV,1604,FP,Folkpartiet Liberalna,Liberal People’s Party
SV,1605,M,Moderata Samlingspartiet,Moderate Party
SV,1606,KD,Kristdemokraternah,Christian Democrats
SV,1607,MP,Miljöepartiet de Gröna,Environment Party— The Greens
SV,1610,SD,Sverigedemokraterna,Sweden Democrats
SV,1611,PIRAT,Piratpartiet,Pirate Party
SV,1612,FI,Feministiskt Initiativ,Feminist Initiative
CZ,2101,CSSD,Česká strana sociálne demokratická,Czech Social Democratic Party
CZ,2102,ODS,Obcanská Demokratická Strana,Civic Democratic Party
CZ,2103,KSCM,Komunistická strana Cech a Moravy,Communist Party of Bohemia and Moravia
CZ,2104,KDU-CSL,Kresťanská demokratická unie - Československá strana lidová,Christian Democratic Union—Czechoslovak People’s Party
CZ,2109,TOP09,TOP09,TOP09
CZ,2111,ANO2011,"ANO2011, Akce nespokojených občanů","ANO2011, Action of Dissatisfied Citizens"
CZ,2114,Pirates,Pirátská strana,Pirate Party
CZ,2115,SPD,Svoboda a přímá demokracie,Freedom and Direct Democracy
CZ,2116,STAN,Starostové a nezávislí,Mayors and Independents
EST,2201,IRL,Erakond Isamaa ja Res Publica Liit,Pro Patria and Res Publica Union
EST,2202,EK,Eesti Keskerakond,Estonian Center Party
EST,2203,ER,Eesti Reformierakond,Estonian Reform Party
EST,2204,SDE,Sotsiaaldemokraatlik Erakond,Social Democratic Party
EST,2208,EVE,Eesti Vabaerakond,Estonian Free Party
EST,2209,EKRE,Eesti Konservatiivne Rahvaerakond,Conservative People’s Party of Estonia
HUN,2301,MSzP,Magyar Szocialista Párt,Hungarian Socialist Party
HUN,2302,Fidesz,Fidesz – Magyar Polgári Szövetség,Fidesz- Hungarian Civic Union
HUN,2308,JOBBIK,Jobbik Magyarországért Mozgalom,Jobbik- Movement for a Better Hungary
HUN,2309,LMP,Lehet Más a Politika,Politics Can Be Different
HUN,2310,E14,Együtt – A Korszakváltók Pártja,Together-Party for a New Era
HUN,2311,DK,Demokratikus Koalíció,Democratic Coalition
HUN,2312,PM,Párbeszéd Magyarországért,Dialogue for Hungary
HUN,2313,MLP,Magyar Liberális Párt (Liberálisok),Hungarian Liberal Party
POL,2601,SLD,Sojusz Lewicy Demokratycznej,Democratic Left Alliance
POL,2603,PO,Platforma Obywatelska,Civic Platform
POL,2605,PiS,Prawo i Sprawiedliwosc,Law and Justice Party
POL,2606,PSL,Polskie Stronnictwo Ludowe,Polish People’s Party
POL,2613,TR,Twoj Ruch (Ruch Palikota),Your Movement (Palikot's Movement)
POL,2617,Kukiz,Kukiz’15,Kukiz’15
POL,2618,Novo,Nowoczesna,Modern
POL,2619,Korwin,Wolnosc (Korwin-Mikke),Liberty (Korwin- Mikke)
POL,2620,Razem,Partia Razem,Together Party
SLO,2803,Smer,Smer–sociálna demokracia,Direction- Social Democracy
SLO,2804,SMK-MDP,Strana maďarskej komunity,Party of the Hungarian Community
SLO,2805,KDH,Kresťanskodemokratické hnutie,Christian Democratic Movement
SLO,2809,SNS,Slovenská národná strana,Slovak National Party
SLO,2812,SaS,Sloboda a Solidarita,Freedom and Solidarity
SLO,2813,Most-Híd,Most–Híd,Bridge
SLO,2814,OlaNO- NOVA,Obyčajní Ľudia a nezávislé osobnosti-NOVA,Ordinary People and Independent Personalities-NOVA
SLO,2816,Siet,Siet’,Network
SLO,2817,Kotleba LSNS,Ľudová strana – Naše Slovensko (Marian Kotleba),People’s Party- Our Slovakia
SLO,2818,Sme Rodina,Sme Rodina,We Are Family
