countryname,party,abbrev,orig_name,partyname,min_year,max_year,pervote_max_year,pervote_max,country,dummy_nir
Finland,14222,Deva,Demokraattinen Vaihtoehto,Democratic Alternative,1987,1987,1987,4.2,FIN,0
Finland,14223,VAS,Vasemmistoliitto,Left Wing Alliance,1991,2011,1995,11.2,FIN,0
Finland,14310,TPSL,Tyäväen ja Pienviljelijäin Sosialdemokraattinen Liitto,Social Democratic League of Workers and Smallholders,1958,1966,1962,4.4,FIN,0
Finland,14320,SSDP,Suomen Sosialidemokraattinen Puolue,Finnish Social Democrats,1945,2011,1995,28.3,FIN,0
Finland,14420,KE,Liberaalinen Kansanpuolue,Liberal People’s Party,1945,1991,1954,7.9,FIN,0
Finland,14430,NSP,Nuorsuomalainen Puolue,Young Finnish Party,1995,1995,1995,2.8,FIN,0
Finland,14520,SKL,Suomen Kristillisdemokraatit,Christian Democrats in Finland,1970,2011,2003,5.3,FIN,0
Finland,14620,KK,Kansallinen Kokoomus,National Coalition,1945,2011,1987,23.1,FIN,0
Finland,14810,Maal,Suomen Keskusta,Finnish Centre,1945,2011,1991,24.8,FIN,0
Finland,14820,SPP,Perussuomalaiset,True Finns,1966,2011,2011,19.1,FIN,0
Finland,14901,RKP/SFP,Ruotsalainen Kansanpuolue/Svenska Folkpartiet,Swedish People’s Party,1945,2011,1945,8.4,FIN,0
Iceland,15111,VGF,Vinstrihreyfing - Grænt Framboð,Left Green Movement,1999,2013,2009,21.7,ISL,0
Iceland,15220,So,Alþýðubandalagið,People’s Alliance,1946,1995,1978,22.9,ISL,0
Iceland,15320,A,Alþýðuflokkurinn,Social Democratic Party,1946,1995,1978,22,ISL,0
Iceland,15321,BJ,Bandalag Jafnaðarmanna,Social Democratic Federation,1983,1983,1983,7.6,ISL,0
Iceland,15322,SFVM,Samtök Frjálslyndra og Vinstri Manna,Union of Liberals and Leftists,1967,1974,1971,8.9,ISL,0
Iceland,15323,TfFf,Þjóðvaki - Hreyfing Fólksins,Awakening of the Nation,1995,1995,1995,7.2,ISL,0
Iceland,15328,S,Samfylkingin,The Alliance,1999,2013,2003,31,ISL,0
Iceland,15420,FF,Frjálslyndi Flokkurinn,Liberal Party,1999,2007,2003,7.4,ISL,0
Iceland,15430,B,Borgarahreyfingin,Citizens' Movement,2009,2009,2009,7.2,ISL,0
Iceland,15440,Bf,Björt framtið,Bright Future,2013,2013,2013,8.2,ISL,0
Iceland,15620,Sj,Sjálfstæðisflokkurinn,Independence Party,1946,2013,1974,42.7,ISL,0
Iceland,15621,Bf,Borgaraflokkurinn,Citizens’ Party,1987,1987,1987,10.9,ISL,0
Iceland,15710,Tf,þjodvarnarflokkurinn,National Preservation Party,1953,1953,1953,6,ISL,0
Iceland,15810,F,Framsóknarflokkurinn,Progressive Party,1946,2013,1963,28.2,ISL,0
Iceland,15951,Kv,Samtök um Kvennalista,Women’s Alliance,1983,1995,1987,10.1,ISL,0
Iceland,15952,Þ,Pírataflokkurinn,Pirate Party,2013,2013,2013,5.1,ISL,0
Belgium,21111,ECOLO,Écologistes Confédérés pour l’Organisation de Luttes Originales,Ecologists,1981,2010,1999,7.4,BEL,0
Belgium,21112,AGALEV,Groen!,Green!,1981,2010,1999,7,BEL,0
Belgium,21221,sp.a-SPIRIT,Socialistische Partij Anders - Spirit,Socialist Party Different - Spirit,2003,2007,2003,14.9,BEL,0
Belgium,21320,BSP/PSB,Belgische Socialistische Partij/Parti Socialiste Belge,Belgian Socialist Party,1946,1977,1954,39,BEL,0
Belgium,21321,SP,Socialistische Partij Anders,Socialist Party Different,1978,2010,1987,14.9,BEL,0
Belgium,21322,PS,Parti Socialiste,Francophone Socialist Party,1978,2010,1987,15.7,BEL,0
Belgium,21330,SPIRIT,"Sociaal, Progressief, International, Regionalistisch, Integraal-democratisch en Toekomstgericht","Social, Progressive, International, Regionalist, Integrally Democartic  and Forward-Looking",2007,2007,2007,0,BEL,0
Belgium,21420,LP/PL,Partij voor Vrijheid en Vooruitgang/Parti de la Liberté et du Progrès,Party of Liberty and Progress,1946,1968,1965,21.6,BEL,0
Belgium,21421,PVV,Open Vlaamse Liberalen en Demokraten,Open Flemish Liberals and Democrats,1971,2010,2003,15.4,BEL,0
Belgium,21422,PLP,Parti Réformateur Libéral,Liberal Reformation Party,1971,1991,1985,10.2,BEL,0
Belgium,21423,PRL-FDF,Parti Réformateur Libéral - Front Démocratique des Francophones,Liberal Reformation Party - Francophone Democratic Front,1995,1995,1995,10.3,BEL,0
Belgium,21424,,Parti Libéral,Liberal Party,1971,1978,1971,1.3,BEL,0
Belgium,21425,PRL-FDF-MCC,Parti réformateur libéral - Front Démocratique des Francophones - Mouvement des Citoyens pour la Changement,Liberal Reformation Party - Francophone Democratic Front - Citizens’ Movement for Change,1999,1999,1999,10.1,BEL,0
Belgium,21426,MR,Mouvement Réformateur,Reform Movement,2003,2010,2007,12.5,BEL,0
Belgium,21430,LDD,Lijst Dedecker,List Dedecker,2007,2010,2007,4,BEL,0
Belgium,21520,PSC/CVP,Parti Social Chrétien/Christelijke Volkspartij,Francophone Christian Social Party and Flemish Christian People’s Party,1946,1965,1950,47.7,BEL,0
Belgium,21521,CVP,Christen-Democratisch en Vlaams,Christian Democratic and Flemish,1968,2010,1977,26.2,BEL,0
Belgium,21522,PSC,Parti Social Chrétien,Christian Social Party,1968,2010,1968,11.7,BEL,0
Belgium,21911,RW,Rassemblement Wallon,Walloon Rally,1968,1981,1971,6.7,BEL,0
Belgium,21912,FDF,Front Démocratique Francophones,Francophone Democratic Front of Francophones,1965,1991,1971,4.5,BEL,0
Belgium,21913,CVV,De Volksunie,Peoples’ Union,1954,1995,1971,11.1,BEL,0
Belgium,21914,VB,Vlaams Blok,Flemish Bloc,1978,2003,2003,11.7,BEL,0
Belgium,21915,VU-ID21,De Volksunie –Integrale Democratie voor de 21ste Eeuw,People’s Union - Complete Democracy for the 21st century,1999,1999,1999,5.6,BEL,0
Belgium,21916,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,2003,2010,2010,17.4,BEL,0
Belgium,21917,VB,Vlaams Belang,Flemish Interest,2007,2010,2007,12,BEL,0
Netherlands,22110,GL,GroenLinks,Green Left,1989,2017,2017,9.1,NLD,0
Netherlands,22210,CPN,Communistische Partij van Nederland,Communist Party of the Netherlands,1946,1982,1946,10.6,NLD,0
Netherlands,22220,SP,Socialistische Partij,Socialist Party,1994,2017,2006,16.6,NLD,0
Netherlands,22230,PSP,Pacifistisch-Socialistische Partij,Pacifist Socialist Party,1986,1986,1986,1.2,NLD,0
Netherlands,22310,PPR,Politieke Partij Radicalen,Radical Political Party,1971,1986,1972,4.8,NLD,0
Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,1946,2017,1977,33.8,NLD,0
Netherlands,22321,DENK,DENK,DENK,2017,2017,2017,2.1,NLD,0
Netherlands,22330,D’66,Democraten‘66,Democrats‘66,1967,2017,1994,15.5,NLD,0
Netherlands,22420,PvdV,Volkspartij voor Vrijheid en Democratie,People’s Party for Freedom and Democracy,1946,2017,2012,26.6,NLD,0
Netherlands,22430,LN,Leefbaar Nederland,Livable Netherlands,2002,2003,2002,1.6,NLD,0
Netherlands,22521,CDA,Christen-Democratisch Appèl,Christian Democratic Appeal,1977,2017,1989,35.3,NLD,0
Netherlands,22522,KVP,Katholieke Volkspartij,Catholic People’s Party,1946,1972,1963,31.9,NLD,0
Netherlands,22523,ARP,Anti-Revolutionaire Partij,Anti-Revolutionary Party,1946,1972,1948,13.2,NLD,0
Netherlands,22524,DS‘70,Democratisch Socialisten‘70,Democratic Socialists‘70,1971,1977,1971,5.3,NLD,0
Netherlands,22525,CHU,Christelijk-Historische Unie,Christian Historical Union,1946,1972,1948,9.2,NLD,0
Netherlands,22526,CU,ChristenUnie,Christian Union,2002,2017,2006,4,NLD,0
Netherlands,22527,GPV,Gereformeerd Politiek Verbond,Reformed Political League,1982,1998,1994,1.3,NLD,0
Netherlands,22528,RPF,Reformatorische Politieke Federatie,Reformatory Political Federation,1981,1998,1998,2,NLD,0
Netherlands,22710,,Centrumpartij,Centre Party,1982,1982,1982,0.8,NLD,0
Netherlands,22711,,Centrumdemocraten,Centre Democrats,1989,1994,1994,2.5,NLD,0
Netherlands,22720,LPF,Lijst Pim Fortuyn,List Pim Fortuyn,2002,2003,2002,17,NLD,0
Netherlands,22722,PVV,Partij voor de Vrijheid,Party of Freedom,2006,2017,2010,15.4,NLD,0
Netherlands,22730,FvD,Forum voor Democratie,Forum for Democracy,2017,2017,2017,1.8,NLD,0
Netherlands,22951,PvdD,Partij voor de Dieren,Party for the Animals,2006,2017,2017,3.2,NLD,0
Netherlands,22952,SGP,Staatskundig Gereformeerde Partij,Reformed Political Party,1946,2017,1948,2.4,NLD,0
Netherlands,22953,50PLUS,50Plus,50Plus,2012,2017,2017,3.1,NLD,0
Netherlands,22954,AOV,Algemeen Ouderenverbond,General Elderly Alliance,1994,1994,1994,3.6,NLD,0
Netherlands,22955,Unie 55+,Unie 55+,Union 55+,1994,1994,1994,0.9,NLD,0
Luxembourg,23111,GLEI,"Gréng Lëscht Ekologesch Initiativ/Liste Verte, Initiative Écologiste",Green Left Ecological Initiative,1989,1989,1989,3.7,LUX,0
Luxembourg,23112,GAP,Déi Gréng Alternativ/Parti de l'Alternative Verte,Green Alternative,1984,1989,1984,4.2,LUX,0
Luxembourg,23113,GLEI-GAP,Déi Gréng/Les Verts,The Greens,1994,2013,2009,11.7,LUX,0
Luxembourg,23220,KPL/PCL,Kommunistesch Partei vu Lëtzebuerg/Parti Communiste Luxembourgeois,Communist Party of Luxembourg,1945,1989,1948,14.3,LUX,0
Luxembourg,23230,,Déi Lénk/La Gauche,The Left,2009,2013,2013,4.9,LUX,0
Luxembourg,23320,LSAP/POSL,Lëtzebuerger Sozialistesch Arbechterpartei/Parti Ouvrier Socialiste Luxembourgeois,Socialist Workers’ Party of Luxembourg,1945,2013,1948,37.8,LUX,0
Luxembourg,23420,,Groupement Démocratique,Democratic Group,1945,2013,1974,23.3,LUX,0
Luxembourg,23520,CSV/PCS,Chrëschtlech Sozial Vollekspartei/Parti Chrétien Social,Christian Social People’s Party,1945,2013,1954,45.2,LUX,0
Luxembourg,23951,ADR,Alternativ Demokratesch Reformpartei/Parti Réformiste d'Alternative Démocratique,Alternative Democatic Reform Party,1989,2013,1999,10.4,LUX,0
France,31021,FDG,Front de Gauche,Left Front,2012,2012,2012,6.9,FRA,0
France,31110,Les Verts,Europe Écologie Les Verts,Europe Ecology - The Greens,1993,2017,1993,7.8,FRA,0
France,31111,GE,Generation Écologie,Ecology Generation,1997,1997,1997,2.7,FRA,0
France,31220,PCF,Parti Communiste Français,French Communist Party,1946,2017,1946,28.6,FRA,0
France,31230,PRG,Parti Radical de Gauche,Left Radical Party,2012,2017,2012,1.7,FRA,0
France,31240,,La France insoumise,Indomitable France,2017,2017,2017,11,FRA,0
France,31320,SIFO,Parti Socialiste,Socialist Party,1946,2017,1981,36.6,FRA,0
France,31421,RRRS,Parti Radical,Radical Party,1946,2012,1956,15,FRA,0
France,31425,,La République En Marche!,Republic Onwards!,2017,2017,2017,28.2,FRA,0
France,31430,UDI,Union des démocrates et indépendants,Union of Democrats and Independents,2017,2017,2017,3,FRA,0
France,31521,MRP,Mouvement Républicain Populaire,Popular Republican Movement,1946,1962,1946,26.3,FRA,0
France,31522,CD,Groupe Progrès et Démocratie Moderne,Progress and Modern Democracy,1967,1968,1967,14.1,FRA,0
France,31523,CDP,Centre Démocratie et Progrés,"Centre, Democracy and Progress",1973,1973,1973,3.8,FRA,0
France,31529,MR,Mouvement Réformateur,Reformers’ Movement,1973,1973,1973,13.3,FRA,0
France,31621,RPF,Rassemblement pour la République - Gaullists,Rally for the Republic - Gaullists,1946,1988,1968,38,FRA,0
France,31622,PRL,Union de la Nouvelle Majorite - Conservatives/Gaullists,Union for a New Majority - Conservatives/Gaullists,1946,1988,1958,20,FRA,0
France,31623,UDCA,Union de Defense Commercants et Artisans - Poujadists,Union for the Defence of Traders and Artisans - Poujadists,1956,1956,1956,11.6,FRA,0
France,31624,UDF,Mouvement Démocrate,Democratic Mouvement,1978,2017,1978,22,FRA,0
France,31625,RPR,Rassemblement pour la République,Rally for the Republic,1993,1997,1993,20.2,FRA,0
France,31626,UMP,Union pour un Mouvement Populaire,Union for a Popular Movement,2002,2017,2007,39.5,FRA,0
France,31630,NC,Nouveau Centre,New Centre,2012,2012,2012,2.2,FRA,0
France,31631,AC,Alliance Centriste,Centrist Alliance,2012,2012,2012,0.6,FRA,0
France,31720,FN,Front National,National Front,1986,2017,1997,14.9,FRA,0
Italy,32021,RC,Rivoluzione Civile,Civil Revolution,2013,2013,2013,2.2,ITA,0
Italy,32061,PdL,Il Popolo della Libertà,People of Freedom,2008,2013,2008,37.2,ITA,0
Italy,32110,FdV,Federazione dei Verdi,Green Federation,1987,2006,1992,2.8,ITA,0
Italy,32111,,Il Girasole,The Girasole (‘Sunflower'),2001,2001,2001,2.2,ITA,0
Italy,32210,PdUP,Partito di Unità Proletaria per il Comunismo (Il Manifesto + Partito di Unità Proletaria),Proletarian Unity Party for Communism (The Manifesto + Proletarian Unity Party),1976,1983,1979,1.4,ITA,0
Italy,32211,DP,Democrazia Proletaria,Proletarian Democracy,1983,1987,1987,1.7,ITA,0
Italy,32212,PRC,Partito della Rifondazione Comunista,Communist Refoundation Party,1992,2006,1996,8.6,ITA,0
Italy,32213,PdCI,Partito dei Comunisti Italiani,Party of Italian Communists,2001,2006,2006,2.2,ITA,0
Italy,32220,PCI,Partito Democratico della Sinistra,Democratic Party of the Left,1946,2001,1976,34.4,ITA,0
Italy,32221,RnP,Rosa nel Pugno,Rose in the Fist,2006,2006,2006,2.5,ITA,0
Italy,32230,SEL,Sinistra Ecologia Libertà,Left Ecology Freedom,2013,2013,2013,3.2,ITA,0
Italy,32310,PR,Lista Pannella-Riformatori,Pannella-Riformatori List,1976,1996,1994,3.5,ITA,0
Italy,32320,PSI,Partito Socialista Italiano,Italian Socialist Party,1946,1994,1946,20.7,ITA,0
Italy,32321,RI,Rinnovamento Italiano,Italian Renewal,1996,1996,1996,4.3,ITA,0
Italy,32322,PSI-PSDI,Partito Socialista Italiano-Partito Socialista Democratico Italiano Unificati,Unified Italian Socialist Party-Italian Democratic Socialist Party,1968,1968,1968,14.5,ITA,0
Italy,32329,,L'Ulivo,Olive Tree,2001,2006,2006,30.4,ITA,0
Italy,32330,PSLI,Partito Socialista Democratico Italiano,Italian Democratic Socialist Party,1948,1992,1948,7.1,ITA,0
Italy,32410,PRI,Partito Repubblicano Italiano,Italian Republican Party,1946,1992,1983,5.1,ITA,0
Italy,32420,PLI,Partito Liberale Italiano,Italian Liberal Party,1946,1992,1963,7,ITA,0
Italy,32421,M-DL,Margherita - Democrazia è Libertà,Daisy - Democracy is Freedom,2001,2001,2001,14.5,ITA,0
Italy,32440,PD,Partito Democratico,Democratic Party,2008,2013,2008,33.2,ITA,0
Italy,32450,CD,Centro Democratico,Democratic Centre,2013,2013,2013,0.5,ITA,0
Italy,32460,SC,Scelta Civica,Civic Choice,2013,2013,2013,8.3,ITA,0
Italy,32520,DC,Partito Popolare Italiano,Italian Popular Party,1946,1996,1948,48.5,ITA,0
Italy,32521,CCD,Centro Cristiano Democratico,Christian Democratic Centre,1996,1996,1996,0,ITA,0
Italy,32522,,Biancofiore,White Flower,2001,2001,2001,3.2,ITA,0
Italy,32528,PI,Patto per l’Italia,Pact for Italy,1994,1994,1994,4.7,ITA,0
Italy,32529,AD,Alleanza Democratica,Democratic Alliance,1994,1996,1996,5.8,ITA,0
Italy,32530,UDC,Unione di Centro,Union of the Center,2006,2013,2006,6.8,ITA,0
Italy,32610,FI,Forza Italia,Go Italy,1994,2006,2001,29.4,ITA,0
Italy,32611,NPSI,Nuovo Partito Socialista Italiano,New Italian Socialist Party,2001,2006,2001,1,ITA,0
Italy,32629,,Casa delle Libertà,House of Freedom,2001,2001,2001,0,ITA,0
Italy,32630,FDI-CDN,Fratelli d'Italia,Brothers of Italy,2013,2013,2013,2,ITA,0
Italy,32640,3L,Lista Lavoro e Libertà,Labour and Freedom List,2013,2013,2013,0.2,ITA,0
Italy,32710,MSI,Movimento Sociale Italiano-Destra Nazionale,Italian Social Movement-National Right,1948,2006,1996,15.7,ITA,0
Italy,32720,LN,Lega,League,1992,2013,1996,10.1,ITA,0
Italy,32901,DE,Democrazia Europea,European Democracy,2001,2001,2001,2.4,ITA,0
Italy,32902,IdV,Lista di Pietro - Italia del Valori,List Di Pietro - Italy of Values,2001,2008,2008,4.4,ITA,0
Italy,32903,ALD,Autonomie Liberté Démocratie (Valle d’Aosta),Autonomy Liberty Democracy (Aosta Valley),2006,2006,2006,0.1,ITA,0
Italy,32904,SVP,Südtiroler Volkspartei,South Tyrolean People’s Party,2006,2013,2006,0.5,ITA,0
Italy,32906,,Vallée d'Aoste - Autonomie Prògres Fédéralisme,Autonomy Progress Federalism Aosta Valley,2013,2013,2013,0,ITA,0
Italy,32951,LR,La Rete/Movimento per la Democrazia,The Network/Movement for Democracy,1992,1994,1994,1.9,ITA,0
Italy,32952,InM,Italiani nel Mondo,Italy in the World,2006,2006,2006,0.2,ITA,0
Italy,32953,P-UDEUR,Popolari Unione Democratica per l'Europa,Popular Democratic Union for Europe,2006,2006,2006,1.4,ITA,0
Italy,32955,,L’Unione-Prodi,The Union – Prodi,2006,2006,2006,1.1,ITA,0
Italy,32956,M5S,MoVimento 5 Stelle,Five Star Movement,2013,2013,2013,25.6,ITA,0
Spain,33020,UP,Unidad Popular,Popular Unity,2015,2015,2015,3.7,ESP,0
Spain,33025,,Unidos Podemos,United We Can,2016,2016,2016,13.4,ESP,0
Spain,33091,,Geroa Bai,Future Yes,2011,2011,2011,0.2,ESP,0
Spain,33092,,Amaiur,Amaiur,2011,2011,2011,1.4,ESP,0
Spain,33093,,Compromís-Q,Commitment-Q,2011,2011,2011,0.5,ESP,0
Spain,33095,EH Bildu,Euskal Herria Bildu,Basque Country Unite,2015,2016,2015,0.9,ESP,0
Spain,33096,,En Comú Podem,In Common We Can,2015,2016,2015,3.7,ESP,0
Spain,33097,,En marea,In Tide,2015,2016,2015,1.6,ESP,0
Spain,33098,,A la valencia,Valencian style,2015,2016,2016,2.7,ESP,0
Spain,33099,DL,Democràcia i Libertat,Democracy and Freedom,2015,2015,2015,2.2,ESP,0
Spain,33210,,Podemos,We can,2015,2016,2015,12.6,ESP,0
Spain,33220,PCE,Izquierda Unida,United Left,1977,2011,1979,10.8,ESP,0
Spain,33320,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party,1977,2016,1982,48.4,ESP,0
Spain,33420,C's,Ciudadanos,Citizens,2015,2016,2015,13.9,ESP,0
Spain,33430,UCD,Unión de Centro Democrático,Union of the Democratic Centre/Centrist Bloc,1977,1982,1979,35,ESP,0
Spain,33438,PDP,Partido Demócrata Popular,Popular Democratic Party,1982,1986,1982,6,ESP,0
Spain,33439,PL,Partido Liberal,Liberal Party,1986,1986,1986,2.7,ESP,0
Spain,33440,UPyD,"Unión, Progreso y Democracia","Union, Progress and Democracy",2011,2011,2011,4.8,ESP,0
Spain,33512,CDS,Centro Democrático y Social,Centre Democrats,1982,1993,1986,9.2,ESP,0
Spain,33610,AP,Partido Popular,People's Party,1977,2016,2011,45.2,ESP,0
Spain,33611,CiU,Convergència i Unió,Convergence and Union,1979,2011,1989,5.1,ESP,0
Spain,33612,FAC,Foro Asturias,Forum Asturias,2011,2011,2011,0.4,ESP,0
Spain,33901,EE,Euskadiko Ezkerra,Basque Left,1977,1989,1986,0.5,ESP,0
Spain,33902,PNV/EAJ,Partido Nacionalista Vasco/Euzko Alderdi Jeltzalea,Basque Nationalist Party,1977,2016,1982,1.9,ESP,0
Spain,33903,EA,Eusko Alkartasuna,Basque Solidarity,1989,2008,1989,0.7,ESP,0
Spain,33904,PAR,Partido Aragonés,Aragonese Party,1977,2000,1993,0.6,ESP,0
Spain,33905,ERC,Esquerra Republicana de Catalunya,Catalan Republican Left,1977,2016,2016,2.6,ESP,0
Spain,33906,PA,Partido Andalucista,Andalusian Party,1977,2004,1979,1.8,ESP,0
Spain,33907,CC,Coalición Canaria,Canarian Coalition,1993,2016,2000,1.1,ESP,0
Spain,33908,BNG,Bloque Nacionalista Galego,Galician Nationalist Bloc,1996,2011,2000,1.3,ESP,0
Spain,33909,CHA,Chunta Aragonesista,Aragonist Council,2004,2008,2004,0.4,ESP,0
Spain,33910,UPN,Unión del Pueblo Navarro,Navarrese People's Union,2004,2008,2004,0.6,ESP,0
Spain,33911,CDC,Convergència Democràtica de Catalunya,Democratic Convergence of Catalonia,2016,2016,2016,2,ESP,0
Greece,34020,SYRIZA,Synaspismós Rizospastikís Aristerás,Coalition of the Radical Left,2004,2012,2012,26.9,GRC,0
Greece,34210,KKE,Kommounistiko Komma Elladas,Communist Party of Greece,1974,2015,1981,10.9,GRC,0
Greece,34211,SYN,Synaspismos tis Aristeras kai tis Proodou,Progressive Left Coalition,1989,2000,1989,13.1,GRC,0
Greece,34212,SYRIZA-EKN,Synaspismós Rizospastikís Aristerás - Enotiko Kinonoiko Metopo,Coalition of the Radical Left - Unionist Social Front,2015,2015,2015,36.3,GRC,0
Greece,34213,DIMAR,Dimokratiki Aristera,Democratic Left,2012,2015,2012,6.3,GRC,0
Greece,34214,LAE,Laīkí Enótita,Popular Unity,2015,2015,2015,2.9,GRC,0
Greece,34313,PASOK,Panellinio Socialistiko Kinima,Panhellenic Socialist Movement,1974,2015,1981,48.1,GRC,0
Greece,34314,DIKKI,Dimokratiko Kinoniko Kinima,Democratic Social Movement,1996,1996,1996,4.4,GRC,0
Greece,34340,,To Potami,The River,2015,2015,2015,5.9,GRC,0
Greece,34410,EK,Enosi Kentroon,Union of Centrists,2015,2015,2015,3.4,GRC,0
Greece,34510,EK,Enosi Dimokratikou Kentrou,Union of the Democratic Centre,1974,1977,1974,20.4,GRC,0
Greece,34511,ND,Nea Dimokratia,New Democracy,1974,2015,1974,54.4,GRC,0
Greece,34512,Pola,Politiki Anixi,Political Spring,1993,1996,1993,4.9,GRC,0
Greece,34610,EP,Ethniki Parataxis,National Alignment,1977,1977,1977,6.8,GRC,0
Greece,34710,LAOS,Laikós Orthódoxos Synagermós,Popular Orthodox Rally,2007,2012,2009,5.6,GRC,0
Greece,34720,XA,Chrysi Avgi,Golden Dawn,2012,2015,2012,7,GRC,0
Greece,34730,ANEL,Anexartitoi Ellines,Independent Greeks,2012,2015,2012,10.6,GRC,0
Portugal,35060,PàF,Portugal à Frente,Portugal Ahead,2015,2015,2015,40,PRT,0
Portugal,35110,PEV,Partido Ecologista ‘Os Verdes’,Ecologist Party ‘The Greens',1983,2015,2002,1.2,PRT,0
Portugal,35120,PAN,Pessoas-Animais-Natureza,People-Animals_Nature,2015,2015,2015,1.4,PRT,0
Portugal,35210,UDP,União Democrática Popular,Popular Democratic Union,1975,1987,1979,2.2,PRT,0
Portugal,35211,BE,Bloco de Esquerda,Left Bloc,1999,2015,2015,10.6,PRT,0
Portugal,35220,PCP,Partido Comunista Português,Portuguese Communist Party,1975,2015,1979,18.3,PRT,0
Portugal,35229,CDU,Coligação Democrática Unitária,Unified Democratic Coalition,1991,2005,1999,9.1,PRT,0
Portugal,35310,MDP,Movimento Democrático Português,Popular Democratic Movement,1975,1985,1975,4.4,PRT,0
Portugal,35311,PS,Partido Socialista,Socialist Party,1975,2015,2005,46.4,PRT,0
Portugal,35312,PRD,Partido Renovador Democrático,Democratic Renewal Party,1985,1987,1985,18.5,PRT,0
Portugal,35313,PPD,Partido Social Democrata,Social Democratic Party,1975,2011,1987,51.3,PRT,0
Portugal,35315,ID,Intervenção Democrática,Democratic Intervention,1987,1987,1987,0.8,PRT,0
