id,country,name_short,name,name_english,name_source,year_first,year_last,share_max,share_year,waves
51009,ARM,HHK,Hayastani Hanrapetakan Kusaksutyun,Republican Party of Armenia,AM: Republican Party of Armenia - Hayastani Hanrapetakan Kusaksutyun (HHK),1994,2014,42.3,2014,3 6
51027,ARM,BHK,Bargavach Hayastani Kusaktsutyun,Prosperous Armenia,AM: Prosperous Armenia - Bargavach Hayastani Kusaktsutyun  (BHK),2010,2014,35.2,2014,6
70002,BIH,SNSD,Stranka nezavisnih socijal-demokrata,,BA: Stranka nezavisnih socijal-demokrata (SNSD),2000,2004,5.4,2004,4
70003,BIH,SPRS,Socijalistia partija Republike Srpska,,BA: Socijalistia partija Republike Srpska (SPRS),1994,2004,2.1,2004,3 4
70004,BIH,SDS,Srpska demokratska stranka,,BA: Srpska demokratska stranka (SDS),2000,2004,7.2,2004,4
70005,BIH,SRS-RS,Srpska radikalna stranka Republike Srpske,,BA: Srpska radikalna stranka Republike Srpske (SRS RS),2000,2004,1.4,2004,4
70006,BIH,PDP,Partija Demokratskog Progresa,,BA: Partija Demokratskog Progresa (PDP),2000,2004,6.1,2004,4
70009,BIH,SDA,Stranka Demokratske Akcije,,BA: Stranka Demokratske Akcije (SDA),1994,2004,36.4,1998,3 4
70010,BIH,SB,Stranka za Bosnu i Hercegovinu,,BA: Stranka za Bosnu i Hercegovinu (SB&H),1994,2004,18.4,2004,3 4
70012,BIH,BOSS,Bosanska Stranka,,BA: Bosanska Stranka (BOSS),1994,2004,3,2004,3 4
70013,BIH,SABiH,Stranka Aena BiH,,BA: Stranka Å½ena BiH (SÅ½BiH),2000,2004,2.1,2004,4
70015,BIH,,Bosanska Socijal Demokratska Partija,,BA: Bosanska Socijal Demokratska Partija,2000,2004,26,2004,4
70016,BIH,BIH-HDZ,Hrvatska Demokratska Zajednica -- BIH,,BA: Hrvatska Demokratska Zajednica - BIH (HDZ-BiH),2000,2004,5.4,2004,4
70017,BIH,NHI,Nova Hrvatska Inicijativa,,BA: Nova Hrvatska Inicijativa (NHI),2000,2004,1.4,2004,4
70029,BIH,,,United List for Bosnia and Herzegovina,BA: United List for Bosnia and Herzegovina,1994,1998,6.4,1998,3
70030,BIH,HDZ,Hrvatska demokratska zajednica,,BA: Hrvatska demokratska zajednica (HDZ),1994,1998,20.8,1998,3
70034,BIH,LBO,Liberalna b. organizacija,,BA: Liberalna b. organizacija (LBO),1994,1998,1,1998,3
70036,BIH,,,Woman Bosnia and Hercegovina,BA: Woman Bosnia and Hercegovina,1994,1998,1,1998,3
70039,BIH,SDP,Socijal-demokratska partija,,BA: Socijal-demokratska partija (SDP),1994,1998,15.9,1998,3
76001,BRA,PMDB,,Party of Brazilian Democratic Movement,BR: PMDB - Party of Brazilian Democratic Movement,1990,2014,28.4,1994,2 5 6
76002,BRA,PT,,Workers´Party,BR: PT - Workers´Party,1990,2014,45.8,2014,2 5 6
76003,BRA,PSDB,,Brazilian Social Democracy,BR: PSDB - Brazilian Social Democracy,1990,2014,16.2,2009,2 5 6
76004,BRA,PDT,,Democratic Labor Party,BR: PDT - Democratic Labor Party,1990,2014,12.2,1994,2 5 6
76005,BRA,PPB,,,BR: PPB,2005,2009,14.3,2009,5
76006,BRA,PFL,,Liberal Front,BR: PFL - Liberal Front,1990,2009,4.6,1994,2 5
76007,BRA,PTB,,Brazilian Labor Party,BR: PTB - Brazilian Labor Party,1990,2014,2.8,1994,2 5 6
76022,BRA,PSOL,PSOL,,BR: PSOL,2005,2014,52.2,2009,5 6
76023,BRA,DEM,,Democrats,BR: DEM (Democrats),2010,2014,2,2014,6
100001,BGR,SDS,Suyuz na demokratichnite sili,Union of Democratic Forces,BG: Suyuz na demokratichnite sili (SDS) - Union of Democratic Forces,1994,2009,55,1998,3 5
100003,BGR,BSP,Balgarska Socialisticheska Partiya,Bulgarian Socialist Party,BG: Balgarska Socialisticheska Partiya (BSP) - Bulgarian Socialist Party,1994,2009,47.7,2009,3 5
100004,BGR,BEL,Bulgarska Evrolevitza,The Euro-Left,BG: Bulgarska Evrolevitza (BEL) - The Euro-Left,1994,1998,8.1,1998,3
100005,BGR,BBB,Bulgarska biznes blok,Bulgarian Business Block,BG: Bulgarska biznes blok (BBB) - Bulgarian Business Block,1994,1998,3.5,1998,3
100006,BGR,DPS,Dvijenie za Prava i Svobodi,Movement for Rights and Freedom,BG: Dvijenie za Prava i Svobodi (DPS) - Movement for Rights and Freedom,1994,2009,9,2009,3 5
100010,BGR,II,,Monarchist -- National Movement Simeon II,BG: Monarchist  - National Movement Simeon II (2006),2005,2009,2.9,2009,5
100012,BGR,BZNS,Balgarski Zemedelski Naroden Sajuz,Bulgarian Agrarian National Union,BG: Balgarski Zemedelski Naroden Sajuz (BZNS) - Bulgarian Agrarian National Union,1994,1998,1.7,1998,3
100013,BGR,VMRO-DPMNE,Vnatrena Makedonska Revol. Org. / Dem. Partija,Internal Macedonian Revolutionary Organization,BG: Vnatrena Makedonska Revol. Org./Dem. Partija (VMRO/DPMNE) Internal Macedonian Revolutionary Organization,1994,2009,1,2009,3 5
100017,BGR,,,Democrats for Strong Bulgaria,BG: Democrats for Strong Bulgaria,2005,2009,2.3,2009,5
100018,BGR,,,Attack´ Party,BG: ´Attack´ Party,2005,2009,7.8,2009,5
100019,BGR,,,Citizens for European Development of Bulgaria,BG: Citizens for European Development of Bulgaria,2005,2009,19.9,2009,5
112009,BLR,KPB,Partyja Kamunistau Belaruskaja,Communistic Party of Belarus,BY: Partyja Kamunistau Belaruskaja (KPB) - Communistic Party of Belarus,1994,1998,10.6,1998,3
112020,BLR,BPZN,Belaruskaja Partyja zancyn Nazeja,,BY: Belaruskaja Partyja zancyn Nazeja (BPZN),1994,1998,19.1,1998,3
112035,BLR,,,Belorussian People Front,BY: Belorussian People Front,1990,1994,27.4,1994,2
112036,BLR,,,Social Democrat Party,BY: Social Democrat Party,1990,1994,10.8,1994,2
112037,BLR,,,Greens or Environmentalist,BY: Greens or Environmentalist,1990,1994,16.3,1994,2
124001,CAN,,,Liberal,CA: Liberal,2000,2009,47.2,2004,4 5
124002,CAN,,,Progressive Conservative,CA: Progressive Conservative,2000,2009,36.7,2009,4 5
124003,CAN,NDP,,N.D.P.,CA: N.D.P.,2000,2009,19.8,2009,4 5
124005,CAN,,,Canadian Alliance,CA: Canadian Alliance,2000,2004,15.6,2004,4
124006,CAN,,Bloc Quebecois,,CA: Bloc Quebecois,2000,2009,11.8,2004,4 5
152001,CHL,UDI,Unión Demócrata Independiente,Union of Independent Democrats,"CL: Unión Demócrata Independiente, UDI (Union of Independent Democrats)",1990,2014,14.4,2004,2 3 4 5 6
152002,CHL,RN,Renovación Nacional,National Renovation,"CL: Renovación Nacional, RN (National Renovation)",1990,2014,14.9,2014,2 3 4 5 6
152006,CHL,PPD,Partido Por la Democracia,Party for Democracy,"CL: Partido Por la Democracia, PPD (Party for Democracy)",1994,2014,21.2,2004,3 4 5 6
152007,CHL,PS,Partido Socialista,Socialist Party,"CL: Partido Socialista, PS (Socialist Party)",1990,2014,24.6,2009,2 3 4 5 6
152010,CHL,PDC,Partido Demócrata Cristiano,Christian Democratic Party,"CL: Partido Demócrata Cristiano, PDC (Christian Democratic Party)",1990,2014,63.4,1994,2 3 5 6
158001,TWN,,,Nationalist Party,TW: Nationalist Party,1994,1998,64.9,1998,3
158002,TWN,,,Democratic Progressive Party,TW: Democratic Progressive Party,1994,1998,21.7,1998,3
158003,TWN,,,New Party,TW: New Party,1994,1998,7.9,1998,3
158011,TWN,KMT,,,TW: KMT,2005,2014,63.5,2009,5 6
158012,TWN,DPP,,,TW: DPP,2005,2014,43.6,2014,5 6
158014,TWN,TSU,,,TW: TSU,2005,2014,2.1,2009,5 6
158015,TWN,PFP,,,TW: PFP,2005,2014,3.2,2014,5 6
170001,COL,,Conservador,,CO: Conservador,1994,2014,20.7,1998,3 6
170002,COL,,,Liberal,CO: Liberal,1994,2014,53.5,1998,3 5 6
170003,COL,,Partido de la U,,CO: Partido de la U,1994,2014,38.3,2009,3 5 6
191001,HRV,ASH,Akcija Socijaldemokrata Hrvatske,,HR: Akcija Socijaldemokrata Hrvatske (ASH),1994,1998,1.5,1998,3
191004,HRV,HDZ,Hrvatska Demokratska Zajednica,,HR: Hrvatska Demokratska Zajednica (HDZ),1994,1998,33.9,1998,3
191007,HRV,HNS,Hrvatska Narodna Stranka,,HR: Hrvatska Narodna Stranka (HNS),1994,1998,1.7,1998,3
191009,HRV,HSS,Hrvatska Seljacka Stranka,,HR: Hrvatska Seljacka Stranka (HSS),1994,1998,14.4,1998,3
191010,HRV,HSLS,Hrvatska Socijalno Liberalna Stranka,,HR: Hrvatska Socijalno Liberalna Stranka (HSLS),1994,1998,25.8,1998,3
191011,HRV,HSP,Hrvatska Stranka Prava,,HR: Hrvatska Stranka Prava (HSP),1994,1998,3.4,1998,3
191014,HRV,HND,Hrvatski Nezavisni Demokrati,,HR: Hrvatski Nezavisni Demokrati (HND),1994,1998,1.1,1998,3
191016,HRV,IDS,Istarski Demokratski Sabor,,HR: Istarski Demokratski Sabor (IDS),1994,1998,4,1998,3
191021,HRV,SDP-SDPH,Socijaldemokratska Partija Hrvatske,,HR: Socijaldemokratska Partija Hrvatske (SDP/SDPH),1994,1998,11,1998,3
196001,CYP,AKEL,,Progressive Party of Working People (AKEL) -- Communist,CY: Progressive Party of Working People (AKEL) - Communist,2005,2014,18.3,2014,5 6
196002,CYP,DISY,,Democratic Rally (DISY) -- Liberal conservatives,CY: Democratic Rally (DISY) - Liberal conservatives,2005,2014,20,2009,5 6
196003,CYP,DIKO,,Democratic party (DIKO) -- Centrist,CY: Democratic party (DIKO) - Centrist,2005,2014,12.6,2009,5 6
196004,CYP,KISOS-EDEK,,Movement for Social Democracy (KISOS/EDEK) -- Social Democrats,CY: Movement for Social Democracy (KISOS/EDEK) - Social Democrats,2005,2014,3.7,2009,5 6
196009,CYP,UBP,,National Unity Party (UBP): Center right,CY: National Unity Party (UBP): Center right,2005,2014,23.7,2014,5 6
196011,CYP,CTP-BG,,Republican Turkish Party (CTP/BG) -- Communist,CY: Republican Turkish Party (CTP/BG) - Communist,2005,2014,19.2,2009,5 6
196019,CYP,,,Ecological and Environmental Movement,CY - Ecological and Environmental Movement,2010,2014,1.1,2014,6
203001,CZE,CSSD,Ceskoslovenská strana sociální demokracie,Czechoslovak Party of Social Democracy,CZ: Ceskoslovenská strana sociální demokracie (CSSD) - Czechoslovak Party of Social Democracy,1994,1998,26,1998,3
203003,CZE,KDU-CSL,Křesťanská a demokratická unie -- Ceskoslovenská lidová strana,Christian Democratic Union-Czechoslovak People's Party,CZ: Krestâ??anská a demokratická unie-Ceskoslovenská lidová strana (KDU-CSL) Christian Democratic Union-Czechoslovak Peopleâ??s Party,1994,1998,14,1998,3
203006,CZE,KSCM,Komunistická strana Cech a Moravy,Communist Party of Bohemia and Moravia,CZ: Komunistická strana Cech a Moravy (KSCM) - Communist Party of Bohemia and Moravia,1994,1998,10.8,1998,3
203008,CZE,NSS,Nezavisli,Independents,CZ: Nezavisli (N) - Independents,1994,1998,6.3,1998,3
203009,CZE,ODS,Obcanska Demokraticka Strana,Civic Democratic Party,CZ: Obcanska Demokraticka Strana (ODS) - Civic Democratic Party,1994,1998,20.7,1998,3
203011,CZE,SPR-RSE,Sdruzeni pro Republiku -- Rep. Strana Ceskoslovenska,Rally for the Republic -- Republican Party of Czechoslovakia,CZ: Sdruzeni pro Republiku - Rep. Strana Ceskoslovenska (SPR-RSE) - Rally for the Republic-Republican Party of Czechoslovakia,1994,1998,1.9,1998,3
203012,CZE,SZ,Strana zelenych,Green Party,CZ: Strana zelenych (SZ) - Green Party,1994,1998,2.6,1998,3
203013,CZE,US,Unie Svobody,Freedom Union,CZ: Unie Svobody (US) - Freedom Union,1994,1998,8.5,1998,3
203022,CZE,ODA,Obcanska demokraticka alliance,Civic Democratic Alliance,CZ: Obcanska demokraticka alliance (ODA) - Civic Democratic Alliance,1994,1998,1.5,1998,3
203036,CZE,,,Civic forum,CZ: Civic forum,1990,1994,32.1,1994,2
203038,CZE,,,Christian Democratic Party (Czech. Republ.),CZ: Christian Democratic Party (Czech. Republ.),1990,1994,5.5,1994,2
203041,CZE,,,Association for Moravia and Silesia,CZ: Association for Moravia and Silesia,1990,1994,14.6,1994,2
203045,CZE,,,Social Democracy,CZ: Social Democracy,1990,1994,9.3,1994,2
203046,CZE,,,Greens,CZ: Greens,1990,1994,11,1994,2
203047,CZE,,,Association of Farmers & Countryside,CZ: Association of Farmers & Countryside,1990,1994,8.6,1994,2
214001,DOM,PLD,Partido de Liberación Dominicana,,DO: Partido de Liberación Dominicana (PLD),1994,1998,49.1,1998,3
214002,DOM,PRD,Partido Revolucionario Dominicano,,DO: Partido Revolucionario Dominicano (PRD),1994,1998,39.2,1998,3
214003,DOM,PRSC,Partido Reformista Social Cristiano,,DO: Partido Reformista Social Cristiano (PRSC),1994,1998,10.2,1998,3
222001,SLV,ARENA,,,SV: ARENA,1994,1998,55.4,1998,3
222002,SLV,FMLN,,,SV: FMLN,1994,1998,26.8,1998,3
222003,SLV,PDC,,,SV: PDC,1994,1998,7.1,1998,3
222005,SLV,PCN,,,SV: PCN,1994,1998,3.2,1998,3
231004,ETH,,,All-Amhara People´s Organization,ET: All-Amhara People´s Organization,2005,2009,5.2,2009,5
231008,ETH,,,Coalition for Unity and Democracy,ET: Coalition for Unity and Democracy,2005,2009,49.2,2009,5
231010,ETH,,,Ethiopian Democratic Unity Party,ET: Ethiopian Democratic Unity Party,2005,2009,5.9,2009,5
231011,ETH,,,Ethiopian People´s Revolutionary Democratic Front,ET: Ethiopian People´s Revolutionary Democratic Front,2005,2009,12.6,2009,5
231015,ETH,,,Oromo Federalist Democratic Movement,ET: Oromo Federalist Democratic Movement,2005,2009,5.7,2009,5
231016,ETH,,,Oromo National Congress,ET: Oromo National Congress,2005,2009,5.4,2009,5
231017,ETH,,,Oromo People´s Democratic Organization,ET: Oromo People´s Democratic Organization,2005,2009,2,2009,5
231021,ETH,,,Southern Ethiopia People´s Democratic Coalition,ET: Southern Ethiopia People´s Democratic Coalition,2005,2009,4.8,2009,5
231023,ETH,,,Tigrayan People´s Liberation Front,ET: Tigrayan People´s Liberation Front,2005,2009,2.8,2009,5
231024,ETH,,,United Ethiopian Democratic Forces,ET: United Ethiopian Democratic Forces,2005,2009,2.1,2009,5
233002,EST,EK,Eesti Keskerakond,Estonian Centre Party,EE: Eesti Keskerakond (EK) - Estonian Centre Party,1994,2014,34.9,2014,3 6
233008,EST,RE,Eesti Reformierakond,Estonian Reform Party,EE: Eesti Reformierakond (RE) - Estonian Reform Party,1994,2014,20.5,2014,3 6
233014,EST,VEE,Vene Erakond Eestis,Russian Party in Estonia,EE: Vene Erakond Eestis (VEE) - Russian Party in Estonia,1994,1998,15.1,1998,3
233030,EST,,,Pro Patria and Res Publica Union,EE: Pro Patria and Res Publica Union,2010,2014,14.7,2014,6
233031,EST,,,Estonian Social Democratic Party,EE: Estonian Social Democratic Party,2010,2014,21.8,2014,6
246001,FIN,SDP,,Social Democratic Party of Finland,FI: Social Democratic Party of Finland - SDP,1994,2009,29.2,2009,3 5
246002,FIN,KESK,,Centre Party of Finland,"FI: Centre Party of Finland (centre, big, conservative) - KESK",1994,2009,25.6,2009,3 5
246003,FIN,KOK,,National Coalition Party,"FI: National Coalition Party (right, big, conservative) - KOK",1994,2009,18.3,2009,3 5
246004,FIN,VAS,,Left Alliance,"FI: Left Alliance (left, medium, progressive) - VAS",1994,2009,7.2,2009,3 5
246005,FIN,RKP,,Swedish Peoples Party in Finland,FI: Swedish Peoples Party in Finland - RKP,1994,2009,2.5,1998,3 5
246006,FIN,VIHR,,Green League,"FI: Green League (centre, medium, progressive) - VIHR",1994,2009,12,1998,3 5
246008,FIN,PS,,True Finns,"FI: True Finns (right, small, conservative) - PS",1994,2009,2.8,2009,3 5
246014,FIN,KD,,Christian Democrats,FI: Christian Democrats - KD,2005,2009,4.2,2009,5
246021,FIN,NUSU,Nuorsuomalainen Puolue,,FI: NUSU (Nuorsuomalainen Puolue),1994,1998,4.7,1998,3
246024,FIN,SKL,Suomen Kirstillinen Liitto,,FI: SKL (Suomen Kirstillinen Liitto),1994,1998,2.7,1998,3
246025,FIN,,Jokin muu ryhmittymä,,FI: Jokin muu ryhmittymä,1994,1998,6.6,1998,3
268003,GEO,,Ertiani Komunisturi Partia,,GE: Ertiani Komunisturi Partia,1994,1998,10.1,1998,3
268005,GEO,EDP,Erovnul-Demokratuli Partia,,GE: Erovnul-Demokratuli Partia (EDP),1994,1998,24.3,1998,3
268013,GEO,,Saqartvelos Moqalaqeta Kavashiri,,GE: Saqartvelos Moqalaqeta Kavashiri,1994,1998,26.3,1998,3
268101,GEO,,,United National Movement,GE: United National Movement,2005,2014,60.4,2009,5 6
268108,GEO,,,Labour Party,GE: Labour Party,2005,2014,12,2009,5 6
276001,DEU,CDU-CSU,Christlich-Demokratische Union/ Christlich-Soziale Union,Christian Democrats,DE: Christlich-Demokratische Union/ Christlich-Soziale Union (CDU/CSU) - Christian Democrats,1994,2014,42,2014,3 5 6
276002,DEU,SPD,Sozialdemokratische Partei Deutschlands,Social Democrats,DE: Sozialdemokratische Partei Deutschlands (SPD) - Social Democrats,1994,2014,37.5,1998,3 5 6
276003,DEU,FDP,Freie Demokratische Partei Deutschlands,Free Democratic Party,DE: Freie Demokratische Partei Deutschlands (FDP) - Free Democratic Party,1994,2014,6.2,2009,3 5 6
276004,DEU,,Die Gruenen / Buendnis 90,,DE: Die Gruenen (/Buendnis 90),2005,2014,10.1,2014,5 6
276005,DEU,PDS,Partei des demokratischen Sozialismus,,DE: Partei des demokratischen Sozialismus (PDS),1994,2014,13.4,2009,3 5 6
276011,DEU,REP,Die Republikaner,,DE: Die Republikaner (REP),1994,1998,1.5,1998,3
276030,DEU,,Buendnis 90/Die Gruenen,Alliance 90/The Greens,DE: Alliance 90/The Greens (Buendnis 90/Die Gruenen),1994,1998,20,1998,3
276033,DEU,AfD,Alternative fuer Deutschland,,DE: AfD/Alternative fuer Deutschland,2010,2014,2.2,2014,6
288001,GHA,AA,,Action Alliance,GH: Action Alliance (AA),2005,2009,30.4,2009,5
288002,GHA,ACN,,Action Congress  of Nigeria,GH: Action Congress  of Nigeria (ACN),2005,2009,63.4,2009,5
288026,GHA,NDC,,National Democratic Congress,GH: National Democratic Congress (NDC),2010,2014,38.5,2014,6
288027,GHA,NPP,,New Patriotic Party,GH: New Patriotic Party (NPP),2010,2014,55.4,2014,6
288028,GHA,CPP,,Convention People's Party,GH: Convention People's Party (CPP),2010,2014,5.1,2014,6
320001,GTM,GANA,GANA,,GT: GANA,2005,2009,62.3,2009,5
320002,GTM,UNE,UNE,,GT: UNE,2005,2009,23.6,2009,5
320003,GTM,PAN,PAN,,GT: PAN,2005,2009,8.5,2009,5
320004,GTM,FRG,FRG,,GT: FRG,2005,2009,5.6,2009,5
344003,HKG,,,Civic Party,HK: Civic Party,2010,2014,8.6,2014,6
344004,HKG,DAB,DAB,,HK: DAB,2010,2014,19.5,2014,6
344005,HKG,,,Democratic,HK: Democratic,2010,2014,19.7,2014,6
344009,HKG,FTU,FTU,,HK: FTU,2010,2014,12.6,2014,6
344012,HKG,,,Labour,HK: Labour,2010,2014,1.7,2014,6
344019,HKG,,,People Power,HK: People Power,2010,2014,6.1,2014,6
348001,HUN,MDF,Magyar Demokrata Forum,Hungarian Democratic Forum,HU: Magyar Demokrata Forum (MDF) - Hungarian Democratic Forum,1994,2009,2.7,2009,3 5
348002,HUN,SZDSZ,Aliance of Free Democrats,Szabad Demokratak Szovetsege,HU: Szabad Demokratak Szovetsege (SZDSZ) - Aliance of Free Democrats,1994,2009,6.9,1998,3 5
348003,HUN,FKGP,Fuggetlen Kisgazda Part,Independent Smallholders Party,HU: Fuggetlen Kisgazda Part (FKGP) - Independent Smallholders Party,1994,1998,5.7,1998,3
348004,HUN,FIDESZ,Magyar Polgari Part,Federation of Young Democrats,HU: FIDESZ Magyar Polgari Part - Federation of Young Democrats,2005,2009,57.1,2009,5
348005,HUN,KDNP,Kereszteny Demokrata Neppart,Christian Democratic Peoples Party,HU: Kereszteny Demokrata Neppart (KDNP) - Christian Democratic Peoples Party,1994,2009,1.2,2009,3 5
348006,HUN,MSZP,Magyar Szocialista Part,Hungarian Socialist Party (ex-Communists),HU: Magyar Szocialista Part (MSZP) - Hungarian Socialist Party (ex Communists),1994,2009,32.6,1998,3 5
356001,IND,,,Indian Congress (Socialist),IN: Indian Congress (Socialist),1990,2009,39.6,1998,2 3 4 5
356003,IND,RJD,Rashtriya Janata Dal,National People's Party,IN: Rashtriya Janata Dal (RJD) - National People's Party),1994,2014,7.8,1998,3 4 5 6
356016,IND,JDS,Janata Dal (Secular),,IN: Janata Dal (Secular) - (JDS),1990,2014,25,1994,2 4 5 6
356017,IND,SP,,Samajwadi Party,IN: Samajwadi Party (SP),1994,2014,5.2,2004,3 4 5 6
356067,IND,INC,,Indian National Congress,IN: Indian National Congress (INC),1990,2014,33.8,2014,2 6
356068,IND,BJP,,Bhartiya Janata Party,IN: Bhartiya Janata Party  (BJP),1990,2014,32.3,2014,2 3 4 5 6
356069,IND,,,Communist Party of India,IN: Communist Party of India,1990,1994,6,1994,2
356070,IND,,,Communist Party of India (Marxist),IN: Communist Party of India (Marxist),1990,1994,5.6,1994,2
356071,IND,,Telugu Desam,Land of Telegu,IN: Telugu Desam (Land of Telegu),1990,1998,2.9,1994,2 3
356101,IND,BSP,,Bahujan Samaj Party,IN: Bahujan Samaj Party (BSP),2010,2014,1.4,2014,6
360001,IDN,PD,,Democratic Party,ID: Democratic Party (PD ),2000,2009,31.4,2004,4 5
360002,IDN,Golkar,,Golkar Party -- Party of the Functional Groups,ID: Golkar Party - Party of the Functional Groups (Golkar),2000,2004,31.8,2004,4
360003,IDN,PPP,,United Development Party,ID: United Development Party (PPP),2000,2009,14,2004,4 5
360004,IDN,PKB,,Emerging Nation Party,ID: Emerging Nation Party (PKB),2000,2004,12.1,2004,4
360005,IDN,PAN,,National Responsibilities Party,ID: National Responsibilities Party (PAN),2000,2004,10.7,2004,4
360006,IDN,,,Indonesian  Democracy Party of Struggle,ID: Indonesian  Democracy Party of Struggle,2005,2009,18.8,2009,5
360007,IDN,PDI,,Indonesian Democratic Party,ID: Indonesian Democratic Party (PDI ),2005,2009,15.5,2009,5
360008,IDN,,,Welfare and Justice Party,ID: Welfare and Justice Party,2005,2009,20.2,2009,5
360009,IDN,,,Nation Awakening Party,ID: Nation Awakening Party,2005,2009,14.5,2009,5
360010,IDN,,,National Mandate Party,ID: National Mandate Party,2005,2009,8.4,2009,5
364011,IRN,,,Fundamentalists,IR: Fundamentalists,2005,2009,26.3,2009,5
364012,IRN,,,Reformists,IR: Reformists,2005,2009,42.6,2009,5
368001,IRQ,,,Unified Iraqi Coalition (Islamic Da´awa Party of Dr. Ibra),IQ: Unified Iraqi Coalition (Islamic Da´awa Party of Dr. Ibra,2000,2009,55.4,2009,4 5
368003,IRQ,KDP,,Kurdistan Democratic Party,IQ: KDP Kurdistan Democratic Party,2000,2014,16,2009,4 5 6
368004,IRQ,PUK,,Patriotic Union of Kurdistan,IQ: PUK Patriotic Union of Kurdistan,2000,2014,16.9,2004,4 6
368005,IRQ,IIP,,Iraqi Islamic Party,IQ: IIP Iraqi Islamic Party,2000,2014,16.4,2009,4 5 6
368009,IRQ,OmaS,,Office of the Martyr,IQ: OmaS Office of the Martyr,2000,2004,11.6,2004,4
368016,IRQ,,,Alda'wa party,IQ: Alda'wa party,2010,2014,31.6,2014,6
368017,IRQ,,,Iraqi supreme Islamic council,IQ: Iraqi supreme Islamic council,2010,2014,13.5,2014,6
368018,IRQ,,Alahrar,,IQ: Alahrar,2010,2014,14,2014,6
