id,country,short,name,parlgov
3198,PRY,PEN,Partido Encuentro Nacional,394
3218,PRY,PLRA,Partido Liberal Radical Auténtico,459
3238,PRY,PPS,Partido País Solidario,1514
3258,PRY,PUNACE,Partido Unión de Ciudadanos Éticos,1498
3298,SLV,ARENA,Partido Alianza Republicana Nacionalista,33
3320,SLV,CD,Cambio Democrático,1373
3342,SLV,FMLN,Partido Frente Farabundo Martí para la Liberación Nacional,803
3364,SLV,Other,Other,728
3365,SLV,PCN,Partido de Conciliación Nacional,518
3387,SLV,PDC,Partido Demócrata Cristiano,848
3431,URY,FA-EP-NM,Frente Amplio,881
3449,URY,Other,Other,36
3450,URY,PC,Partido Colorado,960
3468,URY,PI,Partido Independiente,338
3486,URY,PN,Partido Nacional,416
3522,URY,UC,Partido Unión Cívica,1249
3540,VEN,AD,Acción Democrática,1403
3564,VEN,COPEI,Comité de Organización Política Electoral del Pueblo Independiente,477
3588,VEN,MAS,Moviemiento Al Socialismo,1417
3612,VEN,MVR,Movimiento Quinta República,1405
3636,VEN,Other,Other,866
3637,VEN,PCV,Partido Comunista Venezolano,642
3661,VEN,PJ,Primero Justicia,537
3685,VEN,PPT,Patria Para Todos,216
3709,VEN,Podemos,Podemos,1391
3757,VEN,UNT,Un Nuevo Tiempo,908
