country,name_short,name,year_first,year_last,share,share_year,party_id
ARG,, Partido Independencia,1995,1995,0.1,1995,32036
ARG,PJ, Partido Justicialista ,2009,2010,36.7,2010,102
ARG,PJ, Partido Justicialista ,1995,2013,100,1997,32002
ARG,Patricia Bullrich, Partido Nueva Mayoría ,1998,1998,1.2,1998,32032
ARG,PO, Partido Obrero ,2009,2010,2.3,2010,113
ARG,PO, Partido Obrero ,1998,2011,8.7,2002,32013
ARG,PRO, Partido para una República con Oportunidades ,2007,2007,3.6,2007,32018
ARG,, Partido Peronismo Federal,1995,2018,22.4,2016,32022
ARG,, Partido Proyecto Sur,1995,2018,16.2,2018,32021
ARG,PS, Partido Socialista ,2009,2010,10.9,2009,108
ARG,PS, Partido Socialista ,1998,2018,7.1,2011,32008
ARG,PRO, Propuesta Republicana ,2009,2010,13.7,2009,106
ARG,PRO, Propuesta Republicana ,2011,2018,36.7,2016,32006
ARG,RECREAR, Recrear Argentina ,2005,2005,1.5,2005,32019
ARG,UCR, Unión Cívica Radical ,2009,2010,19.4,2009,105
ARG,UCR, Unión Cívica Radical ,1995,2018,36.3,1996,32005
ARG,UCD, Unión del Centro Democrático ,1995,1996,0.4,1996,32034
ARG,Alianza UCR/PRO/CC,Cambiemos ,2017,2018,32.2,2017,32044
BOL,ADN, Acción Democratica Nacionalista ,1996,2018,86.1,2000,68019
BOL,AAI, Alianza Andrés Ibáñez ,2010,2010,4.5,2010,212
BOL,AAI, Alianza Andrés Ibáñez ,2006,2006,0.2,2006,68012
BOL,AS, Alianza Social ,2009,2010,1.2,2010,208
BOL,AS, Alianza Social ,2007,2018,1,2015,68008
BOL,APB, Autonomías Para Bolivia ,2006,2018,1,2006,68007
BOL,CC, Camino al Cambio ,2009,2010,1.2,2009,210
BOL,CC, Camino al Cambio ,2011,2018,1.4,2015,68010
BOL,, Carlos Mesa G,2005,2005,0.2,2005,68030
BOL,CN, Concertación Nacional ,2006,2018,1,2015,68006
BOL,CONDEPA, Conciencia de Patria ,1996,2003,10.4,1996,68016
BOL,, Eje Pachakuti,1997,1997,0.8,1997,68038
BOL,FSB, Falange Socialista de Bolivia ,2001,2003,1.9,2001,68017
BOL,FRI, Frente Revolucionario de Izquierda ,2000,2000,5.9,2000,68022
BOL,IU, Izquierda Unida ,1996,2004,43.4,2004,68023
BOL,, Jorge Tuto Quiroga,2005,2005,9.2,2005,68031
BOL,KND, Katarismo Nacional Democrático ,2000,2000,2.1,2000,68036
BOL,, Libertad y Justicia,2002,2003,1.8,2002,68028
BOL,MAS, Movimiento al Socialismo ,2009,2010,79.1,2010,201
BOL,MAS, Movimiento al Socialismo ,2002,2018,88,2016,68001
BOL,MBL, Movimiento Bolivia Libre ,1996,2006,9.1,1996,68013
BOL,MCC, Movimiento Ciudadano para el Cambio ,2002,2002,0.9,2002,68026
BOL,MIR, Movimiento de Izquierda Revolucionaria ,2009,2010,0.3,2010,205
BOL,MIR, Movimiento de Izquierda Revolucionaria ,1996,2018,26.8,2001,68005
BOL,MIP, Movimiento Indígena Pachakuti ,2002,2005,33.4,2002,68027
BOL,MNR, Movimiento Nacionalista Revolucionario ,2009,2010,3.9,2010,204
BOL,MNR, Movimiento Nacionalista Revolucionario ,1996,2018,44.5,2001,68004
BOL,MOP, Movimiento Originario Popular ,2008,2017,0.2,2008,68011
BOL,MRTK, Movimiento Revolucionario Tupac Katari ,2001,2004,1.3,2004,68018
BOL,MSM, Movimiento sin Miedo ,2010,2010,3.6,2010,209
BOL,MSM, Movimiento sin Miedo ,2003,2015,46.1,2004,68009
BOL,NFR, Nueva Fuerza Republicana ,1998,2005,21,2002,68025
BOL,PC, Partido Comunista Boliviano ,2004,2004,6.6,2004,68034
BOL,PDB, Partido Demócrata Boliviano ,1997,1997,2.9,1997,68037
BOL,PDC, Partido Demócrata Cristiano ,2004,2004,1.3,2004,68020
BOL,PS, Partido Socialista ,2001,2005,33.4,2002,68024
BOL,, Partido Verde de Bolivia,2015,2018,1.9,2018,68039
BOL,PAN, Poder autonomico nacional ,2018,2018,0.4,2018,68044
BOL,PODEMOS, Poder Democrático Social ,2009,2010,10.2,2009,202
BOL,PODEMOS, Poder Democrático Social ,2006,2018,15.7,2006,68002
BOL,, Primero el Beni,2015,2018,0.6,2018,68041
BOL,, René Joaquino,2005,2005,4.8,2005,68032
BOL,SL, Soberanía y Libertad ,2017,2018,2.1,2017,68042
BOL,TC, Todos por Cochabamba ,2017,2018,0.2,2017,68043
BOL,, UN ,2005,2005,14.2,2005,68029
BOL,UCS, Unidad Civica Solidaridad ,1996,2005,17.5,1996,68021
BOL,UD, Unidad Demócrata ,2015,2018,7.8,2015,68040
BOL,UN, Unidad Nacional ,2009,2010,19.8,2009,203
BOL,UN, Unidad Nacional ,2006,2018,6.9,2018,68003
BOL,VS, Vanguardia Socialista de Bolivia ,1997,2002,30.9,1997,68035
BOL,, Verdes,2013,2018,4.5,2013,68033
BRA,DEM, Democratas ,2009,2010,2.1,2009,312
BRA,DEM, Democratas ,2007,2016,4.7,2007,76012
BRA,, Democratas ,2017,2018,0.4,2017,76034
BRA,PC do B, Partido Comunista do Brasil ,2009,2010,1.4,2009,304
BRA,PC do B, Partido Comunista do Brasil ,1995,2018,18.6,2004,76004
BRA,PFL, Partido Da Frente Liberal ,1995,2006,11.3,1995,76020
BRA,PR, Partido da República ,2009,2009,0.2,2009,306
BRA,PR, Partido da República ,2007,2016,0.9,2013,76006
BRA,PSDB, Partido da Social Democracia Brasileira ,2009,2010,16.6,2010,311
BRA,PSDB, Partido da Social Democracia Brasileira ,1995,2017,32.9,2015,76011
BRA,PRONA, Partido de la Reconstrucción del Orden Nacional ,1998,2004,0.7,2004,76025
BRA,PRN, Partido de la Reconstrucción Nacional ,2004,2004,0.9,2004,76030
BRA,, Partido de Reedificação da Ordem Nacional,2005,2005,0.4,2005,76022
BRA,PDT, Partido Democrático Trabalhista ,2009,2010,2,2009,308
BRA,PDT, Partido Democrático Trabalhista ,1995,2018,43.2,2004,76008
BRA,PMDB, Partido do Movimento Democrático Brasileiro ,2009,2010,13.4,2009,303
BRA,PMDB, Partido do Movimento Democrático Brasileiro ,1995,2018,34.6,1995,76003
BRA,PT, Partido dos Trabalhadores ,2009,2010,63.9,2010,301
BRA,PT, Partido dos Trabalhadores ,1995,2018,72.5,2018,76001
BRA,PHS, Partido Humanista da Solidariedade ,2004,2013,1.8,2004,76029
BRA,PL, Partido Liberal ,1995,2006,41.6,1997,76021
BRA,, Partido Novo ,2017,2018,0.9,2018,76035
BRA,PPS, Partido Popular Socialista ,2009,2009,0.5,2009,313
BRA,PPS, Partido Popular Socialista ,1995,2016,1.6,2001,76013
BRA,PPB, Partido Progressista Brasileiro ,1996,2001,2,1997,76024
BRA,PPR, Partido Progressista Renovador ,1995,1995,2.3,1995,76031
BRA,PP, Partido Progressita ,2009,2010,0.7,2009,310
BRA,PP, Partido Progressita ,1996,2017,6,1997,76010
BRA,PRB, Partido Republicano Brasileiro ,2009,2009,0.2,2009,302
BRA,PRB, Partido Republicano Brasileiro ,2008,2017,1.3,2016,76002
BRA,PRP, Partido Republicano Progresista ,2008,2008,0.2,2008,76018
BRA,PSC, Partido Social Cristiano ,1998,2018,4,2017,76026
BRA,PSDC, Partido Social Dem,2008,2011,0.4,2011,76015
BRA,PSD, Partido Social Democratico ,1995,2018,8.2,2018,76028
BRA,PSL, Partido Social Liberal ,2004,2018,5.9,2004,76019
BRA,, Partido Socialismo e Liberdade,2018,2018,2.1,2018,76036
BRA,PSOL, Partido Socialismo e Liberdade ,2009,2010,1.4,2009,314
BRA,PSOL, Partido Socialismo e Liberdade ,2006,2017,4,2017,76014
BRA,PSB, Partido Socialista Brasileiro ,2009,2010,0.9,2009,305
BRA,PSB, Partido Socialista Brasileiro ,1995,2018,4.3,2016,76005
BRA,PSTU, Partido Socialista de los Trabajadores Unificado ,1998,2015,0.5,2015,76023
BRA,PSTU, Partido Socialista dos Trabalhadores Unificado ,2004,2011,0.9,2004,76027
BRA,PTB, Partido Trabalhista Brasileiro ,2009,2010,0.7,2009,307
BRA,PTB, Partido Trabalhista Brasileiro ,1995,2018,11.6,1996,76007
BRA,PTC, Partido Trabalhista Cristão ,2008,2008,0.3,2008,76016
BRA,PT do B, Partido Trabalhista do Brasil ,2008,2008,0.3,2008,76017
BRA,PV, Partido Verde ,2009,2010,6.3,2010,309
BRA,PV, Partido Verde ,1998,2018,6.2,2016,76009
BRA,, Podemos,2018,2018,0.3,2018,76037
BRA,REDE, Rede Sustentabilidade ,2016,2018,2.3,2016,76032
BRA,, Solidariedade,2016,2018,1,2016,76033
CHL,, A todos los partidos,2016,2016,0.4,2016,152999
CHL,, Alianza por Chile,2010,2010,3.8,2010,613
CHL,, Alianza por Chile,2004,2005,7.8,2004,152013
CHL,, Chile Vamos,2018,2018,8.2,2018,152036
CHL,, Ciudadanos,2017,2017,0.4,2017,152032
CHL,, Concertación,2003,2004,9.1,2004,152021
CHL,, Concertación de Partidos por la Democracia,2010,2010,1.9,2010,612
CHL,, Concertación de Partidos por la Democracia,2005,2005,5.7,2005,152012
CHL,, Evopoli,2017,2017,2.2,2017,152034
CHL,, Frente Amplio,2018,2018,10.2,2018,152037
CHL,, Independiente,1995,1995,7.1,1995,152024
CHL,IA, Izquierda Autónoma ,2016,2016,1.3,2016,152029
CHL,, Joaquín Lavín,2005,2005,1.1,2005,152016
CHL,, Juntos Podemos,2010,2010,1.2,2010,615
CHL,, Juntos Podemos,2005,2005,1.3,2005,152015
CHL,, Michelle Bachelet,2005,2005,3.3,2005,152018
CHL,, Nueva Izquierda,2016,2016,1.3,2016,152030
CHL,PC, Partido Comunista ,2009,2010,5.1,2009,607
CHL,PC, Partido Comunista ,1995,2018,8.7,2015,152007
CHL,, Partido Democracia Regional Patagónica,2016,2016,0.4,2016,152028
CHL,PDC, Partido Demócrata Cristiano ,2009,2010,27.9,2009,601
CHL,PDC, Partido Demócrata Cristiano ,1995,2018,40.9,1995,152001
CHL,, Partido Ecologista Verde,2017,2017,0.4,2017,152031
CHL,Evopoli, Partido Evolucion Politica ,2016,2018,1.7,2018,152026
CHL,PH, Partido Humanista ,2009,2010,0.4,2009,608
CHL,PH, Partido Humanista ,2006,2016,18.1,2016,152008
CHL,PHV, Partido Humanista Verde ,2010,2010,6.1,2010,611
CHL,PHV, Partido Humanista Verde ,1995,2005,40.8,1996,152011
CHL,, Partido Liberal,2017,2018,0.9,2017,152033
CHL,, Partido País,2017,2017,0.4,2017,152035
CHL,PPD, Partido por la Democracia ,2009,2010,13.2,2010,602
CHL,PPD, Partido por la Democracia ,1995,2018,34,1998,152002
CHL,MEO, Partido Progresista ,2011,2015,4.1,2015,152020
CHL,PRO, Partido Progresista ,2016,2016,1.3,2016,152025
CHL,PRSD, Partido Radical Social Democrático ,2009,2010,0.7,2009,604
CHL,PRSD, Partido Radical Social Democrático ,1995,2017,25.1,2017,152004
CHL,PRI, Partido Regionalista de los Independiente ,2009,2009,1.5,2009,609
CHL,PRI, Partido Regionalista de los Independiente ,2011,2016,1.5,2011,152009
CHL,PS, Partido Socialista ,2009,2010,15.9,2009,603
CHL,PS, Partido Socialista ,1995,2018,29.8,2013,152003
CHL,RN, Renovacion Nacional ,1995,2018,30.5,2018,152006
CHL,RN, Renovación Nacional ,2009,2010,25,2009,606
CHL,RD, Revolución Democrática ,2016,2018,1.3,2016,152027
CHL,, Sebastián Piñera,2005,2005,0.7,2005,152017
CHL,, Tomás Hirsch,2005,2005,0.3,2005,152019
CHL,UCCP, Unión de Centro Centro Progresista ,2010,2010,0.3,2010,610
CHL,UCCP, Unión de Centro Centro Progresista ,1995,2003,11.3,1998,152010
CHL,UDI, Unión Demócrata Independiente ,2009,2010,12.3,2010,605
CHL,UDI, Unión Demócrata Independiente ,1995,2018,29.4,2003,152005
CHL,, Vota por personas,2010,2010,3.8,2010,614
CHL,, Vota por personas,2005,2005,4.9,2005,152014
COL,,  Movimiento Alternativo Indigena y Social MAIS,2017,2018,0.8,2017,170041
COL,, Alas Equipo Colombia,2010,2010,0.1,2010,406
COL,, Alas Equipo Colombia,2006,2008,0.5,2006,170006
COL,, Alianza Democrática M,1996,1996,0.3,1996,170029
COL,ASI, Alianza Social Independiente ,2016,2018,0.6,2016,170039
COL,, Alianza Social Indígena,2010,2010,0.1,2010,407
COL,PVC, Alianza Verde ,2016,2018,12.5,2017,170038
COL,, Centro Democratico,2018,2018,35,2018,170042
COL,CD, Centro Democrático ,2015,2017,21.2,2016,170037
COL,IN, Independiente ,1998,2005,14.3,1998,170013
COL,, Movimiento Alianza Social Afrocolombiana,2011,2011,0.2,2011,170019
COL,ASI, Movimiento Alianza Social Ind,2011,2015,0.5,2011,170016
COL,, Movimiento Apertura Liberal,2007,2007,0.2,2007,170012
COL,AICO, Movimiento Autoridades Indígenas de Colombia ,2013,2018,0.2,2013,170015
COL,, Movimiento Ciudadano,1996,2018,1.3,2018,170036
COL,, Movimiento Cívico Independiente,1996,1996,0.3,1996,170032
COL,, Movimiento Colombia Viva,2007,2007,0.6,2007,170011
COL,, Movimiento Corriente de Renovación Socialista,1996,1996,0.3,1996,170034
COL,, Movimiento Fuerza Progresista,1996,2018,21.1,2018,170031
COL,, Movimiento Independiente Obrero y Revolucionario MOIR,1996,1996,0.3,1996,170035
COL,, Movimiento MIRA,2010,2010,4.9,2010,410
COL,, Movimiento MIRA,2003,2018,1.6,2017,170010
COL,, Movimiento Nacional Afrocolombiano AFRO,2011,2011,0.2,2011,170018
COL,, Movimiento Nacional Conservador,1997,1997,27.1,1997,170026
COL,, Movimiento Salvación Nacional,1996,1996,0.3,1996,170030
COL,, Movimiento Único de Renovación Conservador MURCO,1996,1996,0.3,1996,170033
COL,, Movimiento Unión Cristiana,1996,1996,0.3,1996,170028
COL,, Nuevo Liberal,2003,2003,0.3,2003,170020
COL,PIN, Opción Ciudadana ,2016,2016,0.2,2016,170040
COL,CR, Partido Cambio Radical ,2009,2010,14.5,2010,402
COL,CR, Partido Cambio Radical ,2006,2018,6.2,2007,170002
COL,, Partido Colombia Democrática,2010,2010,44,2010,409
COL,, Partido Colombia Democrática,2007,2007,1.1,2007,170009
COL,PCC, Partido Conservador Colombiano ,2009,2009,12.6,2009,403
COL,PCC, Partido Conservador Colombiano ,1996,2018,33.3,1996,170003
COL,, Partido Convergencia Ciudadana,2010,2010,0.9,2010,408
COL,, Partido Convergencia Ciudadana,2006,2007,1.6,2007,170008
COL,, Partido Cristiano,1996,2003,0.8,1996,170022
COL,PIN, Partido de Integraci,2011,2013,0.2,2011,170017
COL,, Partido de Izquierda,2003,2003,0.3,2003,170021
COL,, Partido Democrático,2003,2003,0.3,2003,170023
COL,, Partido Ecológico,2003,2003,0.3,2003,170024
COL,PLC, Partido Liberal Colombiano ,2009,2010,36.7,2009,404
COL,PLC, Partido Liberal Colombiano ,1996,2018,77.6,2005,170004
COL,PDA, Partido Polo Democrático Alternativo ,2009,2010,10,2009,405
COL,PDA, Partido Polo Democrático Alternativo ,2005,2018,12.4,2007,170005
COL,, Partido Social de Unidad Nacional,2009,2010,39.5,2009,401
COL,, Partido Social de Unidad Nacional,2006,2018,39.3,2011,170001
COL,, Partido Social Democrático,2003,2003,0.3,2003,170025
COL,PVC, Partido Verde Opci,2011,2015,6.1,2011,170014
COL,PVC, Partido Verde Opción Centro ,2010,2010,0.1,2010,414
COL,, Unión Patriótica,1996,2016,1.3,1996,170027
CRI,, Accesibilidad sin Exclusión,2011,2018,2.4,2013,188015
CRI,, Alianza Democrata Cristiana,2018,2018,0.2,2018,188023
CRI,ANC, Alianza Nacional Cristiana ,2009,2010,0.2,2009,505
CRI,ANC, Alianza Nacional Cristiana ,2006,2007,0.6,2007,188005
CRI,AP, Alianza Patriótica ,2013,2016,1.7,2013,188019
CRI,, Costarricense,2018,2018,1.4,2018,188022
CRI,, Frente Amplio,2011,2018,10.3,2016,188016
CRI,ML, Movimiento Libertario ,2009,2010,7,2009,503
CRI,ML, Movimiento Libertario ,2001,2018,6.6,2005,188003
CRI,PAC, Partido Accion Ciudadana ,2001,2018,51.5,2018,188002
CRI,PAC, Partido Acción Ciudadana ,2009,2010,14.7,2009,502
CRI,PLN, Partido de Liberaci,1998,2018,65.8,2011,188001
CRI,PLN, Partido de Liberación Nacional ,2009,2010,73,2009,501
CRI,, Partido Demócrata,1997,1997,53.2,1997,188017
CRI,FD, Partido Fuerza Democrática ,2010,2010,0.2,2010,506
CRI,FD, Partido Fuerza Democrática ,1997,2008,45.8,1997,188006
CRI,PIO, Partido Independiente Obrero ,2009,2009,0.2,2009,507
CRI,PIO, Partido Independiente Obrero ,2005,2005,0.2,2005,188007
CRI,PIN, Partido Integración Nacional ,2010,2010,0.5,2010,508
CRI,PIN, Partido Integración Nacional ,2001,2018,3.9,2017,188008
CRI,, Partido Nacional Independiente,1997,1997,1,1997,188018
CRI,, Partido Nueva Generación,2016,2018,0.7,2016,188021
CRI,PN, Partido Patriótico Nacional ,2005,2007,0.2,2005,188009
CRI,PPU, Partido Pueblo Unido ,2005,2005,0.4,2005,188010
CRI,PRC, Partido Renovación Costarricense ,2009,2010,0.2,2009,511
CRI,PRC, Partido Renovación Costarricense ,2006,2017,1.5,2013,188011
CRI,PRN, Partido Rescate Nacional ,2006,2006,0.2,2006,188012
CRI,PRN, Partido Restauracion Nacional ,2013,2018,20.9,2018,188020
CRI,PUSC, Partido Unidad Social Cristiana ,2009,2010,22.2,2010,504
CRI,PUSC, Partido Unidad Social Cristiana ,1998,2018,43.7,2001,188004
CRI,UPC, Unión para el Cambio ,2005,2005,3.5,2005,188014
DOM,MIUCA, Movimiento Independencia,2009,2010,0.1,2009,1912
DOM,MIUCA, Movimiento Independencia,2007,2011,0.4,2007,214012
DOM,MPD, Movimiento Popular Dominicano ,2005,2005,0.2,2005,214013
DOM,APD, Partido Alianza por la Democracia ,2010,2010,0.1,2010,1905
DOM,APD, Partido Alianza por la Democracia ,2006,2018,0.9,2018,214005
DOM,ASD, Partido Alianza Social Dominicana ,2008,2018,0.8,2018,214006
DOM,BIS, Partido Bloque Institucional ,2010,2010,0.1,2010,1907
DOM,PLD, Partido de la Liberación Dominicana ,2009,2010,48.2,2010,1901
DOM,PLD, Partido de la Liberación Dominicana ,2005,2018,79.6,2015,214001
DOM,UDC, Partido de la Uni,2011,2011,0.4,2011,214021
DOM,UDC, Partido de la Unión Demócrata Cristiana ,2009,2009,0.1,2009,1921
DOM,PTD, Partido de los Trabajadores Dominicanos  ,2005,2015,0.2,2005,214020
DOM,UD, Partido de Unidad Democrática ,2009,2010,0.3,2009,1904
DOM,UD, Partido de Unidad Democrática ,2006,2006,0.2,2006,214004
DOM,PUN, Partido de Unidad Nacional ,2007,2008,0.1,2007,214022
DOM,PDI, Partido Democrata Institucional  ,2018,2018,4,2018,214024
DOM,PDP, Partido Demócrata Popular ,2009,2009,0.1,2009,1908
DOM,PDP, Partido Demócrata Popular ,2013,2013,0.4,2013,214008
DOM,FNP, Partido Fuerza Nacional Progresista ,2013,2018,0.3,2013,214010
DOM,PLRD, Partido Liberal de la República Dominicana ,2017,2017,0.2,2017,214011
DOM,PNVC, Partido Nacional de Veteranos y Civiles ,2010,2010,0.1,2010,1914
DOM,PNVC, Partido Nacional de Veteranos y Civiles ,2013,2013,0.1,2013,214014
DOM,PNA, Partido Nueva Alternativa ,2010,2010,0.1,2010,1915
DOM,PNA, Partido Nueva Alternativa ,2007,2007,0.1,2007,214015
DOM,PPC, Partido Popular Cristiano ,2011,2017,0.2,2017,214016
DOM,PQD, Partido Quisqueyano Demócrata Cristiano ,2005,2017,0.2,2005,214017
DOM,PRSC, Partido Reformista Social Cristiano ,2009,2010,3.8,2009,1903
DOM,PRSC, Partido Reformista Social Cristiano ,2005,2018,17.8,2005,214003
DOM,PRD, Partido Revolucionario Dominicano ,2009,2010,50.4,2009,1902
DOM,PRD, Partido Revolucionario Dominicano ,2005,2018,56.5,2011,214002
DOM,PRI, Partido Revolucionario Independiente ,2005,2018,0.2,2005,214019
DOM,Mayoritario, Partido Revolucionario Moderno ,2015,2018,25.6,2016,214023
ECU,APRE, Acción Popular Revolucionaria ,1996,1998,1.5,1996,218024
ECU,, Alianza RED,1996,2006,11.2,2006,218019
ECU,CREO, Creando Oportunidades ,2015,2017,21.4,2017,218033
ECU,CREO, Creando Oportunidades ,2016,2018,21,2016,218035
ECU,DP, Democracia Popular ,1996,2011,23.1,1998,218012
ECU,FRA, Frente Radical Alfarista ,1996,2001,0.5,1996,218017
ECU,ID, Izquierda Democrática ,2009,2010,1.6,2009,704
ECU,ID, Izquierda Democrática ,1997,2018,95.4,1997,218004
ECU,PL, Liberación Nacional ,1996,1996,0.1,1996,218028
ECU,, Movimiento Alianza Pa,2006,2016,83,2011,218001
ECU,, Movimiento Alianza País,2009,2010,72.5,2010,701
ECU,, Movimiento de la Concertación Nacional Democrática,2017,2017,0.1,2017,218034
ECU,EQUIPO, Movimiento Equidad,2013,2015,0.2,2015,218030
ECU,, Movimiento F Compromiso social,2017,2017,0.3,2017,218041
ECU,, Movimiento Indígena Amauta Jatari,2003,2003,0.4,2003,218020
ECU,NP, Movimiento Nuevo País ,1998,1998,2.9,1998,218025
ECU,PK, Movimiento Pachakutik ,1998,2018,2.6,2003,218002
ECU,PAIS, Movimiento Patria Altiva y Soberana ,2013,2018,94.1,2013,218032
ECU,MPD, Movimiento Popular Democrático ,2009,2010,1.8,2009,703
ECU,MPD, Movimiento Popular Democrático ,1996,2016,5.6,2003,218003
ECU,, Movimiento Ruptura,2013,2013,0.6,2013,218029
ECU,SUMA, Movimiento Sociedad Unida Mas Accion ,2017,2018,0.8,2018,218040
ECU,, Movimiento Unidad Popular,2018,2018,0.3,2018,218046
ECU,, Pachakutic,2009,2010,2.1,2009,702
ECU,, Pachakutic,1996,2017,11.1,1996,218026
ECU,, Partido Adelante Ecuatoriano Adelante,2018,2018,0.5,2018,218042
ECU,CFP, Partido Concentración de Fuerzas Populares ,1996,1998,0.6,1998,218006
ECU,PC, Partido Conservador ,2003,2008,1.9,2003,218018
ECU,PUN, Partido Conservador ,1997,1998,3,1997,218022
ECU,PUR, Partido de Unión Republicana ,1996,2001,0.6,2001,218027
ECU,, Partido Fuerza Ecuador,2018,2018,0.5,2018,218044
ECU,PL, Partido Liberal ,1996,1998,1.5,1998,218023
ECU,PLR, Partido Liberal Radical ,2010,2010,0.2,2010,714
ECU,PLR, Partido Liberal Radical ,2003,2011,1.6,2005,218014
ECU,PRIAN, Partido Renovador Inst,2009,2010,4.8,2010,709
ECU,PRIAN, Partido Renovador Inst,2003,2016,35.1,2006,218009
ECU,PRE, Partido Roldosista Ecuatoriano ,2009,2010,3.8,2010,705
ECU,PRE, Partido Roldosista Ecuatoriano ,1996,2011,42.4,1996,218005
ECU,PSC, Partido Social Cristiano ,2009,2010,10.7,2009,710
ECU,PSC, Partido Social Cristiano ,1996,2018,40.3,2001,218010
ECU,PS, Partido Socialista,1996,2016,1,1996,218007
ECU,PSE, Partido Socialista Ecuatoriano ,2003,2003,1.1,2003,218021
ECU,, Partido Sociedad Patriótica ,2009,2010,12,2010,711
ECU,, Partido Sociedad Patriótica ,2003,2018,13,2006,218011
ECU,PSP, Partido Sociedad Patriótica ,2013,2017,1.6,2017,218031
ECU,UNO, Partido Una Nueva Opción ,2010,2010,0.2,2010,716
ESP,BNG, Bloque Nacionalista Gallego ,2009,2009,0.5,2009,1808
ESP,BNG, Bloque Nacionalista Gallego ,1998,2008,1.1,1998,724008
ESP,CC, Coalición Canaria ,2009,2009,0.1,2009,1809
ESP,CC, Coalición Canaria ,1998,2008,1.5,2003,724009
ESP,CiU, Convergencia i Unió ,2009,2009,3.1,2009,1804
ESP,CiU, Convergencia i Unió ,1998,2008,4.7,1998,724004
ESP,ERC, Esquerra Republicana de Catalunya ,2009,2009,1.4,2009,1807
ESP,ERC, Esquerra Republicana de Catalunya ,1998,2008,1.6,2008,724007
ESP,EA, Eusko Alkartasuna ,1998,2004,1.9,2004,724012
ESP,HB, Herri Batasuna ,1998,2003,1.6,2003,724013
ESP,IC, Iniciativa por Catalunya,1998,1998,0.2,1998,724014
ESP,IU/ICV, Izquierda Unida ,2009,2009,4.9,2009,1803
ESP,IU/ICV, Izquierda Unida ,1998,2008,9.9,1998,724003
ESP,Na Bai, Nafarroa Bai ,2009,2009,0.3,2009,1810
ESP,Na Bai, Nafarroa Bai ,2003,2008,0.6,2003,724010
ESP,PA, Partido Andalucista ,1998,1998,0.2,1998,724015
ESP,PNV, Partido Nacionalista Vasco ,2009,2009,1.6,2009,1805
ESP,PNV, Partido Nacionalista Vasco ,1998,2008,3,2004,724005
ESP,PP, Partido Popular ,2009,2009,32.7,2009,1802
ESP,PP, Partido Popular ,1998,2008,41.9,1998,724002
ESP,PSOE, Partido Socialista Obrero Español ,2009,2009,53.6,2009,1801
ESP,PSOE, Partido Socialista Obrero Español ,1998,2008,56,2004,724001
ESP,UV, Unió Valenciana ,1998,1998,0.2,1998,724016
ESP,UPN, Unión del Pueblo Navarro ,2003,2004,0.4,2004,724011
ESP,UPyD, Unión Progreso y Democracia ,2009,2009,1.8,2009,1806
ESP,UPyD, Unión Progreso y Democracia ,2003,2008,1.6,2006,724006
GTM,ARDE, Acción Reconciliadora Democrática ,1997,1997,32.3,1997,320037
GTM,ANN, Alianza Nueva Nación ,2010,2010,0.9,2010,914
GTM,ANN, Alianza Nueva Nación ,2001,2008,7.8,2001,320014
