country,statename,first,last,ignore,duplicate,party,name_english,name,comment-coding
CUB,Cuba,1933,1933,,,ABC,ABC Revolutionary Society Party,,
CUB,Cuba,1933,1934,,,PRC,Cuban Revolutionary Party,,
CUB,Cuba,1934,1940,,,UN,National Union,,
CUB,Cuba,1940,1944,,,CSD,Social Democratic Coalition,,
CUB,Cuba,1944,1952,,,PRC-A,,,
CUB,Cuba,1952,1959,,,PAP,,,
CUB,Cuba,1952,1959,,,PAU,,,
CUB,Cuba,1959,2008,,,MR-26-7,Revolutionary Movement of Jul 26th (communist),Movemiento Revolucionario de 26 Julio,source: Worldstatesmen.org
CUB,Cuba,1959,2008,,,ORI,Integrated Revolutionary Organizations,Organizaciones Revolucionarias Integradas,source: Worldstatesmen.org
CUB,Cuba,1959,2008,,,PCC,,,
CUB,Cuba,1959,2008,,,PRUSC,,,
CYP,Cyprus,1974,1974,,,Eniaion,,,
CYP,Cyprus,1974,1974,,,EOKA,,,
CYP,Cyprus,1977,2008,,,DIKO,Democratic Party,,
CYP,Cyprus,1993,2003,,,DISY,Democratic Coalition,,
CYP,Cyprus,2008,2008,,,AKEL,Working People,,
CZE,Czechoslovakia,1919,1938,,,CND,Czechoslovak National Democratic Party,,
CZE,Czechoslovakia,1919,1938,,,CNSS,National Socialists,,
CZE,Czechoslovakia,1919,1938,,,CSDS,Social Democratic Party,,
CZE,Czechoslovakia,1919,1938,,,RSZML,Agrarians,,
CZE,Czechoslovakia,1921,1938,,,CSL,,,
CZE,Czechoslovakia,1922,1938,,,CZOSS,Small Traders Party,,
CZE,Czechoslovakia,1926,1938,,,BdL,,,
CZE,Czechoslovakia,1926,1938,,,DCVP,German Christian Social Party,,
CZE,Czechoslovakia,1926,1932,,,HSL'S,Hlinka’s Slovak People’s Party,,
CZE,Czechoslovakia,1929,1938,,,DSAP,Social Democrats,,
CZE,Czechoslovakia,1945,1948,,,CNSP,,,
CZE,Czechoslovakia,1945,1948,,,CPP,,,
CZE,Czechoslovakia,1945,1948,,,CSDP,,,
CZE,Czechoslovakia,1945,1948,,,DP,,,
CZE,Czechoslovakia,1945,1992,,,KSC,Communist Party of Czechoslovakia,,
CZE,Czechoslovakia,1989,1992,,,CDU,Civic Democratic Union,,
CZE,Czechoslovakia,1989,1992,,,Civic,,,
CZE,Czechoslovakia,1989,1992,,,Forum,,,
CZE,Czechoslovakia,1989,1992,,,KDS-CSL,,,
CZE,Czechoslovakia,1989,1992,,,PAV,Slovak Public Again Violence,,
CZE,Czechoslovakia,1992,1993,,,HZDS,Movement for a Democratic Slovakia [Public Against Violence],,HZDS run only in Slovak elections. Successor of PAV.
CZE,Czechoslovakia,1992,1993,,,KDU-CSL,,,
CZE,Czechoslovakia,1992,1993,,,ODS-KDS,,,
CZE,Czech Republic,1993,2006,,,KDU-CSL,,,
CZE,Czech Republic,1993,1997,,,ODA,,,
CZE,Czech Republic,1993,1997,,,ODS,Civic Democratic Party,,
CZE,Czech Republic,1998,2006,,,CSSD,Social Democrats,,
CZE,Czech Republic,2002,2006,,,US-DEU,,,
CZE,Czech Republic,2006,1993,,,SZ,,,
DDR,German Democratic Republic,1971,1989,,,SED,Socialist Unity Party,,
DDR,German Democratic Republic,1989,1989,,,SED-PDS,Party of Democratic Socialism,,
DEU,Germany,1919,2005,,,CDU,Christian Democratic Union,,
DEU,Germany,1919,1998,,,DDP,German Democratic Party,Deutsche Demokratische Partei,
DEU,Germany,1919,1998,,,FPD,,,
DEU,Germany,1919,2005,,,SPD,Social Democratic Party,,
DEU,Germany,1919,1998,,,Z,Center Party,Zentrum,
DEU,Germany,1920,1932,,,DVP,,,
DEU,Germany,1923,1932,,,BVP,Bavarian People’s Party,,
DEU,Germany,1925,1933,,,DNVP,,,
DEU,Germany,1930,1932,,,DSTP,,,
DEU,Germany,1930,1932,,,KVP,,,
DEU,Germany,1930,1933,,,LV,,,
DEU,Germany,1930,1932,,,WP,Wirtschaftspartei,,
DEU,Germany,1933,1945,,,NSDAP,,,
DEU,Germany,1963,1963,,,DP,,,
DEU,Germany,1963,1982,,,FDP,Free Democrats,,
DEU,Germany,1963,1963,,,GBHE,,,
DEU,Germany,1998,2005,,,Greens,,,
DJI,Djibouti,1977,1999,,,RPP,Progrès,,
DNK,Denmark,1920,1945,,,LP-V,Liberal Left,Venstre,
DNK,Denmark,1920,1945,,,RP,Radical Left (Det Radicale Venstre),,
DNK,Denmark,1920,2001,,,SD,Social Democrats,,
DNK,Denmark,1929,1945,,,KF,Det Konservative Folkeparti,,
DNK,Denmark,1945,1945,,,COM,Danmarks Kommunistiske Parti,,
DNK,Denmark,1945,1945,,,DS,Dansk Samling,,
DNK,Denmark,1945,1993,,,LIB,,Venstre,
DNK,Denmark,1950,1993,,,CON,Conservative People’s Party,,
DNK,Denmark,1955,1962,,,JP,Justice Party,,
DNK,Denmark,1955,2001,,,RAD,Radical Left Party,,
DNK,Denmark,1982,2001,,,CDM,Centre Democrats,,
DNK,Denmark,1982,2001,,,CPP,Christian People’s Party,,
DOM,Dominican Republic,1924,1930,,,PNG,National Progressive Party,,
DOM,Dominican Republic,1930,1962,,,PD,Dominican Party,,
DOM,Dominican Republic,1930,1963,,,Rep,Republican Party,,
DOM,Dominican Republic,1963,2004,,,PRD,Revolutionary Dominican Party,,
DOM,Dominican Republic,1963,1965,,,UCN,Civic National Union,,
DOM,Dominican Republic,1965,1996,,,PRSC,Social Christian Reformist Party,,"CHISOLS: ""According to Cahoon (2012), PRSC and PR are the same party. However, as of 1966, it is appropriate to use PRSC since it was 1985 when PRSC changed its name to PR"""
DOM,Dominican Republic,1996,2.00E+03,,,PLD,Dominican Liberation Party,,
DZA,Algeria,1962,1992,,,FLN,Libération Nationale,,
ECU,Ecuador,1920,1944,,,PLR,Radical Liberal Party,,
ECU,Ecuador,1931,1940,,,PL,Liberal Party,,
ECU,Ecuador,1932,1932,,,VR,Revolutionary Socialist Vanguard,,
ECU,Ecuador,1934,1947,,,AD,Democratic Alliance,,
ECU,Ecuador,1947,1947,,,PCE,,,
ECU,Ecuador,1948,1952,,,MCDN,Movimiento Civico Ecuatoriano,,
ECU,Ecuador,1952,1972,,,FNV,Federación Nacional Velasquista (National Velasquista Federation),,
ECU,Ecuador,1956,1960,,,MSC,Movimiento Social Cristiano,,
ECU,Ecuador,1961,1963,,,PNR,,,
ECU,Ecuador,1966,1968,,,CID,,,
ECU,Ecuador,1979,1981,,,CFP,Popular Forces,,
ECU,Ecuador,1981,2003,,,DP-UDC,People's Democracy-Christian Democrat Union,,
ECU,Ecuador,1984,1988,,,PSC,Social-Christian Party,,
ECU,Ecuador,1988,1992,,,ID,,,
ECU,Ecuador,1992,1996,,,PUR,,,
ECU,Ecuador,1996,1997,,,PRE,Roldosista Ecuadorian Party,,
ECU,Ecuador,1997,1998,,,FRA,,,
ECU,Ecuador,1997,1997,,,MIAR,,,
ECU,Ecuador,2003,2005,,,PSP,Party Patriotic Society,,
ECU,Ecuador,2005,2007,,,DP,Democracy Popular,,
ECU,Ecuador,2007,2007,,,AP,Country Alliance movement,,
EGY,Egypt,1952,1952,,,Ali,,,
EGY,Egypt,1952,1970,,,LR,,,
EGY,Egypt,1952,1952,,,Muhammad,,,
EGY,Egypt,1954,1981,,,ASU,,,
EGY,Egypt,1954,1970,,,NU,,,
EGY,Egypt,1970,1981,,,HDW,,,
ERI,Eritrea,1993,1975,,,PFDJ,People's Front for Democracy and Justice,,
ESP,Spain,1919,1922,,,Dem,,,
ESP,Spain,1919,1922,,,Lib,,,
ESP,Spain,1919,1939,,,PC,,,
ESP,Spain,1919,1923,,,PL,Liberal Party,,
ESP,Spain,1931,1933,,,ACR,,,
ESP,Spain,1931,1939,,,ER,Catalan Esquerra Republicana,,
ESP,Spain,1931,1933,,,FR,Federal Republican Party,,
ESP,Spain,1931,1933,,,ORGA,,,
ESP,Spain,1931,1931,,,PRC,,,
ESP,Spain,1931,1936,,,PRR,,,
ESP,Spain,1931,1933,,,PRS,,,
ESP,Spain,1931,2004,,,PSOE,Partido Socialista Obrero Español,,
ESP,Spain,1931,1933,,,RA,Republican Action Party,,
ESP,Spain,1931,1933,,,RSR,,,
ESP,Spain,1933,1935,,,Ag,,,
ESP,Spain,1933,1933,,,AR,,,
ESP,Spain,1933,1933,,,IRS,,,
ESP,Spain,1933,1933,,,ISR,,,
ESP,Spain,1933,1936,,,PLD,,,
ESP,Spain,1933,1934,,,PRP,,,
ESP,Spain,1934,1935,,,CEDA,,,
ESP,Spain,1935,1935,,,Lliga,,,
ESP,Spain,1935,1936,,,Rad.Dis.,,,
ESP,Spain,1936,1939,,,CNT,,,
ESP,Spain,1936,1937,,,CNT-FAT,,,
ESP,Spain,1936,1939,,,IR,,,
ESP,Spain,1936,1939,,,PNV,,,
ESP,Spain,1936,1939,,,UR,Union Republicana,,
ESP,Spain,1939,1976,,,FET,,,
ESP,Spain,1976,1982,,,UCD,,,
ESP,Spain,1996,2004,,,PP,Partido Popular,,
EST,Estonia,1919,1919,,,EMRL,Union of Rural People,,
EST,Estonia,1919,1933,,,ER,People’s Party,,
EST,Estonia,1919,1932,,,ETE,Labor Party,,
EST,Estonia,1919,2005,,,SDE,,,
EST,Estonia,1921,1931,,,KRE,Christian People’s Party,,
EST,Estonia,1921,1991,,,PK,Unions of Farmers,,
EST,Estonia,1925,1933,,,Ansiedler,,,
EST,Estonia,1928,1932,,,ESTP,Estonian Socialist Party of Workers,,
EST,Estonia,1932,1933,,,Center,,,
EST,Estonia,1932,1932,,,NCP,National Centre Party,,
EST,Estonia,1932,1932,,,PKK,,,
EST,Estonia,1933,1991,,,I,Fatherland League,,
EST,Estonia,1991,1997,,,R,,,
EST,Estonia,1992,1992,,,EK,,,
EST,Estonia,1992,1994,,,ERSP,Moderates and Estonian National Independence Party,,
EST,Estonia,1992,1994,,,Isamaa,,,
EST,Estonia,1992,2002,,,Moderates,,,
EST,Estonia,1995,1997,,,K,Coalition Party,,
EST,Estonia,1995,1997,,,KMU,Koonderakond ja Maarahva Ühendus,,
EST,Estonia,1995,1999,,,KMU-K,,,
EST,Estonia,1999,2002,,,IERSP,,,
EST,Estonia,1999,2005,,,RE,,,
EST,Estonia,2002,2005,,,Kesk,,,
EST,Estonia,2003,2005,,,ERL,People's Union of Estonia,,ERK(PM)/Kesk/ERL coalition in 2013
EST,Estonia,2003,2005,,,ResP,,,
EST,Estonia,2005,2005,,,IRL,Pro Patria and Res Publica Union,,
ETH,Ethiopia,1930,1974,,,Solomonic,,,
ETH,Ethiopia,1977,1991,,,EWP,,,
ETH,Ethiopia,1991,1993,,,EPRDF,,,
ETH,Ethiopia,1991,1993,,,TPLF,,,
FIN,Finland,1919,1944,,,ED,National Progressive Party (Kansallinen Edistyspuolue),,
FIN,Finland,1925,1981,,,ML,Agrarian Party,,
FIN,Finland,1931,1956,,,KOK,National Coalition Party,,
FIN,Finland,1956,1981,,,KESK,,,
FIN,Finland,1981,2.00E+03,,,SDP,Social Democratic Party,,
FJI,Fiji,1970,2.00E+03,,,FAP,Fijian Alliance Party,,
FJI,Fiji,1987,2006,,,FLP,Fiji Labour Party,,
FJI,Fiji,1987,1987,,,NFP,National Federation Party,,
FJI,Fiji,1992,1999,,,FPP-SVT,,,
FJI,Fiji,1992,1999,,,GVP,General Voter’s Party,,
FJI,Fiji,1999,2.00E+03,,,PANU,Party of National Unity,,
FJI,Fiji,2.00E+03,2006,,,CA,Conservative Alliance/Matanitu Vanua,,
FJI,Fiji,2.00E+03,2006,,,FUP-SDL,Fijian United Party,,
FJI,Fiji,2.00E+03,2006,,,LU,Labour Unity,,
FRA,France,1920,1940,,,ARS,,Action Republicaine et Socieale (later Action Democractique et Sociale),
FRA,France,1920,1940,,,ERD,,Eentente Republicane democratique (or the Groupe de l'Entente Républicaine),
FRA,France,1920,1940,,,GD,,Gouche Democratique,
FRA,France,1920,1934,,,GR,,Gauche Républicaine Démocratique,
FRA,France,1920,1940,,,PRS,,Republican Socialiste (Parti Républicain-Socialiste),
FRA,France,1920,1940,,,RAD,,Radical Socialiste,
FRA,France,1920,1936,,,RG,,Reopublican de Gauche,
FRA,France,1920,1940,,,UR,,Union Republicane,
FRA,France,1922,1935,,,URD,,Groupe de l'Union Républicaine Démocratique,
FRA,France,1924,1937,,,GRad,,Gauche Radicale,
FRA,France,1925,1926,,,GRep,,Gauche Républicaine,
FRA,France,1926,1929,,,AD,,Alliance démocratique,
FRA,France,1930,1932,,,DP,,Démocrate Populaire (also Parti Démocrate Populaire),
FRA,France,1930,1930,,,Rad,,Radical Socialiste,
FRA,France,1930,1974,,,UDR,,Union Democratique et radical,
FRA,France,1931,1932,,,GSR,,Gauche Sociale et radicale,
FRA,France,1932,1936,,,SF,,Section Française,
FRA,France,1933,1933,,SFIO,SEIO,,,probably a typo ini CHISOLS and SFIO meant
FRA,France,1933,1940,,,SFIO,,Section Française de l’Internationale Ouvrière,
FRA,France,1934,1936,,,CR,,Centre Republucan,
FRA,France,1934,1935,,,RIAS,,Groupe Républicain et Social (later Groupe des Républicains Indépendants d'Action Sociale),
FRA,France,1935,1936,,,FR,,Federation Republicane,
FRA,France,1936,1936,,,RAIS,,Radicaux indépendants,
FRA,France,1936,1936,,,US,,Union Sciate,
FRA,France,1937,1938,,,USR,,Union socialiste et republicane,
FRA,France,1938,1995,,,PS,,Parti Socialiste Français,
FRA,France,1938,1940,,,URS,,,
FRA,France,1944,1969,,,MRP,,Mouvement Républicain Populaire,
FRA,France,1944,1947,,,PCF,,Parti Communiste Français,
FRA,France,1944,1969,,,PSF,,Parti Socialiste Français,
FRA,France,1944,1969,,,RSP,,Parti radical-socialiste,
FRA,France,1947,1969,,,GAUL,,Gaulliste,
FRA,France,1947,1969,,,IND,,Centre National des Indépendants et Paysans,
FRA,France,1958,1969,,,UNR,,Union pour la nouvelle république [Gaulliste],
FRA,France,1969,1974,,,Ind,,Independent,
FRA,France,1974,1981,,,RI,,Fédération Nationale des Républicains Indépendants,
FRA,France,1995,2007,,,RPR,,Rassemblement Pour la République,
FRA,France,1995,2007,,,UMP,,Union pour un Mouvement Populaire,
GAB,Gabon,1960,1967,,,BDG,,Bloc Démocratique Gabonais,
GAB,Gabon,1967,1960,,,PDG,,,
GBR,United Kingdom,1922,1997,,,Con,,,
GBR,United Kingdom,1922,1945,,,Lib,,,
GBR,United Kingdom,1924,2007,,,Lab,,,
GBR,United Kingdom,1929,1935,,,NLab,,,
GBR,United Kingdom,1935,1940,,,Nlab,,,
GEO,Georgia,1992,1992,,,MM-TS,Round Table-Free Georgia,,
GEO,Georgia,1992,2003,,,SMK,Sakartvelos Mokalaketa Kavshiri,,
GEO,Georgia,2003,2008,,,BDA,Burdzhanadze-Demokratiuli Aliansi,,
GEO,Georgia,2004,2008,,,ENM,Natshhionakhuri Modraoba– Demokrathebi,,
GHA,Ghana,1966,1966,,,CPP,Convention People’s Party,,
GHA,Ghana,1969,1972,,,PP,Progress Party,,
GHA,Ghana,1979,1981,,,PNP,People's National Party,,
GHA,Ghana,1981,2001,,,NDC,,,
GHA,Ghana,2001,1960,,,NPP,New Patriotic Party,,
GIN,Guinea,1958,1984,,,PDG,Parti Démocratique de Guinée / Ahmed Sekou Touré,,
