statename,party,first,last,country,name_english,name,chisols_first,party_id
Belgium,KPB,1945,1947,BEL,Communist Party of Belgium,,,BEL-KPB
Belgium,Lib,1919,1940,BEL,,,1937 Janson (Lib),BEL-Lib
Belgium,LP,1945,1968,BEL,Liberal Party,,,BEL-LP
Belgium,MR,2004,2008,BEL,,,,BEL-MR
Belgium,PCS-KVV,1939,1945,BEL,Social Catholic Party-Catholic Flemish People's Party,,1939 Pierlot (PCS-KVV),BEL-PCS-KVV
Belgium,PLP,1974,1976,BEL,,,,BEL-PLP
Belgium,PRL,1981,1988,BEL,,,,BEL-PRL
Belgium,PRL-FDF,1999,2003,BEL,,,,BEL-PRL-FDF
Belgium,PRLW,1977,1977,BEL,,,,BEL-PRLW
Belgium,PSB,1979,2008,BEL,,,,BEL-PSB
Belgium,PSC,1973,1999,BEL,Parti Social Chrétien,,1978 Vanden Boeynants (PSC),BEL-PSC
Belgium,PVV,1973,1988,BEL,,,,BEL-PVV
Belgium,RW,1975,1977,BEL,,,,BEL-RW
Belgium,Soc,1919,1940,BEL,,,1938 Spaak (Soc),BEL-Soc
Belgium,SPA-Spirit,2004,2007,BEL,,,,BEL-SPA-Spirit
Belgium,VLD,1999,2008,BEL,,,1999 Verhofstadt (VLD),BEL-VLD
Belgium,VU,1978,1992,BEL,People’s Union,,,BEL-VU
Benin,FARD,1996,2006,BEN,,,1996 Kerekou (FARD),BEN-FARD
Benin,PD,1964,1972,BEN,Parti Démocratique,,1964 Apithy (PD),BEN-PD
Benin,PRB,1991,1996,BEN,,,1991 Soglo (PRB),BEN-PRB
Benin,PRPB,1973,1990,BEN,,,,BEN-PRPB
Benin,RDD,1960,1972,BEN,Rassemblement Démocratique du Dahomé,,1970 Maga (RDD),BEN-RDD
Bhutan,DPT,2008,2008,BTN,Druk Phuensum Tshogpa/Bhutan Peace and Prosperity Party,,2008 Lyonpo Jigme Thinley (DPT),BTN-DPT
Bolivia,ADN,1997,2002,BOL,Nationalist Democratic Action,,1997 Banzer Suarez (ADN),BOL-ADN
Bolivia,FRB,1966,1969,BOL,Front of the Bolivian Revolution,,1966 Barrientos Ortuno (FRB),BOL-FRB
Bolivia,MAS,2006,2008,BOL,Movement towards Socialism,,2006 Morales Ayama (MAS),BOL-MAS
Bolivia,MIR,1989,1993,BOL,Movement of Revolutionary Left,,1989 Paz Zamora (MIR),BOL-MIR
Bolivia,MNR,1952,2003,BOL,Nationalist Revolutionary Movement,,1952 Siles Zuazo (MNR),BOL-MNR
Bolivia,MNRA,1979,1979,BOL,Nationalist Revolutionary Movement,,1979 Guevara Arze (MNRA),BOL-MNRA
Bolivia,MNRI,1982,1985,BOL,Nationalist Revolutionary Movement of the Left,,1982 Siles Zuazo (MNRI),BOL-MNRI
Bolivia,PL,1919,1936,BOL,Liberal Party,,1934 Tejada Sorzano (PL),BOL-PL
Bolivia,PR,1920,1934,BOL,Republican Party,,1920 Saavedra (PR),BOL-PR
Bolivia,PRIN,1979,1980,BOL,Revolutionary Party of the Nationalist Left,,1979 Gueiler Tejada (PRIN),BOL-PRIN
Bolivia,PSD-FRB,1969,1969,BOL,Partido Socialista Democrática (member of FRB),,1969 Siles Salinas (PSD-FRB),BOL-PSD-FRB
Bolivia,PURS,1947,1951,BOL,Republican Socialist Unity Party,,1947 Hertzog (PURS),BOL-PURS
Bolivia,Radepa-MNR,1943,1946,BOL,Nationalist Revolutionary Movement,,,BOL-Radepa-MNR
Bosnia and Herzegovina,HDZ,1999,2006,BIH,,,1999 Jelavic (HDZ),BIH-HDZ
Bosnia and Herzegovina,SBiH,2002,2008,BIH,,,2002 Belkic (SBiH),BIH-SBiH
Bosnia and Herzegovina,SDA,1992,2006,BIH,,,2000 Izetbegovic (SDA),BIH-SDA
Bosnia and Herzegovina,SDP,2001,2008,BIH,,,2001 Krizanovic (SDP),BIH-SDP
Bosnia and Herzegovina,SDS,2002,2005,BIH,,,2002 Sarovic (SDS),BIH-SDS
Bosnia and Herzegovina,SNSD,2006,2008,BIH,,,2006 Radmanovic (SNSD),BIH-SNSD
Bosnia and Herzegovina,SPRS,1998,2001,BIH,,,1998 Radisic (SPRS),BIH-SPRS
Botswana,BDP,1966,2008,BWA,Botswana Democratic Party,,1966 Seretse Khama (BDP),BWA-BDP
Brazil,ARENA,1969,1985,BRA,National Renovating Alliance,,,BRA-ARENA
Brazil,PDC,1961,1961,BRA,Christian Democratic Party,,1961 Quadros (PDC),BRA-PDC
Brazil,PMDB,1985,1995,BRA,Democratic Movement Party,Partido do Movimento Democrático Brasileiro,1985 Sarney (PMDB),BRA-PMDB
Brazil,PRM,1919,1926,BRA,Republican Party Minas,,1919 E. Pessoa (PRM),BRA-PRM
Brazil,PRN,1990,1992,BRA,Party of National Reconstruction,,1990 Collor de Mello (PRN),BRA-PRN
Brazil,PRP,1926,1930,BRA,Republican Party Paulista,,1926 Washington Luis (PRP),BRA-PRP
Brazil,PSD,1946,1961,BRA,Social Democratic Party,,1946 Dutra (PSD),BRA-PSD
Brazil,PSDB,1995,2003,BRA,Party of the Brazilian Social Democracy,,1995 Cardoso (PSDB),BRA-PSDB
Brazil,PT,2003,2008,BRA,Labour Party,,2003 Lula da Silva (PT),BRA-PT
Brazil,PTB,1951,1964,BRA,Brazilian Labor Party,,1951 Vargas (PTB),BRA-PTB
Bulgaria,BKP,1946,1990,BGR,,,1946 Dimitrov (BKP),BGR-BKP
Bulgaria,BSP,1990,1997,BGR,,,1995 Videnov (BSP),BGR-BSP
Bulgaria,BSP-KzB,2005,2008,BGR,,,2005 Stanishev (BSP-KzB),BGR-BSP-KzB
Bulgaria,DPS,2005,2008,BGR,,,,BGR-DPS
Bulgaria,MDL,2001,2005,BGR,Movement for Rights and Freedoms,,,BGR-MDL
Bulgaria,NDSV,2001,2008,BGR,National Movement Simeon II,,2001 Sakskoburggotski (NDSV),BGR-NDSV
Bulgaria,NSZ,1944,1946,BGR,Zveno Peoples’ League,,,BGR-NSZ
Bulgaria,OF,1944,1946,BGR,Fatherland Front,,,BGR-OF
Bulgaria,SDS,1991,2001,BGR,Union of Democratic Forces,,1991 F. Dimitrov (SDS),BGR-SDS
Burkina Faso,CDP,1997,2008,BFA,,,,BFA-CDP
Burkina Faso,FP,1987,1991,BFA,Front Popular,,,BFA-FP
Burkina Faso,MNR,1966,1980,BFA,Nationalist Revolutionary Movement,,,BFA-MNR
Burkina Faso,ODP-MT,1992,1996,BFA,,,,BFA-ODP-MT
Burkina Faso,UDV,1960,1966,BFA,Union Démocratique du Volta party,,1960 Yameogo (UDV),BFA-UDV
Burkina Faso,UDV-RDA,1971,1974,BFA,,,1971 Gerard Kango Ouedraogo (UDV-RDA),BFA-UDV-RDA
Burundi,CNDD-FDD,2005,2008,BDI,Défense de Démocratie,,2005 Nkurunziza (CNDD-FDD),BDI-CNDD-FDD
Burundi,FRODEBU,1993,2005,BDI,,,1993 Ndadaye (FRODEBU),BDI-FRODEBU
Burundi,UPRONA,1966,2003,BDI,Progrès National,,1993 Kinigi (UPRONA),BDI-UPRONA
Cambodia,FUNK,1953,1970,KHM,,,1953 Sihanouk (FUNK),KHM-FUNK
Cambodia,KCP,1975,1979,KHM,,,1975 Pol Pot (KCP),KHM-KCP
Cambodia,KPK,1992,2008,KHM,Cambodian People’s Party,,1993 Ranariddh (KPK),KHM-KPK
Cambodia,PRPK,1979,1991,KHM,,,1979 Heng Samrin (PRPK),KHM-PRPK
Cameroon,RDPC,1986,2008,CMR,,,,CMR-RDPC
Cameroon,UC,1960,1966,CMR,Union du Camerounais,,,CMR-UC
Cameroon,UNC,1967,1985,CMR,,,,CMR-UNC
Canada,CP,1920,1935,CAN,Conservative Party,,1920 Meighen (CP),CAN-CP
Canada,CPC,2006,2008,CAN,Conservative Party of Canada,,2006 Harper (CPC),CAN-CPC
Canada,LP,1921,2006,CAN,Liberal Party,,1921 King (LP),CAN-LP
Canada,PC,1957,1993,CAN,Progressive Conservative Party,,1957 Diefenbaker (PC),CAN-PC
Central African Republic,MESAN,1960,1980,CAF,Mouvement d'Évolution Sociale d'Afrique Noire,,1960 Dacko (MESAN),CAF-MESAN
Central African Republic,MLPC,1993,2003,CAF,Libération du Peuple Centrafricain,,1993 Patasse (MLPC),CAF-MLPC
Central African Republic,RDC,1986,1993,CAF,Mil to Rassemblement Démocratique Centrafricain,,,CAF-RDC
Central African Republic,UDC,1981,1981,CAF,Union Démocratique Centrafricain,,,CAF-UDC
Chad,FAN,1982,1984,TCD,Forces Armées du Nord,,,TCD-FAN
Chad,FROLIANT-FAP,1979,1982,TCD,,,1979 Oueddei (FROLIANT-FAP),TCD-FROLIANT-FAP
Chad,MNRCS,1974,1975,TCD,Révolution Culturelle et Sociale,,,TCD-MNRCS
Chad,MPS,1990,2008,TCD,Mouvement Patriotique du Salut,,1990 Deby (MPS),TCD-MPS
Chad,PPT,1960,1973,TCD,Parti Progressiste Tchad,,,TCD-PPT
Chad,UNIR,1985,1990,TCD,,,,TCD-UNIR
Chile,APL,1952,1958,CHL,,,1952 Ibanez del Campo (APL),CHL-APL
Chile,Concertacion,1990,2008,CHL,,,1990 Aylwin (Concertacion),CHL-Concertacion
Chile,FP,1946,1946,CHL,,,1946 Duhalde Vasquez (FP),CHL-FP
Chile,PC,1958,1964,CHL,,,1958 Alessandri Rodriguez (PC),CHL-PC
Chile,PDC,1964,1970,CHL,,,1964 Frei Montalva (PDC),CHL-PDC
Chile,PL,1920,1938,CHL,Liberal Party,,1920 Alessandri Palma (PL),CHL-PL
Chile,PLD,1919,1931,CHL,Liberal Democratic Party,,1925 Figueroa Larrain (PLD),CHL-PLD
Chile,PR,1931,1952,CHL,"Montero, Radical Party",,1931 Montero Rodriquez (PR),CHL-PR
Chile,PS-UP,1970,1973,CHL,,,1970 Allende (PS-UP),CHL-PS-UP
China,CPC,1949,2008,CHN,,,1949 Mao Tse-Tung (CPC),CHN-CPC
China,KMT,1928,1949,CHN,,,,CHN-KMT
China,KMT-WC,1940,1944,CHN,,,1940 Wang Jingwei (KMT-WC),CHN-KMT-WC
Colombia,PC,2006,2008,COL,,,,COL-PC
Colombia,PCS,1919,2002,COL,Social Conservative Party,,1921 J. Holguin (PCS),COL-PCS
Colombia,PL,1930,1998,COL,Liberal Party,,1930 Olaya Herrera (PL),COL-PL
Comoros,CRC,2002,2006,COM,,,2002 Assoumani (CRC),COM-CRC
Comoros,FNS,2006,2008,COM,,,2006 Sambi (FNS),COM-FNS
Comoros,PRC,2002,2002,COM,,,2002 Hamada Madi (PRC),COM-PRC
Comoros,RDPC,1975,1978,COM,Rassemblement Démocratique du Peuple Comorien,,,COM-RDPC
Comoros,RDR,1994,1996,COM,Renouveau,,1995 el-Yachroutu (RDR),COM-RDR
Comoros,RND,1996,1998,COM,,,1996 Abdoulkarim (RND),COM-RND
Comoros,UCP,1989,1991,COM,Comoran Union for Progress,,,COM-UCP
Congo,FDU,2003,2008,COG,,,,COG-FDU
Congo,MNR,1963,1968,COG,National Révolutionnaire Mouvement,,1963 Massamba-Debat (MNR),COG-MNR
Congo,PCT,1969,2002,COG,,,,COG-PCT
Congo,UDDIA,1960,1963,COG,Défense d'Intérêts Africains,,1960 Youlou (UDDIA),COG-UDDIA
Congo,UPADS,1992,1997,COG,,,1992 Lissouba (UPADS),COG-UPADS
Costa Rica,BV,1948,1948,CRI,,,,CRI-BV
Costa Rica,Civ,1928,1932,CRI,Civil Party,Partido Civil,1928 Gonzalez Viquez (Civ),CRI-Civ
Costa Rica,PCon,1920,1924,CRI,,,1920 Acosta Garcia (PCon),CRI-PCon
Costa Rica,PLN,1953,2008,CRI,,,1953 Figueres Ferrer (PLN),CRI-PLN
Costa Rica,PR,1924,1928,CRI,Republican Party,,1924 Jimenez Oreamuno (PR),CRI-PR
Costa Rica,PRD,1978,1982,CRI,,,1978 Carazo Odio (PRD),CRI-PRD
Costa Rica,PRN,1932,1948,CRI,,,1932 Jimenez Oreamuno (PRN),CRI-PRN
Costa Rica,PSD,1948,1949,CRI,,,,CRI-PSD
Costa Rica,PUN,1949,1970,CRI,,,1949 Ulate Blanco (PUN),CRI-PUN
Costa Rica,PUSC,1990,2006,CRI,,,1990 Calderon Fournier (PUSC),CRI-PUSC
Costa Rica,UC,1978,1982,CRI,,,,CRI-UC
Croatia,HDZ,1992,2000,HRV,Croatian Democratic Community’s,,1999 Pavletic (HDZ),HRV-HDZ
Croatia,HSS,2000,2000,HRV,,,2000 Tomcic (HSS),HRV-HSS
Cuba,ABC,1933,1933,CUB,ABC Revolutionary Society Party,,1933 de Cespedes (ABC),CUB-ABC
Cuba,CSD,1940,1944,CUB,Social Democratic Coalition,,1940 Batista (CSD),CUB-CSD
Cuba,MR-26-7,1959,1976,CUB,Revolutionary Movement of Jul 26th (communist),Movemiento Revolucionario de 26 Julio,,CUB-MR-26-7
Cuba,ORI,1959,1976,CUB,Integrated Revolutionary Organizations,Organizaciones Revolucionarias Integradas,,CUB-ORI
Cuba,PAP,1952,1959,CUB,,,,CUB-PAP
Cuba,PAU,1952,1959,CUB,,,,CUB-PAU
Cuba,PC,1919,1921,CUB,Conservative Party,,,CUB-PC
Cuba,PCC,1959,2008,CUB,,,1959 F. Castro (PCC),CUB-PCC
Cuba,PL,1925,1933,CUB,Liberal Party,,1925 Machado Morales (PL),CUB-PL
Cuba,PPC-LN,1921,1925,CUB,Cuban Popular [Liberal] Party,,1921 Zayas y Alfonso (PPC-LN),CUB-PPC-LN
Cuba,PRC,1933,1934,CUB,Cuban Revolutionary Party,,1933 Grau San Martin (PRC),CUB-PRC
Cuba,PRC-A,1944,1952,CUB,,,1944 Grau San Martin (PRC-A),CUB-PRC-A
Cuba,PRUSC,1959,1976,CUB,,,,CUB-PRUSC
Cuba,UN,1934,1940,CUB,National Union,,1934 Mendieta (UN),CUB-UN
Cyprus,AKEL,2008,2008,CYP,Working People,,2008 Christofias (AKEL),CYP-AKEL
Cyprus,DIKO,1977,2008,CYP,Democratic Party,,1977 Kyprianou (DIKO),CYP-DIKO
Cyprus,DISY,1993,2003,CYP,Democratic Coalition,,1993 Clerides (DISY),CYP-DISY
Cyprus,Eniaion,1974,1974,CYP,,,1974 Clerides (Eniaion),CYP-Eniaion
Cyprus,EOKA,1974,1974,CYP,,,1974 Sampson (EOKA),CYP-EOKA
Czech Republic,CSSD,1998,2006,CZE,Social Democrats,,1998 Zeman (CSSD),CZE-CSSD
Czech Republic,KDU-CSL,1993,2008,CZE,,,,CZE-KDU-CSL
Czech Republic,ODA,1993,1997,CZE,,,,CZE-ODA
Czech Republic,ODS,1993,2008,CZE,Civic Democratic Party,,1993 Klaus (ODS),CZE-ODS
Czech Republic,SZ,2008,2008,CZE,,,,CZE-SZ
Czech Republic,US-DEU,2002,2006,CZE,,,,CZE-US-DEU
Czechoslovakia,BdL,1926,1938,CZE,,,,CZE-BdL
Czechoslovakia,CDU,1992,1992,CZE,Civic Democratic Union,,,CZE-CDU
Czechoslovakia,Civic Forum,1991,1992,CZE,,,,CZE-Civic Forum
Czechoslovakia,CND,1919,1938,CZE,Czechoslovak National Democratic Party,,,CZE-CND
Czechoslovakia,CNSP,1945,1948,CZE,,,1945 Benes (CNSP),CZE-CNSP
Czechoslovakia,CNSS,1919,1938,CZE,National Socialists,,1921 Benes (CNSS),CZE-CNSS
Czechoslovakia,CPP,1945,1948,CZE,,,,CZE-CPP
Czechoslovakia,CSDP,1945,1948,CZE,,,,CZE-CSDP
Czechoslovakia,CSDS,1919,1938,CZE,Social Democratic Party,,1919 Tusar (CSDS),CZE-CSDS
Czechoslovakia,CSL,1921,1938,CZE,,,,CZE-CSL
Czechoslovakia,CZOSS,1926,1938,CZE,Small Traders Party,,,CZE-CZOSS
Czechoslovakia,DCVP,1926,1938,CZE,German Christian Social Party,,,CZE-DCVP
Czechoslovakia,DP,1945,1948,CZE,,,,CZE-DP
Czechoslovakia,DSAP,1930,1938,CZE,Social Democrats,,,CZE-DSAP
Czechoslovakia,HSL'S,1928,1929,CZE,Hlinka’s Slovak People’s Party,,,CZE-HSL'S
Czechoslovakia,HZDS,1992,1992,CZE,Movement for a Democratic Slovakia [Public Against Violence],,,CZE-HZDS
Czechoslovakia,KDS-CSL,1991,1992,CZE,,,,CZE-KDS-CSL
Czechoslovakia,KSC,1945,1990,CZE,Communist Party of Czechoslovakia,,1948 Gottwald (KSC),CZE-KSC
Czechoslovakia,ODS-KDS,1992,1992,CZE,,,1992 Strasky (ODS-KDS),CZE-ODS-KDS
Czechoslovakia,PAV,1991,1991,CZE,Slovak Public Again Violence,,,CZE-PAV
Czechoslovakia,RSZML,1919,1939,CZE,Agrarians,,1922 Svehla (RSZML),CZE-RSZML
Democratic Republic of the Congo,ABAKO,1960,1965,COD,Bakongo,,1960 Kasavubu (ABAKO),COD-ABAKO
Democratic Republic of the Congo,AFDL,1997,2002,COD,,,1997 Laurent Kabila (AFDL),COD-AFDL
Democratic Republic of the Congo,MNC-L,1960,1960,COD,Movement Congolese Nationaux Congolese-Lumumba,,1960 Lumumba (MNC-L),COD-MNC-L
Democratic Republic of the Congo,MRP,1968,1997,COD,,,,COD-MRP
Democratic Republic of the Congo,PPRD,2003,2008,COD,,,,COD-PPRD
Denmark,CDM,1982,1996,DNK,Centre Democrats,,,DNK-CDM
Denmark,COM,1945,1945,DNK,Danmarks Kommunistiske Parti,,,DNK-COM
Denmark,CON,1950,2008,DNK,Conservative People’s Party,,1982 Schluter (CON),DNK-CON
Denmark,CPP,1982,1994,DNK,Christian People’s Party,,,DNK-CPP
Denmark,DS,1945,1945,DNK,Dansk Samling,,,DNK-DS
Denmark,JP,1958,1960,DNK,Justice Party,,,DNK-JP
Denmark,KF,1945,1945,DNK,Det Konservative Folkeparti,,,DNK-KF
Denmark,LIB,1945,2008,DNK,,Venstre,1945 Kristensen (LIB),DNK-LIB
Denmark,LP-V,1920,1945,DNK,Liberal Left,Venstre,1920 Neergaard (LP-V),DNK-LP-V
Denmark,RAD,1958,2001,DNK,Radical Left Party,,1968 Baunsgaard (RAD),DNK-RAD
Denmark,RP,1919,1945,DNK,Radical Left (Det Radicale Venstre),,,DNK-RP
Denmark,SD,1919,2001,DNK,Social Democrats,,1924 Stauning (SD),DNK-SD
Djibouti,RPP,1977,2008,DJI,Progrès,,1977 Gouled Aptidon (RPP),DJI-RPP
Dominican Republic,PD,1930,1962,DOM,Dominican Party,,1930 Trujillo (PD),DOM-PD
Dominican Republic,PLD,1996,2008,DOM,Dominican Liberation Party,,1996 L. Fernandez (PLD),DOM-PLD
Dominican Republic,PNG,1924,1930,DOM,National Progressive Party,,1924 Vasquez (PNG),DOM-PNG
Dominican Republic,PRD,1963,2004,DOM,Revolutionary Dominican Party,,1963 Bosch (PRD),DOM-PRD
Dominican Republic,PRSC,1965,1996,DOM,Social Christian Reformist Party,,1965 Godoy (PRSC),DOM-PRSC
Dominican Republic,Rep,1930,1963,DOM,Republican Party,,1930 Estrella Urena (Rep),DOM-Rep
Dominican Republic,UCN,1963,1965,DOM,Civic National Union,,1963 de los Santos (UCN),DOM-UCN
Ecuador,AD,1934,1947,ECU,Democratic Alliance,,1934 Velasco Ibarra (AD),ECU-AD
Ecuador,AP,2007,2008,ECU,Country Alliance movement,,2007 Correa Delgado (AP),ECU-AP
Ecuador,CFP,1979,1981,ECU,Popular Forces,,1979 Roldos (CFP),ECU-CFP
Ecuador,CID,1966,1968,ECU,,,1966 Arosemena Gomez (CID),ECU-CID
Ecuador,DP,2005,2007,ECU,Democracy Popular,,2005 Palacio Gonzalez (DP),ECU-DP
Ecuador,DP-UDC,1981,2003,ECU,People's Democracy-Christian Democrat Union,,1981 Hurtado Larrea (DP-UDC),ECU-DP-UDC
Ecuador,FNV,1952,1972,ECU,Federación Nacional Velasquista (National Velasquista Federation),,1952 Velasco Ibarra (FNV),ECU-FNV
Ecuador,FRA,1997,1998,ECU,,,1997 Alarcon (FRA),ECU-FRA
Ecuador,ID,1988,1992,ECU,,,1988 Borja Cevallos (ID),ECU-ID
Ecuador,MCDN,1948,1952,ECU,Movimiento Civico Ecuatoriano,,1948 Plaza Lasso (MCDN),ECU-MCDN
Ecuador,MIAR,1997,1997,ECU,,,1997 Arteaga Serrano (MIAR),ECU-MIAR
Ecuador,MSC,1956,1960,ECU,Movimiento Social Cristiano,,1956 Ponce Enriquez (MSC),ECU-MSC
Ecuador,PCE,1947,1947,ECU,,,1947 Suarez (PCE),ECU-PCE
Ecuador,PL,1931,1940,ECU,Liberal Party,,1931 Baquerizo (PL),ECU-PL
Ecuador,PLR,1919,1944,ECU,Radical Liberal Party,,1920 Tamayo (PLR),ECU-PLR
Ecuador,PNR,1961,1963,ECU,,,1961 Arosemena Monroy (PNR),ECU-PNR
Ecuador,PRE,1996,1997,ECU,Roldosista Ecuadorian Party,,1996 Bucaram Ortiz (PRE),ECU-PRE
Ecuador,PSC,1984,1988,ECU,Social-Christian Party,,1984 Febres Cordero (PSC),ECU-PSC
Ecuador,PSP,2003,2005,ECU,Party Patriotic Society,,2003 Gutierrez (PSP),ECU-PSP
Ecuador,PUR,1992,1996,ECU,,,1992 Duran Ballen (PUR),ECU-PUR
Ecuador,VR,1932,1932,ECU,Revolutionary Socialist Vanguard,,1932 Freile Larrea (VR),ECU-VR
Egypt,ASU,1963,1978,EGY,,,,EGY-ASU
Egypt,HDW,1979,2008,EGY,,,1981 Mubarak (HDW),EGY-HDW
Egypt,LR,1952,1956,EGY,,,,EGY-LR
Egypt,NU,1957,1962,EGY,,,,EGY-NU
El Salvador,ARENA,1989,2008,SLV,,,1989 Cristiani (ARENA),SLV-ARENA
El Salvador,PCN,1962,1979,SLV,,,,SLV-PCN
El Salvador,PDC,1980,1989,SLV,Christian Democratic Party,,1980 Duarte (PDC),SLV-PDC
El Salvador,PND,1919,1931,SLV,Partido Nacional Democrático,,1919 J. Melendez (PND),SLV-PND
El Salvador,PPP,1931,1944,SLV,,,,SLV-PPP
El Salvador,PRUD,1950,1960,SLV,,,,SLV-PRUD
El Salvador,PT,1931,1931,SLV,,,1931 Araujo (PT),SLV-PT
Equatorial Guinea,PDGE,1988,2008,GNQ,Partido Democratico Guinea Ecuatorial,,,GNQ-PDGE
Equatorial Guinea,PUNT,1971,1979,GNQ,Worker’s National United Party,,,GNQ-PUNT
Eritrea,PFDJ,1993,2008,ERI,People's Front for Democracy and Justice,,1993 Afewerki (PFDJ),ERI-PFDJ
Estonia,Ansiedler,1925,1933,EST,,,,EST-Ansiedler
Estonia,Center,1932,1933,EST,,,,EST-Center
Estonia,EK,1992,1992,EST,,,1992 Vahi (EK),EST-EK
Estonia,EMRL,1919,1919,EST,Union of Rural People,,,EST-EMRL
Estonia,ER,1919,1933,EST,People’s Party,,1919 Tonisson (ER),EST-ER
