"country_short","country","party","name_short","name_english","party_otherlanguage","party_id","year_first","year_last","n","minister_first","partyfacts_id"
"AGO","Angola","unita","UNITA","National Union for the Total Independence of Angola",,"AGO-unita","1993","2008",16,"1993 Paulo Tjipilica (Minister of Justice)",2343
"ALB","Albania","ads","ADS","Democratic Alliance","Partia Aleanca Demokratike","ALB-ads","1998","1998",1,"1998 Perikli Teta (Minister of Public Order)",594
"ALB","Albania","independent","INDEPENDENT","independent","independent","ALB-independent","1992","2023",22,"1992 Abdyl Xhaja (Minister of Industry, Mining & Energy)",2569
"ALB","Albania","lsi","LSI","Socialist Movement for Integration",,"ALB-lsi","2010","2022",12,"2010 Ilir Meta (Dep. Prime Minister)",2297
"ALB","Albania","pa","PA","Agrarian Party / Environmentalist Agrarian Party","Partia Agrare / Partia Agrare Ambientaliste","ALB-pa","1998","2009",10,"1998 Lufter Xhuveli (Minister of Agriculture & Food)",840
"ALB","Albania","pad","PAD","Democratic Alliance Party","Partia Aleanca Demokratike","ALB-pad","1999","2001",3,"1999 Arben Demeti (Minister of Local Government)",594
"ALB","Albania","pbdn","PBDN","Unity for Human Rights Party","Partia Bashkimi per te Drejtat e Njeriut","ALB-pbdn","1998","2009",11,"1998 Leonard Solis (Minister of Health)",1636
"ALB","Albania","pdr","PDR","New Democratic Party","Partia Demokrate e Re","ALB-pdr","2006","2009",4,"2006 Genc Pollo (Minister of Education & Science)",1558
"ALB","Albania","pds","PDS","Democratic Party of Albania",,"ALB-pds","1991","2013",19,"1991 Gramoz Josip Pashko (Deputy Prime Minister, Council Of Ministers)",190
"ALB","Albania","pkdsh","PKDSH","Christian Democratic Party of Albania",,"ALB-pkdsh","1997","2009",4,"1997 Engjell Ndocaj (Minister of Culture, Youth & Women)",4715
"ALB","Albania","ppsh","PPSH","Party of Labour / Albanian Workers' Party",,"ALB-ppsh","1966","1990",25,"1966 Enver Hoxha (1st Secretary Of The Party Of Labour Of Albania)",4711
"ALB","Albania","prs","PRS","Republican Party of Albania",,"ALB-prs","1991","2013",11,"1991 Alfred Karamuco (Chairman, State Control Comn.)",819
"ALB","Albania","psd","PSD","Social Democratic Party of Albania",,"ALB-psd","1991","2005",14,"1991 Shefqet Muci (Minister of Justice)",838
"ALB","Albania","pss","PSS","Socialist Party of Albania",,"ALB-pss","1991","2023",20,"1991 Ramiz Alia (President)",1729
"ALB","Albania","usds","USDS","Social Democratic Union Party",,"ALB-usds","1995","1996",2,"1995 Teodor Laco (Minister of Culture, Youth & Sports)",838
"ARE","United Arab Emirates","independent","INDEPENDENT","independent","independent","ARE-independent","1972","2023",52,"1972 Zayid Ibn Sultan Al Nuhayan (President Of State)",7388
"ARG","Argentina","ar","AR","Action for the Republic","Acción por la República","ARG-ar","2001","2001",1,"2001 Domingo Cavallo (Minister of Economy)",6112
"ARG","Argentina","bf","BF","Broad Front","Frente Grande","ARG-bf","2000","2012",9,"2000 Carlos Alvarez (Vice President)",7743
"ARG","Argentina","cc","CC","Civic Coalition ARI","Coalición Cívica ARI","ARG-cc","2016","2016",1,"2016 Alfonso Prat-Gay (Minister of Treasury & Finance)",6159
"ARG","Argentina","independent","INDEPENDENT","independent","independent","ARG-independent","1966","2023",45,"1966 Juan C. Ongania (President)",2577
"ARG","Argentina","k","K","Kolina","Kolina","ARG-k","2011","2015",5,"2011 Alicia Kirchner De Mercado (Minister of Social Development)",8672
"ARG","Argentina","lib","LIB","Liberal Party of Corrientes","Partido Liberal de Corrientes","ARG-lib","1982","1983",2,"1982 Juan Aguirre Lanari (Minister of Foreign Relations & Worship)",5186
"ARG","Argentina","mid","MID","Integration and Development Movement","Movimiento de Integración y Desarrollo","ARG-mid","1993","1996",4,"1993 Oscar Camilion (Minister of Defense)",5122
"ARG","Argentina","ne","NE","New Encounter","Nuevo Encuentro","ARG-ne","2014","2015",2,"2014 Cecilia Rodriguez (Minister of Security)",6088
"ARG","Argentina","pdc","PDC","Christian Democratic Party","Demócrata Cristiano","ARG-pdc","1966","1966",1,"1966 Jorge N. Salimei (Minister of Economy)",5188
"ARG","Argentina","pj","PJ","Justicialist [Peronist] Party","Partido Justicialista","ARG-pj","1974","2023",34,"1974 Maria Estela Martinez De Peron (President)",623
"ARG","Argentina","pro","PRO","Republican Proposal","Propuesta Republicana","ARG-pro","2016","2019",4,"2016 Mauricio Macri (President)",1790
"ARG","Argentina","rf","RF","Renewal Front","Frente Renovador","ARG-rf","2020","2023",4,"2020 Mario Meoni (Minister of Transportation)",
"ARG","Argentina","ucd","UCD","Union of the Democratic Centre",,"ARG-ucd","2010","2015",6,"2010 Amado Boudou (Minister of Economy & Public Finance)",4182
"ARG","Argentina","ucr","UCR","Radical Civic Union",,"ARG-ucr","1984","2019",18,"1984 Raul Alfonsin (President)",1724
"ARG","Argentina","ucrp","UCRP","Radical Civic Union for the People",,"ARG-ucrp","1971","1972",2,"1971 Arturo Mor Roig (Minister of Interior)",8289
"ARG","Argentina","upl","UPL","Union for Freedom",,"ARG-upl","2018","2019",2,"2018 Patricia Bullrich (Minister of Security)",8673
"ARM","Armenia","bhk","BHK","Prosperous Armenia Party",,"ARM-bhk","2003","2018",8,"2003 Ara Aramyan (Minister of Urban Planning)",4205
"ARM","Armenia","hhd","HHD","Armenian Revolutionary Federation","Hay Heghapokhakan Dashnaktsutyun","ARM-hhd","1998","2018",13,"1998 Levon Mkrtchyan (Minister of Education & Science)",2020
"ARM","Armenia","hhk","HHK","Republican Party of Armenia","Hayastani Hanrapetakan Kusaktsutyun","ARM-hhk","1992","2017",25,"1992 Vazgen Sarkisyan (Minister of Defense)",2013
"ARM","Armenia","hhs","HHS","Pan-Armenian National Movement","Hayots Hamazgain Sharzhum","ARM-hhs","1992","1998",7,"1992 Levon Ter-Petrossian (President)",4365
"ARM","Armenia","independent","INDEPENDENT","independent","independent","ARM-independent","1992","2023",32,"1992 Gagik Harutyunyan (Vice President)",2582
"ARM","Armenia","kp","KP","Civil Contract","Kaghakatsiakan Paymanagir","ARM-kp","2018","2023",6,"2018 Nikol Pashinyan (Prime Min.)",
"ARM","Armenia","oekhv","OEKHV","Rule of Law / Armenian Renaissance",,"ARM-oekhv","2003","2016",12,"2003 Artur Bagdasaryan (Speaker Of Parliament)",2007
"AUS","Australia","acpnpa","ACPNPA","Australian Country Party / National Party of Australia","Australian Country Party / National Party of Australia","AUS-acpnpa","1966","2021",34,"1966 J. Mcewen (Dep. Prime Min.)",1743
"AUS","Australia","alp","ALP","Australian Labor Party","Australian Labor Party","AUS-alp","1973","2023",24,"1973 E. Gough Whitlam (Prime Minister)",424
"AUS","Australia","clp","CLP","Country Liberal Party","Country Liberal Party","AUS-clp","2014","2018",5,"2014 Nigel Gregory Scullion (Min. For Indigenous Affairs)",143
"AUS","Australia","independent","INDEPENDENT","independent","independent","AUS-independent","1975","2023",42,"1975 John R. Kerr (Governor General)",2586
"AUS","Australia","lpa","LPA","Liberal Party of Australia","Liberal Party of Australia","AUS-lpa","1966","2021",36,"1966 Lord Casey (Governor General)",486
"AUT","Austria","bzo","BZO","Alliance for the Future of Austria","Bündnis Zukunft Österreich","AUT-bzo","2005","2006",2,"2005 Hubert Gorbach (Vice Chancellor)",599
"AUT","Austria","fpo","FPO","Freedom Party of Austria","Freiheitliche Partei Österreichs","AUT-fpo","1983","2018",10,"1983 Norbert Steger (Vice Chancellor)",463
"AUT","Austria","gruene","GRUENE","The Greens -- The Green Alternative","Die Grünen  Die grüne Alternative","AUT-gruene","2017","2023",7,"2017 Alexander Van Der Bellen (President)",1659
"AUT","Austria","independent","INDEPENDENT","independent","independent","AUT-independent","1966","2023",48,"1966 Hans Klecatsky (Minister of Justice)",2589
"AUT","Austria","ovp","OVP","Austrian People's Party","Österreichische Volkspartei","AUT-ovp","1966","2023",42,"1966 Josef Klaus (Chancellor)",1329
"AUT","Austria","spo","SPO","Social Democratic Party of Austria","Sozialdemokratische Partei Österreichs","AUT-spo","1966","2017",47,"1966 Franz Jonas (President)",1384
"AZE","Azerbaijan","axc","AXC","Azerbaijan Popular Front","Azerbaycan Xalq Cebhesi","AZE-axc","1992","1993",2,"1992 Ebulfez Elcibey (President)",1992
"AZE","Azerbaijan","independent","INDEPENDENT","independent","independent","AZE-independent","1992","2023",32,"1992 Rakhim Guseynov (Prime Min.)",2593
"AZE","Azerbaijan","mdp","MDP","Muslim Democratic Party","Yeni Musavat Partesi","AZE-mdp","1992","1992",1,"1992 Isa Gambarov (Chairman, National Parliament)",7050
"AZE","Azerbaijan","vhp","VHP","Civil Solidarity Party","Vatandas Hamrayliyi Partiyasi","AZE-vhp","1994","1995",2,"1994 Sabir Rustemhanli (Minister of Information)",1994
"AZE","Azerbaijan","yap","YAP","New Azerbaijan Party","Yeni Azerbaycan Partiyasi","AZE-yap","1993","2023",31,"1993 Heydar Aliyev (Chairman, Supreme Soviet)",1995
"BDI","Burundi","abasa","ABASA","African-Burundese Alliance for Salvation",,"BDI-abasa","2002","2005",4,"2002 Edouard Kadigiri (Minister of Finance)",
"BDI","Burundi","anadde","ANADDE","National Alliance for Law and Development",,"BDI-anadde","2002","2005",4,"2002 Alphonse Barancira (Minister of Institutional Reforms, Human Rights & Relations With Parliament)",
"BDI","Burundi","cndd","CNDD","National Council for the Defense of Democracy",,"BDI-cndd","1994","2005",5,"1994 Leonard Nyangoma (Minister of State For The Interior & Public Security)",
"BDI","Burundi","cnddfdd","CNDDFDD",,,"BDI-cnddfdd","1994","2023",26,"1994 Bernard Ciza (Minister of State For Plan, Development & Finance)",5266
"BDI","Burundi","fnl","FNL","National Liberation Forces",,"BDI-fnl","2003","2019",5,"2003 Rudolph Baranyizigiye (Minister of Youth, Sports & Culture)",
"BDI","Burundi","frodebu","FRODEBU","Front for Democracy in Burundi",,"BDI-frodebu","1993","2015",22,"1993 Melchior Ndadaye (President)",5265
"BDI","Burundi","independent","INDEPENDENT","independent","independent","BDI-independent","1966","2023",31,"1966 Mwambutsa Iv (Mwami /King)",4914
"BDI","Burundi","inkinzo","INKINZO","Guarantor of Freedom of Speech in Burundi","Inkinzo y'Ijambo Ry'abarundi","BDI-inkinzo","1994","2007",8,"1994 Alphonse Rugambarara (Minister of Culture, Youth & Sports)",4916
"BDI","Burundi","pit","PIT","Independent Workers' Party","Parti Indépendent de Travailleurs","BDI-pit","1994","2003",5,"1994 Nicephore Ndimurukundo (Minister of Primary Education)",
"BDI","Burundi","pp","PP","People's Party","Parti du Peuple","BDI-pp","1993","2005",6,"1993 Shaddrack Niyonkuru (Minister of Transportation, Posts & Telecommunications)",6571
"BDI","Burundi","prp","PRP","People's Reconciliation Party",,"BDI-prp","2002","2005",4,"2002 Mathias Hitimana (Minister of Energy & Mines)",
"BDI","Burundi","psd","PSD","Social-Democratic Party",,"BDI-psd","2002","2005",4,"2002 Godefroid Hakizimana (Minister of Handicrafts, Vocational Training & Adult Literacy)",
"BDI","Burundi","raddes","RADDES","Rally for Democracy and Economic and Social Development",,"BDI-raddes","1994","2005",7,"1994 Joseph Nzeyimana (Minister of Commerce & Industry)",8915
"BDI","Burundi","rpb","RPB","Burundi People's Rally","Rassemblement du Peuple Burudien","BDI-rpb","1993","2005",7,"1993 Ernest Kabushemeye (Minister of Natural Resources, Environment & Territorial Management)",8916
"BDI","Burundi","uprona","UPRONA","Union for National Progress",,"BDI-uprona","1966","2023",57,"1966 Michel Micombero (Prime Minister, Civil Service)",5263
"BEL","Belgium","aglgr","AGLGR","Agalev -- Green",,"BEL-aglgr","2000","2023",10,"2000 Magda Aelvoet (Minister of Customer Affairs, Health & Environment)",528
"BEL","Belgium","bsppsb","BSPPSB","Belgian Socialist Party","Belgische Socialistische Partij // Parti Socialiste Belge","BEL-bsppsb","1968","1979",9,"1968 Joseph Merlot (Vice Prime Min. & Minister of Economic Affairs)",480
"BEL","Belgium","cdh","CDH","Humanist Democratic Centre",,"BEL-cdh","2008","2014",7,"2008 Joelle Milquet (Vice Prime Min.)",633
"BEL","Belgium","cdv","CDV","Christian Democrats and Flemish",,"BEL-cdv","2008","2023",16,"2008 Yves Leterme (Prime Min.)",604
"BEL","Belgium","cdvnva","CDVNVA","Christian-Democrat and Flemish / New Flemish Alliance",,"BEL-cdvnva","2008","2011",3,"2008 Jo Vandeurzen (Vice Prime Min.)",756
"BEL","Belgium","cvp","CVP","Christian Peoples' Party [Daens]","Christene Volkspartij","BEL-cvp","1966","1999",34,"1966 Paul Vanden Boeynants (Prime Minister)",622
"BEL","Belgium","ecolo","ECOLO","Confederated ecologists for the organisation of original struggles",,"BEL-ecolo","2000","2023",6,"2000 Isabelle Durant (Vice Prime Min.)",1563
"BEL","Belgium","fdf","FDF",,"Democratic Front of Francophones","BEL-fdf","1977","2009",4,"1977 Leon Defosset (Minister of Brussels Affairs & Posts & Telecommunications)",698
"BEL","Belgium","independent","INDEPENDENT","independent","independent","BEL-independent","1966","2023",57,"1966 Baudouin I (King)",2607
"BEL","Belgium","lppl","LPPL","Liberal Party",,"BEL-lppl","1966","1967",2,"1966 Willy De Clercq (Vice Premier & Minister of Budget)",275
"BEL","Belgium","mr","MR","Reformist Movement",,"BEL-mr","2003","2023",21,"2003 Alain Zenner (Sec. Of State For Energy & Sustainable Development)",789
"BEL","Belgium","nva","NVA","New Flemish Alliance",,"BEL-nva","2015","2018",4,"2015 Jan Jambon (Dep. Prime Min.)",36
"BEL","Belgium","plp","PLP","Party for Freedom and Progress",,"BEL-plp","1973","1976",4,"1973 Michel Toussaint (Minister of French Education)",49
"BEL","Belgium","prl","PRL","Liberal Reformist Party",,"BEL-prl","1974","2003",14,"1974 Jean Defraigne (Minister of Public Works)",554
"BEL","Belgium","ps","PS","Socialist Party [Francophone]","Parti Socialiste","BEL-ps","1977","2023",35,"1977 Jacques Hoyaux (Sec. Of State For Institutional Reform (Walloon))",500
"BEL","Belgium","psc","PSC","Francophone Christian Social Party",,"BEL-psc","1966","2009",35,"1966 Yves Urbain (Min-Secretary Of State For Regional Development & Assistant To Prime Minister)",633
"BEL","Belgium","pvvovld","PVVOVLD","Party of Liberty and Progress -- Open Flemish Liberals and Democrats",,"BEL-pvvovld","1966","2023",40,"1966 August De Winter (Minister of Foreign Commerce)",49
"BEL","Belgium","rw","RW","Walloon Rally","Rassemblement Wallon","BEL-rw","1974","1976",3,"1974 Francois Perin (Minister of Institutional Reform (Walloon))",281
"BEL","Belgium","spa","SPA","Socialist Party Differently","Socialistische Partij Anders","BEL-spa","1979","2023",29,"1979 Willy Claes (Vice Prime Minister)",1680
"BEL","Belgium","spaspirit","SPASPIRIT","Socialist Party Different / Social Liberal Party / Spirit",,"BEL-spaspirit","2005","2007",3,"2005 Bruno Tobback (Minister of The Environment & Pensions)",1586
"BEL","Belgium","spirit","SPIRIT","Social Liberal Party",,"BEL-spirit","2004","2004",1,"2004 Bert Anciaux (Minister of Mobility & Social Economy)",7015
"BEL","Belgium","vu","VU","People's Union [Flemish Concentration]","Volksunie [Vlaamse Concentratie]","BEL-vu","1977","1991",6,"1977 Hektor De Bruyne (Minister of Foreign Trade)",1424
"BEN","Benin","abt","ABT","Alliance for a Triumphant Benin",,"BEN-abt","2016","2020",5,"2016 Abdoulaye Bio Tchane (Minister of State Charged With Planning & Development)",
"BEN","Benin","ac","AC","Cameleon Alliance",,"BEN-ac","2016","2019",4,"2016 Joseph Djogbenou (Minister of Justice, Legislation & Keeper Of The Seals)",
"BEN","Benin","add","ADD","Alliance for Democracy and Development",,"BEN-add","1991","1995",5,"1991 Karim Dramane (Minister of Culture, Youth & Sports)",7071
"BEN","Benin","adp","ADP","Alliance for Democracy and Progress",,"BEN-adp","1998","2002",5,"1998 Sylvain Adekpedjou Akindes (Minister of Environment, Housing & City Planning)",7051
"BEN","Benin","afp","AFP","Alliance of the Forces of Progress",,"BEN-afp","1999","2005",7,"1999 Valentin Aditi Houde (Minister of Youth, Sports & Recreation)",8871
"BEN","Benin","amana","AMANA","Amana Alliance","Alliance Amana","BEN-amana","2011","2015",5,"2011 Nassirou Arifari Bako (Minister of Foreign Affairs, African Integration, Francophonie & Beninese Diaspora)",
"BEN","Benin","and","AND","National Alliance for Development and Democracy",,"BEN-and","2016","2019",4,"2016 Barnabe Dassigli (Minister of Decentralization & Local Governance)",
"BEN","Benin","br","BR","Republican Bloc",,"BEN-br","2018","2023",6,"2018 Modeste Kerekou (Minister of Small & Medium-Scale Businesses & Employment)",
"BEN","Benin","cds","CDS","Congress for Development and Solidarity",,"BEN-cds","2010","2015",4,"2010 Ake Natonde (Minister of Secondary Education, Vocational Training & Technical Training)",
"BEN","Benin","fard","FARD","Action Front for Renewal and Development",,"BEN-fard","1996","2010",12,"1996 Jerome Sacca Kina (Minister of Rural Development)",4089
"BEN","Benin","fc","FC","Key Force",,"BEN-fc","2016","2016",1,"2016 Lazare Sehoueto (Minister of Industry, Commerce & Artisans)",6190
"BEN","Benin","fcbe","FCBE","Cowry Forces for an Emerging Benin",,"BEN-fcbe","2007","2015",7,"2007 Jean-Alexandre Hountoundji (Min. In Charge Of Relations With Institutions & Spokesman For The Govt.)",2300
"BEN","Benin","independent","INDEPENDENT","independent","independent","BEN-independent","1966","2023",41,"1966 Christophe Soglo (President)",2611
"BEN","Benin","ipd","IPD","Impulse for Democracy and Progress","Impulsion","BEN-ipd","1991","2002",9,"1991 Theophile Nata (Minister of Foreign Affairs & Cooperation)",8870
"BEN","Benin","madep","MADEP","African Movement for Democracy and Progress",,"BEN-madep","2001","2020",5,"2001 Antoine Kolawole Idji (Minister of Foreign Affairs & African Integration)",5900
"BEN","Benin","mndd","MNDD","National Republican Movement for Democracy and Development",,"BEN-mndd","1994","1995",2,"1994 Alassane Tigri (Minister of Youth & Sports)",7053
"BEN","Benin","ncc","NCC","Our Common Cause","Notre Cause Commune","BEN-ncc","1996","1998",3,"1996 Albert Tevoedjre (Minister of Plan, Economic Restructuration & Promotion Of Employment)",3836
"BEN","Benin","nrc","NRC","New Consciousness Rally","Nouveau Rassemblement de Conscience","BEN-nrc","2016","2019",4,"2016 Pascal Koupaki (Minister of State & Sec. Gen. Of The Presidency)",
"BEN","Benin","pcb","PCB","Communist Party of Benin","Parti Communiste du Benin","BEN-pcb","1995","1995",1,"1995 Magloire Gnanssounou (Minister of Justice & Legislation)",3828
"BEN","Benin","prd","PRD","Democratic Renewal Party",,"BEN-prd","1996","2023",5,"1996 Adrien Houngbedji (Prime Min.)",2365
"BEN","Benin","prdng","PRDNG","Party of New Generation Democrats Renewal",,"BEN-prdng","2001","2005",5,"2001 Kamarou Fassassi (Minister of Energy, Mining & Water Resources)",
"BEN","Benin","prpb","PRPB","People's Revolutionary Party of Benin",,"BEN-prpb","1976","1990",15,"1976 Mathieu Kerekou (President, Chief Of State & Chief Of Government Charged With Natl. Defense)",5413
"BEN","Benin","ps","PS","Salvation Party","Parti du Salut","BEN-ps","1996","2005",10,"1996 Damien Zinsou Alahassa (Minister of Youth, Sports & Leisure)",5921
"BEN","Benin","psd","PSD","Social Democratic Party",,"BEN-psd","1996","2002",6,"1996 Felix Adimi (Minister of Industry, Small & Medium Enterprises)",2368
"BEN","Benin","rb","RB","Benin Rebirth Party",,"BEN-rb","1991","2021",12,"1991 Nicephore Soglo (President)",3831
"BEN","Benin","rdlpn","RDLPN","Liberal Democrats' Rally for National Reconstruction-Vivotene","Rassemblement des Democrates Liberaux pour le Reconstruction Nationale","BEN-rdlpn","1996","2000",5,"1996 Severin Adjovi (Min. Del. To The President Charged With National Defense)",3839
"BEN","Benin","udbn","UDBN","Union for the Development of a New Benin",,"BEN-udbn","2007","2015",9,"2007 Pascal Koupaki (Minister of State In Charge Of The Economy, Economic Forecasting, Development & Evaluations Of Public Action)",8869
"BEN","Benin","udd","UDD","Democratic Dahomean Union",,"BEN-udd","2015","2015",1,"2015 Francoise Assogba (Minister of Industry, Trade & Small & Medium Business)",4719
"BEN","Benin","udns","UDNS","Union for Democracy and National Solidarity",,"BEN-udns","1991","2020",10,"1991 Adamou Ndiaye (Minister of Rural Development & Cooperatives)",4090
"BEN","Benin","undp","UNDP","National Union for Democracy and Progress",,"BEN-undp","1992","1995",4,"1992 Robert Tagnon (Minister of Planning & Economic Reconstruction)",4091
"BEN","Benin","unsp","UNSP","National Union for Solidarity and Progress",,"BEN-unsp","1995","1995",1,"1995 Zoumarou Wallis (Minister of Industry & Promotion Of Small & Mid-Sized Businesses)",7052
"BEN","Benin","up","UP","Progressive Union",,"BEN-up","2018","2023",6,"2018 Aurelie Adam Soule (Minister of Communications & Digital Technology)",
"BFA","Burkina Faso","cdp","CDP","Congress for Democracy and Progress",,"BFA-cdp","1997","2021",21,"1997 Blaise Compaore (Head Of State, Head Of Government & Chairman, Popular Front)",4313
"BFA","Burkina Faso","fp","FP","Popular Front","Popular Front","BFA-fp","1992","1996",5,"1992 Blaise Compaore (Head Of State, Head Of Government & Chairman, Popular Front)",6415
"BFA","Burkina Faso","independent","INDEPENDENT","independent","independent","BFA-independent","1966","2023",25,"1966 Sangoule Lamizana (President)",3569
"BFA","Burkina Faso","mpp","MPP","People's Movement for Progress",,"BFA-mpp","2015","2023",9,"2015 Rene Bagoro (Minister of Housing & Urbanization)",5769
"BFA","Burkina Faso","odpmt","ODPMT","Organization for People's Democracy-Labor Movement",,"BFA-odpmt","1988","1991",4,"1988 Blaise Compaore (Chairman Of The Popular Front, Head Of State & Head Of Government)",6416
"BFA","Burkina Faso","udvrda","UDVRDA","Voltaic Democratic Union / African Democratic Rally",,"BFA-udvrda","1971","2015",11,"1971 Gerard Kango Ouedraogo (Prime Min. & Minister of Veterans Affairs)",5774
"BFA","Burkina Faso","unirps","UNIRPS","Union for Rebirth / Sankarist Party",,"BFA-unirps","2016","2021",6,"2016 Sommanogo Koutou (Minister of Animal Resources & Fisheries)",5768
"BGD","Bangladesh","baksal","BAKSAL",,,"BGD-baksal","1975","1975",1,"1975 Mujibur Rahman (President)",5790
"BGD","Bangladesh","bal","BAL","Bangladesh Awami League","Bangladesh Awami Lig","BGD-bal","1972","2023",33,"1972 Abu Sayeed Chowdhury (President)",2299
"BGD","Bangladesh","bnp","BNP","Bangladesh Nationalist Party","Bangladesh Jatiyotabadi Dol","BGD-bnp","1976","2006",25,"1976 Abu Sadat Mohammed Sayem (President)",3782
"BGD","Bangladesh","cpbml","CPBML",,,"BGD-cpbml","2009","2013",5,"2009 Dilip Barua (Minister of Industries)",8680
"BGD","Bangladesh","independent","INDEPENDENT","independent","independent","BGD-independent","1982","2023",27,"1982 Hussain Mohammad Ershad (Chief Martial Law Administrator)",2598
"BGD","Bangladesh","jd","JD","Jatiya Party (Ershad) National Party (Ershad)",,"BGD-jd","1985","1995",11,"1985 Anisul Islam Mahmud (Minister of Labor & Manpower)",2341
"BGD","Bangladesh","jeb","JEB","Bangladesh Jamaat-e-Islami",,"BGD-jeb","1988","2006",6,"1988 Mufti Maulana Mohammad Wakkas (Minister of Religious Affairs)",2340
"BGD","Bangladesh","jp","JP","Jatiya Party (Manju)",,"BGD-jp","1986","2018",16,"1986 M. A. Matin (Minister of Communications)",7673
"BGD","Bangladesh","jsd","JSD","Jasad National Socialist Party","Jatiya Samajtantric Dal","BGD-jsd","1997","2018",11,"1997 A. S. M. Abdur Rob (Minister of Shipping)",3777
"BGD","Bangladesh","nap","NAP","Bangladesh National Awami Party - Bangladesh NAP",,"BGD-nap","1986","1987",2,"1986 Shafiqul Ghani Swapan (Minister of Civil Aviation & Tourism)",3781
"BGD","Bangladesh","wpb","WPB","Workers Party of Bangladesh",,"BGD-wpb","2014","2017",4,"2014 Rashed Khan Menon (Minister of Civil Aviation & Tourism)",7519
"BGR","Bulgaria","abv","ABV","Alternative for Bulgarian Revival","Alternativa za balgarsko vazrazhdane","BGR-abv","2015","2015",1,"2015 Ivaylo Kalfin (Dep. Prime Min. In Charge Of Demographic & Social Policy)",3187
"BGR","Bulgaria","bcp","BCP","Bulgarian Communist Party","Bëlgarska Komunisticeska Partija (BKP)","BGR-bcp","1966","1989",24,"1966 Todor Zhivkov (Chmn., Council Of Ministers)",6754
"BGR","Bulgaria","bng","BNG","Bulgaria for Citizens Movement","Dvizhenie ""Bulgariya na grazhdanite""","BGR-bng","2015","2016",2,"2015 Meglena Kuneva (Dep. Prime Min. In Charge Of European Policies & Institutional Issues)",2058
"BGR","Bulgaria","bsdp","BSDP","Party of Bulgarian Social Democrats","Partiya Balgarski Sotsialdemokrati","BGR-bsdp","1994","1994",1,"1994 Petur Kornazhev (Minister of Justice)",661
