country,partyfacts_id,wikidata_id,name,name_short,name_native
AND,4208,Q5255677,Democratic Party,PD,Partit Demòcrata
AND,3675,Q24866,Social Democratic Party,PS,Partit Socialdemòcrata
AND,3674,Q3775933,Democratic Renewal,RD,Renovació Democràtica
AND,5875,Q19843090,Social Democracy and Progress,SDP,Socialdemocràcia i Progrés
AND,3708,Q24864,Lauredian Union,UL,Unió Laurediana
AND,3673,Q1257276,Liberal Party of Andorra,Liberals,Liberals d'Andorra
AND,3676,Q2720389,Greens of Andorra,VA,Els Verds d'Andorra
AGO,3556,Q1129430,Broad Convergence for the Salvation of Angola,,
AGO,5131,Q907051,National Liberation Front of Angola,FNLA,Frente Nacional de Libertação de Angola
AGO,2298,Q28551,People's Movement for the Liberation of Angola,MPLA,
AGO,2342,Q1674856,Social Renewal Party,,Partido de Renovação Social
AGO,5136,Q2613567,Liberal Democratic Party,,
AGO,2343,Q28699,National Union for the Total Independence of Angola,,União Nacional para a Independência Total de Angola
AIA,3872,Q2838205,Anguilla National Alliance,,
AIA,6432,Q4763978,Anguilla United Front,,
AIA,3870,Q4763979,Anguilla United Movement,,
AIA,6923,Q4763976,Anguilla Progressive Party,,
ATG,4144,Q1277738,Antigua and Barbuda Labour Party,ABLP,
ATG,4152,Q4774783,Antigua Caribbean Liberation Movement,,
ATG,4145,Q4774789,Antigua People's Party,,
ATG,5552,Q3038017,Barbuda People's Movement,BPM,
ATG,4151,Q7248757,Progressive Labour Movement,,
ATG,4149,Q7888291,United National Democratic Party,,
ATG,4148,Q7889038,United People's Movement,,
ATG,4150,Q1285399,United Progressive Party,UPP,
ARG,6112,Q4677212,Action for the Republic,,Acción por la República
ARG,1215,Q1104292,Civic Coalition ARI,CC/ARI,Coalición Cívica ARI
ARG,6116,Q4732411,"Alliance for Work, Justice and Education",ALIANZA,"Alianza para el Trabajo, la Justicia y la Educación"
ARG,7049,Q64590412,Juntos por el Cambio,JxC,Juntos por el Cambio
ARG,6159,Q1104292,Civic Coalition ARI,CC/ARI,Coalición Cívica ARI
ARG,2529,Q5152905,Commitment to Change,,Compromiso para el Cambio
ARG,5088,Q5158911,Concordancia,,Concordancia
ARG,8672,Q5957490,Kolina,,Corriente de Liberación Nacional
ARG,5188,Q2723953,Christian Democratic Party,PDC,Partido Demócrata Cristiano
ARG,7747,Q5668474,Federal Commitment,,Compromiso Federal
ARG,6161,Q1455518,Broad Progressive Front,FAP,Frente Amplio Progresista
ARG,7975,Q3088428,Civic Front for Santiago,,Frente Cívico por Santiago
ARG,6649,Q598744,Workers' Left Front - Unity,FIT/U,Frente de Izquierda y de los Trabajadores – Unidad
ARG,7743,Q4971885,Broad Front,,Frente Grande
ARG,8059,Q1053668,Justicialist Party,PJ,Partido Justicialista
ARG,2530,Q1072438,Front for Victory,FPV,Frente para la Victoria
ARG,5553,Q359209,Front for a Country in Solidarity,FREPASO,Frente País Solidario
ARG,6554,Q7248613,"Progressive, Civic and Social Front",FPCyS,"Frente Progresista, Cívico y Social"
ARG,6160,Q15120034,Renewal Front,FR,Frente Renovador
ARG,8735,Q5505872,Party of Social Concord,,Frente Renovador de la Concordia Social
ARG,8128,Q5923742,United Left,,
ARG,5122,Q6043223,Integration and Development Movement,MID,Movimiento de Integración y Desarrollo
ARG,868,Q7002024,Neuquén People's Movement,MPN,Movimiento Popular Neuquino
ARG,4181,Q1951198,Movement for Dignity and Independence,MODIN,Movimiento por la Dignidad y la Independencia
ARG,1210,Q8034747,Workers' Socialist Movement,MST,Movimiento Socialista de los Trabajadores
ARG,5192,Q832930,National Autonomist Party,PAN,Partido Autonomista Nacional
ARG,5121,Q8034724,Workers' Party,PO,Partido Obrero
ARG,832,Q2358124,Communist Party of Argentina,PC/PCA,Partido Comunista de la Argentina
ARG,7745,Q2061671,Communist Party of Argentina (Extraordinary Congress),PCCE,Partido Comunista (Congreso Extraordinario)
ARG,8865,Q6064564,Partido de la Victoria,,Partido de la Victoria
ARG,5187,Q5255687,Democratic Party,PD,Partido Demócrata de Mendoza
ARG,5085,Q832976,National Democratic Party,PDN,Partido Demócrata Nacional
ARG,5112,Q287777,Democratic Progressive Party,PDP,Partido Demócrata Progresista
ARG,6040,Q5440327,Federal Party (1973),,Partido Federal
ARG,4180,Q5939363,Humanist Party of Argentina,,Partido Humanista
ARG,4183,Q2917600,Intransigent Party,PI,Partido Intransigente
ARG,623,Q1053668,Justicialist Party,PJ,Partido Justicialista
ARG,5193,Q833103,Labour Party,,Partido Laborista
ARG,5186,Q6540766,Liberal Party of Corrientes,PL/PLC/PLCo,Partido Liberal de Corrientes
ARG,8082,Q8034724,Workers' Party,PO,Partido Obrero
ARG,1365,Q1813766,Socialist Party,PS,Partido Socialista
ARG,6426,Q833479,Independent Socialist Party,PSI,
ARG,4204,Q4994345,Federalist Unity Party,,
ARG,6648,Q5440334,Federal Peronism,,Peronismo Federal
ARG,1790,Q1507720,Republican Proposal,PRO,Propuesta Republicana
ARG,8083,Q7252913,Proyecto Sur,,Proyecto Sur
ARG,1116,Q962693,Recreate for Growth,,Recrear para el Crecimiento
ARG,5194,Q833458,Democratic Socialist Party,,
ARG,7664,Q30841057,Citizen's Unity,UC,
ARG,7188,Q833644,National Civic Union,,Unión Cívica Nacional
ARG,1724,Q123585,Radical Civic Union,UCR,Unión Cívica Radical
ARG,5087,Q833748,Intransigent Radical Civic Union,UCRI,Unión Cívica Radical Intransigente
ARG,4182,Q1795235,Union of the Democratic Centre,UCD/UCeDé,Unión del Centro Democrático
ARG,5086,Q7896914,Unión Popular,UPF,Unión Popular Federal
ARG,8736,Q4732336,Union for Córdoba,,Unión por Córdoba
ARM,2008,Q687937,Justice,,
ARM,2010,Q868894,Union for National Self-Determination,,
ARM,2011,Q4314930,National Unity,,Ազգային միաբանություն
ARM,2009,Q6972251,National Democratic Union,AZhM,Ազգային ժողովրդավարական միություն
ARM,4205,Q887193,Prosperous Armenia,,Բարգավաճ Հայաստան Կուսակցություն
ARM,7507,Q27972481,Bright Armenia,,Լուսավոր Հայաստան
ARM,8012,Q5154330,Communist Party of Armenian Soviet Socialist Republic,,Հայաստանի կոմունիստական կուսակցություն
ARM,2012,Q4393593,Republic,,Հանրապետություն
ARM,2013,Q1144610,Republican Party of Armenia,,Հայաստանի Հանրապետական Կուսակցություն
ARM,2018,Q682280,Armenian Communist Party,,Hayastani Komunistakan Kusaktsutyun
ARM,4539,Q284853,Armenian National Congress,,Հայ Ազգային Կոնգրես
ARM,2020,Q318657,Armenian Revolutionary Federation,,Հայ Յեղափոխական Դաշնակցութիւն
ARM,4365,Q683458,Pan-Armenian National Movement,ՀՀՇ,Հայոց Համազգային Շարժում
ARM,3783,Q1348278,Heritage,,Ժառանգություն
ARM,7508,Q58353776,My Step Alliance,,
ARM,7754,Q17305307,Civil Contract,,Քաղաքացիական Պայմանագիր
ARM,2016,Q3366799,United Labour Party,,Միավորված աշխատանքային կուսակցություն
ARM,7800,Q59315322,Mission Party,,Առաքելություն կուսակցություն
ARM,2007,Q1346313,Rule of Law,,Օրինաց երկիր
ARM,8804,Q31195347,Tsarukyan Alliance,,
ARM,8367,Q16888205,People's Party,,
ABW,5516,Q1288119,Aruban People's Party,,Arubaanse Volkspartij (Dutch)
ABW,5519,Q7300885,Real Democracy Party,,Democracia Real
ABW,5518,Q1288512,People's Electoral Movement,,Movimiento Electoral di Pueblo
ABW,5517,Q12333047,Network of Electoral Democracy,,Democratisch Netwerk (Dutch)
AUS,1743,Q946040,National Party of Australia,NP/NPA,National Party of Australia
AUS,777,Q946040,National Party of Australia,NP/NPA,National Party of Australia
AUS,990,Q781392,Australian Democrats,AD,
AUS,1209,Q781486,Australian Greens,,
AUS,424,Q216082,Australian Labor Party,ALP,Australian Labor Party
AUS,3772,Q2054871,Democratic Labour Party,DLP,Democratic Labor Party
AUS,6918,Q6508513,Australian Labor Party (New South Wales Branch),,
AUS,1572,Q781552,Australian Labor Party (Non-Communist),ALP/N/C,
AUS,6915,Q55604512,Australian Labor Party (Queensland Branch),,
AUS,6917,Q21003570,Australian Labor Party (South Australian Branch),,
AUS,1756,Q781308,Australia Party,,
AUS,323,Q745466,Christian Democratic Party,,
AUS,451,Q1065320,Coalition,,
AUS,1999,Q1117010,Liberal Party,,
AUS,143,Q2496080,Country Liberal Party,CLP,
AUS,1263,Q1395400,Family First Party,,
AUS,663,Q1453449,Free Trade Party,,
AUS,1997,Q6378340,Katter's Australian Party,KAP,
AUS,248,Q3282553,Lang Labor,,
AUS,1642,Q23198434,Liberal Party of Australia (South Australian Division),,Liberal Party of Australia (South Australian Division)
AUS,285,Q1822905,Liberal National Party of Queensland,LNP,
AUS,1998,Q3366483,Liberal Party,,
AUS,486,Q241149,Liberal Party of Australia,LP/LPA,Liberal Party of Australia
AUS,6916,Q24089899,National Defence League,,
AUS,338,Q1516976,Nationalist Party of Australia,,
AUS,1736,Q839205,National Labor Party,,
AUS,5453,Q19876280,Centre Alliance,,
AUS,1162,Q1585274,One Nation,,
AUS,1996,Q15130081,United Australia Party,UAP,
AUS,7012,Q2063859,Pauline's United Australia Party,,
AUS,454,Q1324190,Protectionist Party,,
AUS,2104,Q55604512,Queensland Labor Party,,
AUS,505,Q7455840,Services Party of Australia,,
AUS,672,Q7603393,State Labor Party,,
AUS,566,Q1728956,United Australia Party,UAP,
AUS,1411,Q19876086,National Party of Australia – Victoria,,
AUS,388,Q17030656,Victorian Farmers' Union,,
AUS,1058,Q3366259,Western Australian Party,,
AUT,599,Q653833,Alliance for the Future of Austria,,Bündnis Zukunft Österreich
AUT,439,Q1828139,Citizens' Forum Austria,,
AUT,7711,Q341148,Czech Social Democratic Party,ČSSD,Česká strana sociálně demokratická
AUT,3678,Q692131,Christian Social Party,,Christlichsoziale Partei
AUT,346,Q1186163,Democratic Progressive Party,,
AUT,6170,Q277915,Landbund,,
AUT,6169,Q1204390,German People's Party,,Deutsche Volkspartei
AUT,1935,Q16943719,Deutsche Nationalpartei (Österreich),,Deutschnationale Partei
AUT,1659,Q193178,Die Grünen,,Die Grünen – Die Grüne Alternative
AUT,2991,Q15705373,The Reform Conservatives,,Die Reformkonservativen (REKOS&nbsp;– Liste Ewald Stadler)
AUT,1500,Q8934466,The Independents (Austria),,
AUT,8223,Q39073104,Federalist Party,,Föderalistischepartei
AUT,463,Q131692,Austrian Freedom Party,FPÖ,Freiheitliche Partei Österreichs
AUT,1917,Q698101,Greater German People's Party,,
AUT,3304,Q1595552,Heimwehr,,
AUT,996,Q161118,Communist Party of Austria,,Kommunistische Partei Österreichs
AUT,1916,Q277915,Landbund,,
AUT,605,Q699381,Liberal Forum,,Liberales Forum
AUT,1708,Q688387,Hans-Peter Martin's List,,Liste Hans-Peter Martin
AUT,6137,Q34198369,NOW – Pilz List,JETZT,JETZT – Liste Pilz
AUT,6138,Q39049684,My Vote Counts! - G!LT,,Meine Stimme Gilt!
AUT,7379,Q471367,Old Czech Party,,Národní strana
AUT,7378,Q1713492,Young Czech Party,,Národní strana svobodomyslná
AUT,1936,Q7320,National Socialist German Workers' Party (Nazi Party),NSDAP,Nationalsozialistische Deutsche Arbeiterpartei
AUT,1970,Q13564543,NEOS – The New Austria,,NEOS – Das Neue Österreich und Liberales Forum
AUT,1329,Q186867,Austrian People's Party,ÖVP,Österreichische Volkspartei
AUT,7712,Q2568847,Republican Party of Agricultural and Smallholder People,,
AUT,1384,Q179111,Social Democratic Party of Austria,SPÖ,Sozialdemokratische Partei Österreichs
AUT,1971,Q103748,Team Stronach,,
AUT,6044,Q695482,Fatherland Front,,Vaterländische Front
AUT,1710,Q688585,Federation of Independents,,
AUT,8222,Q379922,Constitutional Party,,Verfassungspartei
AZE,1992,Q1751089,Azerbaijani Popular Front Party,,Azərbaycan Xalq Cəbhəsi Partiyası
AZE,1993,Q724085,Azerbaijan Communist Party (1993),AKP,Azərbaycan Kommunist Partiyası
AZE,6223,Q2099347,Azerbaijan Communist Party (1920),,Azərbaycan Kommunist Partiyası
AZE,5877,Q696254,Azerbaijan Hope Party,,Ümid Partiyası
AZE,3628,Q740271,Musavat Party,,Müsavat Partiyası
AZE,1995,Q876402,New Azerbaijan Party,YAP,Yeni Azərbaycan Partiyası
AZE,7050,Q740271,Musavat Party,,Müsavat Partiyası
BHS,3653,Q5255656,Democratic National Alliance,DNA,
BHS,3652,Q2566343,Free National Movement,FNM,Free National Movement
BHS,3284,Q2566823,Progressive Liberal Party,PLP,Progressive Liberal Party
BHS,7416,Q7887497,United Bahamian Party,,United Bahamian Party
BHR,5883,Q4115954,Al-Asalah,,جمعية الأصالة الإسلامية
BHR,5894,Q4702888,Al-Menbar Islamic Society,,جمعية المنبر الوطني الإسلامي
BHR,5914,Q1131598,Progressive Democratic Tribune,,جمعية المنبر الديمقراطي التقدمي
BHR,5806,Q1800818,Al Wefaq,,جمعية الوفاق الوطني الإسلامية - الوفاق
BHR,5916,Q6972195,National Democratic Action Society,,جمعية العمل الوطني الديمقراطي – وعد
BGD,2299,Q1281480,Bangladesh Awami League,AL,বাংলাদেশ আওয়ামী লীগ
BGD,2340,Q2475664,Bangladesh Jamaat-e-Islami,,বাংলাদেশ জামায়াতে ইসলামী
BGD,3782,Q496810,Bangladesh Nationalist Party,BNP,বাংলাদেশ জাতীয়তাবাদী দল
BGD,5790,Q3346366,BAKSAL,,বাংলাদেশ কৃষক শ্রমিক আওয়ামী লীগ
BGD,6182,Q48818187,Bangladesh Muslim League,,
BGD,8680,Q2177973,Communist Party of Bangladesh,CPB,বাংলাদেশের কমিউনিস্ট পার্টি
BGD,7517,Q5521445,Gano Forum,,গণফোরাম
BGD,7759,Q5594226,Grand Alliance,,মহাজোট
BGD,6300,Q3351343,Islami Oikya Jote,,ইসলামী ঐক্য জোট
BGD,2341,Q1361491,Jatiya Party,JaPa,জাতীয় পার্টি
BGD,7673,Q6164607,Jatiya Party (Manju),,জাতীয় পার্টি - জেপি
BGD,3777,Q6164619,Jatiya Samajtantrik Dal,,বাংলাদেশ জাতীয় সমাজতান্ত্রিক দল
BGD,8568,Q7238121,Praja Party,,
BGD,8569,Q3322215,Pakistan Muslim League,,پاکستان مسلم لیگ
BGD,7519,Q4382630,Workers Party of Bangladesh,,বাংলাদেশের ওয়ার্কার্স পার্টি
BRB,3694,Q740420,Barbados Labour Party,,
BRB,3686,Q956182,Democratic Labour Party,DLP,
BLR,2033,Q174439,United Civic Party of Belarus,UCP/English,Аб'яднаная грамадзянская партыя
BLR,2037,Q396177,Agrarian Party,BAP/English,Белорусская аграрная партия
BLR,2035,Q815276,Belarusian Social Democratic Party (Assembly),BSDP/Hramada,Беларуская сацыял-дэмакратычная партыя (Грамада)
BLR,2036,Q1977920,Belarusian Patriotic Party,BPP/English,Белорусская патриотическая партия
BLR,7406,Q2491997,Belarusian Social Democratic Party (People's Assembly),BSDP/PA/English,Беларуская сацыял-дэмакратычная партыя (Народная Грамада)
BLR,7418,Q325413,Communist Party of Belarus,CPB/КПБ,Камуністычная партыя Беларусі
BLR,8376,Q2662463,Communist Party of Byelorussian Soviet Socialist Republic,КПБ,Камуністычная партыя Беларусі
BLR,3646,Q2994036,Liberal Democratic Party,LDPB/English,Ліберальна-дэмакратычная партыя Беларусі
BLR,2030,Q772928,"Belarusian Left Party ""A Just World""",,Беларуская партыя левых «Справядлівы свет»
BLR,3275,Q1729022,BPF Party,PBNF,Партыя БНФ
BLR,7407,Q2436636,Republican Party of Labour and Justice,RPTS/English,Республиканская партия труда и справедливости
BEL,528,Q513521,Groen,,Groen
BEL,480,Q2532509,Belgian Socialist Party,,
BEL,2289,Q1811565,Belgian Labour Party,,
BEL,2338,Q113903993,Humanist Democratic Centre,cdH,Centre démocrate humaniste
BEL,622,Q750673,Christian Democratic and Flemish,CD/V,Christen-Democratisch en Vlaams
BEL,604,Q750673,Christian Democratic and Flemish,CD/V,Christen-Democratisch en Vlaams
BEL,1915,Q792290,Christene Volkspartij,,
BEL,6688,Q1084016,Christlich Soziale Partei,,Christlich Soziale Partei
BEL,1563,Q655611,Ecolo,,
BEL,698,Q1470087,DéFI,,
BEL,191,Q907516,Agir,,Démocratie Nationale
BEL,3689,Q682708,Frontpartij,,
BEL,1333,Q17093543,Walloon Front,,
BEL,1892,Q792293,Catholic Party,,
BEL,4542,Q3388044,Catholic Flemish People's Party,,
BEL,302,Q537850,Communist Party of Belgium,KPB/PCB,Kommunistische Partij van België
BEL,275,Q2636334,Liberal Party,,
BEL,43,Q130671,"Libertarian, Direct, Democratic",,
BEL,791,Q2133093,Mouvement des Citoyens pour le Changement,,Mouvement des Citoyens pour le Changement
BEL,789,Q533384,Reform Movement,MR,Mouvement Réformateur
BEL,36,Q28982,New Flemish Alliance,N/VA,Nieuw-Vlaamse Alliantie
BEL,1753,Q925616,Workers' Party of Belgium,,Partij van de Arbeid van België
BEL,49,Q1160192,Open Flemish Liberals and Democrats,Open/Vld,Open Vlaamse Liberalen en Democraten
BEL,639,Q929882,People's Party,,
BEL,554,Q2711996,Liberal Reformist Party,,Parti Réformateur Libéral
BEL,1829,Q314493,Rexism,,Parti Rexiste
BEL,633,Q113903993,Humanist Democratic Centre,cdH,Centre démocrate humaniste
BEL,405,Q3366715,Christian Social Party,PSC,Christelijke Volkspartij
BEL,500,Q645787,Socialist Party,PS,
BEL,281,Q2612679,Walloon Rally,,Rassemblement wallon
BEL,7008,Q762051,Rassemblement Wallonie France,,Rassemblement Wallonie France
BEL,7015,Q1510441,Sociaal-Liberale Partij,,
BEL,1680,Q939354,Forward,,Vooruit
BEL,780,Q2086872,Belgian Democratic Union,,
BEL,76,Q932768,Vivant,,
BEL,1968,Q682990,Flemish Interest,,Vlaams Belang
BEL,553,Q597900,Vlaams Blok,,
BEL,3879,Q2337095,Flemish National Union,,Vlaamsch Nationaal Verbond
BEL,1424,Q1725837,People's Union,,Volksunie
BLZ,4088,Q5255865,Democratic and Agricultural Labour Party,,
BLZ,4087,Q5892936,Honduran Independence Party,,
BLZ,5839,Q6970292,National Alliance for Belizean Rights,,
BLZ,4085,Q17139489,National Independence Party,,
BLZ,4086,Q6974787,National Party,,
BLZ,3739,Q1759613,People's United Party,,
BLZ,3738,Q1809323,United Democratic Party,,
BEN,8871,Q4732473,Alliance of the Forces of Progress,,alliance des forces du progrès
BEN,7051,Q18161936,Alliance for Democracy and Progress,,alliance pour la démocratie et le progrès
BEN,7071,Q4732413,Alliance for a Democratic Dynamic,,alliance pour une dynamique démocratique
BEN,8857,Q20982217,Sun Alliance,,alliance soleil
BEN,7194,Q18161664,African People's Bloc,,bloc populaire africain
BEN,5903,Q18161658,African Congress for Renewal,,congrès africain pour le renouveau
BEN,5920,Q18351111,Democratic Party of Benin,,parti démocratique du Bénin
BEN,6190,Q3076831,Key Force,,Force Clé
BEN,7061,Q16909755,Hope Force,,Force Espoir
BEN,2300,Q5179821,Cowry Forces for an Emerging Benin,,Forces Cauris pour un Bénin émergent
BEN,4089,Q3088445,Action Front for Renewal and Development,,Front d'action pour le renouveau et le développement
BEN,2366,Q18356732,G13 Baobab Alliance,,alliance G13 baobab
BEN,4720,Q18349960,Dahomeyan Democratic Movement,,groupement ethnique du Nord
BEN,8870,Q6007999,Impulse to Progress and Democracy,,impulsion au progrès et la démocratie
BEN,5900,Q4689865,African Movement for Development and Progress,,mouvement africain pour la développement et le progrès
BEN,7053,Q18391604,National Movement for Democracy and Development,,mouvement nationale pour la démocratie et le développement
BEN,7054,Q18391359,"Movement for Solidarity, Union and Progress",,"mouvement pour la solidarité, l'union et le progrès"
BEN,5902,Q6926624,Movement for Citizens' Commitment and Awakening,,mouvement pour l'engagement et le réveil des citoyens
BEN,3836,Q18358728,Our Common Cause,,notre cause commune
BEN,3828,Q4896906,Communist Party of Benin,,Parti Communiste du Bénin
BEN,5448,Q18349973,Dahomeyan Unity Party,,Parti Dahoméen de l'Unité
BEN,3831,Q4888024,Benin Rebirth Party,,Parti de la renaissance du Bénin
BEN,5413,Q478120,People's Revolutionary Party of Benin,,Parti de la révolution populaire du Bénin
BEN,5776,Q18349964,Dahomeyan Democratic Party,,Parti Démocratique Dahoméen
BEN,2365,Q5255784,Democratic Renewal Party,,Parti du renouveau démocratique
BEN,5882,Q6974784,"National Party ""Together""",,parti national ensemble
BEN,6450,Q18379571,National Party for Democracy and Development,,parti national pour la démocratie et le développement
BEN,4718,Q18394066,Republican Party of Dahomey,,parti républicain dahoméen
BEN,7059,Q20982206,Patriotic Revival Party,,parti réveil patriotique
BEN,2368,Q3088954,Social Democratic Party,,Parti Social-Démocrate
BEN,5921,Q7406327,Party of Salvation,,parti du salut
BEN,3841,Q18350381,African Rally for Progress and National Solidarity,,rassemblement africain pour le progrès et la solidarité nationale
BEN,5775,Q1162619,Rassemblement Démocratique du Dahomé,,rassemblement démocratique dahoméen
BEN,3839,Q6540656,Liberal Democrats' Rally for National Reconstruction – Vivoten,,Rassemblement des Démocrates Libéraux pour la Reconstruction nationale
BEN,3834,Q6975195,National Rally for Democracy,RND,Rassemblement national pour la démocratie
BEN,7096,Q18393332,Rally for Progress and Renewal,,Rassemblement pour le Progrès et le Renouveau
BEN,4719,Q18205675,Dahomeyan Democratic Union,,union democratique dahoméenne
BEN,6569,Q7885823,Union Makes the Nation,,L'Union fait la Nation
BEN,4091,Q6979093,National Union for Democracy and Progress,,union nationale pour la démocratie et le progrès
BEN,7052,Q18379630,National Union for Solidarity and Progress,,union nationale pour la solidarité et le progrès
BEN,7055,Q18356540,Union for Democracy and National Reconstruction,,union pour la démocratie et la reconstruction nationale
BEN,4090,Q7886425,Union for Democracy and National Solidarity,,union pour la démocratie et la solidarité nationale
BEN,7060,Q7886463,Union for Relief,,union pour la relève
BEN,8753,Q18356539,Union for Benin,,union pour le Bénin
BEN,7072,Q18356556,Union for the Triumph of Democratic Renewal,,union pour le triomphe du renouveau démocratique
BEN,7193,Q18205681,Dahomeyan Progressive Union,,union progressiste dahoméenne
BMU,3722,Q6974096,National Liberal Party,,
BMU,3790,Q7092478,One Bermuda Alliance,,
BMU,3721,Q1565799,Progressive Labour Party,,
BMU,3723,Q1565805,United Bermuda Party,,
BTN,3820,Q15980884,Druk Chirwang Tshogpa,,འབྲུག་སྤྱིར་དབང་ཚོགས་པ་
BTN,3303,Q15980883,Druk Nyamrup Tshogpa,DNT,
BTN,3822,Q2035999,Bhutan Peace and Prosperity Party,DPT,
BTN,3823,Q2578342,People's Democratic Party,PDP,
BOL,4393,Q2823680,Nationalist Democratic Action,,Acción Democrática Nacionalista
BOL,6059,Q56276342,Patriotic Accord,AP,Acuerdo Patriótico
BOL,7069,Q5153015,Committee of National Unity,,
BOL,8126,Q71529396,Civic Community,,
BOL,4396,Q5162725,Conscience of Fatherland,CONDEPA,
BOL,8314,Q5158904,Concordance,,Concordancia
BOL,4051,Q1450907,Bolivian Socialist Falange,,Falange Socialista Boliviana
BOL,170,Q202609,National Unity Front,,Frente de Unidad Nacional
BOL,6028,Q7318805,Revolutionary Left Front,,Frente Revolucionario de Izquierda
BOL,5143,Q1296335,Movement without Fear,,Movimiento Sin Miedo
BOL,442,Q1142239,Movement for Socialism,MAS/IPSP,
BOL,4398,Q642234,Free Bolivia Movement,,Movimiento Bolivia Libre
BOL,4387,Q1951202,Revolutionary Left Movement,,Movimiento de la Izquierda Revolucionaria – Nueva Mayoría
BOL,8312,Q3021809,Democrat Social Movement,,Movimiento Demócrata Social
BOL,4392,Q4120518,Pachakuti Indigenous Movement,,Movimiento Indígena Pachakuti
BOL,4399,Q17073687,Indian Movement Túpac Katari,,
BOL,568,Q1536051,Revolutionary Nationalist Movement,,Movimiento Nacionalista Revolucionario
