id,country,name_short,name_english,name,comment,first,last,country_short
82,NETHERLANDS,VVD,Liberal Party,Volkspartij voor Vrijheid en Democratie,,1945,1973,NLD
84,NETHERLANDS,GPV,Reformed Political Association,,,1945,1973,NLD
85,NETHERLANDS,BP,Peasant Party,Poujadist,,1945,1973,NLD
86,BELGIUM,COMM,Communist Party,Parti Communiste Belge,,1919,1973,BEL
87,BELGIUM,POB,Social Democratic Party,Sparti Ouvrier Belge,,1919,1939,BEL
88,BELGIUM,CATH,Catholic Party,Parti Catholique,,1919,1939,BEL
89,BELGIUM,LIB,Liberal Party,Parti Liberal,,1919,1939,BEL
90,BELGIUM,FNAT,Flemish Nationalist parties,,,1919,1939,BEL
91,BELGIUM,REX,Rexist,,1936-1939: Leon Degrelle,1919,1939,BEL
93,BELGIUM,PSB,,Parti Socialiste Belge,,1945,1973,BEL
94,BELGIUM,RW,,Rassemblement Wallon,,1945,1973,BEL
95,BELGIUM,PSC,,Parti Social Chrétien,,1945,1973,BEL
96,BELGIUM,FDF,,Front Démocratique Wallon,,1945,1973,BEL
97,BELGIUM,VOLK,,Volksunie,,1945,1973,BEL
98,BELGIUM,PLP,,Parti de la Liberté et du Progrès,,1945,1973,BEL
99,FRANCE,PCF,,Parti Communiste francais,,1946,1958,FRA
100,FRANCE,SFIO,,Section francais de l' Internationale ouvrière,,1946,1958,FRA
101,FRANCE,MRP,,Mouvement républicain populaire,,1946,1958,FRA
102,FRANCE,RDA,,Républicain radical et radical-socialiste,,1946,1958,FRA
103,FRANCE,UDSR,,Union démocratique et socialiste de la Résistance,,1946,1958,FRA
104,FRANCE,RAD,,Rassemblement démocratique africain,,1946,1958,FRA
105,FRANCE,RS,,Républicains sociaux (URAS),,1946,1958,FRA
106,FRANCE,RPF,,Rassemblement du peuple francais,,1946,1958,FRA
107,FRANCE,AR,,Action Républicaine,,1946,1958,FRA
108,FRANCE,ARS,,Action républicaine et sociale,,1946,1958,FRA
109,FRANCE,RI,,Républicains indépendents,,1946,1958,FRA
110,FRANCE,CNIP,,Centre national des indépendants et payans,,1946,1958,FRA
111,FRANCE,PUS,1952 pro-Gaullist faction of PAYS,,,1946,1958,FRA
112,FRANCE,PAYS,,Groupe du C.R.A.P.S et des Democrates indépendants,,1946,1958,FRA
113,FRANCE,AP,1952 non-Gaullist remainder of PAYS,,,1946,1958,FRA
114,FRANCE,PRL,,Parti républicain de la liberté,,1946,1958,FRA
115,FRANCE,POUJ,,Union et fraterhité francaise (Poujadists),,1946,1958,FRA
116,WEIMAR GERMANY,KPD,,Kommunistische Partei Deutschland,,1919,1930,DEU
117,WEIMAR GERMANY,SDAP,,Sozialdemokratische Partei,,1919,1930,DEU
118,WEIMAR GERMANY,DDP,,Deutsche Demokratische Partei,,1919,1930,DEU
119,WEIMAR GERMANY,DZP,,Deutsche Zentrumspartei,,1919,1930,DEU
120,WEIMAR GERMANY,BVP,,Bayerische Volkspartei,,1919,1930,DEU
121,WEIMAR GERMANY,DVP,,Deutsche Volkspartei,,1919,1930,DEU
122,WEIMAR GERMANY,RDMW,,Reichspartei des Deutschen Mitelstands-Wirtschaftspartei,,1919,1930,DEU
123,WEIMAR GERMANY,LVP,,Landvolkpartei,,1919,1930,DEU
124,WEIMAR GERMANY,DNVP,,Deutsch Nationale Volkspartei,,1919,1930,DEU
125,WEIMAR GERMANY,NAZI,,Nationalsozialistische Deutsche Arbeiterpartei,,1919,1930,DEU
126,ITALY,PCI,Communist Party,,,1946,1975,ITA
127,ITALY,PSIU,Socialist Party of Proletarian Unity,,,1946,1975,ITA
128,ITALY,PSI,Socialist Party (Nenni),,,1946,1975,ITA
129,ITALY,PSDI,Social Democratic Party,,,1946,1975,ITA
130,ITALY,PRI,Republican Party,,,1946,1975,ITA
131,ITALY,DC,Christian Democratic Party,,,1946,1975,ITA
132,ITALY,PLI,Liberal Party,,,1946,1975,ITA
133,ITALY,MON,Monarchists,,,1946,1975,ITA
134,ITALY,MSI,Italian Social Movement (Fascist),,,1946,1975,ITA
135,LUXEMBOURG,COMM,,Parti communiste,,1945,1973,LUX
136,LUXEMBOURG,SOCD,,Parti ouvrier socialiste,,1945,1973,LUX
137,LUXEMBOURG,CSOC,,Parti chrétien-social,,1945,1973,LUX
138,LUXEMBOURG,GRPD,,Groupement démocratique,,1945,1973,LUX
139,ISRAEL,RAKA,,Raakah,,1949,1973,ISR
140,ISRAEL,MAKI,,Maki,,1949,1973,ISR
141,ISRAEL,MAPM,,Mapam,,1949,1973,ISR
142,ISRAEL,MADT,,Mapam + Ahdut Haavoda,,1949,1973,ISR
143,ISRAEL,ADUT,,Ahdut Haavoda,,1949,1973,ISR
144,ISRAEL,MAAR,,Maarach,,1949,1973,ISR
145,ISRAEL,LAB,Labor Alignment,,,1949,1973,ISR
146,ISRAEL,MAPI,,Mapai,,1949,1973,ISR
147,ISRAEL,PAUG,,Poalei Agudat,,1949,1973,ISR
148,ISRAEL,RAFI,,Rafi,,1949,1973,ISR
149,ISRAEL,PROG,Progressives,,,1949,1973,ISR
150,ISRAEL,ILIB,Independent Liberals,,,1949,1973,ISR
151,ISRAEL,NRP,National Religious Party,,,1949,1973,ISR
152,ISRAEL,URF,United Religious Front,,,1949,1973,ISR
153,ISRAEL,LIB,Liberals,,,1949,1973,ISR
154,ISRAEL,NATL,National List,,,1949,1973,ISR
155,ISRAEL,TORA,,Torah,,1949,1973,ISR
156,ISRAEL,LUKD,,Likud,,1949,1973,ISR
157,ISRAEL,ZION,General Zionists,,,1949,1973,ISR
158,ISRAEL,GHAL,,Gahal,,1949,1973,ISR
159,ISRAEL,AGDT,,Agudat Israel,,1949,1973,ISR
160,ISRAEL,HRUT,,Herut,,1949,1973,ISR
