country,name_short,name_english,year,share,party_id
CAN,NDP,New Democratic Party,2015,19.7,141
CHE,CVP,Christian Democratic People's Party,2015,11.5,142
CHE,BDP,Conservative Democratic Party of Switzerland,2015,4,143
CHE,EVP,Evangelical People's Party of Switzerland,2015,,144
CHE,FDP,The Liberals,2015,18.5,145
CHE,GPS,Green Liberal Party of Switzerland,2015,4.6,146
CHE,GLP,Green Party of Switzerland,2015,6.9,147
CHE,SP,Social Democratic Party,2015,16.1,148
CHE,PdA,Swiss Party of Labour,2015,,149
CHE,SVP,Swiss People's Party,2015,28.9,150
CHE,LdT,Ticino League,2015,,151
CHL,FA,Broad Front,2017,11.1,152
CHL,CV,Chile Let's Go,2017,37.7,153
CHL,DC,Democratic Convergence,2017,14.3,154
CHL,FM,The Force of the Majority,2017,22.8,155
CIV,Ind.,Independents,2016,38.5,156
CIV,FPI,Ivorian Popular Front,2016,5.8,157
CIV,RHDP,Rally of Houphouetists for Democracy and Peace,2016,50.3,158
CIV,UPCI,Union for Cote d'Ivoire,2016,1,159
CIV,UDPCI,Union for Democracy and Peace in Cote d'Ivoire,2016,3,160
CMR,UDC,Cameroon Democratic Union,2013,,161
CMR,CPDM,Cameroon People's Democratic Movement,2013,,162
CMR,CRM,Cameroon Renaissance Movement,2013,,163
CMR,MDR,Movement for the Defense of the Republic,2013,,164
CMR,UNDP,National Union for Democracy and Progress,2013,,165
CMR,SDF,Social Democratic Front,2013,,166
CMR,UPC,Union of the Peoples of Cameroon,2013,,167
COD,CACH,Heading for Change,2018,,168
COD,FCC,Joint Front for Congo,2018,,169
COD,Lamuka,Lamuka Coalition,2018,,170
COG,MAR,Action Movement for Renewal,2017,,171
COG,2002,Club 2002 PUR,2017,,172
COG,PCT,Congolese Party of Labour,2017,,173
COG,DRD,Dynamic for the Republic and Recovery,2017,,174
COG,Ind.,Independents,2017,,175
COG,UPADS,Pan-African Union for Social Democracy,2017,,176
COG,PAPA,Party for Agreement and Political Action,2017,,177
COG,PA,Patriotic Front,2017,,178
COG,RPDS,Rally for Democracy and Social Progress,2017,,179
COG,UPM,Union for a People's Movement,2017,,180
COL,PDA,Alternative Democratic Polo Party,2018,0,181
COL,OC,Citizen Option Party,2018,1.7,182
COL,List of,Coalition List of the Decency,2018,1.5,183
COL,PCC,Colombian Conservative Party,2018,10.2,184
COL,PLC,Colombian Liberal Party,2018,13.8,185
COL,PCD,Democratic Center Party,2018,13.3,186
COL,VA,Green Alliance Party,2018,4.9,187
COL,Mira,Independent Movement of Absolute Renovation,2018,,188
COL,la U,National Unity Social Party / Party of the U,2018,10.3,189
COL,CR,Radical Change Party,2018,12,190
COM,CRC,Convention for the Renewal of the Comoros,2015,8.3,191
COM,RDC,Democratic Rally of the Comoros,2015,8.3,192
COM,Ind.,Independents,2015,12.5,193
COM,Sun,JUWA party,2015,29.2,194
COM,PEC,Party for the Harmony of the Comoros,2015,4.2,195
COM,RADHI,Rally for an Alternative of Harmonious and Integrated Development,2015,4.2,196
COM,UPDC,Union for the Development of the Comoros,2015,33.3,197
CPV,PAICV,African Party for the Independence of Cape Verde,2016,38.1,198
CPV,UCID,Democratic and Independent Cape Verdean Union,2016,6.9,199
CPV,PTS,Labour and Solidarity Party,2016,0.1,200
CPV,MPD,Movement for Democracy,2016,54.4,201
CPV,PP,People's Party,2016,0.3,202
CPV,PSD,Social Democratic Party,2016,0.1,203
CRI,AE,Accessibility without Exclusion,2018,2.3,204
CRI,FA,Broad Front,2018,4,205
CRI,PAC,Citizens Action Party,2018,16.3,206
CRI,PML,Libertarian Movement Party,2018,2.5,207
CRI,PIN,National Integration,2018,7.7,208
CRI,PLN,National Liberation Party,2018,19.5,209
CRI,PREN,National Restoration,2018,18.1,210
CRI,PNG,New Generation Party,2018,2.2,211
CRI,PUSC,Social Christian Unity Party,2018,14.6,212
CRI,PRS,Social-Christian Republican Party,2018,4.2,213
CUB,PCC,Communist Party,2018,100,214
CYP,SYM,Citizen's Alliance,2016,6,215
CYP,DIKO,Democratic Alignment,2016,14.5,216
CYP,DISY,Democratic Rally,2016,30.7,217
CYP,CG,Green Party - Citizen's Alliance,2016,4.8,218
CYP,EDEK,Movement of Social Democrats,2016,6.2,219
CYP,ELAM,National People's Front,2016,3.7,220
CYP,AKEL,Progressive Party of the Working People,2016,25.7,221
CYP,KINHMA,Solidarity Movement,2016,5.2,222
CZE,ANO,ANO 2011,2017,29.6,223
CZE,KDU–Č,Christian and Democratic Union – Czechoslovak People's Party,2017,5.8,224
CZE,ODS,Civic Democratic Party,2017,11.3,225
CZE,KSČM,Communist Party of Bohemia and Moravia,2017,7.8,226
CZE,Pi,Czech Pirate Party,2017,10.8,227
CZE,ČSSD,Czech Social Democratic Party,2017,7.3,228
CZE,SPD,Freedom and Direct Democracy,2017,10.6,229
CZE,STAN,Mayors and Independents,2017,5.2,230
CZE,TOP 09,TOP 09,2017,5.3,231
DEU,GRÜNE,Alliance 90/The Greens,2017,9,232
DEU,AfD,Alternative for Germany ,2017,12.7,233
DEU,CDU,Christian Democratic Union,2017,26.8,234
DEU,CSU,Christian Social Union in Bavaria,2017,6.2,235
DEU,FDP,Free Democratic Party ,2017,10.8,236
DEU,SPD,Social Democratic Party,2017,20.6,237
DEU,DL,The Left,2017,9.3,238
DJI,CDU,Center of Unified Democrats,2018,,239
DJI,UDJ-PDD,Union for Democracy and Justice / Djibouti Development Party,2018,,240
DJI,UMP,Union for the Presidential Majority,2018,,241
DNK,A,Alternative,2015,4.8,242
DNK,KD,Christian Democrats,2015,0.8,243
DNK,C,Conservative People's Party,2015,3.4,244
DNK,DF,Danish People's Party,2015,21.1,245
DNK,V,"Left, Liberal Party of Denmark",2015,19.5,246
DNK,LA,Liberal Alliance,2015,7.5,247
DNK,RV,Radical Left,2015,4.6,248
DNK,SD,Social Democratic Party,2015,26.3,249
DNK,SF,Socialist People's Party,2015,4.2,250
DNK,En-O,Unity List-Red Green Alliance,2015,7.8,251
DOM,PLD,Dominican Liberation Party,2016,,252
DOM,BIS,Institutional Social Democratic Bloc,2016,,253
DOM,PRL,Liberal Reformist Party,2016,,254
DOM,PRM,Modern Revolutionary Party,2016,,255
DOM,PRSC,Social Christian Reformist Party,2016,,256
DZA,TAJ,HMS Alliance,2017,6,257
DZA,NAB,Nadha-Adala-Bina,2017,4.1,258
DZA,RND,National Democratic Rally,2017,14.8,259
DZA,FLN,National Liberation Front,2017,25.8,260
DZA,MPA,Tajamoua Emel El Djazair,2017,4.1,261
ECU,CREO,Creating Opportunities Movement,2017,20.1,262
ECU,FE,Fuerza Ecuador,2017,4.8,263
ECU,PSP,January 21 Patriotic Society Party,2017,2.9,264
ECU,PAIS,Movimiento Alianza Pais,2017,39.1,265
ECU,MUPP,Pachakutik Plurinational Unity Movement - New Country,2017,2.7,266
ECU,ID,Party of the Democratic Left,2017,3.8,267
ECU,PSC,Social Christian Party,2017,15.9,268
EGY,Conferen,Conference Party,2015,,269
EGY,Con,Conservative Party,2015,,270
EGY,DPP,Democratic Peace Party,2015,,271
EGY,FEP,Free Egyptians Party,2015,,272
EGY,Guards,Guards of the Homeland,2015,,273
EGY,Ind.,Independents,2015,,274
EGY,NFP,Nation's Future Party,2015,,275
EGY,HaN,Party of the Light (Al-Nour),2015,,276
EGY,RPP,Republican People's Party,2015,,277
EGY,Wafd,The New Wafd Party,2015,,278
ERI,PFDJ,People's Front for Democracy and Justice,,,279
ESP,EHB,Basque Country Unite,2016,2,280
ESP,Cs,Citizens,2016,3.5,281
ESP,PP,People's Party,2016,33,282
ESP,ERC,Republican Left of Catalonia,2016,2.7,283
ESP,PSOE,Spanish Socialist Workers' Party,2016,22.7,284
ESP,JxCat,Together for Catalonia,2016,2.6,285
ESP,UP,Unidas Podemos,2016,13.1,286
ESP,VOX,Vox,2016,13.4,287
EST,EKRE,Conservative People's Party of Estonia,2015,8.1,288
EST,EK,Estonian Centre Party,2015,24.8,289
EST,EFP,Estonian Free Party,2015,8.7,290
EST,ERP,Estonian Reform Party,2015,27.7,291
EST,SDE/M,Social-Democratic Party,2015,15.2,292
EST,IRL,Union of Pro Patria and Res Publica,2015,13.7,293
ETH,ANDP,Afar National Democratic Party,2015,,294
ETH,EPRDF,Ethiopian People's Revolutionary Democratic Front,2015,,295
ETH,SPDP,Somali People's Democratic Party,2015,,296
ETH,ADPO,The Argoba People Democratic Organization,2015,,297
ETH,BGPDP,The Benishangul Gumuz Peoples Democratic Party,2015,,298
ETH,GPUDM,The Gambela People's Unity Democratic Movement,2015,,299
ETH,HNL,The Harari National League,2015,,300
FIN,KESK,Center Party,2015,21.1,301
FIN,KD,Christian Democrats,2015,3.5,302
FIN,Vihr,Green League,2015,8.5,303
FIN,Vas,Left Alliance,2015,7.1,304
FIN,KOK,National Coalition Party,2015,17.6,305
FIN,Others,Others,2015,0.6,306
FIN,SSDP,Social Democratic Party,2015,16.5,307
FIN,RKP,Swedish People's Party,2015,4.9,308
FIN,PS,The Finns Party,2015,18.2,309
FJI,FLP,Fiji Labor Party,2018,0,310
FJI,FF,FijiFirst,2018,0.5,311
FJI,HOPE,HOPE Party,2018,0,312
FJI,NFP,National Federation Party,2018,0.1,313
FJI,SODELPA,Social Democratic Liberal Party,2018,0.4,314
FJI,UFP,Unity Fiji Party,2018,0,315
FRA,MoDem,Democratic Movement,2017,6.1,316
FRA,FI,La France Insoumise,2017,4.9,317
FRA,REM,La République En Marche,2017,43.1,318
FRA,FN,National Rally,2017,8.8,319
FRA,PS,Socialist Party,2017,5.7,320
FRA,Rep,The Republicans,2017,22.2,321
FRA,UDI,Union of Democrats and Independents,2017,3,322
GAB,UNPR,Circle of Liberal Reformers,2018,,323
GAB,PDG,Gabonese Democratic Party,2018,,324
GAB,RHM,National Union,2018,,325
GBR,BRX,Brexit Party,2017,0.9,326
GBR,CON,Conservative and Unionist Party,2017,42.3,327
GBR,DUP,Democratic Unionist Party,2017,0.7,328
GBR,GRN,Green Party,2017,1.6,329
GBR,Lab,Labour Party,2017,40,330
GBR,LD,Liberal Democrats,2017,7.4,331
GBR,PC,Plaid Cymru,2017,1.8,332
GBR,SNP,Scottish National Party,2017,3,333
GBR,SF,Sinn Féin,2017,0.5,334
GBR,UKIP,UK Independence Party,2017,,335
GEO,FD,Free Democrats,2018,0,336
GEO,GD,Georgian Dream,2018,0.5,337
GEO,Ind.,Independents,2018,,338
GEO,Topadze,"Topadze - Industrialists, Our Fatherland",2018,0,339
GEO,UNM,United National Movement,2018,0.3,340
GHA,NDC,National Democratic Congress,2016,,341
GHA,NPP,New Patriotic Party,2016,,342
GIN,NGR,New Generation for the Republic,2013,0.8,343
GIN,PEDN,Party of Hope for National Development,2013,2.6,344
GIN,RPG AR,Rally of the Guinean People,2013,46.3,345
GIN,UPG,Union for the Progress of Guinea,2013,1.7,346
GIN,UFDG,Union of Democratic Forces of Guinea,2013,30.5,347
GIN,UFR,Union of Republican Forces,2013,7,348
GMB,APRC,Alliance for Patriotic Reorientation and Construction,2017,0.2,349
GMB,GDC,Gambia Democratic Congress,2017,0.2,350
GMB,NRP,National Reconciliation Party,2017,0.1,351
GMB,PDOIS,People's Democratic Organization for Independence and Socialism,2017,0.1,352
GMB,PPP,People's Progressive Party,2017,0,353
GMB,UDP,United Democratic Party,2017,0.4,354
GNB,PAIGC,African Party for the Independence of Guinea-Bissau and Cape Verde,2019,35.2,355
GNB,APU-PDGB,Assembly of the People United–Democratic Party of Guinea-Bissau,2019,8.5,356
GNB,Madem,Madem-G15,2019,21.1,357
GNB,PND,New Democracy Party,2019,1.5,358
GNB,PCD,Party for Democratic Convergence,2019,1.6,359
GNB,PRS,Party for Social Renewal,2019,21.1,360
GNB,UM,Union for Change,2019,1.4,361
GNQ,CI,Citizens for Innovation,2017,5.8,362
GNQ,PDGE,Democratic Party of Equatorial Guinea,2017,92,363
GNQ,JP,Together We Can,2017,2.3,364
GRC,KKE,Communist Party of Greece,2015,5.6,365
GRC,XA,Golden Dawn,2015,7,366
GRC,ANEL,Independent Greeks,2015,3.7,367
GRC,ND,New Democracy,2015,28.1,368
GRC,PASOK,Pan Hellenic Socialist Movement,2015,6.3,369
GRC,SYRIZA,Syriza Unionist Social Front,2015,35.5,370
GRC,River,The River,2015,4.1,371
GRC,EK,Union of Centrists,2015,3.4,372
GRD,NNP,New National Party,2018,58.9,373
GTM,CREO,"Commitment, Renewal, and Order Party",2015,5.9,374
GTM,EG,Encounter for Guatemala,2015,3.9,375
GTM,Todos,Everyone Together for Guatemala,2015,10.6,376
GTM,GNRU,Guatemalan National Revolutionary Unity,2015,4.1,377
GTM,FCN,National Convergence Front,2015,9.4,378
GTM,UCN,National Union for Change,2015,4.2,379
GTM,UNE,National Unity for Hope,2015,16.3,380
GTM,PP,Patriot Party,2015,8.5,381
GTM,LIDER,Renewed Democratic Liberty Party,2015,19.1,382
GTM,Viva,Vision with Values,2015,5.3,383
GUY,PPP-C,People’s Progressive Party – Civic  ,2015,49.2,384
GUY,APNU/AFC,United Guyana-National Unity (APNU),2015,50.3,385
HRV,MOST,Bridge of Independent Lists,2016,5.3,386
HRV,CL-LP,Croatian Labourists - Labour Party,2016,0.1,387
HRV,SIC,Even Stronger Istria Coalition,2016,1.2,388
HRV,PMC,For Prime Minister Coalition,2016,2.2,389
HRV,HDSSB,HDSSB Coalition,2016,0.7,390
HRV,HDZ,HDZ Coalition,2016,19.5,391
HRV,HC,Homeland Coalition,2016,0.3,392
HRV,SPH,People's Coalition,2016,18.2,393
HRV,OOP,The Only Option Coalition,2016,3.4,394
HRV,TCAC,Turn Croatia Around Coalition,2016,1.1,395
HTI,LAPEH,Alternative League for the Progress and Emancipation of Haiti,2015,,396
HTI,KID,Convention for Democratic Unity,2015,,397
HTI,FL,Fanmi Lavalas,2015,,398
HTI,AAA,Haiti in Action,2015,,399
HTI,PHTK,Haitian Tet Kale Party,2015,,400
HTI,MOSANO,Tet Kole sous Chimen Devlopman pou un Nord'Ouest uni et Renonve,2015,,401
HTI,OPL,Organization of People in Struggle,2015,,402
HTI,IP,Patriotic Unity Party,2015,,403
HTI,RSDF,Regrouping of Social Democratic Fusion,2015,,404
HTI,Verite,Truth,2015,,405
HUN,Fidesz,Fidesz,2018,49.3,406
HUN,Ind.,Independents,2018,0.5,407
HUN,Jobbik,"Jobbik, Movement for a Better Hungary",2018,19.1,408
HUN,MSZP-PM,Hungarian Socialist Party - Dialogue for Hungary,2018,11.9,409
HUN,MNOÖ,National Self-Government of Germans in Hungary,2018,0.7,410
HUN,LMP,Politics Can Be Different,2018,7.1,411
HUN,DK,The Democratic Coalition,2018,5.4,412
HUN,Együtt,Together – Party for a New Era,2018,5.4,413
IDN,PD,Democratic Party,2014,10.2,414
IDN,Gerindra,Great Indonesia Movement Party,2014,11.8,415
IDN,PDI,Indonesian Democratic Party,2014,18.9,416
IDN,PKB,National Awakening Party,2014,9,417
IDN,NDP,National Democrat Party,2014,6.7,418
IDN,PAN,National Mandate Party,2014,7.6,419
IDN,Golkar,Party of the Functional Groups,2014,14.7,420
IDN,Hanura,People's Conscience Party,2014,5.3,421
IDN,PKS,Prosperous Justice Party,2014,6.8,422
IDN,PPP,United Development Party,2014,6.5,423
IND,ADMK,All India Anna Dravida Munnetra Kazhagam,2014,3.3,424
IND,AITC,All India Trinamool Congress,2014,3.8,425
IND,BJP,Bharatiya Janata Party,2014,31,426
IND,BJD,Biju Janata Dal,2014,1.7,427
IND,CP,Communist Party of India,2014,3.2,428
IND,INC,Indian National Congress,2014,19.3,429
IND,SHS,Shivsena,2014,1.9,430
IND,TRS,Telangana Rashtra Samithi,2014,1.2,431
IND,TDP,Telugu Desam,2014,2.5,432
IND,YSRCP,Yuvajana Sramika Rythu Congress Party,2014,2.5,433
IRL,AAA,Anti-Austerity Alliance - People Before Profit,2016,3.9,434
IRL,FF,Fianna Fail,2016,24.4,435
IRL,FG,Fine Gael,2016,25.5,436
IRL,Green,Green Party,2016,2.7,437
IRL,NC,Independent Alliance,2016,4.2,438
IRL,Ind.,Independents,2016,11.3,439
IRL,Lab,Labour Party,2016,6.6,440
IRL,RI,Renua Ireland,2016,2.2,441
IRL,SF,Sinn Fein,2016,13.8,442
IRL,DS,Social Democrats,2016,3,443
IRN,ECP,Executives of Construction Party,2016,,444
IRN,FIRS,Front of Islamic Revolution Stability,2016,,445
IRN,IIPF,Islamic Iran Participation Front,2016,,446
IRN,UFP,United Front of Principalists,2016,,447
IRQ,FA,Fatah Alliance,2018,0.1,448
IRQ,KDP,Kurdistan Democratic Party,2018,0.1,449
IRQ,Saairun,Marching Towards Reform,2018,0.1,450
IRQ,BG,Movement for Change,2018,0,451
IRQ,AW,National Coalition,2018,0.1,452
IRQ,NWM,National Wisdom Movement,2018,0.1,453
IRQ,PUK,Patriotic Union of Kurdistan,2018,0.1,454
IRQ,SLC,State of Law Coalition,2018,0.1,455
IRQ,Muttahidoon,Uniters for Reform Coalition,2018,0,456
IRQ,Victory,Victory Alliance,2018,0.1,457
ISL,BF,Bright Future,2017,1.2,458
ISL,M,Centre Party ,2017,10.9,459
ISL,D,Independence Party,2017,25.2,460
ISL,VG,Left-Green Movement,2017,16.9,461
ISL,FIF,People's Party,2017,6.9,462
ISL,P,Pirate Party,2017,9.2,463
ISL,FSF,Progressive Party,2017,10.7,464
ISL,V,Reform Party,2017,6.7,465
ISL,XS,Social Democratic Alliance,2017,12.1,466
ISR,HH,Jewish Home,2015,6.7,467
ISR,JL,"Joint List: Hadash, United Arab List, Balad, Taal",2015,10.6,468
ISR,Kulanu,Kulanu/All of Us,2015,7.5,469
ISR,L,Likud,2015,23.4,470
ISR,Meretz,Meretz,2015,3.9,471
ISR,Shas,Shas,2015,5.7,472
ISR,YH,United Torah Judaism,2015,5,473
ISR,YA,There is a Future,2015,8.8,474
ISR,YB,Israel is our Home,2015,5.1,475
ISR,ZB,Zionist Bloc,2015,18.7,476
ITA,CCS,"Centre-Left Coalition (Democratic Party, More Europe,Together, Popular Civic, SVP-PATT)",2018,23.5,477
ITA,MAIE,Associative Movement Italians Abroad,2018,0.3,478
ITA,CD,"Centre-Right Coalition (Lega Nord, Forza Italia, Brothers of Italy, Us with Italy)",2018,37,479
ITA,M5S,Five Star Movement,2018,32.6,480
ITA,LeU,Free and Equal,2018,3.5,481
ITA,USEI,South American Union of Italian Emigrants,2018,0.2,482
JAM,JLP,Jamaica Labour Party,2016,50.1,483
JAM,PPP,Marcus Garvey People's Political Party,2016,0,484
JAM,NDM,National Democratic Movement,2016,0,485
JAM,PNP,People's National Party,2016,49.7,486
JOR,IAF,Islamic Action Front,2016,,487
JOR,ICP,Islamic Centrist Party,2016,,488
JOR,NUP,National Union Party,2016,,489
JOR,SJ,Stronger Jordan,2016,,490
JOR,Home,The Homeland,2016,,491
JPN,CDP,Constitutional Democratic Party of Japan,2017,19.9,492
JPN,JCP,Japanese Communist Party,2017,7.9,493
JPN,NKP,Komeitō,2017,12.5,494
JPN,LDP,Liberal Democratic Party,2017,33.3,495
JPN,JIP,Nippon Ishin no Kai,2017,6.1,496
JPN,KnT,Party of Hope,2017,17.4,497
JPN,SDP,Social Democratic Party,2017,1.7,498
KAZ,Birlik,Birlik,2016,0.3,499
KAZ,QKHP,Communist People's Party of Kazakhstan,2016,7.1,500
KAZ,AQJOL,Democratic Party of Kazakhstan,2016,7.2,501
KAZ,Auyl,Kazakhstan Social and Democratic Party 'Auyl',2016,2,502
KAZ,ZSDP,Nationwide Social Democratic Party,2016,1.2,503
KAZ,NO,Nur Otan,2016,82.2,504
KEN,ANC,Amani Coalition,2017,,505
KEN,CCM,Chama Cha Uzalendo,2017,,506
KEN,Ford Peo,Forum for the Restoration of Democracy-People,2017,,507
KEN,Ind.,Independents,2017,,508
KEN,KANU,Kenya African National Union,2017,,509
KEN,ODM,Orange Democratic Movement,2017,,510
KEN,PDR,Party for Development and Reform,2017,,511
KEN,JP,Jubilee,2017,,512
KEN,WDM-K,Wiper Democratic Movement - Kenya,2017,,513
KGZ,KP,Kyrgyzstan Party,2015,19.6,514
KGZ,OP,Onuguu-Progress,2015,14.1,515
KGZ,RAZ,Respublika - Ata-Zhurt,2015,30.4,516
