cntry,party_id,party_short,party_english,party_name,share,party_id_old,ess_key,country,duplicate_ids,share_year,ess_first,ess_last
BG,BG-5-16,,,Druga politicheska sila,0.4,2015,bg -- druga politicheska sila,BGR,,2010,2010,2010
BG,BG-4-2,,,Dvijenie za Prava i Svobodi,16.8,1983,bg -- dvijenie za prava i svobodi,BGR,,2008,2008,2008
BG,BG-3-9,,,Politichesko dvijenie Evroroma,0.3,1864,bg -- evroroma,BGR,,2006,2006,2008
BG,BG-5-1,GERB,,,53.9,1302,bg -- gerb,BGR,BG-6-1,2010,2010,2010
BG,BG-6-13,,,"Nezavisim kandidat/Kandidati, izdignati ot Initsiativni komiteti",1.4,1406,"bg -- kandidati, izdignati ot initsiativni komiteti",BGR,BG-5-17,2012,2012,2012
BG,BG-5-2,BSP,,Koalitziia za Balgariia,22.6,1272,bg -- koalitsia za balgaria (bsp; pbs; zemedelski saiuz) al. stamb,BGR,BG-4-1,2010,2010,2010
BG,BG-4-6,ODS,,Koalitziia,14,1176,bg -- koalitziia ods,BGR,,2008,2008,2008
BG,BG-6-8,KP,,Sayuz na desnite sili,2.3,2048,bg -- kp sayuz na desnite sili,BGR,,2012,2012,2012
BG,BG-4-5,,,Natzionalno Dvijenie Simeon II,10.4,1985,bg -- natzionalno dvijenie simeon ii,BGR,,2008,2008,2008
BG,BG-3-5,NDSV,,,8.6,1506,bg -- ndsv,BGR,,2006,2006,2010
BG,BG-3-8,,,„Novoto vreme” Emil Koshlukov,1.5,1371,bg -- novoto vreme,BGR,BG-4-8,2006,2006,2006
BG,BG-6-12,,,Balgarska demokratichna obshtnost,0.1,1457,bg -- pp balgarska demokratichna obshtnost,BGR,,2012,2012,2012
BG,BG-6-6,BZNS,,,0.2,1216,bg -- pp bzns,BGR,,2012,2012,2012
BG,BG-5-8,,,Lider,0.6,1594,bg -- pp lider,BGR,,2010,2010,2010
BG,BG-6-7,,,Natsionalen front za dpasenie na Bulgaria,1,1332,bg -- pp natsionalen front za dpasenie na bulgaria,BGR,,2012,2012,2012
BG,BG-6-9,,,Natsionalno dvizhenie Edinstvo,0.1,1644,bg -- pp natsionalno dvizhenie edinstvo,BGR,,2012,2012,2012
BG,BG-6-11,,,Partia za horata ot naroda,0.1,1184,bg -- pp partia za horata ot naroda,BGR,,2012,2012,2012
BG,BG-6-4,RZS,,"Red, zakonnost i spravedlivost",0.4,3007,"bg -- pp red, zakonnost i spravedlivost (rzs)",BGR,,2012,2012,2012
BG,BG-6-5,VMRO,,Balgarsko natsionalno dvizhenie,0.5,3008,bg -- pp vmro – balgarsko natsionalno dvizhenie,BGR,,2012,2012,2012
BG,BG-5-11,,,„Zelena partia” Aleksandar Karakachanov,0.2,1416,bg -- pp zelenite,BGR,,2010,2010,2010
BG,BG-5-6,RZS,,"Red, zakonnost i spravedlivost",1,1427,"bg -- red, zakonnost i spravedlivost (rzs)",BGR,,2010,2010,2010
BG,BG-3-6,SDS,,Sayuz na demokratichnite sili,8.5,1322,bg -- sds,BGR,,2006,2006,2006
BG,BG-5-4,SDS,,Siniata koalitsia,5,1633,bg -- siniata koalitsia (sds; dsb),BGR,,2010,2010,2010
CH,CH-1-6,,Alliance of the Independents,,0.4,1045,ch -- alliance of the independents,CHE,,2002,2002,2002
CH,CH-6-14,,Alternative Left,,0.1,1296,ch -- alternative left,CHE,,2012,2012,2014
CH,CH-4-15,,Blank paper,,4,1547,ch -- blank paper,CHE,,2008,2008,2014
CH,CH-6-7,,Conservative Democratic Party / Bourgois-democratic Party,,5.5,1002,ch -- bourgois-democratic party,CHE,,2012,2012,2014
CH,CH-6-4,,Christian Democrats,,17,1503,ch -- christian democrats,CHE,CH-3-2,2012,2008,2014
CH,CH-7-13,,Christian Social Party,,0.1,1006,ch -- christian social party,CHE,CH-4-6 CH-1-8,2014,2014,2014
CH,CH-3-6,,Evangelical People’s Party,,2.3,1585,ch -- evangelical people's party,CHE,CH-5-12,2006,2002,2014
CH,CH-2-12,,Federal Democratic Union,,1.5,1293,ch -- federal democratic union,CHE,,2004,2002,2014
CH,CH-1-13,,Freiheits-Partei,,0.4,1270,ch -- freiheits-partei,CHE,,2002,2002,2006
CH,CH-6-6,,Green Liberal Party,,9.8,1223,ch -- green liberal party,CHE,,2012,2008,2014
CH,CH-4-8,,Green Party,,12.5,1242,ch -- green party,CHE,,2008,2002,2014
CH,CH-4-13,,Ticino League,Lega dei Ticinesi,0.4,1144,ch -- lega dei ticinese,CHE,CH-3-14 CH-5-13,2008,2008,2008
CH,CH-1-5,,Liberal Party,,3.7,1727,ch -- liberal party,CHE,,2002,2002,2010
CH,CH-5-15,,Mixed vote,,5,1676,ch -- mixed vote,CHE,,2010,2008,2012
CH,CH-7-12,,,Movement of the Citizens belonging to French-speaking Switze,0.3,3009,ch -- movement of the citizens belonging to french-speaking switze,CHE,,2014,2012,2014
CH,CH-6-16,,Pirate Party Switzerland,,0.1,1879,ch -- pirate party switzerland,CHE,,2012,2012,2012
CH,CH-7-3,FDP,Radical Liberals,,18.3,1889,ch -- radical liberals,CHE,,2014,2012,2014
CH,CH-1-1,,Radicals,,15.3,1395,ch -- radicals,CHE,,2002,2002,2010
CH,CH-1-3,,Socialist Party,,30.8,1773,ch -- social-democrats,CHE,CH-4-3,2002,2002,2006
CH,CH-5-10,,Swiss Democrats,,0.5,1250,ch -- swiss democrats,CHE,,2010,2002,2012
CH,CH-4-7,,Swiss Labour Party,,0.6,1851,ch -- swiss labor party,CHE,CH-2-9,2008,2008,2008
CH,CH-4-4,,Swiss People's Party,,25.1,1228,ch -- swiss people party,CHE,CH-2-4 CH-5-4,2008,2008,2008
CH,CH-2-14,,Women's Parties,,0.5,1336,ch -- women's parties,CHE,,2004,2002,2006
CY,CY-4-2,DIKO,Democratic Party,,22.5,1258,cy -- democratic party (diko),CYP,,2008,2006,2012
CY,CY-6-3,DHSY/DISY,Democratic Rally,,37.5,1894,cy -- democratic rally (disy),CYP,,2012,2006,2012
CY,CY-3-4,EYROKO/EVROKO,European Party,,5,1713,cy -- european party (evroko),CYP,,2006,2006,2012
CY,CY-5-1,AKEL,Progressive Party of Working People,,37.7,1405,cy -- progressive party of working people (akel),CYP,,2010,2006,2012
CY,CY-3-7,KS-EDEK,Social Democrats,,8.7,1126,cy -- social democrats (ks edek),CYP,,2006,2006,2012
CY,CY-4-5,,The Cyprus Green Party,,2.3,1863,cy -- the cyprus green party,CYP,,2008,2006,2012
CY,CY-4-6,EDI,United Democrats,,1.5,1018,cy -- united democrats (edi),CYP,,2008,2006,2010
CZ,CZ-7-4,,,ANO 2011,27.6,3010,cz -- ano 2011,CZE,,2014,2014,2014
CZ,CZ-2-7,,Association of Independents,,2.8,1559,cz -- association of independents,CZE,,2004,2002,2004
CZ,CZ-1-10,,Coalition (Christian Dem.&Freedom Union),,17.6,1338,cz -- coalition (christian dem.&freedom union),CZE,,2002,2002,2004
CZ,CZ-1-5,CSNS,Czech National Social Party,,0.8,1241,cz -- csns cz.national social p.,CZE,,2002,2002,2004
CZ,CZ-4-2,CSSD,Cz.Social Democratic P.,,39.7,1288,cz -- cssd,CZE,CZ-1-1,2008,2008,2014
CZ,CZ-4-4,KDU-CSL,Christian Democratic P.,,7.5,1665,cz -- kdu-csl,CZE,,2008,2008,2014
CZ,CZ-6-1,KSCM,Communist P.of Bohemia&Moravia,,15.4,1330,cz -- kscm,CZE,CZ-2-9,2012,2008,2014
CZ,CZ-1-3,,Hope,Nadeje,0.4,1117,cz -- nadeje (hope),CZE,,2002,2002,2004
CZ,CZ-2-2,ODA,Civic Democratic Alliance,,2.4,1187,cz -- oda civic democratic alliance,CZE,,2004,2002,2004
CZ,CZ-4-5,ODS,Civic Democratic P.,,34.8,1714,cz -- ods,CZE,CZ-2-8,2008,2008,2014
CZ,CZ-2-12,PB,Right Block,,0.2,1501,cz -- pb right block,CZE,,2004,2002,2004
CZ,CZ-2-4,RMS,Republicans of Miroslav Sladek,,0.5,1312,cz -- rms republicans of miroslav sladek,CZE,,2004,2002,2004
CZ,CZ-2-6,SV-SOS,P.of Countryside-Assoc.Civic Forces,,0.4,1180,cz -- sv-sos p.of countryside-assoc.civic forces,CZE,,2004,2002,2004
CZ,CZ-4-3,SZ,P.of Greens,,6.3,1033,cz -- sz,CZE,CZ-2-13,2008,2008,2010
CZ,CZ-1-11,SZJ,Party for Security in Life,,0.4,1833,cz -- szj p.for life securities,CZE,,2002,2002,2004
CZ,CZ-7-3,,,TOP 09,11.2,3011,cz -- top 09,CZE,,2014,2014,2014
CZ,CZ-5-5,TOP09,,,15.7,1221,cz -- top09,CZE,,2010,2010,2012
CZ,CZ-7-7,,,Úsvit prímé demokracie Tomia Okamury,4.1,3012,cz -- úsvit prímé demokracie tomia okamury,CZE,,2014,2014,2014
CZ,CZ-5-6,VV,,,11.4,1261,cz -- vv,CZE,,2010,2010,2012
DK,DK-1-4,,,Centrum-Demokraterne,1.7,1609,dk -- centrum-demokraterne,DNK,,2002,2002,2006
DK,DK-3-6,,Danish peoples party,Dansk Folkeparti,7.8,1219,dk -- dansk folkeparti,DNK,DK-7-5,2006,2002,2006
DK,DK-3-3,,Conservative,Det Konservative Folkeparti,8.9,1755,dk -- det konservative folkeparti,DNK,DK-4-3,2006,2002,2006
DK,DK-3-2,,Danish Social-Liberal Party,Det Radikale Venstre,8.8,1289,dk -- det radikale venstre,DNK,DK-6-2,2006,2002,2006
DK,DK-3-10,,Unity List - The Red-Green Alliance,Enhedslisten,3.3,1324,dk -- enhedslisten,DNK,DK-7-9 DK-5-9,2006,2002,2006
DK,DK-2-9,,,Fremskridtspartiet,0.8,1804,dk -- fremskridtspartiet,DNK,,2004,2002,2006
DK,DK-2-7,,Christian democtrats,Kristeligt Folkeparti/Kristendemokraterne,2.1,1359,dk -- kristeligt folkeparti,DNK,DK-3-7 DK-4-6,2004,2002,2004
DK,DK-6-6,,,Kristendemokraterne - Christian democrats,1.1,3013,dk -- kristendemokraterne - christian democrats,DNK,,2012,2012,2014
DK,DK-7-8,,New alliance / Liberal Alliance,,4.1,1145,dk -- liberal alliance - liberal alliance,DNK,DK-4-8,2014,2012,2014
DK,DK-6-4,SF,Socialist People's Party,Socialistisk Folkeparti,10.6,1257,dk -- sf socialistisk folkeparti - socialist people's party,DNK,DK-5-4 DK-3-5,2012,2012,2014
DK,DK-6-1,,,Socialdemokraterne - the Danish social democrats,27.1,3014,dk -- socialdemokraterne - the danish social democrats,DNK,,2012,2012,2014
DK,DK-4-1,,Danish Social Democtrats,Socialdemokratiet,26.8,1496,dk -- socialdemokraterne - the danish social democtrats,DNK,DK-1-1,2008,2008,2010
DK,DK-2-8,,,Venstre / Danmarks Liberale Parti,35.6,1265,dk -- venstre,DNK,DK-5-7,2004,2002,2006
EE,EE-4-11,,,campaigner,0.2,1619,ee -- campaigner,EST,,2008,2008,2008
EE,EE-5-8,,,Eesti Iseseisvuspartei,0.2,1393,ee -- eesti iseseisvuspartei,EST,,2010,2010,2014
EE,EE-7-2,,Estonian Centre Party/The Estonian Centre Party,Eesti Keskerakond,27.6,1036,ee -- eesti keskerakond,EST,EE-3-2 EE-4-2,2014,2010,2014
EE,EE-6-4,,Estonian People's Union/The People's Union of Estonia,Eestimaa Rahvaliit/Eesti Konservatiivne Rahvaerakond endine Rahvaliit,1.9,1074,ee -- eesti konservatiivne rahvaerakond (endine rahvaliit),EST,EE-5-4 EE-2-6 EE-4-4,2012,2012,2012
EE,EE-5-3,,Estonian Reform Party,Eesti Reformierakond,32.3,1062,ee -- eesti reformierakond,EST,EE-4-3,2010,2010,2014
EE,EE-6-10,,,Eesti Vabaduspartei – Põllumeeste Kogu,0.2,1464,ee -- eesti vabaduspartei – põllumeeste kogu,EST,,2012,2012,2012
EE,EE-5-9,,Estonian Christian Peoples Party/Party of Estonian Christian Democrats,Erakond Eesti Kristlikud Demokraadid,0.7,1086,ee -- erakond eesti kristlikud demokraadid,EST,EE-2-8 EE-4-7,2010,2010,2014
EE,EE-5-6,,Estonian Greens,Erakond Eestimaa Rohelised,5,1675,ee -- erakond eestimaa rohelised,EST,EE-4-6,2010,2010,2014
EE,EE-7-3,,Pro Patria and Res Publica Union,Erakond Isamaa ja Res Publica Liit,15.7,1874,ee -- erakond isamaa ja res publica liit,EST,EE-4-1,2014,2010,2014
EE,EE-4-9,,Estonian Independence Party,,0.2,1169,ee -- estonian independence party,EST,,2008,2008,2008
EE,EE-2-5,,Estonian Social Democratic Party/Estonian Social Democrats/The Social Democratic Party,Sotsiaaldemokraatlik Erakond,7.5,1817,ee -- estonian social democratic party,EST,EE-3-5 EE-6-5 EE-4-5,2004,2004,2004
EE,EE-4-8,,Estonian United Left Party,,0.1,1631,ee -- estonian united left party,EST,,2008,2008,2008
EE,EE-2-7,,Estonian United People's Party,,0.3,1869,ee -- estonian united people's party,EST,,2004,2004,2004
EE,EE-7-6,,,Konservatiivne Rahvaerakond (endie Rahvaliit),1,3015,ee -- konservatiivne rahvaerakond (endie rahvaliit),EST,,2014,2014,2014
EE,EE-5-11,,,Mitte kellegi poolt,0.1,2017,ee -- mitte kellegi poolt,EST,,2010,2010,2010
EE,EE-2-1,,Party Res Publica,Res Publica,24.3,1181,ee -- party res publica,EST,EE-3-1,2004,2004,2004
EE,EE-3-4,,Pro Patria Union,,10.3,1402,ee -- pro patria union,EST,,2006,2004,2006
EE,EE-2-11,,Russian Party in Estonia,,0.1,1799,ee -- russian party in estonia,EST,,2004,2004,2008
EE,EE-7-7,,,Vene Erakond Eestis,0.1,3017,ee -- vene erakond eestis,EST,,2014,2014,2014
ES,ES-7-5,AMAIUR,,,1.3,1592,es -- amaiur,ESP,,2014,2012,2014
ES,ES-5-12,,Blank vote,,3.6,1500,es -- blank vote,ESP,,2010,2004,2010
ES,ES-4-7,BNG,Bloque Nacionalista Galego,,2.5,1415,es -- bloque nacionalista galego (bng),ESP,,2008,2002,2014
ES,ES-2-12,CHA,Chunta Aragonesista,,0.5,1777,es -- chunta aragonesista (cha),ESP,,2004,2002,2006
ES,ES-6-10,CC/CC-PNC,Coalición Canaria / Partido Nacionalista Canario,,0.5,1248,es -- coalición canaria - nueva canarias,ESP,ES-1-10 ES-5-8,2012,2012,2014
ES,ES-6-11,EQUO,Compromís,,1.2,1251,es -- compromís - equo,ESP,,2012,2012,2014
ES,ES-1-4,,Convergència i Unió CiU,,6.2,1023,es -- convergència i unió (ciu),ESP,,2002,2002,2014
ES,ES-3-5,ERC,Esquerra Repubicana de Catalunya,,2.3,1320,es -- esquerra repubicana de catalunya (erc),ESP,ES-7-8,2006,2002,2006
ES,ES-1-8,EA,Eusko Alkartasuna,,0.2,1876,es -- eusko alkartasuna (ea),ESP,,2002,2002,2006
ES,ES-6-12,,Foro de Ciudadanos,,0.3,1101,es -- foro de ciudadanos,ESP,,2012,2012,2014
ES,ES-7-13,,Geroa Bai,,0.2,1522,es -- geroa bai,ESP,,2014,2014,2014
ES,ES-1-6,ICV,Iniciativa per Catalunya-Verds,,0.8,1761,es -- iniciativa per catalunya-verds (icv),ESP,,2002,2002,2006
ES,ES-2-3,IU,Izquierda Unida,,5.8,1057,es -- izquierda unida (iu),ESP,,2004,2002,2010
ES,ES-7-4,IU,,Izquierda Unida (ICV en Cataluña),8.9,3018,es -- izquierda unida (iu) - (icv en cataluña),ESP,,2014,2012,2014
ES,ES-4-9,NA-BAI,Nafarroa-Bai,,0.2,1398,es -- nafarroa-bai (na-bai),ESP,,2008,2006,2010
ES,ES-1-11,PA,Partido Andalucista,,0.8,1447,es -- partido andalucista (pa),ESP,,2002,2002,2006
ES,ES-3-7,PNV,Partido Nacionalista Vasco / Partido Nacionalista Basco,,2.3,1593,es -- partido nacionalista vasco (pnv),ESP,,2006,2002,2014
ES,ES-5-1,PP,Partido Popular,,32.8,1490,es -- partido popular,ESP,ES-1-1,2010,2008,2010
ES,ES-6-1,PP,,Partido Popular (con UPN en Navarra),41.9,3020,es -- partido popular - pp (con upn en navarra),ESP,,2012,2012,2014
ES,ES-4-2,PSOE,Partido Socialista Obrero Español,,51.4,1748,es -- partido socialista obrero español (psoe),ESP,,2008,2002,2014
ES,ES-3-16,,,Spoiled vote,0.4,1635,es -- spoiled vote,ESP,,2006,2004,2010
ES,ES-5-10,UP,"Unión, Progreso y Democracia",,2.3,1779,es -- unión progreso y democracia (upyd),ESP,ES-7-6,2010,2008,2010
ES,ES-6-15,,Votó en blanco,,3.1,1238,es -- votó en blanco,ESP,,2012,2012,2014
ES,ES-6-16,,Votó nulo,,1.2,1596,es -- votó nulo,ESP,,2012,2012,2014
FI,FI-7-7,,Change 2011,,0.2,1691,fi -- change 2011,FIN,,2014,2014,2014
FI,FI-2-6,,Christian Democrats,,4.6,1010,fi -- christian democrats,FIN,,2004,2002,2014
FI,FI-6-15,,Communist Party of Finland,,0.3,1346,fi -- communist party,FIN,FI-1-11,2012,2012,2014
FI,FI-5-8,,Finnish People's Blue-Whites,,0.1,1792,fi -- finnish people's blue-whites,FIN,,2010,2010,2010
FI,FI-3-9,,Finnish Social Democratic Party/Social Democratic Party,,28.5,1031,fi -- finnish social democratic party,FIN,FI-6-13,2006,2002,2010
FI,FI-6-11,,For the Poor,,0.1,1226,fi -- for the poor,FIN,,2012,2012,2012
FI,FI-6-6,,Freedom Party,,0.1,1689,fi -- freedom party,FIN,,2012,2012,2012
FI,FI-6-12,,Green League,,11.3,1903,fi -- green league,FIN,FI-5-13,2012,2012,2014
FI,FI-5-11,,Independence Party,,0.1,1555,fi -- independence party,FIN,,2010,2010,2014
FI,FI-1-7,,League for Free Finland,,0.1,1723,fi -- league for free finland,FIN,,2002,2002,2004
FI,FI-6-14,,Left Alliance,,6.9,1247,fi -- left alliance,FIN,FI-1-10,2012,2012,2014
FI,FI-2-3,,Liberals,,0.2,1055,"fi -- liberals, (the liberal party of finland)",FIN,,2004,2002,2010
FI,FI-7-8,,Pirate Party,,0.2,1185,fi -- pirate party,FIN,,2014,2012,2014
FI,FI-5-9,,Senior Citizens' Party,,0.3,1266,fi -- senior citizens' party,FIN,,2010,2010,2010
FI,FI-1-4,,Centre Party,,26.5,1269,fi -- the centre party,FIN,,2002,2002,2014
FI,FI-7-16,,Communist Workers' Party,,0.1,1143,fi -- the communist workers' party,FIN,,2014,2014,2014
FI,FI-5-17,,Communist Workers' Party of Finland,,0.2,2019,fi -- the communist workers' party of finland,FIN,,2010,2002,2010
FI,FI-5-1,,National Coalition Party,,26.6,1542,fi -- the national coalition party,FIN,,2010,2002,2014
FI,FI-1-2,SPP,Swedish People´s Party,,5.7,1049,fi -- the swedish people´s party (spp),FIN,,2002,2002,2014
FI,FI-7-4,,True Finns,,14,1394,fi -- true finns,FIN,,2014,2002,2014
FI,FI-5-18,,Workers Party,,0.1,1831,fi -- workers party,FIN,,2010,2010,2012
FR,FR-1-16,,,Autre,3.3,1914,fr -- autre,FRA,,2002,2002,2014
FR,FR-5-13,,,Autres mouvements écologistes,2,2025,fr -- autres mouvements écologistes,FRA,,2010,2002,2014
FR,FR-5-17,,,Blanc,4,1201,fr -- blanc,FRA,,2010,2006,2014
FR,FR-2-1,CPNT,,"Chasse, Pêche, Nature et Traditions",3.6,1856,"fr -- cpnt (chasse, pêche, nature et traditions)",FRA,,2004,2002,2010
FR,FR-4-15,,,Divers droite,1.9,1191,fr -- divers droite,FRA,,2008,2008,2010
FR,FR-5-14,,,Divers gauche,1.1,1588,fr -- divers gauche,FRA,,2010,2008,2010
FR,FR-1-2,DL,,Démocratie libérale,0.9,1963,fr -- dl (démocratie libérale),FRA,FR-4-11 FR-7-10,2002,2002,2006
FR,FR-7-12,EELV,,Les Verts – Europe Ecologie,6.8,1750,fr -- eelv (europe ecologie les verts),FRA,FR-5-12,2014,2012,2014
FR,FR-6-6,FDG,,Front de Gauche,5,1718,fr -- fdg (front de gauche),FRA,,2012,2012,2014
FR,FR-7-2,FN,,Front National,11.9,1911,fr -- fn (front national),FRA,,2014,2002,2014
FR,FR-4-3,LCR,,Ligue Communiste Révolutionnaire,1.9,1081,fr -- lcr (ligue communiste révolutionnaire),FRA,,2008,2002,2010
FR,FR-5-12,,,Les Verts,9.4,2024,fr -- les verts,FRA,FR-3-5,2010,2002,2010
FR,FR-3-5,LO,,Lutte Ouvrière,3.3,1700,fr -- lo (lutte ouvrière),FRA,,2006,2002,2014
FR,FR-3-6,MDC,,Mouvement des citoyens,0.8,1673,fr -- mdc (mouvement des citoyens),FRA,,2006,2002,2006
FR,FR-3-7,MNR,,Mouvement national républicain,1.6,1677,fr -- mnr (mouvement national républicain),FRA,,2006,2002,2006
FR,FR-7-11,MODEM,,Mouvement Démocrate,6,1842,fr -- modem (mouvement démocrate),FRA,FR-4-10,2014,2012,2014
FR,FR-3-8,MPF,,Mouvement pour la France,2.8,1850,fr -- mpf (mouvement pour la france),FRA,,2006,2002,2014
FR,FR-5-6,,,Nouveau Centre,1.4,1430,fr -- nouveau centre,FRA,,2010,2008,2014
FR,FR-6-4,NPA,,Nouveau Parti Anti-Capitaliste,1.2,1606,fr -- npa (nouveau parti anti-capitaliste),FRA,,2012,2012,2014
FR,FR-6-7,PRG,,Parti Radical de Gauche,1.6,1040,fr -- parti radical de gauche,FRA,FR-4-9,2012,2012,2014
FR,FR-1-9,PC,,Parti Communiste,4.6,2022,fr -- pc (parti communiste),FRA,,2002,2002,2010
FR,FR-6-3,PR,,Parti Radical Valoisien,0.3,1183,fr -- pr (parti radical valoisien),FRA,,2012,2012,2014
FR,FR-6-9,PS,,Parti Socialiste,36.5,1404,fr -- ps (parti socialiste),FRA,,2012,2002,2014
FR,FR-3-11,RPF,,Rassemblement du Peuple Français,2.1,1514,fr -- rpf (rassemblement du peuple français),FRA,,2006,2002,2006
FR,FR-1-13,UDF,,Union pour la démocratie française,6.6,1175,fr -- udf (union pour la démocratie française),FRA,FR-4-10,2002,2002,2006
FR,FR-1-12,UMP,,Union de la Majorité Présidentielle,24.3,1935,fr -- ump (union de la majorité présidentielle),FRA,,2002,2002,2004
GB,GB-3-14,,Alliance Party,,0.1,3021,gb -- alliance party,GBR,,2006,2006,2006
GB,GB-1-12,,Alliance Party (nir),,0.4,3022,gb -- alliance party (nir),NIR,,2002,2002,2014
GB,GB-3-7,,British National Party,British National Party,0.5,1538,gb -- british national party,GBR,,2006,2006,2006
GB,GB-5-1,,Conservative,Conservative,38.6,2052,gb -- conservative,GBR,,2010,2002,2014
GB,GB-3-11,,Democratic Unionist Party,,0.7,3023,gb -- democratic unionist party,GBR,,2006,2006,2006
GB,GB-4-9,,Democratic Unionist Party (nir),,0.7,3024,gb -- democratic unionist party (nir),NIR,,2008,2002,2014
GB,GB-7-6,,Green Party,Green Party,2.8,1274,gb -- green party,GBR,,2014,2002,2014
GB,GB-2-2,,Labour,Labour,50.3,1367,gb -- labour,GBR,,2004,2002,2014
GB,GB-5-3,,Liberal Democrat,Liberal Democrat,22.6,1234,gb -- liberal democrat,GBR,,2010,2002,2014
GB,GB-6-5,,Plaid Cymru,Plaid Cymru,1.5,1227,gb -- plaid cymru,GBR,,2012,2002,2014
GB,GB-7-4,,Scottish National Party,Scottish National Party,2.8,1198,gb -- scottish national party,GBR,,2014,2002,2014
