round,country_name,party_id,party_accr,party_name,party_name_en,natstrength,seat,pec,elecyear
2016,Montenegro,9104,DUA,Demokratska Unija Albanaca / Unioni Demokratik i Shqiptarëve,Democratic Union of Albanians,0.8,0,0,2012
2016,Montenegro,9105,FORCA,Forca za jedinstvo / Forca per bashkim,Forca for Unity,1.47,1.23,0,2012
2016,Montenegro,9106,DSCG,Demokratski Savez u Crnoj Gori / Lidhja Demokratike në Mal të Zi,Democratic League in Montenegro,1.07,0,1,2012
2016,Montenegro,9108,HGI,Hrvatska Građanska Inicijativa,Croatian Civic Initiative,0.41,1.23,0,2012
2016,Montenegro,9109,BS,Bošnjačka Stranka,Bosniak Party,4.24,3.7,0,2012
2016,Montenegro,9114,AA,Albanska alternativa / Alternativa Shqiptare,Albanian Alternative,1.07,1.23,1,2012
2016,Montenegro,9111,DPS,Demokratska Partija Socijalista,Democratic Party of Socialists,46.33,35.8,1,2012
2016,Montenegro,9112,PCG,Pozitivna Crna Gora,Positive Montenegro,8.37,8.64,0,2012
2016,Montenegro,9113,PzP,Pokret za promjene,Movement for Changes,23.19,6.17,1,2012
2016,Montenegro,9110,SDP,Socijaldemokratska Partija Crne Gore,Social Democratic Party of Montenegro,46.33,11.11,1,2012
2016,Montenegro,9115,SNP,Socijalistička Narodna Partija Crne Gore,Socialist People's Party of Montenegro,11.24,11.11,0,2012
2016,Poland,9201,PO,Platforma Obywatelska,Civic Platform,24.09,30,0,2015
2016,Poland,9202,PiS,Prawo i Sprawiedliwość,Law and Justice,37.58,51.0869565217391,0,2015
2016,Poland,9203,SLD,Sojusz Lewicy Demokratycznej,Democratic Left Alliance,7.55,0,1,2015
2016,Poland,9204,PSL,Polskie Stronnictwo Ludowe,Polish People's Party,5.13,3.47826086956522,0,2015
2016,Poland,9205,MN,Mniejszość Niemiecka/Deutsche Minderheit,German Minority Electoral Committee,0.18,0.217391304347826,0,2015
2016,Poland,9208,Kukiz,Kukiz'15,Kukiz'15,8.81,9.1304347826087,0,2015
2016,Poland,9207,.N,Nowoczesna,Modern Political Party,7.6,6.08695652173913,0,2015
2016,Romania,9301,PSD,Partidul Social Democrat,Social Democratic Party,58.6,36.4,1,2012
2016,Romania,9303,PNL,Partidul Naţional Liberal,National Liberal Party,58.6,24.3,1,2012
2016,Romania,9305,UDMR-RMDSZ,Uniunea Democrată Maghiară din România,Democratic Union of Hungarians in Romania,5.15,4.4,0,2012
2016,Romania,9306,PCM-MPP,Partidul Civic Maghiar - Magyar Polgári Párt,Hungarian Civic Party,,0,0,2012
2016,Romania,9307,FDGR,Forumul Democrat al Germanilor din România,Democratic Forum of Germans in Romania,0.53,0.002,0,2012
2016,Romania,9308,ALDE,Alianța Liberalilor și Democraților,Alliance of Liberals and Democrats,,0,0,2012
2016,Romania,9309,PMP,Partidul Mișcarea Populară,People's Movement Party,,0,0,2012
2016,Romania,9310,PPMT-EMNP,Erdélyi Magyar Néppárt/Partidul Popular Maghiar din Transilvania,Hungarian People's Party of Transylvania,0.64,0,0,2012
2016,Serbia,9501,DS,Demokratska stranka,Democratic Party,6.02,6,1,2016
2016,Serbia,9502,SNS,Srpska napredna stranka,Serbian Progressive Party,48.25,40.8,1,2016
2016,Serbia,9503,SRS,Srpska radikalna stranka,Serbian Radical Party,8.1,8.8,0,2016
2016,Serbia,9504,DSS,Demokratska Stranka Srbije,Democratic Party of Serbia,5.04,2.4,1,2016
2016,Serbia,9505,SPS,Socijalistička partija Srbije,Socialist Party of Serbia,10.95,9.2,1,2016
2016,Serbia,9507,SVM,Savez vojvođanskih Mađara / Vajdasági Magyar Szövetség,Alliance of Vojvodina Hungarians,1.5,1.6,0,2016
2016,Serbia,9508,DSVM,Demokratska Stranka Vojvođanskih Mađara / Vajdasági Magyar Demokrata Párt,Democratic Party of Vojvodina Hungarians,,0,0,2016
2016,Serbia,9510,SDA,Stranka Demokratske Akcije Sandžaka,Party of Democratic Action of Sandžak,0.8,0.8,0,2016
2016,Serbia,9511,BDZ,Bošnjačka demokratska zajednica Sandžaka,Bosniak Democratic Union of Sandžak,0.86,0.8,0,2016
2016,Serbia,9513,DPA,Demokratska Partija Albanaca / Partia Demokratike Shqiptare,Democratic Party of Albanians,,0,0,2016
2016,Serbia,9514,DSHV,Demokratski Savez Hrvata u Vojvodini,Democratic Alliance of Croats in Vojvodina,6.02,0.4,1,2016
2016,Serbia,9515,DJB,Dosta je bilo,It's enough,6.02,6.4,0,2016
2016,Serbia,9517,Dveri,Dveri,Doors,5.04,2.8,1,2016
2016,Serbia,9518,LSV,Liga socijaldemokrata Vojvodine,League of Vojvodina Social Democrats,5.02,1.6,1,2016
2016,Serbia,9519,SDPS,Socijaldemokratska partija Srbije,Social Democratic Party of Serbia,48.25,4,1,2016
2016,Serbia,9521,ZES,Zelena stranka,Green party,0.63,0.4,0,2016
2016,Serbia,9522,PZDD,Partija za demokratsko delovanje / Partia për vertim demokratik,Party for democratic action,0.43,0.4,0,2016
2016,Slovakia,9601,SMER-SD,Smer – sociálna demokracia,Direction – Social Democracy,28.3,32.6666666666667,0,2016
2016,Slovakia,9604,SAS,Sloboda a Solidarita,Freedom and Solidarity,12.1,14,0,2016
2016,Slovakia,9605,SNS,Slovenská národná strana,Slovak National Party,8.6,10,0,2016
2016,Slovakia,9606,Most-Hid,Most–Híd,Bridge (Most–Híd),6.5,7.33333333333333,0,2016
2016,Slovakia,9607,SMK-MKP,Strana maďarskej koalície – Magyar Koalíció Pártja,Party of the Hungarian Coalition,,0,0,2016
2016,Slovakia,9608,L'SNS,Ľudová strana – Naše Slovensko,People's Party - our Slovakia,8,9.33333333333333,0,2016
2016,Slovakia,9609,OL'aNO-NOVA,Obyčajní Ľudia a nezávislé osobnosti,Ordinary People and Independent Personalities,11,12.6666666666667,0,2016
2016,Slovakia,9610,SIET,SIET,Network,5.6,6.66666666666667,0,2016
2016,Spain,3301,PSOE,Partido Socialista Obrero Español,The Socialist Party,22.01,25.71,0,2015
2016,Spain,3303,PP,Partido Popular,The People’s Party,28.72,35.14,0,2015
2016,Spain,3307,SI,Solidaritat Catalana per la Independencia,Catalan Solidarity for Independence,,0,0,2015
2016,Spain,3309,BNG,Bloque Nacionalista Galego,Galician Nationalist Block,,0,0,2015
2016,Spain,3316,AGE,Alternativa Galega de Esquerda,Galician Alternative of the Left,,0,0,2015
2016,Spain,3318,CDC,Convergència Democràtica de Catalunya,Democratic Convergence of Catalonia,2.25,2.29,0,2015
2016,Spain,3319,Cs,Ciudadanos,Citizens Party,13.93,11.43,0,2015
2016,Spain,3320,CUP,Candidatura d'Unitat Popular,Popular Unity Candidacy,,0,0,2015
2016,Spain,3321,EAJ / PNV,Euzko Alderdi Jeltzalea / Partido Nacionalista Vasco,Basque Nationalist Party,1.19,1.71,0,2015
2016,Spain,3322,EH Bildu,Euskal Herria Bildu / Reunir Euskal Herria,Basque Country Unite,0.87,0.57,0,2015
2016,Spain,3308,ERC,Esquerra Republicana de Catalunya,Republican Left of Catalonia,2.4,2.29,0,2015
2016,Spain,3317,Pod,Podemos,Podemos/We can,20.66,19.71,0,2015
2016,Turkey,7401,AKP,Adalet ve Kalkinma Partisi,Justice and Developement Party,49.5,57.64,0,2015
2016,Turkey,7402,CHP,Cumhuriyet Halk Partisi,Republican People's Party,25.32,24.36,0,2015
2016,Turkey,7403,MHP,Milliyetçi Hareket Partisi,National Movement Party,11.9,7.27,0,2015
2016,Turkey,7405,HDP,Halkların Demokratik Partisi,People's Democratic Party,10.76,10.73,0,2015
2016,United Kingdom,5101,Con,The Conservative Party,The Conservative Party,36.8,50.77,0,2015
2016,United Kingdom,5103,Lab,The Labour Party,The Labour Party,30.4,35.69,0,2015
2016,United Kingdom,5105,LD,Liberal Democrats,Liberal Democrats,7.9,1.23,0,2015
2016,United Kingdom,5106,SNP,Scottish National Party,Scottish National Party,4.7,8.62,0,2015
2016,United Kingdom,5108,PC,Plaid Cymru,The Party of Wales,0.6,0.46,0,2015
2016,United Kingdom,5109,SF,Sinn Fein,Sinn Fein,0.6,0.62,0,2015
2016,United Kingdom,5110,SDLP,Social Democratic & Labour Party,Social Democratic & Labour Party,0.3,0.46,0,2015
2016,United Kingdom,5111,DUP,Democratic Unionist Party,Democratic Unionist Party,0.6,1.23,0,2015
2016,United Kingdom,5112,UUP,Ulster Unionist Party,Ulster Unionist Party,0.4,0.31,0,2015
2016,United Kingdom,5113,Alliance,Alliance Party of Northern Ireland,Alliance Party of Northern Ireland,,0,0,2015
2016,United Kingdom,5114,TUV,Traditional Unionist Voice,Traditional Unionist Voice,,0,0,2015
2016,United Kingdom,5115,UKIP,United Kingdom Independence Party,United Kingdom Independence Party,12.6,0.15,0,2015
2016,Ukraine,9802,БЮТ,Блок Юлії Тимошенко,Bloc Yulia Tymoshenko,5.68,4.49172576832151,0,2014
2016,Ukraine,9809,Нф,Народний фронт,People's Front,22.14,19.3853427895981,0,2014
2016,Ukraine,9810,ОБ,Опозиційний блок,Opposition Bloc,9.43,6.85579196217494,0,2014
2016,Ukraine,9811,РП,Радикальна Партія,Radical Party of Oleh Lyashko,7.44,5.20094562647754,0,2014
2016,Ukraine,9812,Самопоміч,Об'єднання «Самопоміч»,Self Reliance Party,10.97,7.80141843971631,0,2014
2016,Ukraine,9813,Свобода,Всеукраїнське об’єднання «Свобода»,"All-Ukrainian Union Svoboda ""Freedom""",4.71,1.41843971631206,0,2014
2016,Ukraine,9814,Солідарність,Блок Петра Порошенка «Солідарність»,"Petro Poroshenko Bloc ""Solidarity""",21.82,31.2056737588652,0,2014
